PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"June 25, 1997",2 of 217 DOCUMENTS,Austin American-Statesman (Texas),"Global warming threatens parks, report warns",,News; Pg. A14,,350 words,,,"June 25, 1997",ENGLISH,,,,,,,Copyright 1997 The Austin American-Statesman
,national,park,global,warming,report,*,study,effect,group,wildlife,area,glacier,everglade,change,climate,forest,meadow,already,surface,become,largely,overlook,potentially,alarming,development,debate,release,tuesday,respected,environmental,warn,increase,temperature,threaten,height,seashore,bring,noticeable,shift,wildflower,sea,shorebird,number,accord,world,fund,add,new,home,element,pressure,put,administration,restrict,emission,greenhouse,gas,merely,future,impact,faraway,place,sign,detect,back,yard,alarmingly,many,cherish,natural,clearly,feeling,draw,skeptical,response,director,tion,question,existence,feel,science,still,much,doubt,among,predict,beginning,vake,fame,alpine,retreat,document,melting,permafrost,beneath,land,sinkhole,unable,support
"March 1, 1997",25 of 217 DOCUMENTS,Austin American-Statesman (Texas),National Briefs,,News; Pg. A17,,412 words,,,"March 1, 1997",ENGLISH,,,,,,,Copyright 1997 The Austin American-Statesman
,accuse,prosecutor,charge,kaczynski,write,fund,world,industrial,country,Kaczynski,United_States,plot,extort,million,claim,arrest,jail,journal,thursday,samples,handwriting,1995,spare,baby,jim,convict,murdering,juror,curb,wildlife,release,carbon,dioxide,percent,Cosby,New_York,allege,driver,fourth,person,friday,threaten,publicize,woman,comedian,illegitimate,daughter,conspiracy,extortion,indictment,hand,drive,airport,jan,fly,meet,representative,demand,agree,keep,quiet,paternity,must,give,sample,calif,hope,prove,unabomber,theodore,series,handwritten,confess,bombing,appear,key,courtroom,battle,federal,magistrate,indicate,allow,visit,force,provide,numeric,code,seize,montana,cabin,almost,ago,defense,team,resist,test,prosecution,plenty,800
,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 1, 1997",29 of 217 DOCUMENTS,Austin American-Statesman (Texas),A look at climate change science,,News; Pg. A6,,196 words,,,"December 9, 1997",ENGLISH,,,,,,,Copyright 1997 The Austin American-Statesman
,degree,gas,warming,emission,dioxide,atmosphere,global,temperature,increase,fahrenheit,ocean,change,precise,level,might,future,know,greenhouse,mostly,produce,burn,coal,oil,let,sunlight,retain,infrare,radiation,emit,back,space,begin,carbon,risen,280,part,per,million,358,ppm,late,1800,mean,betw,een,0.5,expand,warm,rise,much,inch,computer,model,project,2100,possibly,abrupt,climate,thousand,uncertain,ratio,attributable,artifical,natural,cause,magnitude,result,give,atmospheric,role,cloud,play,mitigating,aggravating,population,economic,growth,affect,technological,lifestyle,curb,worsen,press,Carbon,so_called,Earth,Industrial_Revolution,Associated
,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 8, 1997",30 of 217 DOCUMENTS,Austin American-Statesman (Texas),Gore softens approach toward global warming,BY CHARLES J. HANLEY,News; Pg. A3,,624 words,,,"December 9, 1997",ENGLISH,,,,,,,Copyright 1997 The Austin American-Statesman
,U.S.,Gore,president,proposal,gas,United_States,vice,negotiation,global,offer,flexibility,address,conference,meeting,environmentalist,environmental,minister,agreement,Kyoto,gore,warming,monday,emission,climate,delegation,increase,negotiate,long,change,step,atmosphere,ambitious,reduce,greenhouse,produce,hand,environment,head,many,energy,today,1990,level,2010,Japan,European,Clinton,al,face,demand,concession,new,cut,promise,remark,nonetheless,set,conciliatory,tone,remain,consulting,telephone,early,instruct,show,basic,principle,position,preserve,public,detailed,remind,delegate,session,protect,right,start,quickly,build,momentum,learn,together,meet,challenge,government,other,look,carbon,dioxide,trap,heat,much,commissioner,earlier,without,take,side,prime,precede
,13,6,5,5,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 7, 1997",32 of 217 DOCUMENTS,Austin American-Statesman (Texas),Treaties won't solve global warming,Bernard L. Weinstein,News; Pg. A7,,844 words,,,"July 7, 1997",ENGLISH,,,,,,,Copyright 1997 The Austin American-Statesman
,emission,nation,develop,carbon,dioxide,make,world,let,help,global,climate,country,reduction,take,treaty,reduce,greenhouse,percent,grow,electric,use,industry,propose,tax,go,new,advanced,pollution,warmer,whether,planet,increase,degree,problem,end,administration,already,proposal,commitment,industrial,gas,economy,result,power,economic,cost,achieve,high,initiative,future,include,credit,company,fossil,fuel,political,huge,waste,might,far,must,air,local,emerge,plant,every,transfer,efficiency,sense,utility,microwave,Greens,U.S.,United_States,scientist,politician,continue,disagree,mean,surface,temperature,rise,culprit,though,final,verdict,side,accept,argument,yes,half,100,ago,likely,heat,another,next,century,remedial
,11,9,9,7,6,6,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 13, 1997",33 of 217 DOCUMENTS,Austin American-Statesman (Texas),Bowing to environmentalists,Cal Thomas,Editorial; Pg. A15,,741 words,,,"August 14, 1997",ENGLISH,,,,,,,Copyright 1997 The Austin American-Statesman
,global,warming,proposal,environmental,temperature,scientific,evidence,reduce,gas,human,climate,price,base,program,Earth,high,hot,air,enough,engage,kind,god,environment,greenhouse,believe,increase,1940,influence,place,uncertainty,polluter,impose,include,higher,tax,"2,000",safety,vehicle,highway,fee,home,water,Washington,Clinton,British_Petroleum,august,usually,mean,humidity,politician,town,take,drop,50s,night,administration,think,ideal,time,step,attack,secretary,true,believer,recently,characterize,doubt,diagnosis,claim,company,conspiracy,discredit,theory,liberal,denounce,redneck,rhetoric,mouth,preacher,fundamentalism,behalf,bible,compile,text,pronouncement,cleaner,goal,expand,government,power,president,promise,present,strong,level,conference,december,without,consensus
,7,5,5,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 27, 1997",37 of 217 DOCUMENTS,Austin American-Statesman (Texas),Clinton convinced of greenhouse danger; President announces major,JULIA MALONE,News; Pg. A13,,445 words,,,"June 27, 1997",ENGLISH,,,,,,,Copyright 1997 The Austin American-Statesman
,reduce,gas,Clinton,emission,major,effort,nation,global,climate,set,greenhouse,target,percent,*,United_States,change,president,immediate,level,next,americans,warming,public,administration,environmental,solar,energy,aid,new,guideline,U.S.,European,American,problem,real,imminent,pledge,thursday,bind,goal,respond,demand,ally,stronger,action,decline,embraced,dire,prediction,rise,sea,flooding,coastline,inundate,island,well,create,weather,disturbance,century,bear,responsibility,represent,world,population,produce,carbon,dioxide,cause,discernible,tell,meeting,science,clear,compelling,human,acknowledgement,many,member,conclusion,launch,convince,education,include,summer,culminate,conference,early,fall,time,draw,specific,environmentalist,leader,prodding,agree,plan,1990,2010
,6,6,5,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 1, 1997",43 of 217 DOCUMENTS,Austin American-Statesman (Texas),"Gimme swelter, not AC; Summertime is so hot it's cool",Robert A. Burns,Lifestyle; Pg. E1,,856 words,,,"July 1, 1997",ENGLISH,,,,,,,Copyright 1997 The Austin American-Statesman
,Austin,hot,cool,summer,august,find,weather,july,night,build,fan,high,window,air,blanket,filming,chase,last,match,heavy,crew,point,sweat,quite,warm,enough,tree,time,early,pierce,hour,lawn,describe,grass,every,less,car,talk,blade,often,mower,rather,concept,open,well,electric,bill,air_conditioner,Global_Warming,typical,central,texas,afternoon,back,little,romp,entitle,serial,killer,title,character,nubile,victim,dense,cedar,wood,near,trailer,touch,costume,makeup,serious,sprit,perspiration,earlier,scene,ow,temperature,rigor,young,woman,question,excuse,technical,rehearsal,alone,run,dodge,leap,brush,briar,camera,move,four,five,ramble,ready,actual,set
,6,5,5,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 26, 1997",45 of 217 DOCUMENTS,Austin American-Statesman (Texas),On 'Olivergate'--there we (the media) go again,Matthew Miller,Editorial; Pg. A19,,725 words,,,"December 26, 1997",ENGLISH,,,,,,,Copyright 1997 The Austin American-Statesman
,Gore,Tumulty,reporter,tell,become,comment,story,columnist,character,significance,time,pundit,week,model,love,remark,night,mcgrory,we,make,thus,way,o'neal,go,explain,part,real,problem,dissect,public,deal,another,long,roommate,think,citizen,commentary,news,Erich_Segal,Maureen_Dowd,Frank_Rich,Michael_Kelly,Tipper,continue,last,obsessive,parsing,prepster,1970,offer,force,chat,spark,riot,analysis,nation,lead,include,bigfoot,mary,thing,simply,fun,whole,motif,interesting,gossipy,irresistible,enough,commentator,curio,meaningful,worthy,high,art,dress,issue,original,therefore,argue,refuse,fess,falseness,fit,timeless,parable,cover,crime,gore,staff,link,veep,willing,let,tall,tale,forth,forward,inspire
,15,5,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 9, 1997",60 of 217 DOCUMENTS,Austin American-Statesman (Texas),Gore visit befuddles conference; Reaction to U.S.  flexibility' mixed,BY KEVIN SULLIVAN AND JOBY WARRICK,News; Pg. A11,,511 words,,,"December 10, 1997",ENGLISH,,,,,,,Copyright 1997 The Austin American-Statesman
,Gore,develop,global,treaty,monday,nation,must,conference,leave,whether,warming,night,official,promise,negotiator,offer,emission,gas,rhetoric,U.S.,EU,United_States,vice,president,al,gore,negotiation,environmental,activist,position,meet,far,speech,flexibility,specifics,key,cut,greenhouse,reality,agree,still,much,require,participation,country,Japan,European_Union,China,Kyoto,plan,whirl,climate,cheer,people,enrage,other,confused,message,impact,remain,hour,combat,time,head,airport,top,rebuke,harshly,congressional,republican,lambast,ignore,deeply,divide,array,wonder,longtime,ally,help,hinder,complex,fly,way,change,spokesman,gary,cook,small,group,privately,raise,lot,hope,action,morning,nonstop,meeting,environmentalist,industry
,7,6,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 15, 1997",63 of 217 DOCUMENTS,Austin American-Statesman (Texas),Pena says climate treaty shouldn't bind U.S. yet; Schools see smoking,,News; Pg. A2,,411 words,,,"December 15, 1997",ENGLISH,,,,,,,Copyright 1997 The Austin American-Statesman
,item,treaty,bind,school,likely,survey,request,food,emergency,develop,nation,greenhouse,gas,sunday,smoking,gear,student,study,smoke,child,accord,own,sell,percent,increase,tuesday,suffer,heart,attack,Pena,WASHINGTON,Schuller,climate,yet,global,warming,legally,help,cut,emission,secretary,administration,agree,resolution,adopt,senate,accept,reduce,tell,week,work,submit,promo,third,rural,wear,clothing,carry,promote,cigarett,new,research,goods,four,time,smoker,though,data,establish,make,"1,265",highly,visible,public,set,ownership,strongly,associate,initiation,maintenance,december,issue,archive,pediatrics,tobacco,company,promotional,people,older,industry,challenging,federal,regulation,prohibit,anyone,mayor,aid,despite,surge
,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 4, 1997",67 of 217 DOCUMENTS,Austin American-Statesman (Texas),Insurance rate cut on autos; Lower benchmark rate won't - necessarily,Stuart Eskenazi,Metro/State; Pg. B1,,922 words,,,"November 4, 1997",ENGLISH,,,Elton Bomer: Texas insurance chief lowers benchmark auto rate.,,,,Copyright 1997 The Austin American-Statesman
,rate,insurance,driver,percent,coverage,benchmark,Scenario,liability,Bomer,reduction,scenario,company,motorist,change,insurer,uninsured,order,effect,age,consumer,bodily,injury,ratenew,monday,individual,state,savings,law,average,statewide,county,type,drive,record,auto,increase,collision,comprehensive,minimum,countycurrent,ratepercentage,reduce,automobile,price,lower,raise,follow,carry,hit,news,number,bomer,new,go,jan,premium,still,1995,last,decrease,legislature,damage,able,might,commercial,sample,per,optional,underinsured,deductible,Texas_Department,Gentry,use,guide,set,mean,vary,widely,subject,regulation,long,fall,within,lead,biggest,likely,feel,along,purchase,protect,good,especially,buy,need,obey,concerned,large,result,drop
,23,15,13,13,12,10,9,8,7,6,6,5,5,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 16, 1997",69 of 217 DOCUMENTS,Austin American-Statesman (Texas),"Tort bills are back, but fewer",Bruce Hight,Business; Pg. L1,,1292 words,,,"March 16, 1997",ENGLISH,,,"M3 Sheryl Bittick: Risk manager's task could be easier, pending legislation.",,,,Copyright 1997 The Austin American-Statesman
,business,bill,lawsuit,tort,liability,case,act,judgment,1995,owner,Texas,make,shopping,center,whose,property,crime,change,Bittick,criminal,crook,pay,hold,injury,take,Rusk,hire,four,ago,include,many,victim,hurt,person,session,committed,propose,civil,back,big,file,customer,trial,major,reform,tougher,texan,show,example,something,apartment,Weingarten,Austin,Lawsuit_Reform,safe,weingarten,occasionally,attack,someone,go,money,risk,assess,company,reduce,legislature,approve,sen,legal,package,justice,law,member,mug,worth,medical,usually,settle,court,thing,soft,result,legislation,win,party,injure,defendant,lawyer,plaintiff,chairman,president,legislative,limiting,public,report,biggest,believe,simple,store
,11,10,9,8,7,6,6,6,6,6,6,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"July 17, 1997",73 of 217 DOCUMENTS,Austin American-Statesman (Texas),Take a new look at La Vista; Hotel restaurant with famous fajitas,susan kirr,XL Ent; Pg. 37,,704 words,,,"July 18, 1997",ENGLISH,,,"Tradition has it that if your hat or boots are hung up at La Vista, left, you get a free order of fajaitas. Below, left to right are said fajitas, Hill Country trout and a 16 ounce T-bone steak dinner. Bottom photo, lunch customers enjou the food and view.",,,,Copyright 1997 The Austin American-Statesman
,vista,la,little,fajita,hotel,restaurant,side,menu,another,order,good,beef,onion,pepper,tortilla,cake,Austin,6:30,a.m.,card,**,service,go,food,hyatt,bit,every,town,atrium,design,touch,star,set,downtown,although,serve,feature,new,well,may,give,cowboy,boot,hat,confirm,waitress,best,bell,vegetable,creamy,cream,thick,fresh,braise,green,sauce,crab,taste,flavor,3.95,evening,Legend,regency,address,208,phone,hour,p.m.,sunday,thursday,midnight,friday,saturday,major,accept,wheelchairs,accessible,ratings,/2,***,druther,people,voluntarily,local,eat,hey,honey,tool,holiday,inn,bite,lifetime,general,notorious,mediocre,ambience,stellar,dining,experience
,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 21, 1997",77 of 217 DOCUMENTS,Austin American-Statesman (Texas),U.S. greenhouse gases shoot up,,News; Pg. A5,,307 words,,,"October 21, 1997",ENGLISH,,,,,,,Copyright 1997 The Austin American-Statesman
,emission,carbon,percent,proposal,report,U.S.,Clinton,greenhouse,gas,industry,administration,talk,monday,president,deep,cut,2010,burn,oil,coal,1990,higher,heat_trapping,United_States,Bonn,release,soar,last,confound,effort,craft,upcoming,international,climate,protect,business,rise,1996,compare,growth,precede,period,dioxide,predominant,pollutant,amid,continue,debate,within,far,go,curb,way,work,agreement,mandatory,cap,sign,december,expect,disclose,additional,detail,include,reduction,accept,later,week,presentation,discussion,top,economic,adviser,concerned,harm,commit,bind,controls,without,require,develop,country,follow,rule,reject,characterize,unrealistic,pollution,predominantly,fossil,fuel,level,official,note,current,trend,likely,blame,increase
,8,5,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 10, 1997",78 of 217 DOCUMENTS,Austin American-Statesman (Texas),Stop the hide and seek; A brand of bigotry; A courageous step;,,Editorial; Pg. A8,,1436 words,,,"November 10, 1997",ENGLISH,,,Lloyd Doggett,,,,Copyright 1997 The Austin American-Statesman
,population,time,vote,place,school,poll,light,austin,land,people,live,election,277,leave,oct,million,must,provide,last,nov,new,hall,we,change,letter,history,cause,study,step,air,industry,future,make,global,growth,world,billion,increase,energy,rate,reduce,policy,family,service,nation,need,take,consider,United_States,Texas,U.S.,Travis_County,stop,hide,seek,voter,turnout,area,different,precinct,voting,booth,drive,williamson,indicate,location,mile,building,interior,go,tell,cedar,park,brand,much,little,lie,courageous,write,matter,dust,particle,clean,already,source,pollution,"40,000",death,every,form,pirg,spend,campaign,secure,a.,happen,community,worth,18.3
,14,8,6,6,6,5,5,5,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"November 27, 1997",79 of 217 DOCUMENTS,Austin American-Statesman (Texas),"They built their house of straw; It's sound, - structurally and",JENNIFER CHAMBERLAIN,Metro/State; Pg. B10,,464 words,,,"November 28, 1997",ENGLISH,,,"Lifting those bales, volunteers help raise a straw- based building near Waxahachie, 30 miles south of Dallas. The straw-bale building project is conducted by Paul Olivier, who recently moved from Belgium.",,,,Copyright 1997 The Austin American-Statesman
,straw_bale,house,straw,building,construction,wall,bale,structure,project,recycl,produce,Olivier,several,weekend,group,framework,company,build,decompose,gas,use,tree,advantage,technique,mean,significantly,reduce,cubic,foot,wood,fire_resistant,enterprising,inventor,dedicated,volunteer,believe,worth,metroplex,area,dub,experience,event,last,overseen,national,expert,field,lead,member,goal,raising,single,gather,early,morning,chill,property,former,site,superconducting,super,collider,outside,waxahachie,arrive,find,place,trailer,either,side,hope,leave,exterior,complete,brainchild,recently,move,begin,work,major,well,innovative,environmental,pro,ject,keep,conservation,philosophy,seek,guest,office,complex,environmentally,sound,manner,possible,settle,steel,twenty
,8,7,5,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 17, 1997",81 of 217 DOCUMENTS,Austin American-Statesman (Texas),Forests burning at record rate,SUE LEEMAN Associated Press,News; Pg. A26,,649 words,,,"December 17, 1997",ENGLISH,,,,,,,Copyright 1997 The Austin American-Statesman
