PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"April 23, 2006 Sunday",1 of 97 DOCUMENTS,Austin American-Statesman (Texas),WARMING SIGNS,Brad Buchholz AMERICAN-STATESMAN STAFF,INSIGHT; Pg. H01,,2698 words,,,"July 20, 2006",ENGLISH,,,,,,Newspaper,Copyright 2006 The Austin American-Statesman                               All Rights Reserved
,go,change,warming,people,have,species,climate,global,butterfly,think,coral,life,warm,thing,lot,bear,response,human,temperature,degree,happen,percent,mean,every,greenhouse,really,world,Parmesan,live,time,talk,effect,polar,glacier,ocean,make,tree,hurricane,can,know,poor,take,million,actually,reef,sea,animal,habitat,lose,high,way,food,place,checkerspot,show,many,rise,point,last,gass,water,little,nation,better,everything,nature,need,power,ground,oh,native,planet,definitely,question,might,depress,almost,papers,lecture,move,ice,die,range,event,new,100,cover,frog,melting,absolutely,average,start,put,expect,four,warmer,evolve,basically,urban
"November 29, 2006 Wednesday",9 of 97 DOCUMENTS,Austin American-Statesman (Texas),Texas backs EPA in high court case,Asher Price AMERICAN-STATESMAN STAFF,NEWS; Pg. A01,,802 words,,,"November 29, 2006",ENGLISH,,,,,,Newspaper,Copyright 2006 The Austin American-Statesman                               All Rights Reserved
,state,emission,dioxide,carbon,Texas,case,industry,EPA,gas,attorney,general,office,agency,global,refuse,third,much,greenhouse,air,brief,regulate,emit,climate,change,world,plant,U.S.,Clean_Air_Act,warming,court,limit,climatologist,concern,side,signing,onto,accord,ask,involved,utility,new,federal,cause,argue,address,quality,regulation,spokesman,add,million,Michigan,Environmental_Defense,stretch,policy,trial,supreme,today,twelve,squar,fail,job,press,scientist,gulf,coast,flood,within,century,join,smaller,coalition,dangerous,pollutant,consult,environmental,legal,submit,high,commissioner,intervention,derive,formal,request,three,member,commission,intervene,lawsuit,behalf,routine,common,course,regulatory,authority,integrally,governor,comment,emitter,nationally
,13,12,11,10,8,7,7,7,6,6,6,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 30, 2006 Thursday",10 of 97 DOCUMENTS,Austin American-Statesman (Texas),Global warming hits high court,Jeff Nesmith WASHINGTON BUREAU,NEWS; Pg. A08,,580 words,,,"November 30, 2006",ENGLISH,,,,,,Newspaper,Copyright 2006 The Austin American-Statesman                               All Rights Reserved
,justice,global,gas,warming,question,EPA,Scalia,state,greenhouse,government,argument,ask,case,authority,tell,plaintiff,harm,climate,change,Milkey,group,join,consider,emission,carbon,dioxide,argue,court,general,several,regulate,problem,show,whether,stand,bring,cataclysm,time,surround,uncertainty,regulation,pornography,turn,side,petition,pollutant,air,troposphere,Garre,environmentalist,electric,power,company,wednesday,order,restrict,motor,vehicle,behalf,attorney,jame,rise,level,already,cause,erosion,coastline,lawyer,automobile,manufacturer,include,counter,simply,refuse,deputy,u.,solicitor,gregory,garre,complicated,unable,refusal,address,dominate,hour,oral,hammer,right,suit,antonin,scalia,able,suffer,imminent,when,mean,predict,reply,rather
,7,6,5,5,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 31, 2006 Friday",11 of 97 DOCUMENTS,Austin American-Statesman (Texas),Letters,,EDITORIAL; Pg. A14,,1055 words,,,"July 20, 2006",ENGLISH,,,,,,Newspaper,Copyright 2006 The Austin American-Statesman                               All Rights Reserved
,school,global,baseball,warming,make,march,world,fan,we,change,neighborhood,leave,help,Sarasohn,Becker,idea,better,cultural,diversity,human,many,activity,much,district,board,meeting,fire,gate,share,city,call,young,lady,ander,good,column,effort,grow,game,use,watch,great,include,try,give,encourage,editorial,drive,science,factor,natural,climate,today,larger,friend,problem,gentrification,highly,mobile,population,little,interest,building,community,kid,elementary,move,child,spokesperson,deserve,rezone,access,east,south,center,austin,ma'am,commentary,wonder,fun,around,life,hard,horn,American,United_States,MLB,Cuba,Bouldin_Creek,Austin,Oak_Springs,Villas,go,certain,understand,point,squad,far,best
,12,7,6,6,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1
"September 22, 2006 Friday",12 of 97 DOCUMENTS,Austin American-Statesman (Texas),Billionaire to invest in global warming fight,David Ho NEW YORK BUREAU,NEWS; Pg. A03,,680 words,,,"September 22, 2006",ENGLISH,,,,,,Newspaper,Copyright 2006 The Austin American-Statesman                               All Rights Reserved
,Branson,business,billion,global,make,warming,summit,plan,invest,profit,airline,alternative,research,fight,climate,company,president,world,fund,good,Clinton,thursday,expect,train,fuel,cause,private,donation,change,expert,former,bring,generation,parent,wave,environment,million,energy,three,ethanol,use,idea,form,vice,grand,gesture,real,last,industry,focus,money,pledge,commitment,improve,founder,philanthropic,entrepreneur,next,decade,biggest,contribution,ever,specific,largest,billionaire,know,virgin,brand,adventure,announcement,second,found,together,political,nonprofit,group,leader,combat,ill,we,inherite,incredibly,beautiful,must,responsible,irreversibly,damaging,funnel,create,oil,coal,produce,carbon,dioxide,burn,scientist,link,gas,earlier
,11,7,5,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 4, 2006 Sunday",14 of 97 DOCUMENTS,Austin American-Statesman (Texas),LETTERS,,EDITORIAL; Pg. H02,,1032 words,,,"July 20, 2006",ENGLISH,,,,,,Newspaper,Copyright 2006 The Austin American-Statesman                               All Rights Reserved
,employee,may,city,prosperity,millionaire,tax,teacher,Southwest,desirable,redevelopment,block,las,manitas,quote,inevitable,business,help,austin,still,rate,support,increase,take,experience,work,cut,retire,actually,bring,make,quality,add,kid,man,Bush,development,article,might,certainly,property,issue,promote,perfectly,old,downtown,new,need,place,idea,people,lose,council,member,know,better,anyone,future,read,global,warming,piece,predict,number,possibly,raise,acknowledge,begin,error,attempt,teach,greater,class,love,ambassador,neighborhood,club,hostess,fly,Knox,Austin,Clifford,eatery,replace,house,redevelope,correction,suggest,mean,displacement,belief,hardly,think,job,tear,fine,building,fill,viable,successful
,9,7,6,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 26, 2006 Tuesday",16 of 97 DOCUMENTS,Austin American-Statesman (Texas),University of Texas making great strides in diversifying campus,AMERICAN-STATESMAN STAFF,EDITORIAL; Pg. A08,,559 words,,,"September 28, 2006",ENGLISH,"September 28, 2006","In Tuesday's editorial, ""University of Texas making great strides in diversifying campus,"" we incorrectly portrayed recommendations regarding the Confederate Statues on campus by stating that former University of Texas president Larry Faulkner recommended moving the statues from West campus.",,,,Newspaper,Copyright 2006 The Austin American-Statesman                               All Rights Reserved
,student,enrollment,state,minority,black,ut,Texas,percent,university,make,hispanics,use,law,top,record,figure,number,high,court,affirmative,action,college,move,school,change,president,UT,good,whose,population,become,hispanic,compare,total,decade,policy,recruit,admit,texas,racial,well,climate,begin,diversity,gain,attract,thousand,brightest,best,majority,preliminary,encourage,increase,"1,939","7,453",enrol,seem,small,nearly,"50,000",show,signal,something,much,bigger,time,higher,1996,reach,"1,911",rule,name,plaintiff,barred,case,fallout,cause,plunge,take,fully,rebound,bounced,back,faster,legally,prohibit,2002,exceed,level,doubt,loser,gift,go,attend,pursue,career,never,know,many
,16,10,6,6,6,6,6,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 23, 2006 Monday",17 of 97 DOCUMENTS,Austin American-Statesman (Texas),Is Austin unfit?; Some saywe're not the fittest city around. (Gasp!) Mayor has plans to change that,"Pam LeBlanc, AMERICAN-STATESMAN STAFF",LIFESTYLE; Pg. E1,,1811 words,,,"January 27, 2006",ENGLISH,,,,,,Newspaper,Copyright 2006 The Austin American Statesman
,city,Austin,health,fitness,nutrition,eat,rank,exercise,sport,mayor,list,center,fruit,vegetable,magazine,index,time,people,store,food,austin,wynn,physical,we,commute,overweight,goal,run,point,number,care,participation,b+,Men,Austin_Fitness_Index,fittest,country,ranking,prevention,activity,use,2010,much,recreation,public,sedentary,alcohol,park,percentage,percent,improve,goods,Baltimore,Wynn,Disease_Control,Fitness_Council,Boulton,look,make,program,state,2006,2004,put,top,something,better,national,community,four,healthy,possible,100,five,part,category,include,court,level,less,population,increase,big,example,council,nation,adult,minute,score,tv,watch,c+,junk,air,climate,geography,open,space,facility
,19,18,15,14,10,9,9,9,9,8,8,8,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"August 11, 2006 Friday",19 of 97 DOCUMENTS,Austin American-Statesman (Texas),"Ice pack melting faster, say scientists",Jeff Nesmith WASHINGTON BUREAU,NEWS; Pg. A06,,401 words,,,"August 11, 2006",ENGLISH,,,,,,Newspaper,Copyright 2006 The Austin American-Statesman                               All Rights Reserved
,ice,scientist,Greenland,water,melt,ocean,rate,satellite,melting,Tapley,past,measure,cubic,mile,net,loss,summer,much,amount,ut,computer,century,additional,sea,level,heat,snowfall,accumulation,Earth,NASA,Europe,huge,pack,contain,percent,begin,dramatically,faster,thursday,use,data,pair,small,variation,gravity,lose,mean,2004,minus,replace,winter,snow,per,2002,2003,it,kind,sobering,look,deposit,center,finding,confirm,calculation,point,accelerate,consistent,model,predict,course,climate,change,report,today,c.r,j.l,chen,chief,system,know,process,take,raise,global,foot,fact,note,current,alteration,result,massive,may,represent,imminent,danger,rise,constant,northward,movement
,8,7,7,5,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 2, 2006 Monday",20 of 97 DOCUMENTS,Austin American-Statesman (Texas),CENTRAL TEXAS DIGEST,Compiled from staff and wire reports,METRO/STATE; Pg. B2,,980 words,,,"January 2, 2006",ENGLISH,,,"Jaziel Lopez, third child of Elias and Irma Lopez, was born at 12:01 a.m. Sunday at Austin Women's Hospital. From left, Jaime Buzan, Dave Hoffman and Capt. Stephen Street of the Austin Fire Department inspect the roof for hot spots after dousing a fire Sunday at the Fairfield Village Apartments.",,,Newspaper,Copyright 2006 The Austin American Statesman
,lane,police,reduce,road,family,Austin,apartment,drive,fire,kill,interstate,baby,governor,close,Perry,unit,start,sunday,morning,towel,winter,pedestrian,traffic,bear,access,fm,east,Williamson_County,South_Congress_Avenue,damage,woman,try,light,candle,complex,people,five,a.m.,go,record,history,country,weather,temperature,degree,accord,air,vehicle,think,block,call,area,new,2006,give,child,couple,report,ad,make,run,evacuee,wife,son,northbound,southbound,westbound,street,direction,Buck,Anderson_Lane,Irma_Lopez,Cotton_Bowl,Texas,Ryan_Peter_Ruiz,leave,seven,temporarily,displace,vacate,824,fairfield,evacuate,treat,scene,spokesman,lt,palmer,buck,put,paper,hot,oven,burner,hope,use,flam,room,catch
,9,8,8,7,6,6,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 1, 2006 Friday",22 of 97 DOCUMENTS,Austin American-Statesman (Texas),Letters,,EDITORIAL; Pg. A18,,1127 words,,,"September 1, 2006",ENGLISH,,,,,,Newspaper,Copyright 2006 The Austin American-Statesman                               All Rights Reserved
,teacher,Austin,gas,work,life,aug,texan,editorial,story,continue,make,austin,future,education,pay,need,student,downtown,government,scientific,flag,American_Statesman,million,vision,society,history,long,struggle,difference,people,good,salary,school,mayor,wynn,city,thing,go,well,warming,burn,courage,judge,justice,clearly,cause,freedom,man,begin,rights,write,believe,public,association,increase,district,right,meet,higher,motivate,require,post,office,article,problem,within,hear,fire,price,voter,station,rude,orange,global,evidence,cool,reference,environmental,ice,free,speech,educational,system,page,soldier,death,become,Justice,William_Wayne_Justice,Congress,Michael_Crichton,Kentucky,hard,affect,congratulation,excellent,outlining,activist,still
,7,7,6,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1
"September 10, 2006 Sunday",25 of 97 DOCUMENTS,Austin American-Statesman (Texas),"Chinese water plan opens rift between science, state",Craig Simons INTERNATIONAL STAFF,NEWS; Pg. A15,,833 words,,,"September 10, 2006",ENGLISH,,,,,,Newspaper,Copyright 2006 The Austin American-Statesman                               All Rights Reserved
,water,China,western,line,project,scientist,problem,Beijing,move,northern,big,engineering,government,cause,plan,call,massive,prominent,solve,world,live,support,change,damage,top,official,river,flow,Communist_Party,roughly,percent,desert,proposal,tunnel,reservoir,environmental,unlike,draw,expert,often,need,senior,member,serious,people,much,general,many,save,past,president,degree,guo,supporter,really,building,environment,divert,province,can,north,Mao,Yellow_River,Guo_Kai,Zhao,Guo,sound,audacious,trillion,gallon,equivalent,annually,turn,parch,land,field,forest,ambitious,build,hundred,mile,aqueduct,reminiscent,carry,little,oversight,1950,1960,era,chorus,protest,scientific,community,create,rare,rift,statesmen,discord,prevent
,18,14,6,5,5,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 6, 2006 Wednesday",28 of 97 DOCUMENTS,Austin American-Statesman (Texas),Spruced-up Hyatt is on the market,- Shonda Novak AMERICAN-STATESMAN STAFF,BUSINESS; Pg. D01,,1154 words,,,"December 6, 2006",ENGLISH,,,,,,Newspaper,Copyright 2006 The Austin American-Statesman                               All Rights Reserved
,hotel,plan,project,million,market,tower,room,property,downtown,build,site,fairfield,change,include,Fairfield,Hyatt,new,open,sell,lot,construction,street,Town_Lake,Austin,AquaTerra,condominium,2005,much,management,time,vice,president,developer,real,estate,percent,rate,start,next,luxury,crescent,buyer,design,part,condo,McCaslin,purchase,marketing,buy,october,investment,hand,residential,company,intend,land,office,strong,occupy,average,although,interest,make,add,other,three,marriott,development,august,many,begin,zone,story,south,parking,partner,slated,building,view,take,comment,may,city,limit,restaurant,former,makeover,Johnston,Congress_Avenue,Crescent,Brandt,Third,Marriott,Red_River,San,multimillion_dollar,newly,remodel,recently
,28,14,10,8,7,7,7,6,6,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1
"May 17, 2006 Wednesday",29 of 97 DOCUMENTS,Austin American-Statesman (Texas),Letters,,NEWS; Pg. A10,,1045 words,,,"May 18, 2006",ENGLISH,,,,,,Newspaper,Copyright 2006 The Austin American-Statesman                               All Rights Reserved
,Austin,power,people,time,percent,downtown,austin,cut,tree,live,rail,safety,student,god,news,may,article,good,recent,four,make,bad,lot,letter,take,child,pass,senior,word,sunday,sentence,democracy,become,change,design,front,page,building,vision,area,home,suggest,appear,line,outage,neighborhood,we,storm,let,go,last,turn,know,open,safer,yet,concern,commuter,travel,reagan,state,leave,behind,however,attend,church,thing,read,lawyer,try,language,never,dead,election,congressional,race,party,republican,country,weaken,City_Council,Houston,Bush,daring,truly,grace,skyline,finally,architectural,landmark,distinction,raise,bar,future,project,ensure,vitality,thank,developer
,8,6,5,5,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 21, 2006 Friday",32 of 97 DOCUMENTS,Austin American-Statesman (Texas),Plans for coal plants blasted,Asher Price AMERICAN-STATESMAN STAFF,METRO & STATE; Pg. B01,,754 words,,,"July 21, 2006",ENGLISH,,,,,,Newspaper,Copyright 2006 The Austin American-Statesman                               All Rights Reserved
,plant,coal,propose,power,technology,Texas,energy,emission,percent,report,company,gas,environmental,group,cost,environmentalist,IGCC,online,past,much,country,use,improve,new,Austin,increase,go,accord,national,call,make,generator,cleaner,generating,natural,renewable,continue,across,dioxide,damage,government,policy,expand,exist,air,quality,gasification,far,produce,electricity,run,time,permit,director,agency,thing,clean,lower,drop,coal_powered,greenhouse,state,release,thursday,sense,rush,publish,association,accelerate,climate,change,lion,share,currently,nation,demand,grow,become,increasingly,valuable,resource,although,triple,eight,still,cheaper,less,political,hot,potato,nuclear,wind,solar,carry,high,capital,150,public,interest
,25,15,10,9,7,7,6,6,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 18, 2006 Saturday",34 of 97 DOCUMENTS,Austin American-Statesman (Texas),Feds signal a shift on Alcoa deal,Asher Price AMERICAN-STATESMAN STAFF,METRO & STATE; Pg. E01,,802 words,,,"November 18, 2006",ENGLISH,,,,,,Newspaper,Copyright 2006 The Austin American-Statesman                               All Rights Reserved
,plant,new,Alcoa,permit,settlement,TXU,air,motion,citizen,group,company,government,2003,emission,alcoa,power,neighbor,unit,call,federal,earlier,state,energy,operation,three,job,pollution,million,require,generating,2007,build,exist,deadline,meet,justice,department,compromise,keep,run,move,allow,use,old,apply,stricter,week,way,deal,aluminum,buy,txu,lawyer,represent,part,include,emit,environmental,ton,reach,continue,nitrogen,oxide,argue,rate,percent,employ,next,Rockdale,coal_powered,Zars,latest,battle,central,texas,appear,willing,corp,site,instead,demand,position,laid,court,open,giant,largest,control,smelting,mile,northeast,cheer,rights,involved,jilt,obtain,person,debate,give
,15,11,11,10,9,8,7,7,6,6,6,5,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 13, 2006 Wednesday",35 of 97 DOCUMENTS,Austin American-Statesman (Texas),"TXU, Austin company team up to try out emissions converter",Asher Price AMERICAN-STATESMAN STAFF,METRO & STATE; Pg. B02,,264 words,,,"December 13, 2006",ENGLISH,,,,,,Newspaper,Copyright 2006 The Austin American-Statesman                               All Rights Reserved
,plant,company,technology,emission,coal_fired,TXU,small,design,reduce,power,test,utility,carbon,dioxide,gas,emit,facility,big,brown,energy,new,CO2,privately,fund,sign,deal,equipment,belong,convert,greenhouse,chemical,use,baking,soda,dishwashing,powder,accord,txu,spokeswoman,buy,share,less,percent,plan,install,mile,east,january,opportunity,put,place,unscrubbed,coal,center,state,current,environmental,debate,propose,building,include,expand,unit,million,ton,annually,link,global,climate,change,fastest,way,meet,grow,appetite,though,economical,capture,exist,today,make,investment,support,development,reduction,help,become,reality,future,statement,last,week,several,institutional,investor,press,explain,co2,case
