PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"October 30, 1999, Saturday",1 of 144 DOCUMENTS,Austin American-Statesman (Texas),Earth's no stranger to quick climate shifts,Paul Recer,News; Pg. A2,,474 words,,,"November 1, 1999",ENGLISH,,,,,,,Copyright 1999 The Austin American-Statesman
,change,ice,temperature,climate,study,warming,warm,Earth,Greenland,age,end,suggest,decade,global,gas,much,may,sudden,greenhouse,carbon,dioxide,Severinghaus,thousand,new,publish,friday,world,happen,expert,p.,severinghaus,trap,last,abrupt,increase,still,take,scientist,effect,might,tans,many,cause,core,OKokay,grip,abruptly,soar,accord,finding,prompt,fresh,concern,suddenly,method,analyze,show,air,rapidly,"15,000",ago,degree,lead,author,journal,science,within,couple,old,idea,find,faster,rapid,touch,surge,current,bring,melting,trend,vast,sheet,cover,hundred,recede,start,great,thaw,think,tippy,prone,stable,long,period,subject,right,condition,know,next,100
"May 1, 1999, Saturday",16 of 144 DOCUMENTS,Austin American-Statesman (Texas),Cty movesto keep its weather on even keel,Dick Stanley,News; Pg. A1,,369 words,,,"May 1, 1999",ENGLISH,,,,,,,Copyright 1999 The Austin American-Statesman
,city,average,new,official,condition,meteorologist,Bergstrom,airport,temperature,degree,change,site,central,weather,Austin,low,climate,rural,rainfall,inch,heavier,station,forecast,happen,recently,april,morning,old,hover,freezing,prevent,perception,close,may,determine,international,allow,ease,fact,winter,colder,summer,hotter,drastically,switch,differ,much,chiefly,elevation,almost,100,foot,lower,cold,air,warm,collect,place,houstonian,similar,problem,1970,service,monitor,move,forest,north,side,break,record,time,measure,forecaster,consider,likely,run,faucet,uselessly,skew,hard,freeze,builder,rely,establish,method,suit,compile,bergstrom,planner,gaug,potential,flooding,effect,concrete,rain,runoff,juggle,figure,fit
,6,5,4,4,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 3, 1999",20 of 144 DOCUMENTS,Austin American-Statesman (Texas),Industry seeks credit for air emission cuts,John H. Cushman Jr.,News; Pg. A9,,544 words,,,"January 3, 1999",ENGLISH,,,,,,,Copyright 1999 The Austin American-Statesman
,credit,company,treaty,reduction,gas,emission,action,greenhouse,industry,make,legislation,early,limit,administration,take,debate,Senate,propose,face,big,valuable,last,eventually,achieve,cut,voluntary,earn,group,already,bill,Pew_Center,Congress,Chafee,global,warming,uncertain,future,maneuver,push,give,control,waste,strictly,negotiate,sign,require,steep,industrial,nation,approve,despite,widespread,opposition,major,sure,effect,2008,mark,significant,shift,potentially,link,financial,interest,goal,supporter,succeed,revive,effort,persuade,voluntarily,meet,mix,success,potential,winner,executive,director,former,negotiator,help,move,support,seem,way,apply,strict,later,able,deeper,sell,surplus,billion,dollar,trading,system,set,much,stake
,9,8,7,7,6,6,5,5,5,5,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 10, 1999, Saturday",21 of 144 DOCUMENTS,Austin American-Statesman (Texas),China asks for environmental technology// Chinese premier says trade deficit could be eased while cutting pollution,George Gedda,News; Pg. A2,,548 words,,,"April 10, 1999",ENGLISH,,,"Carol Browner, center, of the Environmental Protection Agency, and Chinese official Zeng Peiyan sign an environmental agreement Friday. Chinese Premier Zhu Rongji and Vice President Al Gore applaud at left. Mary Brandt of the State Department Office of Treaty Affairs is at right.",,,,Copyright 1999 The Austin American-Statesman
,China,Zhu,trade,president,United_States,American,Clinton,technology,friday,environment,official,campaign,WTO,export,deficit,air,pollution,premier,tell,thursday,second,greenhouse,gas,climate,world,cooperate,political,agreement,lawmaker,country,write,investigation,interview,U.S.,Gore,Chinese,Burton,environmental,key,eas,well,water,problem,zhu,arduous,task,we,protect,forum,development,visit,meet,dispute,estimate,billion,contend,figure,exaggerate,willing,surplus,cleaner,happen,happy,speak,translator,vice,al,rank,respectively,worldwide,emission,must,work,together,solution,effect,global,change,trend,continue,compete,21st,century,title,largest,producer,suggest,help,reduce,clean,think,develop,advanced,regard,fully,prepare,flank,conservative,sen
,13,10,5,5,5,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 13, 1999, Sunday",22 of 144 DOCUMENTS,Austin American-Statesman (Texas),"For many environmentalists, deregulation is a dirty word; They fear","Kitta MacPherson, Bruce Hight",Business; Pg. J1,,1431 words,,,"June 16, 1999",ENGLISH,,,,,,,Copyright 1999 The Austin American-Statesman
,energy,power,plant,company,consumer,deregulation,emission,utility,market,percent,environmentalist,coal,environmental,group,new,state,industry,Svenson,long,policy,source,way,time,accord,federal,cheap,analyst,sell,gas,broker,cost,dioxide,nitrogen,oxide,people,director,force,electric,law,become,green,realize,coal_fired,Natural_Resources_Defense_Council,Indiana,New_Jersey,American_Electric_Power,nation,natural,relationship,dirty,exist,grid,within,supply,customer,demand,concern,burn,sulfur,smog,kind,right,opt,change,produce,often,data,offer,best,opportunity,wholesale,make,purchase,create,maintain,clean,spokeswoman,local,pollution,wind,air,regulation,roll,back,clock,open,include,fire,meet,restructuring,renewable,price,wave,competitor,contribute,technology,support,other
,23,16,15,11,10,8,8,7,6,5,5,5,5,5,5,5,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"August 16, 1999, Monday",23 of 144 DOCUMENTS,Austin American-Statesman (Texas),"Cleaner energy coming,; Austinites may soon get to buy power from",Dylan Rivera,Metro/State; Pg. B1,,1194 words,,,"August 16, 1999",ENGLISH,,,Austin is negotiating to buy electricity created by turbines like these in West Texas.,,,,Copyright 1999 The Austin American-Statesman
,energy,gas,renewable,source,electricity,Austin,Austin_Energy,city,utility,landfill,company,customer,methane,use,electric,cost,power,plant,Kapner,coal,increase,natural,percent,pay,warming,global,program,negotiation,release,atmosphere,per,turn,air,new,emission,residential,fuel,willing,invest,price,charge,time,probably,go,change,planet,austin,summer,expand,contribute,contract,buy,home,supply,official,currently,five,environmental,step,nuclear,problem,run,produce,waste,burn,carbon,dioxide,factor,ozone,quality,account,service,environmentally,friendly,higher,bill,business,plan,fall,commercial,sign,people,know,council,approve,may,garbage,electrical,pipe,compressor,push,generator,voltage,ground_level,next,flip,light,switch,television
,25,15,13,13,11,10,10,9,7,7,7,7,7,6,6,6,6,6,6,5,5,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1
"August 11, 1999, Wednesday",24 of 144 DOCUMENTS,Austin American-Statesman (Texas),Surprise drought made forecasters miss by miles,Seth Borenstein,News; Pg. A1,,857 words,,,"August 12, 1999",ENGLISH,,,,,,,Copyright 1999 The Austin American-Statesman
,dring,forecast,meteorologist,weather,summer,prediction,problem,spring,timing,Climate,winter,farmer,service,center,chief,monitor,rain,factor,el,nio,side,season,still,better,dry,spell,agriculture,east,new,soil,Laver,Peterlin,nation,forecaster,predict,include,relatively,expert,flip,make,manager,rely,scientist,go,bad,way,tougher,break,big,much,department,la,nia,water,strong,effect,plan,National_Weather_Service,New_Jersey,Agriculture,Agriculture_Department,five,ago,top,warn,worsen,rest,country,worry,shortage,official,concede,fail,historic,proportion,combination,wet,lead,astray,media,hype,phenomena,success,middle,1990,seem,reliable,indeed,though,everyone,investor,emergency,next,climate,bit,crapshoot,art,form,drive
,17,10,9,9,8,8,6,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 2, 1999, Sunday",25 of 144 DOCUMENTS,Austin American-Statesman (Texas),U.S.-backed center will study fuel emissions,,News; Pg. A9,,216 words,,,"May 2, 1999",ENGLISH,,,,,,,Copyright 1999 The Austin American-Statesman
,center,emission,public,work,slater,sustainable,president,Detroit,Transportation,announce,plan,monday,create,global,climate,change,environmental,forecast,better,deal,problem,cause,carbon,dioxide,transportation,accounting,percent,nation,department,historically,describe,agency,need,ability,conduct,scientific,research,gauge,benefit,emerge,technology,alternative,fuel,secretary,rodney,noting,closely,pleased,take,back,seat,issue,environment,announcement,america,conference,beginning,today,organizer,predict,draw,least,"3,000",official,corporate,executive,air,water,pollution,expert,vice,schedule,speak,tuesday,forum,sponsor,council,development,nonprofit,group,WASHINGTON,Transportation_Department,fossil_fuel,greenhouse_gas,Environmental_Protection_Agency,Energy_Department,Slater,National_Town_Meeting,four_day,Gore,Global_Environment,Technology_Foundation,General_Motors
,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 14, 1999",30 of 144 DOCUMENTS,Austin American-Statesman (Texas),THE MOTLEY FOOL,,Business; Pg. H3,,1249 words,,,"March 14, 1999",ENGLISH,,,,,,,Copyright 1999 The Austin American-Statesman
,asset,company,net,earning,business,float,bond,percent,sale,money,market,turnover,divide,revenue,crash,name,Wal_Mart,insurance,receive,pay,take,cost,coupon,"10,000",per,use,have,income,profit,margin,call,billion,car,stock,loss,many,zero,payment,return,statement,total,dollar,several,million,change,product,make,try,explain,1997,letter,number,premium,time,insurer,invest,typically,usually,cover,run,less,rate,much,lend,interest,back,amount,today,capital,intensive,generate,software,simply,investor,calculate,need,balance,sheet,fiscal,1999,result,multiply,top,0.0318,average,2.94,word,9.4,create,investment,global,share,sell,yet,reason,stay,walk,people,price
,15,12,9,8,6,6,6,6,6,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"April 29, 1999, Thursday",31 of 144 DOCUMENTS,Austin American-Statesman (Texas),"Southern comfort or classic Hollywood, new lines set the scene; Furniture makers hope to trigger emotions with familiar images",Allen Norwood,Lifestyle; Pg. E2,,849 words,,,"April 29, 1999",ENGLISH,,,"Lexington's Southern Living collection, named for the magazine, features alder, a warm casual wood.  It will have its public debut in May at Southern Living's Idea House in Austin and will appear in the magazine in August.",,,,Copyright 1999 The Austin American-Statesman
,new,collection,furniture,Stetson,company,line,name,Lexington,leather,home,furnishings,piece,magazine,feature,Southern_Living,market,base,fabric,way,sofa,upholstery,world,look,popular,million,country,design,*,American,hope,image,conjure,hat,classic,pecan,introduce,wholesale,license,president,environment,space,arm,chair,bear,resemble,band,mahogany,chest,trim,drawer,front,part,spring,bring,dark,finish,sale,make,formal,color,show,gray,High_Point,Vanguard,French,Strickland,n.c.,introduction,three,persuade,we,buy,cowboy,movie,coffee,pie,veranda,huge,conclude,last,week,unveiled,display,agreement,industry,try,create,emotional,response,buyer,vice,marketing,sell,total,lodge,west,rustic,fact,softer
,10,10,7,7,5,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 28, 1999, Sunday",34 of 144 DOCUMENTS,Austin American-Statesman (Texas),"The original SLACKERS//Austinites of A.D. 1000 wore sandals, padded canoes and hung around Barton Springs.  So what else is new?",Janet Wilson,Lifestyle; Pg. E1,,2303 words,,,"March 28, 1999",ENGLISH,,,"Town Lake.//Tools were important to the hunters and gatherers who lived here at the turn of the last millennium. Bows and arrows were in use as well as scrapers (below right) and knives (beneath arrow heads). The round stone (left), called a mano, was used for grinding seeds.//Early Central Texans gather around an earth oven to prepare meals. In a site near Round Rock, archaeologists found charcoal beneath and around stones they believe were used as an oven. For thousands of years, indigenous people hunted wild game, fished and livednear the area now known as Lou Neff Point, where Barton Creek empties into Town Lake. Frank A.Weir, an Austin artist, archaeologist and anthropologist with expertise on the ancient history of Central Texas, created for the Austin American-Statesman this painting of what life might have looked like here in A.D. 1000. //The view today: Centuries come and go but Austinites continue to take pleasure in scouting Lou Neff Point overlooking",,,,Copyright 1999 The Austin American-Statesman
,people,along,find,Collins,live,time,early,know,Texas,plant,life,area,archaeologist,believe,use,today,move,resource,Austin,settler,hunt,burn,make,farm,Native_Americans,ago,creek,land,work,take,water,director,new,century,expert,river,archaeological,group,place,evidence,another,well,change,family,wall,think,art,Central_Texas,Hester,"1,000",hunter,set,animal,throughout,research,turn,site,study,lot,help,paint,among,north,grow,large,gather,home,eat,dog,great,boundary,start,population,long,around,across,descendant,probably,rock,village,bone,base,resident,central,right,dring,weir,San_Marcos,building,tall,grass,tree,bed,climate,austinite,gatherer,tent,prehistoric,part
,14,11,11,11,10,9,8,8,8,7,7,7,7,7,7,6,6,6,6,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
"July 18, 1999, Sunday",35 of 144 DOCUMENTS,Austin American-Statesman (Texas),"Ecology growing as issue in race ,; Environmental policy sure to",Ralph K.M. Haurwitz,News; Pg. A1,,1981 words,,,"July 19, 1999",ENGLISH,,,"Al Gore: Has been careful not to overplay issue dear to him. ; George W. Bush: Gives mixed signals on wildlife, ozone.",,,,Copyright 1999 The Austin American-Statesman
,environmental,Bush,president,Gore,governor,vice,issue,state,campaign,protect,environment,legislation,book,water,back,hand,administration,gore,write,ozone,global,bush,park,policy,warming,emission,reduce,federal,priority,plan,environmentalist,push,law,list,presidential,interest,voter,current,air,local,major,announce,think,run,pursue,agenda,land,plant,help,bill,program,development,along,make,sign,four,mix,million,director,endangered,species,spring,initiative,Clinton,1992,man,deep,rhetoric,focus,broader,son,former,point,tell,take,care,fine,far,still,clean,safe,area,appear,education,news,important,21st,nominate,recent,require,scientific,approach,aggressive,action,problem,sponsor,increase,spend,acquisition
,20,17,13,13,11,10,10,9,8,8,8,6,6,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"August 15, 1999, Sunday",36 of 144 DOCUMENTS,Austin American-Statesman (Texas),"U.S. may be in for doozy of a drought, experts say; But if a serious",Philip Brasher,News; Pg. A8,,608 words,,,"August 26, 1999",ENGLISH,,,"Residents say they've been watching the water levels at Tridelphia State Park near Baltimore drop since last fall. Parched and cracked, this reservoir is expected to run dry within a month. ; Steve Hoke, left, and brother Roger Hoke Jr. walk through a field of what is left of the family's corn crop last week. Drought has stunted the plants on their Mechanicsburg, Pa., farm.",,,,Copyright 1999 The Austin American-Statesman
,dring,percent,country,drought,crop,farmer,government,cover,last,community,prepare,deal,expert,1988,water,low,buy,insurance,federal,commission,policy,force,use,normal,continue,winter,weather,nation,expect,accord,spend,little,money,coverage,soybean,insure,corn,Plains,dry,spell,go,1999,merely,average,size,historical,climate,pattern,hold,true,americans,due,major,least,third,official,decade,integrate,network,observation,station,monitor,develop,frequently,implement,conservation,measure,source,run,thousand,though,heavily,subsidize,premium,secretary,dan,glickman,head,new,charge,recommend,national,tornadoe,flood,heart,attack,quick,strike,compel,people,spring,immediately,action,cancer,slow,insidious,always,easy,detect
,17,10,6,6,6,5,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 20, 1999, Saturday",41 of 144 DOCUMENTS,Austin American-Statesman (Texas),Good lessons can be learned from funds' bad times,Chet Currier,Weekly Business Review; Pg. 2,,652 words,,,"March 20, 1999",ENGLISH,,,,,,,Copyright 1999 The Austin American-Statesman
,fund,manager,time,value,market,change,investment,stock,try,may,question,investor,many,style,company,1998,performance,happy,high,ask,right,world,take,seem,reason,climate,new,indexe,international,growth,circumstance,stand,firm,strategy,overhaul,portfolio,respond,back,approach,number,never,understand,good,recently,better,always,whole,way,hostile,discount,small_cap,learn,lot,mutual,struggle,spell,poor,return,people,bother,tough,either,net,asset,rise,mind,much,inquisitive,turn,pay,especially,measure,popular,average,fine,lag,happen,past,give,unusual,select,shine,other,barely,break,worse,soar,internet,convey,impression,bull,run,rampant,reinforce,idea,disappointment,common,experience,among
,20,9,5,5,5,5,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 28, 1999, Tuesday",47 of 144 DOCUMENTS,Austin American-Statesman (Texas),U.S. colleges urged to recruit more women in sciences,Mary Ann Roser,News; Pg. A1,,1123 words,,,"December 29, 1999",ENGLISH,,,"Professors Linda Reichl, left, a physicist, and Shelley Payne, a microbiologist, are working on a report on the status of female students and faculty at UT.",,,,Copyright 1999 The Austin American-Statesman
,woman,faculty,physics,professor,science,department,female,university,UT,ut,percent,United_States,country,tenure,study,Payne,percentage,member,scientist,face,work,problem,Reichl,MIT,man,isolate,number,better,Dresselhaus,among,school,although,make,report,student,job,need,child,committee,tend,many,change,Hopkins,hungary,retire,another,prestigious,add,head,microbiology,status,climate,lose,lead,improve,look,intimidating,may,environment,national,sometimes,pressure,culture,take,five,equity,less,engineering,issue,individual,minority,people,lower,discipline,Turkey,University,Texas,Korea,Europe,question,smallest,answer,lag,far,behind,consider,become,lone,physicist,end,recruiting,never,completely,hardly,ever,research,nation,count,194
,31,13,11,10,10,9,9,8,8,7,7,7,6,6,6,6,5,5,5,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 8, 1999, Wednesday",54 of 144 DOCUMENTS,Austin American-Statesman (Texas),Latest Mars failures prompting hard look at NASA,Kathy Sawyer,News; Pg. A1,,1057 words,,,"December 8, 1999",ENGLISH,,,,,,,Copyright 1999 The Austin American-Statesman
,mission,lander,failure,program,spacecraft,NASA,loss,space,team,approach,agency,probe,investigator,landing,Martian,mar,official,add,change,2001,look,push,go,million,small,lose,problem,plan,carry,rover,reassessment,interplanetary,tuesday,whole,administrator,launch,atmosphere,friday,several,technical,include,way,better,communication,learn,number,cost,people,suggest,huge,much,smaller,strategy,give,call,scientist,another,schedule,build,risky,spend,human,error,notice,similar,correct,polar,difficult,flight,base,acknowledge,might,something,likely,never,attempt,complex,robotic,science,samples,rocket,send,material,orbit,sample,return,Mars_Polar_Lander,Jet_Propulsion_Laboratory,Mars,Dan_Goldin,Lander,calif,devastating,entire,generation,trigger,total,exploration,table
,13,11,7,6,6,6,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1
