PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"June 16, 2004 Wednesday",1 of 103 DOCUMENTS,Austin American-Statesman (Texas),Rising seas erode Britain's coastline; Climate change doesn't seem to be waiting until the day after tomorrow,"Don Melvin, INTERNATIONAL STAFF",NEWS; Pg. A17,,774 words,,,"July 18, 2004",ENGLISH,,,,,,Newspaper,Copyright 2004 The Austin American Statesman
,sea,rise,report,Britain,global,warming,may,government,London,release,scientist,protect,flooding,level,problem,abandon,effort,coast,billion,threat,warn,might,city,foot,change,official,trust,recently,effect,country,lead,coastline,eat,away,threaten,expert,home,title,grow,retreat,part,study,go,century,warning,leader,security,write,head,weapon,terrorism,climate,area,inland,barrier,local,environmental,coordinate,policy,mile,National_Trust,British,climate_change,Samuels,Aberdeen_City_Council,point,movie,sudden,melt,polar,ice,cap,extent,tide,five,story,high,crash,less,visually,spectacular,believe,horrifying,perhaps,fact,rather,fiction,island,nation,shrink,private,charity,buys,shoreline,countryside,stretch,simply,wait,assortment
"June 6, 2004 Sunday",11 of 103 DOCUMENTS,Austin American-Statesman (Texas),"To embody diversity, schools need new art","Patrick Slattery, SPECIAL TO THE AMERICAN-STATESMAN",INSIGHT; Pg. E1,,839 words,,,"June 12, 2004",ENGLISH,,,Patrick Slattery,,,Newspaper,Copyright 2004 The Austin American Statesman
,statue,Texas,president,diversity,ut,public,Faulkner,move,campus,Confederate,new,time,university,include,education,art,commission,propose,war,recognize,representation,historical,institution,campuse,student,texas,former,well,Woodrow_Wilson,Jefferson_Davis,Littlefield_Fountain,Matthew_Gaines,plan,leader,thematically,without,change,climate,must,multiple,however,higher,interpretation,commissioning,tour,make,visual,century,king,professor,plaza,install,text,complex,museum,division,racism,place,flagship,University,South_Mall,Administration_Building,UT,Davis,Wilson,part,suggest,tower,unified,location,around,contends,group,original,intent,sculptor,instinct,good,achieve,culture,artistic,proposal,seriously,flaw,reinforce,biase,yet,present,master,provide,alternative,current,conduct,walk,past,six,research,purpose,deconstructing
,25,11,10,8,8,6,6,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 7, 2004 Saturday",16 of 103 DOCUMENTS,Austin American-Statesman (Texas),LETTERS,,EDITORIAL; Pg. A14,,1091 words,,,"August 8, 2004",ENGLISH,,,Dee Jackson CK McFarland Gov. Rick Perry says the Home Depot deal is a classic example of the private and public sectors working together to bring investment to Texas.,,,Newspaper,Copyright 2004 The Austin American Statesman
,state,film,industry,job,Texas,million,every,read,incentive,think,many,seem,change,vote,work,holiday,teacher,wear,offer,good,however,benefit,new,economic,better,administration,create,coverage,voter,people,expand,tax,jeans,Austin,area,program,let,front,promote,lose,number,shoot,production,bye,right,project,include,cost,recruit,system,standard,2004,ask,today,four,ago,afraid,demonstrate,military,republican,time,team,page,look,manner,event,pay,truth,voting,receive,require,another,constitutional,amendment,preference,qualification,allow,austin,five,money,around,school,dress,shoe,professional,student,Home_Depot,MICHAEL,Strayhorn,july,home,depot,bring,850,forget,place,gov,center,greater
,17,13,7,7,7,6,5,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1
"April 1, 2004, Thursday",18 of 103 DOCUMENTS,Austin American-Statesman (Texas),"Infernal combustion DIRECTOR GUILLERMO DEL TORO HAD IT MADE:VIN DIESEL OUT, RON PERLMAN IN.INPUT FROM CREATOR MIKE MIGNOLA.EVERYTHING BUT THE FIVE-STORY BABY CRIB.","JOHN DeFORE, AMERICAN-STATESMAN STAFF",XL Ent; Pg. 32,,932 words,,,"April 2, 2004",ENGLISH,,,"After the success of his film 'Blade II,' director Guillermo del Toro, left, won the freedom to make his own choices about making 'Hellboy.' One of those choices was casting actor Ron Perlman in the lead role. // For the movie, del Toro said he tried to match the tone and colors set forth by 'Hellboy' creator Mike Mignola, right.",,,,Copyright 2004 The Austin American Statesman
,del,make,feel,comic,movie,way,toro,use,change,work,idea,film,anything,hellboy,least,filmmaker,back,well,right,guy,know,fan,agree,find,crib,night,adapt,Toro,stuff,thing,director,still,production,though,family,basically,heat,compromise,little,backbone,project,ii,put,better,actor,meeting,everything,go,sort,really,time,past,much,look,series,every,shot,black,artist,start,interest,many,bit,you,duty,sometimes,think,convinced,something,discover,war,carve,dark,wood,rock,sky,red,call,labyrinth,metaphor,house,satyr,fairy,tale,Guadalajara,Devil,Vin_Diesel,Mignola,five_story,Gothic,let,sad,proud,austinite,tally,may,impression,native,life
,8,5,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1
"February 12, 2004, Thursday",22 of 103 DOCUMENTS,Austin American-Statesman (Texas),CENTRAL TEXAS DIGEST,Compiled from staff and wire reports,Metro/State; Pg. B2,,894 words,,,"February 15, 2004",ENGLISH,,,,,,,Copyright 2004 The Austin American Statesman
,school,wednesday,official,rent,notice,game,bid,utility,horse,stab,Hillyer,airport,rock,water,city,cap,county,pay,emission,fund,week,bank,police,execute,Texas,landing,resident,boil,round,issue,may,home,three,kill,"25,000",generate,million,gas,wildlife,limit,take,set,percent,energy,dispute,landlord,unpaid,reach,teacher,show,work,unable,building,maintain,cash,officer,sixth,man,robbery,pregnant,Williamson_County,Gharbi,Austin,Lagrone,austin,rough,pilot,aboard,airplane,bit,scare,afternoon,gear,collapse,touchdown,international,injury,report,operation,interrupt,urge,southeast,effect,p.m.,today,pipeline,construction,suffer,temporary,loss,pressure,morning,heavy,rain,shift,line,concrete,force,leak
,8,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 22, 2004 Tuesday",24 of 103 DOCUMENTS,Austin American-Statesman (Texas),Letters,,EDITORIAL; Pg. A8,,1057 words,,,"June 22, 2004",ENGLISH,,,Jay Swann was one of 78 cadets who graduated from the Austin Police Academy on Friday to become police officers.,,,Newspaper,Copyright 2004 The Austin American Statesman
,Iraq,global,june,editorial,link,war,9/11,fact,warming,police,go,al,commission,article,administration,show,president,training,qaeda,bush,report,evidence,tell,fight,think,scientist,America,NASA,grateful,series,insight,department,real,word,heart,austin,credible,help,sept,find,terrorist,board,terror,support,diplomacy,missile,change,face,threat,weapon,mass,destruction,world,another,put,make,reason,present,collaboration,military,emotion,good,great,loyal,ethic,general,law,complaint,take,mention,tax,side,rise,dispute,human,cast,doubt,climate,satellite,surface,temperature,pass,Saddam_Hussein,Qaeda,U.S.,BOB,Kennedy,Bush,Woelk,Texans,Republican_Majority,House,officer,afford,program,rightfully,ask,wrong,spite
,10,8,7,6,6,6,6,6,6,5,5,5,5,5,5,5,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1
"September 21, 2004 Tuesday",27 of 103 DOCUMENTS,Austin American-Statesman (Texas),Young people seem ready to hit the polls in a big way,"Ricardo Gandara, AMERICAN-STATESMAN STAFF",NEWS; Pg. A1,,1069 words,,,"September 22, 2004",ENGLISH,,,"Rock the Vote President Jehmu Greene, who grew up in Austin, predicts that the 18-to-24 group will have an impact this election. UT senior Kunal Merchant reregistered to change his address at the Iron Cactus this month. He says he and his friends 'all feel that individual votes count.' At left is volunteer Warren Bane.",,,Newspaper,Copyright 2004 The Austin American Statesman
,voter,register,vote,young,people,rock,election,Vote,Texas,go,level,2000,percent,effort,summer,group,time,duty,know,voting,study,national,poll,high,turnout,involved,campaign,school,new,registration,jury,fort,whether,make,difference,work,change,student,university,freshman,war,director,committed,take,spring,politics,declare,music,local,graduate,interest,begin,nonpartisan,tuition,senior,deputize,sign,draft,volunteer,bus,Greene,University,UT,Travis_County,night,j.t,ponder,question,count,stress,activist,across,country,try,notion,single,matter,gauge,really,excited,booth,ticket,wonder,feel,empty,business,especially,motivate,issue,economy,security,hot,commodity,indication,newly,youth,actually,cast,recently
,21,14,13,12,8,7,7,6,6,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 11, 2004 Saturday",29 of 103 DOCUMENTS,Austin American-Statesman (Texas),A push to open federal records; Senator hopes to curb secrecy using rules like those in Texas,"Chuck Lindell, AMERICAN-STATESMAN STAFF",NEWS; Pg. A1,,1023 words,,,"December 14, 2004",ENGLISH,,,"John Cornyn: Texan wants quicker release of records, a third-party review of denials.",,,Newspaper,Copyright 2004 The Austin American Statesman
,government,information,Cornyn,agency,request,federal,open,law,public,deny,legal,record,act,general,Freedom,next,good,citizen,people,go,able,document,deadline,change,know,group,work,2002,process,decision,take,thing,leahy,sen,secrecy,legislation,demand,access,file,remain,hope,presume,answer,denial,luck,become,though,make,other,report,review,appeal,step,lawsuit,much,seek,use,effort,democrat,openness,rather,serious,memo,national,security,staff,continue,senator,create,issue,important,attorney,office,climate,best,way,Texas,Washington,Congress,Senate,White_House,disturb,introduce,force,release,freely,think,toothless,often,let,bureaucrat,legitimate,repercussion,boss,servant,tell,elect,official,put
,16,15,12,10,8,7,7,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 12, 2004 Sunday",31 of 103 DOCUMENTS,Austin American-Statesman (Texas),The United Church of America?; Many world citizens view election results as a signal of the ascendancy of evangelical Christians,"Don Melvin and George Edmonson, INTERNATIONAL STAFF",BUSINESS; Pg. E1,,1740 words,,,"December 12, 2004",ENGLISH,,,,,,Newspaper,Copyright 2004 The Austin American Statesman
,Bush,world,religious,China,people,percent,U.S.,conservative,Christian,think,term,many,political,religion,christians,evangelicals,United_States,Israel,American,seem,part,influence,relation,policy,support,foreign,believe,conflict,concern,politics,history,kind,second,feel,way,give,attitude,country,go,state,view,much,understand,value,evangelical,professor,time,right,god,administration,priority,change,tension,human,rights,Muslim,president,four,know,international,large,number,vote,perception,convert,less,create,ally,muslim,evangelist,fundamentalist,thing,government,mirror,image,bin,group,scholar,true,mean,dialogue,try,break,moral,numerous,poll,affair,association,prophecy,area,matter,reason,pressure,great,interest,organization,goal,democracy,issue
,12,9,9,9,8,8,8,7,7,6,6,6,6,6,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"April 10, 2004, Saturday",33 of 103 DOCUMENTS,Austin American-Statesman (Texas),"Relying on 'sin taxes' to finance Texas schools a stopgap, not a solution",AMERICAN-STATESMAN STAFF,Editorial; Pg. A10,,1003 words,,,"April 11, 2004",ENGLISH,,,Rick Perry,,,,Copyright 2004 The Austin American Statesman
,tax,school,state,local,property,plan,million,increase,raise,Perry,finance,sale,price,district,Texas,public,revenue,company,three,cap,sin,admission,use,business,student,money,cigarett,education,car,avoid,liability,determine,appraisal,government,club,expand,burden,change,tobacco,Austin,party,topless,proposal,good,reduce,generate,propose,bar,video,track,capture,dollar,lose,need,restructuring,many,include,require,buyer,seller,show,proof,172,spend,rely,financing,rate,city,yet,service,rank,income,drip,formula,new,legal,way,crisis,statesman.com,per,pack,addition,billion,lottery,percent,annual,Springs,Lamesa,Limit,part,schoolchild,smoke,gamble,hearty,joint,joke,neither,governor,make
,34,12,12,10,9,8,8,8,8,8,6,6,6,6,6,5,5,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1
"May 15, 2004 Saturday",34 of 103 DOCUMENTS,Austin American-Statesman (Texas),"A vision pursued: City seeks a grandplan for Seaholm; Old plant reimagined as arts, transit center","Jonathan Osborne, AMERICAN-STATESMAN STAFF",NEWS; Pg. A1,,1139 words,,,"May 17, 2004",ENGLISH,,,"The 65-foot ceilings at the old Seaholm Power Plant could someday provide a dramatic setting for an arts center. Seaholm project manager Jay Rollo, right, and Oscar Backus of Austin Energy toured the defunct 1950s-era facility on Friday. The city might solicit plans for the redevelopment starting next week. Far left, Jay Rollo, right, and Oscar Backus peer at the maze of staircases traversing the three cavernous levels of Seaholm Power Plant. The building's art deco stylings as seen from the front, above, would remain intact no matter the final design of a renovation. Looking out of the windows east, the Frost Bank Tower stands above a web of transformers and power lines.",,,Newspaper,Copyright 2004 The Austin American Statesman
,city,plant,Seaholm,land,project,art,downtown,make,cultural,next,block,plan,property,Lumbermen,vision,become,future,district,council,station,developer,bid,Futrell,surround,leader,power,area,sit,use,home,north,envision,kind,right,change,go,let,together,south,think,transportation,official,proposal,seaholm,centerpiece,vibrant,retail,hub,private,own,west,treatment,east,rest,central,library,something,preserve,master,emerge,residence,restaurant,member,union,shop,three,decade,include,run,look,public,train,center,need,currently,site,tower,try,zone,allow,control,option,interested,find,group,put,problem,Town_Lake,Austin,Austin_City_Limits,Texas_Music_Hall,Fame,city_owned,City_Hall,McCracken,stare,across,deco,icon
,14,13,11,8,7,6,6,6,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1
"May 18, 2004 Tuesday",36 of 103 DOCUMENTS,Austin American-Statesman (Texas),"With no school finance bill, Legislature ends 2 days early","Ben Wear and Ken Herman, AMERICAN-STATESMAN STAFF",NEWS; Pg. A1,,747 words,,,"May 18, 2004",ENGLISH,,,"What's next? Gov. Rick Perry, flanked by Speaker Tom Craddick, left, and Lt. Gov. David Dewhurst, said Monday that two groups will study schools so another session can start 'in the very near future.' With the Legislature adjourned, Sen. Florence Shapiro, second from right, gets a farewell kiss from Gov. Rick Perry after Perry and legislative leaders gathered to talk about what's next. At far left is Perry's chief of staff, Mike Toomey; at far right is Perry spokeswoman Kathy Walt.",,,Newspaper,Copyright 2004 The Austin American Statesman
,tax,school,Perry,Craddick,property,session,finance,special,monday,lawmaker,state,House,Senate,end,might,back,create,shoulder,week,dewhurst,solution,possible,good,without,bill,case,mean,fall,make,work,group,form,away,effort,consensus,gov,joint,accord,right,difference,system,district,change,new,business,legalize,slot,machine,least,news,conference,begin,ask,move,closer,together,payroll,vote,governor,plan,legislature,chamber,legislation,august,statewide,rule,crisis,june,hope,statesman.com,Dewhurst,Legislature,spirit,friday,fact,adjourn,earlier,expect,approve,summer,much,depend,progress,plug,impass,block,produce,lt,clear,appearance,trigger,bring,reach,detailed,pay,important,issue,run,clock
,11,10,7,7,6,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 26, 2004 Wednesday",37 of 103 DOCUMENTS,Austin American-Statesman (Texas),"SBC pact is labeled a gain for union; In tight times for telecom, a modest pay raise shows labor won a slight edge in negotiations, analysts say","Renuka Rayasam, AMERICAN-STATESMAN STAFF",BUSINESS; Pg. C1,,819 words,,,"May 28, 2004",ENGLISH,,,,,,Newspaper,Copyright 2004 The Austin American Statesman
,contract,union,increase,SBC,pay,company,worker,percent,health,care,cost,job,strike,new,member,cash,bonus,side,still,analyst,slightly,telecommunication,decline,revenue,rather,negotiate,base,change,retiree,represent,tuesday,include,wage,security,local,need,inc.,telecom,concession,able,lot,lower,term,employee,last,raise,plan,billion,five,share,higher,coverage,monthly,250,million,well,annual,third,premium,guarantee,area,four_day,CWA,Verizon,co_payments,agree,"102,000",hour,end,12:01,a.m.,work,settlement,major,stick,point,nation,phone,service,provider,hash,february,expire,april,vote,process,take,although,compromise,better,people,generally,look,wireline,a.g.,edwards,economic,environment,state
,14,12,12,11,9,9,8,7,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 7, 2004 Monday",38 of 103 DOCUMENTS,Austin American-Statesman (Texas),LETTERS,AMERICAN-STATESMAN,NEWS; Pg. A10,,1184 words,,,"July 4, 2004",ENGLISH,,,Jimmy Castro,,,Newspaper,Copyright 2004 The Austin American Statesman
