PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
29 November 2018,1 of 144 DOCUMENTS,Austin American-Statesman (Texas),POLITIFACT; Cold spells don't negate climate change big picture,John Kruzel PolitiFact.com,TX NEWS; Pg. A2,,592 words,,,"February 26, 2019",ENGLISH,,,,,Article,,Copyright 2018                               All Rights Reserved
,global,temperature,drop,climate,Pletka,biggest,scientist,we,claim,2016,last,change,tell,average,trend,coldest,part,false,climatologist,article,event,degree,NASA,two_year,human,go,know,cool,1980,100,misleading,data,show,time,2017,warmest,record,take,place,february,c.,term,understanding,anything,long_term,Climate,impact,uncheck,warming,inflict,devastating,effect,environment,economy,public,health,warn,government,report,week,hear,national,assessment,blare,distress,call,other,less,alar,meet,press,foreign,policy,expert,conservative,allow,happen,hasten,add,cause,fact,main,contributor,argue,issue,subject,hysteria,certain,weather,phenomena,period,overlook,mainstream,media,narrative,need,recognize,talk,agenda
,bag,wall,plastic,Trump,dec.,change,strategy,state,climate,article,ban,build,commentary,democrat,Austin,luxury,legislator,problem,continue,avoid,think,reusable,instead,future,without,shift,sand,word,negotiate,insanity,give,people,illegal,immigration,thiessen,elect,control,foot,pro,border,promise,issue,potential,crisis,report,single_use,Marc_Thiessen,Obama,Senate,need,seek,revive,hooray,rep.,bill,heed,advice,justice,directly,tackle,cause,disposable,accord,new,research,planet,series,tiny,particle,call,microplastic,find,food,chain,insect,fish,human,body,consumer,cup,good,corporate,steward,expand,every,texas,store,industry,creative,petroleum,product,wasteful,make,manufacture,durable,trash,compostable,paper,easy
,12,7,6,6,5,5,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 23, 2018 Wednesday",26 of 144 DOCUMENTS,Austin American-Statesman (Texas),Recipes to help you enjoy some of summer's bounty,Addie Broyles American-Statesman Staff,LIFE; Pg. D1,,2105 words,,,"May 23, 2018",ENGLISH,,,,,,Newspaper,Copyright 2018 The Austin American-Statesman                               All Rights Reserved
,squash,garlic,use,salt,oil,sauce,make,gnocchi,teaspoon,add,food,recipe,cut,knife,heat,serve,cheese,work,tomatoe,potatoe,olive,bowl,book,dish,paste,queso,fresco,cheesecake,pepper,tablespoon,large,minute,combine,cup,butter,dough,water,Half,summer,chef,fresh,flower,board,sure,back,flour,find,restaurant,tomato,leave,place,side,clove,press,time,pound,lemon,taste,kosher,cook,stir,cream,fill,sugar,oven,baking,warm,plus,pot,fork,Alon_Shaya,writer,tour,new,harissa,flavor,have,male,female,rest,chili,cumin,prepare,top,give,remove,trim,chop,sprinkle,small,piece,skillet,cold,together,crust,egg,ounce,springform,pan
,13,13,12,12,11,10,9,9,9,9,8,8,8,8,8,8,8,8,8,8,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"June 21, 2018 Thursday",28 of 144 DOCUMENTS,Austin American-Statesman (Texas),"The Texas GOP's platform, by God",Ken Herman American-Statesman Staff,METR; Pg. B1,,868 words,,,"June 21, 2018",ENGLISH,,,,,,Newspaper,Copyright 2018 The Austin American-Statesman                               All Rights Reserved
,plank,law,state,include,GOP,platform,call,change,world,support,Texas,last,still,reasonable,we,natural,woman,though,party,education,sale,end,teach,sexual,U.S.,family,try,week,official,eye,331,affirm,oppose,stuff,gop,government,plain,notion,marriage,man,anyone,political,life,think,participation,assume,possible,receive,repeal,know,close,ban,vehicle,senator,socialism,form,democrat,sex,school,scientific,theory,behavior,biological,bless,God,due,commitment,wise,guy,committed,skip,convention,thanks,glorious,gift,write,word,peruse,behold,wonderment,document,however,please,assure,cast,similar,adopt,gather,biennial,festival,thursday,night,event,f*ck,stand,begin,belief,unfunded,mandate
,18,6,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 8, 2018 Sunday",29 of 144 DOCUMENTS,Austin American-Statesman (Texas),Natural gas group pushed energy curriculum,Asher Price American-Statesman Staff,MAIN; Pg. A1,,2745 words,,,"July 9, 2018",ENGLISH,,,,,,Newspaper,Copyright 2018 The Austin American-Statesman                               All Rights Reserved
,energy,gas,curriculum,teacher,material,science,Texas,state,source,natural,oil,industry,project,renewable,school,Texas_Natural_Gas_Foundation,ut,student,group,classroom,writer,official,education,use,money,another,member,include,develop,2016,company,â,board,Morgan,environmental,fossil,fuel,whose,take,teach,provide,information,environment,question,accord,make,resource,go,write,consider,work,email,expert,statesman,solar,wind,power,professor,middle,part,executive,director,think,problem,footprint,Austin,mind,found,office,least,across,grant,appear,pay,push,language,june,debate,nonrenewable,mention,change,global,warming,aim,tell,move,foundation,time,agency,summer,training,unit,tout,benefit,public,thing,pressure,feel,help
,47,23,22,20,19,18,17,14,14,12,12,11,11,11,10,10,9,9,8,8,8,8,8,8,7,7,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
17 October 2018,30 of 144 DOCUMENTS,Austin American-Statesman (Texas),Bridge is area 's 3rd to fall in 3 years; The RM 2900 bridge over the Llano River wasn't made to withstand modern flood levels.,Sean Collins Walsh scwalsh@statesman.com,TX NEWS; Pg. A1,,835 words,,,"February 26, 2019",ENGLISH,,,,,Article,,Copyright 2018                               All Rights Reserved
,bridge,flood,city,build,storm,withstand,Kingsland,likely,Austin,design,recent,data,rain,engineer,accord,area,rm,2900,plain,Llano,TxDOT,causeway,texas,destroy,last,change,construction,lead,state,many,base,federal,weather,event,major,damage,civil,river,foot,tuesday,upstream,level,road,large,however,water,meet,expect,estimate,cost,replace,million,transportation,town,resident,break,debris,Llano_River,Texas,Bishop,Attanasio,Wimberley,Lake_Austin,1969,succumb,rage,third,central,floodwater,expert,climate,exacerbate,natural,factor,meteorologist,name,flash,alley,"53,000",century,1950,intense,common,rapid,exurban,development,create,impervious,cover,runoff,inevitable,future,sooner,rather,later,founder,nonprofit,initiative,crest
,22,10,7,6,6,5,5,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14 November 2018,33 of 144 DOCUMENTS,Austin American-Statesman (Texas),Expected flood map changes drive $22M jump in Travis Co. bond budget,Taylor Goldenstein tgoldenstein@statesman.com,TX NEWS; Pg. B1,,497 words,,,"February 26, 2019",ENGLISH,,,,,Article,,Copyright 2018                               All Rights Reserved
,county,million,bond,report,commissioner,project,floodplain,expect,budget,increase,drainage,rain,tuesday,proposition,staffer,work,change,storm,larger,Travis_County,Austin,spend,additional,2017,road,federal,approve,percent,tell,present,money,affect,atlas,use,climate,rainfall,data,bring,need,public,cost,bridge,stormwater,Texas,nonvoter_approved,anticipation,expand,predict,extreme,previously,unanimously,raising,voter,boost,amount,raise,105,identify,funding,source,option,december,likely,sell,timeline,kind,redefine,record,historical,new,show,closer,inch,part,similar,emergency,management,agency,well,city,local,government,update,map,reflect,meantime,place,official,expert,widespread,implication,urban,plan,land,development,engineering,effect,publish,september
,9,8,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2 December 2018,34 of 144 DOCUMENTS,Austin American-Statesman (Texas),"In 2014, for the first time ever the U.S. Border Patrol repo",Nestor P. Rodriguez,TX OPINION; Pg. A25,,773 words,,,"February 26, 2019",ENGLISH,,,,,Article,,Copyright 2018                               All Rights Reserved
,U.S.,migrant,American,border,central,Central_Americans,woman,without,danger,Central_America,Central,apprehend,migration,include,percent,experience,research,gang,support,americans,migrate,family,government,child,Mexican,Guatemala,Mexico,2014,time,report,unauthorize,number,man,fleeing,affect,climate,change,associate,el,three,work,hundred,violence,business,shoot,young,kill,military,involvement,visa,face,seek,detain,deport,death,due,home,every,send,national,policy,status,force,end,small,moral,non_Mexicans,Honduras,Salvadoran,Washington,ever,patrol,crosser,primarily,today,continue,much,lower,less,fifth,watermark,mexican,unaccompanied,minor,violent,environment,literally,life,economic,weak,state,nation,protect,vulnerable,citizen,adversely,add,mix,recent
,13,11,8,7,6,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 21, 2018 Sunday",39 of 144 DOCUMENTS,Austin American-Statesman (Texas),Community news,American-Statesman Staff,METR; Pg. B2,,794 words,,,"January 22, 2018",ENGLISH,,,,,,Newspaper,Copyright 2018 The Austin American-Statesman                               All Rights Reserved
,tree,war,AMERICAN_STATESMAN,world,ii,include,faculty,course,feb,veteran,turn,county,event,sickle,cell,disease,education,information,thursday,p.m.,host,ticket,native,city,plant,STAFF,Camp_Next_Level,Austin,give,"1,200",fruit,shade,customer,available,offering,species,plum,chinkapin,oak,foot,present,answer,question,offer,annual,prepare,adulthood,college,preparation,job,fair,member,teach,climate,chapter,meeting,time,older,grant,space,volunteer,wednesday,communitynew,statesman.com,TreeFolks,Austin_Energy,Mexican,Master_Naturalists,San_Marcos,treefolk,away,distribute,a.m.,noon,saturday,11928,stonehollow,drive,giveaway,2018,free,may,bring,id,utility,bill,proof,residence,understory,large,stature,lemon,fig,pomegranate,anacacho,orchid,red,container,tall
,13,6,6,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 31, 2018 Wednesday",40 of 144 DOCUMENTS,Austin American-Statesman (Texas),Co-working space's startups to seek social change,Lori Hawkins American-Statesman Staff,BUSINESS; Pg. B7,,360 words,,,"January 31, 2018",ENGLISH,,,,,,Newspaper,Copyright 2018 The Austin American-Statesman                               All Rights Reserved
,space,co_working,social,Notley,founder,desk,Austin,Center,Social_Innovation,startup,tackle,issue,new,change,access,world,nonprofit,business,local,provide,campus,program,include,studio,dedicated,conference,well,general,design,big,environmental,soon,place,work,collaborate,launch,education,climate,health,care,poverty,experience,emergence,enterprise,spilling,university,tech,entrepreneur,philanthropic,venture,become,next,innovation,capital,model,poise,important,miss,piece,people,incite,action,around,cause,inside,building,partner,downtown,accelerator,fundraising,opportunity,educational,network,mentor,private,lounge,area,"5,000",square,foot,meeting,membership,application,currently,accept,price,start,325,unassigned,room,member,programming,service,cost,450,found,2015,former,ceo
,9,5,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15 October 2018,42 of 144 DOCUMENTS,Austin American-Statesman (Texas),You say,,TX OPINION; Pg. A9,,741 words,,,"February 26, 2019",ENGLISH,,,,,Article,,Copyright 2018                               All Rights Reserved
,religious,belief,vote,tax,pastor,carbon,U.S.,bond,election,proposal,need,oct,freedom,lawsuit,believe,protect,diverse,constitution,job,interview,pollution,Austin,voter,ratification,million,district,school,classroom,drop,additional,early,really,show,practice,representative,law,best,article,conservative,council,long,wish,local,continue,pass,hearing,aside,wait,2040,consequence,Pflugerville,isd,deserve,support,urge,within,upcoming,item,332,help,address,security,growth,without,raising,fund,new,elementary,middle,addition,roof,repair,host,improvement,swap,overall,rate,cent,1.54,1.52,per,100,assess,property,valuation,possibly,lead,4.1,state,funding,use,everyday,expense,teacher,salary,material,routine,maintenance,quick
,6,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19 October 2018,43 of 144 DOCUMENTS,Austin American-Statesman (Texas),You say,,TX OPINION; Pg. A7,,656 words,,,"February 26, 2019",ENGLISH,,,,,Article,,Copyright 2018                               All Rights Reserved
,poll,ted,public,carbon,Ted_Cruz,schoolteacher,right,go,governor,political,education,call,make,vote,ruthlessness,cruz,pollution,GOP,clout,retiree,certain,billion,private,school,dollar,take,shade,opinion,thiessen,side,conservative,story,presidential,sell,soul,insider,show,senator,politician,define,attack,best,leave,need,wait,2040,consequence,Michael,Cruz,Beto,midterm,attention,election,around,corner,let,remember,key,thing,2011,party,cut,budget,former,state,board,member,whose,child,subtly,deceptive,tool,perversion,fund,tout,economy,robust,vibrant,mention,extra,lieutenant,tax,give,love,have,do,health,insurance,another,register,voter,lawmaker,know,use,constitutional,difference,tip,gile,oct.
,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
28 November 2018,45 of 144 DOCUMENTS,Austin American-Statesman (Texas),Texan clears hurdle for energy commission despite concerns; Bernard McNamee criticized renewable energy and mocked environmentalists Bernard McNamee faced criticism over comments about environmentalists,Maria Recio AmericanStatesman correspondent,TX NEWS; Pg. A1,,736 words,,,"February 26, 2019",ENGLISH,,,,,Article,,Copyright 2018                               All Rights Reserved
,McNamee,energy,fossil,fuel,sen,video,renewable,tuesday,nomination,think,recognize,change,climate,believe,Murkowski,Texas_Public_Policy_Foundation,former,panel,federal,regulatory,commission,murkowski,environmental,recently,surface,promote,february,find,make,conservative,resource,need,role,official,expect,another,industry,something,move,independence,grid,committee,vote,approve,fair,impartial,arbiter,base,law,fact,speech,issue,view,statement,confirm,work,policy,head,Texas,Mr._McNamee,texas,lawyer,aide,prominent,draw,criticism,member,narrowly,advanced,powerful,lisa,chairwoman,echoe,concern,raise,advocate,national,campaign,boost,criticize,mock,group,remark,legislator,comment,unfortunate,review,presentation,great,deal,possible,continue,president,disavow,landmark,report,government,release,last
,10,9,6,6,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1 December 2018,47 of 144 DOCUMENTS,Austin American-Statesman (Texas),you say,,TX OPINION; Pg. A13,,410 words,,,"February 26, 2019",ENGLISH,,,,,Article,,Copyright 2018                               All Rights Reserved
