PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"June 10, 2002, Monday",2 of 65 DOCUMENTS,Austin American-Statesman (Texas),What we can do to cut energy use,American-Statesman,Editorial; Pg. A10,,547 words,,,"June 10, 2002",ENGLISH,,,,,,,Copyright 2002 The Austin American Statesman
,energy,wind,fossil,fuel,air,source,power,take,alternative,though,solar,use,light,web,site,report,role,human,play,change,bush,debate,consumer,federal,look,number,good,leave,instead,rely,appliance,save,keep,bulb,footprint,Bush,Austin_Energy,last,week,administration,send,time,clearly,acknowledge,existence,global,warming,cause,phenomenon,burn,much,harm,already,do,president,nothing,except,adapt,onslaught,criticism,begin,conservative,liberal,alike,distance,finding,spokesman,ari,fleischer,fall,back,earlier,campaign,rhetoric,cite,uncertainty,science,climate,scientific,political,continue,however,need,wait,resolve,action,curb,foul,question,pollute,pollution,literally,drive,being,regulatory,commission,chairman,pat,wood
"December 7, 2002, Saturday",8 of 65 DOCUMENTS,Austin American-Statesman (Texas),UT scientist's satellite project will take stock of Earth's ice,"Ralph K.M. Haurwitz, AMERICAN-STATESMAN STAFF",News; Pg. A1,,659 words,,,"December 7, 2002",ENGLISH,,,"The ICESat, set for launch soon, will carry a laser designed to measure, among other things, the growth or shrinkage of the world's ice caps. Such data could help explain global warming's effects.",,,,Copyright 2002 The Austin American Statesman
,satellite,ice,laser,Schutz,space,determine,team,elevation,project,sheet,use,aerospace,shrink,launch,cause,time,system,measurement,UT,aim,point,interest,engineering,whether,cap,grow,orbit,measure,level,global,warming,scientist,example,rise,increase,political,change,research,rather,week,technical,aboard,object,must,beam,position,sense,device,red,dot,give,slide,show,soon,professor,version,polar,science,leader,unmanned,later,least,three,ocean,height,vegetation,ecological,condition,affect,232,million,part,effort,deepen,understanding,planet,study,vantage,wide,agreement,among,pollution,contribute,many,detail,process,ramification,roughly,understand,temperature,melting,near,edge,warmer,atmosphere,hold,moisture,precipitation,there
,9,8,7,7,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 10, 2002, Sunday",9 of 65 DOCUMENTS,Austin American-Statesman (Texas),"Girding for an invasion of Iraq As U.N. prepares for inspections, U.S. readies troops for the 'or else'","George Edmonson, WASHINGTON BUREAU",Insight; Pg. F1,,3403 words,,,"November 16, 2002",ENGLISH,,,,,,,Copyright 2002 The Austin American Statesman
,Iraq,U.S.,war,troops,weapon,military,force,Saddam,foot,air,invasion,attack,United_States,new,base,know,cost,Iraqi,number,use,region,equipment,American,Baghdad,al,world,1991,gulf,desert,fight,scenario,station,go,official,command,center,airstrike,among,near,plan,chemical,ground,bomb,least,deploy,regime,home,mostly,mission,pound,navy,Bush,U.N.,Kuwait,pre_positioned,Pentagon,resolution,intelligence,nation,report,ally,often,key,planner,weather,launch,biological,target,campaign,around,many,operation,toward,estimate,soldier,country,battle,personnel,range,wingspan,length,million,billion,change,Saddam_Hussein,Persian_Gulf,inspection,face,president,next,event,inspector,people,army,combat,recently,tank,armored,upgrade
,31,28,26,26,19,19,19,18,13,12,10,10,10,8,8,8,8,8,7,7,7,7,7,7,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3
"November 10, 2002, Sunday",10 of 65 DOCUMENTS,Austin American-Statesman (Texas),"Girding for an invasion of Iraq As U.N. prepares for inspections, U.S. readies troops for the 'or else'","George Edmonson, WASHINGTON BUREAU",Insight; Pg. F1,,3403 words,,,"November 10, 2002",ENGLISH,,,,,,,Copyright 2002 The Austin American Statesman
,Iraq,U.S.,war,troops,weapon,military,force,Saddam,foot,air,invasion,attack,United_States,new,base,know,cost,Iraqi,number,use,region,equipment,American,Baghdad,al,world,1991,gulf,desert,fight,scenario,station,go,official,command,center,airstrike,among,near,plan,chemical,ground,bomb,least,deploy,regime,home,mostly,mission,pound,navy,Bush,U.N.,Kuwait,pre_positioned,Pentagon,resolution,intelligence,nation,report,ally,often,key,planner,weather,launch,biological,target,campaign,around,many,operation,toward,estimate,soldier,country,battle,personnel,range,wingspan,length,million,billion,change,Saddam_Hussein,Persian_Gulf,inspection,face,president,next,event,inspector,people,army,combat,recently,tank,armored,upgrade
,31,28,26,26,19,19,19,18,13,12,10,10,10,8,8,8,8,8,7,7,7,7,7,7,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3
"June 11, 2002, Tuesday",11 of 65 DOCUMENTS,Austin American-Statesman (Texas),Austin Ventures' startup fund cut,John Pletz and Cara Anna AMERICAN-STATESMAN STAFF,News; Pg. A1,,1000 words,,,"June 12, 2002",ENGLISH,,,,,,,Copyright 2002 The Austin American Statesman
,company,fund,firm,money,Austin_Ventures,investor,million,venture,back,new,much,invest,young,less,startup,raise,go,Thornton,decide,give,investment,last,change,move,percent,deal,partner,lot,size,need,put,software,boom,business,ago,think,market,office,manage,av,lab,cut,mean,Austin,capital,better,receive,tell,billion,830,work,next,industry,amount,smaller,number,fall,thing,point,biggest,leave,tech,plenty,reason,cash,price,pay,longer,plan,staff,find,separate,well,fee,term,statesman.com,Texas,join,grow,roster,major,largest,agree,pony,1.5,half,notify,without,direction,type,general,stick,know,best,communication,semiconductor,spend,region,marquee
,18,14,13,13,12,11,10,8,8,7,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 19, 2002, Wednesday",13 of 65 DOCUMENTS,Austin American-Statesman (Texas),Dealing with bullying to deter battery,"Susan Smith, American-Statesman Columnist",Metro/State; Pg. B1,,511 words,,,"June 19, 2002",ENGLISH,,,,,,,Copyright 2002 The Austin American Statesman
,school,bullying,violence,program,take,tease,bully,tell,adult,someone,child,elementary,sexual,harassment,relationship,son,SafePlace,Rosenbluth,remember,harass,other,stop,make,woman,help,family,crisis,shelter,monday,conference,uncheck,dating,national,girl,pilot,teacher,intervene,we,change,climate,school_based,Gloria_Amaya,request,back,playground,moment,educator,counselor,gather,campus,everyone,workshop,title,batter,childhood,story,vividly,nightmare,ask,target,need,peer,among,answer,audience,mostly,strike,whisking,sometimes,man,secure,emergency,organization,open,new,past,executive,director,explore,link,often,dismiss,play,become,high,behalf,develop,nationally,recognize,prevent,survey,bigger,problem,drug,teen,sex,eye,fix,crayon
,8,7,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 23, 2002, Sunday",14 of 65 DOCUMENTS,Austin American-Statesman (Texas),A lament for Texas' lost chance to clear the air,"Steve Bickerstaff, SPECIAL TO THE AMERICAN-STATESMAN",Insight; Pg. H1,,1154 words,,,"June 23, 2002",ENGLISH,,,,,,,Copyright 2002 The Austin American Statesman
,program,Texas,state,emission,testing,1995,political,law,1994,repeal,texan,lead,become,group,environmental,EPA,Bush,report,warming,condition,expedience,destroy,reduce,gas,without,air,vehicle,mandate,contract,world,however,election,government,federal,soon,begin,responsibility,effort,motor_vehicle,Whitmire,release,2002,late,global,inevitable,change,live,least,policy,gov,significantly,greenhouse,quality,motor,early,major,region,design,jan,execute,cost,time,indicate,voter,sentiment,conservative,republican,leader,attack,liberal,intrusion,private,although,create,kill,leave,face,many,think,among,december,enable,oppose,plan,abrogation,support,openly,opportunity,democrat,fear,politician,appear,200,million,judgment,United_States,Richards,Republican,recently
,24,15,14,12,11,8,7,6,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
"November 19, 2002, Tuesday",15 of 65 DOCUMENTS,Austin American-Statesman (Texas),IBM to build the world's fastest supercomputers// Austin designers will play a major role with machine that will simulate nuclear testing,"Kirk Ladendorf, AMERICAN-STATESMAN STAFF",Business; Pg. D1,,647 words,,,"November 19, 2002",ENGLISH,,,,,,,Copyright 2002 The Austin American Statesman
,computer,supercomputer,IBM,use,work,Blue_Gene,big,compute,power,together,deliver,processor,ASCI_Purple,company,operation,system,scientific,research,house,node,problem,do,design,Austin_designed,Arimilli,contract,world,powerful,project,department,different,put,part,purple,nuclear,testing,second,change,calif,2004,tie,center,chip,fast,specialize,much,require,king,Austin,Energy,New_York,290,million,federal,make,right,middle,blue,current,top,500,combine,machine,equal,greater,human,brain,job,initiative,researcher,simulate,model,weapon,substitute,underground,range,study,global,climate,investigate,interaction,air,pollution,chemical,makeup,atmosphere,near,asci,government,stage,2003,2005,closely,size,basketball,court,software,basic,building
,11,8,7,6,6,6,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 10, 2002, Wednesday",17 of 65 DOCUMENTS,Austin American-Statesman (Texas),Wine festival sees a bouquet of confusion,Jordan Mackay Special to the American-Statesman,Lifestyle; Pg. E1,,622 words,,,"April 12, 2002",ENGLISH,,,Vineyards such as Texas Hills Vineyard in Johnson City are finding the right grapes for our climate.,,,,Copyright 2002 The Austin American Statesman
,wine,Texas,grape,California,Italian,panel,winery,industry,variety,festival,produce,discussion,Italy,though,much,present,fashion,eight,among,represent,think,primitivo,heat,grow,quality,make,less,tempranillo,cabernet,sauvignon,nonclassic,shame,texas,Food,Barbera,view,sort,birthday,ritual,celebrate,every,candle,cake,blow,official,theme,food,coherent,comparative,tasting,hold,saturday,morning,four,season,messy,unfocused,exercise,jumble,together,couple,found,happen,substantive,exchange,attempt,intrigue,dapper,young,critique,signature,piedmont,region,travel,family,similarly,show,relative,yet,offer,contrast,moribund,cal,ital,foil,precede,lively,time,almost,credit,go,moderator,correspondent,r.w,apple,open,praise,taste,close
,16,8,7,7,6,5,5,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 11, 2002, Saturday",18 of 65 DOCUMENTS,Austin American-Statesman (Texas),"GOP strategist, a Texas native, is leaving party","Jena Heath, WASHINGTON BUREAU",News; Pg. A12,,622 words,,,"May 11, 2002",ENGLISH,,,"Texas A&M grad John Weaver, left, was political director of Sen. John McCain's failed bid for the presidency in 2000.",,,,Copyright 2002 The Austin American Statesman
,Weaver,change,McCain,director,former,candidate,U.S.,Republican,Bush,look,campaign,week,ago,guy,weaver,think,GOP,sen,2000,political,move,divorce,presidential,camp,help,win,senate,election,course,remain,strategist,talk,obviously,hit,three,become,issue,John_Weaver,Rove,Republican_Party,try,manhattan,neighborhood,fresh,big,executive,national,field,phil,gramm,1996,bid,man,break,rank,w.,bush,join,bus,tour,leave,effort,gov,seat,strategizing,midterm,puzzle,native,university,graduate,provoke,something,stronger,raise,eyebrow,among,brethren,drink,never,fully,recover,consultant,thing,differently,surprised,person,land,democrat,along,anyway,friend,feedback,nasty,stuff,surprising,hard,feeling,nearly,theory
,7,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 19, 2002, Saturday",19 of 65 DOCUMENTS,Austin American-Statesman (Texas),Has mold met its match? Building science could succeed where traditional construction has failed in preventing home scourge,"Julie Bonnin, SPECIAL TO THE AMERICAN-STATESMAN",Business; Pg. F1,,1231 words,,,"October 19, 2002",ENGLISH,,,"Doug Garrett, president of Building Performance & Comfort, is among those getting the word out about how to stem the swelling tide of mold problems in homes and other buildings. // Randy Erwin",,,,Copyright 2002 The Austin American Statesman
,building,mold,house,home,problem,work,vapor,expert,air,wall,Garrett,construction,builder,new,moisture,use,barrier,material,technique,factor,homeowner,make,dry,window,program,science,among,widespread,grow,prevent,contractor,speak,thing,design,much,climate,many,build,warm,complicated,lot,system,green,conference,include,Austin,change,cause,word,president,require,speaker,topic,information,advise,nov,engineer,architect,other,right,go,board,cellulose,insulation,add,energy,water,install,door,cold,code,place,sense,state,keep,move,wet,inside,try,part,although,less,put,standard,guide,education,call,plumb,heating,together,cost,international,exposition,professional,site,Texas_Department,Health,air_conditioning,Texas
,21,11,9,9,8,7,7,6,6,6,6,5,5,5,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"December 21, 2002, Saturday",20 of 65 DOCUMENTS,Austin American-Statesman (Texas),Another budget burden: rubbish! Austin might face choice of higher fees or different pickup days for different trash,"Jonathan Osborne, AMERICAN-STATESMAN STAFF",Metro/State; Pg. B1,,774 words,,,"December 24, 2002",ENGLISH,"December 24, 2002, Tuesday","On Page B1 of Saturday's Metro & State section, a story about how city finances could affect trash services was incorrect in reporting which services the city is considering privatizing. The city is considering privatizing the sorting and processing of recycled material.","The city's operating costs for trash and recycling collection are up, and officials say they're either going to have to slightly increase what residents pay or change the way garbage pickup is scheduled. They say the way trucks make their rounds now is not efficient. Charley White watches in his rearview mirror as a trash container's contents are dumped into a City of Austin refuse truck.",,,,Copyright 2002 The Austin American Statesman
,city,garbage,make,Stephens,time,tax,revenue,recycl,trash,rate,service,collection,resident,yard,cost,save,increase,pickup,have,spend,percent,go,million,talk,truck,pick,change,Futrell,financial,outlook,avoid,almost,clipping,operating,might,ask,three,separate,manager,convenience,use,budget,council,start,meeting,we,property,next,gap,general,fund,sale,already,last,forecast,less,level,people,put,trimming,week,schedule,pay,difference,Austin,Detwiler,seek,understand,grim,need,look,farther,can,charge,per,cart,away,recyclable,rise,neighborhood,set,disposable,many,move,toby,worth,member,better,question,hearing,often,2004,discussion,begin,january,earliest,ever,annual,rough
,15,8,6,6,5,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 3, 2002, Sunday",21 of 65 DOCUMENTS,Austin American-Statesman (Texas),"Witness to war Photograhing Afghan refugees, Austinite Alan Pogue chronicles a nation's pain, one face at a time",Brad Buchholz,Lifestyle; Pg. K1,,717 words,,,"February 3, 2002",ENGLISH,,,"In the words and photos of Alan Pogue: This Afghan father, Abdul Rahim, and his daughter Sadiga have been displaced by the war and are now living in tents in the Shamshatoo refugee camp in Peshawar, Pakistan. His daughter is sick
they are waiting to see the doctor. As refugees, they are in limbo -- and they don't know what's going to happen one day to the next. You see that lack of equilibrium in them, that 'life out of balance.' // This is an Afghan boy in the Shamshatoo refugee camp -- and I took his portrait because of his striking eyes, which are outlined with kohl. Look at his sweater. Look at the texture of the fabric. You wouldn't say, by looking at this photo, that this is a poor refugee child. But what I found is that most refugees 'look' good.  Wool is plentiful. Cloth of good quality is cheap. I had an entire garment made -- tailoring and fabric -- for $8, and I'm sure they hiked the price. So in a sense, you can look good -- yet still be hungry. // I saw a lot of kids picking through trash",,,,Copyright 2002 The Austin American Statesman
,people,woman,refuge,camp,land,mine,Pogue,city,visit,hospital,leg,blow,Peshawar,civilian,war,refugee,street,thousand,afghan,many,learn,son,prosthetics_making,peace,know,life,photograph,shot,photo,maim,either,caption,upon,force,impoverish,pakistanis,culture,live,peshawar,lot,car,never,walk,treat,school,man,father,hand,Pakistan,Afghan,Afghanistan,vietnam,vet,activist,documentary,photographer,recently,spend,northern,assignment,organization,base,northwest,seek,afghanistan,whose,disrupt,prosthetics,factory,heroin,addict,busy,downtown,child,scaveng,trash,mortar,fire,bombing,raid,afghans,warm,accept,happy,welcome,humble,dwelling,write,previously,document,victim,have,hurt,natural,disaster,catastrophe,political,control,dec.
,9,8,5,5,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 30, 2002, Saturday",22 of 65 DOCUMENTS,Austin American-Statesman (Texas),"So long, Sen. Gramm, we'll miss you",,Editorial; Pg. A14,,711 words,,,"November 30, 2002",ENGLISH,,,"From his pre-politics days as a Texas A&M professor in 1974, left, to powerful U.S. senator, Phil Gramm has been steadfast in his style and beliefs.",,,,Copyright 2002 The Austin American Statesman
,Gramm,gramm,political,senator,critic,leave,ever,never,make,often,show,thing,honor,every,state,anyone,represent,early,head,start,nonetheless,present,whatever,something,good,love,principle,small,world,give,whose,stand,go,reporter,camera,let,another,style,giant,miss,U.S.,Texas,Phil_Gramm,Travis_County,Austin,Senate,House,look,crowd,gather,several,ago,sen,phil,deliver,message,carry,county,except,great,source,embarrassment,claim,modest,characterize,taciturn,apologetic,product,pride,everything,conven,january,time,office,today,hang,successor,bit,income,freshman,class,public,life,appreciate,note,warm,spot,feeling,mutual,federal,building,rename,former,rep,jake,pickle,eloquent,sincere,praise
,12,5,5,5,5,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 4, 2002, Friday",23 of 65 DOCUMENTS,Austin American-Statesman (Texas),Letters,,News; Pg. A12,,1173 words,,,"January 7, 2002",ENGLISH,,,,,,,Copyright 2002 The Austin American Statesman
,book,president,read,child,people,rights,need,firearm,city,manager,Bush,austin,make,new,military,law,job,point,around,tell,we,believe,popular,buy,know,spend,work,time,mistake,highway,lot,well,patriotism,tribunal,citizen,corporate,welfare,hire,empowerment,zone,create,gun,terrorist,background,check,long,Austin,Austin_Energy,respect,other,dec.,speaker,message,disagree,sword,silence,way,call,corner,dollar,market,less,hungry,recent,letter,expensive,student,often,unfortunately,easy,find,ask,specific,yet,must,add,lane,build,wrong,growth,today,plan,heroism,head,give,million,change,run,general,live,accord,legal,stimulus,tax,benefit,insurance,employee,training,federal
,10,8,7,6,6,5,5,5,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"January 31, 2002, Thursday",24 of 65 DOCUMENTS,Austin American-Statesman (Texas),Making over Robert Mueller Municipal Airport Redevelopment ideas prepare for takeoff Two groups unveil proposals for 700 acres today,"Leah Quin, American-Statesman Staff",Metro/State; Pg. B1,,1538 words,,,"February 7, 2002",ENGLISH,"February 1, 2002, Friday","An article on Page B1 of Thursday's Metro & State section about the redevelopment of the Mueller airport site misstated the size of the Arboretum Market. It is 240,000 square feet.","Competing development groups will submit proposals today for a city contract to turn the former Robert Mueller Municipal Airport into an urban center of offices, retail outlets, homes and amenities. The contract likely won't be decided for months.",,,,Copyright 2002 The Austin American Statesman
,plan,office,city,space,developer,million,Mueller,company,foot,project,neighborhood,airport,may,square,expect,member,opportunity,people,economic,today,local,center,development,make,acre,Austin,San_Francisco,Catellus,decade,urban,final,design,downtown,home,proposal,worried,much,estimate,business,go,break,rathgeber,rate,building,property,tax,include,site,Mueller_Redevelopment_Team,Winstead,vision,work,surround,practice,close,place,house,green,east,candidate,largest,real,estate,future,area,already,other,take,contender,bring,park,social,service,tell,group,might,field,particularly,change,draft,least,market,point,land,decision,middle,election,resident,near,consider,way,citizen,barrier,traditional,promote,experience,kind,catellus,stress
