PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"October 18, 2011 Tuesday",5 of 119 DOCUMENTS,Austin American-Statesman (Texas),Researchers object to way TCEQ wants to edit report,Farzad Mashhood AMERICAN-STATESMAN STAFF,METRO; Pg. B01,,733 words,,,"October 22, 2011",ENGLISH,,,,,,Newspaper,Copyright 2011 The Austin American-Statesman                               All Rights Reserved
,report,Anderson,agency,publish,sea,level,change,state,chapter,rise,commission,take,commissioner,Galveston_Bay,climate,cut,include,research,scientific,center,Lester,researcher,environmental,official,human,bay,we,write,coast,keep,public,manager,section,article,2002,argue,editor,document,current,talk,delete,gonzalez,ask,work,theory,fine,alternative,never,fact,science,long_term,Houston_Advanced_Research_Center,Texas,Soward,unclear,health,balk,request,remove,reference,involvement,issue,characterization,nonprofit,group,pursue,regional,sustainability,statement,disagree,certain,part,irresponsible,whatever,send,rice,university,oceanographer,upper,attempt,censor,misinform,that,philosophy,absurd,senior,water,quality,division,propose,drastic,much,copy,receive,rename,originally,title,impact,half
"September 30, 2011 Friday",17 of 119 DOCUMENTS,Austin American-Statesman (Texas),Could drought last till 2020?,Farzad Mashhood AMERICAN-STATESMAN STAFF,MAIN; Pg. A01,,598 words,,,"October 3, 2011",ENGLISH,,,,,,Newspaper,Copyright 2011 The Austin American-Statesman                               All Rights Reserved
,dring,water,record,Nielsen_Gammon,state,plan,worse,Rose,need,have,current,dry,worst,go,change,foot,period,past,decade,next,continue,LCRA,mean,planner,last,climate,cover,condition,development,board,whether,drought,spokeswoman,new,face,spring,form,rain,billion,loss,agriculture,thing,la,expect,pattern,rise,temperature,Texas,long_term,Austin,midst,history,book,never,prepare,climatologist,thursday,2020,region,middle,phase,include,agency,river,authority,long,make,base,nearly,spell,1940,1950,sooner,later,able,basis,forward,case,become,conduct,decline,comment,benchmark,raise,accommodate,lower,primary,provider,stick,method,use,standard,email,recently,announce,reduce,eliminate,rice,farmer
,22,10,6,6,5,5,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 20, 2011 Sunday",18 of 119 DOCUMENTS,Austin American-Statesman (Texas),Bob Metcalfe,Kirk Ladendorf AMERICAN-STATESMAN STAFF,BUSINESS; Pg. E01,,1723 words,,,"February 20, 2011",ENGLISH,,,,,,Newspaper,Copyright 2011 The Austin American-Statesman                               All Rights Reserved
,Metcalfe,Austin,venture,innovation,ut,UT,entrepreneur,new,capitalist,go,campus,research,idea,business,become,technology,job,work,expect,team,IBM,company,engineering,figure,make,program,involved,ethernet,computer,life,talk,dead,university,student,help,ecology,Boston,speech,town,professor,fame,startup,happen,teach,take,lot,start,thing,com,corp,five,people,capital,investor,good,engineer,degree,early,attention,essay,Polaris,Barchas,Harvard,MIT,arrive,bike,tech,inventor,office,lunch,downtown,give,local,call,show,effort,austin,past,decade,publisher,columnist,spend,1980,rise,find,big,course,next,fall,class,change,world,guy,internet,feud,1973,dominant,found,build
,18,11,9,8,8,7,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"March 15, 2011 Tuesday",19 of 119 DOCUMENTS,Austin American-Statesman (Texas),Sterling's future ends SXSW Interactive austin360.com,Joe Gross AMERICAN-STATESMAN STAFF,LIFESTYLE; Pg. D02,,1212 words,,,"March 15, 2011",ENGLISH,,,,,,Newspaper,Copyright 2011 The Austin American-Statesman                               All Rights Reserved
,music,make,shoe,p.m.,game,change,today,free,gallery,boy,sterl,writer,write,novel,speech,play,every,pair,e.,st,open,last,luna,people,fact,SXSW_Interactive,Austin,Sterling,eight_bit,Corpus_Christi,close,literary,course,native,several,environmental,design,well,tomorrow,fiction,continue,occasional,short,magazine,find,discuss,issue,recently,start,donate,world,work,level,think,keynote,child,company,help,2010,include,show,band,showcase,release,create,art,butridge,lobby,artist,craft,datapop,texas,musician,tune,far,chip,use,sound,Fambul_Tok,exactly,shocking,speaker,hard,imagine,guy,embody,home,progressive,intellectual,live,anymore,move,ago,life,might,joke,career,exceptional,sizable
,7,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 2, 2011 Tuesday",21 of 119 DOCUMENTS,Austin American-Statesman (Texas),LETTERS,AUSTIN AMERICAN-STATESMAN,EDITORIAL; Pg. A06,,879 words,,,"August 6, 2011",ENGLISH,,,,,,Newspaper,Copyright 2011 The Austin American-Statesman                               All Rights Reserved
,Perry,bureaucrat,state,sense,pay,plant,conservative,Texas,right_wing,july,nation,good,service,class,political,climate,little,austin,department,construction,change,prayer,report,politician,church,well_being,support,government,worker,life,problem,receive,airlines,care,decision,health,public,time,practice,make,we,fair,system,perry,travel,article,expense,gov,something,taxpayer,presidential,common,shut,complete,let,please,o.,pray,extremism,analyst,law,enforcement,commentator,terrorism,separation,candidate,religious,rigid,for_profit,Rick_Perry,Right_wing,column,glut,sununu,different,world,profit,corporate,federal,level,wonder,whether,fly,economy,recently,really,particular,surgery,hospital,almost,nursing,wife,bad,insurance,certainly,governor,legislature,best,interest
,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 4, 2011 Thursday",22 of 119 DOCUMENTS,Austin American-Statesman (Texas),"Vehicle-charging network is nearly ready, utility says",Marty Toohey AMERICAN-STATESMAN STAFF,METRO; Pg. B01,,642 words,,,"August 7, 2011",ENGLISH,,,,,,Newspaper,Copyright 2011 The Austin American-Statesman                               All Rights Reserved
,charge,station,Austin_Energy,electric,vehicle,city,utility,gas,projection,plan,electric_vehicle,Morgan,car,2020,much,installation,budget,electricity,percent,part,announce,network,103,charger,around,town,place,hope,help,initiative,reduce,greenhouse,climate,contribute,"190,000",hybrid,plug,lower,main,hour,install,use,pay,envision,larger,spend,improvement,grid,demand,amount,Austin,scaled_back,strategy,displace,wednesday,run,september,federally,fund,store,scatter,along,already,downtown,whole,food,executive,nascent,convince,potential,buyer,trip,leave,strand,broader,reliance,fuel,emit,scientist,global,change,official,acknowledge,dramatically,scale,back,last,map,project,drive,share,bullish,institute,spring,"36,000",emerge,technology,manager,real
,14,12,10,7,6,5,5,4,4,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 5, 2011 Monday",25 of 119 DOCUMENTS,Austin American-Statesman (Texas),LETTERS,AUSTIN AMERICAN-STATESMAN,EDITORIAL; Pg. A12,,1042 words,,,"December 10, 2011",ENGLISH,,,,,,Newspaper,Copyright 2011 The Austin American-Statesman                               All Rights Reserved
,make,republican,government,solar,change,state,security,fund,memory,Social,go,think,politician,regulation,nov,article,voter,power,fix,vote,back,need,act,sense,know,court,lawyer,federal,political,immigrant,legal,citizen,immigrate,coal,view,holiday,anti_abortion,U.S.,Republican,choice,sale,red,word,national,time,presidential,party,realize,situation,become,way,take,allow,support,pay,stop,law,online,piracy,smith,propose,possible,protect,work,humor,best,wait,fraud,rich,great,immigration,letter,conservative,close,advocate,health,productive,austin,west,cost,bad,stance,adjust,accordingly,review,old,season,send,dec.,submission,flip_flopped,Social_Security,Austin_Energy,Frankly,yard,antique,white,blue,button
,8,7,7,7,6,5,5,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1
"August 28, 2011 Sunday",28 of 119 DOCUMENTS,Austin American-Statesman (Texas),POLITIFACTTEXAS,Compiled by the American-Statesman PolitiFact Texas team,INSIGHT; Pg. D03,,424 words,,,"August 28, 2011",ENGLISH,,,,,,Newspaper,Copyright 2011 The Austin American-Statesman                               All Rights Reserved
,percent,gay,marriage,Perry,statement,state,scientist,governor,question,warming,change,make,rights,total,labor,force,job,time,full,proportion,manmade,global,climate,false,position,fine,support,abortion,Rick_Perry,Democratic,Texas,item,explain,greater,length,detailed,source,list,website,www.politifacttexas.com,become,only,minimum,wage,today,number,double,9.5,half,true,representative,slightly,frame,figure,actually,4.2,2001,2000,take,office,stand,5.8,overstep,apply,include,worker,pay,hourly,oppose,salary,commission,contract,original,idea,cause,put,headline,week,presidential,campaign,trail,contends,skepticism,grow,among,find,case,lead,group,worldwide,repeatedly,unequivocal,past,due,primarily,emission,finding,minority,claim
,5,5,5,5,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 29, 2011 Thursday",30 of 119 DOCUMENTS,Austin American-Statesman (Texas),"Blunt, bold proposal imagines Austin's growth over 30 years",Marty Toohey AMERICAN-STATESMAN STAFF,MAIN; Pg. A01,,1001 words,,,"October 2, 2011",ENGLISH,,,,,,Newspaper,Copyright 2011 The Austin American-Statesman                               All Rights Reserved
,plan,city,Imagine_Austin,public,make,go,growth,comprehensive,housing,along,every,past,cost,line,people,create,live,Austin,official,vision,development,propose,manage,new,business,document,state,health,water,adopt,reality,neighborhood,rise,call,note,family,committee,meeting,suburban,philosophy,shop,envision,service,transit,center,next,decade,allow,economy,mistake,around,troubling,term,quality,loss,natural,open,change,address,staff,input,general,sometimes,music,environmental,increasingly,condominium,apartment,work,leave,poverty,school,update,City_Council,Stoll,debate,unveiled,broad,condemn,traditional,garner,praise,skepticism,boom,population,restaurant,dub,corridor,commerce,mile,north,south,downtown,intend,guide,decision,three,construction,much
,20,20,7,6,5,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 1, 2011 Saturday",31 of 119 DOCUMENTS,Austin American-Statesman (Texas),"New month may give Perry chance to get spark back campaign: Debate performances have hurt Perry, but race remains unsettled",Jason Embry AMERICAN-STATESMAN STAFF,MAIN; Pg. A01,,1082 words,,,"October 1, 2011",ENGLISH,,,,,,Newspaper,Copyright 2011 The Austin American-Statesman                               All Rights Reserved
,Perry,Romney,poll,debate,show,percent,candidate,policy,campaign,GOP,Texas,time,fundraising,week,friday,president,governor,state,record,national,presidential,august,criticism,new,make,former,conservative,law,pay,health,care,emission,still,South_Carolina,Massachusetts,Republican,gov,top,announce,candidacy,several,performance,republican,focus,much,race,open,line,stop,around,take,run,expectation,release,place,among,trail,lead,illegal,immigrant,tuition,throw,speech,think,environment,offer,proposal,hit,aggressive,change,spend,limit,carbon,have,program,away,use,work,last,advertising,try,field,gop,guy,Rick_Perry,New_Hampshire,Cain,Obama,Obamacare,cap_and_trade,top_tier,Galen,Woodard,leapt,within,september,bring,shaky,barrage
,25,14,10,8,6,6,5,5,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1
"November 30, 2011 Wednesday",32 of 119 DOCUMENTS,Austin American-Statesman (Texas),Money not main goal in business tax changes,Kate Alexander AMERICAN-STATESMAN STAFF,MAIN; Pg. A01,,584 words,,,"December 4, 2011",ENGLISH,,,,,,Newspaper,Copyright 2011 The Austin American-Statesman                               All Rights Reserved
,tax,state,business,lawmaker,franchise,need,meet,2006,school,property,collection,economy,income,pay,fix,money,legislator,suppose,cost,local,cut,generate,billion,instead,fall,budget,expect,change,focus,affect,inconsistency,rep.,member,effort,make,simplify,group,reform,percent,sale,average,earlier,revenue,must,raise,much,Texas,Otto,main,little,easier,rule,late,monday,constitutional,muster,might,translate,coffer,overhaul,centerpiece,finance,package,help,offset,consistently,fail,early,expectation,portion,dedicated,relief,almost,2011,accord,initial,projection,2.7,short,contribute,hole,though,improve,pick,address,shortfall,priority,prepare,2013,time,rectify,disparity,different,kind,allow,we,try,bring,consistency
,27,11,11,6,5,5,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 26, 2011 Saturday",37 of 119 DOCUMENTS,Austin American-Statesman (Texas),CENTRAL TEXAS DIGEST,Compiled from staff reports,METRO; Pg. B02,,809 words,,,"March 26, 2011",ENGLISH,,,,,,Newspaper,Copyright 2011 The Austin American-Statesman                               All Rights Reserved
,system,city,offer,authority,skull,official,appeal,find,book,million,Austin,LCRA,West_Lake_Hills,police,consider,dismiss,2004,group,new,light,river,Pitonyak,Nicaragua,miss,friday,investigate,case,report,information,statement,ask,serve,last,week,body,nonprofit,weekend,send,school,build,four,go,tower,around,event,p.m.,switch,include,11.8,along,reject,set,manager,funeral,hold,drive,mile,tell,newspaper,Gonzalez,Texas,Earth_Hour,City,Johnson,still,continue,ago,sunday,gather,disappearance,estrange,husband,person,interest,de,la,cruz,interview,past,currently,cooperate,investigation,family,plan,prayer,vigil,noon,today,south,lawn,capitol,anyone,call,homicide,tip,line,pitonyak,latest,murder
,8,7,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 24, 2011 Sunday",38 of 119 DOCUMENTS,Austin American-Statesman (Texas),Austin Democrats could get nuttier without Doggett,JOHN KELSO AMERICAN-STATESMAN STAFF,METRO; Pg. B01,,480 words,,,"April 24, 2011",ENGLISH,,,,,,Newspaper,Copyright 2011 The Austin American-Statesman                               All Rights Reserved
,tax,democrat,republican,Travis_County,district,raise,know,ask,Doggett,map,without,representation,way,mean,Austin_Democrats,Austin,doggett,taxation,people,think,representative,may,concern,redo,add,keep,back,money,school,leave,uncaring,Texas,injustice,lawmaker,change,state,congressional,rep,lloyd,fact,lead,situation,age,usually,cliché,definition,drive,nut,charge,assault,thing,write,check,carbon,footprint,size,another,story,anyway,deal,represent,guy,kind,either,tightwads,never,high,enough,suit,salad,moanin,dog,real,gear,right,minute,voting,though,word,fourth,might,make,tough,job,heck,already,try,give,new,run,gov,exactly,love,push,legislation,hold,800,million,federal
,7,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 17, 2011 Sunday",43 of 119 DOCUMENTS,Austin American-Statesman (Texas),Does Perry deserve all credit for state's resilient economy?,Laylan Copelin AMERICAN-STATESMAN STAFF,MAIN; Pg. A01,,2169 words,,,"July 19, 2011",ENGLISH,,,,,,Newspaper,Copyright 2011 The Austin American-Statesman                               All Rights Reserved
,state,Texas,job,tax,business,percent,Perry,economy,government,national,low,lower,accord,Fishbein,California,people,wage,graduate,less,nation,education,burden,recession,governor,much,federal,spend,2009,cost,professor,law,school,look,work,increase,service,attract,question,cut,minimum,higher,average,income,agree,workforce,add,number,lose,live,compare,home,group,better,future,Austin,report,last,top,move,almost,half,texan,kind,economic,college,gov,run,credit,perry,take,create,lead,sector,worker,leader,personal,always,proportion,fall,economist,policy,factor,presidential,housing,rate,2010,high,rank,texas,pay,business_friendly,Florida,2007,list,account,mean,university,president,call
,44,41,28,23,19,18,18,9,8,8,8,8,8,8,8,7,7,6,6,6,6,6,6,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2
"October 9, 2011 Sunday",47 of 119 DOCUMENTS,Austin American-Statesman (Texas),Our log cabin in New Mexico is a retreat to beat the heat,JOHN KELSO AMERICAN-STATESMAN STAFF,METRO; Pg. B01,,528 words,,,"October 9, 2011",ENGLISH,,,,,,Newspaper,Copyright 2011 The Austin American-Statesman                               All Rights Reserved
,Austin,cabin,look,may,people,front,degree,heat,probably,labyrinth,run,away,small,log,mountain,road,kind,light,elk,wooden,bear,sure,unless,write,kitchen,window,big,move,yet,town,go,back,catch,neighbor,make,stone,foot,store,jerky,know,climate,change,give,best,shot,wife,proud,owner,wood,far,northern,end,dirt,somewhat,rustic,ted,kaczynski,though,much,upscale,curtain,tv,hood,burnt,orange,blanket,porch,swing,instead,population,971,2009,flash,crossing,sign,yes,sometimes,graze,side,coin,laundry,butane,company,decorate,statue,reputable,business,part,world,sculpture,morning,pine,later,dead,grass,actually,rain,another,plus
,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 27, 2011 Monday",50 of 119 DOCUMENTS,Austin American-Statesman (Texas),Power shifting at schools?,Kate Alexander AMERICAN-STATESMAN STAFF,MAIN; Pg. A01,,812 words,,,"June 29, 2011",ENGLISH,,,,,,Newspaper,Copyright 2011 The Austin American-Statesman                               All Rights Reserved
,teacher,district,school,pay,cut,rights,authority,go,sb,without,Texas,budget,job,contract,give,option,cost,change,employment,process,protection,session,board,new,management,reduction,state,seniority,well,benefit,approval,current,flexibility,need,save,lay,bill,legislation,allow,furlough,though,might,time,use,retain,position,much,member,relationship,balance,shift,lot,director,crisis,determine,whether,employee,dispute,full,people,public,policy,put,place,Texas_Association,Round_Rock,Beneski,local,force,spring,survivor,feel,lucky,squeak,regular,legislative,intact,probably,escape,unscathed,overtime,end,wednesday,administrator,help,contend,billion,percent,aid,affect,security,termination,unfortunately,expense,salary,major,relief,math,raising
,18,14,9,7,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 13, 2011 Thursday",52 of 119 DOCUMENTS,Austin American-Statesman (Texas),"Embracing 'new tech,' a district aims higher",Melissa B. Taboada AMERICAN-STATESMAN STAFF,MAIN; Pg. A01,,1261 words,,,"October 16, 2011",ENGLISH,,,,,,Newspaper,Copyright 2011 The Austin American-Statesman                               All Rights Reserved
,learn,student,school,district,manor,project_based,percent,teach,teacher,graduate,class,work,program,state,organization,use,model,2010,elementary,high,classroom,Texas,rate,traditional,receive,rating,official,2011,success,college,middle,change,collaboration,educator,technology,train,network,New_Tech_High_School,open,expand,lowest,public,bring,kindergarten,grade,nonprofit,training,site,project,back,think,far,still,area,well,accept,quickly,level,thing,decker,three,turn,principal,window,visitor,across,design,take,another,research,math,skill,write,provide,show,science,help,reflect,transformation,really,higher,pay,grant,source,2009,handful,later,country,new,tech,education,instructional,include,New_Tech_Network,Napa,New_Tech_High,Manor,Dobyns,College
