PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"October 24, 2017 Tuesday",2 of 95 DOCUMENTS,Austin American-Statesman (Texas),Gore lauds Georgetown's use of renewables,Bob Sechler American-Statesman Staff,BUSINESS; Pg. B5,,584 words,,,"October 24, 2017",ENGLISH,,,,,,Newspaper,Copyright 2017 The Austin American-Statesman                               All Rights Reserved
,Gore,climate,change,energy,renewable,city,Georgetown,Ross,president,monday,water,documentary,something,republican,go,fact,gore,threat,global,conference,example,recently,use,fuel,storm,atmosphere,hurricane,gulf,many,opt,follow,â,business,decision,win,argument,issue,Texas,U.S.,Hurricane_Harvey,al,deliver,warning,hold,progress,make,alleviate,crisis,operate,solely,biggest,power,entirely,source,wind,solar,displace,speak,litany,data,point,paint,picture,induce,burn,fossil,human,activity,catastrophe,drought,fire,famine,earth,really,thin,shell,around,planet,kind,open,sewer,seven,half,billion,people,link,destruction,wring,along,coast,ocean,boost,well,irma,harvey,cross,degree,warmer,normal
,31,30,23,22,21,18,16,15,14,14,12,11,11,11,10,10,9,8,8,7,7,7,7,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"July 30, 2017 Sunday",14 of 95 DOCUMENTS,Austin American-Statesman (Texas),Perry speaks his mind during visit to plant,Dylan Baddour Houston Chronicle,METR; Pg. B4,,378 words,,,"July 31, 2017",ENGLISH,,,,,,Newspaper,Copyright 2017 The Austin American-Statesman                               All Rights Reserved
,change,Perry,climate,Daikin,Houston,new,facility,nuclear,waste,foreign,investment,people,military,storage,Waller,stop,governor,policy,address,go,outside,education,attract,help,build,skilled,workforce,plant,billion,transgender,U.S.,Texas,American,Goodman_Manufacturing,energy,secretary,friday,tour,massive,former,take,question,reporter,discuss,grid,security,hot,topic,health,care,opinion,quiet,talk,thing,department,praise,another,international,company,put,texan,work,competitive,tax,regulation,law,key,particular,ceo,takeshi,ebisu,oversee,cite,area,engineering,prime,reason,nation,industrial,building,mile,northwest,deal,among,biggest,recent,memory,417,million,manufacturing,distribution,employ,"5,000",japanese,maker,heating,air,conditioning,unit
,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 14, 2017 Monday",16 of 95 DOCUMENTS,Austin American-Statesman (Texas),Hurd fights to survive in tough Texas district,Sean Collins Walsh American-Statesman Staff,MAIN; Pg. A1,,1788 words,,,"August 14, 2017",ENGLISH,,,,,,Newspaper,Copyright 2017 The Austin American-Statesman                               All Rights Reserved
,Hurd,district,republican,town,â,hurd,president,change,way,go,hall,vote,need,people,Trump,Texas,Jones,congressional,work,event,congressman,time,hispanic,former,stop,whether,make,we,U.S.,Washington,tour,constituent,give,ask,look,really,cut,much,many,secure,border,try,seat,thanks,small,political,party,state,election,23rd,administration,everybody,win,talk,bridge,official,elect,agree,Engh,rep.,trip,criticism,reach,question,biologist,join,end,consider,depend,tax,lose,far,care,criticize,little,common,true,speaker,style,primarily,sea,least,help,overwhelmingly,national,politics,moment,right,part,media,largely,although,rise,star,scientist,continue,race,appeal,force
,27,12,12,7,7,6,6,6,6,6,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"April 2, 2017 Sunday",18 of 95 DOCUMENTS,Austin American-Statesman (Texas),Austin tech leaders join forces to help direct the future of AI,Dan Zehr American-Statesman Staff,BUSI; Pg. F1,,1680 words,,,"April 3, 2017",ENGLISH,,,,,,Newspaper,Copyright 2017 The Austin American-Statesman                               All Rights Reserved
,intelligence,artificial,Saxena,use,human,SXSW,AI_Austin,world,change,technology,machine,future,Austin,need,ethical,local,hope,work,know,Stewart,might,initiative,austin,life,help,develop,today,industry,Firth_Butterfield,knowledge,time,brain,form,around,bring,development,become,design,effort,call,perspective,expert,lead,launch,education,health,community,go,everybody,humanity,example,issue,find,group,way,pervasive,application,company,replace,job,Johnson,Austin_based,self_driving,AI,Cycorp,Meredith,look,listen,something,happen,chip,implant,crowd,conversation,augment,concern,session,robotics,automation,capability,produce,transparent,beneficial,approach,latest,emergence,responsible,path,top,system,better,next,climate,care,focus,ethic,keep,word,â
,14,12,8,7,7,7,7,6,6,6,6,6,6,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"January 20, 2017 Friday",20 of 95 DOCUMENTS,Austin American-Statesman (Texas),'Couch' remark unlikely to cost Perry new job,Ken Herman American-Statesman Staff,MAIN; Pg. A8,,874 words,,,"January 20, 2017",ENGLISH,,,,,,Newspaper,Copyright 2017 The Austin American-Statesman                               All Rights Reserved
,Perry,hearing,Franken,think,go,energy,open,change,ask,Sanders,secretary,well,couch,might,wife,have,oh,take,later,know,bit,much,please,climate,scientist,cut,global,crisis,thing,Team_Perry,many,charge,find,folk,meet,member,effort,agree,though,finger,wave,frank,perry,room,laugh,include,response,statement,call,presidential,vital,prior,agency,daughter,longtime,prepare,study,wrong,nothing,lead,next,former,right,three,hour,read,line,answer,sir,feel,good,question,enjoy,meeting,governor,seem,fun,reply,draw,lord,respond,large,situation,thursday,bunch,always,larger,anybody,else,mo,duly,elect,senate,round,confirm,president,confirmation,collegially,republican
,25,8,7,6,6,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 16, 2017 Monday",23 of 95 DOCUMENTS,Austin American-Statesman (Texas),Banning suspensions for youngest debated,Melissa B. Taboada American-Statesman Staff,MAIN; Pg. A1,,1364 words,,,"January 17, 2017",ENGLISH,,,,,,Newspaper,Copyright 2017 The Austin American-Statesman                               All Rights Reserved
,student,district,school,suspension,percent,child,administrator,Jackson,policy,change,principal,issue,step,grade,make,ban,learn,son,take,Austin,suspend,time,board,disciplinary,work,young,boy,education,right,need,feel,recent,go,last,second,black,average,start,require,cause,campus,keep,other,direction,tell,training,hit,counselor,elementary,special,behavior,send,thing,call,prekindergarten,remove,discipline,member,whether,place,youngest,alternative,research,lead,higher,rate,trustee,toward,class,pilot,program,move,teach,know,current,meeting,connection,sometimes,think,exactly,try,escalate,classroom,later,staff,lack,certain,type,kid,center,act,situation,consequence,third,point,result,create,official,number
,21,17,16,15,12,9,9,9,7,7,7,7,7,6,6,6,6,6,6,6,5,5,5,5,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"December 4, 2017 Monday",24 of 95 DOCUMENTS,Austin American-Statesman (Texas),Unusual warmth expected to pass,Roberto Villalpando and Katie Hall American-Statesman Staff,MAIN; Pg. A1,,741 words,,,"December 4, 2017",ENGLISH,,,,,,Newspaper,Copyright 2017 The Austin American-Statesman                               All Rights Reserved
,november,record,weather,winter,inch,pattern,degree,Austin,Kimmel,last,dring,warmest,data,average,temperature,hit,nov,forecaster,water,jet,stream,colder,percent,rain,might,airport,rainfall,dry,Camp_Mabry,Lake_Travis,turn,driest,accord,arrival,change,reach,heat,early,full,time,next,service,show,warmer,factor,many,part,la,niña,eastern,influence,shift,level,atmosphere,usually,area,meteorologist,begin,global,precipitation,report,city,major,condition,think,foot,warming,climate,thing,Texas,United_States,Central_Texas,second,ever,12th,december,66.2,still,shy,make,hour,break,daily,three,higher,six,troy,kimmel,university,meteorology,lecturer,several,contribute,unseasonable,warmth,dryness,clearly,experience,effect
,12,7,7,7,7,5,5,5,5,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 17, 2017 Sunday",27 of 95 DOCUMENTS,Austin American-Statesman (Texas),FEDS UPDATE DATA FOR WETTER TEXAS,Sean Collins Walsh American-Statesman Staff,MAIN; Pg. A1,,1337 words,,,"December 18, 2017",ENGLISH,,,,,,Newspaper,Copyright 2017 The Austin American-Statesman                               All Rights Reserved
,flood,data,map,property,new,people,area,FEMA,owner,plain,insurance,past,rainfall,flooding,risk,build,Texas,Wimberley,use,increase,adopt,elevation,lot,change,expect,regulation,river,rebuild,thurber,way,Houston,Gilbert,engineering,buy,professor,life,take,safety,impact,wait,foot,time,zone,value,city,improve,onion,creek,City_Council,Collins,2013,2015,estimate,federal,describe,update,frequency,storm,number,standard,home,higher,expert,review,go,preliminary,along,near,inch,event,occur,give,jump,make,prepare,trend,really,recent,human,public,management,program,aware,need,commissioner,require,minimum,rule,designation,house,deadly,many,handle,work,opportunity,sign,affidavit,collin,sell
,29,12,11,11,8,8,8,8,7,7,6,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"February 1, 2017 Wednesday",28 of 95 DOCUMENTS,Austin American-Statesman (Texas),Texas service sector's growth dips in January,Dan Zehr American-Statesman Staff,BUSINESS; Pg. B7,,583 words,,,"February 1, 2017",ENGLISH,,,,,,Newspaper,Copyright 2017 The Austin American-Statesman                               All Rights Reserved
,sector,company,state,note,service,january,accord,activity,firm,outlook,report,store,business,Texas,slower,sale,layoff,private,energy,survey,positive,retail,remain,manager,oil,continue,modest,back,Washington,growth,environment,generally,optimistic,index,measure,read,prior,indicate,part,climate,comment,compile,border,patch,employment,expand,consecutive,account,demand,industry,cautious,current,many,change,provide,recovery,work,service_providing,Dallas_Fed,service_sector,retailer,cool,ongoing,expansion,stability,sustain,release,tuesday,federal,reserve,bank,revenue,key,drop,16.2,21.3,lesser,figure,still,grow,rate,december,wide,deceleration,stem,dip,7.4,19.8,subset,broader,difficult,clothing,accessory,anonymous,small,city,suffer,likelihood,lower
,10,7,6,6,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 1, 2017 Wednesday",29 of 95 DOCUMENTS,Austin American-Statesman (Texas),UT inventor Goodenough on verge of revolution in battery tech,Marty Toohey American-Statesman Staff,MAIN; Pg. A1,,882 words,,,"March 1, 2017",ENGLISH,,,,,,Newspaper,Copyright 2017 The Austin American-Statesman                               All Rights Reserved
,battery,charge,new,research,time,car,technology,use,Hinson,many,solar,electric,work,quickly,Goodenough,develop,better,energy,problem,limited,wind,source,store,electricity,power,much,home,goodenough,without,house,lithium_ion,colleague,enable,hour,mean,significantly,cellphone,journal,engineering,laptop,run,renewable,become,dominant,available,generate,must,gas,nuclear,generation,across,generally,enhance,range,plus,type,vehicle,climate,researcher,drive,three,farther,limitation,probably,longer,device,hook,system,grid,large_scale,UT,Pecan_Street_Project,Braga,physicist,whose,usher,era,modern,portable,electronics,think,make,similarly,important,breakthrough,team,cell,cover,distance,well,minute,instead,everything,storage,accord,paper,publish,believe,discovery
,22,8,7,6,6,5,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 9, 2017 Tuesday",30 of 95 DOCUMENTS,Austin American-Statesman (Texas),Rep. Smith supports EPA advisory change,Asher Price American-Statesman Staff,METR; Pg. B1,,615 words,,,"May 9, 2017",ENGLISH,,,,,,Newspaper,Copyright 2017 The Austin American-Statesman                               All Rights Reserved
,EPA,Smith,scientist,board,science,serve,administration,tell,people,expert,Scientific_Counselors,make,represent,part,dismiss,advise,open,industry,friday,member,work,impact,regulation,regulate,move,government,advisory,decision,increase,balance,panel,grant,help,many,time,action,long,federal,climate,february,call,committee,term,likely,policy,today,House,Science_Advisory_Board,good,aim,congressman,president,way,replace,representative,administrator,oust,agency,spokesman,believe,understand,community,criticize,watchdog,group,association,playbook,rep,lamar,smith,antonio,chair,support,proactive,address,issue,related,body,transparency,reduce,conflict,interest,ensure,add,echo,chamber,rubber,stamp,costly,burdensome,pass,late,march,bar,anyone,ongoing,research,another,oversee
,13,8,7,7,5,5,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 9, 2017 Sunday",31 of 95 DOCUMENTS,Austin American-Statesman (Texas),Letters to the editor,American-Statesman Staff,INST; Pg. E2,,774 words,,,"July 10, 2017",ENGLISH,,,,,,Newspaper,Copyright 2017 The Austin American-Statesman                               All Rights Reserved
,tax,wrong,science,neighborhood,reason,student,service,density,voter,sb,school,skepticism,july,article,interior,can,kind,editorial,support,climate,AUSTIN,learn,make,provide,central,city,call,exist,character,texas,resident,trump,state,hand,political,information,government,spend,million,accomplish,real,cut,use,argue,include,local,letter,skeptical,scientist,change,inconsistent,Imagine_Austin,Perry,deserve,expand,dyslexic,overjoy,commitment,advance,identification,well,dyslexia,long,difference,allow,slip,crack,parent,begin,suspect,reluctance,district,identify,population,help,avoid,responsibility,mandate,americans,thing,life,persistence,pay,hat,work,hard,ensure,present,generation,schoolchild,receive,education,rightfully,codenext,heed,propose,higher,transect,zone
