PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"November 2, 2005 Wednesday",1 of 83 DOCUMENTS,Austin American-Statesman (Texas),Just how warm does our planet have to get?,"Kate Galbraith, LOCAL CONTRIBUTOR",EDITORIAL; Pg. A13,,723 words,,,"November 2, 2005",ENGLISH,,,,,,Newspaper,Copyright 2005 The Austin American Statesman
,emission,warming,record,take,global,greenhouse,gas,need,climate,change,due,hurricane,start,something,power,scientist,recent,Austin,talk,weather,run,name,last,storm,hottest,2003,many,president,promise,work,carbon,plant,seriously,happen,save,whether,much,report,2001,rise,temperature,write,require,company,polluter,trading,world,reduce,americans,state,vehicle,time,right,without,Atlantic,Europe,anyone,notice,fall,place,fleeting,glory,season,busiest,meteorological,guy,assign,letter,properly,strongest,ever,2005,course,measurement,begin,round,top,five,1998,2002,2004,sweat,september,superlative,politician,office,curb,dioxide,major,nothing,introduction,laughable,voluntary,program,justified,inaction,learn,really,cause
"November 4, 2005 Friday",8 of 83 DOCUMENTS,Austin American-Statesman (Texas),Letters,,EDITORIAL; Pg. A12,,1127 words,,,"November 4, 2005",ENGLISH,,,"Rematullah Khan, who lost five family members in the Oct. 8 earthquake, cries Thursday as he talks about the difficulties survivors near Chakothi, Pakistan, are facing. The official death toll stands at about 73,000.",,,Newspaper,Copyright 2005 The Austin American Statesman
,warming,student,global,human,fact,group,life,freshmen,make,state,improve,oct,voter,planet,use,quality,Austin,death,nov,education,university,primary,austin,spin,article,political,galbraith,nothing,concern,cultural,festival,University,African,American,survivor,desperate,people,away,media,hurricane,know,editorial,start,address,freshman,undergraduate,give,sophomore,choice,fund,point,proposal,enrich,rather,rate,percent,nation,minority,part,president,liberal,front,letter,criticize,accuse,republican,vote,party,election,truth,blame,many,past,support,least,reporter,scientific,scientist,we,column,treaty,approach,current,black,suburb,scene,money,around,greater,city,separate,target,create,war,dead,stage,American_Statesman,Texas,U.S.
,8,6,6,5,5,5,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"January 9, 2005 Sunday",10 of 83 DOCUMENTS,Austin American-Statesman (Texas),School finance and beyond; Lawmakers to wrestle with tough issues during session,AMERICAN-STATESMAN STAFF,INSIGHT; Pg. H6,,3097 words,,,"January 9, 2005",ENGLISH,,,"University of Texas President Larry Faulkner wants to change the state's top 10 percent law so that schools would have to accept only half of their students based on their ranking in high school. Currently, about 70 percent of UT-Austin students are admitted under the law. Inflation may have whittled away the gasoline tax's spending power, but legislators are unlikely to increase it. Officials in Burnet County who complained that some of their environmental concerns about proposed quarries were deemed irrelevant prompted a re-examination of the process. The U.S. Supreme Court found problems with some juror instructions in death penalty cases. Lawmakers may examine the issue and amend laws.",,,Newspaper,Copyright 2005 The Austin American Statesman
,state,issue,analysis,tax,school,lawmaker,money,law,Texas,system,student,require,increase,program,road,district,cut,new,look,billion,many,budget,2003,make,percent,whether,tuition,toll,better,probably,must,quarry,child,court,proposal,business,need,public,allow,legislature,file,insurance,pollution,water,health,prison,way,property,past,much,pay,education,case,use,gov,group,back,university,rail,abortion,bill,worker,change,environmental,Rick_Perry,finance,give,aid,create,include,revenue,local,expect,report,likely,private,voucher,major,reform,limited,top,set,cost,receive,push,power,session,million,take,girl,people,leader,fix,penalty,industry,expand,regulate,benefit,donation
,40,29,26,23,20,20,15,15,13,11,11,11,11,11,11,9,9,9,9,8,8,8,8,8,8,8,8,8,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"November 12, 2005 Saturday",12 of 83 DOCUMENTS,Austin American-Statesman (Texas),"Bright ideas conserve cash, too; Save energy around the house by doing a little (adjusting the thermostat) or a lot (investing in a tankless water heater -- or trees)","Jane Greig, AMERICAN-STATESMAN STAFF",LIFESTYLE; Pg. F1,,2030 words,,,"November 12, 2005",ENGLISH,,,"A compact fluorescent bulb, right, costs more but lasts longer. Caulking around doors and windows can help save on heating and cooling bills. Use just a little elbow grease to wind the Illuminator for one minute and you'll get an hour of light.",,,Newspaper,Copyright 2005 The Austin American Statesman
,water,energy,bulb,heater,light,save,wash,air,consumer,machine,tree,use,percent,fluorescent,hot,savings,appliance,home,incandescent,might,tankless,new,heat,time,money,conditioning,model,box,unit,Austin_Energy,need,efficient,clothes,make,source,every,less,plant,cool,heating,cost,replace,tank,front_loading,energy_efficient,electricity,go,good,average,change,rebate,system,tube,life,load,coil,traditional,oak,winter,strand,choice,start,end,price,gas,lead,holiday,window,house,turn,fixture,homeowner,refrigerator,old,yes,pollution,program,"1,400",dryer,lighting,consider,offer,conditioner,"1,000",think,shade,next,outside,range,work,calculator,visit,central,tip,condenser,Energy_Star,EPA,produce,beginning
,27,25,22,14,13,13,12,12,11,10,10,9,9,8,8,8,8,8,8,7,7,7,7,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2
"March 11, 2005 Friday",13 of 83 DOCUMENTS,Austin American-Statesman (Texas),"79TH LEGISLATURE; House again alters business tax legislation; Bill would expand franchise levy, make payroll tax an option","Jason Embry, AMERICAN-STATESMAN STAFF",NEWS; Pg. A1,,691 words,,,"March 11, 2005",ENGLISH,,,,,,Newspaper,Copyright 2005 The Austin American Statesman
,tax,pay,change,business,state,percent,franchise,propose,give,House,thursday,plan,payroll,week,lawmaker,partnership,current,committee,approve,consider,school,bill,proposal,sale,raise,money,company,rep.,must,employee,package,Texas,system,expand,corporate,many,choice,boost,series,cut,property,goal,shift,today,session,end,time,better,increase,add,dan,create,income,per,pack,amendment,Craddick,leader,redrew,instead,require,avoid,organize,include,earlier,effort,part,larger,way,public,source,5.4,billion,local,major,education,law,wednesday,schedule,debate,final,vote,issue,reform,move,expect,pass,chamber,hammer,difference,conference,legislative,late,may,draft,error,question,prompt,four
,30,9,8,8,6,6,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 13, 2005 Friday",14 of 83 DOCUMENTS,Austin American-Statesman (Texas),Scientist warns of extinction from warming,"Jeff Nesmith, WASHINGTON BUREAU",NEWS; Pg. A27,,230 words,,,"August 2, 2005",ENGLISH,,,,,,Newspaper,Copyright 2005 The Austin American Statesman
,extinction,Leakey,animal,protect,national,park,area,creature,reserve,many,scientist,think,change,period,biodiversity,island,Earth,rare,live,face,temperature,rise,fame,anthropologist,warning,pandas,lemur,tiger,unable,migrate,hospitable,region,trap,start,warming,buildup,carbon,dioxide,greenhouse,gas,atmosphere,call,create,international,fund,least,100,million,help,endangered,survive,great,conven,small,forum,conservationist,last,week,discuss,problem,grave,implication,former,director,member,famous,family,paleontologists,world,scarcest,depend,survival,look,geological,record,find,previous,climate,suffer,greater,mainland,jeffn,coxnews.com,WASHINGTON,Richard_Leakey,China,Madagascar,India,Stony_Brook_University,New_York,Kenya_Wildlife_Service
,4,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 18, 2005 Monday",15 of 83 DOCUMENTS,Austin American-Statesman (Texas),A&M scientists study cedar's helpful side,"Claire Osborn, AMERICAN-STATESMAN STAFF",METRO/STATE; Pg. B1,,630 words,,,"July 19, 2005",ENGLISH,,,,,,Newspaper,Copyright 2005 The Austin American Statesman
,cedar,tree,water,study,use,measure,professor,experiment,absorb,much,around,run,carbon,dioxide,clear,acre,Bexar,long,try,positive,texas,plant,gas,atmosphere,rancher,property,groundwater,different,remove,researcher,whether,show,gallon,time,habit,thermometers,land,county,heat,scientist,amount,site,near,rainfall,grow,research,take,ranch,cover,hear,many,grant,wonder,western,area,Owens,Hays,Texas,resident,suspect,mess,air,hog,aggy,find,side,keep,university,part,worldwide,effect,might,global,climate,change,harmful,release,preserve,issue,may,save,lose,worth,1988,sunny,live,oak,comparison,newer,technology,hope,several,produce,accurate,picture,drink,absorption,graduate,student
,14,13,7,6,6,5,4,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 14, 2005 Thursday",18 of 83 DOCUMENTS,Austin American-Statesman (Texas),"THE FANCLUB; As far as some Austinites are concerned, it's cool to go without AC","Katy Barron, AMERICAN-STATESMANSTAFF",LIFESTYLE; Pg. E1,,1407 words,,,"July 20, 2005",ENGLISH,,,"Even if you can't stand the heat, you can stay in this kitchen. Trish Callahan, above, creates a vegetarian dinner at the Whitehall Co-op, where shade from large trees helps keep residents cool. The building's architecture also helps beat the high temperatures of Austin summers, with high ceilings and good circulation through window transoms. One of two attic fans removes hot air from the Whitehall Co-op, the oldest housing cooperative in Texas. The residence has no central air conditioning.",,,Newspaper,Copyright 2005 The Austin American Statesman
,air,home,conditioning,design,without,MacKay,summer,cool,window,fan,live,keep,resident,good,make,temperature,energy,consider,believe,house,use,take,ceiling,Texas,Whitehall,know,sweat,people,thing,heat,turn,try,today,thermostat,outside,climate,health,old,work,go,degree,september,lifestyle,rise,high,bill,june,feel,Austin,AC,Co_op,have,hot,many,life,choice,condition,word,climb,develop,accord,residential,luxury,environment,play,fresh,reason,bike,bring,view,buy,less,include,admit,room,little,sun,central,show,tower,tree,line,kilowatt,hour,big,sit,around,natural,body,drop,often,time,unit,enough,call,whole,help,basic,occupant
,27,14,11,8,7,7,6,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"February 24, 2005 Thursday",19 of 83 DOCUMENTS,Austin American-Statesman (Texas),Imports may seem foreign in your home,"Katy Barron, AMERICAN-STATESMAN STAFF",LIFESTYLE; Pg. E1,,800 words,,,"February 25, 2005",ENGLISH,,,"IKEA-mania hit new heights recently outside London, when the opening of a new store caused a riot. A mask from Ghana is a great decor piece -- if you've been to Ghana.",,,Newspaper,Copyright 2005 The Austin American Statesman
,destination,decor,Target,back,country,global,bazaar,furniture,take,open,live,room,people,look,trip,far,week,think,home,import,world,goods,simply,directly,paint,pot,flower,miniature,mask,make,imagine,spend,put,shelf,have,set,house,leather,sofa,foreign,best,context,stick,place,texan,pepper,villa,texas,much,money,ever,thing,shopping,save,stampede,store,crowd,Ghana,American,London,IKEA,last,end,probably,commercial,feature,elephant,kind,strap,coin,term,describe,large,display,area,dedicated,various,part,replace,lawn,patio,spring,stuff,exactly,reek,authenticity,call,sure,inspire,different,spokeswoman,assure,product,source,region,represent,faux,distress,chair
,7,6,6,5,5,4,4,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 7, 2005 Tuesday",20 of 83 DOCUMENTS,Austin American-Statesman (Texas),"Blair to push U.S. on global warming, more aid for Africa","Don Melvin, INTERNATIONAL STAFF",NEWS; Pg. A3,,439 words,,,"June 8, 2005",ENGLISH,,,Tony Blair: Is in Washington today to seek U.S. backing on initiatives.,,,Newspaper,Copyright 2005 The Austin American Statesman
,Blair,Africa,bush,administration,aid,much,official,money,nation,Britain,today,global,warming,million,go,direct,condition,next,summit,agree,term,set,oppose,international,double,call,constitution,African,White_House,European_Union,prime,minister,put,political,life,line,support,invasion,favor,return,thank,meet,president,ask,help,fight,poverty,likely,away,meeting,far,less,seek,diplomat,analyst,appear,effort,take,sting,difference,plan,announce,release,674,draw,already,appropriate,nearly,500,food,anonymity,position,differ,significantly,consensus,hope,achieve,world,richest,leader,attend,statement,acknowledge,seriousness,climate,change,along,series,action,short,principle,longer,agreement,reduce,greenhouse,gas,emission,specific,target
,9,5,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 26, 2005 Sunday",23 of 83 DOCUMENTS,Austin American-Statesman (Texas),"Manufactured doubt, made in the U.S.A.; Industries growing adept at manipulating science to suit their needs","Jeff Nesmith, WASHINGTON BUREAU",INSIGHT; Pg. H1,,1061 words,,,"June 26, 2005",ENGLISH,,,,,,Newspaper,Copyright 2005 The Austin American Statesman
,government,industry,Michaels,science,write,time,use,research,Hill,Knowlton,chemical,action,doubt,scientific,DuPont,campaign,firm,manufacture,tobacco,regulation,never,article,report,former,White_House,fear,ozone,administration,believe,go,best,executive,memorandum,issue,take,layer,public,attack,delay,tactic,ward,uncertainty,global,warming,health,able,try,become,president,corporate,policy,official,insert,position,repeatedly,link,work,accord,spokesman,decision,available,fact,aerosol,dangerous,finding,critical,gain,ban,truth,regulatory,product,pick,scientist,back,standard,company,o'keefe,promote,always,wrong,Earth,George,CFCs,1970,face,loss,million,dollar,sale,produce,shred,protective,fight,carefully,design,relation,behind,depletion,enough
,8,8,8,7,7,6,6,6,6,6,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 21, 2005 Monday",26 of 83 DOCUMENTS,Austin American-Statesman (Texas),Can your PC combat AIDS? Grid project is ready to try,"David Ho, NEW YORK BUREAU",TECH MONDAY; Pg. D3,,412 words,,,"November 22, 2005",ENGLISH,,,,,,Newspaper,Copyright 2005 The Austin American Statesman
,grid,project,world,computer,compound,power,pcs,drug,home,thousand,use,protein,software,virus,AIDS,HIV,aid,researcher,user,fight,disease,search,new,compute,work,supercomputer,people,study,research,variation,look,allow,progress,Scripps_Research_Institute,ask,join,donate,idl,newly,expand,back,example,distribute,harness,personal,desktop,laptop,together,powerful,650,million,involved,devote,significant,president,technology,break,immense,task,small,piece,already,climate,change,gravity,cancer,begin,modern,era,internet,1999,data,sign,extraterrestrial,radio,signal,smaller,version,run,2000,take,community,humanitarian,initiative,include,"170,000",grow,week,human,body,medical,nearly,complete,cumulative,process,place,among,top,manage
,7,6,5,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 10, 2005 Monday",29 of 83 DOCUMENTS,Austin American-Statesman (Texas),Remember winter? It's returning; Mild weather now expected to give way to subfreezing temperatures by midweek,"Dick Stanley, AMERICAN-STATESMAN STAFF",METRO/STATE; Pg. B1,,456 words,,,"January 23, 2005",ENGLISH,,,,,,Newspaper,Copyright 2005 The Austin American Statesman
,cold,temperature,week,south,extreme,expect,low,Rose,winter,meteorologist,air,snow,warm,trough,pressure,soon,wednesday,thursday,weekend,forecast,possible,lower,possibility,ground,make,likely,last,may,much,high,another,current,weak,el,nio,december,snap,pre_Christmas,Austin,Siberian,Canada,ready,return,form,outbreak,severe,feel,shortly,christmas,watch,reliable,global,predictor,oscillating,foresee,chill,drop,freezing,night,next,accuweather.com,freak,interstate,occur,worry,freeze,strike,citrus,crop,rio,grande,valley,ice,beforehand,authority,decline,prediction,agree,chilly,go,degree,zero,far,course,less,moderation,unlike,time,considerable,across,state,mass,travels,obvious,warning,today,tuesday,rise,gulf
,8,5,4,4,4,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 2, 2005 Sunday",30 of 83 DOCUMENTS,Austin American-Statesman (Texas),FAREWELL TO A SOGGY YEAR; A month-by-month look at Austin's weather in 2004,"Dick Stanley, AMERICAN-STATESMAN STAFF",METRO/STATE; Pg. B1,,498 words,,,"January 2, 2005",ENGLISH,,,The balmy temperatures John Lopez and Cosmo enjoyed Saturday at Auditorium Shores are expected to cool considerably later this week.,,,Newspaper,Copyright 2005 The Austin American Statesman
,summer,week,pattern,wet,meteorologist,weather,expect,ground,temperature,later,back,might,mean,cold,el,nio,rainfall,drier,mild,least,winter,have,air,probably,forecast,predict,unusual,we,february,make,2004,keep,warmer,past,neutral,normal,usually,three,cycle,solar,seven,Kimmel,long_range,Bastardi,Austin,continue,drying,flooding,rain,november,soon,either,enjoy,bound,return,seasonal,norm,perhaps,certainly,50s,colder,indication,area,rely,accuweather.com,guidance,base,teleconnection,atmospheric,change,around,globe,storm,japan,something,similar,happen,bastardi,successfully,last,snow,beforehand,january,follow,reminiscent,bitter,christmas,think,december,preview,longer,stronger,endgame,write,2005,old,farmer,agree,call
,6,5,5,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 27, 2005 Thursday",31 of 83 DOCUMENTS,Austin American-Statesman (Texas),Perry's view: Tax relief and schools; Governor proposes tax cap; Plan similar to California law would limit appraisal increases to 3%,"Mike Ward, AMERICAN-STATESMAN STAFF",NEWS; Pg. A1,,1420 words,,,"January 29, 2005",ENGLISH,,,"A packed House chamber applauded armed service members introduced at the end of Gov. Rick Perry's State of the State address on Wednesday. The state's top officeholders had seats up front: (from left, including second row) Railroad Commissioner Michael Williams, Comptroller Carole Keeton Strayhorn, Texas Supreme Court Justice Nathan Hecht, Land Commissioner Jerry Patterson, Railroad Commissioner Charles Matthews and Agriculture Commissioner Susan Combs.
Gov. Rick Perry said he hopes to 'build a Texas of unlimited possibility.' Gov. Rick Perry's State of the State speech was the third for him and his wife, Anita Perry. The biennial speech was delivered to a joint session of the state House and Senate in the House chamber. The 55-minute address covered subjects ranging from abortion to toll roads.",,,Newspaper,Copyright 2005 The Austin American Statesman
,tax,Perry,property,Texas,school,percent,state,governor,cap,value,rate,program,speech,increase,proposal,new,city,go,appraisal,people,revenue,gov,call,wednesday,county,propose,lower,market,pay,business,make,education,reform,incentive,perry,Lubbock,million,homeowner,time,cut,session,legislature,become,create,system,plan,approve,allow,appraise,home,use,group,public,voucher,child,budget,future,set,idea,support,lawmaker,change,put,abortion,toll,taxation,taxpayer,effort,proposition,ago,entity,raise,current,every,jurisdiction,official,vote,total,bill,applaud,executive,director,shift,burden,whose,sell,live,next,level,person,lt,chance,rise,restore,performance,provide,accountability,spend,generation
,22,18,15,15,13,11,9,9,8,8,8,8,7,6,6,6,6,6,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"February 5, 2005 Saturday",33 of 83 DOCUMENTS,Austin American-Statesman (Texas),"Records link GOP, business efforts; Corporate money paid for list used to get out the vote, tout candidates","Laylan Copelin, AMERICAN-STATESMAN STAFF",NEWS; Pg. A1,,1091 words,,,"February 6, 2005",ENGLISH,,,Texas Association of Business President Bill Hammond touted candidates in letters mailed to likely Republican voters.,,,Newspaper,Copyright 2005 The Austin American Statesman
