PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"September 5, 2008 Friday",1 of 126 DOCUMENTS,Austin American-Statesman (Texas),Is global climate change linked to shift in illnesses?,Asher Price American-Statesman Staff,MAIN; Pg. A01,,883 words,,,"September 9, 2008",ENGLISH,"September 9, 2008",* A Page One article Friday about possible connections between global warming and increased incidence of illnesses misstated the period during which scientists say the Earth has warmed at least 1.1 degrees Fahrenheit. That occurred over the past century.,,,,Newspaper,Copyright 2008 The Austin American-Statesman                               All Rights Reserved
,disease,change,climate,outbreak,mosquitoe,warming,accord,West_Nile,typhus,virus,pattern,fever,carry,summer,state,much,control,scientist,may,increase,dengue,infection,flea,many,area,travis,county,resident,illness,suspect,bear,epidemiologist,sanitation,far,incidence,animal,report,federal,potentially,fatal,early,people,number,breeding,ut,medical,make,official,weather,ago,think,tick,spread,Texas,United_States,Travis_County,State_Health_Services,disease_bearing,Tesh,leave,other,recent,whooping,cough,plague,event,explanation,hot,signal,broader,drive,differ,blame,laid,overarch,phenomenon,global,expert,point,improvement,technological,advance,go,epidemics,least,decade,steering,clear,lay,specifics,predict,ultimately,shift,alter,distribution,intensity,plant,pest,june
,plant,carbon,dioxide,protein,level,study,percent,food,increase,decline,rice,wheat,2100,concentration,part,per,million,Taub,global,biology,lead,affect,diet,major,answer,publish,country,world,program,atmosphere,growth,Atkins,Southwestern,start,seemingly,question,2004,change,class,discussion,contribute,cause,warming,amount,rise,ask,undergraduate,environmental,still,en,vogue,emphasize,carbohydrate,search,upcoming,issue,journal,provide,serious,staple,much,result,consequence,nutrition,especially,develop,really,ingredient,aid,deliver,worldwide,spokeswoman,key,source,nourishment,accord,scientist,currently,380,jump,540,958,all,classmate,professor,max,taub,pore,200,previously,determine,higher,nutrient,winnow,rely,prediction,look,space,mission
,6,5,5,5,5,5,5,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 25, 2008 Sunday",26 of 126 DOCUMENTS,Austin American-Statesman (Texas),helping forecast climate effects,Kirk Ladendorf AMERICAN-STATESMAN STAFF,MAIN; Pg. A12,,532 words,,,"May 25, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 The Austin American-Statesman                               All Rights Reserved
,ice,Blankenship,sheet,team,sea,ago,part,mile,data,take,radar,people,know,Ranger,time,set,measure,ut,loss,much,estimate,clue,climate,change,might,level,really,rock,sediment,away,reading,test,use,supercomputer,expect,computer,model,problem,Antarctica,Thwaites_Glacier,West_Antarctic,Europa,long,give,count,many,travel,geophysicist,walk,freeze,continent,drive,snowmobile,seismic,blast,ride,plane,cram,scan,equipment,vast,stretch,blankenship,become,lead,authority,stream,trigger,rapid,move,foot,sprint,glacial,standard,compare,glacier,mouth,broaden,dozen,deliver,additional,cubic,per,rate,overall,increase,percent,thwaites,yield,critical,affect,next,century,push,huge,compute,effort,require,decipher
,12,8,5,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 4, 2008 Thursday",29 of 126 DOCUMENTS,Austin American-Statesman (Texas),Major companies join Austin's clean energy push,Claudia Grisales AMERICAN-STATESMAN STAFF,METRO; Pg. B05,,592 words,,,"December 5, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 The Austin American-Statesman                               All Rights Reserved
,energy,clean,McCracken,new,help,system,solar,plan,Texas,community,leader,company,include,economy,initiative,power,early,project,home,business,city,global,work,Pecan_Street_Project,Austin,partnership,bring,local,executive,make,move,forward,state,member,last,potential,climate,march,corporate,partner,research,megawatt,something,future,implementation,might,Central_Texas,Environmental_Defense_Fund,UT,Austin_Energy,Dell,announce,wednesday,nine,major,deploy,dozen,employee,develop,idea,thermostat,adjust,remote,computer,panel,ten,thousand,beacon,around,world,director,national,environmental,advocacy,group,negotiate,announcement,signal,draw,muscle,necessary,show,significant,ready,without,gov,federal,legislation,curb,pollution,address,change,hurt,send,great,message,opportunity,embrace,wholeheartedly
,8,6,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 10, 2008 Sunday",31 of 126 DOCUMENTS,Austin American-Statesman (Texas),"Buying green, saving green",M.B. Taboada American-Statesman STAFF,STATESMAN_HOMES; Pg. F01,,979 words,,,"August 11, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 The Austin American-Statesman                               All Rights Reserved
,home,green,program,window,use,building,light,energy,cool,system,change,feature,percent,less,efficient,heating,reduce,Austin,Austin_Energy,build,insulation,water,whether,new,exist,design,material,certified,certification,make,consumer,kind,paint,attic,energy_saving,National_Association,Energy_Star,energy_efficient,cost,larger,save,electric,bill,tout,much,savings,builder,city,2005,product,homeowner,know,buyer,resource,environment,include,provide,standard,recommendation,seek,check,basic,awning,great,follow,lot,heat,rain,lower,improvement,add,install,trim,color,reflect,regularly,two_story,Kelly_Gonzales,U.S.,Green_Building,Energy,Home_Builders,Wilson,rise,still,money,april,couple,move,sustainability,pay,last,150,previous,though,thanks,tankless,heater,among
,21,13,12,8,8,8,8,6,6,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 18, 2008 Monday",32 of 126 DOCUMENTS,Austin American-Statesman (Texas),Coal plant deal shows environmental split,Asher Price American-Statesman Staff,MAIN; Pg. A01,,1165 words,,,"August 18, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 The Austin American-Statesman                               All Rights Reserved
,plant,carbon,dioxide,group,emission,deal,Texas,NRG,energy,power,environmental,pay,utility,use,solar,unit,project,Environmental_Defense_Fund,coal_fired,include,propose,site,much,air,Austin,Sierra_Club,plan,new,make,warming,capture,absorb,coal,contribute,difference,climate,cut,water,ton,offset,office,help,permit,technology,build,Marston,Public_Citizen,opposition,concession,global,agree,half,mitigate,limit,greenhouse,gas,participate,far,take,shape,address,regulatory,agreement,call,nitrogen,oxide,sulfur,mercury,already,efficiency,large,enough,go,emit,million,detail,way,head,grass,study,government,federal,continue,issue,other,fight,limestone,meet,require,industry,argument,less,2007,think,older,efficient,billion,gallon,NRG_Texas
,25,17,16,14,11,10,10,9,8,7,7,7,6,6,6,5,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"January 10, 2008 Thursday",34 of 126 DOCUMENTS,Austin American-Statesman (Texas),LETTERS,,EDITORIAL; Pg. A12,,851 words,,,"January 11, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 The Austin American-Statesman                               All Rights Reserved
,drug,energy,bus,dec.,security,go,war,tax,new,wall,people,need,way,president,stop,article,keep,matter,cost,four,troops,terrorist,Austin,Bush,capitol,plan,state,move,city,speak,transit,something,different,much,fight,include,use,control,time,production,climate,change,economy,consumer,business,higher,service,effective,military,kill,aircraft,bomb,vote,longer,happen,ten,thousand,administration,discrimination,big,letter,writer,divide,Capitol,Texas_Capitol,Iraq,JERRY,Bethlehem,bump,bustling,gov,preservation,board,turn,complex,green,zone,important,racism,classism,expedient,politics,though,destroy,vital,downtown,junction,might,send,significant,number,employee,back,car,increase,traffic,road,rider,minority
,8,6,5,5,5,5,5,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 10, 2008 Saturday",36 of 126 DOCUMENTS,Austin American-Statesman (Texas),"Faith leaders seek to bridge divisions, work for social justice",EILEEN FLYNN AMERICAN-STATESMAN STAFF,LIFESTYLE; Pg. G04,,822 words,,,"May 10, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 The Austin American-Statesman                               All Rights Reserved
,people,woman,Wallis,faith,justice,evangelical,social,rally,tuesday,word,mean,progressive,go,young,liberal,call,change,evangelicals,anyway,last,time,image,name,among,term,another,wallis,next,describe,revival,seek,poverty,think,assumption,seder,someone,sit,unchallenged,reporter,happen,rise,work,mercy,care,embrace,especially,really,break,christians,become,activist,issue,abortion,p.m.,Christian,Columbus,hesitate,begin,column,wonder,use,evoke,reader,person,jim,week,whose,latest,book,live,participate,overcome,label,encourage,confront,world,ill,environmental,destruction,hear,code,truly,stick,around,explore,politics,start,anecdote,recently,attend,passover,home,friend,recount,story,eat,bitter,herb,thing
,10,7,6,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 15, 2008 Thursday",39 of 126 DOCUMENTS,Austin American-Statesman (Texas),Compressiondepression,Alan Trubow AMERICAN-STATESMAN STAFF,SPORTS; Pg. C01,,771 words,,,"May 16, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 The Austin American-Statesman                               All Rights Reserved
,season,game,baseball,schedule,NCAA,have,play,time,team,player,think,change,school,class,director,kid,always,week,everybody,travel,happen,many,athletic,study,thing,coach,spring,go,return,practice,monday,begin,tired,really,take,implement,college,back,weekend,use,struggle,adjust,academic,hardest,miss,relax,need,new,problem,situation,feb,reduce,football,fall,selection,committee,work,Texas,Shinaberry,Garrido,final,exam,energy,relief,pitcher,toll,toughest,semester,ever,feel,breathe,again,uniform,start,force,create,tax,imagine,night,tuesday,wednesday,kan,thursday,friday,saturday,sunday,home,p.m.,head,texas,right,fielder,walk,anthropology,town,exhaust,fair,man,kill
,10,10,9,8,8,6,6,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 1, 2008 Monday",41 of 126 DOCUMENTS,Austin American-Statesman (Texas),AUSTIN 360 BETS,AMERICAN-STATESMAN STAFF,LIFESTYLE; Pg. D02,,1101 words,,,"December 1, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 The Austin American-Statesman                               All Rights Reserved
,p.m.,late,show,live,a.m.,tonight,leno,jimmy,kimmel,friday,band,Jay,concert,congress,song,letterman,night,o',brien,ferguson,heart,include,holiday,7:30,christmas,keep,work,artist,ave.,guitar,baby,David,Conan,Colin,University,Service_Industry,guest,tom,jone,ice,cube,little,music,kid,go,faculty,around,world,today,starbuck,give,cent,every,beverage,sell,red,shrek,animated,special,present,several,art,gallery,small,st,collection,s.,series,drive,saturday,classical,know,album,face,sound,Michael_Corcoran,Bates_Recital_Hall,Texas,Global_Fund,ABC,Grinch,Miró_Quartet,monday,charlie,hade,celine,dion,t.i.,tuesday,sia,colbie,caillet,steel,train,akon,lady,antebellum,wednesday,jenny
,14,12,12,6,6,5,5,5,5,5,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 7, 2008 Sunday",42 of 126 DOCUMENTS,Austin American-Statesman (Texas),Bargains at half the size,AMERICAN-STATESMAN STAFF,LIFESTYLE; Pg. H01,,4802 words,,,"December 7, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 The Austin American-Statesman                               All Rights Reserved
,book,photo,work,make,world,cover,image,art,man,history,offer,house,time,architecture,page,include,create,give,author,much,the,design,country,big,write,show,look,life,artist,Abrams,American,good,read,modern,color,new,little,war,though,change,style,enough,form,use,text,often,across,drake,may,century,Jeff_Salamon,sense,piece,contain,photograph,map,yes,addition,home,global,entry,national,edition,peace,letter,space,music,place,accompany,last,sometimes,narrative,never,best,paper,photographer,back,without,impressive,inch,painting,end,dream,call,magazine,many,portrait,go,take,better,name,draw,collection,comic,strange,wave,coffee_table,Texas,present
,29,14,13,11,11,11,11,11,9,9,9,9,8,8,8,8,8,7,7,7,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3
"January 2, 2008 Wednesday",43 of 126 DOCUMENTS,Austin American-Statesman (Texas),City sets goal: End dumping by 2040,Sarah Coppola AMERICAN-STATESMAN STAFF,METRO; Pg. B01,,617 words,,,"January 2, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 The Austin American-Statesman                               All Rights Reserved
