PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"October 26, 2001, Friday",1 of 81 DOCUMENTS,Austin American-Statesman (Texas),Environmental terrors,"Editorial Board, Austin American-Statesman",Editorial; Pg. A14,,392 words,,,"October 26, 2001",ENGLISH,,,,,,,Copyright 2001 The Austin American Statesman
,change,scientist,report,climate,air,attack,health,gulf,coast,make,Texas,inhal,pollute,likely,texan,government,global,damage,water,forest,decline,need,plan,university,union,concerned,life,take,lot,anthrax,anxiety,mount,may,worth,noting,far,prove,fatal,average,rogue,bacteria,spore,yet,surprisingly,difficult,mobilize,citizen,pollution,threat,prosperity,link,rather,problem,still,argue,whether,real,unless,way,quickly,expect,parade,horrible,cripple,economy,warn,group,new,predict,warming,profound,effect,state,include,shortage,disease,death,summer,heat,flood,coastal,erosion,appearance,unhappy,outlook,cotton,crop,tourism,lousy,fishing,loss,wildlife,habitat,list,think,issue,start,future,rice
"January 7, 2001, Sunday",6 of 81 DOCUMENTS,Austin American-Statesman (Texas),The Other Agenda,,Editorial; Pg. J4,,3753 words,,,"January 7, 2001",ENGLISH,,,"A group of teenagers wait their turn below as Perla Ramos climbs a rock wall at Emchanted Rock State Natural Area.//Gov. Rick Perry, center, unveils higher education plans with Jim Adams, left, chairmam of a commission on colleges and universities, and Sen. Rodney Ellis.//Gonzalo Barrientos//Rob Junell//Elliott Naishtat//Then Lt. Gov. Rick Perry, center, meets with Sen. David Sibley, R-Waco, left, and Sen. Royce West, D-Dallas, on may 14, 1999, during a Senate attempt to forge a bipartisan hate-crime bill.",,,,Copyright 2001 The Austin American-Statesman
,state,Texas,issue,bill,lawmaker,chairman,player,analysis,outlook,budget,cost,group,teacher,health,include,education,information,tax,billion,program,sen,million,service,lawyer,rep.,plan,sale,law,employee,session,change,spend,may,defense,district,make,business,internet,legislation,official,many,without,care,require,likely,provide,current,higher,new,agency,crime,money,statewide,water,legislature,mental,time,need,criminal,system,proposal,reform,share,public,collect,gov,chairwoman,school,support,try,development,prison,worker,child,life,ellis,prosecutor,Texas_Association,House,Medicaid,D-Houston,legislative,justice,keep,run,way,privacy,chamber,company,interest,association,allow,customer,much,retailer,debate,hope,pass,legal
,53,22,21,17,16,15,14,14,14,13,13,13,13,13,12,11,11,11,11,10,10,10,10,10,9,9,9,9,9,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"June 11, 2001, Monday",8 of 81 DOCUMENTS,Austin American-Statesman (Texas),"President likely to get cold reception on European trip, Bush's policies on global warming treaty, missiles fuel hostility toward U.S. before talks","Bert Roughton Jr., American-Statesman International Staff",News; Pg. A4,,531 words,,,"June 11, 2001",ENGLISH,,,,,,,Copyright 2001 The Austin American Statesman
,president,Europe,bush,leader,United_States,begin,wednesday,european,visit,demonstration,Bush,thing,time,series,administration,among,decision,treaty,missile,plan,headquarters,summit,thursday,new,o'hanlon,think,part,relation,show,intend,group,last,week,include,outside,Kyoto,NATO,Brussels,European_Union,Texas,Spain,Greenpeace,expect,warm,welcome,tuesday,morning,maid,tour,stop,sunny,spain,likely,turn,chilly,hurry,hostility,toward,highest,level,anger,frustration,gather,foreign,policy,move,unilateral,dump,1997,negotiate,greenhouse,gas,emission,fresh,push,controversial,defense,system,abandon,divisive,topic,other,confront,key,meeting,city,talk,meet,many,promise,prickly,analyst,personal,atmospheric,let,face,great,start,number
,6,6,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 14, 2001, Wednesday",9 of 81 DOCUMENTS,Austin American-Statesman (Texas),Bush changes stance on emissions; Carbon dioxide regulations are no,"Ken Herman, American-Statesman Washington Staff",News; Pg. A1,,812 words,,,"March 14, 2001",ENGLISH,,,President Bush: Says carbon dioxide isn't a pollutant under Clean Air Act.,,,,Copyright 2001 The Austin American-Statesman
,Bush,dioxide,carbon,emission,global,tuesday,letter,reduce,warming,regulation,pollutant,energy,campaign,gas,cite,coal,take,federal,four,price,include,electricity,Sierra_Club,president,back,nation,power,plant,senator,draw,believe,greenhouse,reversal,time,state,lead,rise,administration,industry,cause,solution,change,significantly,call,reduction,sulfur,nitrogen,oxide,mercury,multipollutant,strategy,report,generate,head,clear,look,move,pollution,curb,Clean_Air_Act,Carbon,market_based,Christie_Whitman,Washington,position,candidate,impose,release,decision,detailed,republican,condemnation,conservationist,group,crucial,define,soar,cost,reason,already,experience,shortage,worried,availability,summer,must,careful,action,harm,consumer,tell,produce,burn,fossil,fuel,oil,researcher,trap,heat
,19,18,14,9,7,6,6,6,6,5,5,5,5,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 8, 2001, Thursday",11 of 81 DOCUMENTS,Austin American-Statesman (Texas),Warming up to good ideas,,Editorial; Pg. A16,,252 words,,,"February 12, 2001",ENGLISH,,,,,,,Copyright 2001 The Austin American-Statesman
,reduce,carbon,dioxide,emission,level,1990,power,save,world,global,warming,might,step,much,need,staff,curb,increase,2010,council,city,goal,plant,total,million,ton,central,texas,danger,part,wind,skin,take,gas,blame,pretty,preserve,treasure,quality,life,fend,federal,police,hold,idea,mind,today,review,proposal,ask,plan,join,dozen,international,region,campaign,percent,2020,adopt,local,1996,strategy,propose,sound,familiar,conserve,electric,find,cleaner,source,commuter,traffic,recycle,waste,tree,figure,9.6,serious,almost,vehicle,prime,culprit,believe,play,role,climate,change,population,rise,fast,return,pollution,may,pipe,dream,reason,act,decisively,whether
,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 16, 2001, Friday",12 of 81 DOCUMENTS,Austin American-Statesman (Texas),WWW: It's not all smut and porn in Austin's Web Light District.,Omar L. Gallaga American-Statesman Staff,Technopolis; Pg. F3,,2550 words,,,"February 19, 2001",ENGLISH,,,"Jenn Ramsey wants women to feel as comfortable visiting her adult site as they do at Victoria's Secret.; Lynn Raridon, owner of Forbidden Fruit stores, is known as a sort-of go-to person for those starting adult Web sites in Austin.; Former dominatrix Content Knowles has moved into the mainstream with Coolfreesamples.com.; Neil Blank wants to be the Roger Ebert of the porn industry.",,,,Copyright 2001 The Austin American-Statesman
,site,adult,web,business,internet,content,make,Ramsey,online,start,owner,sex,may,video,find,work,industry,Austin,money,Blank,many,mainstream,thing,become,product,new,learn,Lane,difficult,place,visit,live,have,way,much,review,Knowles,Raridon,store,drive,time,advertising,woman,area,another,other,take,local,sexual,go,offer,home,people,think,create,host,law,little,change,goal,town,subject,shop,feel,comfortable,launch,feature,include,small,base,demand,job,seem,stream,use,lawyer,profit,play,entertainment,legal,research,administration,turn,service,dominatrix,promote,own,string,deal,sell,world,next,film,run,obscenity,state,concern,attorney,general
,62,58,38,19,19,17,16,13,11,11,11,10,10,9,9,9,9,9,8,8,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"June 3, 2001, Sunday",14 of 81 DOCUMENTS,Austin American-Statesman (Texas),Who needs a gay hub? Following his interests leads to many friends,"Michael Barnes, American-Statesman Staff and Sean Massey, Special to the American-Statesman",Lifestyle; Pg. K11,,2072 words,,,"June 4, 2001",ENGLISH,,,"Peter Flagg Maxson shows off his garden to neighbor Connie McMillan at his Hyde Park home. Gardening is just one of his many hobbies. // Teresa Delisi, left, and Debby Merritt love their Round Rock home, but Delisi had a rough time here 2 decades ago when she was involved in a bitter custody dispute.// Michael Jones, who was once an aide to former Gov. Ann Richards, has been a careful observer of Austin's changes. // Eugene Sepulveda's corporate success propelled him into the political arena. The financial consultant was the key person in getting out the gay vote for the light-rail referendum.",,,,Copyright 2001 The Austin American-Statesman
,gay,people,community,Austin,go,life,lesbian,think,neighborhood,city,much,Delisi,still,Maxson,man,thing,feel,home,live,grow,move,case,way,Merritt,Texas,Sepulveda,something,make,partner,couple,although,school,friend,miss,time,hard,center,ago,custody,public,relatively,Round_Rock,Jones,straight,house,conservative,graduate,early,active,bar,group,someone,district,lot,culture,social,son,family,back,run,former,find,information,happen,change,mean,experience,political,sepulveda,vote,believe,always,Dallas,Phoenix,gardening,else,good,neighbor,seem,attend,age,bring,percent,program,serve,university,today,sit,board,might,big,predominately,visit,observer,remain,interest,small,senior,older
,30,14,13,12,11,11,10,10,8,8,8,8,7,7,6,6,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"December 30, 2001, Sunday",16 of 81 DOCUMENTS,Austin American-Statesman (Texas),"Reflections, projections","Claudia Grisales, Jerry Mahoney, R. Michelle Breyer, Amy Schatz, Kirk LadendorfLori Hawkins and Shonda Novak, American-Statesman Staff",Business; Pg. J1,,3045 words,,,"December 31, 2001",ENGLISH,,,,,,,Copyright 2001 The Austin American Statesman
,go,people,learn,business,company,start,thing,moment,lesson,time,define,watch,think,new,have,lot,good,project,economy,Austin,market,make,firm,we,really,sale,million,take,look,client,family,september,everything,open,growth,great,change,sign,recovery,downtown,keep,anything,put,know,price,still,last,big,build,job,way,reality,sept,career,run,grow,community,location,plan,work,2001,much,apartment,president,happen,become,economic,sell,move,better,turn,expect,part,hit,need,home,recession,spend,bad,executive,large,employee,next,lead,native,earlier,layoff,three,kind,never,building,couple,hope,championship,around,complete,important,matter,end
,21,20,17,16,15,15,14,14,14,12,12,12,12,11,11,10,10,9,9,8,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"May 25, 2001, Friday",17 of 81 DOCUMENTS,Austin American-Statesman (Texas),The changing face on politics,,Editorial; Pg. A21,,2022 words,,,"May 29, 2001",ENGLISH,,,"Sen. James Jeffords of Vermont announces Thursday he is leaving the Republican Party, tipping the balance of power in the Senate in favor of the Democrats.// Phil Gramm: Would be replaced as committee chair. // Trent Lott: Should have seen this coming. , George H.W. Bush: Undermined by Majority Leader George Mitchell during his administration.//, Sen. Tom Daschle: Must lead a diverse caucus of conservatives and fiery liberals.",,,,Copyright 2001 The Austin American-Statesman
,Bush,jefford,democrat,party,president,Jeffords,Senate,conservative,republican,tax,make,Vermont,White_House,control,power,majority,moderate,issue,may,agenda,sen,last,election,liberal,vote,many,help,education,cut,administration,way,Republican,Lott,Daschle,time,change,committee,public,bush,probably,blame,think,punish,budget,vermont,teacher,dairy,go,farmer,believe,leader,every,important,aim,leave,case,right,use,compromise,leadership,judicial,happen,still,key,try,back,environment,pay,new,Republican_Party,American,forget,jim,government,nearly,four,allow,become,chairme,consistently,ideology,nominee,confirmation,pledge,people,political,invite,ceremony,honor,solid,plan,almost,certainly,challenge,minority,position,loss,defect,difference
,20,17,14,13,10,10,10,9,7,7,6,6,6,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"June 3, 2001, Sunday",18 of 81 DOCUMENTS,Austin American-Statesman (Texas),"'OUT' IN AUSTIN; With a city this open, we don't need a gay ghetto","Michael Barnes, American-Statesman Staff and , Sean Massey, Special to the American-Statesman",Lifestyle; Pg. K1,,4614 words,,,"June 4, 2001",ENGLISH,,,"Although Dan Nelson and partner Todd Adkins like to go out, they enjoy hosting gatherings such as this Friday happy hour that brought together Mary Ann George (left), Nelson, Adkins, Steve Isaacs, Steve Holman, Judy Arnold and Monte Swearengen.// Tree Marsoobian (cq) , 23, is a lesbian just out of college, orginally from Boston, who works at a local bike shop and recently joined a women's racing team.//Nelson and Adkins are happy with the life they've built in Austin.// When Richard Lee Williams (center) arrived in Austin, he was disappointed with the dating scene. Now attached, he still likes to go out and have fun with friends such as David Sweeney (from left), Williams' partner Patrice Carrara, Cody Hoya and Troy Richard.// Not only do Robert Salazar, 39, left, and Henry Mercado, 26, live together, they're also department managers at Home Depot.// When Hillary Miller, left, and Neena Husid became a couple, they formed a family that includes 5 children'// Peter Flagg Maxson shows off his garden to nei",,,,Copyright 2001 The Austin American-Statesman
,gay,Austin,community,people,lesbian,go,city,think,life,feel,know,live,friend,still,neighborhood,couple,much,experience,thing,man,Texas,partner,social,group,move,way,Nelson,part,school,bar,woman,make,comfortable,Williams,Delisi,many,child,grow,time,although,meet,place,Maxson,early,lot,high,club,ago,public,find,culture,family,Dallas,Salazar,father,different,mean,age,son,hard,recently,never,district,house,organization,miss,visit,bring,someone,back,need,happen,home,case,Mercado,Merritt,Sepulveda,among,worker,relationship,sexuality,yet,eight,small,attract,sense,huge,attend,outside,fall,scene,graduate,have,ask,else,take,senior,parent,young
,72,35,28,26,23,22,20,20,17,16,14,13,13,12,12,12,11,10,10,10,10,9,9,9,9,9,9,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"January 16, 2001, Tuesday",20 of 81 DOCUMENTS,Austin American-Statesman (Texas),"In D.C. social scene, it helps to be Green","Bob Dart, American-Statesman Washington Staff",Lifestyle; Pg. E1,,908 words,,,"January 17, 2001",ENGLISH,,,,,,,Copyright 2001 The Austin American-Statesman
,social,people,Green_Book,Washington,go,society,list,change,host,time,work,new,administration,page,republican,however,bush,money,town,invitation,dinner,party,family,live,Bush,nation,old,still,suburban,va.,md,register,include,book,scene,wife,columnist,political,former,own,course,gossip,call,hostess,likely,half,secretary,every,might,Georgetown,Howe,George,Ridgewell,Republican,NATO,president,continue,preside,certain,stratum,capital,d.c.,dub,color,plush,velvet,cover,reminder,permanent,guard,mingle,parlor,porch,mansion,indeed,general,manager,member,thus,arbitrate,1930,recommend,other,add,final,decision,make,secretive,board,governor,socially,active,resident,explain,await,w.,texas,entourage,intimate
,7,6,6,5,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 22, 2001, Thursday",21 of 81 DOCUMENTS,Austin American-Statesman (Texas),A road to redemption for troubled Sixth Street ; Austin's most famous,"Chris Riemenschneider, American-Statesman Staff",News; Pg. A1,,2227 words,,,"March 8, 2001",ENGLISH,"February 23, 2001","Thursday's front-page article on Sixth Street incorrectly reported statistics on underage drinking violations. According to police, 7,800 downtown violations were issued over three years.","Gary Manley, owner of the Iron Cactus bar and restaurant, is optimistic about Sixth Street's future. 'The city has changed, and Sixth Street didn't adjust. But it's still the one thing that many people want to see when they come into Austin, and I think we're finally learning how to take advantage of that,' he said.",,,,Copyright 2001 The Austin American-Statesman
,Sixth_Street,many,bar,street,minor,owner,area,Austin,last,club,problem,people,business,include,alcohol,still,city,police,go,night,district,lot,drink,serve,three,away,new,arrest,make,downtown,increase,resident,good,crowd,proprietor,change,thing,sale,decade,time,percent,assault,Mardi_Gras,Piatt,place,recent,nightlife,parking,crime,transient,fear,entertainment,report,weekend,restaurant,think,take,several,music,agree,become,host,other,block,venue,often,car,work,figure,kid,bill,yet,thanks,Esther,Salvation_Army,saturday,band,serious,concern,underage,drinker,top,warehouse,exactly,common,trouble,turn,younger,corner,add,live,community,draw,jazz,friend,although,stricter,guideline,whose
,38,19,15,12,12,11,11,11,10,10,10,9,9,9,9,8,7,7,6,6,6,6,6,6,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"March 25, 2001, Sunday",22 of 81 DOCUMENTS,Austin American-Statesman (Texas),Conservation agency under state's microscope; House bills seek to,"Ralph K.M. Haurwitz, American-Statesman Staff",Metro/State; Pg. B1,,1016 words,,,"March 26, 2001",ENGLISH,,,"Sam Rayburn Reservoir in East Texas is the retirement haven of Walter West, who is concerned about how a paper mill's discharges affect water quality.",,,,Copyright 2001 The Austin American-Statesman
,commission,agency,company,state,water,quality,public,conservation,bill,downgrade,mill,reauthorization,rep.,measure,fish,environment,stretch,paper,hearing,change,health,file,compliance,permit,require,pollution,group,official,river,rating,West,Bosse,retire,engineer,last,protect,lower,standard,reservoir,allow,decision,environmental,regulation,interest,rather,angler,farmer,critic,legislature,need,balance,record,regulatory,complaint,committee,action,base,evidence,remove,director,many,set,use,complain,issue,much,chairman,intermediate,previous,add,element,Sam_Rayburn_Reservoir,Huston,EPA,aerospace,life,shore,reason,especially,bass,charge,feed,release,wastewater,greater,concentration,pollutant,otherwise,speak,volume,obvious,catering,special,legislative,week,environmentalist,consumer,activist,cite
,10,7,7,6,5,5,5,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 29, 2001, Sunday",23 of 81 DOCUMENTS,Austin American-Statesman (Texas),Bush just says 'no' to global treaties -- for now President vows to offer own solutions with a foreign policy that puts U.S. interests first,"Bob Deans, American-Statesman Washington Staff",Insight; Pg. H1,,1234 words,,,"July 31, 2001",ENGLISH,,,President Bush's 'a la carte multilateralism' has put him somewhat on the defensive.,,,,Copyright 2001 The Austin American Statesman
,Bush,United_States,global,world,accord,treaty,agreement,U.S.,international,go,kyoto,administration,conference,foreign,though,much,opposition,environmental,U.N.,president,climate,country,together,nation,agenda,issue,use,alone,Clinton,Bonn,reject,cooperation,set,new,six,endorse,178,germ,warfare,arm,missile,argue,interest,way,objective,economy,attack,back,include,proposal,may,week,support,offer,solution,director,policy,join,purpose,show,goal,place,influence,agree,decision,alternative,impression,leave,economic,force,convention,mine,pressure,home,base,require,still,face,nature,lot,push,thing,interested,energy,domestic,Pentagon,American,fruit,standard,walk,away,nix,protocol,cobble,balk,prohibition,trade,declare,willingness
,17,11,10,9,8,7,7,7,6,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1
"November 1, 2001, Thursday",25 of 81 DOCUMENTS,Austin American-Statesman (Texas),U2 NOW MORE THAN EVER,MICHAEL CORCORAN American-Statesman,XL Ent; Pg. 20,,736 words,,,"November 1, 2001",ENGLISH,,,,,,,Copyright 2001 The Austin American Statesman
,band,tour,group,rock,Bono,song,call,best,album,find,become,change,new,good,always,make,list,elevation,world,recent,can,stage,show,ago,turn,whose,sunday,time,monday,season,obvious,decide,1990,final,go,earnest,righteous,rockist,great,listen,Leave_Behind,U2,u2,begin,joke,reapply,job,beautiful,sweep,record,category,mys,eager,redeem,rompin,stompin,decade,toy,conceptual,ironic,embrace,stature,royalty,without,apology,wink,wear,black,leather,pants,girl,primp,tease,around,catwalk,last,star,seven,week,crusade,prayer,tragic,flash,socially,relevant,emphatically,believe,potential,catharsis,rereleased,patriotic,tune,write,already,place,road,provide,deeper,meaningful
