PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
,city,tuesday,Austin,million,department,effort,U.S.,finalist,federal,make,seven,win,vehicle,provide,Columbus,assist,challenge,grant,report,issue,statement,confirm,official,pitch,pledge,money,include,support,agency,move,forward,past,convert,electric,funding,plan,transportation,government,mayor,competition,element,traffic,timing,Transportation,fed,edg,five,media,office,sen,sherrod,brown,home,team,expect,announcement,thursday,visit,newspaper,might,boost,local,match,public,fund,winner,midday,emphasize,tech,industry,leader,idea,develop,six,company,found,another,help,fleet,lead,bring,philanthropist,additional,climate,electrification,beyond,collaborate,modeling,improve,network,release,focus,resource,specifically,promise,mo,ore,steve,adler
,14,5,5,4,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 6, 2016 Wednesday",44 of 88 DOCUMENTS,Austin American-Statesman (Texas),Salamander habitat work likely to cost $1.7 million,Asher Price American-Statesman Staff,MAIN; Pg. A1,,779 words,,,"July 6, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 The Austin American-Statesman                               All Rights Reserved
,city,salamander,project,habitat,stream,official,cost,pool,species,Barton_Springs,endangered,swim,million,foot,construction,Austin,Eliza_Spring,roughly,1.7,u.,protect,use,continue,nearly,pipe,increase,give,we,work,Barton_Springs_Pool,Fish,Wildlife_Service,create,staffer,estimate,small,link,allow,human,area,late,summer,side,block,part,improve,people,concrete,metal,protection,make,option,open,future,thing,go,may,City_Council,Herrington,narrow,waterway,new,five,time,originally,resurrection,way,show,serious,"7,000",per,square,soar,sensitive,nature,currently,sorting,bid,present,winner,due,begin,fall,interrupt,cut,slope,grassy,north,sunbather,spilling,bypass,culvert,beside,run,wide,likely,border,limestone,several
,11,10,10,8,8,8,6,6,6,6,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 17, 2016 Wednesday",45 of 88 DOCUMENTS,Austin American-Statesman (Texas),Lobby leader to step down,Tim Eaton American-Statesman Staff,BUSINESS; Pg. B7,,300 words,,,"August 17, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 The Austin American-Statesman                               All Rights Reserved
,Hammond,Texas_Association,Business,spend,time,plan,Texas,hammond,lobbying,lobbyist,issue,right,search,recognizable,face,leave,post,dec.,organization,tuesday,nearly,lead,powerful,group,take,job,less,family,joke,intend,wife,documentary,filmmaker,enjoy,slower,pace,life,decide,change,advocate,multi,national,corporation,small,business,alike,create,environment,reasonable,regulatory,climate,look,forward,open,shop,contract,2017,legislative,session,focus,largely,education,champion,member,1983,1991,head,push,educated,workforce,work,tax,economic,development,health,care,list,new,client,early,announce,retirement,give,couple,know,legislature,represent,east,dallas,call,good,guy,strong,leader,always,professional,smart,fair,whoever
,6,4,4,3,3,3,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 30, 2016 Friday",46 of 88 DOCUMENTS,Austin American-Statesman (Texas),Refrigerator recycling program ends in Austin after 11 years,Asher Price American-Statesman Staff,METR; Pg. B3,,408 words,,,"September 30, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 The Austin American-Statesman                               All Rights Reserved
,program,refrigerator,recycl,appliance,customer,use,utility,much,electricity,release,cost,Austin_Energy,end,inefficient,freezer,refrigerant,decade,model,fewer,go,work,contractor,pick,disposal,community,make,Kimberly,declare,victory,effort,antiquate,home,announce,thursday,target,official,course,"35,000",collect,older,unit,three,time,new,never,waste,single,energy,solution,news,responsibly,fill,landfill,allow,air,federal,rule,force,manufacturer,past,increase,efficiency,goal,remove,2013,half,1990,accord,data,association,start,2005,offer,rebate,old,percent,part,material,related,chlorofluorocarbon,component,atmosphere,harm,ozone,layer,among,greenhouse,gas,associate,global,warming,city,140,per,roughly,dismantling,process,well,administrative
,8,7,6,6,5,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 15, 2016 Thursday",48 of 88 DOCUMENTS,Austin American-Statesman (Texas),'Miss Sloane' goes to Washington,The Washington Post,LIFE; Pg. D3,,955 words,,,"December 15, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 The Austin American-Statesman                               All Rights Reserved
,Chastain,character,film,miss,sloane,Madden,stand,lobbyist,work,side,gun,debate,make,play,yet,offer,script,question,argument,way,something,chastain,kind,actress,nominee,name,less,d.c.,take,go,firm,interview,discovery,suit,pill,polish,role,agent,look,whose,someone,time,meticulous,point,change,state,real,set,use,political,never,either,fair,people,enough,money,do,hope,Jessica,Washington,Sloane,can,help,notice,next,short,oscar,2017,strong,analyst,tracking,bin,lade,zero,dark,thirty,mutinous,commander,space,mission,considerably,impose,person,often,appear,screen,meeting,hotel,october,talk,new,star,uncompromising,morally,compromise,laugh,observation,understatement,different
,13,8,7,7,6,6,4,4,4,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 6, 2016 Wednesday",49 of 88 DOCUMENTS,Austin American-Statesman (Texas),COMMUNITY NEWS,American-Statesman Staff,METR; Pg. B2,,764 words,,,"January 6, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 The Austin American-Statesman                               All Rights Reserved
,library,meeting,information,p.m.,committee,project,event,knit,help,club,advisory,district,meet,AMERICAN_STATESMAN,county,public,improvement,visit,thursday,resident,effort,group,Austin_Parks,STAFF,MUD,set,saturday,presentation,give,series,gather,include,call,recreation,staff,second,share,activity,available,clutter,host,program,join,member,charity,participate,hat,end,contribute,monthly,generally,park,monday,community,center,within,bastrop,concert,benefit,music,SOUTH,Recreation_Department,Zilker_Park,Barton_Springs,Barton_Springs_Road,city,draft,recommendation,2220,hold,start,november,input,shape,rehabilitation,bathhouse,exist,facility,austintexas.gov/zov/zovementrovementrovementroveme,office,focus,partnership,design,consultant,propose,garden,6:30,7:30,900,feedback,family,friendly,child,website,austintexas.gov/alliancechildrensgarden,visitor,site,find,link
,8,7,7,6,6,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 20, 2016 Sunday",51 of 88 DOCUMENTS,Austin American-Statesman (Texas),"Rewinding SXSW Interactive: Obamas, VR and 'Mr. Robot'",Omar L. Gallaga American-Statesman Staff,BUSI; Pg. F1,,1224 words,,,"March 21, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 The Austin American-Statesman                               All Rights Reserved
,vr,fest,SXSW,make,festival,panel,seem,coaster,reality,go,virtual,include,brand,seat,headset,around,free,food,experience,keynote,president,interactive,event,head,face,place,roller,tech,installation,demo,many,try,phone,line,use,idea,room,people,conversation,Samsung,platform,ride,start,never,drop,enough,wow,house,know,largely,point,much,show,hundred,party,night,big,future,effort,hot,topic,downtown,outside,speak,test,still,lot,conclude,technology,developer,company,though,pack,tough,draw,session,fill,feel,matter,attendee,think,discussion,diversity,town,instance,least,mo,robot,lady,every,grow,Six_Flags,South,Barack_Obama,SXSW_Interactive,virtual_reality,McDonald,Interactive,Obamas
,7,7,7,6,6,6,6,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"May 28, 2016 Saturday",53 of 88 DOCUMENTS,Austin American-Statesman (Texas),"This week's free events include ballet, bubbles and 'Game of Thrones'",American-Statesman Staff,LIFE; Pg. E2,,402 words,,,"May 31, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 The Austin American-Statesman                               All Rights Reserved
,p.m.,food,screen,noon,Austin,island,pig,roast,dance,party,p.m,week,episode,new,local,band,ballet,sun,sunday,style,can,make,vacation,dream,reality,chef,cocktail,special,night,long,may,miss,beach,away,wanderlust,door,service,1500,east,sixth,street,hotelvegasaustin.com,game,need,keep,subscription,never,fear,last,follow,hd,502,ndvenue.com,monday,memorial,bash,lucky,take,sweet,sound,brunch,manmosa,good,company,bangersaustin.com,tuesday,high,talk,lead,cookbook,author,speak,contribution,world,complex,system,book,texas,table,shortlist,1800,congress,ave,thestoryoftexas.com,museum,host,exhibit,global,kitchen,july,friday,star,perform,les,sylphide,blanc,arrive,early,picnic
,6,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 25, 2016 Thursday",54 of 88 DOCUMENTS,Austin American-Statesman (Texas),17 parties that altered Austin,Michael Barnes American-Statesman Staff,LIFE; Pg. D1,,1633 words,,,"August 25, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 The Austin American-Statesman                               All Rights Reserved
,sept,Austin,party,show,social,event,pop,ball,parade,city,dec.,street,oct,Congress_Avenue,president,national,include,aug,night,march,music,nov,downtown,arrive,early,capitol,gov,state,biggest,part,world,many,sept.,start,country,title,era,stage,rodeo,community,people,Hyatt_Regency,Austin_Pride,fall,season,last,always,big,look,public,back,grand,join,line,hundred,car,p.m.,assemble,may,paraded,inevitable,contest,demonstration,june,still,special,old,1945,aug.,vj,end,three,celebration,across,well,1941,report,1962,initial,call,inspire,annual,food,football,dancing,sense,stock,austin,close,el,dia,de,museum,festival,predict,something,happen,club,name
,11,11,9,7,6,6,6,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"January 2, 2016 Saturday",55 of 88 DOCUMENTS,Austin American-Statesman (Texas),Congress succeeds amid compromise,American-Statesman Staff,MAIN; Pg. A16,,792 words,,,"January 4, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 The Austin American-Statesman                               All Rights Reserved
,Congress,pass,republican,bill,tax,oil,Republican,2015,include,ban,export,democrat,Cornyn,government,last,prove,compromise,bipartisan,congressional,state,end,many,accomplishment,trafficking,party,Texas,U.S.,time,find,govern,actual,debt,generally,write,wrong,productive,member,president,behind,act,decade,billion,make,help,give,global,credit,1.15,trillion,spend,fund,legislation,crude,talk,note,repeal,example,past,lot,upset,new,conservative,issue,work,Senate,American,United_States,114th,conven,ago,back,control,eight,little,reason,optimistic,much,do,several,shutdown,threaten,court,default,national,manufacturing,fiscal,crisis,another,early,hope,today,mostly,worth,remind,unless,despite,polarize,impression,otherwise
,8,7,6,6,6,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 6, 2016 Saturday",58 of 88 DOCUMENTS,Austin American-Statesman (Texas),Big questions about big game,Cedric Golden and Kirk Bohls American-Statesman Staff,SPOR; Pg. C1,,1072 words,,,"February 8, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 The Austin American-Statesman                               All Rights Reserved
,bohl,golden,Super_Bowl,time,quarterback,game,put,behind,big,play,Carolina,line,manning,win,top,loss,favorite,run,coach,all_time,second,three,career,playoff,make,much,carry,season,player,love,Montana,Elway,story,sunday,rank,title,place,record,already,best,start,five,lump,yes,really,matter,strong,risk,equally,defender,goal,stick,guy,tackle,star,nine,interception,least,catch,yard,touchdown,couple,easy,pass,back,still,cowboy,hand,never,bet,0.5,kid,happen,past,super,bowl,beat,find,commercial,experience,warm,dallas,away,great,twitter,Brady,Peyton,Newton,columnist,discuss,major,question,matchup,peyton,among,fourth,validate,right,ahead
,14,14,11,9,6,6,5,5,5,5,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1
"February 7, 2016 Sunday",59 of 88 DOCUMENTS,Austin American-Statesman (Texas),"At Super Bowl C, we can't see good ol' days",Kirk Bohls American-Statesman Staff,SPOR; Pg. C6,,833 words,,,"February 8, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 The Austin American-Statesman                               All Rights Reserved
,game,still,team,Super_Bowl,quarterback,play,football,upper,change,know,coach,American,way,victory,old,use,thing,rule,super,bowl,president,begin,retire,advance,full,run,expect,start,believe,many,people,remember,six,win,think,four,never,finally,hard,course,field,flag,take,huddle,U.S.,Houston_Texans,Knights,IFL,Caballeros,seem,dancing,smile,gesture,convincing,entertaining,enough,long,classic,rivalry,story,franchise,battle,new,numeral,gladiator,sport,add,air,majesty,surreal,proceedings,good,2066,arbitrarily,return,eve,sunday,weird,prop,bet,place,range,whether,open,coin,toss,head,tail,song,choose,halftime,show,wild,idea,quintessential,least,outrage,second,headache
,8,6,6,6,5,5,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 17, 2016 Wednesday",60 of 88 DOCUMENTS,Austin American-Statesman (Texas),'Food Lab' author López-Alt teaching at Central Market,American-Statesman Staff,LIFE; Pg. D3,,880 words,,,"February 17, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 The Austin American-Statesman                               All Rights Reserved
,cheese,wine,world,winery,hot,Texas,cook,science,w.,work,egg,sauce,bring,pasta,add,milk,stir,heat,López_Alt,Austin,Beer,home,j.,kenji,cooking,better,fall,winemaker,around,price,experience,vineyard,news,top,grape,location,bar,serve,young,salt,large,mixture,use,food,another,publish,nearly,49.95,last,set,degree,continue,boil,breakfast,beer,join,close,may,winemake,team,craft,release,addition,side,grow,creek,cabernet,look,try,mac,desire,toast,bread,crumb,cheddar,pan,macaroni,evaporate,tsp,mustard,cut,tbsp,cornstarch,stick,butter,place,saucepan,cover,bowl,melt,Food_Lab,Norton,Company,Fall_Creek,Fall_Creek_Vineyards,Cuadra,Auler,American,scientific
,7,6,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
"March 3, 2016 Thursday",62 of 88 DOCUMENTS,Austin American-Statesman (Texas),Obamas set to be on stages at SXSW,Omar L. Gallaga and Peter Blackstock American-Statesman Staff,MAIN; Pg. A1,,688 words,,,"March 3, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 The Austin American-Statesman                               All Rights Reserved
,president,keynote,SXSW,SXSW_Interactive,open,Austin,Michelle_Obama,festival,host,march,audience,announcement,event,visit,White_House,entrepreneur,lady,speech,music,idea,girl,news,release,way,welcome,traffic,typically,include,time,presentation,badge,holder,announce,though,statement,increase,founder,producer,former,al,speaker,2014,show,follow,coverage,sxsw,U.S.,Texas_Tribune,Gold,Platinum,SXSW_Music,sit,interview,conversation,topic,civic,engagement,21st,century,creator,early,adopter,define,future,connect,life,south,meanwhile,present,separate,discuss,use,promote,key,wednesday,focus,let,learn,government,initiative,aim,break,barrier,million,around,world,school,today,half,adolescent,accord,can,imagine,better,celebrate,30th,birthday,new,generation
,9,9,8,7,6,5,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 22, 2016 Tuesday",65 of 88 DOCUMENTS,Austin American-Statesman (Texas),Austin's trees worth billions,Asher Price American-Statesman Staff,METR; Pg. B1,,586 words,,,"March 22, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 The Austin American-Statesman                               All Rights Reserved
,tree,Austin,forest,service,city,value,help,owner,Texas,researcher,manage,ordinance,land,trunk,diameter,inch,species,percent,U.S.,look,price,compensatory,million,find,report,lead,risk,change,better,less,require,private,plant,new,rule,keep,2011,developer,cost,select,estimate,size,canopy,we,long,shade,tag,billion,team,deem,roughly,33.8,480,average,per,series,urban,around,country,policymaker,make,decision,hard,grocery,store,know,shelf,author,research,forester,n.y,future,relatively,protective,cross,hair,gov,key,lawmaker,public,permission,fall,regardless,variety,exchange,must,pay,fund,2010,add,stricter,cut,heritage,certain,greater,unless,prove,disease,safety
,27,14,12,6,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 23, 2016 Saturday",67 of 88 DOCUMENTS,Austin American-Statesman (Texas),"Texas breeze: Wind power now cheaper in state than oil, gas",W. Gardner Selby American-Statesman Staff,METR; Pg. B1,,597 words,,,"April 25, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 The Austin American-Statesman                               All Rights Reserved
,wind,power,Texas,Obama,gas,cheaper,fuel,electricity,claim,cost,right,state,average,per,oil,already,dirty,fossil,2015,megawatt,coal,price,run,energy,hour,credit,Iowa,country,great,traditional,capacity,rate,true,accord,production,subsidy,plant,statement,federal,levelize,lower,keep,turbine,America,Union,coal_fired,Dallas,megawatt_hour,exhort,swing,last,call,planet,sorry,shape,false,narrative,pretty,darn,president,among,thing,democrat,believe,science,climate,change,real,better,bargain,sure,sizzle,find,mostly,lead,overall,generating,earlier,2010,declaration,install,four,2009,boast,"9,410",enough,million,home,recently,factcheck.org,base,dug,2016,address,field,dirtier,conventional,nationally,less
,21,18,13,7,6,6,6,6,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 27, 2016 Wednesday",68 of 88 DOCUMENTS,Austin American-Statesman (Texas),Retail sales boost Texas' service sector,Dan Zehr American-Statesman Staff,BUSINESS; Pg. B7,,496 words,,,"April 27, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 The Austin American-Statesman                               All Rights Reserved
,report,april,accord,state,sector,retail,measure,firm,manager,economy,Texas,sale,help,growth,service,activity,read,previous,indicate,rate,company,prospect,business,service_providing,consecutive,decline,accelerate,entire,index,private,rise,outlook,survey,greater,positive,output,expand,point,broader,solid,cutback,retailer,employment,across,account,current,feel,better,confidence,election,concerned,Dallas_Fed,March,rebound,release,tuesday,federal,reserve,bank,revenue,key,10.6,6.4,figure,grow,faster,march,factory,return,demand,boost,ongoing,expansion,reach,highest,swing,7.0,subsection,curb,staff,tick,steady,payroll,hour,ease,74th,slow,pace,nonfarm,job,data,percent,economic,little,improve,cautious,opinion,particular,express
,8,7,7,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 30, 2016 Saturday",69 of 88 DOCUMENTS,Austin American-Statesman (Texas),Kissinger: No regrets on Vietnam,American-Statesman Staff,MAIN; Pg. A12,,783 words,,,"May 2, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 The Austin American-Statesman                               All Rights Reserved
,gay,Trump,rights,war,Cruz,make,marriage,benefit,Kissinger,state,lose,describe,think,go,history,ever,give,story,nomination,support,conservative,view,LGBT,GOP,many,presidential,library,tuesday,vietnam,end,unless,willing,sustain,judge,judgment,try,best,rest,whether,right,thing,bad,news,new,voter,issue,win,delegate,contrast,long,create,corporation,legislation,religious,business,people,republican,offer,employee,American,Vietnam,Nixon,American_Statesman,Texas_Competes,Austin,president,begin,gradual,withdrawal,force,soon,take,office,1969,national,security,adviser,later,secretary,determine,prosecute,without,credibility,"21,000",americans,perhaps,1.5,million,vietnamese,die,keep,appearance,reassure,ally,warn,enemy,kissinger,night,part
,9,8,7,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 28, 2016 Tuesday",72 of 88 DOCUMENTS,Austin American-Statesman (Texas),Schools want in on nuke upkeep,Ralph K.M. Haurwitz American-Statesman Staff,METR; Pg. B1,,454 words,,,"June 28, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 The Austin American-Statesman                               All Rights Reserved
,system,consortium,Texas,weapon,vote,board,university,ut,bid,spend,information,public,Sandia,nuclear,govern,win,contract,operate,research,official,work,serve,chancellor,people,engineering,decline,much,money,competitive,reason,University,Daniel,might,play,football,anymore,page,nation,complex,together,twist,multimember,form,include,base,n.m.,maintain,surveillance,exchange,component,limited,life,conduct,involve,climate,change,cybersecurity,energy,compute,accord,website,currently,corp,regent,monday,join,boe,co.,approval,unanimous,expect,inasmuch,announce,last,faculty,member,student,able,participate,well,workforce,training,independent,peer,review,appoint,organization,create,run,2.9,billion,annual,budget,"10,000",employee,name,katherine,bank,vice
,8,6,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 1, 2016 Friday",73 of 88 DOCUMENTS,Austin American-Statesman (Texas),Things look up for Texas oil,Dan Zehr American-Statesman Staff,BUSINESS; Pg. B6,,542 words,,,"July 1, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 The Austin American-Statesman                               All Rights Reserved
,oil,price,firm,quarter,report,activity,gas,higher,continue,business,manager,percent,industry,back,second,commodity,production,service,improve,Dallas_Fed,decline,hope,modestly,hold,sector,accord,index,exploration,support,swing,greater,expand,albeit,contraction,drop,although,spend,note,comment,compile,outlook,recent,increase,pricing,change,average,expect,global,demand,factor,lower,per,barrel,Texas,bounced,sharp,start,raising,recover,new,week,federal,reserve,bank,statewide,among,sharply,read,13.8,prior,three,positive,figure,suggest,period,steady,rise,suffer,quarterly,launch,design,provide,timelier,gauge,state,energy,far,part,condition,overall,level,measure,show,modest,nice,better,hopefully,represent,bottom
,7,7,7,6,6,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 2, 2016 Saturday",74 of 88 DOCUMENTS,Austin American-Statesman (Texas),Dinosaur doomsday What really happened?,Marty Toohey American-Statesman Staff,MAIN; Pg. A1,,1287 words,,,"July 5, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 The Austin American-Statesman                               All Rights Reserved
,strike,Gulick,crater,asteroid,expedition,help,scientist,dinosaurs,million,life,explain,samples,think,planet,mile,release,fully,hope,understanding,rock,ring,â,take,Earth,earth,happen,geophysics,professor,rig,coast,hard,physics,team,theory,crew,drill,clue,back,around,people,kind,100,every,carbon,peak,organisms,Chicxulub,near,gulf,devastating,dominant,form,university,try,doomsday,little,energy,survive,shape,use,pillar,yield,search,world,describe,iridium,deep,end,time,"76,000",mph,begin,sediment,prevail,hit,force,cause,fall,far,cloud,block,sun,nearly,along,term,negative,positive,soon,geological,ocean,may,object,generally,atmosphere,explode,damage,kill,speak,something
,16,16,12,11,8,7,6,6,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
