PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"August 11, 2012 Saturday",3 of 113 DOCUMENTS,Austin American-Statesman (Texas),LETTERS TO THE EDITOR,AUSTIN AMERICAN-STATESMAN,EDITORIAL; Pg. A12,,804 words,,,"August 12, 2012",ENGLISH,,,,,,Newspaper,Copyright 2012 The Austin American-Statesman                               All Rights Reserved
,tree,city,U.S.,bear,aug,consider,global,article,many,degree,citizen,Romney,Mexican,heritage,compromise,require,state,address,pay,change,make,statute,birth,official,save,Mitt_Romney,candidate,major,community,law,rental,ordinance,tax,parking,plan,council,implement,warming,warning,fuel,bring,time,move,power,austin,ted,cruz,despite,soil,naturalize,natural,jon,roland,former,water,plant,name,cost,developer,go,benefit,block,grant,fund,Latino,Mexico,Canada,Texas,Medicaid,root,presidential,struggle,figure,vote,seem,pass,opportunity,tout,father,family,play,role,establish,think,act,ashamed,insult,show,pride,marc,perkel.com,commentary,give,chance,list,hot,do,little,nothing
"August 1, 2012 Wednesday",9 of 113 DOCUMENTS,Austin American-Statesman (Texas),Report: Changing climate leads to more downpours,Asher Price asherprice@statesman.com American-Statesman Staff,METRO; Pg. B05,,348 words,,,"August 6, 2012",ENGLISH,,,,,,Newspaper,Copyright 2012 The Austin American-Statesman                               All Rights Reserved
,water,analysis,find,downpours,weather,increase,heavy,happen,report,station,warming,evaporation,atmosphere,mean,group,environment,release,rainstorm,state,accord,extreme,give,precipitation,storm,whether,try,link,climate,change,rate,moisture,global,pattern,less,temperature,Texas,texas,tuesday,increasingly,frequently,use,average,every,9.3,data,count,participation,answer,appear,complicated,analyst,identify,largest,total,period,1948,2011,define,word,around,different,result,panhandle,advocacy,shut,coal,plant,suggest,planet,turn,scientist,content,1.3,percent,per,decade,additional,load,provide,fuel,intense,snowstorm,draw,tricky,business,especially,make,claim,midst,dring,news,address,issue,actually,send,skyward,soil,crop,bleed
,5,4,4,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 6, 2012 Thursday",11 of 113 DOCUMENTS,Austin American-Statesman (Texas),Experts: State faces challenges,Laylan Copelin lcopelin@statesman.com American-Statesman Staff,BUSINESS; Pg. B07,,751 words,,,"September 8, 2012",ENGLISH,,,,,,Newspaper,Copyright 2012 The Austin American-Statesman                               All Rights Reserved
,Texas,economic,business,state,development,new,committee,health,make,tax,climate,percent,create,job,wednesday,education,well,program,address,subcommittee,grow,add,industry,workforce,high,company,although,leader,several,warn,incentive,problem,transportation,water,care,increase,competition,advantage,review,change,meeting,start,gov,past,chairman,among,work,behind,whether,different,agency,approach,think,testimony,national,decade,rank,today,school,degree,number,suggest,future,write,firm,Foster,Phillips,recruiting,relocate,official,assume,remain,envy,special,tell,witness,undercut,include,lawmaker,suppose,suggestion,legislature,conven,inaugural,late,lt,appointment,deadline,set,legislation,compress,schedule,retire,exxonmobile,executive,split,workload,four,already
,16,10,7,7,7,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 5, 2012 Sunday",13 of 113 DOCUMENTS,Austin American-Statesman (Texas),UNPLUGGED BEST OF STATESMAN.COM AND LOCAL-INTEREST BLOGS,STATESMAN.COM,INSIGHT; Pg. E02,,1596 words,,,"August 5, 2012",ENGLISH,,,,,,Newspaper,Copyright 2012 The Austin American-Statesman                               All Rights Reserved
,pay,­,people,happen,state,conservative,use,prompt,ball,dog,go,water,time,player,hit,lot,leader,republican,great,show,find,report,cost,review,take,outfield,way,owner,base,tax,fight,party,think,continue,keep,change,suggest,warming,increase,rate,atmosphere,write,baseball,pitch,sometimes,understand,properly,conviction,man,park,city,Texas,win,fail,victory,voter,proposal,back,real,government,likely,ted,cruz,election,already,game,better,make,try,know,grow,group,environment,texas,analysis,heavy,rainstorm,average,link,climate,evaporation,percent,per,global,claim,pattern,confirm,price,salud,book,care,bill,charge,able,choice,art,markman,experience,affect
,9,9,8,7,6,6,6,6,6,6,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"November 10, 2012 Saturday",14 of 113 DOCUMENTS,Austin American-Statesman (Texas),"World is classroom for National Geographic photographer, her kids",Nicole Villalpando nvillalpando@statesman.com American-Statesman Staff,LIFESTYLE; Pg. F01,,838 words,,,"November 10, 2012",ENGLISH,,,,,,Newspaper,Copyright 2012 The Austin American-Statesman                               All Rights Reserved
,child,work,woman,kid,live,Griffiths,take,son,look,time,world,talk,organization,photography,effect,magazine,give,make,go,family,trip,every,people,bag,girl,National_Geographic,job,along,photographer,monday,climate,change,call,photo,happen,baby,sitter,always,place,learn,favorite,culture,camel,know,around,hour,become,classroom,traveler,reach,another,travel,school,long,pack,lightly,camera,allow,program,aid,dollar,help,Bedouin,Ripple_Effect_Images,Jordan,kind,mother,everywhere,dream,wherever,bring,daughter,mean,village,kibbutz,community,1978,career,show,raise,awareness,nonprofit,found,highlight,global,poor,specifically,discover,age,minnesota,newspaper,hail,answer,send,publish,confidence,pitch,story,idea
,11,7,7,6,6,6,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 7, 2012 Friday",16 of 113 DOCUMENTS,Austin American-Statesman (Texas),LETTERS TO THE EDITOR,AUSTIN AMERICAN-STATESMAN,EDITORIAL; Pg. A18,,852 words,,,"December 9, 2012",ENGLISH,,,,,,Newspaper,Copyright 2012 The Austin American-Statesman                               All Rights Reserved
,vote,share,dec.,judge,letter,military,wish,Texas,electoral,need,change,article,put,discharge,exit,train,railroad,overpass,holiday,Fort_Hood,still,complain,regard,college,best,republican,hardly,delay,case,murder,beard,ago,care,show,action,climate,capacity,soil,runoff,rain,high,enough,drive,moisture,finally,happen,cost,enter,institution,people,leave,facility,service,housing,homelessness,city,track,request,build,austin,please,submission,Hasan,voting,race,approach,choose,allot,although,eliminate,desirable,constitution,difficult,amend,instead,state,power,improve,situation,solution,distribute,proportionally,base,popular,follower,win,voter,favor,candidate,motivate,futile,endeavor,neither,side,incentive,legislature,may,feel,inclined
,8,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 11, 2012 Wednesday",17 of 113 DOCUMENTS,Austin American-Statesman (Texas),LETTERS TO THE EDITOR,AUSTIN AMERICAN-STATESMAN,EDITORIAL; Pg. A08,,790 words,,,"April 15, 2012",ENGLISH,,,,,,Newspaper,Copyright 2012 The Austin American-Statesman                               All Rights Reserved
,gas,water,oil,school,scientism,mayor,make,fresh,saltwater,science,climate,age,senior,population,people,contact,surface,budget,cut,future,bus,fact,address,story,many,state,plan,time,nation,work,effort,rights,march,groundwater,landowner,own,land,owner,subsurface,top,without,loss,recent,public,believe,invest,education,student,mean,wait,post,replace,smartphone,certain,high,price,austin.rr.com,conservative,distrust,rise,warming,validation,change,Austin,Task_Force,Texas,Scientism,sunday,feature,austin,unprepare,wave,poor,powerful,timely,concern,highlight,foremost,mind,week,ago,announce,create,note,area,grow,aged,have,personal,commitment,raise,"50,000",fund,important,task,force,collaborative,citywide,produce
,7,6,6,6,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 29, 2012 Sunday",18 of 113 DOCUMENTS,Austin American-Statesman (Texas),Natural gas dips as rates head up,Marty Toohey mtoohey@statesman.com American-Statesman Staff,MAIN; Pg. A01,,1930 words,,,"May 4, 2012",ENGLISH,,,,,,Newspaper,Copyright 2012 The Austin American-Statesman                               All Rights Reserved
,gas,natural,price,Austin_Energy,utility,hedge,energy,city,customer,plan,electricity,frack,coal,plant,Austin,rate,benefit,market,make,long_term,Wyatt,question,much,low,bet,approach,wind,solar,spike,supply,debate,source,protect,homeowner,cost,effect,bill,increase,program,group,ago,renewable,past,drop,go,new,philosophy,practice,start,shape,way,nuclear,power,rely,cheap,whether,policy,chairman,happen,supplier,fuel,use,think,lock,contract,actually,spot,insurance,pay,continue,main,still,propose,time,less,include,investment,stay,three,remain,climate,regulation,per,million,City_Council,Texas,Schmandt,public,forum,gather,result,form,call,reason,essentially,tycoon,texas,early,diversify
,35,24,21,21,20,17,11,10,9,9,8,7,7,7,7,6,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2
"July 19, 2012 Thursday",21 of 113 DOCUMENTS,Austin American-Statesman (Texas),Wood waste plant to add to electric bills,Marty Toohey mtoohey@statesman.com American-Statesman Staff,MAIN; Pg. A01,,872 words,,,"July 22, 2012",ENGLISH,,,,,,Newspaper,Copyright 2012 The Austin American-Statesman                               All Rights Reserved
,plant,Austin_Energy,carbon,deal,power,city,cent,per,kilowatt_hour,energy,wind,release,price,well,2008,contract,Osborne,fuel,wood,waste,source,add,biomass,make,environmental,activist,way,general,manager,run,time,cost,current,still,burn,ceremony,official,life,wednesday,ago,electricity,go,average,home,100,accord,estimate,utility,sign,part,invest,renewable,seem,attractive,happen,business,benefit,coalition,austin,place,megawatt,limit,produce,secure,little,around,natural,gas,probably,pay,relatively,today,legislation,though,atmosphere,tree,biosphere,goal,open_government,Weis,small,amid,tall,pine,handful,watch,unpopular,investment,history,rumble,hold,open,briefly,online,week,privately,own,sell,billion
,13,10,9,8,6,6,6,6,6,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 15, 2012 Thursday",22 of 113 DOCUMENTS,Austin American-Statesman (Texas),Change came too slowly at Texas,Cedric Golden American-Statesman Staff,SPORTS; Pg. C01,,916 words,,,"November 18, 2012",ENGLISH,,,,,,Newspaper,Copyright 2012 The Austin American-Statesman                               All Rights Reserved
,black,Royal,Texas,coach,football,Campbell,player,time,change,recruit,go,week,college,play,part,old,hear,make,last,tell,university,career,recruiting,game,team,high,include,national,school,Oklahoma,South,Leaks,three,ago,small,texas,take,another,never,respected,late,royal,title,discussion,watch,other,always,1960,1970,become,climate,many,head,figure,sooner,live,room,later,championship,signing,legend,give,deserve,political,reason,leak,statue,University,Darrell,Houston,SMU,Roosevelt_Leaks,custom,cold,beer,festivity,sit,winner,famously,visit,east,farm,nearly,convince,best,place,son,flow,conversation,backseat,enjoy,company,alzheimer,rob,memory,share,admiration,remain,joke
,16,16,13,11,9,7,6,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 3, 2012 Friday",24 of 113 DOCUMENTS,Austin American-Statesman (Texas),Council eyes coal plant sale,Marty Toohey mtoohey@statesman.com American-Statesman Staff,MAIN; Pg. A01,,702 words,,,"August 5, 2012",ENGLISH,,,,,,Newspaper,Copyright 2012 The Austin American-Statesman                               All Rights Reserved
,sell,city,plant,Austin,Fayette,decision,council,utility,power,coal,plan,referendum,Leffingwell,take,thursday,share,electricity,voter,change,activist,member,Austin_Energy,decide,portion,charter,environmental,push,cheap,source,requirement,require,electric,make,major,add,financially,buy,continue,group,fight,increase,state,think,lawmaker,tie,sometimes,expensive,deal,Borgelt,Legislature,step,toward,provide,third,preliminary,confirm,week,ask,november,may,bar,property,allow,put,proposal,ballot,point,future,divorce,emit,carbon,atmosphere,car,combine,help,carry,ambitious,curb,contribution,global,climate,staff,expect,present,fall,shut,clear,much,cost,highly,controversial,hotly,contest,polarize,still,debate,among,meet,similar
,11,11,10,9,8,7,6,6,5,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 12, 2012 Monday",26 of 113 DOCUMENTS,Austin American-Statesman (Texas),LETTERS TO THE EDITOR,AUSTIN AMERICAN-STATESMAN,EDITORIAL; Pg. A10,,1010 words,,,"November 19, 2012",ENGLISH,"November 14, 2012",Shudde Fath's name was misspelled in a letter to the editor Monday.,,,,Newspaper,Copyright 2012 The Austin American-Statesman                               All Rights Reserved
,election,voting,nov,play,voter,state,have,woman,fun,storm,spend,citizen,think,rights,plenty,hour,build,man,president,way,change,pain,multiple,band,warming,right,Obama,America,article,divide,win,vote,super,give,power,people,must,inform,fight,back,need,always,future,federal,law,require,location,photo,id,without,driver,charge,great,life,family,wealth,learn,lesson,second,term,take,republican,yet,live,near,drum,time,aol.com,use,data,major,letter,author,death,American,fail,obama,triumph,nation,make,mittstake,proof,still,sale,behemoth,billion,vigorously,protest,campaign,foolishly,allow,creation,pac,status,deploy,distort,sound,bite,influence
,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 14, 2012 Wednesday",27 of 113 DOCUMENTS,Austin American-Statesman (Texas),Water is weighty subject of SXSW film,Farzad Mashhood fmashhood@statesman.com AMERICAN-STATESMAN STAFF,METRO; Pg. B01,,431 words,,,"March 17, 2012",ENGLISH,,,,,,Newspaper,Copyright 2012 The Austin American-Statesman                               All Rights Reserved
,water,Famiglietti,change,research,groundwater,use,satellite,gravity,film,quality,much,Earth,researcher,huge,point,last,call,thursday,issue,quantity,primarily,important,planet,world,people,quickly,problem,human,show,University,Oasis,Pearlstein,ago,colleague,ask,help,remove,static,image,ut,geophysicist,work,international,program,include,find,useful,turn,cause,fresh,something,famiglietti,professor,ever,central,documentary,screen,morning,afternoon,look,personal,story,scientific,producer,particularly,explain,heavy,move,affect,underground,aquifer,semiarid,middle,latitudes,empty,time,pick,weight,part,run,course,go,season,track,example,area,annual,low,availability,drop,depletion,grow,food,need,unable,determine,still,unanswer,question
,9,6,5,5,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 3, 2012 Friday",29 of 113 DOCUMENTS,Austin American-Statesman (Texas),'C' in science not enough for our kids,AUSTIN AMERICAN-STATESMAN,EDITORIAL; Pg. A10,,823 words,,,"February 5, 2012",ENGLISH,,,,,,Newspaper,Copyright 2012 The Austin American-Statesman                               All Rights Reserved
,standard,Texas,science,board,state,curriculum,student,much,fordham,institute,evaluator,school,better,know,read,include,often,grade,change,many,evolution,variation,subject,make,handle,high,McLeroy,little,rating,researcher,give,consider,least,think,tank,report,business,area,question,population,species,trait,gradual,generation,nothing,might,member,topic,chairman,panel,expert,biology,write,course,seat,compete,ponder,education,almost,impossible,hum,sam,cooke,history,late,singer,hit,go,book,french,take,b.,c.,incredibly,bit,mediocre,news,good,suffer,blistering,social,evaluate,last,repeat,for,2005,d.c.,dedicated,raising,country,educational,lean,conservative,pride,independence,recommend,recruiter,policy,wonk
,11,10,9,8,7,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 11, 2012 Sunday",31 of 113 DOCUMENTS,Austin American-Statesman (Texas),All hail the mighty Stampede: Open science gets big new ally,Kirk Ladendorf kladendorf@statesman.com American-Statesman Staff,BUSINESS; Pg. G01,,1301 words,,,"November 11, 2012",ENGLISH,,,,,,Newspaper,Copyright 2012 The Austin American-Statesman                               All Rights Reserved
,new,computer,machine,science,use,expect,work,research,Intel,team,Stampede,TACC,Boisseau,system,project,complex,part,researcher,problem,Dell,call,stampede,powerful,big,software,performance,give,many,Texas,National_Science_Foundation,Ghattas,server,away,cool,operating,keep,supercomputing,world,fund,four,time,scientist,earth,help,scientific,simulation,compute,everything,way,thing,process,core,need,well,card,small,University,high_performance,room,full,"6,000",tight,cost,million,move,formal,devote,award,supply,program,make,offer,detail,deliver,peak,end,career,wait,study,create,model,percent,allocate,global,climate,massive,similar,find,insight,cell,enable,kind,technology,allow,effectively,training,much,quickly,better
,21,19,14,11,11,9,9,9,9,8,8,8,8,7,7,6,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"October 20, 2012 Saturday",34 of 113 DOCUMENTS,Austin American-Statesman (Texas),6 vie for 3 council spots,Ciara O'Rourke corourke@statesman.com American-Statesman Staff,METRO; Pg. B01,,777 words,,,"October 21, 2012",ENGLISH,,,,,,Newspaper,Copyright 2012 The Austin American-Statesman                               All Rights Reserved
,city,council,development,zone,neighborhood,whether,member,student,three,incumbent,housing,plan,try,proposition,acquire,San_Marcos,change,need,support,parkland,commission,growth,resident,ask,single_family,election,debate,allow,last,vote,issue,interest,continue,ballot,people,next,run,candidate,go,east,interstate,multifamily,real,estate,serve,university,grow,shane,scott,park,mayor,education,prentice,nonbind,riverfront,voter,acre,use,eminent,domain,raise,property,tax,place,City_Council,high_density,write_in,Thomason,Scott,Daniel_Guerrero,contentious,meeting,draw,challenger,seat,shape,effort,protect,community,predominantly,developer,spark,action,protest,expansion,proposal,appear,november,lot,become,kind,apathetic,put,status,quo,large,begin,pop,never
,11,7,6,6,5,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 6, 2012 Friday",40 of 113 DOCUMENTS,Austin American-Statesman (Texas),LETTERS TO THE EDITOR,AUSTIN AMERICAN-STATESMAN,EDITORIAL; Pg. A08,,884 words,,,"July 8, 2012",ENGLISH,,,,,,Newspaper,Copyright 2012 The Austin American-Statesman                               All Rights Reserved
,state,gas,limit,pollution,Austin,protect,global,health,plant,soot,go,price,EPA,june,carbon,fuel,try,job,rights,group,people,coal,focus,make,austin,decision,Louisiana,article,dangerous,largest,source,polluter,`,dirty,air,new,power,enough,work,police,complaint,obviously,still,question,actually,attack,image,place,independent,think,begin,care,time,interstate,way,political,right,yet,Environmental_Protection_Agency,Congress,Texans,Texas,Fayette_County,Mideast,upheld,court,speak,favor,limiting,warming,better,news,set,ally,obstruct,progress,rule,pa,unambiguously,correct,determination,require,emission,science,undeniable,climate,change,lead,threaten,thankfully,develop,summer,car,light,truck,stop,environment,texas,applaud
,6,5,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
