PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"February 13, 2010 Saturday",1 of 65 DOCUMENTS,The Tampa Tribune (Florida),Rubio questions climate change,"WILLIAM MARCH, wmarch@tampatrib.com",LOCAL NEWS; Pg. 7,,562 words,,,"March 2, 2010",ENGLISH,,,,,,Newspaper,Copyright 2010 Times Publishing Company
,Rubio,plan,change,issue,climate,evidence,global,Crist,cap_and_trade,scientific,warming,state,legislation,House,campaign,crist,position,justify,whether,always,scientist,criticize,gov,stance,march,tampatrib.com,friday,accept,deny,emission,interview,static,make,back,2008,attempt,energy,rubio,man_made,reject,finding,wmarch,candidate,hint,charlie,switch,general,specifically,limit,carbon,nomination,tribune,subject,call,believer,think,ask,undergo,respond,never,question,cause,activity,economically,destructive,government,regulation,previously,outright,publish,statement,december,tell,qualified,decision,significant,dispute,use,paraphrase,direct,quote,prepare,challenge,camp,accuse,lead,pass,mandate,manager,flavor,appeal,right,wing,2007,speech,opportunity,pursue,bold,policy
"September 12, 2010 Sunday",16 of 65 DOCUMENTS,The Tampa Tribune (Florida),MANEUVERING THE RENTAL CAR MAZE,"TED JACKOVICS, tjackovics@tampatrib.com",BUSINESS; Pg. 1,,951 words,,,"September 17, 2010",ENGLISH,,,,,,Newspaper,Copyright 2010 Times Publishing Company
,car,rental,fee,airport,reservation,location,charge,company,example,rate,tax,rent,pick,traveler,check,drop_off,make,travel,customer,change,sure,time,a.m.,compare,downtown,use,leisure,hotel,book,trip,hour,drop,economy,show,city,site,return,photo,one_way,Thrifty,fine,print,agreement,jackovics,tampatrib.com,add,period,although,business,industry,airlines,staff,result,survey,recently,arrange,require,online,policy,credit,specialty,impose,however,flight,information,rather,cost,frequently,additional,base,total,price,different,fly,pay,internet,might,early,driver,record,office,may,off_airport,Travelocity,off_site,non_airport,Hertz,renter,face,load,tjackovics,pleasure,straightforward,model,determine,whether,insurance,fill,tank
,31,20,13,10,9,9,8,6,6,6,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1
"September 27, 2010 Monday",17 of 65 DOCUMENTS,The Tampa Tribune (Florida),"Unused to failing, Tampa school aims for better","COURTNEY CAIRNS PASTOR, cpastor@tampatrib.com",LOCAL NEWS; Pg. 1,,852 words,,,"October 6, 2010",ENGLISH,,,,,,Newspaper,Copyright 2010 Times Publishing Company
,school,student,grade,Fonteyne,teacher,district,for,take,Miles_Elementary,staff,problem,change,make,new,program,child,percent,Miles,back,meet,class,everyone,use,principal,talk,teach,help,level,Hancock,pastor,tampatrib.com,start,summer,state,instead,hope,fail,read,math,thing,poverty,eye,director,train,high,leave,improve,score,may,every,administrator,need,confident,well,behave,better,clear,expectation,tell,scale,list,earn,last,try,bounce,cpastor,write,giant,chart,hear,bad,news,four,hill,borough,county,gloss,damage,morale,either,spark,discussion,fix,true,call,retire,february,arrive,shortly,portion,basis,immediately,spot,control,method,environment,home,people,optimistic
,24,13,12,8,7,6,5,5,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 24, 2010 Sunday",18 of 65 DOCUMENTS,The Tampa Tribune (Florida),Pension plan costs wallop city's budget,"CHRISTIAN M. WADE, cwade@tampatrib.com",METRO; Pg. 1,,1190 words,,,"November 8, 2010",ENGLISH,,,,,,Newspaper,Copyright 2010 Times Publishing Company
,city,pension,contribution,employee,plan,cost,million,police,rise,fund,system,benefit,fire,change,Tampa,investment,cut,market,budget,take,wage,require,level,look,government,Iorio,official,tampatrib.com,next,general,cover,mayor,reform,rebound,number,salary,define,reduce,go,pay,percent,local,increase,Anderson,401,cwade,rate,payroll,obligation,ago,taxpayer,contribute,1.5,project,state,keep,away,force,service,pam,iorio,raise,fiscal,think,council,department,unless,stock,replace,guarantee,base,new,might,share,switch,try,decade,face,annual,economic,without,labor,union,issue,worker,package,firefighter,Campbell,Lehrer,suggest,alarming,shed,hundred,job,spend,meet,four,figure,surpass
,36,24,15,15,14,12,9,8,7,7,7,7,6,6,6,5,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1
"November 20, 2010 Saturday",19 of 65 DOCUMENTS,The Tampa Tribune (Florida),"High school club's website is of, by and for the young people","MEGAN HUSSEY, Tribune correspondent",PASCO; Pg. 1,,772 words,,,"December 17, 2010",ENGLISH,,,,,,Newspaper,Copyright 2010 Times Publishing Company
,people,website,relationship,site,make,member,help,video,message,peace,healthy,create,prevention,spread,idea,need,take,issue,YCAT,young,picture,kid,club,violence,center,among,student,social,promote,better,place,group,give,thing,page,color,learn,respect,knowledge,aim,awareness,team,active,part,primary,education,change,gender,equality,news,development,grant,topic,understanding,without,judge,world,really,voice,information,offer,enable,problem,may,10th,grader,mean,bad,action,agree,PARK,Sunrise,Know_Your_Peace,correspondent,www.knowyourpeace.org,vivid,compelling,graphic,word,stand,acceptance,project,base,coordinate,sunrise,inc.,domestic,sexual,assault,foster,climate,school,increase,engage,become,leader,community,piece,read
,10,10,6,6,6,5,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 7, 2010 Thursday",20 of 65 DOCUMENTS,The Tampa Tribune (Florida),LETTERS,,LOCAL NEWS; Pg. 15,,587 words,,,"January 28, 2010",ENGLISH,,,,,,Newspaper,Copyright 2010 Times Publishing Company
,public,prayer,freedom,bowl,experience,religion,word,belief,global,outback,city,Outback_Bowl,snail,mail,chicanery,corporation,online,save,we,citizenry,tampa,eliminate,free,exercise,forum,guest,invite,invocation,meeting,speech,opportunity,unexpected,winter,warming,athletics,make,2010,better,week,Auburn_University,Tampa,first_class,trial,balloon,float,require,customer,pony,additional,fee,interact,pop,bear,whining,populace,stamp,pay,bill,actual,agenda,aggravation,expense,postage,cost,reality,poorest,usual,penalize,form,shoddiness,sort,allow,thrive,postal,service,receive,torero,stiletto,ultimately,witness,final,fatal,injury,gather,daily,queue,respective,p.o,box,wonder,wood,reference,article,group,council,dec.,objection,communion,give
,6,4,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 7, 2010 Sunday",22 of 65 DOCUMENTS,The Tampa Tribune (Florida),Tame the terrors of potato salad,Greg + Michelle Baker,GETAWAY; Pg. 3,,468 words,,,"March 30, 2010",ENGLISH,,,,,,Newspaper,Copyright 2010 Times Publishing Company
,potatoe,salad,potato,leave,spinach,lemon,bacon,cool,time,enough,shallot,oil,salt,place,whole,allow,bowl,sherpas,let,egg,mustard,often,claim,possible,mayo,celery,small,may,pattern,soon,zest,juice,tablespoon,olive,remove,pepper,medium,heat,cook,cooking,handle,combine,add,dress,still,warm,cut,serve,prize_winning,Dijon,michelle,baker,culinary,word,evoke,sheer,terror,people,face,side,dish,pretty,awful,undercook,break,tooth,amazing,lack,seasoning,shell,extreme,abuse,uncommon,classic,worst,offense,present,greatness,grandmother,secret,recipe,hear,generally,wise,stay,far,away,bad,drow,contain,feed,country,answer,cold,snap,wonky,climate,find,primo
,8,6,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 12, 2010 Friday",23 of 65 DOCUMENTS,The Tampa Tribune (Florida),"'Historic opportunity' for Glades, South Florida","MANLEY FULLER, Special To The Tampa Tribune",LOCAL NEWS; Pg. 19,,364 words,,,"March 26, 2010",ENGLISH,,,,,,Newspaper,Copyright 2010 Times Publishing Company
,land,water,everglade,sugar,purchase,south,need,project,additional,state,large,flow,critical,restoration,agricultural,area,clean,future,South_Florida,Lake_Okeechobee,U.S.,Florida_Wildlife_Federation,tribune,quality,supply,profoundly,positively,affect,take,long,view,critic,offer,viable,alternative,earlier,plan,work,around,exist,never,available,scale,gov,charlie,crist,vision,recognize,property,adequately,treat,redirect,rather,continue,degrade,east,river,estuary,governor,team,sensibly,downsize,difficult,economic,time,option,resource,sufficient,utilize,portion,trade,grower,acquire,parcel,treatment,storage,question,raise,cost,consider,owner,recently,push,gigantic,new,rock,mine,inland,port,etc.,approve,significantly,change,price,fish,wildlife,habitat,supplies,million
,8,6,5,5,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 26, 2010 Monday",25 of 65 DOCUMENTS,The Tampa Tribune (Florida),Wisconsin team wins Ocean Sciences Bowl,"JOSÉ PATIÑO GIRONA, jpatino@tampatrib.com",LOCAL NEWS; Pg. 5,,300 words,,,"May 20, 2010",ENGLISH,,,,,,Newspaper,Copyright 2010 Times Publishing Company
,student,ocean,event,school,science,high,photo,st,petersburg,host,tampatrib.com,bowl,take,title,competition,team,represent,organization,research,education,University,South_Florida,jpatino,across,country,area,weekend,test,knowledge,organisms,atmospheric,underwater,geology,13th,annual,national,defend,champion,sunday,beat,compete,university,college,gear,toward,educate,teacher,impact,climate,weather,economics,begin,friday,part,activity,participant,125,regional,home,state,gulf,coast,sponsor,consortium,nonprofit,institution,whose,mission,advance,policy,reporter,josé,patiño,girona,reach,813,c.,mundy,marshfield,leave,participate,final,round,best,other,allow,retain,championship,copyright,©,2010,may,republish,without,permission,library,JOSÉ,PATIÑO,GIRONA
,5,5,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 16, 2010 Wednesday",26 of 65 DOCUMENTS,The Tampa Tribune (Florida),La Niña may intensify storm season,"NEIL JOHNSON, njohnson@tampatrib.com",LOCAL NEWS; Pg. 4,,343 words,,,"July 9, 2010",ENGLISH,,,,,,Newspaper,Copyright 2010 Times Publishing Company
