PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"March 30, 2008 Sunday",2 of 140 DOCUMENTS,The Tampa Tribune (Florida),Lawmakers Can't Hide From Climate Change,PAM MCVETY And ELLIE WHITNEY,COMMENTARY; Pg. 3,,720 words,,,"April 9, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 Times Publishing Company
,climate,change,reduction,emission,science,mandate,greenhouse_gas,legislator,governor,scientist,last,real,issue,let,mcvety,many,lead,threaten,stake,threat,serious,scientific,report,ice,sea,may,quickly,respond,billion,site,facility,goal,percent,2050,face,reason,understand,hope,know,really,think,world,help,write,Arctic,whitney,refuse,follow,curb,keep,voluntary,huge,gamble,family,community,enormous,matter,politics,group,"2,000",meteorologist,oceanographer,physicist,highly,qualified,review,literature,decade,november,plain,declare,largely,major,organization,whose,member,expertise,bear,directly,statement,effect,recent,papers,sheet,melting,faster,predict,summer,go,within,mit,state,grow,next,policy,technological,advance,combat,cost
,18,10,8,6,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"October 5, 2008 Sunday",20 of 140 DOCUMENTS,The Tampa Tribune (Florida),Suburban Dictionary,The Tampa Tribune,BAYLIFE MAGAZINE; Pg. 21,,397 words,,,"October 8, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 Times Publishing Company
,season,change,Florida,p.m.,photo,pronounce,hot,learn,pretty,scary,go,2008,kid,de_friend,Scott,today,recessionista,woman,manage,dress,stylishly,budget,tightened,economic,slowdown,duh,remove,name,list,friend,social,networking,site,week,topic,lack,thereof,refuel,continue,mystery,science,theater,3000,florida,enrico,ratso,rizzo,midnight,cowboy,move,climate,good,idea,mean,live,hear,question,tina,yahoo,answer,northerner,always,wound,involve,jumper,cable,humorist,sail,away,long,word,time,several,must,handle,besides,rainy,fire,tornado,hurricane,feel,constantly,fear,little,break,blog,www.dackelprincess.com,thing,general,public,hour,a.m.,saturday,sundays,last,ticket,sell,highly,recommend
,12,6,4,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 9, 2008 Sunday",21 of 140 DOCUMENTS,The Tampa Tribune (Florida),Energy Debate Weighs Clean Versus Costly,"RUSSELL RAY, rray@tampatrib.com",BUSINESS; Pg. 1,,1309 words,,,"November 12, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 Times Publishing Company
,renewable,power,energy,cost,Florida,utility,percent,state,electricity,consumer,resource,source,standard,much,electric,plan,customer,study,proposal,use,generate,wind,expensive,group,alternative,fuel,progress,2020,2041,staff,commission,solar,hard,establish,next,fast,move,goal,grow,unreasonable,market,environmental,issue,without,bill,gas,create,time,require,recommend,develop,mandate,job,turbine,photo,Tampa_Electric,may,ray,tampatrib.com,florida,regulator,debate,decide,produce,slow,nuclear,natural,level,pay,factor,advocate,know,available,rise,clean,cleaner,go,coal,development,greenhouse,can,substantially,far,aggressive,action,business,adopt,cap,annual,revenue,base,potential,tell,recommendation,executive,determine,make,spend,argue
,29,19,19,13,13,12,10,9,9,8,7,7,6,6,6,6,6,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"February 16, 2008 Saturday",22 of 140 DOCUMENTS,The Tampa Tribune (Florida),Workshop Offers Painting Tips That Will Help Hue,"LAURA FRAZIER, The Tampa Tribune",BRANDON; Pg. 8,,734 words,,,"February 29, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 Times Publishing Company
,color,paint,decorate,free,room,Valrico,pick,design,business,decorator,finish,technique,home,new,event,great,idea,wall,offer,2008,*,FishHawk_Ranch,Fine_Designs,demonstration,workshop,line,opportunity,show,use,check,painting,help,work,child,really,fine,décor,consultation,sample,shade,bring,owner,together,trend,nature,palette,green,warm,blue,hue,tampatrib.com,photo,LAURA,Tampa_Tribune,Palmetto_Club,Benjamin_Moore,Travis,Susan_Zagal,Joffrey,Ploor,Global_Artisan,present,faux,discuss,frazier,delighted,valuable,advice,clinic,sponsor,feb,interior,center,primarily,introduce,aura,series,own,consulting,mother,local,homeowner,feather,nest,style,drop,specialize,creative,custom,woman,helpful,send,away,apply,master,bedroom,unusual,fantastic,though
,11,8,6,5,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 19, 2008 Saturday",23 of 140 DOCUMENTS,The Tampa Tribune (Florida),Warm Up To Solar,"CHRISTOPHER O'DONNELL, Sarasota Herald-Tribune",BAYLIFE AT HOME; Pg. 1,,986 words,,,"January 31, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 Times Publishing Company
,solar,home,system,power,panel,much,kilowatt,hour,incentive,kwh,Fred,go,new,may,put,take,credit,company,buy,utility,source,customer,light,per,couple,electricity,still,look,roof,money,electric,install,cost,excess,interconnect,price,use,item,teco,bulb,Florida_Power,find,way,1913,effect,global,have,little,leave,vintage,able,best,bill,provide,sun,around,expect,pay,federal,generating,short,winter,number,design,generate,time,sell,back,program,allow,grid,percent,rule,energy,run,penny,813,tampatrib.com,chart,learn,link,every,load,turn,house,photo,Herald_Tribune,TECO,energy_efficient,fit,historical,goal,approach,o',donnell,sarasota,wraparound,porch,lead
,12,9,9,9,7,6,6,6,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1
"April 13, 2008 Sunday",25 of 140 DOCUMENTS,The Tampa Tribune (Florida),Everything Came Up Green In The Sun Dome,"MIKE WELLS, The Tampa Tribune",METRO; Pg. 4,,508 words,,,"April 26, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 Times Publishing Company
,USF,leader,go,product,design,sustainable,urban,project,school,need,photo,well,community,environment,sun,dome,saturday,nearly,100,provider,service,event,advocate,core,visitor,energy,building,include,phyllis,look,president,sign,aim,sustainability,present,without,future,environmental,student,interest,tampatrib.com,Tampa_Tribune,University,eco_friendly,Urban_Charrette,item,partnership,concerned,blossomed,showcase,resident,owner,brainchild,nonprofit,organization,local,professional,give,idea,renewable,efficiency,green,workshop,information,bicycling,biodiesel,fuel,water,conservation,intern,architect,firm,expo,always,way,add,something,interested,topic,general,offer,judy,genshaft,address,issue,participate,try,reduce,greenhouse,gas,emission,integrate,curriculum,far,500,field,practice,meeting,compromise
,5,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 29, 2008 Saturday",30 of 140 DOCUMENTS,The Tampa Tribune (Florida),Stiffer Emission Rules Proposed,"LINDSAY PETERSON, lpeterson@tampatrib.com",LOCAL NEWS; Pg. 11,,659 words,,,"December 1, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 Times Publishing Company
,standard,Florida,state,emission,rule,California,adopt,gas,car,greenhouse,vehicle,make,federal,industry,truck,commission,vote,lobbyist,increase,efficiency,administration,Draper,proposal,tampatrib.com,official,next,argue,light,effort,meeting,october,three,lean,change,measure,allow,statewide,meet,level,percent,lower,many,price,fuel,type,limit,important,risk,effect,global,warming,new,expect,without,fed,Bush,auto,oppose,governor,strict,lpeterson,return,week,tough,major,test,gov,charlie,crist,multipronge,cut,across,plan,delay,gather,information,pressure,seven,commissioner,toward,undecided,pass,tuesday,approve,legislature,sale,designate,carbon,dioxide,current,although,other,include,already,certain,model,hard,find,department
,10,9,8,7,7,6,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 19, 2008 Saturday",34 of 140 DOCUMENTS,The Tampa Tribune (Florida),"Here's A NASA Control Panel - Wait, It's Your Dashboard","RICH SHOPES, The Tampa Tribune",NATION/WORLD; Pg. 1,,1037 words,,,"January 31, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 Times Publishing Company
,car,technology,after_market,system,option,screen,music,radio,phone,control,computer,gadget,player,allow,consumer,start,company,need,last,use,navigational,touch,temperature,button,automaker,sale,video,billion,change,might,stream,always,product,wireless,function,include,photo,Bluetooth,voice_activated,GPS,make,load,mostly,feature,long,life,bell,whistle,manufacturer,home,office,concierge,service,wheel,volume,help,docking,station,market,expect,vehicle,association,industry,we,motorist,passenger,drive,dashboard,today,internet,speed,driver,software,really,enable,connect,ford,people,world,introduce,auto,new,trend,everybody,take,live,room,many,window,channel,adjuster,voice,tribune,tampatrib.com,Tampa_Tribune,Ginex,DVD,In_vehicle,On_Star
,15,10,9,7,6,6,6,5,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"March 12, 2008 Wednesday",38 of 140 DOCUMENTS,The Tampa Tribune (Florida),A Play For Power,"KEVIN WIATROWSKI, The Tampa Tribune",PASCO; Pg. 1,,503 words,,,"March 31, 2008",ENGLISH,"March 14, 2008",Progress Energy would spend $1 billion on a proposed nuclear power plant in Levy County. A story in Wednesday's edition of The Pasco Tribune misstated the amount.,,,,Newspaper,Copyright 2008 Times Publishing Company
,transmission,line,energy,plan,company,power,plant,progress,new,need,route,nuclear,photo,Simpson,official,mile,state,Levy_County,reveal,possible,list,run,north,meeting,home,decade,corridor,less,space,exist,generate,ask,review,electricity,tampatrib.com,credit,tribune,development,high_power,Pasco_County,ANDY,JONES_Photo,summer,location,western,tuesday,presentation,spokeswoman,june,200,build,2012,2016,parallel,road,other,west,south,discuss,public,today,thursday,6121,massachusett,ave.,start,p.m.,information,available,web,site,energyplanning,growth,population,size,demand,recent,study,wide,significantly,right,way,typically,250,500,foot,share,carry,propose,week,triple,estimate,cost,billion,investment,president,reduce,use,coal
,10,10,7,7,7,7,7,6,6,6,5,5,5,5,4,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 30, 2008 Wednesday",39 of 140 DOCUMENTS,The Tampa Tribune (Florida),Trade Mission Strengthens State,CHARLIE CRIST,NATION/WORLD; Pg. 11,,441 words,,,"August 6, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 Times Publishing Company
,trade,international,Florida,state,economy,billion,crist,business,relationship,partner,opportunity,job,export,increase,mission,begin,build,lead,strengthen,economic,nation,foreign,company,floridian,percent,sale,anticipate,time,largest,million,charlie,Brazil,United_States,every,great,deal,good,potential,discover,strong,suit,asset,consider,new,possibility,mutually,beneficial,venture,way,travel,important,focus,develop,aerospace,aviation,renewable,alternative,energy,address,effect,climate,change,four,among,top,investor,together,700,provide,"60,000",pump,strategic,trading,bilateral,7.8,1.7,grow,fact,2007,58.9,almost,quarter,goal,purpose,make,immediate,create,investment,promote,goods,service,market,learn,leader,benefit,home,tangible,return,dollar
,9,7,6,5,5,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 30, 2008 Thursday",42 of 140 DOCUMENTS,The Tampa Tribune (Florida),Gulf's Reefs Get More Federal Protection,"CHRISTIAN M. WADE, cwade@tampatrib.com",LOCAL NEWS; Pg. 8,,272 words,,,"November 1, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 Times Publishing Company
,coral,activity,reef,threaten,new,regulation,Caribbean,commercial,involve,ban,tampatrib.com,federal,prohibit,elkhorn,staghorn,species,human,may,Florida,cwade,regulator,expand,protection,type,gulf,extinction,include,collection,import,export,anchor,drag,gear,discharging,pollutant,contaminant,harm,roy,crabtree,regional,administrator,fishery,service,rule,help,recovery,address,threat,major,builder,percent,population,lose,survival,affect,entire,ecosystem,scientific,research,restoration,carry,permit,authorize,state,environmental,agency,mainstay,nearly,half,million,decimate,global,climate,change,delicate,suffer,significant,loss,list,2006,take,effect,nov,reporter,christian,m.,wade,reach,813,copyright,©,2008,republish,without,permission,library,CHRISTIAN_M.,WADE,TAMPA
,7,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 20, 2008 Sunday",44 of 140 DOCUMENTS,The Tampa Tribune (Florida),McCain's Time To Shine,,COMMENTARY; Pg. 1,,1755 words,,,"February 2, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 Times Publishing Company
,issue,think,people,we,have,spend,believe,cut,campaign,know,tax,talk,government,thing,photo,increase,money,way,many,make,around,country,take,live,tell,proposal,border,process,look,interest,policy,Congress,senator,move,member,war,immigration,experience,struggle,ago,every,national,need,stop,pay,biggest,lead,federal,secure,address,million,illegally,law,state,officer,strategy,change,credit,better,McCain,presidential,sen,2008,primary,board,interview,well,enemy,election,trust,confidence,face,go,right,involved,security,last,time,town,hall,meeting,republican,corruption,continue,may,ever,close,leader,real,politic,remain,democracy,position,extend,today,part,party,reform,describe
,14,14,13,10,10,9,9,9,7,7,7,6,6,6,6,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"February 24, 2008 Sunday",46 of 140 DOCUMENTS,The Tampa Tribune (Florida),Immigrants: Promises Broken,"KAREN BRANCH-BRIOSO, The Tampa Tribune",NATION/WORLD; Pg. 1,,2337 words,TAMPA,,"March 6, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 Times Publishing Company
,Pinto,work,immigrant,money,permit,Enrique,give,pay,"2,000",take,immigration,visa,tell,back,go,man,people,payment,ask,offer,tribune,name,help,receipt,"6,000",illegal,status,never,several,agree,lawyer,promise,process,check,refund,Guatemala,translation,public,live,office,ago,speak,make,friend,Tampa,Sandra,many,business,change,client,legalize,person,secure,call,meet,lose,home,know,good,restaurant,worker,three,unpaid,photo,fingerprint,Pittsburgh,Margarito,Ignacio,arrive,thing,need,defender,last,least,interview,intermediary,remember,time,hear,family,use,fear,country,brother,school,we,account,start,seek,cash,later,return,mention,send,professional,true,file,second,wife
,53,28,18,17,16,14,13,10,9,9,9,9,9,8,8,8,8,8,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"November 9, 2008 Sunday",50 of 140 DOCUMENTS,The Tampa Tribune (Florida),Between The Blue And The Reddish,"WILLIAM MARCH, wmarch@tampatrib.com",LOCAL NEWS; Pg. 1,,1013 words,,,"November 12, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 Times Publishing Company
,state,Obama,win,run,democrat,party,campaign,Florida,election,republican,national,political,crist,tuesday,governor,candidate,McCain,statewide,race,change,politics,remain,presidential,look,among,electoral,2010,future,show,point,result,good,lot,involved,likely,give,congressional,district,plan,money,Senate,re_election,Crist,march,tampatrib.com,past,charlie,many,supporter,mate,vote,may,senate,consider,prospect,victory,recent,2008,still,benefit,volunteer,people,go,new,voter,excited,life,however,much,legislative,seat,incumbent,current,without,redistricting,census,decide,raise,million,U.S.,Republican,Sink,GOP,MacManus,impact,exactly,unclear,wmarch,least,purple,reddish,decade,guarantee,resurgence,loss,ironically,reopen,scene,gov
,15,13,11,10,9,7,7,7,6,6,5,5,5,5,5,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
