PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"October 21, 2013 Monday",1 of 141 DOCUMENTS,The Tampa Tribune (Florida),Cold spell near? Geologist digs deeper on climate change,FRANK WILSON; The Philadelphia Inquirer,NATION & WORLD; Views; Pg. 15,,769 words,,,"October 21, 2013",ENGLISH,,,,,,Newspaper,Copyright 2013 Times Publishing Company                               All Rights Reserved
,period,cold,change,climate,report,global,temperature,well,last,long,Peters,increase,confidence,model,half,thing,trend,data,point,ice,make,much,place,book,call,peter,geologist,note,warm,end,Europe,panel,mean,warming,low,regard,dring,summary,accord,lack,knowledge,really,computer,evidence,planet,little,couple,million,bitter,brief,warmth,interval,begin,yard,quite,Climate,smercornish,column,front,forecast,seem,cloudiness,least,impression,rational,observer,latest,intergovernmental,true,declare,high,reproduce,general,feature,annual,surface,historical,include,second,20th,century,appear,remain,confident,chapter,express,sign,magnitude,and,or,frequency,flood,scale,observe,severe,weather,phenomena,hail,thunderstorm
"November 12, 2013 Tuesday",13 of 141 DOCUMENTS,The Tampa Tribune (Florida),"Nature, humans share blame for typhoon tragedy; Poor construction, growing populations, climate change all matter",The Associated Press,NATION & WORLD; NationWorld; Pg. 6,,559 words,WASHINGTON,,"November 12, 2013",ENGLISH,,,,,,Newspaper,Copyright 2013 Times Publishing Company                               All Rights Reserved
,storm,Haiyan,construction,population,factor,accord,tropical,percent,poverty,warming,typhoon,nature,disaster,meteorology,much,vulnerable,study,cyclone,mph,home,event,hit,world,geography,make,man,philippine,poor,climate,change,nation,island,satellite,base,land,strongest,end,strike,director,peak,strength,powerful,human,meteorologist,devastation,city,triple,scientist,global,U.S.,Philippines,storm_prone,Tacloban,bad,together,cook,boom,lesser,degree,combine,killer,several,scientific,mighty,slam,surge,story,high,highest,wind,ever,measure,195,clock,147,local,report,untold,number,blow,away,thousand,people,fear,dead,intense,susceptible,part,combination,professor,ingredient,miss,"7,000",sit,middle,region,biggest,vast,expanse
,7,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 7, 2013 Wednesday",14 of 141 DOCUMENTS,The Tampa Tribune (Florida),2012 among 10 hottest years on record; NOAA cites 'remarkable changes' in critical areas such as sea levels,McClatchy-Tribune,NATION & WORLD; NationWorld; Pg. 33,,465 words,WASHINGTON,,"September 25, 2013",ENGLISH,,,,,,Newspaper,Copyright 2013 Times Publishing Company                               All Rights Reserved
,temperature,report,ocean,NOAA,record,change,global,2012,planet,past,hottest,average,climate,ice,gas,level,heat,state,rise,sea,summer,emission,atmosphere,million,highest,annual,greenhouse,lead,researcher,higher,Arctic,Sullivan,last,accord,assessment,worldwide,trend,release,tuesday,paint,sobering,portrait,vast,swath,transform,reach,low,thaw,percent,sheet,melt,far,greater,continue,early,may,ratio,carbon,dioxide,surpass,400,part,per,daily,read,think,concentration,undersecretary,act,administrator,document,remarkable,critical,area,hope,help,business,community,farmer,government,gauge,vulnerability,better,prepare,many,plan,model,infrastructure,rely,future,statistically,lot,certainly,data,question,extreme,weather,event,frequent
,7,7,6,6,5,5,4,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 22, 2013 Sunday",17 of 141 DOCUMENTS,The Tampa Tribune (Florida),Historic hotels are out of time,JOSH BOATWRIGHT; Tribune staff,NATION & WORLD; Metro; Pg. 1,,2321 words,DUNEDIN,,"December 22, 2013",ENGLISH,,,,,,Newspaper,Copyright 2013 Times Publishing Company                               All Rights Reserved
,Biltmore,developer,property,hotel,city,preservationist,development,project,make,restore,Fenway,plan,preservation,restoration,bring,work,take,historic,million,change,compromise,building,buy,Belleview_Biltmore,Belleair,last,still,leader,town,zone,approve,condition,director,condo,past,economic,back,save,group,time,cost,go,Dunedin,commissioner,pass,allow,replace,week,step,look,many,shine,along,drive,try,recent,site,deteriorate,tax,hold,hope,secure,architectural,vote,build,move,follow,proposal,new,fail,offer,hopeful,original,good,decade,financing,expensive,become,recession,resort,resident,preserve,historian,transform,financial,stop,head,numerous,hand,propose,necessary,fund,heisenbottle,commission,conclude,completely,write,email,fate
,16,15,15,13,12,12,12,12,11,11,11,10,10,10,8,8,8,8,8,8,8,8,8,8,8,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"October 22, 2013 Tuesday",21 of 141 DOCUMENTS,The Tampa Tribune (Florida),"U.S. carbon dioxide pollution decreases; The 3.8% decline was second largest since 1990, officials say",The Associated Press,NATION & WORLD; NationWorld; Pg. 8,,372 words,WASHINGTON,,"October 22, 2013",ENGLISH,,,,,,Newspaper,Copyright 2013 Times Publishing Company                               All Rights Reserved
,carbon,drop,percent,dioxide,pollution,emission,U.S.,coal,car,2012,2011,gas,reduction,due,per,Lindstrom,warm,winter,efficient,use,big,cut,second,2009,large,recession,spew,billion,1994,economist,shift,natural,produce,factor,economic,burn,energy,direction,climate,world,energy_related,America,GDP,less,combine,3.8,last,biggest,1990,department,monday,recent,bigger,percentage,factory,5.83,ton,6.06,lowest,level,chief,global,warming,weather,ongoing,electricity,sluggish,recovery,director,provide,power,far,past,mostly,7.1,happen,economy,grow,2.8,reflect,gross,domestic,product,measure,efficiency,real,calculate,unit,record,6.5,show,clearly,"368,000",pound,latest,reason,cautious,optimism,already
,15,9,8,7,6,5,5,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 11, 2013 Tuesday",25 of 141 DOCUMENTS,The Tampa Tribune (Florida),"Energy emissions rose to record high in 2012AP Photo LON102, LON101",The Associated Press,NationWorld; Pg. 0,,382 words,STOCKHOLM,,"September 25, 2013",ENGLISH,,,,,,Newspaper,Copyright 2013 Times Publishing Company                               All Rights Reserved
,emission,energy,global,world,percent,ton,IEA,rise,million,gas,climate,Climate,carbon,1.4,lowest,report,3.8,increase,efficiency,power,scientist,fuel,change,temperature,degree,quite,industry,country,develop,U.S.,China,dioxide,2012,record,high,31.6,billion,though,post,monday,annual,outlook,top,polluter,largest,growth,last,300,2011,still,among,decade,continue,invest,renewable,drop,200,part,due,switch,generation,coal,decline,agency,sector,account,greenhouse,talk,aim,keep,3.6,compare,level,find,track,frankly,slip,back,burner,policy,priority,problem,go,away,opposite,director,maria,van,der,hoeven,warn,catastrophic,consequence,flooding,coastal,city,island,nation,disruption
,8,5,5,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 11, 2013 Tuesday",26 of 141 DOCUMENTS,The Tampa Tribune (Florida),Carbon dioxide emissions for 2012 hit a record high; World Energy Outlook finds U.S. cut output,The Associated Press,NationWorld; Pg. 5,,427 words,STOCKHOLM,,"September 25, 2013",ENGLISH,,,,,,Newspaper,Copyright 2013 Times Publishing Company                               All Rights Reserved
,emission,energy,global,world,carbon,percent,ton,country,IEA,rise,million,gas,climate,develop,China,Climate,dioxide,1.4,lowest,report,polluter,3.8,increase,efficiency,power,scientist,fuel,change,temperature,degree,quite,industry,responsibility,United_States,Europe,2012,record,high,31.6,billion,though,post,monday,annual,outlook,top,largest,growth,last,300,2011,still,among,decade,continue,invest,renewable,drop,200,part,switch,generation,coal,decline,agency,sector,account,greenhouse,talk,aim,keep,3.6,compare,preindustrial,level,find,track,6.5,9.5,frankly,slip,back,burner,policy,priority,problem,go,away,opposite,director,maria,van,der,hoeven,warn,catastrophic,consequence,flooding,coastal
,8,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 6, 2013 Friday",27 of 141 DOCUMENTS,The Tampa Tribune (Florida),SECTION: FRIDAY EXTRA; Pg. 19,,,,3424 words,,,"September 25, 2013",ENGLISH,,,,,,Newspaper,Copyright 2013 Times Publishing Company                               All Rights Reserved
,sauce,include,Tampa,chicken,813,cheese,serve,make,meal,menu,fry,pizza,wine,soup,dish,bean,shrimp,burger,onion,salad,top,fresh,mix,beer,pork,roll,try,cake,chocolate,red,n.,good,list,cream,another,feature,w.,ave,beef,bacon,variety,barbecue,bar,lunch,sandwich,green,white,order,selection,pepper,restaurant,start,slice,mushroom,spicy,hot,fries,tomato,prepare,offer,along,choice,steak,around,carrot,choose,specialty,side,seafood,chili,crab,sure,entrée,sushi,home,appetizer,enough,dinner,cook,eat,go,black,fish,South_Tampa,Peruvian,dale,mabry,highway,find,thai,price,lemongrass,noodle,rice,egg,ten,cheesy,string,vegetarian
,30,28,26,24,22,20,16,16,14,14,12,12,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"November 22, 2013 Friday",28 of 141 DOCUMENTS,The Tampa Tribune (Florida),"Activists walk out of U.N. climate talks; Discussions 'on track to deliver virtually nothing,' they say",The Associated Press,NATION & WORLD; NationWorld; Pg. 30,,240 words,"WARSAW, Poland",,"November 22, 2013",ENGLISH,,,,,,Newspaper,Copyright 2013 Times Publishing Company                               All Rights Reserved
,talk,walk,climate,activist,country,U.N.,week,negotiation,protester,nation,effort,develop,global,warming,frustration,next,Warsaw,un,ineffective,end,bring,result,wear,polluter,hundred,thursday,national,stadium,venue,meeting,statement,190,track,deliver,virtually,nothing,action,many,rich,directly,undermine,deal,expect,mean,lay,foundation,new,agreement,greenhouse,gas,emission,cut,2015,poor,struggle,yawn,rift,make,accept,responsibility,friend,walkout,hold,disappointment,delegation,share,anger,political,seem,go,opposite,direction,aim,start,last,pleaded,efficient,point,destruction,wring,philippine,alert,scientist,destructive,natural,phenomena,believe,link,initiate,change,1992,round,HIGHLIGHT,T_shirts,Rich,Susann_Scherbarth,Earth_Europe,Philippine_Climate_Commissioner_Naderev_Sano,Sano
,8,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 12, 2013 Thursday",30 of 141 DOCUMENTS,The Tampa Tribune (Florida),"Experts: Election won't be harbinger; Race to fill Young's seat no indicator of nation's mood in 2014, they caution",KATE BRADSHAW; Tribune staff,NATION & WORLD; NationWorld; Pg. 17,,1325 words,,,"December 12, 2013",ENGLISH,,,,,,Newspaper,Copyright 2013 Times Publishing Company                               All Rights Reserved
,election,seat,race,november,district,special,political,party,fill,reflect,national,happen,democrat,Kondik,ahead,shift,dynamics,call,congressional,harbinger,rep,result,midterm,give,blog,really,issue,within,might,level,state,tend,either,side,candidate,question,act,although,general,climate,several,time,government,lot,win,U.S.,Democratic,may,bellwether,Bill_Young,eight,rash,nationwide,open,thing,expert,upcoming,vote,determine,hold,late,c.w,word,attach,plenty,recently,try,divine,outcome,future,closely,observe,unfolding,number,reason,march,contest,tool,media,pundit,hope,dangerous,predictive,value,manage,editor,dc,politics,can,local,population,disgrace,anthony,weiner,resign,2011,imminent,sweep,never
,23,13,12,10,10,9,8,8,7,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"June 20, 2013 Thursday",33 of 141 DOCUMENTS,The Tampa Tribune (Florida),"Obama planning push to curb pollution; Proposals would not require action from Congress, adviser says",The Associated Press,NATION & WORLD; NationWorld; Pg. 22,,466 words,WASHINGTON,,"September 25, 2013",ENGLISH,,,,,,Newspaper,Copyright 2013 Times Publishing Company                               All Rights Reserved
,Obama,power,plant,president,plan,make,climate,pollution,global,wednesday,energy,action,state,administration,force,major,use,tackle,term,new,put,democrat,week,environmental,group,cut,exist,gas,emission,great,include,comment,future,remark,threat,generation,change,Berlin,White_House,push,executive,blame,warming,effort,good,promise,start,second,know,senior,adviser,boost,efficiency,appliance,building,expand,renewable,authority,regulate,speak,forum,host,none,proposal,require,funding,show,appetite,legislation,price,carbon,dioxide,bill,set,system,die,charge,detail,expect,reveal,increase,pressure,lawmaker,harm,superstorm,largest,source,several,threaten,sue,last,former,vice,al,gore,prominent,activist,fellow,pointedly
,7,6,6,5,5,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 6, 2013 Saturday",35 of 141 DOCUMENTS,The Tampa Tribune (Florida),"Experts: Expect bigger, fiercer wildfires in West; More heat, drought, fuel, people are reasons",The Associated Press,NATION & WORLD; NationWorld; Pg. 8,,331 words,LOS ANGELES,,"September 25, 2013",ENGLISH,,,,,,Newspaper,Copyright 2013 Times Publishing Company                               All Rights Reserved
,fire,dangerous,wildfire,climate,federal,West,blaze,summer,fuel,increasingly,scientist,burn,temperature,condition,change,ago,unusual,compare,forest,last,report,season,Yarnell_Hill,Arizona,University,basic,equation,behind,killer,rage,across,heat,dring,people,add,ferocious,hotter,planet,increase,risk,dozen,wildland,arid,mountain,town,apparently,spark,lightning,kill,member,elite,firefighting,squad,deploy,emergency,shelter,sunday,erratic,monsoon,wind,send,flame,racing,direction,pin,solely,researcher,sign,bigger,common,hot,twenty,highly,history,expert,falk,refer,unfortunately,chew,twice,many,acre,per,average,service,chief,tom,tidwell,tell,hearing,jan,2000,"145,000",square,mile,roughly,size,combine,accord
,9,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 12, 2013 Friday",36 of 141 DOCUMENTS,The Tampa Tribune (Florida),BYLINE: MICHAEL KODAS; Bloomberg News,,NATION & WORLD; Views; Pg. 19,,875 words,,,"September 24, 2013",ENGLISH,,,,,,Newspaper,Copyright 2013 Times Publishing Company                               All Rights Reserved
,fire,forest,last,firefighter,wildfire,home,fight,warming,burn,cost,time,new,hazard,far,today,increase,state,past,make,people,urban,Colorado,Arizona,ago,week,lesson,lab,work,line,mind,change,job,die,hard,find,drying,cover,winter,phrase,hear,four,many,worse,accord,faster,decade,bring,every,dead,wood,tree,brush,land,fuel,timber,development,flammable,spark,hundred,less,crew,rather,prevent,billion,increasingly,U.S.,column,three,refresh,firefighting,skill,class,create,spend,alone,front,computer,click,various,digitize,take,course,explain,encounter,meth,another,go,identify,hazardous,waste,chemical,happen,stumble,upon,illegal,dump,shake,head,least
,17,10,7,7,7,7,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 2, 2013 Friday",37 of 141 DOCUMENTS,The Tampa Tribune (Florida),"Study: Hot temperatures raise tempers; Climate can promote conflict, authors say",The Associated Press,NATION & WORLD; NationWorld; Pg. 9,,590 words,WASHINGTON,,"September 25, 2013",ENGLISH,,,,,,Newspaper,Copyright 2013 Times Publishing Company                               All Rights Reserved
,study,war,likely,conflict,percent,degree,increase,people,crime,weather,hot,find,violent,collapse,author,economist,much,temperature,Hsiang,warmer,aggressive,add,analyze,historic,empire,rate,lab,simulation,police,shoot,pitcher,baseball,extreme,violence,climate,publish,thursday,expert,formula,every,fahrenheit,chance,civil,5.4,go,paper,global,without,another,psychology,hotter,professor,although,change,United_States,Berkeley,world,collar,scientist,expansive,new,act,commit,wage,become,researcher,recent,test,decision,case,throw,deliberately,batter,common,thread,century,dry,mean,result,show,strong,evidence,promote,bad,tend,willing,hurt,lead,online,journal,science,cause,give,mix,reception,team,predict,risk,different
,11,9,6,6,6,5,5,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 20, 2013 Sunday",38 of 141 DOCUMENTS,The Tampa Tribune (Florida),The journey from hopelessness to action,SAM DALEY-HARRIS; Special to The Tampa Tribune,VIEWS; Pg. 40,,739 words,,,"October 20, 2013",ENGLISH,,,,,,Newspaper,Copyright 2013 Times Publishing Company                               All Rights Reserved
,hunger,issue,political,death,world,reclaim,democracy,ask,end,poverty,deep,solution,speak,call,member,citizen,we,comfort,zone,support,Congress,RESULTS,brinkmanship,budget,debt,ceiling,work,climate,despair,make,journey,hopelessness,action,start,people,later,life,answer,do,something,realize,provide,basic,lack,hopeless,human,nature,"7,000",student,national,group,change,structure,bring,need,care,circle,label,magic,happen,move,Affordable_Care_Act,federal,offer,especially,harsh,backdrop,recent,conversation,whenever,interviewer,create,ensure,stable,always,sensitive,audience,difference,cynicism,process,result,constantly,begin,describe,ago,musician,pretty,ignorant,environmental,problem,friend,1964,four,question,purpose,mark,twain,write,important
,6,5,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 26, 2013 Thursday",40 of 141 DOCUMENTS,The Tampa Tribune (Florida),Four numbers say wind and solar can't save climate,Robert Bryce; Bloomberg News,NATION & WORLD; Views; Pg. 17,,1058 words,NEW YORK,,"September 26, 2013",ENGLISH,,,,,,Newspaper,Copyright 2013 Times Publishing Company                               All Rights Reserved
,energy,wind,emission,carbon,coal,dioxide,turbine,use,oil,source,number,global,world,percent,gas,time,power,per,land,much,increase,billion,natural,policy,electricity,make,solar,million,barrel,U.S.,reduce,take,growth,past,decade,develop,production,country,grow,density,rapidly,last,produce,renewable,equivalent,nuclear,report,call,discussion,transition,let,occur,2002,rise,2012,surge,climate,focus,economic,soar,live,second,watt,square,area,mean,tract,must,replace,capacity,require,output,contribution,decline,cost,move,offshore,look,three,represent,amount,hydropower,Europe,coal_fired,terawatt_hours,Saudi_Arabias,story,week,begin,release,fifth,assessment,earlier,undoubtedly,lead,worldwide,unfold,urge,everyone
,16,14,13,11,11,9,8,7,7,7,6,6,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 24, 2013 Thursday",41 of 141 DOCUMENTS,The Tampa Tribune (Florida),Earth's ozone hole smaller; NASA official says main reason is warmer weather,The Associated Press,NATION & WORLD; NationWorld; Pg. 32,,292 words,WASHINGTON,,"October 24, 2013",ENGLISH,,,,,,Newspaper,Copyright 2013 Times Publishing Company                               All Rights Reserved
