PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"March 7, 2012 Wednesday",2 of 63 DOCUMENTS,The Tampa Tribune (Florida),Insurance industry no climate-change skeptic,"RICHARD SCHIFFMAN, Special to The Tampa Tribune",VIEWS & NEWS; Pg. 15,,728 words,,,"March 8, 2012",ENGLISH,,,,,,Newspaper,Copyright 2012 Times Publishing Company                               All Rights Reserved
,change,climate,weather,insurance,industry,we,believe,risk,go,stick,fool,head,window,thing,presidential,candidate,know,already,take,winter,tree,have,storm,thousand,tornado,almost,event,last,people,2010,among,scientist,rise,increase,hurricane,assert,trillion,dollar,emission,right,insurer,ahead,afford,whose,Tampa_Tribune,Republican,wake,morning,mom,use,ask,dad,reply,real,might,notice,rest,live,nobody,remember,warm,daffodil,community,garden,block,early,january,cherry,full,bloom,perhaps,spring,rain,fall,freak,october,still,leaf,weight,wet,snow,earlier,five,borough,rake,several,unprecedented,hardly,alone,tornadoe,rip,across,kill,500,flooding,inundate,million,acre,driest
"September 17, 2012 Monday",7 of 63 DOCUMENTS,The Tampa Tribune (Florida),The president decides to stick with climatism,"STEVE GOREHAM, Special To The Tampa Tribune",VIEWS & NEWS; Pg. 11,,838 words,,,"October 11, 2012",ENGLISH,,,,,,Newspaper,Copyright 2012 Times Publishing Company                               All Rights Reserved
,carbon,president,dioxide,drought,flood,gas,warming,state,climate,change,manmade,global,last,mankind,pollution,wildfire,child,support,climatism,policy,show,theory,emission,halt,pipeline,cause,record,Carbon,remark,continue,planet,joke,future,destroy,world,green,light,bulb,save,increase,science,car,speech,2012,project,environmental,claim,secretary,plant,new,vehicle,drive,use,water,trace,four,molecule,history,look,1930,imply,Tampa_Tribune,United_Nations,Mr._Obama,CO2,NCDC,high_temperature,Mad,plan,reduce,heating,hoax,threat,election,something,ideology,belief,greenhouse,today,grip,madness,191,leader,pursue,futile,stop,university,preach,sustainable,development,company,tout,program,school,teach,polar,bear,body,catastrophic
,10,9,8,6,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 10, 2012 Thursday",8 of 63 DOCUMENTS,The Tampa Tribune (Florida),Spring heat won't trigger hurricanes,"LEIGH SPANN, News Channel 8",METRO; Pg. 2,,277 words,,,"May 11, 2012",ENGLISH,,,,,,Newspaper,Copyright 2012 Times Publishing Company                               All Rights Reserved
,hurricane,el,nino,storm,season,LaMarre,affect,record,temperature,development,gulf,mean,warm,really,forecast,look,weather,pattern,water,impact,Mexico,Florida,leigh,channel,tampa,another,heat,feel,hot,tub,start,june,four,hottest,1895,tropic,active,meteorologist,winter,correlation,frequency,summertime,play,significant,role,overall,make,warmer,much,deeper,la,nina,develop,later,fall,limit,number,associate,tropical,global,fewer,single,necessarily,safer,disaster,anniversary,devastating,hit,southern,five,name,form,1992,serious,lspann,wfla.com,copyright,©,2012,may,republish,without,permission,library,tampatrib.com,La_Nina,SPANN_News,Brian_LaMarre,National_Weather_Service,large_scale,Atlantic_Ocean,Atlantic,warmer_than_normal,water_surface,Pacific_Ocean,Hurricane_Andrew,below_normal,Tampa_Tribune,E_mail
,7,4,4,4,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 9, 2012 Friday",9 of 63 DOCUMENTS,The Tampa Tribune (Florida),SECTION: VIEWS & NEWS; Pg. 16,,,,778 words,,,"November 14, 2012",ENGLISH,,,,,,Newspaper,Copyright 2012 Times Publishing Company                               All Rights Reserved
,change,we,voting,republican,need,climate,many,election,long,line,make,democrat,political,party,vote,country,last,believe,may,weather,god,tired,letter,legislature,governor,work,early,look,best,stupid,seem,ballot,late,folk,wait,people,respect,vengeance,president,must,scrap,heap,understand,accept,become,tampa,nail,another,much,experience,generation,time,upgrade,pay,global,cause,scientific,result,acre,damage,candidate,use,editor,page,promote,well,endless,robocall,phone,ad,radio,tv,appear,lot,concern,hope,limelight,cycle,reduction,neanderthal,elect,official,pretty,versus,thing,ability,resident,cast,right,transcend,watch,night,area,particular,still,nearly,midnight,disrespectful,public
,7,6,5,5,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 16, 2012 Friday",10 of 63 DOCUMENTS,The Tampa Tribune (Florida),A sensible path toward energy self-sufficiency,,VIEWS & NEWS; Pg. 10,,526 words,,,"November 19, 2012",ENGLISH,,,,,,Newspaper,Copyright 2012 Times Publishing Company                               All Rights Reserved
,energy,natural,gas,produce,production,emission,change,fuel,use,economy,reduce,nation,carbon,climate,coal,renewable,news,oil,become,increase,lower,global,international,regardless,particularly,contribute,cleaner,export,quick,source,technology,way,efficiency,conservation,percent,standard,United_States,reassure,five,project,country,net,exporter,2030,potential,business,cost,chance,crisis,disrupt,supplies,lessen,need,military,commitment,calculate,nonpolitical,agency,good,environment,well,tamp,industry,demand,drill,every,nook,cranny,include,immediately,beach,risk,robust,tap,hydraulic,fracture,justify,recklessness,true,fossil,burn,dioxide,scientist,blame,far,common,alternative,dependence,cut,university,professor,point,article,week,thanks,expand,skeptic,research,make
,9,9,9,4,4,4,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 4, 2012 Sunday",11 of 63 DOCUMENTS,The Tampa Tribune (Florida),Issues are heating up for election,"Steve Otto, sotto@tampatrib.com",METRO; Pg. 1,,512 words,,,"November 5, 2012",ENGLISH,,,,,,Newspaper,Copyright 2012 Times Publishing Company                               All Rights Reserved
,change,issue,climate,matter,win,last,Sandy,tampatrib.com,funny,way,happen,have,finally,presidential,campaign,go,race,job,war,wonder,vote,seem,side,fact,hold,week,much,state,president,look,weather,pattern,move,think,storm,may,without,sotto,thing,roughly,watch,try,ignore,occasionally,find,focus,we,probably,figure,center,three,health,care,seemingly,endless,part,wade,muck,million,dollar,worth,negative,ad,full,best,many,affect,polarize,political,make,difference,neither,ever,deliver,knockdown,closest,debate,former,gov,prove,actually,apparently,something,surprise,style,point,candidate,surrogate,throw,number,nobody,agree,add,pretty,acknowledge,nearly,dead,heat,critical
,6,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 1, 2012 Wednesday",12 of 63 DOCUMENTS,The Tampa Tribune (Florida),Citizen scientists can help track climate change,"YVETTE C. HAMMETT, The Tampa Tribune",BRANDON; Pg. 17,,348 words,,,"February 3, 2012",ENGLISH,,,,,,Newspaper,Copyright 2012 Times Publishing Company                               All Rights Reserved
,help,scientist,change,workshop,information,program,every,monarch,butterfly,flower,produce,climate,volunteer,take,train,people,plant,animal,o'hara,estuary,observation,data,tampatrib.com,Tampa_Tribune,National_Phenology_Network,c.,hammett,seffner,robin,travel,area,time,purple,cone,palmetto,put,berry,determine,affect,attend,free,feb,teach,exactly,place,5339,s.,county,road,579,a.m.,noon,notebook,innovative,partnership,citizen,recognize,keystone,species,track,tree,bud,bloom,appear,class,last,summer,team,offer,spokeswoman,beg,make,throughout,access,finding,critical,farmer,resource,manager,host,group,perfect,thing,gardener,observant,anyway,fill,simple,online,sheet,noting,use,monitor,cycle,behavior,associate,participant,else,country
,4,4,4,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 13, 2012 Tuesday",14 of 63 DOCUMENTS,The Tampa Tribune (Florida),SECTION: VIEWS & NEWS; Pg. 8,,,,816 words,,,"March 14, 2012",ENGLISH,,,,,,Newspaper,Copyright 2012 Times Publishing Company                               All Rights Reserved
,state,law,member,contract,change,climate,march,rights,put,view,writer,pension,shall,science,hottest,occur,Florida,tribune,justice,taxpayer,legislator,many,we,work,hard,benefit,area,country,activity,enforcement,reduce,time,lead,police,official,the,effect,support,keep,editorial,fact,need,contractual,current,impair,obligation,pass,percent,employee,plan,tell,warming,cool,impact,car,true,record,people,agree,Tallahassee,Earth,front,page,proclaim,slain,informant,fail,consider,earn,salary,generate,tax,dollar,frequently,life,line,dangerous,urban,appreciate,munificence,allegedly,involved,felony,criminal,choose,cooperate,apparently,vulnerability,prison,remind,generous,live,difficult,economic,court,clerk,educator,wail,budget
,9,6,6,6,6,5,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 31, 2012 Wednesday",15 of 63 DOCUMENTS,The Tampa Tribune (Florida),Coastal cities unready for Sandy's surge,,VIEWS & NEWS; Pg. 12,,523 words,,,"November 2, 2012",ENGLISH,,,,,,Newspaper,Copyright 2012 Times Publishing Company                               All Rights Reserved
,flood,rise,change,storm,level,climate,city,sea,plan,business,know,thing,weather,nation,need,consider,waterfront,without,enough,federal,foot,levee,measure,coastal,community,possibility,costly,cost,billion,may,prepare,factor,Hurricane_Sandy,Northeast,Sandy,bizarre,devastating,track,pattern,appear,seriously,bolster,system,kill,least,people,citiesalong,leave,than8,million,electricity,furious,strange,shocker,veteran,chief,emergency,management,agency,around,long,hurricane,forecast,snow,advisory,part,gov,understandably,question,whether,surge,seem,every,construction,anticipate,kind,situation,much,begin,mad,dash,rebuild,impossible,task,become,priority,undertake,new,project,precaution,protect,life,property,help,particularly,ensure,remain,appeal,go
,5,5,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 12, 2012 Monday",16 of 63 DOCUMENTS,The Tampa Tribune (Florida),SECTION: VIEWS & NEWS; Pg. 20,,,,943 words,,,"November 14, 2012",ENGLISH,,,,,,Newspaper,Copyright 2012 Times Publishing Company                               All Rights Reserved
,government,great,conservative,change,must,fact,need,party,question,preach,important,guy,take,message,view,term,answer,Republican_Party,sad,election,direction,lose,new,science,possible,issue,control,speed,180,degree,course,federal,second,emotional,long_term,really,give,state,choose,enough,problem,create,despite,mean,bring,remember,climate,have,world,flank,reverse,attempt,gradually,witness,expect,today,appeal,may,individual,meaningful,buy,decision,tea,hand,abortion,address,win,week,political,development,outcome,presidential,vote,aftermath,quite,stun,economy,hearing,cacophony,voice,analyze,result,conclusion,republican,candidate,yankee,spend,money,cowbell,plenty,especially,believe,alternative,communist,dummy,class,white,feed,social
,7,7,6,6,6,5,5,5,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 30, 2012 Sunday",17 of 63 DOCUMENTS,The Tampa Tribune (Florida),"BYLINE: JEFF HOUCK, The Tampa Tribune",,NATION/WORLD; Pg. 1,,1547 words,,,"December 31, 2012",ENGLISH,,,,,,Newspaper,Copyright 2012 Times Publishing Company                               All Rights Reserved
,new,ago,find,think,human,likely,sea,make,form,people,sound,Earth,University,time,water,million,ice,brain,species,whale,dolphin,use,important,planet,change,surface,increase,life,force,percent,previously,flow,without,white,discover,may,fish,shark,bite,patient,ability,body,live,sense,reveal,remind,discovery,largest,meteorite,stay,attention,2012,environment,average,far,older,process,measure,age,begin,earlier,actually,island,long,rise,amount,due,climate,a.m.,naturally,man,show,enough,survive,old,100,associate,star,creature,centimeter,face,annoying,female,pay,male,similar,half,release,lose,size,part,contain,venom,chemical,nose,improve,western,bird,native
,7,7,6,6,6,6,6,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"December 19, 2012 Wednesday",18 of 63 DOCUMENTS,The Tampa Tribune (Florida),SECTION: VIEWS & NEWS; Pg. 10,,,,925 words,,,"December 20, 2012",ENGLISH,,,,,,Newspaper,Copyright 2012 Times Publishing Company                               All Rights Reserved
,gun,make,need,article,change,people,time,child,think,autism,shoot,kill,defense,citizen,protect,criminal,without,country,something,school,world,disorder,senior,project,deal,Tampa_Tribune,mass,many,innocent,life,repeal,truly,answer,outlaw,prevent,crime,we,law,pass,correct,building,instead,do,security,pain,happen,great,must,problem,turn,dec.,redefine,right,individual,may,care,address,lot,include,diagnosis,help,end,winter,solstice,increase,funny,maybe,2012,point,climate,collapse,species,cliff,surprise,tax,law_abiding,Connecticut,Obama,aftermath,yet,another,tragic,senseless,loss,always,cry,ban,nut,job,though,trite,overused,statement,factual,hand,americans,best,atrocity,rational
,9,6,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 2, 2012 Friday",20 of 63 DOCUMENTS,The Tampa Tribune (Florida),"Pay me now, or pay me later",,VIEWS & NEWS; Pg. 10,,265 words,,,"November 5, 2012",ENGLISH,,,,,,Newspaper,Copyright 2012 Times Publishing Company                               All Rights Reserved
,change,damage,weather,money,insurance,pay,result,event,science,scientist,need,future,believe,billion,later,remember,building,code,1994,hurricane,devastate,republican,general,deny,climate,wonder,proactive,administration,accomplish,toward,prevent,freakish,realize,word,exist,vocabulary,warning,we,decade,prepare,understand,religious,right,satisfied,act,god,control,prayer,rational,mind,different,reaction,approach,safer,have,hear,estimate,industry,survive,homeowner,commercial,rate,increase,cover,sound,situation,always,cost,adverse,earth,go,worse,still,think,trillion,spend,blowing,sand,worth,use,shore,infrastructure,exposure,addition,foolish,eliminate,©,2012,may,republish,without,permission,library,tampatrib.com,Florida,climate_change,Republican,Hurricane_Sandys,Sandy
,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 16, 2012 Sunday",21 of 63 DOCUMENTS,The Tampa Tribune (Florida),"New energy plan for Florida, nation is critical","TOM EVANS, Special To The Tampa Tribune",VIEWS & NEWS; Pg. 2,,777 words,,,"December 17, 2012",ENGLISH,,,,,,Newspaper,Copyright 2012 Times Publishing Company                               All Rights Reserved
,energy,reduce,natural,process,need,plan,fuel,development,area,evan,may,encourage,planet,conservation,must,fossil,make,use,example,economy,create,storm,destroy,tom,special,change,part,much,lot,slow,add,burn,we,increase,give,help,important,gas,oil,world,sense,problem,continue,meantime,provide,undeveloped,many,responsibility,subsidy,prevent,law,include,federal,insurance,barrier,wetland,resource,sign,United_States,Coastal_Barrier_Resources_Act,Congress,result,cycle,nature,substantial,assist,mankind,can,thing,desperately,production,cleaner,warming,spew,carbon,dioxide,greenhouse,effect,warmer,amount,effort,everyone,fair,share,turn,thermostat,hot,touch,cold,difference,wear,little,extra,clothing,winter,andfewer,clothes,summer,difficult
,6,6,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 9, 2012 Friday",23 of 63 DOCUMENTS,The Tampa Tribune (Florida),SECTION: VIEWS & NEWS; Pg. 12,,,,423 words,,,"March 14, 2012",ENGLISH,,,,,,Newspaper,Copyright 2012 Times Publishing Company                               All Rights Reserved
,wave,provide,time,2012,runner,start,project,finish,regard,insurance,industry,view,march,small,scientist,global,issue,use,people,place,event,race,comment,work,participate,participant,without,skeptic,bear,1933,hottest,temperature,record,back,population,automobile,carbon,footprint,forty,later,warning,we,cool,today,side,climate,change,call,warming,agree,reason,someone,bring,subject,every,keep,alive,try,convince,real,though,majority,believe,furthermore,high,add,another,tax,americans,cap,trade,push,point,response,letter,social,legitimacy,publix,super,market,gasparilla,distance,classic,take,great,deal,care,opportunity,choose,able,comfortable,safe,manner,include,group,church,organization,lopez,consider
,5,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 5, 2012 Monday",24 of 63 DOCUMENTS,The Tampa Tribune (Florida),SECTION: VIEWS & NEWS; Pg. 18,,,,610 words,,,"November 8, 2012",ENGLISH,,,,,,Newspaper,Copyright 2012 Times Publishing Company                               All Rights Reserved
,Haley,city,thing,great,take,money,school,teacher,regard,oct,know,change,rest,assure,storm,close,man,hospital,late,a.,haley,veterans,tragic,life,experience,other,deeply,serve,try,without,ask,people,think,august,part,student,voter,file,job,someone,real,write_in,coastal,unready,surge,view,editorial,begin,climate,bizarre,devastating,track,development,category,hurricane,october,head,eastern,coastline,hardly,aberration,nor'easter,cause,unrelated,fuse,explosive,hybrid,nothing,related,global,warming,rather,presence,area,opposite,clockwise,circulation,sit,east,northern,act,road,traffic,must,turn,leave,barrier,three,weather,element,converge,era,meteorological,result,gary,p.,posner,plant,vet
,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 22, 2012 Thursday",25 of 63 DOCUMENTS,The Tampa Tribune (Florida),"Clinton calls for civility, solutions in Straz speech","WILLIAM MARCH, The Tampa Tribune",METRO; Pg. 1,,803 words,,,"March 23, 2012",ENGLISH,,,,,,Newspaper,Copyright 2012 Times Publishing Company                               All Rights Reserved
,Clinton,political,people,problem,time,Tampa,economic,we,environmental,school,disagree,use,cite,tampa,former,president,speech,wednesday,human,unstable,much,nongovernmental,leave,work,make,effort,lot,thing,magnet,recall,mayor,way,politics,personal,prosperity,environment,climate,change,solve,presidency,percent,nation,right,around,Tampa_Tribune,Bill_Clinton,America,polarization,hurdle,fix,march,urge,civility,sustainability,equality,house,a.,straz,jr.,center,perform,art,night,live,interdependent,age,history,afflict,stagger,number,poor,degradation,financial,system,answer,ngo,organization,found,office,include,describe,part,alleviate,distress,earthquake,medication,widely,available,worldwide,limiting,consumption,sugary,soft,drink,contribute,epidemic,diabete,active,speaker
,9,6,5,5,5,5,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 10, 2012 Friday",27 of 63 DOCUMENTS,The Tampa Tribune (Florida),Stories that get our vote,"AMANDA SELLET, Special correspondent",FRIDAY EXTRA; Pg. 12,,1060 words,,,"August 14, 2012",ENGLISH,,,,,,Newspaper,Copyright 2012 Times Publishing Company                               All Rights Reserved
