PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"February 17, 2003, Monday",1 of 91 DOCUMENTS,The Tampa Tribune (Florida),Coral Crisis,"KURT LOFT , kloft@tampatrib.com; Reporter Kurt Loft can be reached at (813) 259-7570.","NATION/WORLD, Pg. 6",,678 words,,,"February 18, 2003",ENGLISH,,,"PHOTO (C) MacGillivray Freeman Films
(C) Scientists say rising temperatures, overfishing, an abundance of seaweed and other factors put stress on coral reefs, exposing their white calcium carbonate skeletons. ""Coral Reef Adventure,"" a new Imax film, attempts to answer questions about reef destruction and what can be done to reverse it.
,chamber,Tampa,today,community,1928,board,member,commerce,bring,100,although,president,bridge,change,name,among,compete,committee,well,Commerce,Trade,leadership,call,trade,business,city,building,new,several,executive,people,past,world,future,Board,Roberts,Simmons,75th,anniversary,group,work,ago,country,development,put,take,become,plant,hotel,connect,downtown,acquire,industry,time,target,part,trend,membership,enhance,another,tampa,hundred,employee,marketing,company,lot,history,climate,position,chief,officer,good,Greater_Tampa,Plant,Hillsborough_County,begin,trace,start,may,1885,celebrating,happen,arrival,railroad,january,1884,link,rest,movement,stir,map,awhile,leader,yet,incorporate,officially,organize,p.,wall
,23,12,8,7,7,6,6,5,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 8, 2003, Friday",7 of 91 DOCUMENTS,The Tampa Tribune (Florida),LETTERS,,"NATION/WORLD, Pg. 16",,1183 words,,,"August 9, 2003",ENGLISH,,,,,,,Copyright 2003 Times Publishing Company                               All Rights Reserved
,dress,word,aug,regard,doctor,seem,fabulous,use,kill,human,world,problem,insurance,shoe,shirt,people,nation,malpractice,company,need,global,view,mean,fire,write,many,long,store,retailer,man,jeans,wear,pair,george,president,vote,Taylor,several,describe,upon,alligator,state,ask,rate,treat,good,best,bad,really,activity,may,current,climate,change,mention,contributor,temperature,increase,natural,universe,effect,less,term,tampa,haute,take,upscale,boutique,lord,bum,anything,short,sandal,tennis,polo,woman,little,elaborate,another,reason,piece,group,hate,teach,Neiman_Marcus,Tampa,Marsha_Mercer,Mercer,article,gator,class,draw,hunter,protester,aug.,harvest,time,euphemism,hide
,9,7,6,5,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1
"October 13, 2003, Monday",10 of 91 DOCUMENTS,The Tampa Tribune (Florida),FAST FORWARD,Kurt Loft,"NATION/WORLD, Pg. 6",,474 words,,,"October 19, 2003",ENGLISH,,,"PHOTO Mario Molina
NOTES: FAST FORWARD SCIENCE",,,,Copyright 2003 Times Publishing Company                               All Rights Reserved
,scientist,develop,annual,science,call,change,answer,space,walk,diabete,accord,week,hispanic,information,ice,north,world,question,stumper,food,take,brisk,every,decrease,person,risk,researcher,find,man,woman,incorporate,activity,lifestyle,less,likely,type,sedentary,matter,initial,weight,author,study,winner,1995,nobel,prize,chemistry,tampa,honor,guest,third,national,bear,atmospheric,chemist,specialize,effect,chlorofluorocarbon,atmosphere,award,recognize,outstanding,promote,public,understanding,motivate,young,hispanics,enter,career,813,largest,shelf,break,cite,evidence,ongoing,accelerate,climate,polar,region,coast,territory,ancient,feature,thick,float,sea,begin,form,"4,500",ago,place,least,"3,000",involved,physical,around,consider
,5,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 29, 2003, Saturday",13 of 91 DOCUMENTS,The Tampa Tribune (Florida),ZONING CHANGES,"Compiled by Tom Brennan, who can be reached at tbrennan@tampa; trib.com or (813) 657-4528.","BRANDON, Pg. 7",,463 words,,,"April 1, 2003",ENGLISH,,,,,,,Copyright 2003 Times Publishing Company                               All Rights Reserved
,home,foot,side,acre,approve,west,lot,southeast,building,east,office,allow,developer,project,south,install,speed,hump,rz,subdivision,square,space,north,commissioner,change,minimum,three,corner,store,expand,100,convert,commercial,apartment,Greenbriar_Drive,Kings_Avenue,U.S.,half_acre,FishHawk_Ranch,follow,area,rezoning,week,boyette,800,backyard,width,abut,exist,eastern,boundary,260,public,stable,equestrian,center,horse,four,tear,station,s.r,make,way,drug,gated,across,inc.,facility,immediately,riverview,avenue,"5,000",professional,option,replace,northeast,301,northwest,contractor,general,use,600,subdivid,8234,rancheria,drive,thonotosassa,hendry,cattle,ranch,131,quarter,mile,ed,denison,road,valrico,st,200
,9,8,6,6,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 12, 2003, Saturday",14 of 91 DOCUMENTS,The Tampa Tribune (Florida),Monroe Is County's Only Nominee For National Change Award,"ELLEN GEDALIUS, egedalius@tampatrib.com; Reporter Ellen Gedalius can be reached at (813) 259-7684.","SOUTH TAMPA, Pg. 1",,298 words,,,"April 14, 2003",ENGLISH,,,"PHOTO Joe Brown
Will get training as part of the award",,,,Copyright 2003 Times Publishing Company                               All Rights Reserved
,school,award,receive,Heard,district,reputation,Monroe,test,score,director,principal,need,people,special,assignment,Brown,nominee,change,honor,improve,feel,founder,program,recognize,well,winner,"5,000",professional,training,think,general,middle,amaze,impressed,culture,climate,community,member,know,count,help,recall,occasion,example,woman,someone,drive,grocery,store,way,within,minute,find,volunteer,select,rise,mediocre,joe,live,poor,section,town,compete,2001,cave,kind,raise,bar,break,barrier,anything,less,unacceptable,second,state,last,notice,five,six,ago,ok,nothing,great,fewer,request,away,PORT,TAMPA,Monroe_Middle_School,Hillsborough_County,National_School,Lew_Smith,Jackie_Heard,Florida_Comprehensive_Assessment_Test,Parents
,16,4,4,4,3,3,3,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 25, 2003, Saturday",16 of 91 DOCUMENTS,The Tampa Tribune (Florida),Aiming At Aggression,"ELLEN GEDALIUS , egedalius@tampatrib.com; Reporter Ellen Gedalius can be reached at (813) 259-7684.","SOUTH TAMPA, Pg. 1",,1005 words,,,"January 27, 2003",ENGLISH,,,"PHOTO (3C) Tribune photos by JAY CONNER
(C) Emily Merrill, 10, and her mother, Susan Merrill, participate in a mother-daughter book club at St. John's Episcopal Middle School. (C) The mother-daughter book club is reading ""What Every Girl (Except Me) Knows."" Susan Wellman
(C) President of the Ophelia Project that has come to south Tampa",,,,Copyright 2003 Times Publishing Company                               All Rights Reserved
,school,girl,program,aggression,Wellman,student,parent,relational,child,Ophelia_Project,part,create,mentor,relationship,need,mary,safe,training,St._Mary,happen,daughter,middle,have,really,problem,every,kid,st,participate,know,South_Tampa,Lambert,learn,develop,gossip,peer,president,change,read,behavior,tend,hit,covert,thing,nasty,note,become,head,boy,case,hurt,front,teacher,fix,issue,remedy,talk,we,social,climate,combat,start,staff,take,classroom,alumnus,role,model,younger,board,teach,way,denial,breath,try,adolescent,book,club,story,deal,mother,fear,might,Erie,Episcopal_School,help,teenage,healthy,whisper,behind,back,roll,eye,spread,rumor,give,silent,treatment,enough
,18,10,7,7,7,6,6,6,6,6,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 21, 2003, Monday",17 of 91 DOCUMENTS,The Tampa Tribune (Florida),Fast Forward,KURT LOFT,"NATION/WORLD, Pg. 4",,417 words,,,"April 24, 2003",ENGLISH,,,"PHOTO (C) (C) (Egret)
NOTES: FAST FORWARD SCIENCE",,,,Copyright 2003 Times Publishing Company                               All Rights Reserved
,worm,computer,report,population,sapphire,call,new,threat,decline,bird,answer,attack,internet,virus,major,publish,environmental,problem,loss,species,note,Florida,record,scientist,significant,troubling,milestone,evolution,know,slammer,double,number,every,eight,seconds,minute,initial,"75,000",infect,host,spew,billion,copy,cyberspace,slowed,traffic,disrupt,business,transaction,worldwide,represent,technology,center,subject,theoretical,reality,water,surround,coast,fill,sunken,ship,date,back,hundred,many,story,surface,shipwreck,air,tuesday,p.m.,part,series,deep,sea,detective,special,include,underwater,footage,galleon,navy,schooner,english,brig,around,world,faster,expect,influence,people,cause,wing,messenger,advocacy,group,d.c,stem
,6,6,5,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 9, 2003, Wednesday",18 of 91 DOCUMENTS,The Tampa Tribune (Florida),Chardonnay Remains A Major Player Despite Competition,"KEN COLLURA, asksommelier@bernssteakhouse.com; Ken Collura is head sommelier at Bern's Steak House in Tampa.","BAYLIFE FLAVOR, Pg. 2",,852 words,,,"July 10, 2003",ENGLISH,,,,,,,Copyright 2003 Times Publishing Company                               All Rights Reserved
,chardonnay,wine,chard,white,make,California,pinot,crisp,winemaker,find,try,region,really,another,often,time,basically,well,change,market,today,go,blanc,represent,new,lively,have,many,always,style,palate,better,place,grow,describe,taste,use,caveat,bottling,four,chably,sometimes,rich,fat,thin,balance,point,climate,rarely,seem,Burgundy,long,ago,equivalent,country,label,easy,sell,reign,queen,steamrol,path,great,rightfully,broad,anything,remember,notice,gruner,veltliner,albarino,three,different,table,recently,proof,door,open,confirm,public,preference,transition,count,however,may,lose,bit,luster,still,remain,major,player,scheme,thing,think,steal,share,grigio,sauvignon
,11,10,5,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 21, 2003, Monday",19 of 91 DOCUMENTS,The Tampa Tribune (Florida),FAST FORWARD,KURT LOFT,"NATION/WORLD, Pg. 6",,438 words,,,"July 23, 2003",ENGLISH,,,"PHOTO (C) (C) (Grill)
NOTES: FAST FORWARD SCIENCE",,,,Copyright 2003 Times Publishing Company                               All Rights Reserved
,grill,degree,dioxide,water,stress,exercise,many,researcher,emit,carbon,gas,electric,charcoal,pound,temperature,boil,health,study,although,disease,major,factor,grilling,department,energy,think,emission,hour,stumper,answer,scale,freeze,100,212,fahrenheit,reference,point,feeling,deflate,constantly,worry,trivial,thing,try,regular,workout,expert,effect,heavy,mental,doctor,recommend,moderate,counter,tension,new,show,relatively,better,reduce,complication,may,lead,heart,amount,anxiety,person,experience,cardiovascular,enjoy,cooking,backyard,digest,follow,fact,estimate,million,americans,fire,barbecue,july,weekend,burn,equivalent,"2,300",acre,forest,consume,enough,meet,residential,demand,town,size,nearly,"225,000",metric,ton,kind
,8,6,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 7, 2003, Sunday",20 of 91 DOCUMENTS,The Tampa Tribune (Florida),Global Warming Treaty Undone By Chilling Economic Realities,,"COMMENTARY, Pg. 2",,669 words,,,"December 13, 2003",ENGLISH,,,,,,,Copyright 2003 Times Publishing Company                               All Rights Reserved
,percent,energy,emission,reduce,kyoto,restriction,use,cost,economic,treaty,economy,make,need,company,Canada,Canadian,nation,increase,temperature,work,growth,greenhouse,object,air,sacrifice,happen,sign,limit,try,meet,estimate,next,shrink,slowdown,similar,innovation,explain,time,dubious,level,much,mean,traffic,price,go,sensible,standard,remain,United_States,Ireland,Irish,long,ridicule,ignore,prove,correct,international,effort,slow,assume,global,talk,toss,fire,kill,concept,sharply,cut,gas,trap,sun,heat,atmosphere,impossible,enforce,less,smoke,almost,everyone,require,consider,healthy,motorist,drive,place,bigger,car,americans,track,blow,factor,alone,report,country,violate,take,look,another,party
,9,8,7,6,5,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 3, 2003, Sunday",24 of 91 DOCUMENTS,The Tampa Tribune (Florida),Largemouth Bass Virus,"SANDY HUFF , Tribune correspondent","PASCO, Pg. 15",,1194 words,,,"August 6, 2003",ENGLISH,,,"PHOTO CHART Tribune file photo by FRANK SARGEANT
If you notice a largemouth bass acting sleepy, throw it back because it may be infected with LMBV.
NOTES: OUTDOORS SPORTS",,,,Copyright 2003 Times Publishing Company                               All Rights Reserved
,virus,fish,bass,might,seem,disease,scientist,Florida,find,die,water,kill,affect,know,may,far,biologist,LMBV,infect,appear,around,fishing,fishery,aquarium,cause,state,largemouth,many,near,surface,lake,time,study,strain,symptom,human,body,factor,hot,swim,change,Arkansas,ago,common,top,game,decade,industry,boat,seminar,tournament,catch,attention,dozen,big,adult,dead,idea,lack,food,new,look,commission,start,spot,large,lab,u.,test,site,related,tiny,simply,long,stay,animal,keep,weather,away,closely,bring,stress,include,behavior,degree,underwater,use,news,eat,Largemouth_Bass_Virus,Texas,Lake_Weir,cold_blooded,traveler,wear,mask,sight,airport,throughout
,27,27,27,11,11,9,9,9,8,7,7,7,6,6,6,6,6,6,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1
"January 20, 2003, Monday",25 of 91 DOCUMENTS,The Tampa Tribune (Florida),FAST FORWARD,Kurt Loft,"NATION/WORLD, Pg. 6",,470 words,,,"January 23, 2003",ENGLISH,,,,,,,Copyright 2003 Times Publishing Company                               All Rights Reserved
,bear,polar,ice,show,answer,warming,disappear,animal,melting,climate,prediction,derocher,lot,sea,survive,world,make,energy,question,p.m.,give,need,program,event,call,moon,rotation,Arctic,sea_ice,Tampa,unless,pace,global,slow,within,century,university,expert,ecosystem,know,time,trouble,new,research,primary,habitat,much,faster,scientist,believe,biologist,massive,change,distribution,correct,certainly,lose,area,currently,rely,use,pass,forest,den,hunt,grounds,prey,seal,"15,000",northern,accounting,total,population,matter,worse,accelerate,positive,feedback,loop,act,reflector,solar,ocean,absorb,heat,turn,prevent,freezing,initiate,cycle,urgency,issue,deep,thought,1938,fishing,boat,dredge,live
,7,6,5,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 11, 2003, Tuesday",29 of 91 DOCUMENTS,The Tampa Tribune (Florida),Across the Region,A staff report; ELIZABETH LEE BROWN; YVETTE C. HAMMETT; KARLAYNE R. PARKER; DONNA KOEHN; A STAFF REPORT; NATASHIA GREGOIRE; RICK BARRY,"METRO, Pg. 2",,1299 words,,,"February 13, 2003",ENGLISH,,,,,,,Copyright 2003 Times Publishing Company                               All Rights Reserved
,family,p.m.,bust,campus,position,area,service,place,event,call,child,create,thursday,include,new,people,plan,change,public,official,promotion,three,another,provide,care,feature,813,learn,reunion,crew,life,four,find,memorial,Carty,sensitive,land,proposal,sewer,line,rural,commission,make,within,county,remove,jr.,plaza,center,local,november,research,open,celebrate,improvement,strawberry,walk,program,plant,talk,fill,other,retirement,department,firefighter,support,relative,free,kinship,hope,march,information,apply,feb,show,television,present,reunit,mother,work,begin,volunteer,help,guillermoprieto,among,2001,die,erect,funeral,home,loss,tribute,Hillsborough_County,Lithia,TAMPA,University,Martin_Luther_King,School,USF
,7,6,6,6,6,5,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"April 3, 2003, Thursday",30 of 91 DOCUMENTS,The Tampa Tribune (Florida),A Safe Haven,"CLOE CABRERA, ccabrera@tampatrib.com; Reporter Cloe Cabrera can be reached at (813) 259-7656.","BAYLIFE, Pg. 1",,950 words,,,"April 7, 2003",ENGLISH,,,"PHOTO 4 (3C) Tribune photo by VICTOR JUNCO
(C) Pilar and Javier Forero say they have no regrets about fleeing Colombia after the life of son Mateo, now 6, was threatened. ""My children are going to grow up in a country where freedom and liberty are their fundamental rights,"" says Pilar, who holds daughter Abby. Forero family photo
(C) The Foreros were married in 1994 in Bogota, the capital of Colombia, where Javier owned a string of jewelry stores. They left in 2001. The Associated Press
(C) Many immigrants come to the United States to escape worse turmoil in their homelands, including Venezuela, where a bomb exploded in February outside the Colombian consulate. The Associated Press
Colombia residents protest escalating violence in their homeland in February after a car bomb killed 32 people in Bogota.",,,,Copyright 2003 Times Publishing Company                               All Rights Reserved
,country,war,live,home,violence,son,family,never,attack,daughter,United_States,despite,people,every,better,back,terrorist,Forero,Colombia,Puerto_Rico,immigrant,fleed,three,go,homeland,native,hope,relative,life,law,rob,kill,know,leave,own,fear,way,random,look,arrive,learn,work,child,sept,government,return,have,face,cope,climate,become,nothing,compare,threat,crime,emigrate,may,change,call,economy,february,rio,rights,future,time,decision,Iraq,Colombian,Bogota,drug_related,Otero,feel,secure,abductor,casually,dress,hold,automatic,rifle,snatch,vehicle,bustling,road,front,young,man,identification,demand,"50,000",pay,hour,buy,airline,ticket,spend,next,five,hide,grandmother
,10,9,8,8,6,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 9, 2003, Wednesday",31 of 91 DOCUMENTS,The Tampa Tribune (Florida),RAYS NOTEBOOK,CARTER GADDIS,"SPORTS, Pg. 6",,607 words,,,"April 11, 2003",ENGLISH,,,"PHOTO Tribune photo by MARK GUSS
Tampa Bay's Rey Ordonez dodges Orioles catcher Geronimo Gil to tie the game 6-6 in the sixth inning.
NOTES: RAYS NOTEBOOK BASEBALL",,,,Copyright 2003 Times Publishing Company                               All Rights Reserved
,hit,game,start,pitch,bat,ray,streak,make,season,have,play,rotation,minor,use,seven,Piniella,major_league,Vaughn,Crawford,starter,consecutive,pitcher,leave,last,inning,staff,major,lead,walk,time,improve,change,three,debut,spring,training,crawford,go,record,rookie,week,Rays,left_hander,Double_A,parque,quick,exit,st,seventh,ineffective,early,low,effort,open,remain,bench,mark,tuesday,7.33,issue,manager,willing,give,benefit,doubt,much,remember,regard,series,potent,offense,inside,warm,help,number,throw,area,need,plan,stick,current,april,right,bugaboo,put,undue,pressure,fine,young,man,continue,immediately,least,leaguer,might,able,way,thing,allow
,11,10,5,5,5,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
