PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"November 14, 2005 Monday",1 of 81 DOCUMENTS,The Tampa Tribune (Florida),Breaking The Ice,"KURT LOFT, kloft@tampatrib.com",NATION/WORLD; Pg. 10,,679 words,,,"November 30, 2005",ENGLISH,,,"PHOTO 5 U.S. Coast Guard photos Researchers spent six weeks collecting data on the Arctic ecosystem, and observed a polar bear feasting on a seal. The crew of the Healy takes a break on the ice, basking in the relative warmth of 10 degrees Fahrenheit. Arctic summers are much warmer than winters, but temperatures can still freeze deck ropes solid. (2) The U.S. Coast Guard icebreaker Healy and the Swedish vessel Oden make the arduous trip through the ice of the Arctic Ocean's Canadian Basin, where they encountered pancake ice, below. The journey was to study how receding ice could affect global climate patterns.",,,Newspaper,Copyright 2005 Times Publishing Company                               All Rights Reserved
,ice,summer,region,ship,sea,climate,floe,degree,wind,Arctic,Swift,factor,global,heavy,often,temperature,long,break,Arctic_Ocean,scientist,receding,become,pattern,loft,tampatrib.com,change,healy,better,understand,ocean,make,slowly,chill,cover,retreat,trip,thick,early,crew,dip,fahrenheit,big,slow,might,affect,solar,energy,absorb,may,large,greenhouse,gas,side,compression,icebreaker,Oden,Earth,exploring,remote,kloft,pair,recently,voyage,top,world,study,traverse,coast,guard,vessel,plow,dense,sheet,effort,role,system,much,research,take,compile,publish,thing,immediately,clear,lose,indication,retreate,rate,percent,per,decade,team,member,researcher,near,still,continue,trend,remarkable
"June 28, 2005 Tuesday",15 of 81 DOCUMENTS,The Tampa Tribune (Florida),LETTERS,,NATION/WORLD; Pg. 10,,1055 words,,,"June 30, 2005",ENGLISH,,,,,,Newspaper,Copyright 2005 Times Publishing Company                               All Rights Reserved
,time,know,june,problem,we,people,feel,regard,solve,man,evil,detail,city,drilling,country,century,read,do,go,program,support,mayor,pork,global_warming,Florida,reality,front,page,oil,system,crime,article,little,child,act,sorry,anyone,need,seek,mother,never,accuse,pure,human,believe,three,among,alive,give,news,stop,editorial,opinion,action,pollution,consider,bill,appear,environmental,actually,attempt,heating,cool,conditioning,air,process,make,federal,irresponsible,letter,million,office,representative,Mark_Lunsford,Market_Approach_To_Clean_Air,Climate_Stewardship_Act,Congress,Tampa_Tribune,ignore,course,drill,dependence,addiction,build,highway,road,congestion,lousy,education,cheap,citizen,leader,learn,daunting,challenging,florida,grip,fact,longer
,7,6,5,5,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 16, 2005 Wednesday",16 of 81 DOCUMENTS,The Tampa Tribune (Florida),Tort Reform Backers Rally,"JEROME R. STOCKFISCH, jstockfisch@tampatrib.com",METRO; Pg. 4,,469 words,TALLAHASSEE,,"March 18, 2005",ENGLISH,,,"PHOTO Tribune photo by COLIN HACKLEY Gov. Jeb Bush, right, and House Speaker Allan Bense share a joke in the Capitol courtyard.",,,Newspaper,Copyright 2005 Times Publishing Company                               All Rights Reserved
,business,tort,reform,legal,system,bill,claim,Bush,respect,stockfisch,tampatrib.com,tuesday,rally,change,state,issue,frivolous,lawsuit,rights,owner,legislative,governor,case,make,call,need,empower,damage,property,litigation,stop,Lee,hand,jstockfisch,annual,grudge,match,right,sue,flare,gov,jeb,bush,tell,capitol,session,commonly,refer,traditionally,pit,capital,powerful,group,trial,lawyer,lobby,debate,versus,victim,preside,chamber,strong,republican,majority,staunch,support,series,address,appear,receptive,audience,certainly,courtyard,coalition,invite,heavyweight,entrepreneurial,heaven,however,add,thing,climate,representative,campaign,constant,erosion,individual,big,corporation,insurance,company,money,academy,executive,director,benefit,consumer,early,bless
,6,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 28, 2005 Monday",17 of 81 DOCUMENTS,The Tampa Tribune (Florida),FAST FORWARD,Kurt Loft,NATION/WORLD; Pg. 10,,415 words,,,"March 31, 2005",ENGLISH,,,PHOTO 2 (Bee) The Associated Press (Coral reef),,,Newspaper,Copyright 2005 Times Publishing Company                               All Rights Reserved
,reef,impact,coral,die,asteroid,vapor,rock,answer,University,threat,accord,death,pollution,little,action,extinction,residue,fireball,produce,droplet,hot,condense,expand,cool,number,people,week,end,march,stumper,name,chemical,take,silver,tampatrib.com,Chicago,Tampa,face,serious,survival,biologist,although,around,world,peril,coast,near,director,four,reason,overfish,climate,change,coastal,overdevelopment,degrade,rubble,seaweed,slime,single,reduce,fishing,restrict,tend,work,combine,address,level,help,reverse,steepen,trajectory,theory,scientist,explain,atmospheric,form,aftermath,million,ago,trigger,dinosaurs,study,publish,april,issue,journal,draw,detailed,picture,chemistry,consist,liquid,cloud,team,strike,rapidly,release,enormous
,6,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 9, 2005 Saturday",18 of 81 DOCUMENTS,The Tampa Tribune (Florida),No Sequel Needed For Storms Of '04,"TOM JACKSON, tjackson@tampatrib.com",PASCO; Pg. 1,,577 words,,,"July 12, 2005",ENGLISH,,,,,,Newspaper,Copyright 2005 Times Publishing Company                               All Rights Reserved
,storm,may,go,gulf,right,hour,tampatrib.com,season,watch,state,car,tree,we,batten,project,last,across,friday,yet,hint,Charley,Dennis,tjackson,apparently,back,land,cone,track,eye,wall,surge,wonder,worry,arrive,earnest,prospect,torture,tropical,system,within,sequel,nobody,soaking,hammer,thanks,enough,testament,meteorological,fury,promise,repent,board,window,ok,guy,condominium,beach,everybody,hybrid,robert,levesque,phone,stick,fuel,cell,motor,little,space,shuttle,pulse,everyone,change,hugger,anymore,press,question,wobbly,crowd,end,concert,stagger,keep,gue,path,need,remind,remember,stunt,veer,sharply,east,pummel,florida,landfall,around,landing,1985,stall,three
,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 8, 2005 Tuesday",20 of 81 DOCUMENTS,The Tampa Tribune (Florida),Hurricane Forecasters Say Season To Be Busy,"NEIL JOHNSON, njohnson@tampatrib.com",METRO; Pg. 1,,588 words,TAMPA,,"March 10, 2005",ENGLISH,,,PHOTO CHART Colorado State University Professor William Gray says conditions are right for more Atlantic storms.,,,Newspaper,Copyright 2005 Times Publishing Company                               All Rights Reserved
,storm,hurricane,season,forecast,tropical,number,hit,predict,major,six,wind,Tropical_Storm_Risk,2005,active,become,average,reach,base,issue,four,form,condition,normal,gray,Saunders,Florida,tampatrib.com,forecaster,agree,best,call,grow,mph,less,group,expect,strike,last,climate,water,warmer,pattern,favor,increase,activity,slightly,may,prepare,2004,United_States,National_Hurricane_Center,njohnson,know,generate,exceed,111,nine,strength,cheery,outlook,start,1998,eight,category,higher,unlike,similar,lead,scientist,country,record,dating,1950,compare,main,indicate,june,nov,high,atmosphere,blowing,east,west,weaker,make,better,formation,strengthen,help,create,spin,saunder,ripe,think,decade,change,though,offer,different
,21,18,13,8,6,6,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 22, 2005 Friday",21 of 81 DOCUMENTS,The Tampa Tribune (Florida),Academic Freedom Bill Faces Skeptics,"GARY HABER, ghaber@tampatrib.com",METRO; Pg. 3,,581 words,TALLAHASSEE,,"April 25, 2005",ENGLISH,,,PHOTO The Associated Press Florida International University Professor Martha Palaez and Rep. Dennis Baxley chat after a meeting Thursday with university presidents. In the background is IUF Professor Howard Rock. Universities really do believe we're the marketplace of ideas on all ends of the spectrum. JOHN CAVANAUGH President of SUPA and the University of West Florida,,,Newspaper,Copyright 2005 Times Publishing Company                               All Rights Reserved
,student,Baxley,president,conservative,professor,university,state,view,bill,tell,governor,political,grade,think,former,Board,Wetherell,make,haber,tampatrib.com,baxley,rights,college,people,climate,association,hear,talk,law,might,reporter,may,give,open,debate,address,speak,poor,member,need,issue,Florida_State_University,FSU,pitch,chief,ghaber,rep.,dennis,case,thursday,run,school,lean,far,leave,often,ridicule,sponsor,837,guarantee,base,religious,belief,require,present,broad,range,ideological,across,discriminate,opinion,diversity,quota,lopsided,warm,reception,acknowledge,pass,long,shot,life,support,feed,tube,republican,decline,identify,leftist,take,control,christians,especially,target,fit,profile,help,nobody,defend,campus
,11,10,9,7,7,6,5,5,5,5,4,4,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 1, 2005 Wednesday",22 of 81 DOCUMENTS,The Tampa Tribune (Florida),Landscapers Want Rules Pared,"KEVIN WIATROWSKI, kwiatrowski@tampatrib.com",PASCO; Pg. 1,,424 words,NEW PORT RICHEY,,"June 3, 2005",ENGLISH,,,,,,Newspaper,Copyright 2005 Times Publishing Company                               All Rights Reserved
,ordinance,county,landscaper,landscaping,landscape,people,plant,Pasco,take,tampatrib.com,resident,law,find,little,rule,project,developer,spend,acre,develop,go,inspector,change,Naples,Mariano,critic,kwiatrowski,richey,tuesday,afternoon,criticize,praise,across,hillsborough,architect,horticulturist,offer,vent,frustration,concern,favor,among,many,must,work,write,2002,soften,hard,edge,runaway,development,curb,water,use,time,dring,though,interpreting,enforcing,raise,price,tags,hackles,number,seek,exemption,double,2003,2004,result,really,onerous,owner,custom,cabinet,"98,000",plan,"36,000",rest,land,cost,"250,000",complicate,matter,trouble,list,acceptable,survive,climate,chief,criticism,rigidity,way,spell,specific,size,placement,leave
,8,8,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 10, 2005 Sunday",23 of 81 DOCUMENTS,The Tampa Tribune (Florida),"Ill-Mannered Storms Cries ""Liar! Liar!"" Much Too Much",,COMMENTARY; Pg. 2,,730 words,,,"July 12, 2005",ENGLISH,,,"PHOTO 2 CHART (Ronda Storms) MSNBC via News Channel 8 During an appearance on MSNBC, Ronda Storms (right) wrongly accused Nadine Smith, executive director of the gay-rights group Equality Florida, of lying. Show host Ron Reagan chided Storms for her language, saying, ""Let's not call names, now.""",,,Newspaper,Copyright 2005 Times Publishing Company                               All Rights Reserved
,lie,call,Ronda_Storms,people,liar,tell,expect,name,we,storm,time,speech,let,web,site,way,county,know,office,show,represent,another,position,stop,opponent,citizen,leader,ask,tax,bad,behavior,public,2004,right,free,honor,debate,norm,national,search,go,oct,2002,foe,climate,commission,express,approach,dialogue,truth,tone,normal,abuser,may,Hillsborough_County,liar_liar,accuse,someone,make,claim,television,poorly,talk,local,website,misrepresented,gays,ban,suggest,validity,rely,elect,tough,question,guard,money,bulldog,challenge,fact,spin,caller,pollute,discourse,label,turn,friend,march,flag,burn,protect,amendment,inalienable,worth,fight,repugnant,cherish,freedom,honest,unvarnished
,10,8,7,6,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 24, 2005 Saturday",25 of 81 DOCUMENTS,The Tampa Tribune (Florida),Developer Rethinks Ballyhooed Condo Plan,"SHANNON BEHNKEN, sbehnken@tampatrib.com",MONEYSENSE; Pg. 1,,589 words,TAMPA,,"September 30, 2005",ENGLISH,,,MAP Tribune map 02 CONDOMINIUMS,,,Newspaper,Copyright 2005 Times Publishing Company                               All Rights Reserved
,project,union,construction,condo,labor,condominium,plan,building,build,02,Morris,cost,property,include,developer,hope,gulf,worker,Corvus,tampatrib.com,rise,find,development,know,much,tower,next,go,joint,partner,another,sell,may,climate,company,site,make,require,part,pension,dee,president,coast,trade,council,area,job,acre,work,start,Pinnacle_Place,DeBose,cite,sbehnken,pressure,change,scope,o2,image,marketing,association,retool,several,direction,deal,tim,morris,chief,executive,officer,probably,possibly,hotel,spread,financial,risk,option,stake,downsize,refund,deposit,people,buy,unit,pretty,tough,whose,birmingham,mich,sure,deliver,quality,twin,redesign,recommendation,federal,aviation,administration,lower
,12,11,7,7,6,6,6,4,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 12, 2005 Monday",26 of 81 DOCUMENTS,The Tampa Tribune (Florida),A Vision Renewed,"CANDACE J. SAMOLINSKI, csamolinski@tampatrib.com",NATION/WORLD; Pg. 1,,2387 words,,,"August 14, 2006",ENGLISH,,,PHOTO 15 CHART MAP .,,,Newspaper,Copyright 2005 Times Publishing Company                               All Rights Reserved
,city,photo,redevelopment,plan,area,street,Temple_Terrace,resident,shopping,56th,center,percent,go,build,home,along,business,people,community,temple,downtown,family,think,new,place,town,include,tribune,traffic,effort,design,development,look,building,live,group,council,Terrace_Plaza,Bondi,create,terrace,south,district,give,buy,government,way,walk,residence,upscale,reach,project,credit,Bullard_Parkway,wealthy,civic,many,find,director,face,may,use,1922,time,office,proposal,police,tenant,window,need,300,million,referendum,revitalization,store,change,muslim,north,make,housing,involved,whether,different,population,phase,c.,mundy,Tampa_Bay,Naples,scaled_down,Hillsborough_River,CANDACE,surround,hope,dream,found,samolinski,tampatrib.com,later
,29,21,19,17,16,13,13,12,11,11,10,10,9,8,8,8,8,7,7,7,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2
"March 7, 2005 Monday",30 of 81 DOCUMENTS,The Tampa Tribune (Florida),Prepare Now For '05 Storm Season,"CARL ORTH, The Suncoast News",PASCO; Pg. 10,,439 words,NEW PORT RICHEY,,"March 10, 2005",ENGLISH,,,,,,Newspaper,Copyright 2005 Times Publishing Company                               All Rights Reserved
,people,Baker,time,hurricane,home,four,resident,supplies,season,disaster,window,week,damage,urge,begin,2005,install,shutter,item,emergency,might,contractor,need,weather,storm,remain,wind,county,pasco,without,kit,visit,meeting,task,force,Pasco,Florida,orth,new,port,richey,proverbial,ant,prepare,hard,grasshopper,play,smart,ready,atlantic,though,three,away,example,gather,director,management,wait,officially,start,june,find,many,already,book,job,protection,typically,lead,measure,order,material,typical,replacement,project,take,five,accord,news,release,manufacturer,custom,door,patio,room,pattern,help,steer,six,across,august,september,intact,caution,high,warm,trade,gulf,stream
,6,6,4,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 20, 2005 Wednesday",31 of 81 DOCUMENTS,The Tampa Tribune (Florida),Hudson's Ladimir Resigns,"JOEY KNIGHT, jknight@tampatrib.com",PASCO; Pg. 12,,240 words,HUDSON,,"April 23, 2005",ENGLISH,,,PHOTO Ron Ladimir,,,Newspaper,Copyright 2005 Times Publishing Company                               All Rights Reserved
