PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"January 22, 2016 Friday",1 of 94 DOCUMENTS,The Tampa Tribune (Florida),"A look at our frightened, fragmented world in one map",Mark Gilbert; Bloomberg View,NATION & WORLD; Views; Pg. 13,,540 words,,,"January 22, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 Times Publishing Company                               All Rights Reserved
,world,risk,threat,worry,survey,global,top,failure,climate,change,WEF,terrorism,though,regional,accord,economic,way,environmental,likely,crisis,involuntary,migration,dominate,weather,refuge,threaten,result,mitigation,give,good,temperature,large_scale,state,plenty,anxious,moment,pandemic,disturbing,splinter,basis,11th,edition,annual,report,produce,forum,deem,troubling,hope,leader,eliminate,almost,750,expert,draw,business,academia,civil,society,public,sector,rank,respondent,ask,view,likelihood,impact,divide,five,category,societal,technological,geopolitical,seem,geographically,disperse,arguably,reflect,truism,politics,local,americans,hack,recent,company,include,extramarital,affair,website,put,cyber,attack,anxiety,menu,peril,endure,kleptocracy,corruption,make
"April 22, 2016 Friday",7 of 94 DOCUMENTS,The Tampa Tribune (Florida),There are no sidelines in the fight against climate change,KATHLEEN ROGERS; Special to The Tampa Tribune,NATION & WORLD; Views; Pg. 13,,730 words,,,"April 22, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 Times Publishing Company                               All Rights Reserved
,mean,world,agreement,climate,every,community,law,make,earth,environmental,citizen,action,leader,Earth,protest,soon,remain,government,many,recognize,take,sign,change,work,green,million,effect,city,single,largest,history,health,pollution,pass,include,provision,fail,other,role,people,global,warming,emission,must,call,support,we,fossil,fuel,clear,hope,alone,thing,hard,demand,job,power,United_Nations,commentary,april,1970,americans,hit,street,100,uncontrol,industrial,development,intend,college,campus,spread,across,secular,event,sheer,size,along,increase,visual,evidence,dire,threat,associate,air,toxic,force,toughest,allow,sue,enforce,rights,enshrine,major,point,spawn,around,stringent,enforcement
,9,8,8,7,5,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 3, 2016 Sunday",8 of 94 DOCUMENTS,The Tampa Tribune (Florida),Broaden 'hit list' to [#x2028]include other pollutants,VEERABHADRAN RAMANATHAN AND DANIEL PRESS Los Angeles Times,VIEWS; Pg. 27,,658 words,,,"January 3, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 Times Publishing Company                               All Rights Reserved
,carbon,climate,curb,environmental,lever,dioxide,emission,warming,change,pollutant,percent,pull,SLCPs,slow,soot,time,cut,we,air,HFCs,California,must,2050,major,remain,atmosphere,neutrality,degree,many,hit,toward,methane,case,global,put,real,reduce,2030,next,need,technology,world,slcp,already,pollution,million,act,professor,science,Paris,short_lived,chemical,among,scientist,consensus,become,avoid,catastrophic,disruption,negotiator,recent,summit,accordingly,focus,problem,however,strategy,century,abandon,fossil,fuel,overnight,simply,good,enough,keep,earth,generally,limit,much,less,ambitious,goal,1.5,celsius,nation,support,serious,prevent,least,broaden,list,move,restrict,ozone,hydrofluorocarbon,coolant,"4,000",potent
,10,7,6,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 8, 2016 Friday",10 of 94 DOCUMENTS,The Tampa Tribune (Florida),"December's wild weather vies for variety of records; Heat, moisture and other extremes marked extraordinary month",SETH BORENSTEIN; The Associated Press,NATION & WORLD; NationWorld; Pg. 4,,354 words,WASHINGTON,,"January 8, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 Times Publishing Company                               All Rights Reserved
,december,climate,el,niño,degree,change,record,warming,U.S.,push,weather,big,United_States,NOAA,heat,second,warmest,wettest,average,bring,scientist,world,rain,heavy,warmer,inch,near_record,wild,2015,level,moisture,downright,extreme,condition,federal,official,thursday,end,third,121,lower,state,announce,54.4,last,2012,combination,plus,clearly,weirdly,memorable,highly,unusual,quite,troubling,influence,beginning,statistic,globally,almost,certain,hottest,exact,figure,later,emblematic,monitor,chief,live,event,press,conference,much,spring,summer,factor,temperature,normal,november,take,supercharge,global,effect,turn,meteorology,professor,outside,natural,central,pacific,worldwide,occur,every,seven,noticeable,affect,downpours,california,go
,6,6,4,4,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 10, 2016 Wednesday",11 of 94 DOCUMENTS,The Tampa Tribune (Florida),Make climate change a priority,,NATION & WORLD; Views; Pg. 22,,178 words,,,"February 10, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 Times Publishing Company                               All Rights Reserved
,climate,change,clean,energy,Florida,address,need,solution,sen,particularly,impact,rise,seas,lod,have,learn,anything,observe,presidential,campaign,thus,far,party,opposite,end,spectrum,press,economic,environmental,crisis,time,republican,candidate,ignore,refuse,offer,marco,rubio,failure,acknowledge,act,disappointing,official,hometown,already,scrambling,offset,democrat,hand,embraced,hillary,pledge,transition,percent,economy,2030,bernie,sander,put,forth,detailed,plan,reduce,dependence,pollute,fossil,fuel,expand,coastline,vulnerable,hope,voter,make,priority,casting,ballot,next,primary,beyond,maya,goss,tampa,HIGHLIGHT,Miami,Clinton
,5,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 27, 2016 Saturday",12 of 94 DOCUMENTS,The Tampa Tribune (Florida),Questionable efforts to combat climate change beyond Paris,Markos Kounalakis; The Sacramento Bee,NATION & WORLD; Views; Pg. 15,,720 words,,,"February 27, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 Times Publishing Company                               All Rights Reserved
,country,develop,power,Germany,carbon,world,climate,policy,emission,nuclear,change,advocate,case,agreement,cut,percent,plant,economic,export,Paris,German,lead,accord,volkswagen,scandal,accept,evidence,include,citizen,past,try,energy,turn,catch,plan,seem,less,need,emit,solar,nearly,recently,nation,act,environmental,goal,industrial,rule,way,vw,standard,auto,complicit,test,project,modern,miracle,France,European,fun,long,confront,ameliorate,action,speak,louder,word,signature,international,recent,latest,hypocrisy,meeting,last,december,around,globe,finally,recognize,generally,scientific,real,responsibility,something,much,fanfare,195,sign,pledge,hit,target,drop,keep,age,earth,experience,many,hot,flash
,8,7,7,7,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 3, 2016 Tuesday",14 of 94 DOCUMENTS,The Tampa Tribune (Florida),Why we fear spiders and snakes more than climate change,Mark Buchanan; Bloomberg View,NATION & WORLD; Views; Pg. 21,,528 words,,,"May 3, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 Times Publishing Company                               All Rights Reserved
,change,people,climate,human,think,suggest,far,percent,brain,task,economist,nearly,spider,though,present,threat,psychologist,argue,much,behavior,study,ancient,need,future,paper,problem,way,put,mental,ross,around,target,social,effective,show,save,use,energy,already,donate,default,opt,U.S.,tend,fear,snake,electrical,socket,firework,latter,greater,danger,might,help,explain,hard,time,evolutionary,understand,ancestor,history,live,small,group,evolve,handle,specific,recognize,quickly,poisonous,reptile,emotion,intention,betrayed,facial,expression,kind,rational,weigh,payoff,develop,recently,last,existence,ultimate,recent,psychology,professor,team,biologist,together,nature,make,impossible,we,exercise,foresight,intelligence,diagnose
,6,5,4,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 7, 2016 Thursday",15 of 94 DOCUMENTS,The Tampa Tribune (Florida),SECTION: NATION & WORLD; Views; Pg. 22,,,,872 words,,,"January 7, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 Times Publishing Company                               All Rights Reserved
,people,tax,new,view,every,change,carbon,regard,talk,president,create,country,spend,we,happy,without,still,work,proof,jan,climate,find,letter,rhetoric,obama,assault,weapon,control,pass,state,toward,second,savoring,moment,live,life,never,hurt,time,business,search,make,promise,know,family,heart,city,bloomberg,establish,idea,politician,longer,scientist,try,struggle,use,imperialistic,believe,drive,world,loose,unintended,consequence,true,Obama,Chicago,Republican_Party,Donald_Trump,sticker,disarm,revolution,passively,push,ban,magazine,restriction,paperwork,restrict,citizen,comply,law,nothing,shooting,zone,keep,criminal,obtain,illegal,favor,unequivocally,total,disarmament,gun,confiscation,treaty,point,old,inflammatory,amendment
,6,6,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 2, 2016 Saturday",18 of 94 DOCUMENTS,The Tampa Tribune (Florida),Revenue-neutral carbon tax needed,Bloomberg View,NATION & WORLD; Views; Pg. 16,,326 words,,,"January 2, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 Times Publishing Company                               All Rights Reserved
,tax,carbon,revenue_neutral,voter,make,put,favor,cut,use,change,Washington,state,strategy,revenue,energy,emission,price,fuel,fight,climate,2016,chance,enact,sure,provide,good,example,adopt,smartest,policy,broadest,bipartisan,appeal,organization,gather,"350,000",signature,vote,long,measure,return,money,generate,income,corporate,unfortunately,many,supporter,feel,strongly,new,investment,clean,education,social,program,undercut,powerful,argument,everyone,problem,regardless,political,philosophy,effort,lower,undertake,least,partisan,manner,possible,encourage,efficiency,cleaner,do,without,suck,eternal,debate,proper,size,scope,government,sidestep,controversy,focus,essential,goal,second,advantage,transparency,enable,politician,less,opportunity,reward,constituency,easier,assure
,11,8,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 8, 2016 Friday",21 of 94 DOCUMENTS,The Tampa Tribune (Florida),SECTION: NATION & WORLD; Views; Pg. 14,,,,788 words,,,"January 8, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 Times Publishing Company                               All Rights Reserved
,fire,team,carry,thing,hire,coach,regard,climate,need,owner,sense,firearm,state,conceal,relationship,study,win,list,system,last,tell,buc,part,go,saturate,town,clear,benefit,movement,public,safety,professor,find,crime,rate,increase,receive,note,open,can,include,pollutant,jan,consist,every,base,prove,change,always,weather,cronyism,take,back,education,right,future,hope,grow,know,nothing,smith,Jackson,so_called,Florida,Tony_Dungy,Super_Bowl,Bucs,letter,thicket,demand,feed,resolution,dec.,tom,jackson,display,urgency,across,line,though,country,additional,reciprocity,fail,ideological,little,fact,d.,phillips,actual,permit,exhaustive,publish,journal,criminology,although,trend,early,1990
,6,6,5,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 18, 2016 Thursday",22 of 94 DOCUMENTS,The Tampa Tribune (Florida),Earth sets 9th straight monthly record for heat; Regions near Arctic at least 9 degrees warmer than normal,SETH BORENSTEIN; The Associated Press,NATION & WORLD; NationWorld; Pg. 25,,383 words,WASHINGTON,,"February 18, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 Times Publishing Company                               All Rights Reserved
,record,january,normal,ice,temperature,sea,degree,NOAA,set,fahrenheit,accord,climate,heat,square,mile,NASA,Arctic,string,reach,nine,margin,last,average,global,part,warming,scientist,time,center,february,el,niño,tie,change,Earth,Blunden,figure,row,stand,highest,2016,another,lowest,point,winter,2.03,calculate,differently,1.87,second,biggest,history,greatest,past,december,55.5,easily,beat,old,2007,go,back,1880,patch,overwhelmed,incredible,region,northwest,lot,least,warmer,low,grow,arctic,5.2,million,"90,000",previous,2011,data,"402,000",size,combine,less,consecutive,hot,match,june,1997,1998,large,still,behind,straight,1944,likely,current,occasional,natural
,12,9,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 28, 2016 Monday",23 of 94 DOCUMENTS,The Tampa Tribune (Florida),EPA mileage mandate means drivers will save big,MICHAEL E. KRAFT; Tribune News Service,NATION & WORLD; Views; Pg. 11,,642 words,,,"March 31, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 Times Publishing Company                               All Rights Reserved
,new,economy,standard,fuel,vehicle,rule,benefit,car,improve,cost,auto,buyer,well,gain,company,model,2016,2025,gas,consumer,change,related,estimate,impact,anticipate,technology,savings,automaker,develop,greenhouse,emission,truck,efficiency,value,gasoline,incentive,tax,pay,direct,financial,indirect,climate,depend,analysis,far,substantial,public,health,energy,agency,regulatory,time,billion,many,encourage,SUVs,epa,2010,2012,administration,negotiate,agreement,passenger,average,34.5,mile,per,gallon,54.5,mpg,set,limit,anyone,drive,newer,help,notice,represent,biggest,jump,federal,introduction,1975,yet,greatly,diminish,maintain,current,preference,light,presumably,decision,reflect,currently,low,price,give,minimal,choose
,9,8,8,7,7,7,7,6,6,6,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 23, 2016 Saturday",25 of 94 DOCUMENTS,The Tampa Tribune (Florida),175 nations sign landmark Paris deal on climate change; Agreement is seen as a key step toward emissions reduction,EDITH M. LEDERER and CARA ANNA; The Associated Press,NATION & WORLD; NationWorld; Pg. 4,,319 words,UNITED NATIONS,,"April 23, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 Times Publishing Company                               All Rights Reserved
,country,agreement,enter,force,Paris_Agreement,sign,friday,state,join,world,leader,climate,deal,take,signing,set,many,time,formally,domestic,procedure,carbon,global,emission,175,change,landmark,key,step,forward,potentially,ahead,schedule,secretary,hold,young,granddaughter,dozen,ceremony,record,international,diplomacy,never,available,race,ban,tell,gather,era,consumption,without,consequence,expect,long,original,deadline,2020,happen,after,must,approve,several,small,island,threat,rise,seas,deposit,instrument,ratification,china,top,emitter,announce,finalize,ratify,summit,september,absolutely,intend,watch,anxiously,analyst,president,leave,office,january,complicated,successor,withdraw,four,rule,represent,least,percent,target,reduce,dioxide,greenhouse
,6,6,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 20, 2016 Sunday",26 of 94 DOCUMENTS,The Tampa Tribune (Florida),"Beyond record hot, February was 'staggering'; Earth reached new levels of heat, worrying scientists",SETH BORENSTEIN; The Associated Press,NATION & WORLD; NationWorld; Pg. 19,,577 words,WASHINGTON,,"March 20, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 Times Publishing Company                               All Rights Reserved
,record,temperature,february,scientist,new,degree,last,climate,2016,NOAA,global,old,normal,average,land,Blunden,Arctic,Arndt,hot,federal,astronomical,stagger,strange,move,hotter,neighborhood,break,monthly,el,niño,warming,start,set,december,use,different,team,departure,beat,atmosphere,low,sea,ice,email,look,graph,thing,chief,usually,reminder,Earth,above_normal,NASA,struggle,find,word,describe,warn,may,part,drumbeat,straight,heat,trigger,super,obliterate,mark,margin,meteorologist,keep,track,1880,accord,three,statistical,technique,well,university,private,measure,satellite,biggest,56.08,fahrenheit,2.18,2015,nearly,figure,grasp,superlative,consider,ocean,upper,lower,everything,everywhere,except,insane,reach
,13,7,7,6,6,6,5,5,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 27, 2016 Wednesday",27 of 94 DOCUMENTS,The Tampa Tribune (Florida),Biodiesel fans say it's just good business [JUMP]Conferencegoers: It's a smart investment and helps the environment; Conferencegoers: It's a smart investment and helps the environment,YVETTE C. HAMMETT Tribune staff,METRO; Business; Pg. 15,,600 words,,,"January 27, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 Times Publishing Company                               All Rights Reserved
,carbon,credit,biodiesel,industry,gas,state,time,diesel,price,grow,opportunity,make,sell,oil,use,business,believe,Neal,tough,alternative,form,fuel,nation,sort,proponent,cut,greenhouse,producer,blend,fat,add,percent,planet,find,reduction,ignore,million,gallon,part,revenue,climate,change,conservative,reddest,republice,org,science,energy,new,record,Florida,National_Biodiesel_Board,California,Inglis,people,excited,low,half,require,future,mean,money,sink,difficult,whip,excitement,fossil,exponentially,decade,especially,tax,program,place,emission,"1,000",marketer,distributor,other,gather,week,learn,hurdle,face,ripe,pick,production,entrepreneur,ready,cash,emerge,good,put,ship,plus,obligate,party,power,plant,need
,12,7,7,7,5,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 28, 2016 Sunday",28 of 94 DOCUMENTS,The Tampa Tribune (Florida),While Obama fiddles,,VIEWS; Pg. 32,,776 words,WASHINGTON,,"February 28, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 Times Publishing Company                               All Rights Reserved
,Iran,China,Russia,Obama,last,go,matter,state,another,power,response,course,obama,climate,change,American,U.S.,Syria,Cuba,world,land,dispute,far,battery,island,create,facility,decade,war,regime,collapse,wave,secretary,week,agreement,send,weapon,major,advance,nuclear,billion,deal,strategic,hard,reach,visit,ever,indeed,know,really,South_China_Sea,anti_aircraft,East_Asia,Russian,Middle_East,Paris,Kerry,speck,sovereignty,border,install,station,fighter,jet,plane,artificial,chain,claim,function,forward,basis,challenge,seven,naval,dominance,clearly,militarize,commander,pacific,tell,tuesday,goal,hegemony,intervention,turn,tide,rescue,relentless,bombing,destroy,rebel,stronghold,largest,city,massive,new,refuge,demonstrating,entire
,7,5,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 11, 2016 Friday",30 of 94 DOCUMENTS,The Tampa Tribune (Florida),"THE BATTLE FOR FLORIDA Clinton, Sanders make their case to supporters in Tampa",CHRISTOPHER O'DONNELL Tribune staff,NATION & WORLD; Metro; Pg. 1,,1384 words,,,"March 11, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 Times Publishing Company                               All Rights Reserved
