PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"December 15, 2004 Wednesday",3 of 89 DOCUMENTS,The Tampa Tribune (Florida),Colder Weather Brings Fish Seeking Warmth,"FRANK SARGEANT, fsargean@tampabay.rr.com",SPORTS; Pg. 2,,732 words,,,"December 17, 2004",ENGLISH,,,,,,Newspaper,Copyright 2004 Times Publishing Company All Rights Reserved
,water,fish,winter,temperature,warmer,bay,snook,area,north,degree,stay,shore,river,wind,flat,fact,low,around,black,inside,spring,outflow,red,catch,plant,warm,captain,grouper,seminar,many,gauge,cold,december,monday,record,outside,bar,school,lot,deep,heat,sink,gather,mangrove,snapper,largemouth,bass,find,affect,along,bottom,common,big,stack,protect,near,power,world,thursday,813,sargeant,fsargean,tampabay.rr.com,angler,depend,amazing,array,electronics,range,position,radar,underwater,television,camera,sonar,yard,either,side,tool,make,enough,use,however,simple,thermometer,show,wide,spread,time,species,sensitive,include,follow,tourist,head,interstate,south,night,strong
"December 3, 2004 Friday",7 of 89 DOCUMENTS,The Tampa Tribune (Florida),No Walk In The Park Bay Area 2nd-Worst In Pedestrian Safety,"DONNA KOEHN and STEPHEN THOMPSON, The Tampa Tribune",NATION/WORLD; Pg. 1,,1273 words,TAMPA,,"December 6, 2004",ENGLISH,,,"PHOTO CHART Tribune photo by JASON BEHNKEN Johnnie Mae Garner, 78, says she sometimes has to wait 10 minutes in the median before she can safely cross Progress Boulevard in Tampa.",,,Newspaper,Copyright 2004 Times Publishing Company All Rights Reserved
,pedestrian,road,people,safety,area,way,Tampa,Florida,street,traffic,state,walk,report,light,use,make,right,thing,improve,give,dangerous,clearwater,rank,older,die,accord,study,cross,red,safe,horrible,need,decline,rate,call,nationwide,plan,fatality,example,crosswalk,charge,place,director,reporter,Michaels,law,thompson,transportation,national,nation,progress,boulevard,several,take,slowly,walker,wait,median,across,think,figure,number,danger,raton,group,impair,try,intersection,stop,without,motorist,instead,iorio,sidewalk,public,something,task,force,change,look,downs,city,list,county,age,percent,compare,texas,calif,va.,reach,Tampa_Tribune,Surface_Transportation_Policy_Project,West_Palm,Beach_Boca,Pinellas_County,Bayshore,Hagelin,U.S.
,19,7,7,7,6,6,6,6,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"May 9, 2004 Sunday",11 of 89 DOCUMENTS,The Tampa Tribune (Florida),Big Country,"Stories and photos by ANDY SCHRADER, Tribune correspondent",TRAVEL; Pg. 1,,1449 words,"BIG BEND NATIONAL PARK, Te",,"July 24, 2004",ENGLISH,,,"PHOTO 4 MAP Tribune map by TIM LEE Big Bend National Park (2) Prickly pear cactuses are nature's way of saying ""high voltage"" for those who dare to stray too close to the plants at Big Bend National Park in Texas. They're one of about 60 species of cactuses thriving throughout the mountains and desert that comprise the park's 800,000 acres. Amy Mowat, right, works as a law enforcement ranger in the park with her dog, Anet. Photo by ANDY SCHRADER The Rio Grande snakes along the southern border of Big Bend National Park, as seen from the 1.5-mile Boquillas Canyon trail.",,,Newspaper,Copyright 2004 Times Publishing Company All Rights Reserved
,park,desert,bend,mountain,big,mile,drive,look,national,trail,change,seem,species,way,go,lot,road,hike,tell,walk,though,full,long,top,river,find,climb,within,wilderness,hold,solitude,away,ranger,sand,dark,side,never,landscape,still,cactuse,prickly,pear,area,back,hill,make,near,campsite,stay,around,time,take,picture,information,Texas,Alaska,Rio_Grande,home,story,photo,food,100,land,fact,another,person,rare,car,nothing,direction,bad,light,become,shrub,life,plant,bird,giant,range,cheaper,foot,minute,something,view,sleep,campground,popular,good,lady,metal,walker,think,suppose,may,else,needle,arm,imagine,people
,22,11,10,10,9,9,9,9,7,7,6,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"June 13, 2004 Sunday",12 of 89 DOCUMENTS,The Tampa Tribune (Florida),Tampa's Big Giver,"DIANE EGNER, degner@tampatrib.com",COMMENTARY; Pg. 1,,1966 words,,,"June 16, 2004",ENGLISH,,,"PHOTO Tribune file photo by JIM REED Don Wallace and Dan Lasseter of Lazydays RV SuperCenter east of Tampa designed the exclusive Crown Club campground for customers who have spent more than $250,000 on their luxury motor coaches. Don and Erika Wallace, president-elect of the board of directors at the Spring, a shelter for victims of domestic violence.",,,Newspaper,Copyright 2004 Times Publishing Company All Rights Reserved
,go,people,have,city,think,give,time,back,thing,make,million,business,really,opportunity,dad,employee,right,friend,know,start,Tampa,every,lot,happen,school,sale,today,company,community,face,change,issue,concerned,build,better,good,place,work,check,relationship,economy,feel,poor,family,stop,annual,billion,stock,favorite,talk,accomplish,can,dollar,yes,kid,anything,life,example,something,able,far,leave,take,plan,biggest,look,ought,live,grow,do,dead,always,treat,sell,goal,customer,a.,dumpster,home,put,grade,bless,farm,we,responsibility,Erika,Central_Park,tampatrib.com,wealthiest,key,recent,project,much,success,entrepreneurial,spirit,powder,radiator,quarter
,16,16,14,14,12,9,9,8,8,8,7,7,7,7,7,6,6,6,6,6,6,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2
"August 3, 2004 Tuesday",13 of 89 DOCUMENTS,The Tampa Tribune (Florida),War Between The States On Climate,,NATION/WORLD; Pg. 10,,550 words,,,"August 5, 2004",ENGLISH,,,,,,Newspaper,Copyright 2004 Times Publishing Company All Rights Reserved
,percent,state,company,emission,power,much,save,nation,suit,burn,coal,plant,carbon,dioxide,energy,cut,point,eight,federal,rest,public,nuisance,slow,help,global,gulf,change,climate,target,legal,serious,filing,cost,gas,every,action,everyone,many,produce,human,without,need,Wisconsin,fascinating,clash,geography,politics,file,lawsuit,ask,declare,urge,judge,mostly,warming,sue,include,owner,operate,attorney,general,five,big,put,air,damaging,health,might,affect,suggest,maneuver,political,stunt,attempt,planet,area,higher,blackout,common,perhaps,interstate,jealousy,involved,complain,offend,lose,spokesman,raise,rate,switch,costly,natural,use,drive,price,hurt,industry,law,break
,7,6,6,6,5,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 5, 2004 Tuesday",14 of 89 DOCUMENTS,Tampa Tribune (Florida),Musicians Hit Road In Support Of Kerry Campaign,"JON PARELES, The New York Times",BAYLIFE; Pg. 2,,653 words,PHILADELPHIA,,"October 8, 2004",ENGLISH,,,"PHOTO The Associated Press Bruce Springsteen, left, and R.E.M.'s Michael Stipe perform during a Vote for Change concert Sunday in Detroit. On Friday, Springsteen will headline in Orlando, one of six simultaneous tour stops in the state.",,,Newspaper,Copyright 2004 Times Publishing Company All Rights Reserved
,concert,tour,state,benefit,musician,people,rock,include,show,political,stand,think,Springsteen,Dixie_Chicks,Pearl_Jam,begin,friday,night,tonight,open,feature,six,simultaneous,vote,week,time,play,center,point,sort,free,fan,undertake,audience,Pennsylvania,Change,MoveOn,Raitt,parele,philadelphia,stump,swing,support,sen,fight,government,rational,humane,plan,joint,beginning,headline,r.e.m,battleground,headlining,closely,contest,lineup,encompass,bly,country,hip,hop,perform,clearwater,r.e.,td,waterhouse,o'connell,three,sept,reach,city,wind,headliner,monday,televise,live,effort,present,liberal,action,committee,performer,previously,do,candidate,make,partisan,best,expert,connect,public,emotional,connection,million,executive,director,politics
,8,6,5,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 16, 2004 Sunday",16 of 89 DOCUMENTS,The Tampa Tribune (Florida),The Tampa Project Finding Our Place,"LINDSAY PETERSON, lpeterson@tampatrib.com",NATION/WORLD; Pg. 1,,5798 words,TAMPA,,"July 17, 2004",ENGLISH,,,"PHOTO 19 CHART 7 Tribune photos by JAY NOLAN ""Downtown should be vibrant and energetic,"" says Jim Shimberg, chairman of the Downtown Partnership. ""It should give us pride, not remind us of homelessness and parking problems."" Vendors such as Hernan Gomez of The Sidewalk Cafe & Pizzeria keep downtown bustling with hungry office workers during the lunch hour. But the city's core tends to go dim after dark. Tribune photo by JAY NOLAN Laura, Edward and Kristen Kenney, 3, grab a bite at West Park Village in Westchase. Mixed-use communities with town centers such as this have been praised for the way they encourage interaction among residents. Neighbors mingle in common places, fostering the sense of community. Tribune photo by CAROL CLEERE Fred Matthews shows off his wares and his dog at the Fun-Lan Drive-In flea market on Hillsborough Avenue. Some people say places such as the flea market, where vendors arrive before dawn to set up their goods, give Tampa its ambience and energy. Lorraine Duffy Suarez added a front porch to her Carrollwood Preserve house to make it feel more welcoming. Tribune photo by JASON BEHNKEN Stephen Smith of Cooper Johnson Smith Architects, right, reviews the Meridian drawings with Lori Wood, left, Tom Panaseny, Lorraine Duffy Suarez and John Duffy. The art deco project, which includes 35 housing units, is scheduled to open next year in the Channel District. Carnegie-Mellon University Richard Florida, an author and professor at Carnegie-Mellon University, says Tampa should build on its strengths, such as its waterfront and Latin heritage. Tribune photo by JAY NOLAN Lorraine Duffy Suarez's long commute to work symbolizes the disconnection of this sprawling city. Tribune photo by JAY NOLAN Lorraine Duffy Suarez documents the demolition of a 1920s warehouse at the Meridian site. Developers were going to restore the warehouse but scrapped that plan when the building proved unstable. Lindsay Peterson (Scenes of Tampa Bay, no captions: Trolley, sunset, Buildings, Cigar rolling, aquarium, football player kissing trophy, residents playing dominoes, traffic, women in Yoga pose, someone with hands in cuffs)",,,Newspaper,Copyright 2004 Times Publishing Company All Rights Reserved
,Tampa,city,people,Suarez,area,downtown,place,growth,among,plan,project,work,house,neighborhood,make,begin,live,change,tribune,metro,center,county,subdivision,we,new,photo,grow,lot,tampa,still,many,go,developer,2003,call,home,development,series,idea,street,shop,might,ago,community,building,business,build,Channel_District,find,loft,turn,talk,thing,need,time,art,percent,park,use,commission,husband,chart,Jay_Nolan,stand,store,town,other,connect,artist,creative,create,pull,spread,office,long,push,keep,job,include,become,reporter,group,editor,Tampa_Project,move,suburban,maybe,look,hope,cafe,link,across,planner,way,lead,road,another,much,school
,40,38,34,31,28,21,19,18,18,18,17,16,15,15,15,14,14,13,13,13,12,12,12,12,12,12,11,11,11,10,10,10,10,10,9,9,9,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"November 26, 2004 Friday",17 of 89 DOCUMENTS,The Tampa Tribune (Florida),BEST IN SHOW,TRIBUNE STAFF,FRIDAY EXTRA!; Pg. 24,,2153 words,,,"November 29, 2004",ENGLISH,,,PHOTO 4 Tribune illustration by CAROL CLEERE (dog in reindeer ears holding Christmas stocking) (3) (CD: cover),,,Newspaper,Copyright 2004 Times Publishing Company All Rights Reserved
,christmas,holiday,artist,Christmas,tune,little,various,make,collection,song,original,capitol,b+,listen,cd,world,classic,traditional,well,smooth,sing,night,bros,musical,album,mellow,soundtrack,love,something,version,instrumental,standard,White_Christmas,Warner,ultimate,winter,music,rock,disc,tree,really,give,track,heart,still,eggnog,assortment,back,baby,soul,ride,arrangement,seem,carol,wonderful,former,lead,yes,bing,watch,best,Beach_Boys,Christmas_Song,Cloe_Cabrera,Jeff_Houck,time,check,must,hot,silent,maccormack,mix,eat,maybe,bad,daddy,everything,set,around,special,without,hang,koch,c+,we,plus,away,vocal,guitarist,fireplace,rhino,whole,much,somber,sass,spend,put,sinatra,season
,35,20,16,11,9,8,8,7,7,7,7,6,6,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"July 31, 2004 Saturday",18 of 89 DOCUMENTS,The Tampa Tribune (Florida),Interns Speak Up For All Youth,,NATION/WORLD; Pg. 15,,910 words,,,"August 5, 2004",ENGLISH,,,"PHOTO Special to the Tribune Standing from left to right are Beau Garrido (senior at Jesuit High School), Abby Crane (senior at Hillsborough High School), Kiahhn' Jackson (sophomore at Plant High School), Cameron White (senior at Tampa Preparatory High School). In front are Presley Cobb (sophomore at King High School) and Chad Bryant (senior at Freedom High School).",,,Newspaper,Copyright 2004 Times Publishing Company All Rights Reserved
,social,student,community,provide,capital,youth,school,positive,research,society,area,make,extracurricular,survey,program,intern,time,interaction,recommendation,collaborative,summer,throughout,begin,need,study,order,group,improvement,educator,result,leader,six,perspective,prepare,author,family,maintain,connection,other,become,accord,alone,individual,life,spend,decrease,factor,method,researcher,connect,high,increase,issue,participate,activity,significant,opportunity,important,site,climate,second,participation,gather,data,background,develop,administer,set,promote,proper,belief,environment,information,clear,use,strategy,adult,University,South_Florida,Children,Families,Tampa,note,de,la,employ,tampa,offer,article,message,reopen,next,week,question,effective,way,build,continue,increasingly
,11,9,8,7,6,6,6,6,5,5,5,5,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 19, 2004 Thursday",19 of 89 DOCUMENTS,The Tampa Tribune (Florida),Weather Can Do Big Damage,Bonnie Dyson,NORTHWEST; Pg. 7,,189 words,,,"August 21, 2004",ENGLISH,,,,,,Newspaper,Copyright 2004 Times Publishing Company All Rights Reserved
,artwork,collector,collection,climate,control,keep,system,humidity,dollar,watch,take,chief,conservator,art,biggest,disaster,private,storm,damage,water,intrusion,result,black,mold,scalera,work,exclusively,museum,past,important,thing,preserve,minimum,level,mean,comfort,range,people,degree,make,sure,fail,friend,neighbor,relative,regularly,check,vacation,extend,absence,sensitive,textile,direct,sunlight,change,affect,think,twice,open,door,window,high,leaky,roof,cost,reroofing,restoration,well,©,2004,may,republish,without,permission,library,tampatrib.com,Mother_Nature,Michelle_Scalera,John,Mable_Ringling_Museum,Sarasota,Scalera,Bonnie_Dyson_Copyright,Tampa_Tribune,E_mail
,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 3, 2004 Sunday",20 of 89 DOCUMENTS,The Tampa Tribune (Florida),Need For Industrial Space Grows,"KEVIN WIATROWSKI, kwiatrowski@tampatrib.com",PASCO; Pg. 1,,1569 words,,,"October 7, 2004",ENGLISH,,,"PHOTO 2 Tribune photo by FRED FOX Council member Keith Appenzeller is concerned about the county's shifting land-use patterns, increasingly toward homes. Tribune photo by SCOTT ISKOWITZ Employer Steve Sacone sees about 25 percent of his company's highly skilled workers still coming from outside the county.",,,Newspaper,Copyright 2004 Times Publishing Company All Rights Reserved
,Pasco,land,county,development,grow,Sacone,industrial,space,new,business,Pasco_County,Tampa,site,job,Appenzeller,Ratliffe,home,thing,use,area,plan,large,park,many,community,company,have,chairman,vice,employee,work,office,worker,help,VLOC,attract,user,add,need,economic,issue,available,council,must,three,growth,quality,go,center,change,president,project,life,make,still,sacone,crystals,Trinity,Pinellas_County,Pinellas,New_Port_Richey,EDC,Keith_Appenzeller,seek,employer,tampatrib.com,last,include,inc.,take,official,largely,water,real,estate,relocate,consultant,leadership,expert,move,residential,position,degree,talent,pool,reside,keep,among,lately,room,commute,opportunity,manufacturing,income,employment,engineering,appenzeller,wife,son
,16,14,14,10,10,10,8,8,7,7,7,7,6,6,6,6,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"August 4, 2004 Wednesday",26 of 89 DOCUMENTS,The Tampa Tribune (Florida),Wrap It Up!,"MARY D. SCOURTES, mscourtes@tampatrib.com",BAYLIFE FLAVOR; Pg. 1,,1694 words,TAMPA,,"August 6, 2004",ENGLISH,,,"PHOTO Tribune photo by CLIFF McBRIDE Wrap master Tim Alberdi of Tampa likes his fillings seasoned with crushed red pepper. ""I like to sweat when I eat,"" he says.",,,Newspaper,Copyright 2004 Times Publishing Company All Rights Reserved
,wrap,sauce,tablespoon,cup,chicken,add,lettuce,pepper,teaspoon,leave,serve,onion,oil,minute,green,soy,chop,red,cook,salt,taste,water,sesame,garlic,cabbage,fill,heat,rice,mixture,make,bean,vegetable,fresh,lime,slice,stir,Boston,peanut,crush,steak,ginger,mix,hoisin,pound,combine,medium,drain,bowl,option,ground,pork,eat,start,scallion,recipe,noodle,use,cut,bell,juice,source,cornstarch,stir_fry,tortilla,shell,spoon,tim,alberdi,spicy,grill,beef,barber,include,easy,lemon,mustard,chestnut,mint,tuna,toss,place,boneless,skinless,breast,cube,kosher,mince,garnish,adapt,Alberdi,Handheld_Meals,substitute,taco,favorite,roll,d.,scourte,tampatrib.com,lot
,28,23,19,18,17,16,16,13,12,11,11,11,11,11,10,10,10,9,9,9,8,8,8,8,7,7,7,7,7,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2
"October 14, 2004 Thursday",28 of 89 DOCUMENTS,The Tampa Tribune (Florida),"Cards, Yanks Display Dominance","CARTER GADDIS, igaddis@tampatrib.com",SPORTS; Pg. 1,,687 words,NEW YORK,,"October 20, 2004",ENGLISH,,,PHOTO John Olerud is congratulated by Yankees teammate Derek Jeter (2) after hitting a two-run homer off Red Sox starter Pedro Martinez.,,,Newspaper,Copyright 2004 Times Publishing Company All Rights Reserved
