PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"February 1, 2007 Thursday",2 of 182 DOCUMENTS,The Tampa Tribune (Florida),IS THE SKY FALLING?,"KEVIN BEGOS, The Tampa Tribune",NATION/WORLD; Pg. 1,,1205 words,,,"February 6, 2007",ENGLISH,,,CHART PHOTO,,,Newspaper,Copyright 2007 Times Publishing Company All Rights Reserved
,global,warming,report,insurance,change,hurricane,company,insurer,much,uncertainty,may,make,storm,need,climate,last,temperature,Valverde,coastal,policy,friday,model,industry,higher,Scott,raising,rate,spokesman,part,have,issue,due,release,reinsurance,cost,though,draft,stronger,suggest,take,Florida,new,convinced,bego,major,expect,warmer,human,likely,percent,scientific,debate,already,pay,fact,ocean,private,answer,process,state,risk,play,far,yet,huge,average,loss,billion,increase,business,catastrophe,price,weather,help,although,situation,example,accord,link,enough,powerful,data,cooler,1930,spike,decade,contribute,component,many,public,modeling,project,greenhouse,gas,ground,happen,solution,require,mean
"January 29, 2007 Monday",9 of 182 DOCUMENTS,The Tampa Tribune (Florida),DARK SKIES,"KURT LOFT, The Tampa Tribune",NATION/WORLD; Pg. 8,,770 words,,,"January 31, 2007",ENGLISH,,,PHOTO 2,,,Newspaper,Copyright 2007 Times Publishing Company All Rights Reserved
,eruption,atmosphere,volcanoe,climate,global,gas,volcanic,particle,scientist,much,photo,effect,people,study,plume,past,warming,water,vapor,cool,may,create,University,Earth,Pinatubo,method,nature,polluter,loft,height,pump,amount,part,researcher,influence,chemistry,high,aerosol,make,change,higher,reach,st,helen,wash,travel,form,compare,1991,event,kill,270,leave,"250,000",homeless,million,ton,sulfur,dioxide,react,sulfuric,acid,degree,lead,consider,without,ash,Tampa_Tribune,Mount,Mount_Pinatubo,use,new,examine,original,untold,greenhouse,continue,debate,shortand,know,role,play,alter,develop,better,understand,planet,overall,goal,reduce,uncertainty,model,feed,accurate,historical,information,team,chemical,fingerprint
,11,9,7,7,6,5,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 2, 2007 Monday",11 of 182 DOCUMENTS,The Tampa Tribune (Florida),FAST FORWARD,Kurt Loft,NATION/WORLD; Pg. 6,,514 words,,,"April 16, 2007",ENGLISH,,,PHOTO,,,Newspaper,Copyright 2007 Times Publishing Company All Rights Reserved
,climate,Saturn,use,today,work,abdome,move,magnet,instrument,study,ring,answer,University,Cassini,without,surgical,inside,outside,surgeon,position,call,eclipse,image,new,unknown,faint,photo,global,zone,2100,world,large,may,worldwide,science,plesiosaur,stumper,acid,tampatrib.com,physician,hope,perform,surgery,leave,unsightly,scar,team,technique,magnetic,tool,insert,bellybutton,throat,challenge,human,body,fix,hole,limited,envelope,professor,urology,radiology,think,obvious,thing,system,stack,attract,attach,laparoscopic,internal,camera,best,spot,retractor,lock,place,animal,successfully,remove,kidney,every,thanks,spacecraft,age,giant,backlit,sun,recently,provide,view,revealing,previously,show,make,mosaic,acquire,drift
,8,5,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 31, 2007 Saturday",12 of 182 DOCUMENTS,The Tampa Tribune (Florida),Global Warming Bill Hits Senate,"KEVIN BEGOS, The Tampa Tribune",METRO; Pg. 3,,620 words,,,"April 4, 2007",ENGLISH,,,CHART,,,Newspaper,Copyright 2007 Times Publishing Company All Rights Reserved
,group,Florida,bill,state,saunder,legislation,pass,Saunders,form,policy,issue,government,discussion,climate,change,may,emission,industry,bego,seek,create,governor,global,warming,sen,burt,lose,impact,2446,include,official,carbon,progressing,make,conservation,hopeful,think,commission,legislature,action,face,public,committee,850,tampatrib.com,Tampa_Tribune,Environmental_Defense,Washington,high_level,Senate,House,Crist,help,new,give,powerful,tool,several,republican,lawmaker,take,notice,long,idea,member,d.c.,work,business,scientist,solve,problem,know,much,strike,lot,prediction,true,feel,early,dramatic,add,purpose,sb,around,direct,require,develop,comprehensive,recommendation,reduce,greenhouse,gas,president,speaker,officer,alex,sink,concern,ready
,6,6,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 11, 2007 Wednesday",15 of 182 DOCUMENTS,The Tampa Tribune (Florida),Crist Sees Florida As Green Leader,"MIKE SALINERO, The Tampa Tribune",NATION/WORLD; Pg. 1,,622 words,,,"July 17, 2007",ENGLISH,,,,,,Newspaper,Copyright 2007 Times Publishing Company All Rights Reserved
,emission,energy,crist,state,power,plant,percent,cap,executive,order,gas,change,point,reduction,Crist,greenhouse,reach,utility,governor,agency,salinero,gov,lead,turn,require,government,efficiency,draft,series,sign,friday,environmental,renewable,cut,country,leader,policy,make,tuesday,set,2017,level,ask,trade,action,without,review,reporter,tampatrib.com,Tampa_Tribune,California,tough,curb,charlie,follow,green,capping,environmentally,friendly,building,code,model,adopt,early,landscape,dirty,dramatically,reduce,convert,production,vehicle,plan,discuss,proposal,summit,start,thursday,feature,scientist,alternative,expert,official,across,far,away,share,spotlight,many,environmentalist,national,statewide,solution,climate,problem,meet,attend,meeting,presentation,conclude
,10,7,6,6,6,6,6,6,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 10, 2007 Wednesday",16 of 182 DOCUMENTS,The Tampa Tribune (Florida),Global Warming Needs Capping,GERALD KARNAS and MARK MAKSIMOWICZ,NATION/WORLD; Pg. 11,,548 words,,,"October 18, 2007",ENGLISH,,,,,,Newspaper,Copyright 2007 Times Publishing Company All Rights Reserved
,pollution,global,warming,choice,new,climate,need,create,change,solution,release,carbon,pollutant,emit,may,bright,yellow,banner,way,floridian,make,face,energy,incentive,atmosphere,give,expect,level,threat,policy,dioxide,fight,cap,quantity,oil,fossil,fuel,allow,company,reduce,emission,result,program,acid,rain,project,Green_Armada,Environmental_Defense,America,global_warming,Congress,Florida,maksimowicz,commuter,notice,work,pretty,hard,miss,launch,campaign,help,word,issue,americans,especially,leader,decide,ago,preserve,health,beauty,waterway,either,ignore,litter,lining,shore,build,barge,put,glove,water,difference,similar,atmospheric,future,independent,entrepreneur,encourage,opportunity,farmer,protect,environment,wait,hope,might,go,away
,7,6,6,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 10, 2007 Thursday",22 of 182 DOCUMENTS,The Tampa Tribune (Florida),Warming Poses Catastrophic Risks For State,"MIKE SALINERO, The Tampa Tribune",METRO; Pg. 2,,570 words,,,"May 11, 2007",ENGLISH,,,,,,Newspaper,Copyright 2007 Times Publishing Company All Rights Reserved
,state,plan,emission,greenhouse,Florida,California,Bollman,conference,carbon,climate,cite,exotic,species,lead,reduce,thing,salinero,warming,take,action,change,message,level,global,problem,energy,consumption,develop,gov,crist,speech,gas,gass,last,business,need,reduction,tampatrib.com,TAMPA,Tampa_Tribune,policy_makers,Center,tell,scientific,consensus,human,citizen,must,convince,immediate,limit,prepare,effect,related,wednesday,continue,today,friday,speaker,rise,sea,frequency,drought,spread,pose,catastrophic,risk,future,fifth,nation,third,unlike,yet,policy,director,finally,charlie,link,property,insurance,crisis,order,inventory,forecast,inaction,administration,reality,big,kid,block,far,ability,way,pass,bill,2020,1990,million,people
,12,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 22, 2007 Saturday",27 of 182 DOCUMENTS,The Tampa Tribune (Florida),HOW GREEN ARE WE?,"MIKE SALINERO, The Tampa Tribune",NATION/WORLD; Pg. 1,,1980 words,,,"January 3, 2008",ENGLISH,,,,,,Newspaper,Copyright 2007 Times Publishing Company All Rights Reserved
,city,green,building,energy,reduce,gas,recycl,*,mayor,photo,make,go,water,Tampa,greenhouse,agreement,list,government,credit,administration,include,council,LEED,need,vehicle,policy,county,save,emission,time,new,use,ordinance,feature,pledge,do,nation,project,largest,code,department,system,program,builder,home,incentive,plan,information,st,certified,p.m.,call,ticket,Saul_Sena,St._Petersburg,Pinellas_County,nearly,iorio,little,team,action,climate,protection,february,urban,hybrid,local,still,talk,replace,carbon,dioxide,environment,seek,take,initiative,inventory,thing,waste,develop,put,site,review,free,state,already,reclaim,petersburg,household,electronics,certification,light,chart,efficiency,holiday,today,drop_off,McCann,salinero
,32,18,17,10,9,9,9,9,8,8,7,7,7,7,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
"December 2, 2007 Sunday",29 of 182 DOCUMENTS,The Tampa Tribune (Florida),"Suit Widens Crist, Rubio Rift","WILLIAM MARCH, The Tampa Tribune",METRO; Pg. 1,,1154 words,,,"December 12, 2007",ENGLISH,,,,,,Newspaper,Copyright 2007 Times Publishing Company All Rights Reserved
,Rubio,state,Crist,Bush,crist,conservative,republican,go,governor,Florida,gambling,party,property,tax,political,issue,change,future,rubio,support,speaker,bring,open,side,group,take,moderate,reform,initiative,although,agree,king,legislative,last,office,without,bush,legacy,many,frequently,relationship,may,agreement,Republican_Party,ideology,march,lawsuit,gov,charlie,either,clash,climate,believe,election,sen,webster,ally,call,difference,style,different,interview,story,widely,beyond,hold,proposal,allow,run,federal,law,perceive,make,ticket,include,never,government,politically,close,obviously,loyal,staffer,jeb,sword,ask,job,public,away,disagreement,*,cost,still,oppose,measure,endorse,back,week,lead,cut
,21,13,12,12,10,7,7,6,6,6,5,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"March 25, 2007 Sunday",30 of 182 DOCUMENTS,The Tampa Tribune (Florida),A Changing Political Climate,"KEVIN BEGOS, The Tampa Tribune",METRO; Pg. 1,,1641 words,,,"March 29, 2007",ENGLISH,,,CHART,,,Newspaper,Copyright 2007 Times Publishing Company All Rights Reserved
,Florida,energy,California,per,state,solar,million,make,person,last,rebate,work,business,percent,power,money,utility,pay,warming,save,standard,pollution,ethanol,potential,change,may,gov,start,use,Bush,Goldstein,help,global,dioxide,accord,department,billion,pound,support,tax,air,every,florida,clean,cut,price,many,people,think,top,environmental,big,environment,bill,alternative,allow,customer,consumption,ton,find,Crist,bego,good,way,half,population,floridian,send,carbon,capita,we,almost,five,time,spend,waste,debate,director,cost,cheaper,similar,recent,crist,ask,partnership,drive,stay,project,spokeswoman,renewable,sell,focus,legislative,session,plan,technology,grow,reduce,former
,22,18,18,17,16,14,10,10,8,7,6,6,6,6,6,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"October 16, 2007 Tuesday",36 of 182 DOCUMENTS,The Tampa Tribune (Florida),Time Is Now For Environmental Action,The Independent Alligator At The,NATION/WORLD; Pg. 11,,269 words,,,"October 24, 2007",ENGLISH,,,,,,Newspaper,Copyright 2007 Times Publishing Company All Rights Reserved
,big,deal,work,prize,act,have,turn,Gore,Bush,comment,independent,alligator,case,realize,climate,change,pretty,raise,awareness,global,warming,share,intergovernmental,panel,president,w.,bush,praise,win,spokesman,feel,pressure,adopt,cap,greenhouse,gas,emission,something,strongly,advocate,bad,lobbyist,let,measly,nobel,peace,winner,affect,agenda,administration,make,many,environmental,less,stringent,past,instance,2003,allow,pollution,pass,1963,recently,amend,1990,we,motto,sustainability,think,globally,locally,generation,need,embrace,still,reach,point,return,can,oh,someone,else,look,national,level,much,do,light,temperature,thermostat,ride,bike,take,bus,goodness,sake,trade,suv,write
,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 11, 2007 Sunday",37 of 182 DOCUMENTS,The Tampa Tribune (Florida),Warming Up To IncentivesTo Cool Down The Planet,,COMMENTARY; Pg. 2,,930 words,,,"February 14, 2007",ENGLISH,,,PHOTO 2,,,Newspaper,Copyright 2007 Times Publishing Company All Rights Reserved
,tax,higher,carbon,energy,work,emission,much,air,city,design,cut,must,income,waste,reward,safe,property,electric,bill,building,save,electricity,roof,school,county,conservative,photo,report,percent,warming,demand,estimate,threat,level,rise,perhaps,debate,shift,right,take,mayor,world,climate,agree,real,heat,instead,job,system,buy,sell,encourage,give,policy,include,credit,lower,incentive,government,fuel,efficiency,efficient,cost,rail,line,closer,state,gas,turn,center,example,many,way,install,library,without,ask,liberal,Congress,Tampa,U.S.,scientist,sure,earth,slowly,result,ample,agreement,public,action,newest,accurate,go,rate,slow,continue,foreseeable,future,chill
,13,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 16, 2007 Friday",38 of 182 DOCUMENTS,The Tampa Tribune (Florida),LETTERS,,NATION/WORLD; Pg. 14,,1069 words,,,"February 17, 2007",ENGLISH,,,,,,Newspaper,Copyright 2007 Times Publishing Company All Rights Reserved
,pilot,regard,feb,change,age,health,financially,continue,plan,take,fact,deny,book,rule,insurance,sport,consultant,complex,support,need,tax,point,3.50,view,make,gas,much,warming,future,cause,know,good,let,uninsured,patient,FAA,America,local,government,ever,state,propose,expenditure,pay,willing,use,center,power,tampa,solution,friedman,column,far,present,administration,permanent,country,world,defend,true,today,choice,global,though,occur,go,prediction,read,carter,proper,peace,experience,retire,writer,president,extend,option,provide,credit,time,Leib_Group,Jim_Norman,American,Middle_East,Arab_American,Israel,American_Medical_Association,AMA,unnecessary,feb.,hire,sustain,million,convinced,sustainable,yearly,operating,expense,bond
,8,6,6,5,5,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1
"June 13, 2007 Wednesday",42 of 182 DOCUMENTS,The Tampa Tribune (Florida),Letters To The Editor,,PASCO; Pg. 2,,858 words,,,"June 15, 2007",ENGLISH,,,,,,Newspaper,Copyright 2007 Times Publishing Company All Rights Reserved
,tax,citizen,insurance,pay,county,protect,time,bid,employee,wildlife,many,state,commissioner,motion,Pasco_County,much,social,service,increase,sure,go,let,change,traumatic,property,news,movie,American,we,try,impact,majority,homestead,move,climate,never,today,certainly,authority,need,take,advantage,every,budget,allow,real,pasco,current,modest,watch,may,commission,seek,happen,without,make,company,rate,family,least,survey,mall,site,lake,become,acre,hear,idol,president,good,Blue_Cross,Olson,Cypress_Creek,Albania,necessity,read,impassion,plea,sunday,demand,reduction,detrimentally,tie,view,however,point,consideration,public,adherent,contingent,feel,overwhelming,consume,little,exemption,small,estate,previously,low
,13,7,7,6,6,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 12, 2007 Friday",47 of 182 DOCUMENTS,The Tampa Tribune (Florida),"Global Warming Is Causing Humidity To Rise, Study Says","NEIL JOHNSON, The Tampa Tribune",NATION/WORLD; Pg. 1,,520 words,,,"October 19, 2007",ENGLISH,,,,,,Newspaper,Copyright 2007 Times Publishing Company All Rights Reserved
,humidity,rise,study,temperature,increase,dew,point,water,vapor,percent,degree,Trenberth,scientist,amount,find,air,heat,afternoon,johnson,week,warming,mean,fewer,thunderstorm,fuel,hurricane,higher,summer,explode,woman,show,model,greenhouse,gas,atmosphere,climate,another,run,data,additional,rain,feel,range,tampatrib.com,Tampa_Tribune,Fran_Fernandez,expect,need,report,scientific,journal,global,cause,intense,misery,quotient,oh,yeah,lot,hairstyle,death,dos,make,hair,swell,break,end,pop,owner,bad,mood,dry,cool,happy,new,do,team,level,cite,computer,human,activity,blame,build,earlier,research,colo,reveal,link,globally,strong,relationship,head,analysis,center,reason,simple,warmer,hold
,10,6,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 3, 2007 Tuesday",54 of 182 DOCUMENTS,The Tampa Tribune (Florida),The Inside Scoop,,NATION/WORLD; Pg. 2,,789 words,,,"April 12, 2007",ENGLISH,,"The Tampa Bay Devil Rays' Spanish language broadcasts are on WGES, 680 AM. The incorrect radio station was listed in Sunday's Baseball Preview Section.",PHOTO 2,,,Newspaper,Copyright 2007 Times Publishing Company All Rights Reserved
,company,city,emission,regulate,oil,water,million,E85,rule,gas,page,fuel,station,purchase,insurance,decision,greenhouse,policy,time,sell,investor,gallon,important,authority,court,global,provide,refusal,nation,world,case,likely,affect,executive,make,call,percent,sometimes,require,protection,form,firm,businessmen,last,choice,rain,department,may,extra,utility,tap,spring,march,error,EPA,Hillsborough_River,Tampa_Bay_Water,quick,read,epa,oblige,co2,environmental,monday,automobile,agency,sidestep,contribute,climate,change,unless,scientific,basis,strong,rebuke,administration,maintain,right,carbon,dioxide,force,auto,almost,certainly,face,legal,action,fail,obeyond,specific,context,vehicle,account,country,debate,government,effort,address,warming
,9,6,5,5,5,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 19, 2007 Saturday",56 of 182 DOCUMENTS,The Tampa Tribune (Florida),Science Adventures On The Horizon,"YVETTE C. HAMMETT, The Tampa Tribune",BRANDON; Pg. 5,,878 words,,,"May 21, 2007",ENGLISH,,,PHOTO 3,,,Newspaper,Copyright 2007 Times Publishing Company All Rights Reserved
,teacher,caterpillar,photo,Gerlach,classroom,science,work,spend,study,help,shark,environmental,plan,ray,back,learn,Lineberry,EarthWatch,research,and,scientist,expedition,bring,grow,lesson,student,Michelle_Lineberry,take,hike,swim,c.,hammett,picture,search,trip,scientific,determine,plant,summer,calif,tag,seven,fellowship,school,use,look,incorporate,provide,have,nerd,love,hearing,animal,likely,hide,frog,pocket,try,world,boat,researcher,fellow,great,kind,kid,tampatrib.com,credit,tribune,Tampa_Tribune,Ecuador,Earth,hands_on,fish,name,petite,midwesterner,complete,never,quite,traipsing,mountain,thorny,hairy,teach,focus,conduct,global,volunteer,organization,support,promote,sustainable,environment,contemplate,earning,doctorate,degree,climate,change
