PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"September 27, 1999, Monday",1 of 88 DOCUMENTS,The Tampa Tribune (Florida),Study links warming to bigger hurricanes;,"JAN HOLLINGSWORTH, of The Tampa Tribune;","NATION/WORLD, Pg. 1",,579 words,,,"September 28, 1999",ENGLISH,,,,,,,Copyright 1999 Times Publishing Company                               All Rights Reserved
,storm,hurricane,report,global,warming,temperature,climate,nin,system,Atlantic,warm,world,number,surface,weather,grow,future,cycle,accord,air,may,increase,wildlife,fund,establish,link,rise,dramatic,late,1990,activity,record,1998,heat,phenomenon,severe,water,formation,critter,recent,past,state,el,of,la,regular,mean,frequent,intense,atlantic,new,uncheck,pollution,planet,spark,destructive,warn,publish,set,threaten,coast,period,unprecedented,form,1995,time,century,four,churn,sept,think,cause,gas,power,plant,car,industry,trap,close,spawn,controversy,degree,affect,life,earth,whether,researcher,predict,lead,flood,drought,blizzards,general,climatic,instability,other,challenge,evidence,call
"August 21, 1999, Saturday",6 of 88 DOCUMENTS,The Tampa Tribune (Florida),Seas of change rocked utility and its crew;,"CHERIE JACOBS LANE, of The Tampa Tribune;","NATION/WORLD, Pg. 11",,2293 words,,,"August 27, 1999",ENGLISH,,,"MAP; PHOTO 2,  (MAP) Florida Power Corp.  ESSEX JAMES, Tribune map
NOTES: FLORIDA PROGRESS DEAL",,,,Copyright 1999 Times Publishing Company                               All Rights Reserved
,company,utility,Florida_Progress,Florida_Power,employee,work,Hines,job,Korpan,sell,worker,call,president,change,subsidiary,still,retire,customer,time,many,grow,critchfield,become,look,leader,industry,kind,service,hine,leave,former,growth,shareholder,begin,make,build,last,deregulation,go,thing,place,take,cut,need,life,board,know,talk,happen,future,1980,later,use,lose,big,retirement,else,decade,retiree,early,bring,run,keep,line,friend,provide,new,acquisition,electricity,tell,several,serve,education,power,manager,current,force,analyst,executive,period,Richard_Korpan,United_States,Critchfield,diversify,end,unrelated,much,loyalty,corporate,stay,everywhere,plan,family,really,1992,percent,electric,sale,operation
,29,18,18,18,17,13,13,11,9,7,7,7,7,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"December 19, 1999, Sunday",9 of 88 DOCUMENTS,The Tampa Tribune (Florida),Hot Times In The Old Town;,"PAM IORIO, for the Tribune;","COMMENTARY, Pg. 1",,1830 words,,,"December 20, 1999",ENGLISH,,,"SIGNATURE (C); PHOTO 4 (2C),  (Collage of Tribune front pages with election stories)",,,,Copyright 1999 Times Publishing Company                               All Rights Reserved
,election,Tampa,poll,ballot,political,report,city,voter,vote,time,candidate,machine,mayor,precinct,voting,place,McKay,century,job,street,every,box,worker,change,fraud,official,last,boss,citizen,band,close,make,board,registration,Tribune,another,part,state,three,man,entire,night,elect,support,name,d.b,race,mean,county,use,government,Tampa_Morning_Tribune,Frecker,survey,help,town,modern,often,fraudulent,gambling,interest,newspaper,need,engagement,rally,crowd,1900,live,include,line,become,might,saloon,drunken,hold,cause,four,position,today,know,1908,cheer,much,money,purchasable,black,area,many,paper,print,replace,term,w.hl,veteran,people,except,bitter,brass,automobile
,42,19,13,11,10,10,9,9,9,7,7,7,6,6,6,6,6,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"October 4, 1999, Monday",10 of 88 DOCUMENTS,The Tampa Tribune (Florida),"Power broker; No longer plugging along in obscurity, TECO Energy's new chief executive is charging ahead with; his goals for the utility.;","CHERIE JACOBS LANE, of The Tampa Tribune;","BUSINESS & FINANCE, Pg. 12",,1802 words,,,"October 5, 1999",ENGLISH,,,"PHOTO (5C); CHART (2C),  (C) Jim Ferman, Jr., TECO board member",,,,Copyright 1999 Times Publishing Company                               All Rights Reserved
,Fagan,TECO,company,work,job,board,business,three,fagan,utility,power,stock,think,plant,global,experience,hire,subsidiary,way,become,new,always,pp,call,percent,industry,make,early,independent,lot,grow,share,create,sailing,golf,executive,parent,thing,time,president,consider,around,analyst,clear,can,search,stay,five,ceo,serve,qualified,pay,bonus,growth,pa.,engineering,building,do,chart,Dartmouth_College,Champagne,level,good,leave,fun,well,friend,chief,project,close,simple,need,past,ago,unknown,give,direction,find,begin,plan,situation,member,near,turn,old,know,firm,able,former,1980,side,much,life,long,opportunity,co.,salary,public,next
,23,13,11,10,10,8,8,7,7,7,7,6,6,6,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"November 14, 1999, Sunday",13 of 88 DOCUMENTS,The Tampa Tribune (Florida),Clock is ticking on global warming crisis;,,"PASCO, Pg. 7",,508 words,,,"November 16, 1999",ENGLISH,,,,,,,Copyright 1999 Times Publishing Company                               All Rights Reserved
,temperature,rise,cause,need,energy,plant,gas,change,warming,many,level,weather,storm,threat,planet,go,man,make,child,certain,slow,use,life,percent,power,burn,coal,oil,create,increase,animal,extinction,warmer,winter,summer,frequent,prone,predict,result,hurricane,global,fix,way,damage,Earth,hot,excerpt,class,never,take,lightly,ignore,today,serious,population,generation,implication,still,recognize,responsibility,sure,survive,must,deal,hand,problem,thing,stop,least,run,main,vast,amount,greenhouse,habit,kill,tree,breathe,carbon,dioxide,mass,deforestation,destroy,world,filter,system,theoretically,raise,sea,higher,normal,shift,alter,occurrence,drier,severe,degree,may,uncommonly
,10,8,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 1, 1999, Monday",14 of 88 DOCUMENTS,The Tampa Tribune (Florida),Nuclear Y2K:;,Compiled by Kurt Loft;,"NATION/WORLD, Pg. 8",,389 words,,,"February 2, 1999",ENGLISH,,,"PHOTO (C); SIGNATURE (2C),  (C) Computer imagery enhances the documentary ""Body Story,"" airing Sunday. Image from the Discovery Channel
NOTES: FAST FORWARD SCI TECH",,,,Copyright 1999 Times Publishing Company                               All Rights Reserved
,system,body,nuclear,problem,plant,safety,find,warm,computer,call,facility,y2,dinosaurs,reptile,work,respiratory,tweak,heat,story,heart,attack,cold_blooded,nation,103,power,expect,interrupt,beginning,jan,compromise,director,operation,industry,undergone,extensive,analysis,reach,2000,readiness,prevent,shut,represent,public,health,issue,cold,blooded,people,continue,disagree,whether,we,researcher,throw,fuel,fire,analyze,fossil,impression,small,theropod,evidence,muscle,intestine,liver,soft,tissue,almost,never,preserve,rock,petrify,material,study,simple,support,creature,rube,colleague,suggest,dino,enhance,capability,physiology,astonishing,degree,accord,report,give,metabolic,capacity,kind,high,level,sustain,activity,common,bird,mammal
,5,5,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 10, 1999, Wednesday",15 of 88 DOCUMENTS,The Tampa Tribune (Florida),Burden of too much debt;,,"NATION/WORLD, Pg. 12",,540 words,,,"March 11, 1999",ENGLISH,,,,,,,Copyright 1999 Times Publishing Company                               All Rights Reserved
,average,water,worldwide,temperature,degree,pay,future,way,warming,scientist,cause,fahrenheit,emission,United_States,tampa,city,fee,tax,march,bill,fact,always,100,charge,last,mayor,go,state,percent,greenhouse,considerable,long,century,past,risen,either,rise,ice,air,pollution,issue,reduce,develop,country,environment,China,imply,resident,front,page,contrary,regularly,nearly,200,alone,almost,push,electric,mark,house,increase,nothing,usage,dick,greco,turn,another,spend,yuppie,credit,card,shame,child,figure,tourist,attraction,debt,look,good,outset,catch,near,environut,distort,truth,agenda,agree,hysteria,regard,know,body,knowledge,expertise,connection,effect,climate,change,1998,hottest
,4,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 29, 1999, Monday",18 of 88 DOCUMENTS,The Tampa Tribune (Florida),Tolerant bacteria:;,Compiled by Kurt Loft;,"NATION/WORLD, Pg. 6",,422 words,,,"November 30, 1999",ENGLISH,,,"PHOTO (C),  (C) The planet Mars
NOTES: FAST FORWARD NEWS AND INNOVATIONS SCI TECH",,,,Copyright 1999 Times Publishing Company                               All Rights Reserved
,scientist,bacteria,ice,radiation,report,sign,warming,ant,gamma,accord,researcher,organism,repair,damage,samples,meat,issue,journal,global,natural,climate,thickness,period,find,DNA,remember,cheesy,1950,flick,nuclear,fallout,create,giant,mutant,race,well,back,1956,actually,discover,life,form,tolerant,extremely,high,dose,"3,000",time,amount,kill,person,monster,strain,pink,survive,1.5,million,rad,enough,shred,genome,piece,department,ability,completely,within,hour,offer,tantalize,clue,better,understanding,mechanism,cellular,deinococcus,radioduran,originally,isolate,can,sterilize,colony,grow,spoiled,turn,know,advance,kind,research,lead,new,technique,battle,cancer,cause,unrepair,detailed,appear,nov,science
,4,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 29, 1999, Friday",21 of 88 DOCUMENTS,The Tampa Tribune (Florida),Pasco looks over the rainbow;,"NICOLE RUDAY, of The Tampa Tribune;","SPECIAL PASCO, Pg. 25",,1366 words,,,"January 30, 1999",ENGLISH,,,,,,,Copyright 1999 Times Publishing Company                               All Rights Reserved
,business,county,development,community,Rochelle,area,pasco,Pasco,grow,government,people,industrial,state,road,west,park,good,home,new,east,need,help,however,Hillsborough_County,Rose,population,leader,thing,point,council,central,north,corridor,part,number,1998,less,line,another,s.r,president,provide,land,build,square,foot,question,give,work,local,Pasco_Economic,big,use,economic,outlook,transportation,network,laid,offer,manager,board,timing,residential,growth,time,issue,steady,shift,closing,side,eastern,half,open,b.,downs,approve,near,change,whether,bedroom,challenge,image,approach,reluctant,reluctance,tax,speculative,space,several,apply,bond,toward,labor,pool,continue,munz,employee,certainly,job
,13,10,9,9,9,8,8,8,6,6,6,5,5,5,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"February 21, 1999, Sunday",22 of 88 DOCUMENTS,The Tampa Tribune (Florida),GOP has big tax-cut plans;,"MARGARET TALEV, of The Tampa Tribune;","FLORIDA/METRO, Pg. 1",,984 words,,,"February 23, 1999",ENGLISH,,,"PHOTO; SIGNATURE (C),  Gov. Jeb Bush, shown here in January, says there's room in the state budget for the Legislature to cut taxes by $ 1.2 billion.  COLIN HACKLEY, Tribune file photo
NOTES: '99 FLORIDA LEGISLATURE",,,,Copyright 1999 Times Publishing Company                               All Rights Reserved
,tax,republican,cut,spend,lawmaker,bush,state,time,pay,school,business,budget,child,Bush,program,power,lawsuit,propose,billion,democrat,education,individual,public,money,able,go,political,campaign,include,priority,turkey,Jennings,economy,thrive,appeal,session,put,test,start,call,welfare,service,offer,1.2,hold,promise,president,corporation,job,legislation,bill,life,less,property,longer,much,product,car,receive,abortion,might,special,project,district,other,contribute,leader,lot,thrasher,particularly,reform,top,limited,Florida,Democrats,Senate,Thrasher,afford,social,convene,march,annual,lawmake,reconstruction,lock,government,unique,chance,deeply,imprint,philosophy,luxury,huge,thanks,strong,windfall,tobacco,company,gov
,10,7,7,7,7,7,6,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 28, 1999, Sunday",23 of 88 DOCUMENTS,The Tampa Tribune (Florida),Soccer challenge of lifetime awaits Paris;,"IRA KAUFMAN, of The Tampa Tribune;","PASCO, Pg. 12",,1228 words,,,"March 1, 1999",ENGLISH,,,"PHOTO (C),  (C) Tony Paris will resume working with youngsters as director of coaching at Azalea's Youth Soccer League in St. Petersburg upon his return from Alaska in seven months.  Tribune file photo
NOTES: SOCCER",,,,Copyright 1999 Times Publishing Company                               All Rights Reserved
,Paris,soccer,coach,back,go,Klaksvik,live,club,player,turn,tell,president,Faroes,Reidy,professional,team,make,much,work,phone,Maria,seven,think,leave,return,home,man,four,life,keep,time,wife,three,age,never,touch,have,know,consider,plan,high,big,open,door,program,Tony_Paris,"5,000",next,family,dead,summer,october,town,expect,finish,season,play,challenge,prove,climate,assistant,testing,head,offer,real,ball,field,pro,mind,call,believe,reidy,hand,night,pull,long,eat,tony,understand,Faroe_Islands,Pasco_County,Saint_Leo,Azalea,Jack_Paris,player_coach,travel,mile,sentimental,journey,construction,oil,change,price,grocery,local,publix,boarded,flight,friday
,23,13,13,9,8,8,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 28, 1999, Sunday",24 of 88 DOCUMENTS,The Tampa Tribune (Florida),"Risk, research shouldn't mix, experts warn;","GRACE FRANK, of The Tampa Tribune;","FLORIDA/METRO, Pg. 1",,1925 words,,,"March 29, 1999",ENGLISH,,,Association of American Medical Colleges member David Korn said USF left itself open to questions.,,,,Copyright 1999 Times Publishing Company                               All Rights Reserved
,Rowsey,USF,research,study,federal,patient,human,doctor,review,work,trephine,ethic,money,use,board,eye,question,medical,last,request,think,project,1995,october,grant,department,without,consent,former,school,reject,begin,go,include,office,support,audit,report,rowsey,Korn,university,show,professional,people,knowledge,state,care,might,institution,hospital,practice,still,dean,decline,cut,tool,institutional,apply,make,comparative,help,good,approve,surgery,member,place,official,general,usf,budget,ophthalmology,1997,irb,case,subject,dr.,colleague,inquiry,company,hire,program,Tampa,FDA,Walker,Fouraker,trouble,thing,risk,expert,surgeon,experiment,tribune,regard,discovery,speak,regardless,inform,much,stand
,30,22,19,16,11,11,9,8,8,7,7,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"April 3, 1999, Saturday",25 of 88 DOCUMENTS,The Tampa Tribune (Florida),Self-storage offers room for your stuff;,"SUSAN H. THOMPSON, of The Tampa Tribune ;","BAYLIFE AT HOME, Pg. 1",,831 words,,,"April 4, 1999",ENGLISH,,,,,,,Copyright 1999 Times Publishing Company                               All Rights Reserved
,unit,facility,rent,self_storage,size,may,time,use,furniture,whether,insurance,apartment,require,renter,visit,manager,need,storage,decide,security,keep,access,allow,fee,closet,pack,new,building,note,self,way,burn,responsible,loss,pay,lock,store,tell,item,think,good,help,people,really,know,high,foot,box,small,amount,instance,hold,room,move,vary,control,south,cost,rate,away,company,usually,check,gate,property,computer,open,service,penalty,late,monthly,bill,Self_storage,air_conditioned,nonair_conditioned,garage,overflow,attic,answer,yes,lot,choice,range,sparkling,tower,complete,amenity,basic,still,divider,word,understand,similar,course,life,unlikely,lease,thief,break
,22,14,7,6,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 1, 1999, Saturday",26 of 88 DOCUMENTS,The Tampa Tribune (Florida),Tort reform passes; injury lawsuits curbed;,"Margaret Talev, of The Tampa Tribune;","NATION/WORLD, Pg. 8",,565 words,,,"May 3, 1999",ENGLISH,,,"PHOTO,  Sen. Jack Latvala, R-Palm Harbor, had plenty to smile about Friday after the Legislature passed his tort-reform bill limiting punitive damages for victims. COLIN HACKLEY, Tribune photo",,,,Copyright 1999 Times Publishing Company                               All Rights Reserved
,measure,tort,reform,sen,people,pass,business,insurance,product,go,pay,company,vote,tell,force,House,lawmaker,friday,package,sign,bill,nearly,final,session,lobbying,opposition,collect,support,individual,make,critic,defective,senator,buy,disability,can,goal,state,damage,share,car,sue,Senate,Brown_Waite,sweeping,limiting,personal,injury,lawsuit,send,gov,jeb,bush,expect,law,think,divide,keep,tension,run,high,throughout,legislative,heavy,crumble,supporter,create,better,climate,increase,tax,base,lower,rate,fair,somebody,deep,pocket,tom,lee,decide,every,unable,whole,someone,dramatically,contend,mean,automobile,manufacturer,pharmaceutical,incentive,recall,ginny,hill,earlier,describe,audacity,advocate
,8,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 30, 1999, Wednesday",28 of 88 DOCUMENTS,The Tampa Tribune (Florida),Gore takes aim at Bush brothers;,"WILLIAM MARCH, of The Tampa Tribune;","NATION/WORLD, Pg. 1",,1016 words,,,"July 1, 1999",ENGLISH,,,"PHOTO(2C),  (C) Gore reaches to hug Cynthia Cino of Citrus County after arriving in Tampa. He first had an afternoon fundraiser in Miami Beach. ROBERT BURKE, Tribune photo",,,,Copyright 1999 Times Publishing Company                               All Rights Reserved
,Gore,gun,Florida,take,control,republican,raise,state,public,school,Bush,George_Bush,Tampa,campaign,make,family,brother,tuesday,fight,win,include,generate,week,support,run,people,think,union,call,issue,still,study,fundraiser,promise,al,gore,vow,influence,bush,crowd,money,dinner,last,may,"150,000",comparison,stop,chairman,go,speech,democratic,point,recently,new,sign,carry,conceal,weapon,cost,violence,shield,advocate,shot,compassion,change,child,environmental,policy,use,base,know,per,enthusiasm,county,appeal,worker,Miami,Democratic,tough,delight,area,supporter,night,vice,president,despite,condemned,w.,oppose,although,small,compare,financial,tidal,wave,backer,enough,prove,chance
,19,12,9,5,5,5,5,5,5,5,5,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 4, 1999, Sunday",29 of 88 DOCUMENTS,The Tampa Tribune (Florida),It's a living;,,"NATION/WORLD, Pg. 8",,3453 words,,,"July 6, 1999",ENGLISH,,,"PHOTO (5C),  (C) (Michelle Williamson) JOCK FISTICK, Tribune photo
NOTES: THE MILLENNIUM AND BEYOND",,,,Copyright 1999 Times Publishing Company                               All Rights Reserved
,go,people,know,make,have,good,to,work,job,little,thing,lot,time,we,back,something,really,life,give,always,strawberry,home,can,take,waitress,think,car,well,old,industry,kind,feel,box,never,anything,country,everything,leave,weapon,put,family,every,truck,computer,different,power,money,understand,walk,sit,grow,million,able,look,many,tell,pay,business,last,right,else,load,front,turn,call,expert,hand,worker,afraid,control,try,hard,sometimes,haul,deal,guess,cigar,keyboard,customer,telephone,become,talk,live,bank,company,laugh,problem,hack,man,today,way,ever,do,whether,technology,pick,god,stand,mean
,48,31,20,18,18,17,15,14,13,12,12,12,11,11,11,10,9,9,9,9,9,8,8,8,8,8,8,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
