PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"September 23, 2014 Tuesday",1 of 352 DOCUMENTS,The Tampa Tribune (Florida),Turn down heat on climate debate,,NATION & WORLD; Views; Pg. 6,,651 words,,,"September 23, 2014",ENGLISH,,,,,,Newspaper,Copyright 2014 Times Publishing Company                               All Rights Reserved
,change,climate,take,scientist,human,point,impact,ocean,Koonin,influence,atmosphere,nation,demonstrator,science,activity,system,century,expect,effect,percent,high,thing,fuel,economic,might,increase,past,heat,mean,decade,record,far,sea,ice,possibility,coastal,threat,emission,evidence,Climate,New_York,ten,thousand,street,around,world,sunday,demand,action,summit,week,organizer,present,petition,2.1,million,signature,harshest,critic,dismiss,hysteria,hoax,activist,concerned,advancing,government,control,protect,environment,wish,side,deep,breath,reflect,article,e.,koonin,appear,last,weekend,undersecretary,president,term,acknowledge,real,alarmist,small,comparison,whole,addition,carbon,dioxide,middle,21st,directly,shift,natural,greenhouse,highly
,drug,city,property,plan,Nurse,conflict,list,Ruskin,regard,council,member,interest,question,policy,area,report,final,hold,make,let,department,switch,limit,goal,use,st,petersburg,raise,purchase,sell,tax,vote,program,nurse,former,section,regulation,state,employee,officer,money,investment,may,appear,give,market,lose,hillsborough,heart,go,group,matter,worse,know,leave,responsible,example,credit,weather,warm,effort,team,quit,pay,view,feb,climate,genius,hype,survey,addiction,society,casual,user,addict,Midtown,wednesday,lett,acquisition,specifically,appropriate,sit,initiate,new,propose,modification,exist,ultimately,designate,redevelopment,reform,enact,media,quietly,buy,foreclosure,deed,initially,erase
,9,7,6,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 1, 2014 Saturday",41 of 352 DOCUMENTS,The Tampa Tribune (Florida),U.N. selects former N.Y. mayor Bloomberg as top climate envoy; Billionaire told to help cities fight global warming,The Associated Press,NATION & WORLD; NationWorld; Pg. 12,,257 words,UNITED NATIONS,,"February 1, 2014",ENGLISH,,,,,,Newspaper,Copyright 2014 Times Publishing Company                               All Rights Reserved
,city,climate,change,mayor,Bloomberg,action,New_York,combat,U.N.,choose,un,envoy,global,warming,major,tweet,air,Michael_Bloomberg,former,appoint,friday,special,position,give,billionaire,businessman,philanthropist,international,stage,press,ban,make,combate,focus,outspoken,run,cope,ever,increase,population,without,harm,environment,deputy,spokesman,assist,chief,consultation,key,party,raise,political,mobilize,among,part,strategy,advance,effort,bring,concrete,solution,summit,host,sept,try,galvanize,bloomberg,honor,appointment,take,measurable,reduce,emission,emerge,leader,battle,look,forward,work,around,world,accelerate,progress,serve,three,term,hand,rein,largest,de,blasio,jan,last,boast,quality,hit,highest,level,cleanest
,9,7,6,5,5,4,4,3,3,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 8, 2014 Monday",51 of 352 DOCUMENTS,The Tampa Tribune (Florida),SECTION: NATION & WORLD; Views; Pg. 12,,,,937 words,,,"September 8, 2014",ENGLISH,,,,,,Newspaper,Copyright 2014 Times Publishing Company                               All Rights Reserved
,reporter,find,something,need,group,world,think,video,take,regard,son,media,together,around,anyone,religious,time,life,extremist,change,climate,Florida,letter,bottom,barrel,trib,reader,know,amendment,sept,proponent,hurl,obscenity,report,people,drop,marijuana,continue,anything,percent,yet,front,gather,send,message,harm,effort,heart,mind,political,talk,event,terrorism,new,rise,radical,destroy,recent,we,seriously,whether,past,allow,leave,join,spiritually,way,look,happen,terrorist,kill,never,scam,vent,ocean,floor,Amsterdam,Islamic_State,Islam,Europe,Obama,win,open,paper,article,pot,celebration,microphone,hand,drink,use,language,suitable,occasion,lose,generation,young,iq,point
,6,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 18, 2014 Sunday",54 of 352 DOCUMENTS,The Tampa Tribune (Florida),Hands Across the Sand protesters decry offshore drilling; Waterside gathering aims to send message to oil companies,JOSH BOATWRIGHT; Tribune staff,METRO; News; Pg. 27,,1005 words,ST. PETE BEACH,,"May 18, 2014",ENGLISH,,,,,,Newspaper,Copyright 2014 Times Publishing Company                               All Rights Reserved
,oil,Florida,gulf,saturday,fuel,across,hand,sign,fossil,change,frack,drilling,Sand,people,company,effort,thing,climate,transit,plan,threat,major,well,stretch,event,gas,underground,place,water,continue,United_States,Greenlight_Pinellas,Harrelson,protest,offshore,nearly,200,clasp,along,edge,visible,prospect,welcome,biggest,local,resident,turn,tide,use,quicken,pace,vote,yes,public,fall,several,participant,annual,dependent,lack,option,metropolitan,area,powerful,create,system,give,we,freedom,sale,tax,increase,november,ballot,approval,referendum,fund,county,vastly,expand,bus,service,add,line,business,center,among,poster,slogan,big,many,support,clean,energy,source,solar,power,noon,chain
,19,12,8,8,8,7,6,6,6,6,6,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"June 8, 2014 Sunday",79 of 352 DOCUMENTS,The Tampa Tribune (Florida),Democrats hope to win votes with global warming; GOP considers state initiatives to be alarmist,The Associated Press,METRO; Pg. 22,,595 words,MIAMI BEACH,,"June 8, 2014",ENGLISH,,,,,,Newspaper,Copyright 2014 Times Publishing Company                               All Rights Reserved
,climate,change,Florida,recent,water,place,sea,state,global,warming,republican,country,democrat,issue,million,Scott,Miami,afternoon,rain,seawater,new,level,coastal,measure,battle,science,among,gov,presidential,run,current,federal,center,campaign,beach,storm,problem,city,McKenzie,wire,story,page,watch,torrential,murky,tide,swallow,street,outside,salon,within,minute,much,stretch,chic,flood,fetid,mix,welcome,venice,salt,surge,sewer,nation,vulnerable,rise,tourist,retirement,mecca,build,largely,drain,swampland,yet,administration,take,aggressive,effect,top,politician,challenging,balk,government,fix,chief,skeptic,sen,marco,rubio,former,jeb,bush,possible,candidate,2016,work,legislature,dismantle,fledgle
,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 20, 2014 Saturday",87 of 352 DOCUMENTS,The Tampa Tribune (Florida),"The world's people will need to eat, so we'll need a bigger boat",JAMES W. JONES; Special to The Tampa Tribune,NATION & WORLD; Views; Pg. 35,,914 words,,,"September 20, 2014",ENGLISH,,,,,,Newspaper,Copyright 2014 Times Publishing Company                               All Rights Reserved
,public,need,agricultural,food,information,nonprofit,research,private,spend,sector,data,rise,climate,increase,example,company,scientist,billion,demand,world,project,next,change,production,past,begin,many,provide,government,together,establish,security,try,bigger,boat,humanity,we,problem,resource,hand,2050,develop,percent,make,recently,issue,note,increasingly,new,mean,way,partnership,benefit,share,commercial,opportunity,within,vital,corn,model,help,seem,bring,side,200,million,funding,consider,Florida,Monsanto,REAP,USDA,memorable,scene,character,finally,glimpse,immense,great,white,shark,fellow,crew,member,catch,famously,declare,go,to,preference,drama,think,overstatement,similar,situation,degree,another,7.2,earth
,8,7,7,6,6,6,5,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 24, 2014 Tuesday",97 of 352 DOCUMENTS,The Tampa Tribune (Florida),SECTION: NATION & WORLD; Views; Pg. 8,,,,939 words,,,"June 24, 2014",ENGLISH,,,,,,Newspaper,Copyright 2014 Times Publishing Company                               All Rights Reserved
,positive,page,june,people,MacKinnon,change,really,president,front,government,name,IRS,write,climate,closer,something,let,partisan,hold,thing,give,issue,administration,Congress,environment,ago,fact,real,whether,frack,role,legislator,state,big,national,need,consider,hispanic,community,newspaper,try,many,time,gov,we,keep,lose,slide,piece,appear,poor,judgment,another,may,opine,perhaps,might,place,back,statement,report,democrat,view,end,dig,offensive,rule,plan,Scott,D_Day,U.S.,tuesdayletter,protect,week,please,believe,play,significant,work,mitigate,effect,nation,decide,permit,acid,cypress,swamp,feed,everglade,increase,pollution,methane,particular,poison,treasure,encourage,senator,county,commissioner
,9,5,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 25, 2014 Sunday",110 of 352 DOCUMENTS,The Tampa Tribune (Florida),VA horrors: The Obama scandal even lefties recognize,,METRO; Pg. 0,,1697 words,,,"May 25, 2014",ENGLISH,,,,,,Newspaper,Copyright 2014 Times Publishing Company                               All Rights Reserved
,Obama,president,another,think,new,administration,veterans,notice,wait,tom,department,care,ally,describe,passive,columnist,great,time,show,late,public,take,still,welcome,include,scandal,hell,van,slow,obama,promise,rather,change,government,know,back,talk,do,face,lefty,demagogue,attack,look,Veterans_Affairs,Barack_Obama,Milbank,Klein,jackson,Right_Stuff,blog,update,throughout,week,tbo.com,plainly,nothing,hideous,complaint,form,extend,least,f.,combination,critical,cynical,systemic,failure,apparent,indifference,make,central,win,disaster,fiercest,media,leave,scold,headline,among,huff,inspire,confidence,finally,decide,comment,excessive,medical,appointment,read,statement,possible,disgust,arise,pique,personally,inconvenienced,appearance,involve,campaign
,26,10,8,8,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"November 4, 2014 Tuesday",137 of 352 DOCUMENTS,The Tampa Tribune (Florida),"Panel: Rising seas a threat to Fla. [JUMP]Leaders in Tampa Bay region must plan for effects of climate change, experts say; Leaders in Tampa Bay region must plan for effects of climate change, experts say",KATE BRADSHAW Tribune staff,METRO; Pg. 13,,717 words,,,"November 4, 2014",ENGLISH,,,,,,Newspaper,Copyright 2014 Times Publishing Company                               All Rights Reserved
,rise,sea,level,impact,panel,state,city,water,sea_level,social,issue,take,plan,community,much,happen,population,Kriseman,local,part,scientist,area,place,serious,aim,coast,sit,monday,way,look,start,put,scientific,debate,audience,cause,go,panelist,region,kid,use,rainfall,supply,concern,director,policy,council,selection,committee,make,consider,Blue_Ocean_Film_Festival,Florida,Mitchum,Floridian,leader,talk,st.,worry,coastal,become,inundate,continue,gradually,across,globe,especially,acknowledge,threat,assemble,week,explore,phenomenon,potential,ecological,economic,scant,elevation,ton,stake,along,hundred,mile,mayor,rick,kriseman,edge,launch,approach,already,prior,administration,really,office,january,recognize,can,back,action
,9,6,6,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 20, 2014 Monday",139 of 352 DOCUMENTS,The Tampa Tribune (Florida),"'Turnaround schools' struggling; Behavior, reading skills among issues cited by report",ANASTASIA DAWSON; Tribune staff,METRO; Pg. 15,,1683 words,CLEARWATER,,"January 20, 2014",ENGLISH,,,,,,Newspaper,Copyright 2014 Times Publishing Company                               All Rights Reserved
,school,student,percent,new,kid,write,program,state,behavior,many,FCAT,read,test,district,teacher,staff,standard,really,report,grade,classroom,score,proficient,increase,Pinellas_Park_Middle,five,make,improvement,education,last,standardize,change,culture,clear,expectation,math,level,well,overall,better,start,huge,learn,harder,commend,good,promote,involvement,receive,hold,have,rule,go,avoid,application,Azalea_Middle,Maximo,Melrose,Fairmount_Park,Common_Core,Azalea,Cadet_Corp,for,though,struggle,significant,recent,department,indicate,achievement,particularly,yet,par,dub,turnaround,repeatedly,perform,poorly,earn,multiple,official,submit,plan,detailing,replace,audit,throughout,differentiate,accountability,team,acceptable,procedure,result,disruptive,limit,ability,carry,lesson,cite
,39,24,16,14,14,12,12,10,10,10,10,8,8,8,8,8,8,8,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"January 25, 2014 Saturday",140 of 352 DOCUMENTS,The Tampa Tribune (Florida),SECTION: METRO; Business; Pg. 19,,,,582 words,,,"January 25, 2014",ENGLISH,,,,,,Newspaper,Copyright 2014 Times Publishing Company                               All Rights Reserved
,million,company,stock,option,°,rise,KPMG,pay,friday,government,bolivar,exchange,rate,climate,salary,value,big,accounting,firm,agree,settle,independence,provide,nonaudit,service,audit,rule,kpmg,office,carrier,ticket,close,sale,effect,owed,almost,make,play,install,last,inc.,change,chairman,2013,percent,special,executive,september,SEC,Davos,daily,8.2,federal,regulator,charge,compromise,whose,book,security,announce,settlement,four,violate,auditor,prohibit,bookkeeping,involved,name,addition,employee,own,client,neither,admit,deny,allegation,6.5,restitution,interest,1.77,penalty,hire,independent,consultant,monitor,compliance,temper,flare,airline,react,angrily,international,refusal,sell,devalue,flight,abroad,copa,either
,9,6,6,6,5,5,5,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 13, 2014 Thursday",141 of 352 DOCUMENTS,The Tampa Tribune (Florida),"Study links stroke risk, extreme weather; And in light of climate change, findings may 'be increasingly important'",The Associated Press,NATION & WORLD; NationWorld; Pg. 26,,338 words,,,"February 13, 2014",ENGLISH,,,,,,Newspaper,Copyright 2014 Times Publishing Company                               All Rights Reserved
,weather,study,stroke,risk,high,cold,may,humidity,people,extreme,blood,raise,stress,body,rate,temperature,swing,researcher,climate,trend,hospital,find,trigger,result,cause,work,clot,cardiovascular,feel,hot,stay,tie,rise,link,analyze,record,million,americans,big,daily,seem,land,warmer,fall,percent,every,degree,maybe,meteorological,factor,serve,lead,global,change,week,storm,increasingly,important,lichtman,colleague,university,present,wednesday,largest,detailed,research,issue,earlier,seasonal,biological,reason,think,related,independent,expert,neurologist,vessel,constrict,pressure,reaction,release,substance,increase,heart,make,stickier,likely,clamp,duke,specialist,conversely,dehydration,know,humid,mean,friend,relative,keep,eye
,10,6,6,6,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 12, 2014 Monday",144 of 352 DOCUMENTS,The Tampa Tribune (Florida),BYLINE: LYNN EDWARD WEAVER; Special to The Tampa Tribune,,NATION & WORLD; Views; Pg. 10,,594 words,,,"May 12, 2014",ENGLISH,,,,,,Newspaper,Copyright 2014 Times Publishing Company                               All Rights Reserved
,nuclear,power,electricity,plant,Florida,reactor,construction,need,energy,use,build,gas,increase,production,emission,carbon,plan,new,large,section,change,regulatory,fuel,although,natural,price,climate,important,make,source,coal,ton,ahead,design,electric,system,site,requirement,builder,able,amount,provide,Turkey_Point,AP1000,United_States,nuke,clean,air,nothing,future,great,stride,curb,continue,play,key,role,development,prevent,airborne,13.1,million,metric,dioxide,along,thousand,nitrogen,oxide,mercury,pollutant,best,may,lie,additional,county,call,ap,1000,world,technologically,advanced,four,many,country,utility,choose,prefabricate,ship,weld,together,huge,module,load,place,crane,older,contrast,1980,slowed
,13,10,7,7,6,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 18, 2014 Tuesday",162 of 352 DOCUMENTS,The Tampa Tribune (Florida),SECTION: NATION & WORLD; Views; Pg. 10,,,,858 words,,,"March 18, 2014",ENGLISH,,,,,,Newspaper,Copyright 2014 Times Publishing Company                               All Rights Reserved
,tree,leave,think,law,oak,Dorje_Shugden,letter,many,act,reduce,income,military,spend,people,stand,ground,race,anything,intimidate,Dalai_Lama,prepare,change,real,already,cause,community,fiercer,storm,must,impact,destroy,effort,need,better,world,call,extreme,socialism,make,minimum,wage,progressive,tax,justifiable,americans,nation,buddhist,know,peace,news,honor,political,leader,remove,mention,do,al,shot,go,night,person,staff,ok,group,pollen,driveway,end,start,palm,United_States,U.S.,Sharpton,Florida,George_Zimmerman,warming,problem,devastation,due,rise,sea,level,carbon,pollution,increase,production,chance,lessen,future,negative,environment,therefore,avoid,flooding,likely,city,hurt,economy,global,forefront
,7,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 10, 2014 Tuesday",168 of 352 DOCUMENTS,The Tampa Tribune (Florida),SECTION: NATION & WORLD; Views; Pg. 6,,,,744 words,,,"June 10, 2014",ENGLISH,,,,,,Newspaper,Copyright 2014 Times Publishing Company                               All Rights Reserved
,state,Florida,go,use,emission,power,good,almost,dog,switch,change,provide,line,public,debate,fence,fact,executive,decision,act,Bush,Congress,life,pull,let,long,significance,end,thus,need,recently,climate,strategy,plant,percent,level,section,time,blurred,federal,jurisdiction,comment,must,participate,nation,electricity,environmental,writer,cold,hard,president,exchange,five,terrorist,war,country,nut,without,2002,Tennessee,Utah,D_Day,Clean_Air_Act,EPA,Obama,Iraq,tuesday,letter,retro,bring,back,ol,electric,chair,lethal,poison,injection,well,fire,squad,rabid,attack,kill,grandma,eat,grandchild,coddle,pound,jail,luxury,three,meal,air,conditioning,rec,room,activity,park,etc
,7,6,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 21, 2014 Tuesday",176 of 352 DOCUMENTS,The Tampa Tribune (Florida),"We need to discuss global overpopulation, not run from it",HOLLY MOELLER; Special to The Tampa Tribune,NATION & WORLD; Views; Pg. 13,,889 words,,,"October 21, 2014",ENGLISH,,,,,,Newspaper,Copyright 2014 Times Publishing Company                               All Rights Reserved
,population,human,growth,billion,woman,global,resource,size,birth,many,planet,energy,person,carbon,control,reproductive,world,uncertainty,still,issue,people,overpopulation,environmental,support,impact,increase,emission,child,family,access,reliable,Earth,sub_Saharan,study,use,estimate,analysis,change,political,additional,shy,away,discussion,quantify,large,example,fertilizer,expert,require,capacity,maintain,life,choose,relatively,natural,live,every,standard,fewer,individual,include,add,past,percent,consequence,note,economic,development,mother,technological,fix,power,rather,official,fear,rights,health,tell,we,reduce,investment,plan,U.N.,oped,earlier,latest,data,revisit,prediction,news,good,update,new,statistical,suggest,hit,nearly,2100,measure
,20,11,6,6,6,5,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
