PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"June 9, 2002, Sunday",1 of 34 DOCUMENTS,The New York Post,THE EPA'S HOT AIR,,All Editions; Pg. 024,,462 words,,,"June 13, 2002",ENGLISH,,,,,,,"Copyright 2002 N.Y.P. Holdings, Inc. All rights reserved."
,change,report,human,activity,much,EPA,last,cause,president,gas,climate,world,America,global,warming,greenhouse,put,bureaucracy,science,due,administration,know,create,temperature,take,answer,truly,economy,affect,Kyoto,monday,notify,accept,notion,real,next,stop,happily,appear,bush,quickly,dismiss,protocol,mean,reduce,industrial,use,blueprint,economic,catastrophe,doubt,quick,characterize,notification,though,technically,face,fierce,criticism,otherwise,ally,call,with,ouch,however,flap,seem,misinterpretation,accord,describe,serious,issue,seek,opinion,undecided,problem,blame,state,observe,several,decade,likely,mostly,rule,significant,part,reflection,natural,variability,word,course,concern,might,go,wobbly,understandable,barely,week,ago
,market,emerge,stock,investor,many,company,fund,have,U.S.,Rocco,seem,believe,research,firm,cheaper,individual,recommend,include,political,issue,time,study,trade,diversify,Argentina,India,may,live,name,hard,follow,economic,collapse,trend,among,develop,country,positive,index,inch,upward,meanwhile,tear,consensus,global,recession,always,beneficiary,senior,analyst,independent,morningstar,bullish,pro,think,poise,major,break,vice,president,add,boost,fact,trading,high,multiple,send,hunt,opportunity,elsewhere,faster,growth,combination,potential,check,oil,food,beverage,giant,software,laboratory,drug,happen,underestimate,risk,go,business,condition,change,quickly,drastically,accounting,pose,problem,several,juncture,recent,people,optimistic
,16,12,5,5,4,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 17, 2002, Wednesday",11 of 34 DOCUMENTS,The New York Post,WINE FOR APARTMENT DWELLERS' CELLARS,William Neuman,All Editions; Pg. 041,,277 words,,,"April 17, 2002",ENGLISH,,,,,,,"Copyright 2002 N.Y.P. Holdings, Inc. All rights reserved."
,wine,old,cellar,Madeira,Justino,apartment,keep,improve,age,new,yorker,make,sweet,boal,grape,malmsey,tea,nut,orange,caramel,Blandy,cellare,mean,usually,red,number,expert,ought,do,cool,dark,place,constant,degree,might,ok,live,chateau,suburban,house,basement,jay,mcinerney,novelist,writer,solve,problem,electric,cooler,overflow,go,company,rent,space,other,store,good,bottle,spare,bed,indestructible,without,care,fortify,island,name,great,dinner,300,less,fashion,early,exporter,find,better,long,hot,sea,voyage,tropic,winemaker,cook,expect,open,close,never,change,madeira,dry,prefer,bual,jolt,acidity,incredible,layer,black,toffee,fig,aromas
,8,6,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 23, 2002, Tuesday",12 of 34 DOCUMENTS,The New York Post,CARDINAL RULE IN ROME,Neal Travis,All Editions; Pg. 011,,943 words,,,"April 23, 2002",ENGLISH,,,,,,,"Copyright 2002 N.Y.P. Holdings, Inc. All rights reserved."
,go,church,know,expect,week,chief,tell,source,order,time,decide,people,Egan,pay,learn,emerge,pope,cardinal,fire,force,seem,new,man,woman,finally,blame,accuse,witness,death,trial,attorney,ever,police,succeed,chairman,state,president,last,maybe,night,law,case,version,harrow,sure,son,Rome,America,American,Maher,NBC,Elton,practice,politics,within,closest,vatican,circle,really,extraordinary,meeting,prince,always,management,type,guardian,flock,conn,lot,executive,strategy,good,friend,legendary,observer,conclave,rule,stun,public,pronouncement,equivalent,debacle,happen,full,concurrence,rest,proceed,put,house,resign,include,risk,egan,save,skin,other,total,loyalty,suggest
,6,5,5,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 29, 2002, Monday",13 of 34 DOCUMENTS,The New York Post,POL PLANS GAS GRILL,RITA DELFINER,All Editions; Pg. 023,,496 words,,,"April 29, 2002",ENGLISH,,,"BIG STINK:Fresh Kills landfill produces 5 million cubic feet of methane a day for GSF Energy, but that's not enough, says a city councilman.  N.Y. Post: David Rentas",,,,"Copyright 2002 N.Y.P. Holdings, Inc. All rights reserved."
,methane,landfill,gas,million,process,plant,cubic,foot,percent,city,GSF,potent,greenhouse,extract,today,eliminate,pollutant,spokesman,right,may,sept,schedule,well,carbon,dioxide,use,flar,able,Fresh_Kills,GSF_Energy,company,clear,soon,councilman,plan,grill,sanitation,official,seem,closer,goal,capture,mcmahon,chairman,council,extremely,important,atmosphere,contribute,effect,whose,committee,hold,hearing,management,issue,llc,tell,post,target,terrorist,attack,delay,finish,site,availability,negatively,impact,event,have,extra,debris,world,trade,center,top,land,prevent,drilling,putrid,mixture,volatile,organic,chemical,belch,air,create,garbage,decompose,close,last,summer,145,ton,waste,keep,produce,good,news
,12,10,9,7,5,5,5,5,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 5, 2002, Sunday",14 of 34 DOCUMENTS,The New York Post,PIONEER EQUITY LIKES DIVIDEND-PAYING STOCKS,Beth Piskora,All Editions; Pg. 030,,563 words,,,"May 10, 2002",ENGLISH,,,,,,,"Copyright 2002 N.Y.P. Holdings, Inc. All rights reserved."
,stock,dividend,company,fund,dividend_paying,return,investor,percent,Carey,make,pay,market,gain,december,utility,look,way,positive,portfolio,manager,many,reason,buy,investment,part,new,still,500,index,other,run,past,9.81,big,2001,total,income,example,important,financial,increase,deregulation,include,Pioneer_Equity_Income,back,vogue,guarantee,price,move,great,case,today,invest,primarily,among,cite,low,interest,rate,available,high,quality,lower,volatility,1990,scoff,profit,shareholder,dollar,equipment,research,otherwise,contribute,growth,grounded,battle,slump,list,result,outperform,help,2000,enter,downfall,five,average,annual,solid,performance,nothing,decade,end,reinvest,take,longer,period,1958,reinvestment,historical
,10,10,8,7,6,5,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 7, 2002, Tuesday",15 of 34 DOCUMENTS,The New York Post,VOTING A SPIT IN FACE,George Willis,All Editions; Pg. 073,,614 words,,,"May 7, 2002",ENGLISH,,,,,,,"Copyright 2002 N.Y.P. Holdings, Inc. All rights reserved."
,Nets,coach,go,game,Scott,playoff,franchise,honor,win,vote,nets,make,seven,best,last,team,play,NBA,Pistons,Carlisle,series,indication,deserve,piston,award,player,clearly,accomplish,record,scott,better,change,season,take,voter,laugh,way,era,ago,perhaps,right,best_of_seven,Hornets,Year_Award,Detroit,NBA_Finals,need,motivation,today,snub,praise,guide,furthermore,correct,name,league,mvp,announce,later,week,mean,ignore,top,improve,o'neal,fully,impress,panel,sportswriter,broadcaster,throughout,wonder,watch,past,fact,finish,enough,warrant,covet,addition,improvement,climate,beleaguer,greater,experience,least,previous,curse,second,round,lead,tonight,realistic,chance,reach,majority,must,understand,depth
,8,7,5,5,5,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 26, 2002, Wednesday",16 of 34 DOCUMENTS,The New York Post,JITTERY INVESTORS BAIL OUT; NASDAQ HITS SEPT. LOWS,BETH PISKORA,Metro; Pg. 033,,472 words,,,"July 24, 2002",ENGLISH,,,,,,,"Copyright 2002 N.Y.P. Holdings, Inc. All rights reserved."
,dollar,fall,confidence,market,U.S.,point,consumer,index,decline,stock,billion,investor,time,economy,Wall_Street,Conference_Board,dow,industrial,composite,low,reason,condition,business,budget,may,make,euro,look,back,1987,percent,federal,reserve,today,feed,Nasdaq,go,downward,spiral,slice,155,put,within,four,june,wipe,178.5,wealth,slip,dampen,jubilant,spirit,analyst,investment,research,reflect,another,other,include,slide,actually,weak,labor,generally,soft,wane,public,questionable,practice,help,erode,director,either,way,happy,average,plummete,155.00,"9,126.82",500,16.58,976.14,nasdaq,dump,36.35,"1,423.99",course,many,turn,bearish,government,deficit,hit,160,current,fiscal,far,cry,projection
,7,6,5,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 12, 2002, Friday",17 of 34 DOCUMENTS,The New York Post,LET'S SLAY TWO! - TIGERS AND DEVIL RAYS MUST DIE - AND THEY'RE NOT ALONE,Kevin Kernan,All Editions; Pg. 119,,651 words,,,"July 12, 2002",ENGLISH,,,"-DETROIT TIGERS (1901-2002?); TAMPA BY DEVIL RAYS (1995-2002?) (s, lcf)
-ENOUGH ALREADY: Chris Gomez of Devil Rays (above) and Mark Redman of Tigers strike familiar poses for their unsuccessful teams. They are first two of up to eight clubs that need to bite the dust, Kevin Kernan says.  AP photos (m)",,,,"Copyright 2002 N.Y.P. Holdings, Inc. All rights reserved."
,team,go,MLB,lose,baseball,financial,tiger,new,close,reality,let,world,move,crisis,fold,'em,know,bad,stop,call,wolf,door,another,club,time,live,long,job,every,deep,payroll,business,season,struggle,miss,need,buy,better,franchise,die,learn,America,Tampa_Bay,Major_Leagues,favorite,take,whole,mean,declaration,major,accord,source,six,yes,damage,far,dream,disappear,simply,reason,company,immune,dark,wednesday,bag,peril,might,able,meet,monday,force,despite,denial,kidney,stone,pass,moment,trouble,around,bend,insist,receivership,cry,horizon,bluff,somewhere,else,have,hold,play,game,sympathy,devil,ray,believe,immediate,solve,regard,chief
,13,7,6,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 25, 2002, Thursday",18 of 34 DOCUMENTS,The New York Post,NOW METS CAN FOCUS ON WINS,George Willis,Sport+Late City Final; Pg. 075,,694 words,,,"July 25, 2002",ENGLISH,,,BUM FEELING: Roberto Alomar can't mask his disappointment after lining out in fifth inning of Mets' 2-1 loss to Expos at Shea last night.  NY Post: Nury Hernandez,,,,"Copyright 2002 N.Y.P. Holdings, Inc. All rights reserved."
,Leiter,signing,leiter,season,met,million,end,Mets,Phillips,contract,option,free,game,next,go,Vaughn,wild_card,win,future,2005,team,agent,make,potential,trade,think,playoff,happy,clubhouse,everybody,status,might,talk,last,change,believe,residual,much,move,secure,likely,start,hometown,discount,earn,term,deal,player,worry,play,need,special,good,message,hierarchy,send,speculation,surround,extension,mutual,have,hear,enough,dismantle,vulnerable,july,deadline,race,couple,teammate,well,anyone,receive,congratulatory,handshake,mo,vaughn,other,nobody,anybody,leave,atmosphere,engulf,motive,bring,closure,may,pure,seem,dump,salary,climb,contention,lose,night,five,behind,lead,barring
,12,8,8,6,5,5,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 3, 2002, Saturday",19 of 34 DOCUMENTS,The New York Post,WEIRD BUT TRUE,Stefan C. Friedman and Post Wire Services,All Editions; Pg. 012,,372 words,,,"August 3, 2002",ENGLISH,,,,,,,"Copyright 2002 N.Y.P. Holdings, Inc. All rights reserved."
,animal,woman,accord,****,shelter,town,scientist,monsoon,season,rainfall,amount,gas,find,city,suggest,bow,tie,ghost,steak,another,Afghanistan,Southeast_Asia,India,war,clobber,al,force,weather,system,part,well,provide,much,country,annual,absent,chief,scientific,officer,claim,warplane,blame,plane,release,large,greenhouse,aerosol,have,fly,significantly,contribute,pattern,across,negating,massive,usually,makeover,encourage,potential,pet,owner,adopt,controller,laura,chick,dress,sweater,collar,general,manager,believe,donning,fancy,clothing,play,potentially,dangerous,ask,put,pit,bull,simply,good,luck,northern,terrorize,pervert,victim,saucy,specter,pinch,behind,cause,lose,consciousness,wake,feeling,dizzy,start
,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 12, 2002, Monday",20 of 34 DOCUMENTS,The New York Post,BUSINESS BRIEFS,,All Editions; Pg. 031,,294 words,,,"August 12, 2002",ENGLISH,,,,,,,"Copyright 2002 N.Y.P. Holdings, Inc. All rights reserved."
,industry,tourism,probe,issue,ford,sue,co.,participate,auto,service,million,ask,napster,price,security,U.S.,office,impanel,federal,grand,jury,part,bankrupt,subpoena,witness,bank,record,document,investigator,unravel,fact,behind,bankruptcy,determine,former,face,charge,motor,may,still,lawsuit,new,law,limit,emission,greenhouse,gas,startling,state,official,think,automaker,chairman,willing,cooperate,support,world,provider,computer,contract,worth,ten,dollar,several,manage,hotline,push,leader,plan,national,organization,sell,destination,try,restore,weak,international,market,slowed,recovery,sale,asset,go,auction,friday,deadline,eight,business,away,secretly,pay,false,research,report,2000,help,drive,stock,allege
