PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"September 30, 1999, Thursday",1 of 26 DOCUMENTS,The New York Post,"HE JUST DOESN'T GET IT: THE GORE CAMPAIGN'S PROBLEM ISN'T THE HQ, IT'S THE CANDIDATE",Dick Morris,All Editions; Pg. 037,,635 words,,,"September 30, 1999",ENGLISH,,,,,,,"Copyright 1999 N.Y.P. Holdings, Inc. All rights reserved."
,need,Gore,Bradley,Clinton,gore,change,move,al,headquarters,consultant,find,debate,former,well,vice,president,substance,new,vision,staff,another,spend,television,scenery,boss,speech,town,meeting,anything,focus,mechanic,pay,man,idea,enough,campaign,seem,right,senator,likely,willing,problem,cash,lease,cost,America,Nashville,New_Jersey,last,awaken,realize,fight,life,presidential,nomination,unfortunately,choose,style,cope,unexpected,challenge,shrink,city,stop,money,malady,afflict,solve,separate,speak,voice,matter,dull,boring,write,whether,give,important,articulate,goal,priority,far,might,easily,include,next,state,attention,incredibly,insecure,believe,stake,success,failure,ahead,entire,nation,global,warming
"March 2, 1999, Tuesday",5 of 26 DOCUMENTS,The New York Post,HILLARY'S NUMBERS HEAD SOUTH,Dick Morris,All Editions; Pg. 027,,804 words,,,"March 2, 1999",ENGLISH,,,"-Opinion of Hillary Clinton GRAPH:
-Vote Share of Potential Republican Candidates
-Vote Share of Potential Democratic Candidates",,,,"Copyright 1999 N.Y.P. Holdings, Inc. All rights reserved."
,percent,candidacy,popularity,run,make,president,husband,Clinton,Gore,show,drop,senator,national,favorability,man,voter,move,week,talk,place,woman,grow,global,poll,hillary,sudden,election,must,rating,another,use,elect,image,ratings,back,political,face,gore,close,democrat,field,need,course,can,environment,climate,change,issue,father,Senate,Hillary,Elizabeth_Dole,Bush,lot,less,likely,feb,news,opinion,dynamics,speculation,begin,cruel,irony,love,stand,unflappably,closer,actual,fade,rise,approval,equally,chronicl,november,table,impeachment,gather,momentum,awe,grace,pressure,height,burst,consciousness,dignity,poise,assassination,nation,calm,bear,excruciating,embarrassment,impressed,we,nov,high,jan,senate
,6,6,6,6,6,6,5,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 30, 1999, Sunday",6 of 26 DOCUMENTS,The New York Post,"NAMELY, YOU HAVE TO COVER YOUR E-BIZ ASSETS",JOSEPH GALLIVAN,All Editions; Pg. 057,,571 words,,,"June 1, 1999",ENGLISH,,,,,,,"Copyright 1999 N.Y.P. Holdings, Inc. All rights reserved."
,name,trademark,domain,register,website,site,word,hire,mind,call,use,e_mail,set,mistake,last,list,job,might,contact,back,think,brain,right,hay,available,lawyer,touby,web,hiremind,people,case,cover,search,cybersquatter,sell,go,higher,send,Laurel_Touby,Network_Solutions,Boston,Kenyon,Touby,freelance,journalist,make,classic,five,organize,party,writer,summer,decide,community,apartment,useful,lucrative,inner,entrepreneur,fire,surf,hireminds.com,geddit,certain,higherminds.com,point,latter,former,tell,spread,sit,watch,traffic,boom,road,high,tech,leave,mo,good,sense,check,jump,chance,problem,may,able,legally,keep,continue,due,potential,confusion,among,surfer,although,effectively,highermind,know
,8,8,7,6,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 12, 1999, Sunday",7 of 26 DOCUMENTS,The New York Post,SCULPTOR OF GRANITE DON CORNWELL'S TV GROUP SET TO USE RULE CHANGES TO GROW,LISA BROWNLEE,All Editions; Pg. 054,,1070 words,,,"September 14, 1999",ENGLISH,,,READY: W. Don Cornwell is savoring his second career.Ismael Roldan,,,,"Copyright 1999 N.Y.P. Holdings, Inc. All rights reserved."
,Cornwell,station,Granite,million,buy,tv,deal,go,Detroit,make,revenue,way,own,second,market,grow,today,leave,take,little,big,money,affiliate,with,man,stand,regulator,chairman,let,broadcaster,channel,reach,percent,media,third,nation,partner,company,sit,100,cash,ready,whose,1998,value,pick,time,think,invisible,nowhere,near,bear,pretty,bet,back,far,1988,opportunity,private,equity,early,round,financing,another,hope,duopoly,open,network,add,advertising,quarter,look,CBS,Viacom,Buffalo,Occidental_College,Goldman_Sachs,San_Francisco,gambling,sach,investment,banker,quintessential,example,suit,power,grab,place,gaggle,run,compete,marketplace,consumer,choose,seem,zillion,nine,annual,approach
,22,11,10,8,6,5,5,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 23, 1999, Thursday",8 of 26 DOCUMENTS,The New York Post,NEW BAZAAR-INA CLEANS HOUSE,,All Editions; Pg. 009,,879 words,,,"September 23, 1999",ENGLISH,,,"-Taking a shine to Robin: Young Hanna Taylor Gordon outshines - literally - superstar Robin Williams at last night's premiere of their World War II heart-warmer, ""Jakob the Liar,"" at the Sony Lincoln Square.  Dave Allocca / DMI (S, LCF) -Clash bash: Stella McCartney - Paul and Linda's kid - joins fellow (we think) designer John Galliano at a London party the other day for the documentary ""Westway to the World,"" about the rock band The Clash.  Alpha / Dave Benett (M)",,,,"Copyright 1999 N.Y.P. Holdings, Inc. All rights reserved."
,go,editor,people,hear,still,art,best,buy,Betts,always,love,tilberis,change,rather,fit,way,vogue,fire,move,anyone,quite,spokeswoman,new,key,long,bring,ever,upset,family,among,night,include,many,party,deal,major,give,make,Harper,Bazaar,Liz,Tilberis,Clintons,Manhattan,Boss,Gutkowski,Douglas,Michael,hard,fill,shoe,brilliant,universally,liz,look,successor,decide,whole,wardrobe,try,pump,reign,terror,jump,ship,bazaar,baby,reportedly,stalwart,late,fully,action,program,high,gear,obviously,teach,well,anna,wintour,rid,display,loyalty,job,brutal,climate,dismal,understand,percent,quit,neither,confirm,deny,figure,merely,take,several,right,degree
,6,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 30, 1999, Tuesday",9 of 26 DOCUMENTS,The New York Post,LAW FIRMS OUTBID CITY FOR NEW LEGAL EAGLES,David Seifman City Hall Bureau Chief,All Editions; Pg. 004,,417 words,,,"December 1, 1999",ENGLISH,,,MICHAEL HESS Eyes residency law.,,,,"Copyright 1999 N.Y.P. Holdings, Inc. All rights reserved."
,firm,city,lawyer,Hess,private,law,salary,look,Gillers,"120,000",recent,graduate,make,best,way,change,residency,service,think,young,much,money,"110,000",hourly,rate,go,percent,Law_Department,soar,high,may,tough,attract,brightest,corporation,counsel,start,"44,367",strict,requirement,apply,municipal,employee,except,uniformed,categorize,hard,recruit,live,five,borough,question,possibly,fall,type,exemption,far,something,interest,represent,properly,still,many,applicant,position,office,know,front,line,sooner,spirit,morale,terrific,sometimes,worth,lot,work,oppose,competition,find,large,worried,escalate,war,sector,harder,hire,retain,issue,someone,wave,difficult,increase,client,cover,bigger,note,top,wardwell
,7,7,7,7,5,5,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 30, 1999, Saturday",10 of 26 DOCUMENTS,The New York Post,ISLES' TRIO PUTS CLAMPS ON TOP FOES,MARC BERMAN,Metro; Pg. 043,,745 words,,,"January 30, 1999",ENGLISH,,,CLAUDE-Y DAYS: Claude Lapointe's work on a checking line with Mark Lawrence and Sergei Nemchinov has helped the Islanders get off to a good start under new coach Bill Stewart.New York Post: Charles Wenzelberg,,,,"Copyright 1999 N.Y.P. Holdings, Inc. All rights reserved."
,Stewart,line,game,go,last,play,night,Isles,Chara,right,leave,unit,check,face,third,meeting,lose,think,good,win,recently,eye,straight,Lawrence,Czerkawski,everything,new,start,scoring,end,trio,help,period,make,use,hurt,goal,locker,room,bring,team,really,lineup,scratch,tuesday,defenseman,skate,blade,slash,wear,visor,tell,second,clean,Pittsburgh,Boston,Lowell,Milbury,far,islander,coach,touch,turn,gold,form,note,excel,season,break,desire,center,wave,together,combat,opponent,top,key,victory,trifecta,league,powerhouse,phoenix,bottle,frustrated,samsonov,bench,excited,power,forward,callup,watch,guy,tv,finally,try,shut,reward,plus,expect
,9,8,8,7,6,5,5,5,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 9, 1999, Friday",11 of 26 DOCUMENTS,The New York Post,REJIGGERING THE B00KS: ABC GETS CONTROL OF DISNEY'S HYPERION,KEITH J. KELLY,All Editions; Pg. 032,,512 words,,,"April 9, 1999",ENGLISH,,,EXPANDING THE KINGDOM: Walt Disney is expanding its U.S. Buena Vista Publishing Group to include overseas publishing.  Bob Iger & Steven Murphy.,,,,"Copyright 1999 N.Y.P. Holdings, Inc. All rights reserved."
,publish,magazine,book,new,adult,group,president,Murphy,Disney,give,product,vice,mean,release,make,executive,U.S.,hyperion,imprint,subsidiary,child,unit,keep,senior,charge,manage,director,post,movie,already,restructuring,fit,top,within,understand,overseas,market,ABC,Hyperion,line_up,co.,split,operation,dispatch,control,time,worldwide,responsibility,disney,consumer,division,become,bump,report,chairman,ask,arm,use,phrase,basically,able,eye,toward,global,lion,king,tarzan,toy,story,ii,well,kid,series,actress,julie,andrew,move,impact,fairchild,with,wear,daily,umbrella,fiction,sweat,success,star,include,connection,draw,carey,dirty,joke,stand,naked,man,tv,network,primarily
,9,8,7,6,4,4,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 18, 1999, Sunday",12 of 26 DOCUMENTS,The New York Post,CLOTHES WILL HAVE A DEGREE OF COOL,ALLYSON LIEBERMAN,All Editions; Pg. 024,,365 words,,,"April 19, 1999",ENGLISH,,,,,,,"Copyright 1999 N.Y.P. Holdings, Inc. All rights reserved."
,layer,body,look,fabric,future,clothes,millennium,cool,deliver,color,happen,next,warmer,company,wear,upon,soon,fashion,able,adjust,mold,foot,DuPont,Hahn,nice,bring,garment,warm,medicine,change,uniform,imagine,many,movie,fear,fashionistas,people,expect,kind,jetson,1984,never,curator,art,certainly,go,way,leg,emergence,read,thermostat,hot,cold,automatically,inject,heat,fact,chemical,giant,responsible,nylon,polyester,already,work,especially,athlete,hit,ski,slope,today,react,light,wind,ever,senior,research,associate,forecaster,foresee,creation,medicate,underwear,fight,infection,biology,marry,director,de,style,contain,vitamin,absorb,skin,help,maintain,moisture,need,apply,eight
,6,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 6, 1999, Sunday",13 of 26 DOCUMENTS,The New York Post,EARTH EXHIBIT A FULL 'PLATE' OF FUN,GERSH KUNTZMAN,All Editions; Pg. 020,,439 words,,,"June 8, 1999",ENGLISH,,,ROCKY RELATIONS: An upstate boulder and its Scottish cousin illustrate the continental-drift phenomenon at a new American Museum of Natural History exhibit.N.Y. Post: Francis Specker,,,,"Copyright 1999 N.Y.P. Holdings, Inc. All rights reserved."
,hall,section,brother,force,nature,end,million,new,next,push,apart,geologist,red,sandstone,boulder,birth,ago,mile,upstate,museum,open,look,result,today,continent,another,earth,ice,Atlantic_Ocean,Scotland,New_York,Sloan,Clean_Air_Act,conspire,opposite,side,lose,touch,seemingly,forever,thanks,separate,370,finally,back,together,start,later,yet,thousand,research,scientist,heather,sloan,coordinate,gottesman,public,saturday,rock,sit,admittedly,much,family,resemblance,giant,bright,orange,gray,perfectly,alike,tale,reunit,demonstrate,central,theme,center,slated,early,include,redone,planet,dynamic,interactive,global,process,continue,shape,mean,plate,tectonics,reshuffle,huge,land,mass,call,seven,know,eight,count
,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 9, 1999, Wednesday",14 of 26 DOCUMENTS,The New York Post,HASEK BEST? WIN CUP FIRST,Jay Greenberg,Metro+Sports Extra; Pg. 061,,775 words,,,"June 10, 1999",ENGLISH,,,DOMINIK HASEK One more hill to climb.,,,,"Copyright 1999 N.Y.P. Holdings, Inc. All rights reserved."
,win,Hasek,team,game,cup,ever,olympic,medal,goalie,player,stanley,know,NHL,era,accomplish,still,best,play,judge,consider,time,playoff,series,place,history,feel,course,tell,Buffalo,four,twist,gold,straight,award,lead,flyer,consecutive,1974,reflective,many,goaly,take,defensive,last,final,among,may,earn,go,much,past,upset,yet,impact,people,feeling,everything,usually,hasek,think,shooter,slow,front,Stanley_Cups,human,pretzel,put,mustard,back,row,end,sweep,arm,along,spine,gather,consensus,greatest,goaltender,unprecedented,valuable,argument,stronger,perhaps,1975,run,dominance,absolutely,critical,success,deal,largely,change,voter,prejudice,arguably,hockey,writer,reconsider
,11,10,7,6,6,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 16, 1999, Wednesday",15 of 26 DOCUMENTS,The New York Post,QUAYLE KNOWS HOW TO SPELL RELIEF FOR KIDS,Steve Dunleavy,All Editions; Pg. 018,,577 words,,,"June 16, 1999",ENGLISH,,,,,,,"Copyright 1999 N.Y.P. Holdings, Inc. All rights reserved."
,school,system,can,kid,teacher,Dan_Quayle,know,moron,square,exciting,something,talk,public,black,sue,George_Wallace,president,butter,box,turtle,farmer,tell,raise,leave,world,set,political,bureaucratic,education,probably,mother,think,tax,sing,life,uncluttered,vicarious,pizza,delivery,wife,run,office,hair,hold,entire,airport,200,clip,job,play,saxophone,holly,wood,director,quarter,take,anyway,particular,third,floor,1211,sixth,ave,make,recover,death,sentence,journalist,boredom,people,reverse,colleague,horrific,mess,refuse,let,climate,legion,choice,intellectual,elite,oppose,kind,major,change,voucher,kill,charter,forget,sneer,die,maybe,good,nitwit,fundamentally,great,bull,gangster,create
,9,7,5,5,5,5,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 2, 1999, Monday",16 of 26 DOCUMENTS,The New York Post,MIRACLE METS? YOU GOTTA BELIEVE IT!,Tom Keegan,All Editions; Pg. 069,,891 words,,,"August 2, 1999",ENGLISH,,,"LEIT'S OUT: Mets starter Al Leiter, who struck out personal-best 15 over seven innings, delivers to plate in Amazin's 5-4, 13-inning win over Cubs yesterday at Wrigley.  Associated Press",,,,"Copyright 1999 N.Y.P. Holdings, Inc. All rights reserved."
,make,team,Mets,go,season,player,win,work,New_York,million,afford,young,give,Phillips,re_signed,start,believe,play,league,time,agent,major,way,met,four,name,thing,pitcher,career,deliver,inning,head,arm,think,trade,bring,move,take,big,approach,free,maybe,cause,feel,new,contend,know,many,mean,next,stuff,age,look,back,money,lot,throw,pitch,show,today,experience,fall,right,good,home,become,Isringhausen,Leiter,Shawon_Dunston,Minaya,happen,journeyman,midst,bullpen,another,sterl,performance,step,plate,13th,hit,miracle,otherwise,forgettable,1999,shadow,historic,summer,1998,toward,inevitable,conclusion,baseball,bash,center,universe,goodbye,town,hello
,10,9,9,8,7,6,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 17, 1999, Tuesday",17 of 26 DOCUMENTS,The New York Post,BORIS' PM PICK WINS PARLIAMENT APPROVAL,NILES LATHEM,All Editions; Pg. 012,,373 words,,,"August 17, 1999",ENGLISH,,,,,,,"Copyright 1999 N.Y.P. Holdings, Inc. All rights reserved."
,Yeltsin,Putin,Russian,prime,minister,state,emergency,president,promise,lead,political,circle,order,approve,rule,vote,putin,declare,media,parliamentary,election,keep,term,country,without,adviser,Islamic,elevation,spymaster,authoritarian,tense,uncertain,climate,duma,reluctantly,fifth,rather,risk,costly,confrontation,increasingly,erratic,appointment,fault,leader,immediately,follow,seek,ease,grow,fear,administer,declaration,suspension,power,expire,next,firmly,resolutely,tell,reporter,residence,meeting,try,reassure,essential,goal,ensure,law,hold,honest,fair,none,task,carry,install,cabinet,intact,pledge,change,economic,foreign,policy,decision,appoint,designate,successor,last,week,widely,attempt,influential,know,head,corruption,investigation,extend,sphere,influence
,8,6,5,4,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 1, 1999, Friday",18 of 26 DOCUMENTS,The New York Post,"ONCE AGAIN, DETROIT READY TO TAKE WING",Larry Brooks,All Editions; Pg. 100,,1715 words,,,"October 1, 1999",ENGLISH,,,"ICE SHOW: After last season's second-round playoff ouster, Brendan Shanahan (left) and Red Wings are hungry to reclaim Stanley Cup from a talented Star team led by Joe Nieuwendyk (right).AP photos",,,,"Copyright 1999 N.Y.P. Holdings, Inc. All rights reserved."
,team,league,season,talent,time,final,last,ownership,probably,go,organization,coach,loss,question,make,much,deal,young,win,gm,defense,though,enough,play,Ottawa,without,owner,better,game,order,nets,cup,healthy,old,conference,ago,turn,become,seem,have,new,put,black,Detroit,FINALS,century,whether,hold,think,point,rather,however,behind,guarantee,product,extra,succeed,back,former,everywhere,winger,spring,contract,elite,decade,cap,top,three,end,within,june,take,victory,player,nothing,terrible,best,opportunity,drop,allow,middle,stage,do,job,may,payroll,likely,many,competitive,ice,career,carry,peter,sell,mean,way,islander,cover,give
,14,8,8,7,7,7,7,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"October 31, 1999, Sunday",19 of 26 DOCUMENTS,The New York Post,"CANNON CLASSIC: OCT. 4, 1956 - AUTUMN FOR SAL MAGLIE",Jimmy Cannon,All Editions; Pg. 080,,894 words,,,"November 4, 1999",ENGLISH,,,"GRITTY DIGNITY: Sal Maglie, nearing age 40, rears back against Yankees in Game 1 of 1956 World Series. Maglie won game, but his Dodgers lost Series in seven to Yankees - with Maglie taking hard-luck loss in Game 5 as Don Larsen hurled perfect game.AP",,,,"Copyright 1999 N.Y.P. Holdings, Inc. All rights reserved."
