PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"June 17, 2010 Thursday",1 of 63 DOCUMENTS,The New York Post,CLIMATE HEAT ON O FROM BOTH PARTIES,CHARLES HURT Bureau Chief,All Editions; Pg. 10,,577 words,,,"June 17, 2010",ENGLISH,,,-U.S. Senate badge logo. -NO SMOKING: Smokestack industries - and everyday energy consumers - could pay a price under carbon-emission limits. [AP] -U.S. Senate badge logo.,,,Newspaper,"Copyright 2010 N.Y.P. Holdings, Inc.                               All Rights Reserved"
,bill,energy,Obama,company,tax,emission,legislation,cap,climate,pass,cost,household,use,guidance,democrat,carbon,plant,percent,Senate,McConnell,president,gulf,advance,time,leave,stall,amount,job,national,increase,consumer,sen,last,call,argue,provide,liberal,go,remain,set,market,allow,buy,sell,accord,congressional,income,per,billion,climate_change,cap_and_trade,skewer,right,oil,spill,agenda,lambast,give,concrete,approve,push,highly,controversial,trade,plan,penalize,produce,dioxide,republican,charge,measure,massive,hike,productive,kill,way,save,planet,greenhouse,gas,responsible,change,hold,hostage,try,half,leader,mitch,tell,contain,direct,gasoline,widely,agree,corporation,especially,lindsay,graham,help
"May 26, 2010 Wednesday",5 of 63 DOCUMENTS,The New York Post,WORST US SPILL A SLUDGE HAMMER,GEOFF EARLE in Washington and ANDY SOLTIS in New York,All Editions; Pg. 7,,576 words,,,"May 26, 2010",ENGLISH,,,-President Barack Obama. -SEA CHANGE: A change in color between May 18 (left) and yesterday (May 25) could indicate a higher concentration of oil in the Gulf leak. [AP] -President Barack Obama.,,,Newspaper,"Copyright 2010 N.Y.P. Holdings, Inc.                               All Rights Reserved"
,oil,Obama,president,percent,spill,underwater,grow,rig,gas,top,report,take,poll,find,americans,White_House,video,official,hope,massive,leak,disaster,think,energy,good,crisis,darker,show,call,meeting,plug,kill,research,survey,disapprove,handle,approve,offshore,drilling,pear,company,staffer,talk,conced,gulf,worst,history,live,indicate,go,worse,administration,week,coast,contain,exceed,damage,1989,exxon,valdez,dump,million,gallon,near,doubt,unfortunately,director,climate,change,policy,morning,america,gloomy,forecast,amid,several,development,environmental,outlook,end,literally,feed,plume,sunken,much,ominous,may,mean,hit,reservoir,hold,less,engineering,expert,heavier,pollute,evaporate,react,fierce
,9,7,5,5,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 26, 2010 Tuesday",6 of 63 DOCUMENTS,The New York Post,ENDING ONE-PARTY RULE IN NEW YORK,DEAN SKELOS,All Editions; Pg. 23,,697 words,,,"January 26, 2010",ENGLISH,,,Paterson: Spending up $17B in two years.,,,Newspaper,"Copyright 2010 N.Y.P. Holdings, Inc.                               All Rights Reserved"
,state,New_York,last,democrat,tax,republican,spend,change,budget,billion,rule,new,taxpayer,people,one_party,Senate,week,something,voter,time,we,office,worse,fee,top,make,leader,party,Albany,victory,fall,across,race,elect,run,angry,issue,rise,enough,have,control,every,take,ago,propose,governor,reject,chance,prove,work,bill,vote,government,thing,Massachusetts,New_Jersey,Washington,Democratic,upset,follow,win,mcdonnell,happen,country,ed,mangano,westchester,november,pick,seat,nationally,home,disillusion,hold,accountable,gop,senator,memory,walk,life,upstate,suburb,city,reach,seek,many,never,promise,fail,deliver,whether,health,care,national,security,independent,breed,arrogance,contempt
,9,9,8,8,8,7,7,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 8, 2010 Monday",7 of 63 DOCUMENTS,The New York Post,ENVIRO'S SEXY TOME,Kate Sheehy,Sports+Late City Final; Pg. 20,,130 words,,,"February 8, 2010",ENGLISH,,,,,,Newspaper,"Copyright 2010 N.Y.P. Holdings, Inc.                               All Rights Reserved"
,report,un,panel,predict,glacier,warming,never,hot,top,official,already,take,heat,2007,melting,himalayan,foot,hold,fire,pen,racy,novel,conservative,countryman,appreciate,rampant,use,phrase,voluptuous,breast,tome,fact,book,feature,sexcapade,age,environmentalist,promote,country,biggest,gas,producer,time,today,oversee,intergovernmental,force,correct,ago,disappear,2035,Global,climate_control,error_riddled,Rajendra_Pachauri,India,London,Pachauri,Climate_Change,Himalayas
,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 2, 2010 Friday",8 of 63 DOCUMENTS,The New York Post,O GETS FUEL-HARDY - SETS TOUGH 35-MPG RULE FOR 2016,S.A. MILLER Post Correspondent,All Editions; Pg. 7,,416 words,,,"April 2, 2010",ENGLISH,,,"BIG WHEEL: President Obama, exiting his less-than-10-mpg, gas-guzzling limo yesterday, announced a strict new fuel-efficiency policy - but was mum on whether he'll switch to an eco-friendly ride.  [AFP/Getty]",,,Newspaper,"Copyright 2010 N.Y.P. Holdings, Inc.                               All Rights Reserved"
,mpg,vehicle,save,Obama,car,standard,light,new,automaker,billion,oil,emission,part,administration,fuel,efficiency,requirement,truck,35.5,2016,cost,926,president,economy,official,motorist,"3,000",life,1.8,less,pollution,statement,hand,rule,business,America,EPA,greenhouse_gas,battle,climate,change,jack,average,per,fleet,boost,sticker,price,make,good,promise,move,toward,clean,energy,boast,increase,27.3,2011,country,barrel,help,money,pump,put,air,transportation,secretary,ray,joint,administrator,lisa,jackson,economic,environmental,priority,go,push,churn,hybrid,engines,electric,expect,cramp,style,tool,around,limousine,estimate,immediately,respond,question,whether,plan,ride,mandate,strike,agreement,last
,6,6,5,5,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 7, 2010 Saturday",9 of 63 DOCUMENTS,The New York Post,"CEREAL KILLER BLUES - WHEAT $PIKE MEANS MORE DOUGH FOR PIZZA, BEER",PAUL THARP,All Editions; Pg. 24,,506 words,,,"August 9, 2010",ENGLISH,,,Group of people drinking beer.,,,Newspaper,"Copyright 2010 N.Y.P. Holdings, Inc.                               All Rights Reserved"
,percent,price,wheat,beer,food,pizza,week,bread,raise,producer,cost,Russia,Sara_Lee,much,extra,heat,wave,grain,field,spike,start,world,8.68,bushel,double,june,expect,hit,goods,cereal,wholesale,go,brand,brewer,stock,include,soar,crisis,market,higher,commodity,general,mill,analyst,hurt,1.1,Molson_Coors,Conagra,Kellogg,set,back,typical,tab,thanks,climate,change,close,worldwide,drought,trigger,overnight,across,chain,staple,rice,early,supermarket,next,drive,breakfast,industry,source,estimate,hike,retail,level,4.5,particular,determine,director,represent,artisan,craft,generally,use,hop,large,commercial,react,dump,thursday,alone,due,harvest,wildfire,consume,parch,ruin,quarter
,14,13,9,7,6,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 24, 2010 Friday",10 of 63 DOCUMENTS,The New York Post,LITTLE JOY FOR TOYS - BAD WEATHER COOLS DOWN HOLIDAY SALES,JAMES COVERT,All Editions; Pg. 26,,365 words,,,"December 24, 2010",ENGLISH,,,The GoGo My Walkin' Pup is one hot toy that's been hard to find in area stores. [Dan Brinzac],,,Newspaper,"Copyright 2010 N.Y.P. Holdings, Inc.                               All Rights Reserved"
,toy,week,percent,Johnson,fall,holiday,sale,store,share,snow,rain,make,much,strong,past,accord,analyst,forecast,last,raise,may,stock,profit,report,price,Gerrick_Johnson,Mattel,Hasbro,Wal_Mart,many,area,country,business,fun,start,crucial,hurt,bout,intense,cold,accordingly,industry,cut,2.5,increase,october,projection,gain,observe,traffic,buy,activity,november,december,particularly,dedicated,slow,research,note,late,season,doubt,online,pick,slack,shopper,worry,package,arrive,time,warn,pressure,next,optimism,cool,company,likely,beat,expectation,market,present,attractive,entry,point,investor,doll,car,cent,1.3,close,25.88,arch,rival,maker,1.10,2.2,48.52,parent,scramble
,11,7,6,6,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 17, 2010 Thursday",13 of 63 DOCUMENTS,The New York Post,BAM'S ECONOMY-KILLER,,All Editions; Pg. 28,,480 words,,,"June 17, 2010",ENGLISH,,,,,,Newspaper,"Copyright 2010 N.Y.P. Holdings, Inc.                               All Rights Reserved"
,cap_and_trade,spill,go,cost,Obama,gulf,energy,economy,credit,president,oil,speech,begin,notion,use,term,house,fire,need,climate,last,tax,company,dramatically,good,public,Washington,carbon_emission,political,reaction,surprisingly,bipartisan,democrat,republican,alike,think,address,dud,especially,veer,true,never,let,crisis,waste,style,pitch,scheme,essentially,amount,discredited,though,pollster,urging,longer,accurately,call,anyway,chief,tell,build,wood,add,sen,dianne,feinstein,bill,stop,leak,meet,nation,pass,summer,margin,enact,depress,big,time,broad,raise,individual,issue,cap,return,free,sell,unuse,conversely,buy,ratchet,number,sharply,reduce,allowable,level,drive,available,prescription,healthy
,7,4,4,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 20, 2010 Sunday",14 of 63 DOCUMENTS,The New York Post,TILTING AT WINDMILLS - DON OBAMA WANTS TO USE THE BP DISASTER FOR TAXES AND SOLAR PANELS - BUT HUMAN ENTERPRISE WILL FI ND THE SOLUTION,KYLE SMITH,All Editions; Pg. 19,,1110 words,,,"June 22, 2010",ENGLISH,,,President Obama and Don Quixote. (Illustration by Darren Thompson),,,Newspaper,"Copyright 2010 N.Y.P. Holdings, Inc.                               All Rights Reserved"
,energy,fuel,Obama,Ridley,oil,cost,new,technology,power,put,idea,man,moon,government,human,time,use,carbon,wind,India,president,bp,renewable,bill,windmill,meet,look,produce,coal,atom,hydrogen,make,nuclear,write,world,create,job,climate,company,start,increase,environmental,huge,raise,price,inaction,challenge,big,difficult,harness,science,land,mean,direction,surely,without,refund,cap,may,yet,another,never,problem,solution,ingenuity,better,book,march,innovation,way,plan,past,other,consider,wood,gas,combustion,right,many,fossil,feature,across,environment,tax,amount,know,lobbying,face,population,wheat,yield,solar,400,American,cap_and_trade,Rational_Optimist,Indian,learn,speech
,7,6,6,6,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
"January 27, 2010 Wednesday",15 of 63 DOCUMENTS,The New York Post,"ALAIN VS. NYC - HEY, DUCASSE! STOP DISSING OUR RESTAURANT SCENE",Steve Cuozzo,All Editions; Pg. 34,,674 words,,,"January 27, 2010",ENGLISH,,,,,,Newspaper,"Copyright 2010 N.Y.P. Holdings, Inc.                               All Rights Reserved"
,Ducasse,New_York,Michelin,London,city,know,place,love,restaurant,often,global,give,eat,chef,star,local,recently,make,forget,tell,previously,past,argue,can,try,dining,sound,yet,hotel,fill,ducasse,enough,interview,despite,take,Benoit,Mix,Ripert,Boulud,Ramsay,west,55th,street,enjoy,luscious,salmon,en,croute,pate,mention,friend,frustrating,finally,find,groove,companion,refer,goofy,collaboration,collapse,soggy,soufflé,soon,evaporate,last,week,long,remove,actually,toil,kitchen,proclaim,important,world,telegraph,level,product,develop,five,oh,really,nerve,guy,travels,attend,empire,wonder,much,less,diss,land,merely,produce,decade,word,plausible,claim,capital,title
,9,8,6,5,4,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 13, 2010 Wednesday",16 of 63 DOCUMENTS,The New York Post,LAMBS IN CHIC CLOTHING - THE FASHIONABLE WILL FLOCK TO THIS NEW EATERY FOR ITS STYLE AND SUBSTANCE,Steve Cuozzo,All Editions; Pg. 40,,676 words,,,"October 13, 2010",ENGLISH,,,"Food Network star Geoffrey Zakarian's lobster roll (inset, left) is worth the $32. [Allison Joyce; Joe Kohen (2)]",,,Newspaper,"Copyright 2010 N.Y.P. Holdings, Inc.                               All Rights Reserved"
,Zakarian,pork,new,serve,lamb,Lambs_Club,star,chop,have,friend,least,reason,chef,town,hope,yet,reflect,less,little,hotel,red,white,warm,element,baby,braise,toast,pack,place,let,grow,Lambs,**,½,130,w.,44th,st.,this,best,ever,restaurant,owner,juicy,garlic,heritage,cut,second,spirit,judgment,return,wintry,win,room,dime,welcome,dandy,debut,land,bright,light,nostalgically,clubby,cozy,hit,outnumber,flop,sun,god,run,1990,sensation,block,east,launch,interpretive,cuisine,2001,country,2006,conde,nast,editor,make,clubhouse,yearn,recapture,buzz,far,seat,mean,fill,critical,mass,prime,mover,dense,enough,extract
,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 17, 2010 Wednesday",17 of 63 DOCUMENTS,The New York Post,WEIRD BUT TRUE,"Lukas I. Alpert, Wire Services",All Editions; Pg. 21,,241 words,,,"February 17, 2010",ENGLISH,,,,,,Newspaper,"Copyright 2010 N.Y.P. Holdings, Inc.                               All Rights Reserved"
,bag,stripper,thing,airline,lord,win,lottery,official,risqué,good,jiggle,joint,relocate,mobile,fla,ban,road,distracting,vehicle,large,truck,side,housing,dancer,pole,drive,around,advertising,gentleman,club,kind,make,wish,lose,passenger,aboard,delta,flight,shocked,find,drench,jet,fuel,somewhere,transit,advise,take,home,wash,anything,salvage,file,reimbursement,claim,rest,hip,modern,green,bishop,church,encourage,people,give,ipod,lean,rather,forsake,traditional,vice,chocolate,meat,idea,save,energy,help,suffer,effect,climate,change,back,work,janitor,everyone,think,million,ticket,tell,mistake,discover,pick,number,follow,week,jackpot,unfortunately,man,go,press,check
,3,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 16, 2010 Wednesday",18 of 63 DOCUMENTS,The New York Post,PREZ WIELDS SLUDGE HAMMER - VOWS PLAN TO END OIL SPILL AND MAKE 'RECKLESS' BP PAY,S.A. MILLER Post Correspondent,Sports+Late City Final; Pg. 9,,867 words,,,"June 16, 2010",ENGLISH,,,President Barack Obama. [AP],,,Newspaper,"Copyright 2010 N.Y.P. Holdings, Inc.                               All Rights Reserved"
,Obama,oil,make,gulf,bp,spill,company,last,president,pay,nation,damage,week,leak,percent,plan,take,effort,enough,drilling,scientist,well,night,recklessness,mistake,fight,everything,have,long,cause,whatever,people,recover,region,address,turn,majority,handle,crisis,moment,seize,control,insist,command,eight,gush,capture,speak,show,business,oversee,new,tough,set,chairman,tomorrow,worker,result,energy,we,transition,technology,poor,much,gallon,Oval_Office,White_House,Congress,speech,determine,promise,reassure,man,fix,disaster,necessary,help,coast,tragedy,beyond,compensating,short,term,clear,need,restore,unique,beauty,bounty,commitment,tonight,televise,behind,desk,try,boost,sag,approval,ratings
,17,8,7,7,6,6,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 18, 2010 Friday",19 of 63 DOCUMENTS,The New York Post,BEHIND THE LEFT'S BAM-BASH,Bill O'Reilly,All Editions; Pg. 51,,480 words,,,"June 18, 2010",ENGLISH,,,"Soros: Cuckoo over ""climate change.""",,,Newspaper,"Copyright 2010 N.Y.P. Holdings, Inc.                               All Rights Reserved"
,Obama,speech,president,warming,far_left,oil,global,disaster,ago,sense,command,many,toward,excuse,time,people,bp,play,really,policy,use,americans,make,expand,America,George_Soros,freeze,turn,guy,chorus,hammer,specific,enough,weak,executive,wail,think,talk,bush,fact,criticism,echoe,invective,direct,2005,usually,cover,folk,provide,failure,generally,speak,conservative,generous,predicament,liberal,understand,nobody,planet,know,plug,gush,break,pipe,far,react,slowly,guilty,slam,man,allow,dictate,initial,rig,collapse,yes,foolish,quarterbacking,we,anywhere,establish,something,largely,coordinate,effort,point,place,replace,drive,force,propaganda,leftist,discuss,agenda,among,send,willing,accomplice,media
,5,4,4,4,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 1, 2010 Thursday",20 of 63 DOCUMENTS,The New York Post,I'M VICTIM OF 'PERVERT' AL - COPS REOPEN '06 MASSAGE-GAL CASE,DOUG AUER,Sports+Late City Final; Pg. 11,,555 words,,,"July 1, 2010",ENGLISH,,,"ACCUSED: Al Gore was in Portland, Ore., to speak on climate change in '06 when Molly Hagerty says he attacked her.  [Pacific Coast News]",,,Newspaper,"Copyright 2010 N.Y.P. Holdings, Inc.                               All Rights Reserved"
,hagerty,turn,gore,Hagerty,Gore,president,tell,therapist,massage,grab,breast,know,claim,take,right,former,vice,pervert,police,announce,investigation,case,people,away,speak,half,door,grop,you,refuse,answer,resist,become,allege,incident,disorder,never,cop,meet,Portland,Mr._Gore,Tipper,masseuse,accuse,rubdown,hotel,room,four,ago,slam,sexual,predator,think,sick,man,molly,latest,issue,another,woman,feel,lucky,rape,license,excited,learn,give,540,veep,swank,oct,2006,article,town,climate,change,register,name,mr.,stone,suite,allegedly,try,heat,session,dimming,light,play,dear,mo,singer,begin,paw,winner,big,bear,hug,plant,kiss
,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 15, 2010 Monday",21 of 63 DOCUMENTS,The New York Post,FASHION IS DEAD IN NEW YORK - HERE'S THE PROOF!,Andrea Peyser,All Editions; Pg. 9,,1121 words,,,"February 15, 2010",ENGLISH,,,Model. [Demis Maryannakis/Splash News],,,Newspaper,"Copyright 2010 N.Y.P. Holdings, Inc.                               All Rights Reserved"
,show,man,Baldwin,next,park,fashion,president,tent,girl,know,move,reality,another,look,make,child,go,call,snow,Fashion_Week,Ireland,tall,plaid,actor,crowd,bring,last,fall,city,dress,retail,lunch,stop,every,high,dial,walk,glass,circus,lose,model,family,let,designer,sit,school,right,oh,god,head,include,never,port,white,learn,bad,start,adult,excuse,believe,yet,threaten,tell,911,drag,kid,need,office,convict,climate,rain,ice,chanel,liberace,enormous,ant,cram,elbow,navel,kneecap,oppressively,feeling,fat,size,zero,visually,impair,boy,chartreuse,hyperventilating,willing,brave,clog,waiter,curiosity,empty,closet,grace,space
,7,6,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
