PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"December 12, 1997, Friday",1 of 10 DOCUMENTS,The New York Post,"SOME LIKE IT HOT ; A ""CRISIS' LIKE GLOBAL WARMING IS A GREAT EXCUSE TO MEDDLE",George F. Will,All Editions; Pg. 037,,866 words,,,"January 16, 1998",ENGLISH,,,,,,,"Copyright 1997 N.Y.P. Holdings, Inc. All rights reserved."
,warming,global,racial,government,attitude,mean,presumably,regard,tell,Gore,cause,another,therapeutic,however,give,americans,ice,age,planet,participant,subject,America,Kennedy,production,gas,allegedly,worst,offender,especially,exemplary,society,know,hypothese,justify,ask,abstraction,people,flooding,climate,conjecture,ago,real,thing,policy,earth,cool,begin,armadillo,new,hypothesis,dysfunctional,need,president,race,proponent,proof,refuse,candid,delicate,unless,difficulty,fact,ambassador,restaurant,can,Bangladesh,New_York_Times,Clinton,al,gorehe,best,with,ield,freeze,postulate,crise,fresh,burst,interested,scientific,reply,n.d.,move,home,think,change,clearly,unverifiable,convenient,aim,extend,reach,deeper,life,tim,wirth,currently,undersecretary,state
"December 15, 1997, Monday",5 of 10 DOCUMENTS,The New York Post,SOME THINGS NEVER CHANGE; NETWORKS KEEP MAKING THE SAME MISTAKES,Phil Mushnick,All Editions; Pg. 058,,980 words,,,"January 16, 1998",ENGLISH,,,BRIAN WILLIAMS Black and white issue.,,,,"Copyright 1997 N.Y.P. Holdings, Inc. All rights reserved."
,Fox,quarter,kick,fact,camera,continue,enough,race,Hall,Millen,Bucs,game,toward,second,make,question,ankle,temperature,degree,team,NFL,Dilfer,Stockton,Bradshaw,NBC,network,crew,pay,attention,send,head,instead,next,jet,offer,someone,end,return,answer,another,example,top,telecast,theme,mention,anyone,look,fall,serve,sport,win,play,point,saturday,idea,pencil,yet,hit,player,untold,machine,allow,simulcast,patron,ref,elbow,interview,live,tv,ya,AFLAC_Trivia_Question,Giants,on_air,post_betting,Van_Horn,production,wrong,thing,late,kicker,level,shot,reidel,fly,sideline,have,shove,bound,choose,deliver,wallop,hall,celebrate,effusive,manner,immediately,know,likely,candidate
,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 18, 1997, Thursday",6 of 10 DOCUMENTS,The New York Post,VAN HORN'S CARRYING 'WHITE WEIGHT',George Willis,All Editions; Pg. 093,,881 words,,,"January 16, 1998",ENGLISH,,,,,,,"Copyright 1997 N.Y.P. Holdings, Inc. All rights reserved."
,player,white,Van_Horn,kid,game,black,think,young,Collins,league,go,report,whether,sport,line,respect,NBA,Williams,next,every,play,coach,career,basketball,ever,good,look,put,last,comparison,Nets,free_throw,call,horn,result,racial,may,guy,ignore,start,matter,care,best,fan,believe,decide,worth,si,article,school,decline,youngster,team,lead,superstar,skin,color,talent,ball,shoot,night,people,maybe,rookie,foul,refer,earn,official,create,contact,let,Great_White_Hope,Pistons,Detroit,Bird,willis,feel,cringe,headquarters,especially,climate,issue,evolve,part,daily,conversation,outspoken,center,sling,bottom,stereotypical,ladder,weight,four,knee,guard,glass,truth,lack
,15,14,10,7,6,5,5,5,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 20, 1997, Saturday",7 of 10 DOCUMENTS,The New York Post,GLOBAL WARMING: AN INTEMPERATE CREED,,All Editions; Pg. 016,,256 words,,,"January 16, 1998",ENGLISH,,,,,,,"Copyright 1997 N.Y.P. Holdings, Inc. All rights reserved."
,theory,increase,temperature,occur,environmentalism,end,make,global_warming,editorial,cause,never,die,dec.,state,really,competent,discuss,validity,true,plenty,undisputed,data,establish,belief,prove,information,available,example,slight,earth,past,century,follow,previous,decrease,rise,1940,observation,weather,satellite,independent,sensor,show,last,science,ideology,hold,unaltered,nature,good,human,being,evil,result,value,moderate,environmentalist,routinely,call,measure,mean,economic,growth,extreme,colleague,demand,step,effectively,industrial,civilization,use,abuse,biased,irrational,goal,turn,law,time,decision,fact,runaway,emotion,via,truth,global,warming,savvy,investment,retirement,buy,nice,building,plot,twenty,slice,beachfront,America_bashing,one_degree,balloon_borne
,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 26, 1997, Friday",8 of 10 DOCUMENTS,The New York Post,BIG BLUE GEARING UP ; FOR RANDALL OF OLD ; JINTS SAY CUNNINGHAM CAN STILL CREATE HAVOC,PAUL SCHWARTZ,All Editions; Pg. 100,,783 words,,,"January 16, 1998",ENGLISH,,,,,,,"Copyright 1997 N.Y.P. Holdings, Inc. All rights reserved."
,Cunningham,back,game,time,season,playoff,giant,past,receiver,pass,Eagles,man,run,quarterback,look,old,randall,defensive,defense,keep,safety,touchdown,interception,league,Randall,Way,Giants,poster,love,turn,tomorrow,eye,grow,thing,stand,way,history,part,viking,put,arm,long,football,watch,determine,skilled,fly,scrambling,add,dimension,start,let,believe,think,somebody,three,play,lead,guy,superstar,NFL,one_time,wall,room,home,distinguish,oh,thousand,philadelphia,kid,sounding,reminiscent,someone,possibly,sound,graduate,college,third,bruising,fullback,prepare,career,change,rest,somehow,transform,ancient,whirling,dervish,call,dangerous,scene,final,chapter,seemingly,already,write,true,gear
,13,7,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 7, 1997, Sunday",9 of 10 DOCUMENTS,The New York Post,CLEAN UP BY INVESTING IN ECO-FRIENDLY FIRMS,BETH PISKORA,All Editions; Pg. 071,,523 words,,,"January 16, 1998",ENGLISH,,,,,,,"Copyright 1997 N.Y.P. Holdings, Inc. All rights reserved."
,NYSE,new,microturbine,pollution,make,stock,investor,maker,environmentally,friendly,play,environmental,end,Nasdaq,Allied_Signal,Land,nation,potential,expect,industrial,set,manufacturer,car,biggest,air,well,think,price,week,product,plan,next,yet,help,plant,start,early,ben,many,Jerry,vice,president,meet,leader,150,determine,country,better,protect,climate,global,warming,try,list,winner,loser,conference,conclude,wednesday,generate,flurry,law,regulation,govern,emission,target,prove,onerous,automobile,source,industrialize,wonder,ford,for,gm,high,hand,company,might,normally,polluter,gain,pipeline,take,example,introduce,way,generating,electricity,although,hit,market,sign,distribution,agreement,already,interested,customer,address
,9,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 29, 1997, Monday",10 of 10 DOCUMENTS,The New York Post,MY TOP 10 ECONOMIC PREDICTIONS FOR THE NEW YEAR,JOHN CRUDELE,All Editions; Pg. 024,,481 words,,,"January 16, 1998",ENGLISH,,,,,,,"Copyright 1997 N.Y.P. Holdings, Inc. All rights reserved."
,market,stock,company,go,keep,profit,become,make,1998,sale,job,start,general,signal,corp,takeover,management,probably,around,else,apollo,look,percent,healthy,tricky,give,investigation,wide_ranging,Tyson,feeling,lucky,prediction,please,destroy,column,right,have,read,anyone,score,washington,plunge,protection,team,busiest,ever,try,collaps,turmoil,corporate,sink,biggest,economic,optimist,nervous,check,disappointing,level,instance,makings,interesting,chaos,reign,bubble,survive,mean,succeed,thing,unravel,quickly,target,believe,conn,already,entertained,idea,sell,billion,may,second,thought,president,serious,legal,trouble,woman,accuse,sexual,harassment,along,everything,mention,disruptive,effect,financial,related,unload,head,investor
,5,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
