PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"June 12, 2001, Tuesday",1 of 48 DOCUMENTS,The New York Post,"THAT'S A DEPARTURE FOR BUSH ; OKS POLLUTION STUDY, THEN FLIES TO EUROPE",VINCENT MORRIS Post Correspondent,All Editions; Pg. 028,,399 words,,,"June 12, 2001",ENGLISH,,,"WARM GREETINGS: President Bush stresses his commitment to reducing global warming yesterday before catching a flight to Madrid, Spain. AP",,,,"Copyright 2001 N.Y.P. Holdings, Inc. All rights reserved."
,Bush,president,pollution,global,reduce,European,warming,catch,flight,tour,promise,treaty,country,world,nation,urge,percent,require,issue,missile,defense,face,Spain,U.S.,United_States,offer,limited,support,fight,bid,blunt,criticism,european,have,accuse,zilch,hour,study,invest,research,new,technology,scientist,charge,cause,atmosphere,heat,recognize,responsibility,emission,set,mandatory,level,reduction,crimp,economy,emit,greenhouse,gas,americans,take,bolder,step,push,follow,lead,cut,2012,politician,leery,go,road,without,curb,united,front,confront,climate,change,cite,clear,link,pollutant,increase,surface,temperature,challenge,100,effort,rest,afternoon,overnight,stop,trip,overseas,saturday,predict,leader,find
"January 8, 2001, Monday",20 of 48 DOCUMENTS,The New York Post,A STORM-LIKE SNOW JOB?,,All Editions; Pg. 028,,315 words,,,"January 8, 2001",ENGLISH,,,,,,,"Copyright 2001 N.Y.P. Holdings, Inc. All rights reserved."
,warming,global,dec.,cold,city,heat,landlord,call,every,human,cartoon,hot,line,tenant,emergency,myth,real,surprised,response,column,believe,brain,fry,letter,shrill,extremist,view,rehashed,network,night,week,average,temperature,risen,degree,statistic,record,sky,hardly,fall,donald,mich,probably,exacerbate,activity,yes,percent,carbon,dioxide,atmosphere,due,pollution,air,rather,disrupt,economy,live,standard,industrialize,nation,maybe,make,sense,set,scientist,task,work,survive,increase,phillip,whatever,happen,greenhouse,effect,thank,goodness,imagine,without,bob,show,people,hold,try,reach,misleading,wait,time,busiest,seconds,usually,apartment,notify,negligent,step,fix,boiler,fuel,delivery,anything
,5,4,3,3,3,3,3,3,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 16, 2001, Tuesday",21 of 48 DOCUMENTS,The New York Post,NOAH'S FLOOD WAS IN ARABIAN DESERT: STUDY,Bill Hoffmann,Metro+Sports Extra; Pg. 012,,198 words,,,"January 16, 2001",ENGLISH,,,,,,,"Copyright 2001 N.Y.P. Holdings, Inc. All rights reserved."
,flood,team,water,archaeologist,biblical,researcher,ice,age,think,rise,level,area,source,Noah,believe,pinpointed,location,desert,manitoba,region,fill,melting,begin,end,around,"20,000",ago,sea,vast,dry,land,right,move,across,flat,plain,rate,"1,000",another,previously,suggest,tale,record,flooding,mediterranean,follow,lead,tell,news,service,cnet,geography,wrong,hypothesis,place,geographical,far,agreeable,present,evidence,although,many,doubt,account,worldwide,major,regional,event,may,story,Arabian,University,Canada,Persian_Gulf,Gulf,half_mile,Black_Sea,Jim_Teller,Canadian,Teller,Geological_Society,America,Reno,Nev,Bible
,7,3,3,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 30, 2001, Friday",22 of 48 DOCUMENTS,The New York Post,PINK SLIPS AT MERRILL - WALL STREET GIANT TO AX 150 INVESTMENT BANKERS,Erica Copulsky,All Editions; Pg. 029,,468 words,,,"March 30, 2001",ENGLISH,,,DAVID KOMANSKY Cutting staff.  N.Y. Post: Tamara Beckwith,,,,"Copyright 2001 N.Y.P. Holdings, Inc. All rights reserved."
,firm,market,Merrill,banker,security,layoff,cut,industry,continue,several,rival,join,plan,dismiss,investment,person,matter,banking,various,job,expense,eliminate,back,turn,around,avoid,executive,focus,drag,heel,announce,staff,finally,fray,150,accord,close,propose,amount,percent,division,expect,take,place,across,product,group,level,rank,file,slash,follow,string,look,trim,swoon,past,week,alone,j.p.,morgan,chase,co.,hand,pink,slip,llc,position,lead,issue,particularly,sensitive,still,sting,black,eye,fall,1998,quickly,"3,400",trader,other,criticize,deeply,lose,ground,bounced,time,careful,overreact,insider,try,implement,hire,freeze,measure,example,asset,management
,11,7,7,5,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 2, 2001, Monday",23 of 48 DOCUMENTS,The New York Post,CLAEYS IS LOOKING AT EMAP BID,Keith J. Kelly,All Editions; Pg. 037,,759 words,,,"April 2, 2001",ENGLISH,,,-SHOPPING: D. Claeys Bahrenburg is eager to run Emap USA.  AP -SUZANNE GRIMES Publisher of Allure.,,,,"Copyright 2001 N.Y.P. Holdings, Inc. All rights reserved."
,time,company,bid,magazine,group,president,chairman,around,million,publisher,CEO,executive,take,become,make,investment,back,last,expect,early,giant,Emap,Bahrenburg,top,know,another,shot,run,hand,title,financial,deal,partner,look,firm,go,tell,ink,parent,buy,interest,purchase,big,man,ad,sale,believe,range,change,1996,publish,chance,today,editorial,director,new,Media,AOL_Time_Warner,Petersen,Golf_Digest,rescue,d.,claey,bahrenburg,former,include,anxious,struggle,love,earlier,career,vice,usa,overture,still,need,venture,capital,worsen,climate,alone,however,boutique,head,kick,tire,learn,owner,interested,serious,control,miss,translate,win,surprised,everyone,block,old,mirror
,8,7,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 7, 2001, Saturday",24 of 48 DOCUMENTS,The New York Post,GLOBAL FOGGING OVER KYOTO,,All Editions; Pg. 016,,322 words,,,"April 9, 2001",ENGLISH,,,,,,,"Copyright 2001 N.Y.P. Holdings, Inc. All rights reserved."
,treaty,media,much,president,Bush,Senate,kyoto,environmental,administration,byrd,emission,greenhouse,gas,country,four,rejection,anti_environment,Democratic,Kyoto,fun,expense,environment,clich,issue,gays,military,officially,break,1997,claim,go,run,risk,offend,voter,support,protection,maybe,note,protocol,present,overwhelmingly,demonstrate,agreement,intent,purpose,sen,robert,sponsor,resolution,urging,pursue,limit,industrial,world,permit,develop,continue,rapidly,grow,join,reject,dynamic,luminary,erstwhile,vice,presidential,candidate,final,vote,al,gore,conced,last,elect,wait,sign,ignore,measure,ago,apparently,universal,work,deem,newsworthy,far,different,bipartisan,forget,instead,state,several,time,campaign,opposition,portray,truth,w.,bush
,5,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 16, 2001, Monday",25 of 48 DOCUMENTS,The New York Post,"ROSIE'S 600,000 READERS STRONG",Keith J. Kelly,All Editions; Pg. 027,,699 words,,,"April 16, 2001",ENGLISH,,,SUSAN CASEY No longer at large. COMING UP ROSES:Rosie O'Donnell's magazine could break the 1 million mark before coming off the racks in two weeks.  Dave Allocca/DMI,,,,"Copyright 2001 N.Y.P. Holdings, Inc. All rights reserved."
,million,magazine,copy,sell,test,new,newsstand,go,deal,inc.,woman,friday,expect,survive,Rosie,McCall,Sports_Illustrated,sale,title,early,mean,record,ago,place,director,jahr,usa,publish,cancer,people,time,direct,mail,result,keep,company,corporate,manage,editor,help,sink,world,war,ii,honor,night,lose,March,Gruner,editor_at_large,Women,Casey,Bailey,Stanton,o',donnell,put,1.3,estimate,"600,000",far,nearly,week,issue,briskly,break,barrier,major,leap,ancestral,use,shut,3.6,subscription,base,roll,rosie,average,"365,000",despite,demand,second,printing,rookie,1.5,set,likely,stand,try,extra,circulation,backer,back,press,consider,something,risk,drescher,cover
,8,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 20, 2001, Friday",26 of 48 DOCUMENTS,The New York Post,"A LESSON IN STAYING ALIVE - STILL KINGS OF ROCK 'N' ROLL, THE BEE GEES MAKE IT ALL LOOK EASY",Dan Aquilante,All Editions; Pg. 058,,1026 words,,,"April 20, 2001",ENGLISH,,,"The brothers Gibb (from left, Maurice, Barry and Robin) have logged 35 years in the music biz. As young kids in Australia (below, left), they jolted the record industry with their rockabilly style. By the '70s (center), they were international superstars - at one point in 1977, they had five songs in the top 10. All through the '80s (right) and '90s, they continued writing, producing and performing, and next week, they'll release their new album, ""This I Where I Came In.""",,,,"Copyright 2001 N.Y.P. Holdings, Inc. All rights reserved."
,song,post,gibb,music,have,record,write,brother,feel,less,disaster,album,live,individual,sad,Bee_Gees,New_York,musical,start,speak,sound,make,around,way,mining,1941,Beatles,rock,build,five,night,fever,sell,pop,maurice,show,perform,history,many,bee,gee,tell,idea,method,prefer,rather,take,country,try,give,retro,kitchen,table,guitar,sing,together,know,formula,something,kind,guy,time,base,story,town,school,coal,pit,never,create,groove,consider,today,mean,Barry,Robin,America,Aberfan,tally,roll,royalty,complete,without,major,dynasty,unlikely,anyone,ever,equal,1977,feat,stay,deep,love,emotion,chart,top,simultaneously,career
,15,11,11,8,6,6,5,5,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 8, 2001, Tuesday",27 of 48 DOCUMENTS,The New York Post,DEFYING THE PC CAMPUS BOSSES,,All Editions; Pg. 043,,451 words,,,"May 8, 2001",ENGLISH,,,,,,,"Copyright 2001 N.Y.P. Holdings, Inc. All rights reserved."
,editor,student,university,campus,administration,ad,idea,o',donnell,class,newspaper,pay,addition,write,freedom,speech,diversity,change,middle,income,million,democrat,republican,indictment,deliver,sting,rebuke,rigid,ideologue,remind,rest,we,wrong,academia,today,administrator,radical,nation,sign,advertisement,appear,paper,castigate,publish,controversial,oppose,reparation,slavery,signer,include,dean,director,undergraduate,admission,call,publication,destructive,effort,create,welcoming,respectful,climate,warn,careful,assert,suggest,amendment,obstacle,attempt,educate,nonsense,reply,declare,unsettling,discover,blatant,disregard,exist,among,many,member,uw,place,expose,think,seem,understand,mean,debate,indoctrinate,sadly,editorial,conclude,suffer,little,lack,tolerance,must,read
,6,5,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 14, 2001, Monday",28 of 48 DOCUMENTS,The New York Post,"FOOLISH, BOTCHED & INEPT: THAT'S THE FBI",Steve Dunleavy,All Editions; Pg. 002,,458 words,,,"May 14, 2001",ENGLISH,,,,,,,"Copyright 2001 N.Y.P. Holdings, Inc. All rights reserved."
,FBI,McVeigh,case,liberal,death,penalty,world,can,cop,hillary,consider,little,fed,fuel,every,celebrity,Timothy_McVeigh,New_York_City,Donahue,right,squeeze,toothpaste,back,tube,imagine,drop,ball,loud,sen,rodham,scream,federal,monitor,reason,silence,husband,janet,reno,preside,ongoing,cultural,breakdown,follow,treat,gardener,shattered,morale,helm,disaster,reportedly,trigger,crime,century,handle,gang,shoot,straight,kidnap,gunpoint,collateral,damage,disturbing,create,climate,reflect,travesty,"3,150",page,turn,change,guilt,shout,rooftop,however,campaign,former,talk,show,host,pathological,wave,banner,meet,press,think,reduce,image,conservative,pat,buchanan,respond,dead,take,longer,war,ii,ever,j.,edgar
,7,7,5,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 24, 2001, Thursday",29 of 48 DOCUMENTS,The New York Post,D.C. NEWS HITS MARTS - RALLY ENDS ON EXPECTED POWER-SHIFT,Jessica Sommar,Sport+Late City Final; Pg. 029,,533 words,,,"May 24, 2001",ENGLISH,,,Senator Jeffords,,,,"Copyright 2001 N.Y.P. Holdings, Inc. All rights reserved."
,percent,market,news,today,expect,*,rally,stock,last,week,index,april,number,six_day,Washington,GOP,profit,big,drop,sen,jame,jefford,leave,send,industrial,average,plunge,151.73,"11,105.51",1.35,fall,point,second,composite,70.37,"2,243.48",have,analyst,jobless,friday,recession,bad,economy,the,Wall_Street,Dow_Jones,Nasdaq,Senate,BAD,slam,shut,tech,deal,loss,blue,chip,corporate,worry,threat,power,shift,land,punch,spur,sharp,end,equity,goos,federal,reserve,fifth,cut,although,swing,bombshell,moderate,shockwave,swamp,tough,senior,economist,alex,brown,whipsawe,political,less,broader,standard,500,modest,20.33,"1,289.05",1.55,dow,rallying,steadily,nasdaq,enjoy,win
,8,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 25, 2001, Friday",30 of 48 DOCUMENTS,The New York Post,BLUELIGHT'S FOUNDER IS CALLING IT QUITS,Joseph Gallivan,All Editions; Pg. 036,,331 words,,,"May 25, 2001",ENGLISH,,,MARK GOLDSTEIN The light changed. Bloomberg,,,,"Copyright 2001 N.Y.P. Holdings, Inc. All rights reserved."
,Kmart,BlueLight,free,Goldstein,web,site,operation,trouble,spokesman,staffer,company,internet,service,go,retail,everyday,line,available,online,Stewart,aisle,three,bluelight.com,lose,ceo,retailer,take,resign,hit,confirm,many,leave,staff,194,today,launch,december,1999,fancy,office,headquartered,near,run,late,last,begin,offer,national,scale,conjunction,however,local,provider,business,usage,limited,finally,abandon,march,release,sale,figure,climate,difficult,moment,lengthy,resume,include,stint,become,adviser,store,exclusive,outlet,homeware,place,catalog,carry,different,merchandise,ask,whether,annoyed,change,fortune,tell,post,hell,sell,lot,sheet,towel,downplay,move,nothing,wrong,time,pass,baton
,6,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 18, 2001, Monday",31 of 48 DOCUMENTS,The New York Post,EUROTRASH STARTING TO REEK OF SPOILED WHINE,Steve Dunleavy,All Editions; Pg. 017,,531 words,,,"June 18, 2001",ENGLISH,,,,,,,"Copyright 2001 N.Y.P. Holdings, Inc. All rights reserved."
,we,treaty,call,former,bush,european,state,last,global,warming,time,Western_Europe,France,French,Europe,Bush,president,go,nation,country,lecture,secretary,other,week,really,exist,prepare,change,hostile,defense,quite,world,half,dumb,United_States,graveyard,thousand,local,whine,jet,engines,demonstrator,killer,execution,burn,flag,people,kill,suicide,prison,1999,execute,commentator,dictate,death,sentence,congressman,newspaper,toxic,texan,resistance,kyoto,accord,cut,productivity,develop,curiously,none,outrage,flaw,ratify,old,story,skyscraper,jealousy,message,screw,ridiculous,phony,issue,moralize,lay,sr.,historic,visit,paint,picture,cause,winter,freezing,rear,end,shrill,voice,ecoholics,instance,giant,intellect,warn
,5,5,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 18, 2001, Monday",32 of 48 DOCUMENTS,The New York Post,SEA EXPLORER IN QUEST OF BIBLICAL PROPORTIONS,BILL HOFFMANN,All Editions; Pg. 022,,339 words,,,"June 18, 2001",ENGLISH,,,,,,,"Copyright 2001 N.Y.P. Holdings, Inc. All rights reserved."
,Ballard,flood,believe,story,water,Black_Sea,Noah,wreck,titanic,prove,huge,rise,level,submerge,mile,freshwater,work,area,team,find,ancient,foot,camera,oxygen,mean,explorer,discover,create,may,inspiration,biblical,ark,oceanographer,robert,ballard,probing,claim,sea,press,natural,dam,burst,"7,000",ago,"19,000",square,inhabit,land,around,lake,evidence,show,leave,immense,spark,legend,suggestion,wipe,human,settlement,although,deluge,likely,last,professor,petko,dimitrov,people,flee,home,spread,basis,similar,account,culture,locate,1985,make,exploratory,trip,shell,shoreline,550,murky,surface,across,sign,building,311,coast,near,convergence,river,bed,include,beam,fragment,wall,stone
,5,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 19, 2001, Tuesday",33 of 48 DOCUMENTS,The New York Post,BUSH'S EUROPEAN TRIUMPH,,All Editions; Pg. 032,,340 words,,,"June 19, 2001",ENGLISH,,,,,,,"Copyright 2001 N.Y.P. Holdings, Inc. All rights reserved."
,Bush,president,European,America,punch,elitist,critic,media,parochial,second,treaty,missile,defense,strategy,do,leftist,country,Kyoto,Europe,tour,end,weekend,deal,particularly,side,blow,ko,tired,futile,effort,keep,alive,caricature,show,world,flinch,flaw,climate,change,universally,vital,painting,dumb,favor,democrat,almost,dubya,throw,hat,presidential,ring,fail,miserably,home,trash,myth,repeatedly,campaign,notably,debate,vice,foreign,soil,leader,impressed,skill,knowledge,mostly,desire,work,argue,drive,wedge,partner,make,clear,nothing,sort,big,papers,acknowledge,bush,manifestly,aesuperficial,buffoon,arrogant,portray,daily,put,anything,european,across,refusal,budge,kyoto,important,ironically,much,seem
,7,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 28, 2001, Thursday",34 of 48 DOCUMENTS,The New York Post,DEMOCRACY IS NO E-MOCRACY FOR POLITICOS,Mary Huhn,All Editions; Pg. 040,,412 words,,,"June 28, 2001",ENGLISH,,,,,,,"Copyright 2001 N.Y.P. Holdings, Inc. All rights reserved."
,e_mail,protest,time,way,letter,send,receive,every,Congress,White_House,e_mails,help,congressional,net,office,give,weight,personal,chain,senator,leahy,people,forward,waste,Hill,Bush,best,reach,politician,may,think,grassroot,campaign,good,cause,overwhelmed,often,wind,pc,recycl,bin,someone,copy,everyone,care,staffer,author,everybody,nobody,april,"100,000",president,behalf,friend,abandonment,curb,climate,change,rate,"1,000",hour,server,crash,week,peak,hit,second,reverse,position,phone,call,fax,bottom,heap,accord,study,management,patrick,rare,equal,respond,vermont,constituent,make,effort,treat,different,category,communication,choose,spokesman,noting,appreciate,immediacy,use,tool,mindshare,internet,political
,7,5,5,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 25, 2001, Wednesday",35 of 48 DOCUMENTS,The New York Post,CSFB BARS STOCK STAKE FOR ANALYSTS,Jessica Sommar,All Editions; Pg. 037,,283 words,,,"July 25, 2001",ENGLISH,,,ALAN WHEAT Toast.,,,,"Copyright 2001 N.Y.P. Holdings, Inc. All rights reserved."
,analyst,firm,own,CSFB,company,cover,research,equity,security,conflict,interest,respond,stock,policy,former,change,co.,last,report,go,step,beyond,rival,barred,debt,climate,suspicion,hostility,continue,swirl,around,potential,second,prohibiting,extend,bond,focus,regulator,investigation,allocate,hot,bubble,big,bank,group,remove,fire,three,broker,move,president,witter,hire,ceo,ago,430,end,september,sell,may,eligible,exemption,impose,undue,financial,penalty,statement,line,directly,global,investment,banking,response,criticism,independence,compromise,nation,largest,brokerage,start,trend,announce,allow,buy,share,week,settle,rather,fight,court,lawsuit,file,doctor,alleging,misinformation,star,internet,Credit_Suisse_First_Boston,Wall_Street
,8,7,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 25, 2001, Wednesday",36 of 48 DOCUMENTS,The New York Post,GLOBAL PIFFLE,,All Editions; Pg. 032,,401 words,,,"July 25, 2001",ENGLISH,,,,,,,"Copyright 2001 N.Y.P. Holdings, Inc. All rights reserved."
,mean,nation,country,protocol,global,warming,economy,meanwhile,United_States,America,178,propose,pact,science,big,rest,industrialize,though,reduce,greenhouse,emission,treaty,percent,level,think,Kyoto,European_Union,Europe,monday,compromise,reach,kyoto,protect,alone,refuse,begin,drumbeat,isolate,president,step,ice,cap,go,melt,fault,nonsense,attempt,marry,suspect,politics,resentment,boy,block,fact,world,especially,intend,take,peg,fair,foul,benefit,frankly,hell,work,least,feel,good,respect,end,proposal,require,essentially,wreck,technically,term,gas,slow,present,huge,polluter,continue,pump,sort,nasty,thing,atmosphere,indefinitely,almost,politicize,attend,popular,theory,far,prove,detail,k.,glassman,argument
,5,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 27, 2001, Friday",37 of 48 DOCUMENTS,The New York Post,ED. BOARD SET SORRY EXAMPLE WITH DECEIT,Bob McManus,All Editions; Pg. 007,,451 words,,,"July 27, 2001",ENGLISH,,,,,,,"Copyright 2001 N.Y.P. Holdings, Inc. All rights reserved."
,Board,lie,public,state,city,school,yet,board,education,attendance,mean,increase,aid,base,information,impossible,report,demonstrate,ed,budget,candidate,matter,levy,billion,New_York_City,Moreland_Act_Commission,Albany,capital_construction,finger_pointing,failure,much,readin,ritin,rithmetic,inability,educator,tell,truth,gov,impanel,ago,catch,elaborately,enrollment,local,payment,policymaker,make,decision,wholly,faulty,everything,dropout,rate,resource,allocation,fiscal,obligation,indeed,last,winter,judicial,order,dramatically,essentially,probably,fabricate,whole,cloth,simply,certain,commission,issue,another,compelling,interim,document,vaporize,surprise,key,official,know,pretend,nothing,amiss,overtly,omission,business,usual,word,great,mystery,reason,believe,away,always,astonishing,lack,curiosity
,5,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 28, 2001, Tuesday",38 of 48 DOCUMENTS,The New York Post,WE'RE LOSING OUR BEST NEIGHBOR,Adam Buckman,All Editions; Pg. 027,,600 words,,,"August 28, 2001",ENGLISH,,,"Fred Rogers: Keeping the ground between the television and the child ""holy.""",,,,"Copyright 2001 N.Y.P. Holdings, Inc. All rights reserved."
,tv,television,mister,roger,last,leave,child,think,mysterious,wonder,family,landscape,space,holy,really,contemplate,might,air,young,know,never,less,people,nightline,watch,nourishment,human,word,business,ground,little,believe,Mister_Rogers,Fred_Rogers,ABC,without,almost,awful,must,hang,sweater,lose,man,true,believer,medium,potential,achieve,great,thing,summer,mark,close,neighborhood,premier,1968,today,refuge,suitable,shelter,small,tape,final,episode,ago,station,include,channel,friday,show,continue,rerun,viewer,difference,long,run,nobody,pledge,remain,active,development,web,site,age,clear,move,new,phase,life,call,stop,smell,rose,eloquent,spokesman,decency,riding,sunset,enormous
,8,7,6,6,4,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 5, 2001, Friday",39 of 48 DOCUMENTS,The New York Post,WWF PULLS OUT OF THE WAR ZONE,DON KAPLAN,All Editions; Pg. 120,,141 words,,,"October 5, 2001",ENGLISH,,,,,,,"Copyright 2001 N.Y.P. Holdings, Inc. All rights reserved."
,war,name,change,WWF,title,show,insensitive,raw,p.m.,hour,go,dump,word,armageddon,three,may,construe,aftermath,last,terror,attack,zone,effect,past,week,essentially,especially,sensitive,situation,respectful,everyone,involved,time,entertain,fan,spokesman,meanwhile,try,figure,new,upcoming,special,original,consider,give,world,current,climate,TNN,high_rated,two_hours,pro_wrestling,Raw_Zone,Judd_Everhart,pay_per_view,Armageddon,war_like
