PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"August 11, 1998, Tuesday",1 of 43 DOCUMENTS,The New York Post,SCIENTISTS CAN'T BELIEVE THEIR HIGHS IN HOTTEST MONTH EVER,KATE PERROTTA,News; Pg. 002,,563 words,,,"August 11, 1998",ENGLISH,,,"Every month this year has topped the record, leading scientists to predict that 1998 will be the hottest year ever.",,,,"Copyright 1998 N.Y.P. Holdings, Inc. All rights reserved."
,record,temperature,heat,average,degree,lot,hottest,el,nino,last,shift,emission,July,Dallas,world,history,hit,half,higher,previous,economy,thing,precipitation,become,common,climate,predict,trend,lead,scientist,summer,pact,still,warming,less,surprised,U.S.,Quayle,burn,way,book,global,61.7,fahrenheit,fuel,storm,dog,nearly,july,may,sound,expert,wreak,havoc,ecosystem,serious,concern,small,result,large,chief,government,collect,data,place,slightly,warmer,side,model,state,hardest,wave,hover,well,100,straight,120,people,die,cause,keep,dangerous,begin,january,top,1998,surprise,resident,least,city,break,tie,already,vice,president,al,gore,armed,statistic
,global,go,world,alone,make,sense,American,America,possibility,leave,may,trade,bailout,war,better,nation,act,work,good,aspect,view,rule,help,ought,Bosnia,United_Nations,decrease,economic,turmoil,provide,banker,investor,penalize,lack,prudence,announce,know,sound,situation,warming,fast,track,theme,mean,participate,share,keep,diminish,ability,cut,use,today,ideological,probably,free,politics,people,suffer,issue,case,kill,million,Asian,Kyoto,Saddam_Hussein,husseinca,become,commonplace,public,lose,interest,rest,change,soon,future,tip,part,hand,everything,turn,argument,consider,recent,environmentalist,bureaucrat,assemble,bleat,reject,idea,negotiation,president,surprise,troops,indefinitely,create,biological,chemical,nuclear,weapon
,10,9,7,6,5,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 6, 1998, Wednesday",10 of 43 DOCUMENTS,The New York Post,CREATING THE CITY OF THE FUTURE,IRWIN M. STELZER,PostOpinion; Pg. 029,,1027 words,,,"May 6, 1998",ENGLISH,,,"'A recent tour of some of this city's new, thrusting firms told me volumes about the ability of New York entrepreneurs to adapt to the demands of the new era in which brains are replacing brawn as the key to success.'",,,,"Copyright 1998 N.Y.P. Holdings, Inc. All rights reserved."
,New_York,city,new,firm,ability,currency,economic,area,business,change,service,many,huge,study,metropolitan,depend,prefer,populate,provide,office,huber,fail,force,work,determine,global,financial,mayor,frank,million,people,trillion,value,predict,increasingly,place,give,world,lead,might,news,investment,think,international,future,urban,competitiveness,base,industry,trade,professor,shift,overall,climate,condition,facility,score,recent,tour,massive,open,building,infrastructure,company,wire,Euro,Europe,Frankfurt,Hertz,New_York_City,sometimes,divert,local,politics,understand,broader,whether,continue,recovery,dinkinsesque,depth,retain,preeminence,sure,matter,governor,assort,pol,factor,immediately,obvious,we,development,occur,last,weekend,country,push,ahead
,13,8,7,6,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 27, 1998, Thursday",11 of 43 DOCUMENTS,The New York Post,RELIGIOUS LEADERS' NEW FALSE IDOL; IS ENVIRONMENTAL HYPOCHONDRIA AN EXCUSE TO AVOID THEIR REAL JOBS?,DAVID GELERNTER,PostOpinion; Pg. 037,,976 words,,,"August 27, 1998",ENGLISH,,,"Our religious mainstream seems to have endorsed 'the Kyoto Protocol to fight global warming_ - thereby executing a startling one-two combination punch that slams science and religion simultaneously, by subordinating both to cheesy politics.",,,,"Copyright 1998 N.Y.P. Holdings, Inc. All rights reserved."
,problem,religious,politics,nation,last,global,warming,know,seem,religion,turn,leader,much,church,group,carbon,dioxide,churchman,fine,issue,every,god,temperature,billion,Kyoto,move,science,protocol,fight,many,far,mainstream,endorse,foolish,immoral,need,direct,connection,jewish,community,rabbis,give,less,leftist,clear,radio,today,average,theory,rise,decade,meantime,national,effect,accord,propose,spend,money,hypochondria,grant,program,make,better,feel,right,actual,confirm,environment,United_States,New_York_Times,long_term,relieved,learn,sin,pretty,control,major,report,long,ago,mount,unusually,broad,active,campaign,approve,international,deal,call,negotiate,commit,rich,sharply,reduce,amount,vent,atmosphere,bishop,southern
,6,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 4, 1998, Friday",12 of 43 DOCUMENTS,The New York Post,THE PRESIDENT MAY BE IN DANGER - BUT AMERICA IS NOT,BEN WATTENBERG,PostOpinion; Pg. 043,,834 words,,,"September 4, 1998",ENGLISH,,,It was said that President Clinton went to Moscow only to divert attention from his domestic problems. But Clinton carried with him the strength of the most powerful nation in the world. He can wield that power as long as he is president.,,,,"Copyright 1998 N.Y.P. Holdings, Inc. All rights reserved."
,nation,America,percent,world,economy,American,Clinton,news,go,power,market,well,global,way,strong,trade,proportion,president,totter,Russia,dead,happen,stock,might,sept,short,time,military,television,game,interesting,change,situation,policy,still,potentially,export,domestic,leader,PBS,zero_sum,suppose,eighth,1998,rapid,succession,confused,confession,terror,cruise,missile,fly,financial,collapse,tumble,around,last,fall,512,point,blue,monday,usual,however,exaggeration,ride,curve,break,bad,man,another,planet,follow,beat,gum,august,think,rope,burst,bubble,tuesday,morning,sound,apocalyptic,millenarian,1000,back,slapping,rust,tambourine,dubious,beach,many,thing,conclude,almost,work,special,title
,10,9,8,7,6,6,5,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 4, 1998, Wednesday",13 of 43 DOCUMENTS,The New York Post,AN ILL WIND FROM BUENOS AIRES/,Irwin M. Stelzer,PostOpinion; Pg. 037,,1029 words,,,"November 4, 1998",ENGLISH,,,,,,,"Copyright 1998 N.Y.P. Holdings, Inc. All rights reserved."
,go,thing,tax,emission,use,administration,much,warming,car,we,world,show,energy,election,matter,lot,place,last,politics,lead,safety,argue,government,gasoline,regulate,factory,may,burn,set,international,system,continue,percent,seem,hotter,temperature,earth,point,reduce,Argentina,way,happen,prove,around,night,decide,good,side,h.,l.,mencken,write,whole,aim,practical,keep,populace,alar,hence,clamorous,menace,series,hobgoblin,indeed,face,planet,justify,raising,limiting,size,fuel,standard,residential,construction,department,force,republican,cut,another,collapse,financial,call,many,take,environmentalist,bureaucrat,industry,push,gas,scientist,heating,cool,chart,great,surprise,regulation,private,data,eye
,6,5,5,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"November 18, 1998, Wednesday",14 of 43 DOCUMENTS,The New York Post,SIR SURLY WOULD BE POISON IN PINSTRIPES,TOM KEEGAN,Sports; Pg. 074,,705 words,,,"November 18, 1998",ENGLISH,,,,,,,"Copyright 1998 N.Y.P. Holdings, Inc. All rights reserved."
,Belle,take,clubhouse,baseball,teammate,leave,bat,great,Albert,change,walk,right,time,hitter,play,thermostat,season,Indian,pinstripe,go,magically,sign,king,look,good,car,oh,long,temperature,use,around,hand,show,tell,second,single,base,back,past,make,former,least,attempt,interview,man,George_King,Yankees,Cleveland,Seitzer,White_Sox,George,reality,person,earth,grumpier,encourage,biggest,misanthrope,ty,cobb,pictorial,complainsabout,mole,think,peachy,idea,open,vault,invite,affable,al,george,listen,drop,bomb,middle,steinbrenner,politic,new,stadium,bring,town,combustible,mix,explode,sheer,stress,latest,spin,best,center,reputation,guy,border,hilarity,everyone,afraid,otherwise,fear
,19,7,7,6,5,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 11, 1998, Sunday",15 of 43 DOCUMENTS,The New York Post,WHAT'S ALL THE FUSS ABOUT EL NINO? ; NEW YORKERS HAVE YET TO ADOPT L.A.'S OBSESSION OVER THE MOST DREADED WEATHER SYSTEM OF THE YEAR,SAMME CHITTUM,All Editions; Pg. 041,,784 words,,,"January 20, 1998",ENGLISH,,,,,,,"Copyright 1998 N.Y.P. Holdings, Inc. All rights reserved."
,el,nino,weather,go,lot,blame,meteorologist,side,winter,effect,cold,storm,New_Yorkers,phenomenon,warm,respect,joke,show,include,nothing,channel,hear,let,serious,have,coat,temperature,maybe,current,air,take,sky,bad,life,californian,seem,blizzard,snow,Midtown,Pacific,Wyllie,daunting,global,trend,surely,fate,mysterious,body,water,lurk,pacific,can,time,headline,trumpete,december,fodder,accord,writer,late,reject,senor,stormy,al,roker,gee,premature,case,spring,fever,hardly,frightening,prospect,quite,frankly,nice,we,confirm,forecaster,janice,huff,conversation,locally,speak,portend,wimpy,rain,mild,temp,far,impressed,strangely,news,enjoy,smoke,san,outside,office,fluctuation
,23,23,5,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 15, 1998, Wednesday",16 of 43 DOCUMENTS,The New York Post,APRIL 15 IS JUST THE BEGINNING; DEMOCRATS AND REPUBLICANS ALIKE ARE EAGER TO SPEND YOUR DOUGH,IRWIN M. STELZER,PostOpinion; Pg. 027,,948 words,,,"April 15, 1998",ENGLISH,,,"'Clinton plans to finance new programs with the money he expects to get by socking it to smokers. So he knows that people will keep puffingalthough perhaps a bit less, tax or no tax. He wants the money, not a smoke-free America.'",,,,"Copyright 1998 N.Y.P. Holdings, Inc. All rights reserved."
,government,money,tax,keep,citizen,americans,new,world,view,growth,thing,republican,politician,fuel,cigarette,president,smoker,income,line,earth,warming,home,green,economic,environment,another,smoke,conservative,Clinton,Gore,much,decide,promise,big,longer,spend,budget,surplus,program,plan,instead,go,know,next,extra,many,stop,people,less,find,energy,drive,work,increase,economy,fact,environmental,start,different,think,live,environmentalist,count,life,prevent,harm,tell,protect,car,million,procrastinate,today,send,large,portion,friendly,internal,revenue,service,percent,already,take,everything,earn,age,operative,pet,meanwhile,forget,let,emerge,squander,project,hope,please,hometown,voter,radical,elect
,10,9,9,6,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 23, 1998, Monday",17 of 43 DOCUMENTS,The New York Post,MERCEDES C280:A SPORTING MACHINE,JOHN A. RUSSELL,AutomotivePlus; Pg. 042,,669 words,,,"February 23, 1998",ENGLISH,,,,,,,"Copyright 1998 N.Y.P. Holdings, Inc. All rights reserved."
,new,Mercedes_Benz,engine,package,system,model,C280,coupe,power,280,sport,front,seat,vehicle,go,produce,air,wheel,reduce,include,C_Class,Sport,three,class,past,family,available,option,look,side,rear,integrate,torque,emission,way,firm,suspension,however,brake,control,assist,stop,steering,bag,child,Mercedes,MSRP,C280_Sport,everyone,know,expansion,mode,emerge,course,roadster,report,distinguish,range,add,big,limited,production,lump,together,sedan,strategy,separate,quite,bit,actually,best,sell,company,history,significant,member,later,news,test,ruby,color,interior,base,"35,400",890,sportier,thanks,redesign,dam,sill,flare,opening,grille,prominent,horizontal,bar,smoke,taillight,spoiler
,7,7,6,6,6,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 30, 1998, Monday",18 of 43 DOCUMENTS,The New York Post,"BILL CLINTON, TAX-CUTTER?",ROBERT D. NOVAK,PostOpinion; Pg. 027,,672 words,,,"March 30, 1998",ENGLISH,,,,,,,"Copyright 1998 N.Y.P. Holdings, Inc. All rights reserved."
,tax,president,payroll,Moynihan,plan,reform,cut,senator,propose,percent,income,reduce,FICA,Social_Security,Clinton,last,question,dinner,federal,regressive,ask,finance,caution,politician,address,security,press,act,evening,march,tell,sen,speech,next,part,save,democratic,worker,push,make,increase,administration,Gridiron_Club,Social,Harvard,week,besieg,world,seat,together,four,hour,answer,mostly,small,talk,exception,agree,outrage,earlier,secretary,respond,different,tone,whether,ordinary,overtaxed,deduction,reply,burden,median,family,lower,anytime,pretty,definitive,customary,among,government,official,evil,dilut,without,political,untouchable,climate,change,willing,significant,reduction,1981,form,113,ago,partly,foster,better,relation,thanks
,14,9,9,6,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 17, 1998, Sunday",19 of 43 DOCUMENTS,The New York Post,A THRIFTY SURVIVOR  CARVER BANK'S PREZ GOT THE THRIVING THRIFT THROUGH SOME TOUGH TIMES,PETER SLATIN,Business; Pg. 070,,1250 words,,,"May 18, 1998",ENGLISH,,,,,,,"Copyright 1998 N.Y.P. Holdings, Inc. All rights reserved."
,bank,Clark,Carver,program,carver,banking,street,state,superintendent,institution,charter,million,125th,building,opportunity,office,lend,community,go,clark,deputy,1995,stock,customer,around,lead,asset,branch,we,well,new,mortgage,role,clean,city,serve,federal,church,Harlem,personal,life,treasurer,ceo,place,find,pick,speed,six,union,436,total,west,headquarters,force,price,share,thing,fend,look,next,purchase,area,point,other,w.,line,training,officer,major,effort,board,percent,still,move,bring,examiner,early,development,become,real,close,return,less,financing,involved,Buffalo_Savings_Bank,State_Banking,Brooklyn,African_American,Community,profile,name,thomas,age,:,marry,grandchild,education,mba
,17,14,9,7,6,5,5,5,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1
"May 28, 1998, Thursday",20 of 43 DOCUMENTS,The New York Post,O'DONNELL MUST GO; QB CONTROVERSY COULD WRECK JETS,STEVE SERBY,Sports; Pg. 075,,1013 words,,,"May 28, 1998",ENGLISH,,,,,,,"Copyright 1998 N.Y.P. Holdings, Inc. All rights reserved."
