PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"November 26, 2003, Wednesday",1 of 32 DOCUMENTS,The New York Post,THE SHEEP LOOK UP; BIPARTISAN ANTI-ALBANY REVOLT,Fredric U. Dicker,All Editions; Pg. 029,,841 words,,,"November 26, 2003",ENGLISH,,,Spartacus? Nassau County's Tom Suozzi.,,,,"Copyright 2003 N.Y.P. Holdings, Inc. All rights reserved."
,state,New_York,Business_Council,business,people,Suozzi,government,change,policy,union,executive,political,plan,other,tax,council,Citizens_Budget_Commission,Albany,event,week,culture,may,attack,leave,nov,hold,drop,democratic,unmistakable,local,county,around,proposal,course,go,announce,insider,time,receive,support,legislator,note,group,connect,high,indeed,right,number,member,worsen,climate,chairman,politically,practice,earn,together,sign,become,real,hemmerdinger,hopeful,future,Nassau_County,Pataki,stun,past,provide,glimmer,hope,call,populist,remarkable,meeting,dysfunctional,govern,process,thomas,suozzi,bomb,highly,ambitious,weigh,defeat,lawmaker,next,order,send,message,albany,cripple,nice,suggest,adopt,similar,proverbial,lead,balloon,spark,denunciation
"May 11, 2003, Sunday",5 of 32 DOCUMENTS,The New York Post,MIKE PUTTERS AROUND; GOLFS WITH BRUNO AMID BUDGET FIGHT,"KENNETH LOVETT, JOE McGURK and STEPHANIE GASKELL",All Editions; Pg. 003,,655 words,,,"May 16, 2003",ENGLISH,,,"THE HOLE TRUTH: Mayor Bloombert (right) and girlfriend Diana Taylor grapple with the crucial work of the city at The Country Club of Troy yesterday. Alan Solomon (Sports & Late City) GRADUATING WITH HIZZONER: Mayor Bloomberg, in Albany yesterday to talk with state pols about the Apple's needs, gets set to give the commencement address at the College of St. Rose.  AP (Metro)",,,,"Copyright 2003 N.Y.P. Holdings, Inc. All rights reserved."
,budget,mayor,job,veto,Pataki,Bloomberg,go,graduate,part,billion,address,tax,hike,know,something,find,Bruno,include,big,do,lot,skip,daughter,softball,game,fifth,inning,group,business,leader,sure,whether,make,change,vow,significant,back,city,though,commencement,speech,try,tell,worry,salary,face,talk,manure,pony,Albany,Westchester,Rye_Brook,gov,expect,bailout,cash,apple,bloomberg,golf,hold,key,override,aide,man,outing,social,event,spokesman,ed,skyler,joe,bruno,appreciative,sue,legislature,revision,unconstitutionally,yet,determine,governor,court,past,challenge,lawmaker,appropriation,bill,bring,2.7,mostly,wednesday,deliver,348,chief,spokeswoman,trustee,college,billionaire,dig,3.8
,8,7,6,5,5,5,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 12, 2003, Sunday",6 of 32 DOCUMENTS,The New York Post,...CUT WELFARE FOR POLS,,All Editions; Pg. 026,,461 words,,,"January 16, 2003",ENGLISH,,,,,,,"Copyright 2003 N.Y.P. Holdings, Inc. All rights reserved."
,program,money,city,candidate,million,o'hare,tax,cut,buck,cop,budget,raise,privately,cost,count,may,time,instead,keep,mayoral,publicly,fund,little,create,indeed,today,rev,decision,step,head,present,great,opportunity,scrap,board,whole,misguid,along,soar,key,service,firefighter,school,face,ripe,pointless,actually,big,2001,wildly,generous,grant,fringe,much,four,dollar,every,gotham,administrative,half,visit,layoff,generation,underwrote,candidacy,slew,political,hopeful,unpopular,enough,campaign,private,politics,nope,none,subsidize,close,match,war,chest,eventual,victor,race,recall,shun,put,mouth,reason,believe,finance,continue,outspend,counterpart,billionaire,tom,golisano,example,relieved,similar
,8,5,4,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 3, 2003, Monday",7 of 32 DOCUMENTS,The New York Post,ON THE NEWSSTAND,,All Editions; Pg. 030,,854 words,,,"February 3, 2003",ENGLISH,,,,,,,"Copyright 2003 N.Y.P. Holdings, Inc. All rights reserved."
,read,story,magazine,tragedy,time,cover,Columbia,coverage,personal,piece,war,city,report,life,book,three,sex,new,American,news,especially,week,coverline,enough,quick,analysis,companion,offer,exploration,mag,take,comprehensive,astronaut,much,full,information,certainly,package,never,another,live,drink,tale,bit,think,donation,individual,actually,low,prudishness,review,commentary,public,teach,Newsweek,Saddam,Bush,Lapham,Atlantic_Monthly,walk,tightrope,timeliness,break,national,occur,deadline,amazingly,rise,challenge,present,saturday,sometimes,less,simple,lose,inside,remembrance,really,happen,photo,right,amount,argument,continue,space,beyond,loom,bulk,attention,weapon,inspector,prepare,include,pix,family,adviser,approach,element,poignant
,6,6,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 21, 2003, Friday",8 of 32 DOCUMENTS,The New York Post,YANKS PUT HITCHCOCK ON DISPLAY,GEORGE KING,All Editions; Pg. 112,,393 words,,,"March 21, 2003",ENGLISH,,,HITCHCOCK Auditions for scouts.,,,,"Copyright 2003 N.Y.P. Holdings, Inc. All rights reserved."
,Hitchcock,rocky,team,pitcher,Yankees,Expos,league,pitch,watch,lefty,scout,yankee,interested,splitter,million,money,deal,extend,invitation,major,minor,game,every,receive,memo,via,message,wire,five,send,rep,hurl,read,drop,three,include,sign,1989,represent,vance,lovelace,dodger,ranger,insist,desperate,trade,depend,talk,mel,stottlemyre,effort,give,nine,hit,six,run,go,well,several,note,struggle,hitter,show,enough,arm,speed,throw,curve,strike,impressed,bite,velocity,top,mph,fastball,tank,stronger,owed,4.5,base,salary,2.5,signing,bonus,defer,however,economic,climate,clamoring,swallow,something,substantial,back,pull,wednesday,night,acquire,padre,remain
,7,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 27, 2003, Thursday",9 of 32 DOCUMENTS,The New York Post,HILTON SIBS MAKE NEW SPLASH,,All Editions; Pg. 016,,1624 words,,,"March 27, 2003",ENGLISH,,,"-Gisele Bundchen.  Fernanda Calfat/WireImage.com -Lenny Kravitz, Alexandra
-David Schwimmer wears shoes as he leaves the Barefoot Caf in Beverly Hills with his lovely new friend who has yet to be identified. Does anyone recognize her? London Entertainment/Splash News
-Kylie Minogue lunches with her new boyfriend, ""Unfaithful"" hunk Oliver Martinez, at the Chateau Marmont in Hollywood. London Entertainment/Splash News",,,,"Copyright 2003 N.Y.P. Holdings, Inc. All rights reserved."
,Paris,tell,show,last,war,French,start,know,week,sister,six,girl,nothing,happen,talk,go,source,throw,think,crazy,magazine,report,friend,cage,presley,pal,plan,special,member,time,leave,news,problem,producer,hear,become,tonight,Hilton,PAGE,Jason,ABC,Cher,witness,brawl,actress,l.a.,tuesday,night,though,three,sit,scream,minute,pretty,next,never,really,drink,look,star,bar,birthday,party,close,anything,complain,dinner,vega,give,today,replace,voice,issue,local,public,wife,pose,bad,couple,call,room,happy,battle,take,much,make,network,air,let,send,back,life,singer,record,stone,father,offer,training,flag
,11,7,7,6,6,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"May 22, 2003, Thursday",10 of 32 DOCUMENTS,The New York Post,GIANT JUBILATION - COACH FASSEL INTRODUCES 'LOST' SON,PAUL SCHWARTZ,All Editions; Pg. 033,,691 words,,,"May 22, 2003",ENGLISH,,,"-JOYOUS OCCASION: Mathieson introduces daughter Reagan to her proud grandmom, Kitty, at the first family reunion in Colorado. -ONE BIG HAPPY FAMILY: John Mathieson (center) yesterday stands with his newly found birth parents, Jim and Kitty Fassel, and his siblings (rear from left) Jana, John and Michael. At right is Mathieson's wife, Kristi.  Michael Sofronski",,,,"Copyright 2003 N.Y.P. Holdings, Inc. All rights reserved."
,family,have,Kitty,child,bear,son,Fassels,Mathieson,coach,four,life,later,learn,three,week,we,daughter,Fassel,head,far,difficult,tell,different,give,adoption,awesome,grow,oldest,recently,time,meet,father,brother,fassel,today,together,marry,choice,add,birth,change,handle,another,kind,maybe,Giants,Jim_Fassel,Jim,Colorado,secure,critical,victory,career,dec.,beat,eagle,overtime,capture,playoff,berth,night,wife,confront,challenge,tidy,lead,lie,fifth,back,unmarried,sweetheart,attend,college,keep,secret,startling,news,reveal,shocking,believe,desperation,frantic,teenager,deal,issue,blossomed,heartwarming,tale,spark,grand,reunion,search,speak,firstborn,grandparent,fly,colo,hotel,suburban
,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 23, 2003, Friday",11 of 32 DOCUMENTS,The New York Post,KLEIN AIDE RIPS SCHOOL SYSTEM,CARL CAMPANILE Education Reporter,Sport+Late City Final; Pg. 016,,397 words,,,"May 23, 2003",ENGLISH,,,ROBERT KNOWLING Thought of quitting.,,,,"Copyright 2003 N.Y.P. Holdings, Inc. All rights reserved."
,principal,school,have,knowl,people,leave,go,Leadership_Academy,head,city,twice,system,thing,training,help,fail,next,percent,make,create,Center,Educational_Innovation,department,admit,consider,quit,post,frustration,resistant,change,hardest,ever,try,oversee,recruiting,address,former,top,executive,several,company,hire,january,find,strong,"1,200",climate,certainly,different,private,sector,perform,rewarded,immediately,show,door,close,almost,ask,civil,service,union,rule,govern,perpetuation,incompetence,never,anything,stress,lead,despite,challenge,critic,expert,hunker,stymie,reform,great,opportunity,better,talented,leader,250,newly,appoint,open,september,train,candidate,work,learn,star,recruitment,include,attract,educator,state,exist,retrain
,8,6,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 30, 2003, Monday",12 of 32 DOCUMENTS,The New York Post,WHAT THE POLS HATH WROUGHT,,All Editions; Pg. 030,,1100 words,,,"June 30, 2003",ENGLISH,,,,,,,"Copyright 2003 N.Y.P. Holdings, Inc. All rights reserved."
,tax,state,New_York,percent,spend,city,last,budget,new,job,billion,yet,Albany,Gotham,lawmaker,mayor,hike,national,make,may,rate,lose,fine,pain,fiscal,economy,mike,million,plan,gap,nearly,pol,still,continue,next,opportunity,combine,local,future,nation,much,almost,firm,debt,go,long,shot,way,beyond,financial,taxpayer,relief,meanwhile,work,likely,drag,week,deal,ago,statewide,projection,loss,revenue,time,consider,per,resident,trim,indeed,pension,generous,government,service,nothing,total,sale,income,double,pressure,another,miss,rather,structural,yorker,worker,among,early,area,top,whether,shut,rest,country,place,Medicaid,smack,home,damage,cause
,16,14,13,11,9,9,7,6,5,5,5,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1
"July 11, 2003, Friday",13 of 32 DOCUMENTS,The New York Post,"PLAY IT AGAIN, MA'AM",Michael Riedel,All Editions; Pg. 045,,638 words,,,"July 11, 2003",ENGLISH,,,"Jane Krakowski has taken over the lead in a workshop production of ""Sweet Charity."" N.Y. POST: JENNIFER WEISBORD",,,,"Copyright 2003 N.Y.P. Holdings, Inc. All rights reserved."
,show,musical,revival,theater,Broadway,spring,look,may,rock,producer,still,work,present,wonderful,town,direct,go,available,week,book,least,well,lot,woman,stage,mame,next,sweet,charity,workshop,last,obscure,english,director,series,talent,schedule,Barry_Weissler,London,White,fill,latest,three,couple,ago,encore,starr,wickedly,funny,charming,ever,choreograph,score,transfer,shel,become,pregnant,actress,rush,past,hunt,easy,task,right,everything,paper,fluid,business,owner,always,backup,eye,al,hirschfeld,formerly,man,la,mancha,vacate,end,officially,home,rumbling,import,ready,time,open,bombay,dream,cost,astounding,million,money,raise,economic,climate,turn,revise,change
,7,4,4,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 25, 2003, Friday",14 of 32 DOCUMENTS,The New York Post,DID 'RESTAURANT' FAKE SCENE?,,All Editions; Pg. 012,,1559 words,,,"July 25, 2003",ENGLISH,,,"-Madonna, in the passenger seat, batted her eyes and tried to sweet-talk an LAPD officer out of giving her assistant a moving violation.  © Ramey Photos -Ben Affleck, Yul Vasquez
-Elle MacPherson goes incognito while on a shopping spree in the tony Notting Hill section of London.  Big Pictures USA (m, s)
-Sly Stallone, in town to plug ""Spy Kids 3-D,"" hooks up with brother Frank in Manhattan last night. See review, Page 48. Ronald Asadorian/Splash (lcf)",,,,"Copyright 2003 N.Y.P. Holdings, Inc. All rights reserved."
,go,McDonald,show,man,tell,Canteen,scene,buy,know,ask,cover,Rocco,DiSpirito,fake,restaurant,rep,new,friend,John,canteen,space,process,can,never,long,look,make,everyone,bad,c.c,magazine,wear,pants,shoot,rob,Chodorow,Geraldo,Ashton,claim,close,sue,try,partner,call,ago,still,use,air,sell,camera,start,fool,find,bankruptcy,court,eatery,judge,another,place,shot,producer,nothing,case,million,settle,former,neighbor,table,son,hear,daughter,sox,version,write,band,love,meet,wife,divorced,big,four,beautiful,star,attack,wedding,journalist,change,trailer,ever,kutcher,lowe,september,suppose,photo,wait,scandal,o.j,money,pay
,9,8,6,6,6,6,5,5,5,5,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"August 5, 2003, Tuesday",15 of 32 DOCUMENTS,The New York Post,INTEREST-RATE MOVES WARN THE ECONOMY MAY BE BROKEN,John Crudele,All Editions; Pg. 031,,632 words,,,"August 5, 2003",ENGLISH,,,,,,,"Copyright 2003 N.Y.P. Holdings, Inc. All rights reserved."
,rate,percent,economy,interest,rise,improve,federal,situation,job,cause,reserve,government,good,number,lose,look,2.4,U.S.,Washington,break,can,nation,business,way,reduce,people,money,instance,nobody,reason,market,investor,certainly,enough,normal,amount,stop,fact,actually,worse,really,"44,000",bad,massive,quarter,figure,inflation,annual,growth,explain,may,different,idea,cycle,lot,troubling,hearing,economist,politician,argue,let,hope,wrong,behaved,past,serious,concern,country,fix,remedy,conventional,early,june,actual,pay,borrow,soar,rocket,bond,longer,issue,still,trade,risen,around,4.20,5.50,mortgage,average,low,area,happen,question,answer,thing,source,worry,foreigner,suddenly
,15,9,8,6,6,5,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 26, 2003, Tuesday",16 of 32 DOCUMENTS,The New York Post,WHY THE ECONOMY MAY APPEAR WEAKER,John Crudele,All Editions; Pg. 036,,645 words,,,"August 27, 2003",ENGLISH,,,,,,,"Copyright 2003 N.Y.P. Holdings, Inc. All rights reserved."
,computer,september,economy,number,seasonal,2002,october,next,2001,government,adjustment,happen,interest,rate,look,attack,statistical,column,previous,business,think,expect,cause,weak,weaker,start,slow,everyone,attention,understand,help,expectation,last,terrorist,activity,normal,02,still,period,machine,make,actually,compare,economic,rise,price,Wall_Street,begin,probably,mired,extremely,growth,trend,exist,nearly,three,apparent,slowdown,blame,world,trade,center,fluke,disturb,consumer,politician,shark,screeech,fingernail,blackboard,go,easy,either,write,pay,cup,coffee,try,normalize,anything,quirk,instance,change,summer,teacher,leave,work,force,student,enter,adjust,float,theory,calculation,throw,occur,exactly,seem,theorize
,12,8,7,5,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 28, 2003, Thursday",17 of 32 DOCUMENTS,The New York Post,HISTORY'S SWITCH,Robert A. George,All Editions; Pg. 027,,674 words,,,"August 28, 2003",ENGLISH,,,Goldwater: Gave up on black vote.,,,,"Copyright 2003 N.Y.P. Holdings, Inc. All rights reserved."
,king,speech,black,vote,support,Nixon,King,rights,make,republican,sen,look,call,party,share,goldwater,racist,movement,civil_rights,every,success,forty,today,civil,national,political,racial,comfort,state,position,order,able,end,still,percent,value,rather,1964,act,though,give,wound,philosophy,white,recognize,interest,Martin_Luther_King,Eisenhower,Kennedy,Georgia,America,Goldwater,Mr._Goldwater,Republican_Party,contain,within,seed,downfall,ago,jr.,deliver,memorable,reach,apex,oratory,social,protest,top,agenda,stop,battle,thus,diminish,influence,1960,presidential,race,f.,kennedy,vice,president,actually,run,liberal,member,many,favorably,administration,send,federal,troops,ark,enforce,desegregation,score,coup,arrest,sentence,four
,7,6,6,6,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 14, 2003, Sunday",18 of 32 DOCUMENTS,The New York Post,NEW YORK'S NEW BEGGARS ; CELL-PHONE HOMELESS ON STREETS BY CHOICE,PHILIP RECCHIA,All Editions; Pg. 004,,1317 words,,,"September 17, 2003",ENGLISH,,,"STREET SCENE: A young woman named Dawn (left), accompanied by a lazy pooch (below) at 14th Street and Fifth Avenue, dials up pals while her sign (above) does the panhandling work, asking for donations.  Peter Walden Sr. NETWORKING: Homeless ""Tom,"" 20, chats on his cell phone with a friend in Philadelphia, another city with ample squat opportunities.Linda Obuchoska",,,,"Copyright 2003 N.Y.P. Holdings, Inc. All rights reserved."
,homeless,new,job,around,phone,have,kid,tell,drug,Dawn,free,street,life,last,cell,home,post,away,center,many,give,city,punk,find,record,name,back,go,ago,take,talk,leave,New_York,drop_in,Streetwork,charity,hundred,week,beg,interview,foot,read,break,place,average,panhandling,call,recently,hand,spend,money,able,buy,clothes,live,material,summer,handout,set,tattoo,stepfather,bond,sleeping,youth,area,we,group,certain,food,squatter,christmas,streetwork,work,police,lieutenant,gutter,four,sleep,night,people,addict,age,dawn,friend,boyfriend,parent,speak,squat,abandon,building,think,another,e_mail,Old_Navy,McDonald,California,Wall_Street,Tompkins_Square_Park,Karen
,11,8,7,7,6,6,6,6,6,6,5,5,5,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"September 17, 2003, Wednesday",19 of 32 DOCUMENTS,The New York Post,TV STATIONS SET TO GUZZLE LIQUOR COMPANY AD $$,STEPHEN LYNCH,Metro; Pg. 034,,236 words,,,"September 17, 2003",ENGLISH,,,,,,,"Copyright 2003 N.Y.P. Holdings, Inc. All rights reserved."
