PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"September 23, 2009 Wednesday",2 of 264 DOCUMENTS,USA TODAY,"Deal on climate change is elusive; Political, economic issues hinder talks to stop warming",Traci Watson,NEWS; Pg. 1A,,1836 words,,,"September 23, 2009",ENGLISH,,,"GRAPHIC, B/W, Sam Ward, USA TODAY, Source: Joint Global Change Research Institute (Line graph) PHOTO, Color, Timothy A. Clary, AFP/Getty Images PHOTO, B/W, Pool photo by Konishi Taro",,COVER STORY,NEWSPAPER,"Copyright 2009 Gannett Company, Inc.                               All Rights Reserved"
,climate,emission,nation,treaty,U.S.,cut,make,develop,degree,change,economic,warming,country,Senate,world,scientist,rise,temperature,bill,U.N.,Earth,agreement,talk,carbon,dioxide,greenhouse,gas,accord,billion,China,ago,prime,minister,deal,time,head,power,question,economy,report,global,much,meeting,include,difficult,senator,2020,Copenhagen,end,official,produce,start,diplomat,point,part,negotiation,far,group,expert,industrialize,planet,take,keep,mandatory,former,put,reach,last,oppose,energy,effort,*,money,aid,sept,may,atmosphere,climate_change,Obama,United_States,USA,Kyoto,European_Union,2009,draft,slow,de,challenge,suppose,finalize,repeatedly,tuesday,we,president,go,debate,dramatic,without,worldwide
"August 19, 2009 Wednesday",14 of 264 DOCUMENTS,USA TODAY,Climate plan calls for forest expansion; EPA: 18M acres of trees to be planted,Traci Watson,NEWS; Pg. 1A,,504 words,,,"August 19, 2009",ENGLISH,,,,,,NEWSPAPER,"Copyright 2009 Gannett Company, Inc.                               All Rights Reserved"
,forest,tree,bill,climate,analysis,acre,plant,carbon,food,House,million,roughly,farmer,dioxide,level,price,area,*,climate_change,new,farm,plan,environmental,financial,incentive,rancher,last,lower,agricultural,economist,however,similar,farmland,cost,secretary,epa,lose,study,the,development,EPA,U.S.,spread,across,landscape,replace,pasture,field,congressional,confront,change,protection,agency,show,size,2020,accord,pass,representative,june,give,suck,large,amount,key,gas,forestation,effort,larger,carry,service,1933,1942,billion,alumnus,group,worker,family,member,benefit,clear,improve,water,quality,need,pesticide,fertilizer,university,contribute,hard,potentially,chief,likely,consider,fall,worry,loss,lead,increase
,8,6,6,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 30, 2009 Monday",15 of 264 DOCUMENTS,USA TODAY,Leaked climate e-mails cause a fracture; Some see a conspiracy; others say it's no big deal,Dan Vergano,LIFE; Pg. 10D,,885 words,,,"November 30, 2009",ENGLISH,,,"GRAPHIC, B/W, Alejandro Gonzalez, USA TODAY (Line graph) PHOTO, B/W, Torsten Blackwood, AFP/Getty Images PHOTO, B/W, Ints Kalnins, Reuters",,,NEWSPAPER,"Copyright 2009 Gannett Company, Inc.                               All Rights Reserved"
,climate,temperature,warming,e_mails,global,researcher,data,East_Anglia,heat,center,look,scientist,2007,report,record,IPCC,critic,raise,question,gas,rise,university,case,problem,well,other,review,write,note,surface,show,evidence,group,University,Jones,scientific,agreement,greenhouse,steal,dating,discuss,real,read,controversy,call,independent,message,keep,skeptic,papers,worldwide,make,colleague,publish,statement,use,back,happen,ice,explain,atmospheric,degree,paper,small,expert,United_Kingdom,Inhofe,e_mail,Michaels,conduct,increase,sprawling,online,debate,leak,argument,threaten,world,fight,leader,192,nation,prepare,meet,dec.,craft,stem,feed,unknown,hacker,thousand,document,1996,2009,play,key,role,advancing,planet
,12,10,9,9,7,6,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 18, 2009 Wednesday",16 of 264 DOCUMENTS,USA TODAY,Brokaw revisits 'Global Warming',Doyle Rice,LIFE; Pg. 6D,,286 words,,,"March 18, 2009",ENGLISH,,,"PHOTO, B/W, NBC Universal",,,NEWSPAPER,"Copyright 2009 Gannett Company, Inc.                               All Rights Reserved"
,climate,change,warming,Brokaw,documentary,global,world,new,need,grow,interview,several,loss,temperature,economy,nbc,newsman,tom,brokaw,return,debate,air,tonight,et,pt,second,2006,collaboration,emmy,try,across,consensus,real,worse,telephone,show,present,playbook,scientific,effect,examine,expect,around,next,decade,include,ice,extreme,weather,species,discover,anecdotal,evidence,continue,bubble,cite,recent,excursion,hear,fishermen,hunter,rise,shift,animal,behavior,struggle,money,energy,political,tackle,yes,stop,deal,industry,something,lead,expert,scientist,raise,public,awareness,late,1980,warn,film,seven,eight,warmest,record,occur,2001,increase,degree,possible,end,century,Veteran,New_Challenge,Tom_Brokaw
,7,7,5,5,4,4,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 30, 2009 Monday",21 of 264 DOCUMENTS,USA TODAY,"Change shadows Rocky Mountain National Park; Officials battle climate change, beetles and time",Bobby Magill,NEWS; Pg. 6A,,755 words,,,"November 30, 2009",ENGLISH,,,,,,NEWSPAPER,"Copyright 2009 Gannett Company, Inc.                               All Rights Reserved"
,park,million,project,Rocky_Mountain_National_Park,change,pine,beetle,maintenance,campground,climate,pika,many,Baker,tree,lodgepole,resource,population,visit,yet,recent,campsite,kill,chief,point,way,forest,side,five,among,defer,become,biologist,chemical,mountain,area,accord,designate,challenge,hope,half,peak,remain,keep,road,take,building,trail,decade,need,next,people,enough,rapidly,know,indicator,glacier,away,Glacier_Basin_Campground,Bobowski,colo,hop,ford,escape,november,confirm,lone,mack,natural,branch,pocket,dead,amid,lush,green,uphill,eat,east,lay,waste,west,2015,centennial,nickname,rocky,staff,state,flux,bear,rack,price,tag,greater,economy,air,quality,primary,concern,composition,tundra
,16,9,7,7,6,5,5,5,4,4,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 11, 2009 Friday",22 of 264 DOCUMENTS,USA TODAY,Climate change gets world's attention,,NEWS; Pg. 21A,,576 words,,,"December 11, 2009",ENGLISH,,,"PHOTO, B/W, Anja Niedringhaus, AP",,,NEWSPAPER,"Copyright 2009 Gannett Company, Inc.                               All Rights Reserved"
,change,country,energy,editorial,climate,develop,million,commitment,expect,reduce,gas,emission,economic,cut,world,export,people,China,agreement,protocol,must,make,help,global,commit,greenhouse,national,serious,save,action,recognize,future,produce,use,annually,hundred,take,accept,Copenhagen,Copenhagen_Consensus_Center,post,conference,bring,together,representative,180,outcome,summit,meeting,determine,move,forward,breathe,hard,offer,generous,financial,support,least,finance,technology,adapt,impact,warming,especially,big,major,mitigation,effort,voluntarily,interest,succeed,judge,environmental,degradation,breakneck,development,cause,past,three,decade,recent,become,catchphrase,slogan,yet,translate,reasonable,leader,importance,address,hopefully,sort,many,already,pledge,possibility,source,alternative
,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 23, 2009 Wednesday",25 of 264 DOCUMENTS,USA TODAY,"U.S., China, Japan vow to change",Traci Watson,NEWS; Pg. 2A,,393 words,,,"September 23, 2009",ENGLISH,,,,,,NEWSPAPER,"Copyright 2009 Gannett Company, Inc.                               All Rights Reserved"
,gas,new,emission,greenhouse,China,climate,cut,hu,change,summit,president,*,world,nation,Japan,Obama,promise,tuesday,work,eliminate,subsidy,fossil,fuel,coal,ban,hope,leader,slow,announce,growth,committed,2020,make,U.N.,U.S.,action,international,oil,head,state,100,country,gather,conven,ki,moon,top,overcome,stalemate,settle,talk,treaty,replace,expire,2012,news,conference,night,put,fresh,wind,sail,warn,reach,agreement,december,easy,involve,incredibly,complex,negotiate,process,obama,declare,unless,act,risk,consign,future,generation,irreversible,catastrophe,addition,vow,requirement,company,report,offer,initiative,lead,wildlife,fund,environmental,group,call,speech,miss,opportunity,jintao
,6,5,5,5,5,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 27, 2009 Monday",30 of 264 DOCUMENTS,USA TODAY,Utilities ante up in climate debate; Spending surges 30% for lobbyists on issue,John Fritze,NEWS; Pg. 1A,,413 words,,,"June 9, 2009",ENGLISH,,,,,,NEWSPAPER,"Copyright 2009 Gannett Company, Inc.                               All Rights Reserved"
,million,lobbying,change,2008,increase,utility,lobbyist,last,issue,climate,customer,company,report,show,group,emission,include,bill,AEP,Obama,cap_and_trade,electric,spend,influence,sell,period,2007,legislation,environmental,support,credit,interest,work,introduce,much,Sierra_Club,fifty,nation,largest,amp,late,debate,underway,biggest,face,lawmaker,energy,state,total,six,today,review,industry,make,better,bottom,line,buoy,president,system,require,cut,carbon,2020,2005,level,buy,firm,offset,limit,critic,cost,fall,consumer,become,boon,side,despite,attempt,lessen,special,center,analysis,involved,hire,"2,430",past,300,five,ago,begin,october,rep.,similar,election,democrat,current,discussion,draft
,6,6,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 14, 2009 Monday",60 of 264 DOCUMENTS,USA TODAY,"Okla. senator plans to rain on climate talks; Emissions bill is dead, Inhofe says, and he wants nations to know it",Brian Winter,NEWS; Pg. 13A,,639 words,,,"December 14, 2009",ENGLISH,,,"GRAPHIC, B/W, Julie Snider, USA TODAY, Source: International Energy Agency (Bar graph)",,,NEWSPAPER,"Copyright 2009 Gannett Company, Inc.                               All Rights Reserved"
,global,U.S.,summit,warming,energy,bill,emission,go,make,nation,issue,week,pass,think,country,keep,company,term,Obama,Copenhagen,China,sen,long,greenhouse,gas,without,friday,try,deal,emitter,work,develop,cut,level,cap,carbon,debate,many,wait,secretary,republican,push,goal,lawyer,foreign,minister,2050,Senate,Congress,Chinese,final,climate,change,boil,battle,president,skunk,picnic,jame,inhofe,call,hoax,plan,travel,stay,enough,three,hour,tell,head,state,limit,know,never,vote,recent,interview,dead,allow,something,delegate,support,able,whatever,promise,arrive,seal,capping,full,cooperation,world,behind,broad,agreement,address,192,gather,simply,fall
,7,6,5,5,5,5,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 11, 2009 Friday",76 of 264 DOCUMENTS,USA TODAY,E-mail scandal is diversion from global warming debate,,NEWS; Pg. 19A,,580 words,,,"December 11, 2009",ENGLISH,,,"GRAPHIC, B/W, Sam Ward, USA TODAY (Illustration)",,DEBATE,NEWSPAPER,"Copyright 2009 Gannett Company, Inc.                               All Rights Reserved"
,warming,global,change,scientist,enough,use,energy,political,agenda,side,planet,produce,serious,try,dec.,argue,man,cause,source,reduce,fuel,consider,cost,flooding,make,fact,issue,believe,climate,recall,suggest,problem,pure,look,summit,carbon,offset,buy,folk,e_mails,non_issue,debate,muddied,emergence,supposedly,misleading,tactic,twist,data,prove,exist,groupthink,industry,forum,existence,alone,earth,part,natural,cycle,action,accelerate,argument,adopt,greener,lifestyle,merit,renewable,wind,water,sun,greenhouse,gas,emission,dependence,foreign,fossil,rail,convert,consumption,habit,human,life,suffer,coastal,trend,mistake,form,lightning,strike,hurricane,tornadoe,earthquake,volcanic,activity,ultimate,terrorist,discriminate,gender
,12,10,5,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 14, 2009 Wednesday",77 of 264 DOCUMENTS,USA TODAY,Chu vows to tackle global warming; Obama's Energy nominee warmly received on Hill,Traci Watson,NEWS; Pg. 6A,,458 words,,,"January 14, 2009",ENGLISH,,,"PHOTO, B/W, Mike Theiler, Reuters",,,NEWSPAPER,"Copyright 2009 Gannett Company, Inc.                               All Rights Reserved"
,Chu,energy,head,renewable,take,source,gas,sen,chu,treaty,Energy_Department,United_States,China,tuesday,focus,department,global,warming,continue,run,climate,confirmation,hearing,nuclear,plant,power,group,need,clean,possible,committee,draw,cut,greenhouse,follow,nation,Bush,U.S.,NRDC,Obama,Chinese,global_warming,winner,nominate,part,policy,sharp,departure,priority,administration,current,path,risk,dramatic,disruptive,change,physicist,tell,2004,lawrence,berkeley,national,laboratory,redirect,tap,secretary,last,often,ride,bike,work,call,investment,efficiency,time,present,pragmatist,reject,advantage,favor,environmentalist,new,reliance,oil,drilling,necessary,environmental,urge,move,100,electricity,solar,wind,solution,make,quickly,decline,comment,industry
,9,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 4, 2009 Wednesday",86 of 264 DOCUMENTS,USA TODAY,"For Obama, nominees' exits take off some of the glow; Daschle, Killefer tax issues raise questions about vetting process","Mimi Hall, Fredreka Schouten and John Fritze",NEWS; Pg. 1A,,2008 words,,,"February 4, 2009",ENGLISH,,,"PHOTO, Color, Larry Downing, Reuters PHOTO, Color, Reuters PHOTO, Color, AP PHOTO, Color, AP (4)",,COVER STORY,NEWSPAPER,"Copyright 2009 Gannett Company, Inc.                               All Rights Reserved"
,Obama,tax,Daschle,pay,go,Washington,president,tuesday,withdraw,think,secretary,question,health,care,problem,nomination,week,administration,last,sen,change,work,Killefer,White_House,new,nominee,tell,make,mistake,former,people,fail,time,call,issue,Senate,Gibbs,look,use,political,daschle,firm,earn,responsibility,interview,vet,never,lose,performance,overhaul,group,ethic,car,file,interest,help,lien,2005,plan,nearly,effort,show,four,every,state,contract,delay,whether,face,exception,lobbying,lobbyist,person,maybe,million,news,Treasury,Tom_Daschle,Congress,Commerce,stand,nation,era,presidency,failure,screw,five,judgment,part,ethical,official,tap,government,chief,officer,majority,leader,consideration,watchdog
,25,22,17,13,12,11,10,10,10,10,9,8,7,7,7,7,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"December 21, 2009 Monday",89 of 264 DOCUMENTS,USA TODAY,Conference ends in failure,James Inhofe,NEWS; Pg. 16A,,400 words,,,"December 21, 2009",ENGLISH,,,,,DEBATE,NEWSPAPER,"Copyright 2009 Gannett Company, Inc.                               All Rights Reserved"
,global,warming,conference,agreement,American,significant,climate,world,last,Copenhagen,treaty,take,fail,already,economy,emission,cut,nation,around,president,university,show,scientist,go,policy,grow,U.S.,case,enter,international,blow,latest,reach,meaningful,failure,jeopardize,action,skeptical,1997,vote,guarantee,harm,similar,fact,administration,may,undercut,position,home,propose,taxpayer,hand,billion,dollar,help,develop,open,leader,ultimately,include,descend,believe,minute,hammer,reality,hold,obstacle,persist,past,decade,remain,end,copenhagen,provide,bind,new,target,timeline,way,verify,enforce,type,troubling,concern,behind,science,shocking,leak,apparently,lead,manipulate,data,violate,information,disclosure,law,block,publication,research
,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 6, 2009 Wednesday",98 of 264 DOCUMENTS,USA TODAY,Celebs use star power to spotlight pet causes; Environmental issues rate high on activist actors' lists,Seung Min Kim,NEWS; Pg. 5A,,587 words,,,"June 9, 2009",ENGLISH,,,,,,NEWSPAPER,"Copyright 2009 Gannett Company, Inc.                               All Rights Reserved"
,celebrity,cause,issue,people,Washington,make,environmental,*,star,may,story,judd,testify,speaker,campaign,2007,video,way,hold,urging,ever,able,matter,lawmaker,hear,spotlight,go,walk,actor,speak,april,environment,change,opportunity,power,press,new,administration,Earth,Redford,House,prince,charle,launch,save,rainforest,late,enlist,soccer,legend,advance,unveiled,tuesday,social,networking,site,attempt,diverse,community,together,long,champion,recently,chevy,chase,headline,festival,leonardo,dicaprio,meet,president,obama,week,discuss,robert,news,conference,member,december,lease,land,oil,gas,drilling,bigger,megaphone,buy,spokeswoman,count,among,trustee,talk,reach,hundred,thousand,million,sway,hearing,otherwise
,8,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 28, 2009 Friday",99 of 264 DOCUMENTS,USA TODAY,Let voters replace Kennedy,,NEWS; Pg. 6A,,389 words,,,"August 28, 2009",ENGLISH,,,"PHOTO, B/W, AP",,DEBATE,NEWSPAPER,"Copyright 2009 Gannett Company, Inc.                               All Rights Reserved"
,governor,seat,fill,senator,state,reason,senate,election,voter,appoint,law,Kennedy,five,legislature,right,thing,wrong,power,special,represent,democrat,less,try,example,gov,Massachusetts,U.S.,Democratic,Obama,ago,strip,vacant,mandate,quick,choose,simply,block,fellow,republican,sen,presidential,race,vacate,today,deval,patrick,guess,unsurprisingly,hypocritically,consider,whether,return,late,wednesday,think,great,idea,shortly,die,veteran,send,letter,urging,change,suggest,whoever,agree,run,argue,time,accelerate,2004,call,create,long,gap,single,much,respect,deathbed,wish,suspect,motive,concern,good,government,ensure,president,crucial,60th,democratic,vote,fall,health,care,reform,legislation,likely,head
,6,6,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 8, 2009 Tuesday",100 of 264 DOCUMENTS,USA TODAY,Clotheslines a hang-up for many communities; Eco-friendly way to dry laundry often considered eyesore,Jordan Schrader,NEWS; Pg. 18A,,605 words,,,"September 8, 2009",ENGLISH,,,"PHOTO, B/W, Erin Brethauer, Asheville (N.C.) Citizen-Times",,,NEWSPAPER,"Copyright 2009 Gannett Company, Inc.                               All Rights Reserved"
