PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"February 11, 2010 Thursday",2 of 169 DOCUMENTS,USA TODAY,Could chicken manure help curb climate change?; 'Biochar' is seen as cheap solution,Brian Winter,NEWS; Pg. 1A,,1498 words,,,"February 11, 2010",ENGLISH,,,"GRAPHIC, B/W, Julie Snider, USA TODAY, Source: Frye Poultry Cornell University USA TODAY research (Diagram) PHOTO, Color, Jack Gruber, USA TODAY PHOTO, B/W, Jack Gruber, USA TODAY",,COVER STORY,NEWSPAPER,"Copyright 2010 Gannett Company, Inc.                               All Rights Reserved"
,biochar,Frye,carbon,farm,chicken,scientist,produce,make,soil,much,emission,use,machine,atmosphere,greenhouse,gas,environmental,still,sell,technology,dioxide,help,example,may,environment,recent,include,need,organic,frye,LaSalle,global,manure,keep,advocate,call,change,long,think,best,good,green,turn,warm,take,initiative,impact,recently,company,people,excited,little,heat,result,way,process,low_cost,Lehmann,poultry,waste,large,substance,know,fertilizer,president,new,strategy,climate,worth,admit,"1,000",farmer,away,plan,venture,whether,represent,relatively,put,proposal,give,lead,cause,planet,positive,cap,trade,cut,pollution,have,promise,reduce,fall,widespread,research,source,plant,right,dollar
"March 26, 2010 Friday",22 of 169 DOCUMENTS,USA TODAY,It'll be lights out for many on Saturday for Earth Hour,Wendy Koch,NEWS; Pg. 3A,,469 words,,,"March 26, 2010",ENGLISH,,,"PHOTO, B/W, Brendon Thorne, Getty Images",,,NEWSPAPER,"Copyright 2010 Gannett Company, Inc.                               All Rights Reserved"
,light,city,Earth_Hour,go,dark,hour,saturday,climate,change,participate,building,U.S.,million,business,national,landmark,include,night,number,state,8:30,time,world,take,last,group,turn,public,mountain,energy,pine,party,environmental,solve,look,South_Dakota,home,"2,200",walgreen,draw,attention,global,warming,despite,debate,science,record,pledge,p.m.,local,accord,organizer,reflect,conviction,people,around,real,need,something,chief,executive,officer,wildlife,fund,start,2007,annual,event,"4,000",official,country,318,estimate,americans,eight,plan,flip,switch,governor,mansion,among,monument,part,las,vega,strip,formerly,steward,park,visible,leader,beginning,memorial,illuminate,facial,profile,four,president,carve
,5,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 2, 2010 Tuesday",32 of 169 DOCUMENTS,USA TODAY,"Obama's budget draws rapid fire; Lawmakers lament spending, want to lower deficit more",Richard Wolf,NEWS; Pg. 8A,,818 words,,,"February 2, 2010",ENGLISH,,,"GRAPHICS, B/W, Julie Snider, USA TODAY, Source: Office of Management and Budget (Bar graphs) PHOTO, B/W, Joshua Roberts, Bloomberg",,,NEWSPAPER,"Copyright 2010 Gannett Company, Inc.                               All Rights Reserved"
,budget,cut,tax,Obama,spend,deficit,trillion,president,Congress,republican,economic,family,propose,billion,debt,2020,proposal,increase,health,care,climate,economy,monday,lawmaker,create,job,package,plan,next,make,"250,000",liberal,go,far,enough,savings,2014,grow,face,along,election,reject,three,program,change,continue,freeze,domestic,represent,require,rise,welcome,camera,work,raise,Budget,Medicare,Medicaid,Social_Security,3.8,run,immediate,trouble,among,try,much,little,quick,response,seek,juggle,twin,goal,entail,new,involve,opposite,past,criticize,862,stimulus,spendthrift,raising,overall,lambast,let,w.,bush,expire,rep.,paul,ryan,top,call,aggressive,agenda,government,cosmetic,maneuver
,14,11,11,11,10,9,8,7,5,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 14, 2010 Wednesday",35 of 169 DOCUMENTS,USA TODAY,Energy bill to debut -- a shadow of itself; Proposed legislation retooled,Richard Wolf,NEWS; Pg. 5A,,864 words,,,"July 14, 2010",ENGLISH,,,"PHOTO, B/W, Mandel Ngan, AFP/Getty Images",,,NEWSPAPER,"Copyright 2010 Gannett Company, Inc.                               All Rights Reserved"
,energy,Obama,bill,oil,Senate,president,last,White_House,legislation,take,pollution,vote,able,spill,comprehensive,office,climate,major,domestic,regulation,clean,sen,include,tax,carbon,oppose,time,democrat,*,do,use,gulf,propel,fail,nation,change,yet,tuesday,leader,instead,financial,loan,likely,seek,greenhouse,gas,emission,reduce,need,renewable,standard,new,drilling,pass,price,foreign,something,environmentalist,industry,high,economic,stimulus,health,care,much,leave,go,billion,navigate,make,long,Oval,Congress,Democratic,fuel_efficiency,House,U.S.,Pennsylvania,attempt,help,plan,unveil,measure,early,next,week,ago,address,press,congressional,action,piece,agenda,languish,topic,meet,discuss,upcoming,meeting
,12,10,8,6,6,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 11, 2010 Friday",39 of 169 DOCUMENTS,USA TODAY,New alliances reshaping college sports; Scramble for TV money may spell end of Big 12,Marlen Garcia,NEWS; Pg. 1A,,1642 words,,,"June 11, 2010",ENGLISH,,,,,,NEWSPAPER,"Copyright 2010 Gannett Company, Inc.                               All Rights Reserved"
,big,Texas,school,ten,conference,league,sport,member,change,college,football,Colorado,move,expansion,network,academics,Nebraska,program,rivalry,include,tv,deal,value,Texas_Tech,SEC,shift,think,money,add,go,significant,basketball,AAU,announce,join,revenue,realignment,million,traditional,reason,athletics,recently,coach,financial,play,commissioner,make,take,another,remain,past,need,membership,University,thursday,1990,next,major,today,largely,among,consider,end,create,following,line,number,director,launch,2009,potential,negotiate,old,still,scenario,really,president,seem,university,clout,idea,cover,report,official,state,slive,accept,feel,home,leave,type,meet,fan,expand,new,national,man,population,top
,32,24,19,19,12,11,8,8,8,7,7,7,6,6,6,6,6,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"November 16, 2010 Tuesday",43 of 169 DOCUMENTS,USA TODAY,"With poor fixes in Congress, gridlock might be best thing",,EDIT; Pg. 10A,,631 words,,,"November 16, 2010",ENGLISH,,,"GRAPHIC, B/W",,EDITORIAL,NEWSPAPER,"Copyright 2010 Gannett Company, Inc.                               All Rights Reserved"
,gridlock,problem,government,today,leadership,tax,change,immigration,president,need,cut,maybe,know,pay,likely,thing,solve,lack,view,reform,agree,less,leader,interest,many,issue,inaction,debate,far,wrong,spend,climate,new,propose,worse,bad,partisan,cause,oppose,make,elect,demand,former,must,bill,proposal,much,destroy,finances,plan,may,rebound,USA,Obama,Michael_Tanner,hope,almost,mention,sadly,seem,instead,right,try,another,word,thursday,item,list,result,fail,policy,track,record,success,domestic,usually,create,every,claim,next,example,treatment,disease,deny,global,warming,exist,think,fix,work,great,economic,harm,easy,congress,move,forward,aspect,everyone
,7,6,5,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 23, 2010 Friday",47 of 169 DOCUMENTS,USA TODAY,"For Copeland, going 'Into the Cold' is a way of life; Film follows North Pole trip; Greenland, Antarctica are next",Brian Truitt,LIFE; Pg. 8D,,625 words,,,"April 23, 2010",ENGLISH,,,"PHOTO, Color, Sebastian Copeland",,,NEWSPAPER,"Copyright 2010 Gannett Company, Inc.                               All Rights Reserved"
,Copeland,cold,trip,crossing,journey,film,North_Pole,last,new,movie,time,equipment,full,camera,may,environmental,think,gear,take,commemorate,centennial,condition,need,nothing,enough,ice,helicopter,everything,isolation,environment,keep,sweat,battery,week,bring,place,least,Antarctica,venture,temperature,rough,terrain,seem,amazing,nutty,photographer,advocate,another,office,really,normal,guy,necessarily,extraordinary,fellow,adventurer,200,pound,tow,chronicle,screen,several,start,saturday,acclaim,2007,book,feature,photograph,undertake,1909,show,train,meticulously,calculate,much,food,yet,prepare,person,moment,drop,million,square,mile,freeze,silence,combination,hit,heavy,load,complete,realization,put,arm,air,ask,timeout,explain
,10,5,5,4,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 5, 2010 Friday",49 of 169 DOCUMENTS,USA TODAY,"Holidays look less Grinchy this year; Fun, extravagance go back on shopping list",Jayne O'Donnell,MONEY; Pg. 1B,,1542 words,,,"November 5, 2010",ENGLISH,,,"PHOTO, Color, Rebecca Cook PHOTO, B/W, Rebecca Cook",,COVER STORY,NEWSPAPER,"Copyright 2010 Gannett Company, Inc.                               All Rights Reserved"
,sale,retailer,holiday,spend,consumer,last,still,people,gift,jewelry,season,increase,store,plan,survey,start,predict,company,promotion,sell,rather,economy,luxury,give,new,bit,percentage,2009,keep,expect,retail,household,look,Tapper,Nielsen,2006,uptick,shopping,discretionary,buy,report,overall,growth,cut,consulting,firm,september,*,less,agree,lot,diamond,merchandise,shopper,change,deal,price,many,National_Retail_Federation,high_end,Hoffman,Deloitte,may,suggest,think,poll,though,late,unchanged,improve,rebound,decrease,several,purchase,example,ask,normal,spokeswoman,trend,october,clothing,whose,past,include,track,2011,despite,number,offer,week,much,practice,make,drive,almost,economic,open,believe,global
,17,16,14,14,12,10,10,9,8,8,8,8,8,7,6,6,6,6,6,6,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"July 21, 2010 Wednesday",54 of 169 DOCUMENTS,USA TODAY,"Wonders, perils in Bahamas' 'blue holes'; Hidden pockets are laboratories of strange creatures and weird science",Dan Vergano,LIFE; Pg. 9D,,613 words,,,"July 21, 2010",ENGLISH,,,"PHOTO, B/W, Photos by Wes C. Skiles, National Geographic PHOTO, B/W",,SCIENCE,NEWSPAPER,"Copyright 2010 Gannett Company, Inc.                               All Rights Reserved"
,cave,hole,expedition,island,diving,scientific,Broad,bahamas,diver,blue,contain,*,region,make,world,fossil,team,lead,hidden,inland,coral,reef,limestone,submerge,look,swim,freshwater,really,provide,without,worldwide,live,possible,speleothem,past,sea,level,climate,discipline,result,work,number,investigation,beach,Caribbean,Bahamas,lie,veil,blind,creature,riddle,next,issue,magazine,international,anthropologist,reveal,mystery,vacationer,view,pay,merely,small,slice,time,effort,uncover,secret,realm,plumb,researcher,least,three,decade,mile,sparkling,boast,dozen,link,ocean,five,sport,cap,cover,heavier,saltwater,layer,sometimes,fill,cloud,poisonous,hydrogen,sulfide,release,microbe,act,preserve,whatever,fall
,14,7,5,5,5,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 17, 2010 Wednesday",56 of 169 DOCUMENTS,USA TODAY,Drought reversal is 'extraordinary'; More than 92% of nation is quenched,Doyle Rice,NEWS; Pg. 3A,,475 words,,,"February 17, 2010",ENGLISH,,,"GRAPHIC, B/W, Julie Snider, USA TODAY, Source: U.S. Drought Monitor (Map)",,,NEWSPAPER,"Copyright 2010 Gannett Company, Inc.                               All Rights Reserved"
,dring,water,federal,spring,rain,country,august,2007,accord,number,*,system,wet,situation,Southeast,Le_Comte,make,state,scientist,meteorologist,prediction,center,worst,run,relief,the,winter,storm,snow,include,start,weather,subnormal,reservoir,ok,stay,Climate,USA,Georgia,Florida,Southern_California,Miskus,California,difference,nationwide,farmer,community,entire,fight,conserve,reverse,dramatic,turnaround,begin,keep,record,nation,best,show,1999,lack,extraordinary,recent,almost,involved,currently,part,extreme,small,fraction,gigantic,portion,century,sparking,war,among,horrid,n.c.,whose,dry,height,home,rely,entirely,underground,source,rampant,clean,fresh,less,half,dozen,occasion,late,1800,sparse,massive,snowfall,total
,14,5,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 25, 2010 Friday",58 of 169 DOCUMENTS,USA TODAY,Northern Wis. region suffering big dry spell; Drought hasn't hit area for this long since the 1950s,Judy Keen,NEWS; Pg. 3A,,713 words,,,"June 25, 2010",ENGLISH,,,"GRAPHIC, B/W, Julie Snider, USA TODAY, Source: U.S. Drought Monitor (Map) PHOTOS, B/W, Photos by Butch McCartney for USA TODAYPhotos by Butch McCartney for USA TODAY (3)",,,NEWSPAPER,"Copyright 2010 Gannett Company, Inc.                               All Rights Reserved"
,dring,lake,change,*,population,fishing,take,water,northern,business,go,have,fish,area,region,level,food,people,DNR,wildlife,forest,bait,own,walleye,spawn,spot,angler,big,wingo,probably,part,state,dry,weather,make,cause,really,hard,summer,effect,reservoir,beach,three,boat,drop,main,time,decline,store,lower,growth,affect,number,still,Rainbow_Flowage,grip,wisconsin,eight,drying,distress,tackle,gift,shop,town,"1,200",stock,less,live,plastic,lure,fewer,bass,finicky,reduce,work,guide,alter,usual,hot,pursuit,musky,perch,different,forever,adjacent,continental,usa,experience,extreme,severe,1930,longest,period,1950,national,service,meteorologist,inch,precipitation
,10,8,8,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 28, 2010 Thursday",62 of 169 DOCUMENTS,USA TODAY,Outside political funding picks up; Total spending could hit $4B by Tuesday,Fredreka Schouten,NEWS; Pg. 4A,,686 words,,,"October 28, 2010",ENGLISH,,,"GRAPHIC, B/W, Julie Snider, USA TODAY, Source: Center for Responsive Politics (Bar graph)",,,NEWSPAPER,"Copyright 2010 Gannett Company, Inc.                               All Rights Reserved"
,spend,million,group,advertising,House,candidate,political,party,election,billion,Congress,race,make,outside,president,center,2006,voter,Titus,Senate,republican,represent,nearly,pump,contest,money,negative,attack,record,amount,campaign,midterm,determine,whether,hold,outcome,hit,accord,rate,seat,show,conservative,liberal,organization,include,state,legislation,go,Democratic,Nevada,special_interest,non_partisan,Responsive_Politics,Heck,rep.,dina,titus,outraise,challenger,physician,collect,battle,las,vega,still,fall,well,short,6.8,attract,much,flow,hard,break,outspent,interview,mother,add,can,stand,watch,television,dismay,ad,daily,barrage,congressional,district,highly,competitive,around,country,underscore,pour,democrat,retain,legislative,priority,total
,12,9,9,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 3, 2010 Wednesday",63 of 169 DOCUMENTS,USA TODAY,"Taxes, spending and budgets dominate issues on ballots",Dennis Cauchon,NEWS; Pg. 9A,,551 words,,,"November 3, 2010",ENGLISH,,,"PHOTO, B/W, Elaine Thompson, AP",,,NEWSPAPER,"Copyright 2010 Gannett Company, Inc.                               All Rights Reserved"
,tax,state,*,voter,ballot,consider,measure,decide,California,sale,issue,property,whether,tuesday,cut,increase,may,proposition,governor,income,legislator,Washington,South_Carolina,slash,key,government,large,cap,proposal,billion,save,start,approve,marijuana,use,election,business,spend,limit,union,oppose,health,care,budget,change,legislature,time,per,Massachusetts,Indiana,Colorado,Arizona,Oklahoma,half,several,test,nation,mood,limiting,join,massachusett,important,dramatically,dramatic,6.25,reduce,revenue,2.5,related,eliminate,alcohol,consumer,110,million,supporter,hope,success,revolt,similar,happen,1978,social,box,unlike,recent,gay,marriage,abortion,frequent,topic,big,exception,legalize,grow,possess,personal,raise,1.4,estimate
,14,11,7,6,6,5,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 18, 2010 Monday",64 of 169 DOCUMENTS,USA TODAY,Calif. readies for onslaught of storms; Areas vulnerable to mudslides warned to be set to evacuate,William M. Welch and Doyle Rice,NEWS; Pg. 3A,,429 words,,,"January 18, 2010",ENGLISH,,,"PHOTO, B/W, Reed Saxon, AP",,,NEWSPAPER,"Copyright 2010 Gannett Company, Inc.                               All Rights Reserved"
,rain,snow,week,forecast,heavy,area,storm,weather,mountain,home,winter,resident,foothill,possible,series,strong,wind,high,surf,service,meteorologist,around,vulnerable,leave,slide,county,barrier,department,water,foot,predict,part,accord,report,across,southern,el,nioo,West_Coast,Los_Angeles,Southern_California,angeles,canyon,brace,mudslide,powerful,begin,pound,today,national,receive,inch,sheriff,deputy,go,sunday,warning,safer,ground,start,mandatory,evacuation,issue,lt,angela,shepherd,strip,vegetation,susceptible,mud,ash,rock,debris,massive,wildfire,last,road,forest,close,traffic,put,place,sandbag,concrete,try,divert,away,spokesman,advise,500,homeowner,erect,protect,certainly,hundred,residence,big,swell,accompany
,5,5,5,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 29, 2010 Thursday",66 of 169 DOCUMENTS,USA TODAY,Don't mix politics with climate bill,,NEWS; Pg. 10A,,342 words,,,"April 29, 2010",ENGLISH,,,,,,NEWSPAPER,"Copyright 2010 Gannett Company, Inc.                               All Rights Reserved"
,lesson,must,protect,vaccine,climate,immigration,conversation,child,alarm,family,planet,we,danger,matter,flu,learn,government,legal,liability,system,manufacturer,alar,read,blog,post,dead,bill,suffer,setback,imagine,convincingly,campaigning,greater,personal,freedom,smoldering,electrical,wire,trigger,fire,grab,cellphone,corral,outside,dial,911,though,relevant,wait,usatoday.com,sunday,witness,flash,neon,sign,warning,ahead,adrenaline,hit,instinctively,drive,safety,focus,collective,attention,really,suddenly,distract,change,serve,country,well,ensure,energy,reform,receive,top,billing,sounding,ear,ring,stacy,clark,dallas,survey,attempt,respond,omit,key,later,five,swine,outbreak,editorial,monday,place,egg,basket,centralize
,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 6, 2010 Tuesday",67 of 169 DOCUMENTS,USA TODAY,Obama administration slow in responding to oil spill,,NEWS; Pg. 6A,,492 words,,,"July 6, 2010",ENGLISH,,,"PHOTO, B/W, Judi Bottoni, AP",,,NEWSPAPER,"Copyright 2010 Gannett Company, Inc.                               All Rights Reserved"
,spill,oil,take,president,we,administration,bp,country,bill,instead,Obama,accept,help,news,willing,long,government,crisis,try,climate,stop,leak,coast,federal,obama,order,disaster,effort,critic,unfair,attempt,Barton,GOBP,BP,box,accompany,today,article,add,report,finally,international,organization,deal,world,pitch,wednesday,entity,ready,appear,negligence,part,allow,process,believe,media,responsibility,task,find,assistance,illustrate,clearly,americans,distrustful,bureaucracy,slow,respond,though,official,continually,convince,otherwise,example,proclaim,top,press,absolutely,essential,truth,n.j,answer,clean,focus,keep,away,shore,push,change,pass,attention,real,problem,business,usual,rep,joe,accuse,shakedown,create
