PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
,foundation,report,Stephanopoulos,donation,ABC_News,latest,conservative,media,critic,stand,make,donor,viewer,Politico,donate,2014,disclose,run,take,extra,step,we,recent,news,statement,apologize,behind,show,charitable,prevention,think,contribution,story,tell,debate,february,end,go,effort,interview,author,book,Clinton,Hillary_Clinton,chief,anchor,fire,"75,000",fodder,revelation,undermine,cover,lead,candidate,serve,president,strategist,spokesman,launch,successful,journalism,career,organization,found,separate,occasion,2012,thursday,excess,"50,000",publicly,available,information,name,list,page,website,newsman,never,presidency,notify,admit,honest,mistake,omission,host,sunday,political,talk,week,support,work,global,deforestation,matter,public,record,however,hindsight
,9,8,6,5,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 9, 2015 Tuesday",221 of 272 DOCUMENTS,USA TODAY,"James, Cavs fine with ugly wins; Warriors must rediscover long-distance stroke to rebound","Jarrett Bell, jbell@usatoday.com, USA TODAY Sports",SPORTS; Pg. 3C,,695 words,,,"June 10, 2015",ENGLISH,,,"photo Bob Donnan, USA TODAY Sports",,,NEWSPAPER,"Copyright 2015 Gannett Company, Inc.                               All Rights Reserved"
,game,Curry,series,sunday,style,we,warrior,find,season,ugly,win,take,shot,know,still,play,tuesday,bit,rain,better,might,doubt,head,grit,overtime,cute,basketball,final,many,best,hope,three,happen,possession,point,ball,whole,curry,confidence,go,way,playoff,Cavs,Cleveland,three_pointers,sure,inside,climate,backdrop,outdoors,strike,venue,shift,overcast,monday,thick,gray,sky,packing,light,sunny,california,forecast,rather,fitting,wrest,control,seem,lot,possible,embrace,formula,hump,subplot,add,spice,compelling,matchup,ultimately,determine,contrast,cavalier,board,notion,squad,fuel,look,sexy,right,everything,tough,shoot,field,testament,gritty,rest,matter,identity,force
,14,7,4,4,4,4,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 18, 2015 Thursday",225 of 272 DOCUMENTS,USA TODAY,WHAT'S HAPPENING ONLINE,,NEWS; Pg. 3A,,101 words,,,"June 18, 2015",ENGLISH,,,"photo Maurizio Brambatti, epa",,,NEWSPAPER,"Copyright 2015 Gannett Company, Inc.                               All Rights Reserved"
,report,story,photo,go,today,issue,climate,change,parade,honor,blackhawk,court,case,loss,next,maim,n.c.,shark,attack,victim,bite,arm,jr.,engage,longtime,girlfriend,stuff,open,tee,tough,course,near,clear,food,avoid,travel,overseas,huge,video,game,expo,find,item,onlinetoday.usatoday.com,MUST_READS,Pope_Francis,Chicago,Dennis_Hastert,hush_money,MOST_CLICKED,LeBron_James,Cavs,Dale_Earnhardt,COOL,U.S.,Seattle_Steer
,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 11, 2015 Tuesday",232 of 272 DOCUMENTS,USA TODAY,Roker's 'Storm' has many layers; NBC icon digs into the science behind the catastrophe,"Matt Damsker, Special for USA TODAY",LIFE; Pg. 1D,,358 words,,,"August 11, 2015",ENGLISH,,,photo Eric Ray Davidson,,BOOK REVIEW,NEWSPAPER,"Copyright 2015 Gannett Company, Inc.                               All Rights Reserved"
,storm,weather,Galveston,history,hurricane,drama,natural,sept,meteorology,meteorologist,roker,story,u.,bureau,warning,Century,Cline,***,morrow,297,pp,human,complex,level,1900,tell,retold,strike,dawn,modern,remain,deadliest,disaster,kill,"8,000",people,cautionary,tragedy,haunt,we,ever,climate,change,extreme,imperil,future,popular,nbc,al,hype,relevance,misfortune,much,deliver,fascinating,multifacete,research,life,several,survivor,impart,immediacy,portray,grocer,police,chief,desperate,hour,none,travail,resonate,strongly,resident,weatherman,ambitious,member,fledgle,catch,literal,political,crosswind,core,historical,lead,craftier,storyteller,focus,effectively,1999,book,admirably,acknowledgement,approach,seek,build,bestseller,provide,wealth,cultural
,6,4,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 12, 2015 Wednesday",233 of 272 DOCUMENTS,USA TODAY,Rubio's sweet but wasted bravery; Fighting to kill jobs won't win election,James Bovard,NEWS; Pg. 7A,,470 words,,,"August 12, 2015",ENGLISH,,,,,,NEWSPAPER,"Copyright 2015 Gannett Company, Inc.                               All Rights Reserved"
,sugar,program,production,offer,price,consumer,Congress,grow,welfare,political,federal,import,high,tariff,cost,benefit,farmer,grower,half,estimate,almost,food,manufacturer,economic,fertilizer,everglade,politician,environmental,industry,million,America,U.S.,prosperous,single,beet,cane,anywhere,bankrolling,make,little,sense,bananas,sen,marco,rubio,walk,koch,conclave,earlier,defend,home,state,boondoggle,front,powerful,enemy,corporate,become,bravest,man,politics,rarely,daring,worthless,cause,support,quota,combine,force,pay,billion,higher,accord,policy,long,sordid,history,1816,impose,part,prop,value,slave,1890,abolish,spur,help,drag,war,perhaps,least,efficient,vastly,despite,subsidy,number,fall,past,three
,15,7,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 31, 2015 Monday",237 of 272 DOCUMENTS,USA TODAY,May be perfect time for Murdoch to sue over content,Michael Wolff,MONEY; Pg. 1B,,984 words,,,"August 31, 2015",ENGLISH,,,photo Pool,,,NEWSPAPER,"Copyright 2015 Gannett Company, Inc.                               All Rights Reserved"
,Murdoch,newspaper,Google,industry,pay,digital,world,content,business,copyright,moment,Facebook,without,platform,seem,technology,share,index,people,might,may,union,leave,make,billion,British,guise,protect,search,traffic,last,company,label,google,lawsuit,tech,media,idea,except,take,action,little,lose,time,news,yet,entrench,many,part,turn,better,power,creator,owner,protection,holder,new,music,fee,much,publish,willingly,property,steal,everybody,nobody,early,commercial,internet,express,frustration,anger,disingenuousness,allow,freedom,innovation,widespread,appropriation,otherwise,practical,effect,threaten,block,crawler,later,put,solid,wall,impede,raising,meaningful,subscription,income,recent,speech,note,column,ceo,harshly
,10,7,7,6,6,6,6,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 17, 2015 Thursday",241 of 272 DOCUMENTS,USA TODAY,Survey says most people see cars as a way of life,"Kim Hjelmgaard, @khjelmgaard, USA TODAY",MONEY; Pg. 5B,,493 words,,,"September 17, 2015",ENGLISH,,,"photo Kevork Djansezian, AP",,,NEWSPAPER,"Copyright 2015 Gannett Company, Inc.                               All Rights Reserved"
,car,industry,people,emission,OICA,world,live,life,without,accord,study,wednesday,globally,imagine,find,conclude,organization,country,positive,consumer,president,high,largely,global,technology,reduce,carbon,different,major,vehicle,threat,grow,number,health,ACEA,COP21,majority,around,release,finding,group,defend,various,interest,reveal,harder,challenging,access,four,wheel,survey,"14,000",conclusion,quite,clear,object,desire,provide,many,important,advantage,compare,transport,mode,view,comfortable,practical,fast,safe,statement,score,extremely,consider,trust,innovative,generally,believe,job,invest,support,renewable,energy,source,lot,effort,company,bring,problem,ceo,carlo,ghosn,tell,news,reporter,result,conference,climate,change,take
,14,7,5,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 24, 2015 Thursday",244 of 272 DOCUMENTS,USA TODAY,"Boehner long had pope on wish list; A former altar boy, speaker's 20-year prayer answered","Deirdre Shesgreen, USA TODAY",NEWS; Pg. 5A,,634 words,,,"September 24, 2015",ENGLISH,,,"graphic Saul Loeb, AFP/Getty Images",,,NEWSPAPER,"Copyright 2015 Gannett Company, Inc.                               All Rights Reserved"
,pope,Boehner,address,issue,talk,world,leader,politics,make,go,people,Congress,speaker,important,dream,prepare,papal,boy,read,picture,president,every,faith,excited,invitation,nearly,political,imagine,put,republican,afflict,awaken,meeting,head,Pope_Francis,Catholic,Washington,West_Lawn,congressman,organized,petition,urging,invite,joint,session,write,1994,ambassador,peace,catalyst,fall,figure,request,next,decline,appeal,later,house,delighting,true,arrival,little,big,stuff,interview,monday,childhood,home,recall,pray,well,archbishop,lawmaker,jazz,seat,historic,thursday,extend,march,2014,pontiff,choose,succeed,xvi,receive,call,line,tell,boehner,staff,spend,seven,visit,open,faithful,fan,watch,live,jumbotron
,16,10,5,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 24, 2015 Thursday",246 of 272 DOCUMENTS,USA TODAY,"THE RELIGION OF FREE ENTERPRISE; Despite what pope says, capitalism is the answer, not the problem",Thomas J. Donohue,NEWS; Pg. 13A,,764 words,,,"September 24, 2015",ENGLISH,,,"photo Drew Angerer, epa",,,NEWSPAPER,"Copyright 2015 Gannett Company, Inc.                               All Rights Reserved"
,business,free,enterprise,system,wealth,economic,create,opportunity,challenge,growth,principle,world,help,important,best,improve,role,play,society,solve,problem,job,economy,make,provide,trillion,company,community,environment,U.S.,life,leave,positive,greatest,people,work,social,safety,net,greater,market,reduction,poverty,wage,grow,government,million,human,benefit,address,spend,health,capitalism,perfect,charitable,donation,technology,environmental,solution,believe,pie,part,China,India,arrive,likely,hear,raise,question,expand,quality,americans,especially,behind,citizen,engage,debate,remember,solving,put,bridg,gap,maintain,robust,depend,thing,can,without,fact,broadly,share,ever,devise,evidence,indisputable,build,envy,move,toward
,12,12,10,7,6,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 25, 2015 Friday",247 of 272 DOCUMENTS,USA TODAY,'Christ was not a divine ecologist',Steve Skojec,NEWS; Pg. 11A,,357 words,,,"September 25, 2015",ENGLISH,,,,,OPINION,NEWSPAPER,"Copyright 2015 Gannett Company, Inc.                               All Rights Reserved"
,church,poor,concern,Francis,however,spiritual,eternal,need,world,pope,time,found,god,Christ,early,papacy,admonish,humanitarian,agency,ngo,organization,send,bring,gospel,thursday,congressional,address,emphasize,priority,climate,change,economic,justice,marginalization,little,emphasis,place,deep,moral,crisis,threaten,salvation,subsequent,authentic,conversion,diversion,traditional,focus,critical,acclaim,secular,raise,expectation,last,force,catholicism,core,faith,belief,doctrine,upon,divinely,reveal,truth,unchangeable,yet,auspices,pastoral,mercy,hear,commonly,express,anticipation,reverse,teach,pure,wishful,think,indulge,many,prelate,seem,stewardship,creation,responsibility,give,eve,care,destitute,important,tenet,public,ministry,divine,ecologist,social,worker,feed,principal
,5,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 2, 2015 Friday",252 of 272 DOCUMENTS,USA TODAY,5 ways that Tesla's Model X innovates,Chris Woodyard,MONEY; Pg. 6B,,404 words,,,"October 2, 2015",ENGLISH,,,"photo David Paul Morris, Bloomberg",,,NEWSPAPER,"Copyright 2015 Gannett Company, Inc.                               All Rights Reserved"
,door,Model,new,car,seat,Tesla,design,suv,couple,tesla,go,idea,open,take,lift,close,another,vehicle,musk,operate,seconds,performance,match,electric,medical,grade,air,sit,make,tow,trailer,heavy,automaker,nifty,feature,call,designer,basically,crazy,try,pour,crossover,five,top,innovative,falcon,wing,lamborghinis,upward,novelty,painfully,lambos,world,level,power,require,sense,contact,ceo,elon,sensor,aluminum,skin,innovation,cover,step,rain,longer,common,worth,wait,blistering,yes,other,build,almost,oxymoron,consider,bulky,aim,haul,preschooler,rip,pavement,yet,blow,drag,strip,zero,mph,little,3.2,quickness,boast,drivetrain,whisper,quiet,250,mile
,6,5,4,4,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 26, 2015 Monday",254 of 272 DOCUMENTS,USA TODAY,"Millennials worry most about inequality, survey shows","Gregg Zoroya, USA TODAY",NEWS; Pg. 1A,,300 words,,,"October 26, 2015",ENGLISH,,,,,,NEWSPAPER,"Copyright 2015 Gannett Company, Inc.                               All Rights Reserved"
,world,economic,survey,top,follow,forum,Millennials,millennial,social,government,media,musk,release,age,country,three,society,career,third,Global_Shapers_Community,United_Arab_Emirates,around,worry,equality,remain,skeptical,count,ceo,elon,heroes,accord,sunday,"1,000",young,people,125,active,average,result,beginning,conference,capital,show,goal,select,job,make,difference,city,look,opportunity,learn,advancement,annual,reveal,care,reflection,head,ask,issue,face,name,inequality,climate,change,environmental,preservation,education,national,neither,fair,honest,view,distrust,religious,leader,armed,force,admire,figure,among,late,billionaire,inventor,engineer,creator,finding,include,laptop,primary,mean,navigate,internet,smartphone,tablet,location,work,emerge,market
,4,4,4,4,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
