PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"January 31, 2002, Thursday",5 of 141 DOCUMENTS,USA TODAY,Oscillating rhythm's got weather on the go,Jack Williams,LIFE; Pg. 9D,,469 words,,,"January 31, 2002",ENGLISH,,,,,,,"Copyright 2002 Gannett Company, Inc."
,air,pattern,change,stream,week,east,affect,phase,weather,winter,wave,thunderstorm,high,path,jet,pressure,Higgins,forecaster,next,warming,cold,forecast,much,season,particular,call,oscillation,early,huge,stretch,around,slowly,shower,rain,january,low,Weather_Service,Pacific,USA,look,far,time,western,usa,shove,aside,record,warmth,base,grow,ability,predict,understand,faraway,principal,climate,scientist,prediction,center,md,flip,back,december,bring,real,taste,among,thing,make,clearer,warmer,soon,olympic,start,feb,higgin,confident,shift,computer,model,really,situation,do,well,include,transition,sudden,slow,cool,global,closely,watch,detect,1970,atmospheric,least,halfway,globe,side
"April 2, 2002, Tuesday",27 of 141 DOCUMENTS,USA TODAY,AMC explores era that sent Hollywood reeling,Dennis Hunt; Special for USA TODAY,LIFE; Pg. 3D,,511 words,,,"April 02, 2002",ENGLISH,,,"PHOTO, B/W, AMC; Easy Rider: Peter Fonda, foreground, and Dennis Hopper went in search of America in the 1969 classic.",,,,"Copyright 2002 Gannett Company, Inc."
,Hollywood,change,movie,studio,director,film,system,happen,make,revolution,explain,hollywood,freedom,Easy_Rider,Hopper,1960,upheaval,decade,drug,set,stage,new,cause,country,world,movement,charge,need,AMC,Reel_Radicals,volatile,nation,rock,dramatic,social,cultural,political,climate,explosive,exactly,stand,pat,documentary,reel,radical,air,tonight,et,pt,tumultuous,turn,upside,tradition,trample,instead,tiptoe,around,topic,sex,racism,passion,start,tackle,head,swear,become,commonplace,crumble,reign,beginning,still,crank,sanitize,sidestepp,controversy,late,taboo,topple,young,1967,vogue,try,term,theme,influence,zero,force,assign,project,half,ago,use,clip,trailer,narrate,dissect,aid,commentary,icon
,8,6,5,5,5,4,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 11, 2002, Thursday",28 of 141 DOCUMENTS,USA TODAY,A climate of unacceptance,Mike Dodd,SPORTS; Pg. 3C,,1791 words,,,"April 11, 2002",ENGLISH,,,"GRAPHIC, b/w, Marcy E. Mullins, USA TODAY, Sources:National Hockey League, USA TODAY research(Map); EAR PHOTO, color, Bob Jordan, AP; PHOTO, b/w, James A. Finley, AP; PHOTO, b/w, Gregory Smith, AP; Carolina goaltender Arturs Irbe.<>Birds of prey: Atlanta Thrashers goalie Pasi Nurminen, left, and Todd Reirden, attempt to block a shot by the Blues' Keith Tkachuk. <>Weathering well: Nikolai Khabibulin has been the bright spot for the Lightning, but the team has lost money.",,,,"Copyright 2002 Gannett Company, Inc."
,season,team,NHL,game,revenue,hockey,last,lightning,franchise,market,million,attendance,seven,draw,go,Dallas,Bettman,fan,three,play,half,eight,playoff,sunshine,success,national,president,new,lose,record,nhl,time,make,point,league,sport,club,ownership,problem,rating,player,USA,Ganis,ice,home,third,conference,climate,sun,today,five,stanley,cup,final,bottom,average,need,add,believe,pretty,figure,money,owner,put,arena,round,capacity,win,must,competitive,payroll,right,Forbes,Stars,Florida,set,jersey,principal,competition,tradition,deep,regular,end,eighth,value,accord,issue,initiative,part,strategy,think,may,successful,good,observer,still,probably,firm,well
,20,20,14,13,10,9,7,7,7,7,7,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"December 26, 2002, Thursday",30 of 141 DOCUMENTS,USA TODAY,New Congress is a new start for Bush agenda,Judy Keen,NEWS; Pg. 9A,,810 words,WASHINGTON,,"December 26, 2002",ENGLISH,,,"PHOTO, B/W, Eric Draper, White House via AP; A brand new year: President Bush makes calls to members of the armed forces from Camp David on Christmas Eve. The president is not expected to make a push for Social Security reforms early in 2003.",,,,"Copyright 2002 Gannett Company, Inc."
,Bush,bush,tax,priority,business,change,security,official,plan,reform,make,may,White_House,agenda,propose,limit,lawsuit,award,case,drilling,administration,proposal,passage,republican,election,still,vote,investment,senior,cut,domestic,allow,state,Social,Congress,Senate,move,quickly,next,early,medical,malpractice,seek,new,break,oil,take,accomplish,control,power,despite,2003,individual,issue,aide,majority,leader,concern,consider,bill,work,court,damage,insurance,company,health,benefit,do,2010,credit,war,class_action,Democrats,president,advance,friendly,revive,expand,exploration,include,wilderness,objective,office,reveal,time,specific,return,january,better,chance,congress,chamber,nov,democrat,retain,enough,delay,thwart,many
,11,7,7,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 18, 2002, Monday",36 of 141 DOCUMENTS,USA TODAY,Bush to discuss reforms in Japan,Laurence McQuillan,NEWS; Pg. 1A,,485 words,TOKYO,,"February 19, 2002",ENGLISH,,,,,,,"Copyright 2002 Gannett Company, Inc."
,Japan,Bush,terrorism,Koizumi,prime,minister,support,world,president,war,reform,fight,go,last,economy,United_States,country,recession,thank,believe,talk,economic,conference,question,name,axis,evil,have,draw,clean,bank,treaty,hand,U.S.,early,today,confident,junichiro,koizumi,lead,alliance,bedrock,peace,prosperity,meeting,endure,partnership,benefit,county,arrive,sunday,weeklong,tour,include,focus,woe,need,overcome,news,morning,refuse,soften,stand,leader,behind,unique,opportunity,stamp,help,explain,nation,hurt,prevent,expression,reflect,firm,resolve,people,short,understand,tough,shall,continue,send,navy,ship,hold,international,aid,afghanistan,begin,visit,emperor,worship,divine,lady,watch,exhibition,archery
,11,7,5,5,4,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 22, 2002, Monday",37 of 141 DOCUMENTS,USA TODAY,"Bush, Gore offer 2 takes on Earth Day",Jill Lawrence,NEWS; Pg. 9A,,633 words,WASHINGTON,,"April 22, 2002",ENGLISH,,,"PHOTO, b/w, Lee Celano, AP; For Earth Day: From left, Ava, John and Jessie Tarnoff plant a tree Saturday along the Los Angeles River in L.A.'s Glassell Park neighborhood.",,,,"Copyright 2002 Gannett Company, Inc."
,Bush,plan,emission,require,Gore,reduce,speech,car,company,support,today,environmental,policy,administration,White_House,president,head,upstate,stewardship,rival,2004,take,major,oil,work,clear,sky,voluntary,publish,among,treaty,global,warming,fuel,pollution,withdraw,government,lose,license,new,clean,dioxide,reduction,job,week,energy,democrat,Senate,Sierra_Club,Watson,duel,deja,vur,feel,mark,discuss,2000,perhaps,aim,trip,four,setback,vote,kill,drill,stage,protest,appearance,vice,chat,volunteer,improve,hike,trail,near,give,talk,conservation,aide,expect,promote,initiative,pollute,environment,signature,issue,1992,earth,criticize,publicly,sunday,piece,preview,thing,score,reject,nation,believe,responsible
,10,7,6,6,6,5,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 30, 2002, Thursday",38 of 141 DOCUMENTS,USA TODAY,Respite from hurricane may soon blow over,Deborah Sharp,NEWS; Pg. 3A,,1221 words,MIAMI,,"May 30, 2002",ENGLISH,,,"PHOTO, B/W, Rob O'Neal, The Key West Citizen, via AP; GRAPHIC, B/W, Julie Snider, USA TODAY, Sources: National Oceanic and Atmospheric Administration; world Meterological Organization; research by Chris Capella and Chad Palmer, USA TODAY (LINE GRAPH); PHOTO, B/W, Scott Eslinger, Beaumont (Texas) Enterprise, via AP; Worst storm: Larry and Sandra Donald of Beaumont, Texas, wade through their flooded driveway in the aftermath of Tropical Storm Allison in June. Allison was the costliest tropical storm ever to strike the USA. It caused 41 deaths but never reached hurricane status.<>Breaking the waves: A Key West, Fla., resident tests the water coming ashore Nov. 4 as winds from Hurricane Michelle brush the area. The late-season storm packed 135 mph winds and forced the evacuation of the Florida Keys, but it did not make a direct hit on the U.S. mainland.",,,,"Copyright 2002 Gannett Company, Inc."
,hurricane,storm,season,name,wind,tropical,six,mph,hit,average,become,U.S.,without,forecaster,expect,decade,bomb,Atlantic,atlantic,past,form,last,three,seven,coastal,cause,home,power,food,water,sustain,start,saturday,mainland,active,term,number,yet,pass,can,lucky,go,director,1999,period,expert,activity,nine,eight,major,forecast,call,include,temperature,less,ocean,every,tribe,million,people,many,resident,biggest,myth,surge,flooding,rain,center,death,claim,life,make,nuclear,notion,strength,produce,supplies,party,point,take,comfort,fill,drink,coffee,begin,2002,reach,National_Oceanic,Atmospheric_Administration,Florida,Hurricanes,overdue,several,sea,coastline,uncommon,streak,good,fortune
,37,26,8,8,8,7,7,6,5,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1
"November 1, 2002, Friday",43 of 141 DOCUMENTS,USA TODAY,New 4Runner: Unattractive but fabulous to drive,James R. Healey,LIFE; Pg. 5D,,1476 words,"ENGLEWOOD CLIFFS, N.J.",,"November 01, 2002",ENGLISH,,,"PHOTO, B/W",,,,"Copyright 2002 Gannett Company, Inc."
,wheel,control,Toyota,runner,power,steering,model,drive,truck,engine,go,seat,vehicle,light,back,rear,front,traction,system,test,cladding,sport,need,feel,brake,corner,mirror,midsize,way,outside,run,low,enough,inside,home,mile,stop,rpm,available,next,standard,good,less,start,driver,sr5,4x4,rate,automatic,online,Limited,body_color,X_REAS,know,become,bigger,powerful,well,redesign,2003,view,along,prove,comfortable,responsive,without,suv,intrude,safety,slick,surface,make,include,acceleration,uphill,pavement,great,terrain,bad,right,matter,toyota,anybody,else,buy,often,board,detail,look,silly,4runner,version,though,change,fashion,force,hard,delight,current
,12,9,9,8,7,7,6,6,6,6,6,6,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"April 5, 2002, Friday",45 of 141 DOCUMENTS,USA TODAY,Civic's nice -- for a hybrid,James R. Healey,LIFE; Pg. 9D,,1218 words,,,"April 05, 2002",ENGLISH,,,"GRAPHIC, b/w, Honda(Diagram); PHOTOS, b/w, Honda(2); Exterior: Civic Hybrid is the first '03 Civic, showing minor styling changes. The car drives pretty normally and, unlike Honda's sci-fi-looking Insight, calls little attention to the fact it's a hybrid. However, its gas mileage doesn't live up to the hype. Meanwhile, Honda's 2003 gas-powered Civics are due late August. <>Battery pack: The Civic Hybrid's computer and battery pack are tucked between the rear seat and the front wall of the trunk.<>Gauges: Just two gauges, in pod at right, monitor hybrid functions. One tells how full the battery pack is, the other shows whether the electric motor's powering the car or charging the batteries",,,,"Copyright 2002 Gannett Company, Inc."
,hybrid,motor,electric,engine,car,battery,CVT,civic,gas,rate,nice,manual,Hybrid,Honda,Civic,power,fuel,test,rpm,fuel_economy,gasoline,inch,sell,keep,drive,mpg,late,version,small,mainstream,long,gauge,show,expect,peppier,vehicle,pack,system,transmission,standard,automatic,improvement,use,promise,pound,Toyota,Civic_Hybrid,big,save,begin,make,insight,prius,sedan,sale,well,plug,recharge,generator,help,put,economy,return,03,close,mile,per,gallon,cheaper,overall,style,august,control,computer,tuck,front,trunk,warranty,eight,"1,000",stop,hard,favor,town,torque,continuously,variable,fast,change,suspension,choice,cd,window,instrument,conventional,full,charge,unless,include
,15,12,10,9,9,8,8,7,6,6,6,6,6,6,6,5,5,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"May 10, 2002, Friday",48 of 141 DOCUMENTS,USA TODAY,Other states still suffer in dry spell,Traci Watson,NEWS; Pg. 3A,,346 words,,,"May 10, 2002",ENGLISH,,,,,,,"Copyright 2002 Gannett Company, Inc."
,dring,state,official,april,rain,much,dry,winter,less,northern,region,keep,section,cattle,federal,exceptional,large,extreme,water,late,record,pelt,past,prediction,center,report,thursday,spread,beach,el,nino,climate,pattern,start,appear,near,equator,bring,southern,result,suffer,worst,system,dawdling,storm,exacerbate,condition,part,wyoming,fifth,montana,rancher,sell,blowing,topsoil,fill,ditch,bury,fence,scene,reminiscent,rating,likely,occur,face,rate,forest,fire,hit,city,take,step,week,toward,add,restriction,already,place,area,experience,vegetation,park,usually,may,early,june,central,rocky,little,snow,half,normal,snowpack,108,predict,many,major,river,low
,8,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 1, 2002, Monday",50 of 141 DOCUMENTS,USA TODAY,Markets were too crazy for even experts to predict,Adam Shell,MONEY; Pg. 3B,,1639 words,NEW YORK,,"July 01, 2002",ENGLISH,,,"PHOTO, B/W; Cliggott: Predicted trouble for S&P.",,,,"Copyright 2002 Gannett Company, Inc."
,stock,investor,market,strategist,still,pick,500,profit,target,top,2002,1200,predict,price,bond,key,call,performance,scandal,bullish,loss,tip,average,hit,recovery,big,buy,Wall_Street,John_Manley,Alan_Skrainka,may,advice,gurus,corporate,confidence,forecast,rise,gain,half,time,many,economic,winner,consumer,risk,tom,1375,ed,kerschner,mcmanus,friday,change,year_end,Rich_Bernstein,Tom_Galvin,McManus,Doug_Cliggott,better,rely,add,grow,head,lose,optimistic,warn,prognosticator,help,eight,december,finish,six,play,look,make,j.p.,morgan,range,close,1570,point,turn,question,give,sharp,swing,new,fear,pro,feel,short,stretch,think,bad,correctly,retest,september,low,back,early
,24,11,11,9,9,8,7,7,7,6,6,6,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"August 26, 2002, Monday",52 of 141 DOCUMENTS,USA TODAY,Drought likely to spare U.S. economy as whole,"Martin Kasindorf, Patrick McMahon and Traci Watson",NEWS; Pg. 1A,,2962 words,,,"August 26, 2002",ENGLISH,,,"PHOTO, Color, Matt York, AP; GRAPHIC, Color, Adrienne Lewis, USA TODAY, Source: U.S. Drought Monitor (drought.uni.edu) (MAP); PHOTO, B/W, Doug Kapustin, The (Baltimore) Sun, via AP; PHOTO, B/W, Chuck Liddy, The (Raleigh, N.C.) News & Observer, via AP; PHOTO, B/W, Kevin Moloney for USA TODAY; Lake bottom: John Williams, owner of a trail rides business, shows impact of drought on Mormon Lake, Ariz.<>Reservoir near Baltimore: Maryland and surrounding states pray for rain to fill reservoirs, drench crops and allow officials to lift water bans.<>Boat high and dry: A lake north of Hillsborough, N.C., shows its cracked bottom from the drought.<>Rescuing fish: Paula Demopoulos of the Colorado Division of Wildlife helps transfer fish from a reservoir that's drying up in South Park.",COVER STORY,,,"Copyright 2002 Gannett Company, Inc."
,water,dring,state,rain,last,city,crop,county,farmer,dry,disaster,billion,rancher,restriction,loss,use,lake,well,part,agriculture,business,federal,million,area,pretty,town,cut,summer,likely,price,normal,cattle,drop,hit,official,relief,resident,wet,bring,region,declare,Colorado,Florida,average,farm,many,community,local,mountain,ban,lawn,wash,every,may,end,fire,corn,much,emergency,good,winter,level,low,run,order,three,fishing,Agriculture_Department,severe,dryness,season,food,fail,heat,arid,suffer,figure,limit,lot,worse,bad,major,car,time,memory,expect,record,predict,next,economic,1988,death,wildfire,save,forest,damage,grasshopper,1998,total
,44,32,26,19,13,12,10,10,9,9,8,8,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"January 18, 2002, Friday",56 of 141 DOCUMENTS,USA TODAY,Bush has more challenges lined up in 2002,Jill Lawrence,NEWS; Pg. 5A,,988 words,WASHINGTON,,"January 18, 2002",ENGLISH,,,"GRAPHIC, B/W, Quin Tian, USA TODAY, Sources: USA TODAY/CNN/Gallup Poll; USA TODAY research (LINE GRAPH); PHOTO, B/W, Doug Mills, AP; Trip to Ground Zero: Bush puts his arm around firefighter Bob Beckwith Sept. 14 at the site of the attack on New York's World Trade Center.",,,,"Copyright 2002 Gannett Company, Inc."
,Bush,ratings,tax,presidential,bush,democrat,plan,war,may,approval,already,campaign,issue,economic,security,help,author,political,way,party,sept,change,research,term,Senate,Congress,president,job,domestic,priority,cut,education,reform,second,capture,bin,scholar,election,nearly,guarantee,control,face,center,congressional,republican,use,fall,energy,revival,policy,budget,deficit,terrorism,seem,stock,take,employee,try,bill,go,national,several,lose,five,attack,crisis,prove,presidency,run,middle,compromise,capital,gain,economy,Supreme_Court,stem_cell,Milkis,dramatic,higher,sign,law,top,sweeping,turn,resolute,wartime,leader,possibly,act,kill,define,moment,carry,2004,impressive,performance,beyond,office,shape
,14,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 14, 2002, Thursday",57 of 141 DOCUMENTS,USA TODAY,How does 'just the two of us' go?,Marilyn Elias,LIFE; Pg. 16B,,1260 words,,,"February 14, 2002",ENGLISH,,,"PHOTO, B/W, Todd Plitt, USA TODAY; PHOTO, B/W; PHOTO, Color, Todd Plitt, USA TODAY; Just the three of us: The family had a recent get-together in New York when Evan, 25, came home for a visit. Echoes of the sounds of silence: Empty-nesters Linda Seckelson and her husband, Charlie Simpson, who live in New York, enjoy playing the flute together now that their son, Evan Simpson, has moved across the country to Portland, Ore.",,,,"Copyright 2002 Gannett Company, Inc."
,parent,child,kid,adult,new,book,marriage,couple,time,often,life,back,take,make,holiday,lot,career,must,advice,Jurich,hard,mean,many,husband,empty,around,sometimes,friend,tell,stage,daughter,away,already,keep,try,relationship,need,home,break,youth,baby,grow,shed,let,quiet,nest,17.95,become,nester,much,family,therapist,change,problem,interest,thousand,together,cord,hardest,show,usually,close,may,college,feel,loss,big,never,important,friendship,talk,topic,usher,club,can,unsolicited,example,million,mutual,major,plan,still,grandparent,David_Arp,Jossey_Bass,Arps,Sandra_Slon,Deborah,Gross,rock,refrain,echoe,boomer,bid,adieu,beloved,blink,eye,generation
,17,13,11,10,7,7,6,5,5,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1
"March 1, 2002, Friday",58 of 141 DOCUMENTS,USA TODAY,10 great places to get a greenhouse effect,Shawn Sell,LIFE; Pg. 3D,,717 words,,,"March 01, 2002",ENGLISH,,,"PHOTO, B/W, Kay Wheeler; PHOTO, B/W; Longwood Gardens: Pierre du Pont went to great lengths to impart architectural elegance to the buildings. Enid A. Haupt: The fruit of the chocolate tree (Theobroma cacao).",,,,"Copyright 2002 Gannett Company, Inc."
