PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"October 30, 2003, Thursday",1 of 119 DOCUMENTS,USA TODAY,Chilling conclusion: Arctic is indeed warmer,Jack Williams,LIFE; Pg. 10D,,817 words,,,"October 30, 2003",ENGLISH,,,"GRAPHIC, B/W, Marcy E. Mullins, USA TODAY, Source: NASA (DIAGRAM)",SCIENCE,,,"Copyright 2003 Gannett Company, Inc."
,Arctic,change,scientist,ice,temperature,part,warming,air,people,live,study,satellite,warm,native,pattern,ocean,global,water,feedback,Earth,spring,sea,current,region,increase,oscillation,sunlight,expose,play,University,Morison,around,clear,warmer,happen,earlier,fall,later,research,last,use,past,much,degree,though,report,cover,end,summer,instrument,hunter,hunt,whale,tuesday,flow,cold,thing,related,burn,fuel,climate,other,shift,wind,call,explain,still,tend,bring,understand,might,together,learn,time,NASA,Alaska,Seattle,sign,top,exactly,mean,rest,world,measurement,area,show,arrive,landing,accord,present,week,talk,data,read,entire,scatter,thermometers,do,annual
"November 5, 2003, Wednesday",11 of 119 DOCUMENTS,USA TODAY,No dino bones about it: Debate alive and kicking,Dan Vergano,LIFE; Pg. 10D,,1151 words,,,"November 05, 2003",ENGLISH,,,"GRAPHIC, B/W, Sam Ward, USA TODAY, Source: The Penguin Dictionary of Biology, NASA (CHART, ILLUSTRATION); PHOTO, B/W, Sandra J. Milburn, AP; Eruptions among scientists: One researcher says volcanoes should get more credit for their roles in the extinction of dinosaurs, such as the T. rex.",,,,"Copyright 2003 Gannett Company, Inc."
,impact,million,asteroid,extinction,scientist,researcher,crater,boundary,theory,K_T,Smit,Keller,dinosaurs,ago,climate,change,creature,volcanoe,fossil,core,mass,Chicxulub,evidence,age,samples,time,sea,analysis,cause,geologist,likely,debate,dinosaur,look,strike,another,record,species,occur,current,tidal,wave,sample,expert,microscopic,hundred,suggest,report,propose,intense,lead,layer,still,make,least,among,widespread,volcanic,activity,matter,demise,effect,global,charge,sabotage,event,appear,last,comet,think,trigger,call,mammal,april,drilling,give,leave,delay,present,meeting,finding,result,else,magazine,microfossil,site,show,"300,000",worldwide,follow,several,thousand,later,simply,symposium,team,gain,blanketing,many
,10,9,8,8,7,7,7,7,6,6,6,6,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"January 8, 2003, Wednesday",14 of 119 DOCUMENTS,USA TODAY,Winter events on thin ice,Patrick O'Driscoll,NEWS; Pg. 3A,,1001 words,,,"January 08, 2003",ENGLISH,,,"PHOTO, B/W, Lloyd B. Cunningham, (Sioux Falls, S.D.) Argus Leader; PHOTO, B/W, Laura May, Oshkosh (Wis.) Northwestern; Just enough ice for fishing: Kelly Nelson, 10, pulls up a small perch while ice fishing Dec. 28 with her father, Dave Nelson, and friend Dana Schroeder, 4, on Lake Madison in South Dakota. <>Unusually dangerous: Rescuers search Lake Poygan in Wisconsin after snowmobiler Joseph Goffard broke through the ice Sunday.",,,,"Copyright 2003 Gannett Company, Inc."
,ice,snow,winter,city,record,annual,el,nino,1990,wind,weather,high,tuesday,week,warm,air,make,wildfire,yet,forecaster,normal,old,1949,jan,temperature,cancel,carnival,water,st,Midwest,cold,contrast,outdoor,hit,degree,nearly,set,omaha,least,threaten,festival,snowmobile,last,three,car,fall,minnesota,river,safe,blast,later,global,phenomenon,usually,big,today,cause,west,east,giant,mild,hundred,home,visitor,mountain,dance,thaw,activity,cloud,committee,next,competition,open,thing,1902,North,South,Wisconsin,warmth,puzzling,enthusiast,search,young,weird,way,jarr,upper,minneapolis,melting,neb.,date,dozen,wyo.,reach,barely,50s,unseasonably,cool,40s
,10,9,9,8,7,7,7,7,7,6,6,6,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 11, 2003, Wednesday",16 of 119 DOCUMENTS,USA TODAY,Great news for cows and Earth: Food additive can squelch the belch,Dan Vergano,LIFE; Pg. 7D,,432 words,,,"June 11, 2003",ENGLISH,,,"GRAPHIC, B/W, Quin Tian, USA TODAY, Source: 2001 Environmental Protection Agency analysis of 1999 data (PIE CHART); PHOTO, B/W, Adrian Wyld, AP; Eat here, get gas: A billion belching cows on Earth equals a lot of methane.",,,,"Copyright 2003 Gannett Company, Inc."
,cow,methane,gas,feed,researcher,microbe,study,science,global,pose,livestock,greenhouse,climate,change,worldwide,lot,produce,emission,cause,human,activity,problem,cattle,scientist,reduce,compound,production,digestive,stomach,add,less,research,way,methane_reducing,fan,may,relieved,learn,diligently,work,defuse,atmospheric,menace,burp,mostly,belch,generate,significant,amount,perhaps,potent,natural,industrial,source,play,key,role,expect,raise,average,temperature,degree,century,accord,estimate,panel,billion,single,cubic,foot,contribute,account,husbandry,categorize,farmer,another,represent,waste,inefficient,digestion,seek,lasso,design,food,additive,kind,beano,advance,block,turn,involved,process,four,toward,nutrient,rather,suggest,cut,consumption
,8,7,7,5,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 25, 2003, Friday",17 of 119 DOCUMENTS,USA TODAY,USA TODAY Roundtable: States eye innovation in management,Patrick McMahon and Dennis Cauchon,NEWS; Pg. 6A,,1968 words,,,"July 25, 2003",ENGLISH,,,"PHOTOS, B/W, Jessica Brandi Lifland for USA TODAY (6); Texas House Speaker Tom Craddick. A Republican from Midland, Craddick, 59, was first elected in 1968. In 2003, he became Texas' first Republican speaker since Reconstruction.<>Oklahoma State Sen. Angela Monson. A Democrat from Oklahoma City, Monson, 47, was first elected to the Senate in 1993. She is president of the National Conference of State Legislatures.<>Vermont House Speaker Walter Freed. A Republican from Dorset, Freed, 51, was first elected to the House in 1993 and elected speaker in 2001.<>Illinois State Sen. Steve Rauschenberger. A Republican from Elgin, Rauschenberger, 46, was first elected to the Senate in 1992. He is assistant minority leader and was chairman of the Senate Appropriations Committee from 1995 to 2002.<>William Pound, executive director of the National Conference of State Legislatures. Pound, 63, has held the position since 1987.<>California State Sen. Denise Ducheny. A Democrat from San Diego, Ducheny, 51, was first elected to the Senate in 2002. Previously, she was chairman of the state Assembly's Budget Committee. Recently, she was named to the Senate Select Committee on Fiscal Restructuring.",,,,"Copyright 2003 Gannett Company, Inc."
,state,tax,go,cost,system,today,revenue,federal,government,education,thing,rate,health,monson,people,look,USA,care,have,rauschenberger,work,level,think,job,many,money,ducheny,pay,increase,budget,program,freed,need,really,we,different,change,school,spend,fact,growth,grow,time,give,whether,build,hospital,property,kind,housing,hour,California,Medicaid,Medicare,Texas,craddick,everybody,less,sen,cut,face,much,borrowing,problem,movement,inflation,pound,service,involvement,medical,structure,still,local,city,try,expect,learn,process,gay,real,Oklahoma,speaker,poll,nobody,biggest,last,couple,run,continue,executive,rise,every,dramatic,force,shortfall,decision,pass,able,financial
,42,18,18,12,12,11,11,11,10,10,9,9,8,8,8,8,8,7,7,7,7,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"March 31, 2003, Monday",23 of 119 DOCUMENTS,USA TODAY,Special report: Bubble hasn't burst yet on CEO salaries despite the times,Gary Strauss and Barbara Hansen,MONEY; Pg. 1B,,2099 words,,,"April 01, 2003",ENGLISH,,,"GRAPHIC, Color, Jim Sergent, USA TODAY, Sources: Investor Responsibility Research Center, Bureau of Labor Statistics, The World Almanac, USA TODAY research (BAR GRAPH); PHOTOS, Color (2); PHOTO, Color, Getty Images",COVER STORY,,,"Copyright 2003 Gannett Company, Inc."
,million,option,pay,stock,company,board,bonus,value,share,director,compensation,grant,worth,CEOs,exercise,salary,gain,receive,corporate,2002,give,price,yet,CEO,ceos,award,fall,package,shareholder,cut,time,many,2001,base,include,ceo,large,restrict,performance,target,still,pull,equity,among,nearly,annual,giant,change,set,worthless,maker,potentially,governance,new,management,stock_option,executive,profit,last,median,surge,remain,example,largely,environment,ask,big,fiscal,investor,proxy,rise,continue,pension,economic,lose,accord,committee,lead,USA,long,go,stockholder,analysis,today,incentive,potential,worker,instead,likely,surface,report,critic,dramatically,enhance,tenet,realize,slump,leadership,payout
,48,36,32,25,18,16,14,14,13,13,11,11,11,11,10,9,9,9,8,8,7,7,7,7,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"January 21, 2003, Tuesday",27 of 119 DOCUMENTS,USA TODAY,Bush garners voluntary pledges by industry groups to cut emissions,Traci Watson,NEWS; Pg. 3A,,413 words,,,"January 22, 2003",ENGLISH,,,,,,,"Copyright 2003 Gannett Company, Inc."
,gas,voluntary,cut,company,administration,effort,global_warming,require,official,emission,program,Bush,production,agreement,success,environmental,problem,president,rely,goal,growth,announce,participate,level,industry,White_House,energy_efficient,group,represent,hundred,agree,bush,appeal,voluntarily,approach,alternative,mandatory,cooperate,proof,address,work,plan,measure,allow,continue,rise,slow,rate,punishment,polluter,fail,critic,mix,shortly,take,office,1997,treaty,nation,reduce,1990,nearly,every,sector,economy,name,participant,early,next,week,include,maker,oil,producer,accord,report,promise,slash,output,perfluorocarbon,surpass,decade,ago,pledge,limit,try,reach,solely,expect,achieve,car,better,mileage,provide,tax,incentive,buy,technology,expert
,7,6,5,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 27, 2003, Monday",28 of 119 DOCUMENTS,USA TODAY,Water shortages could leave world in dire straits,Dan Vergano,LIFE; Pg. 9D,,571 words,,,"January 27, 2003",ENGLISH,,,"GRAPHIC, B/W, Frank Pompa, USA TODAY, Source: The State of World Fisheries and Aquaculture 2000, Food and Agriculture Organization of the United Nations (LINE GRAPH); GRAPHIC, B/W, Frank Pompa, USA TODAY, Source: United Nations Environment Programme (BAR GRAPH)",,,,"Copyright 2003 Gannett Company, Inc."
,water,report,people,problem,fish,shortage,fishery,worldwide,develop,nation,region,face,severe,billion,United_Nations,half,live,crisis,today,waste,management,resource,million,sea,coral,reef,coastal,system,irrigation,world,organization,affect,freshwater,pollution,better,concern,ocean,seas,environmental,need,collapse,drinking_water,humanity,deplet,pollute,coastline,within,warn,inadequate,main,culprit,behind,particularly,study,comprehensive,kind,environment,programme,work,200,expert,produce,ten,access,safe,indeed,coordinate,program,policy,part,designation,2003,document,steep,drop,size,aral,marshland,deterioration,rise,climate,change,crop,failure,conflict,shrink,lake,river,fix,nothing,do,prevent,wasteful,slow,evaporation,reservoir,base,data,health
,16,7,6,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 11, 2003, Thursday",34 of 119 DOCUMENTS,USA TODAY,"For book lovers, it's a science",Dan Vergano,LIFE; Pg. 10D,,574 words,,,"December 11, 2003",ENGLISH,,,"PHOTOS, B/W (6)",BOOKS,,,"Copyright 2003 Gannett Company, Inc."
,science,book,life,gift,look,24.95,scientist,scientific,pirate,list,today,serious,picture,author,wonder,walker,complex,global,ice,age,title,future,human,add,anyone,engineering,achievement,voyage,expedition,profit,biomedical,Earth,Krimsky,enthusiast,sky,limit,writer,best,scholar,well,weekend,stargazer,365,29.95,beautiful,stuff,worth,stun,photograph,take,popular,astronomy,web,site,astronomer,pick,six,daily,cosmological,massive,tiny,glass,bubble,collect,moon,explain,behind,image,concise,informative,fashion,contribute,editor,magazine,examine,intrigue,theory,become,600,million,ago,profile,believe,trigger,profusion,form,show,personality,drive,read,excerpt,browse,idea,books.usatoday.com,discovery,trace,question,origin,lead
,7,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 27, 2003, Friday",37 of 119 DOCUMENTS,USA TODAY,Cadets march into new academy,Patrick O'Driscoll and Tom Kenworthy,NEWS; Pg. 3A,,962 words,"AIR FORCE ACADEMY, Colo.",,"June 27, 2003",ENGLISH,,,"PHOTO, B/W, Tom Kimmell for USA TODAY; Off to school: Jan Kuhn hugs her son Mark as she says goodbye at the U.S. Air Force Academy near Colorado Springs. Some parents of cadets are skeptical that the school is serious about change.",,,,"Copyright 2003 Gannett Company, Inc."
,academy,cadet,scandal,new,parent,force,campus,four,less,lot,change,thursday,female,sexual,assault,newcomer,summer,mean,family,take,mother,guy,Lindsay,air,word,remove,spring,gender,lead,official,intimidating,welcome,order,commandant,boot,camp,briefing,better,training,upperclassmen,every,go,senior,have,tell,commander,beast,bus,main,test,oath,next,although,talk,believe,news,son,still,feel,good,safer,chance,trouble,concerned,father,reassure,dream,pilot,Weida,Idaho,Anna,Faye_Jaszkowiak,colo,march,single,file,pave,"1,297",enter,rape,throw,turmoil,high,entryway,longer,call,bring,man,ramp,inspirational,poem,hang,letter,threshold,slogan,become,embarrassing,symbol,insensitivity
,17,14,6,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 3, 2003, Friday",39 of 119 DOCUMENTS,USA TODAY,Sweet new BMW was well able to weather Isabel,James R. Healey,LIFE; Pg. 9D,,1669 words,"PITTSTON, Pa.",,"October 06, 2003",ENGLISH,,,"PHOTOS, B/W, BMW (3)",,,,"Copyright 2003 Gannett Company, Inc."
,steering,control,go,drive,model,car,six_cylinder,sedan,automatic,530,active,system,road,530i,sale,manual,transmission,545,inch,wheel,power,ratio,iDrive,tire,air,leave,technology,size,much,feature,avoid,turn,rate,BMW,rain,bmw,new,conditioning,consider,especially,style,suburban,look,bigger,previous,instead,occupant,knob,climate,use,let,maneuver,work,radio,keep,driver,hand,start,speed,option,column,normal,light,reverse,forward,525,typical,standard,bag,man,cubic,foot,mpg,right,show,fine,gust,wiper,2004,fat,stiff,seat,make,fail,take,storm,nearly,almost,expert,except,condition,hurricane,sept,525i,late,available,back,introduce,seem
,16,10,8,7,7,7,7,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"December 17, 2003, Wednesday",41 of 119 DOCUMENTS,USA TODAY,"2003 was among warmest years, according to climate data reviews",Patrick O'Driscoll,NEWS; Pg. 3A,,592 words,DENVER,,"December 17, 2003",ENGLISH,,,"GRAPHIC, B/W, Adrienne Lewis, USA TODAY, Source: NOAA (MAP)",,,,"Copyright 2003 Gannett Company, Inc."
,record,2003,weather,much,snow,average,rainfall,warmth,cooler,tuesday,warmest,begin,dring,three,global,temperature,state,major,North_Carolina,wetter,preliminary,review,great,organization,scientist,single,warming,week,severe,along,normal,rain,climate,go,lawrimore,long,near,annual,mark,part,may,516,tornadoe,flooding,october,storm,february,december,snowstorm,coast,West,East,East_Coast,National_Climatic_Data_Center,persistent,dryness,make,sharp,contrast,accord,despite,rank,consistent,1895,steadfast,pacific,mean,enter,2004,moisture,deficit,overcome,world,meteorological,arm,worldwide,nearly,century,half,1861,keep,accurate,past,six,1998,hottest,2002,occur,1990,pinpoint,cause,warmer,higher,trend,probably,prolong,heating,atmosphere,burn
,7,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 4, 2003, Tuesday",43 of 119 DOCUMENTS,USA TODAY,"Not knowing leaves us resentful, uneasy, on edge",Bruce Horovitz and John Waggoner,MONEY; Pg. 1B,,1551 words,,,"February 04, 2003",ENGLISH,,,"GRAPHIC, B/W, Adrienne Lewis, USA TODAY, Source: The Conference Board (LINE GRAPH)",COVER STORY,,,"Copyright 2003 Gannett Company, Inc."
,business,seem,worry,know,stock,fall,dollar,buy,family,market,overnight,economy,fear,job,thing,Noakes,lose,nation,close,low,president,war,photo,Columbia,Iraq,something,world,feel,investor,perhaps,monday,make,cent,deficit,cost,time,head,hope,less,euro,need,grow,country,hold,might,peak,2000,outlook,boomer,many,back,look,currency,keep,company,new,American,Simpson,U.S.,`,hyper,add,shaky,news,industrial,average,shuttle,well,share,rocket,prime,confidence,budget,military,spend,billion,closer,hide,disintegrate,tragedy,streak,worth,corporate,per,real,people,stability,try,follow,unemployment,bottom,senior,economist,hire,investment,measure,awfully,depress,nearly
,11,7,7,6,6,6,6,6,6,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"March 21, 2003, Friday",45 of 119 DOCUMENTS,USA TODAY,Super Sienna motors to minivan mountaintop,James R. Healey,LIFE; Pg. 7D,,1679 words,,,"March 21, 2003",ENGLISH,,,"PHOTOS, B/W, Toyota (2); Fold-away: A deep well in the floor accepts the third-row seat, leaving a flat cargo floor.",,,,"Copyright 2003 Gannett Company, Inc."
,seat,Sienna,model,power,AWD,leave,Toyota,sienna,big,need,drive,van,steering,wheel,third_row,XLE,minivan,start,control,front,brake,vehicle,tire,window,mirror,optional,seem,though,test,swerve,hard,right,well,back,awd,add,rate,traction,controls,FWD,make,generally,size,mile,much,problem,turn,storage,floor,feature,feel,price,many,plus,kid,console,slide,side,door,row,driver,fix,passenger,sale,use,system,rear,airbags,defroster,substitute,trip,alloy,inch,cubic,foot,pound,online,all_wheel,Lexus,sport_utility,anti_skid,Test_Drive,people,country,require,really,past,part,available,road,new,champ,steer,place,long,automatic,transmission,shift,torque
,15,15,12,8,8,7,7,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"April 29, 2003, Tuesday",46 of 119 DOCUMENTS,USA TODAY,Military may lighten its 'footprint' in Europe,Dave Moniz,NEWS; Pg. 4A,,686 words,WASHINGTON,,"April 29, 2003",ENGLISH,,,"PHOTO, B/W, Brendan McDermid, Reuters; Jones: U.S.. general says proposals to reduce troops in Germany are not intended as punishment.",,,,"Copyright 2003 Gannett Company, Inc."
,U.S.,Europe,military,basis,troops,Germany,Pentagon,force,move,consider,presence,war,Jones,Army,close,country,plan,among,official,make,political,installation,likely,reduction,dramatic,change,open,smaller,command,work,big,large,look,restructuring,major,impact,replace,division,1st,armored,brigade,soldier,overseas,unit,require,money,probably,reduce,United_States,Rumsfeld,Saudi,top,commander,monday,world,ii,shrink,chiefly,gen,jame,jone,caution,still,progress,away,concentration,focus,kind,stage,ground,global,hotspot,idea,bare,bone,use,quickly,although,might,seem,intend,punish,oppose,invasion,reward,support,reality,secretary,effort,flexible,every,turn,seek,sure,militarily,unconnected,discussion,"60,000",reanalyze
