PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"April 14, 1998, Tuesday",1 of 109 DOCUMENTS,USA TODAY,'A window on the future' of weather,Jack Williams,LIFE; Pg. 7D,,474 words,,,"April 14, 1998",ENGLISH,,,"GRAPHIC, B/W, Dave Merrill, USA TODAY, Source: USA TODAY research by Jack Williams (Diagram)",SCIENCE,,,"Copyright 1998 Gannett Company, Inc."
,el,nino,weather,warming,climate,world,extreme,global,warmer,hurricane,future,model,may,bring,change,cause,computer,we,baker,can,forecast,NOAA,fall,give,pattern,scientist,strength,modeling,head,show,effect,center,stronger,big,predict,whether,forecaster,able,ahead,research,Karl,disrupt,offer,glimpse,seem,heavy,rain,many,area,name,central,eastern,pacific,occur,every,seven,measure,much,normal,water,become,tell,manifest,d.,jame,word,winter,taste,might,expect,warm,window,stress,strong,always,attribute,increase,indication,amplify,national,climatic,data,latest,similar,past,however,generally,detail,unanswer,question,affect,reduce,number,threaten,researcher,yet,fewer,either,globally
"January 6, 1998, Tuesday",16 of 109 DOCUMENTS,USA TODAY,Jet-stream journey delayed Bad weather foils new team of balloonists,Paul Hoversten,NEWS; Pg. 3A,,727 words,,,"January 06, 1998",ENGLISH,,,"PHOTO, b/w, Eric Draper, AP",,,,"Copyright 1998 Gannett Company, Inc."
,balloon,Rutan,Melton,jet,stream,flight,balloonist,fly,around,world,million,attempt,nonstop,launch,plan,take,inside,team,spend,hope,least,week,flow,earth,200,think,go,weather,know,global,trip,altitude,way,near,top,mile,cabin,lower,ballooning,winter,make,end,monday,best,record,aircraft,another,sponsor,raise,crew,keep,we,Albuquerque,Barry,Global_Hilton,Hilton,pair,postpone,official,early,today,carry,aviator,partner,across,ocean,leg,journey,deteriorate,spokesman,effort,scrap,wait,better,condition,strong,air,circle,west,east,use,move,speed,mph,break,head,toward,improve,problem,aside,secret,mastering,possible,low,unpressurized,solo,pressurize,avoid,storm
,9,8,8,7,6,5,4,4,4,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 6, 1998, Tuesday",17 of 109 DOCUMENTS,USA TODAY,Balloon team's plan: Aim high Pilots plan to sail at top of jet stream,Paul Hoversten,NEWS; Pg. 3A,,675 words,,,"January 06, 1998",ENGLISH,,,"PHOTO, b/w, Eric Draper, AP",,,,"Copyright 1998 Gannett Company, Inc."
,balloon,Rutan,Melton,flight,jet,take,stream,million,attempt,around,world,go,plan,near,inside,lower,team,fly,spend,know,nonstop,trip,altitude,way,top,flow,air,earth,mile,cabin,ballooning,winter,make,end,monday,balloonist,best,record,aircraft,another,global,sponsor,raise,crew,keep,good,we,latitudes,Global_Hilton,Albuquerque,Hilton,think,secret,mastering,someone,do,possible,low,unpressurized,solo,circle,west,east,pressurize,avoid,storm,turbulence,comfortable,warm,right,might,accomplish,able,invent,200,ago,brother,call,feat,century,last,great,aeronautical,prize,offer,succeed,least,four,fail,include,chief,colleague,hope,launch,thursday,schedule,early,today,successful
,9,9,8,6,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 3, 1998, Tuesday",18 of 109 DOCUMENTS,USA TODAY,The woman in the eye of the storms NASA chief has kept her head in the clouds,Jack Williams,LIFE; Pg. 6D,,1255 words,,,"November 03, 1998",ENGLISH,,,"PHOTO, B/W, NASA; PHOTO, B/W, Tim Dillon, USA TODAY; Then: Joanne Simpson, a meteorologist with NASA since the 1950s, broke ground for other women. Now: Simpson, NASA's chief meteorologist, with a photo of Hurricane Betty, taken from a satellite named for her. At 75, she has no plans to retire, 'as long as I have the health and strength to go on.'",SCIENCE,,,"Copyright 1998 Gannett Company, Inc."
,cloud,Simpson,hurricane,weather,meteorology,tropical,learn,scientist,tell,earn,fly,woman,study,work,combine,go,satellite,turn,world,airplane,computer,create,long,course,important,pilot,war,director,still,science,season,wind,find,fascinating,century,help,climate,data,project,forecaster,rain,today,understanding,become,grow,problem,aviation,ii,teach,encourage,leave,job,professor,meteorologist,night,research,thing,hold,include,life,adviser,think,boat,struggle,foot,use,early,1950,begin,mathematical,model,1954,1955,name,plane,1965,scientific,papers,1979,try,yet,motherhood,write,marriage,honor,make,really,head,lady,room,career,observation,radar,image,idea,might,Joanne_Simpson,NASA,Chicago
,14,12,9,8,8,7,7,6,6,6,6,6,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"April 1, 1998, Wednesday",19 of 109 DOCUMENTS,USA TODAY,Clinton pledges new effort to analyze land changes,Mimi Hall,NEWS; Pg. 4A,,526 words,"GABORONE, Botswana",,"April 02, 1998",ENGLISH,,,"PHOTO, B/W, J. Scott Applewhite, AP",,,,"Copyright 1998 Gannett Company, Inc."
,Clinton,Africa,treaty,program,change,ratification,training,Botswana,Senate,dream,president,thursday,help,southern,push,drying,farmland,spend,animal,environment,environmental,visit,lizard,together,desert,committee,tour,troops,land_use,big,game,safari,pronounce,beyond,wildest,offer,analyze,promise,stop,worldwide,human,appreciable,amount,time,uniquely,pristine,place,full,wonder,plant,life,instinctively,feel,humanity,sacred,obligation,preserve,discuss,degredation,environmentalist,outskirt,hope,encourage,tourism,regaled,small,crowd,gather,nature,reserve,long,list,bird,lady,hillary,rodham,past,northern,botswana,thing,elephant,hippo,giraffe,lion,something,call,monitor,think,people,minotor,joke,unfortunately,catch,take,home,work,sign,1994,desertification
,9,5,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 7, 1998, Tuesday",20 of 109 DOCUMENTS,USA TODAY,Clinton joins Social Security debate Right and left compete with ideas for reform,William M. Welch,NEWS; Pg. 4A,,904 words,WASHINGTON,,"April 07, 1998",ENGLISH,,,"GRAPHIC, b/w, Elys A. McLean, USA TODAY, Source:Senate Finance Committee(Bar graph); PHOTO, b/w, Elise Amendola, AP",,,,"Copyright 1998 Gannett Company, Inc."
,security,Social,tax,benefit,Social_Security,debate,Clinton,worker,system,change,conservative,begin,today,problem,reform,plan,account,investment,payroll,pay,rise,program,group,policy,propose,future,cut,money,retire,schedule,Congress,president,member,party,consider,fundamental,structure,interest,expert,join,national,face,call,create,preserve,expect,back,personal,savings,think,tank,away,stock,traditional,sen,social,curb,present,shift,defender,toward,adjustment,offer,return,worse,disability,retirement,2001,percentage,point,increase,2003,age,Moynihan,enter,fix,unthinkable,mo,series,forum,state,speech,jan,session,way,stimulate,insolvency,await,specific,proposal,save,discussion,action,1999,congressional,election,gene,sperling,top
,11,10,9,8,8,7,7,6,6,5,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 20, 1998, Thursday",21 of 109 DOCUMENTS,USA TODAY,Salmon running dry in Alaska,John Ritter,NEWS; Pg. 3A,,1204 words,"CHEVAK, Alaska",,"August 20, 1998",ENGLISH,,,"GRAPHIC, b/w, Genevieve Lynn, USA TODAY, Source:Alaska Fish & Wildlife Commission(Map); PHOTOS, b/w, Stephen Nowers, USA TODAY(3)",,,,"Copyright 1998 Gannett Company, Inc."
,salmon,fish,water,fishing,last,million,el,nino,Alaska,catch,run,food,can,fishermen,family,go,western,winter,warm,Bristol_Bay,commercial,depend,know,harvest,fishery,work,villager,region,disaster,aid,river,cool,federal,less,half,pay,need,tundra,face,time,many,alaska,village,native,alaskans,feed,extremely,poor,season,manager,put,reason,think,still,without,enough,life,make,start,week,expert,grow,decline,young,longer,bring,shortage,trend,sea,return,grounds,dismal,fraction,world,valuable,sockeye,value,worth,compare,price,crisis,good,might,500,service,bill,people,fuel,really,subsistence,king,dirt,package,Jacob_Nash,Chevak,Knowles,subsist,bulk,diet
,25,12,10,7,7,7,6,6,6,5,5,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1
"August 20, 1998, Thursday",22 of 109 DOCUMENTS,USA TODAY,Salmon running dry in Alaska,John Ritter,NEWS; Pg. 3A,,1203 words,"CHEVAK, Alaska",,"August 20, 1998",ENGLISH,,,"GRAPHIC, b/w, Genevieve Lynn, USA TODAY, Source:Alaska Fish & Wildlife Commission(Map); PHOTOS, b/w, Stephen Nowers for USA TODAY(3)",,,,"Copyright 1998 Gannett Company, Inc."
,salmon,fish,water,fishing,last,million,Alaska,catch,run,food,can,fishermen,el,nino,family,go,western,winter,warm,Bristol_Bay,commercial,depend,know,harvest,fishery,work,life,villager,region,disaster,aid,river,cool,federal,less,half,pay,need,tundra,face,time,many,alaska,village,native,alaskans,feed,extremely,poor,season,manager,put,reason,think,still,we,way,without,enough,make,start,week,expert,grow,decline,young,longer,bring,shortage,trend,sea,return,grounds,world,valuable,sockeye,value,worth,compare,price,crisis,good,might,500,service,bill,people,fuel,really,subsistence,king,dirt,package,Jacob_Nash,Chevak,Knowles,subsist,bulk,diet
,25,12,10,7,7,7,6,5,5,5,5,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1
"January 26, 1998, Monday",24 of 109 DOCUMENTS,USA TODAY,Loyal Gore steadfast in his support,Susan Page,NEWS; Pg. 1A,,2014 words,WASHINGTON,,"January 26, 1998",ENGLISH,,,"PHOTO, Color, Matt Mendelsohn, USA TODAY; PHOTO, B/W, Doug Mills, AP",COVER STORY,,,"Copyright 1998 Gannett Company, Inc."
,Gore,president,Clinton,vice,crisis,political,qualified,country,policy,adviser,former,poll,White_House,controversy,today,ask,make,campaign,people,take,presidency,believe,tell,time,loyal,question,hold,plan,go,USA,Democratic,fund_raising,office,other,possible,gore,state,address,staff,clear,turn,friend,counsel,among,inner,circle,situation,focus,agenda,affair,expect,2000,presidential,thing,leader,earlier,various,run,consider,view,voter,republican,think,good,global,initiative,change,look,put,interview,flatly,speculation,doubt,second,term,influential,find,call,lead,role,include,face,challenge,deny,charge,base,senior,aide,friday,session,chief,recent,marriage,air,legal,try,reassure,joke,begin
,41,26,23,10,7,7,7,6,6,6,6,6,6,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"May 8, 1998, Friday",25 of 109 DOCUMENTS,USA TODAY,GLOBAL WARMING,John Bacon; Traci Watson,NEWS; Pg. 3A,,367 words,,,"May 11, 1998",ENGLISH,,,"PHOTO, b/w, David Zalubowski, AP",NATIONLINE,,,"Copyright 1998 Gannett Company, Inc."
,global,foot,warming,balloon,circle,three,plan,Australia,center,hope,pilot,tall,space,cruise,altitude,higher,ever,attempt,danger,Shasta,NASA_designed,Liniger,dozen,major,company,sign,initiative,bp,among,industrial,giant,join,try,influence,international,effort,combat,many,scientist,rise,temperature,cause,catastrophe,formation,mark,new,moderation,debate,characterize,zealotry,side,supporter,traci,thursday,hundred,people,call,prevention,animal,fla,adopt,rottweiler,survive,master,suicide,plunge,wednesday,suffer,bruise,earth,use,helium,thin,sandwich,bag,nearly,globe,edge,man,lift,late,december,early,january,"130,000",trio,ride,capsule,"80,000",manned,reporter,own,depart,complete,nonstop,trip,spend,time,pressurize
,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 4, 1998, Wednesday",26 of 109 DOCUMENTS,USA TODAY,Candidates set foot on campaign cybertrail,Steven Komarow,NEWS; Pg. 19A,,1219 words,WASHINGTON,,"November 05, 1998",ENGLISH,,,"PHOTOS, b/w, Internet(3)",,,,"Copyright 1998 Gannett Company, Inc."
,site,campaign,internet,make,web,use,many,on_line,supporter,visitor,e_mail,candidate,electronic,contribution,still,race,people,offer,card,new,tool,ask,difference,virtual,meet,room,base,feature,best,voter,user,federal,election,example,night,political,thing,trail,gubernatorial,bush,take,democrat,donation,chat,ad,bumper,sticker,consultant,medium,politician,try,potential,poll,republican,vote,know,mass,television,passively,advertising,unsolicited,message,lure,live,credit,much,check,change,reach,mind,long,send,friend,monday,gay,expect,may,lot,learn,counter,hacker,declare,across,country,result,Florida,fund_raising,House,Democratic,Boxer,get_out_the_vote,ABC,tap,never,sophisticated,1998,dust,settle,certain
,21,20,15,10,9,8,7,7,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1
"April 1, 1998, Wednesday",28 of 109 DOCUMENTS,USA TODAY,Clinton focuses on environment after 2-day safari,Mimi Hall,NEWS; Pg. 8A,,438 words,"GABORONE, Botswana",,"April 01, 1998",ENGLISH,,,"GRAPHIC, b/w, USA TODAY(Map); PHOTO, b/w, Paul J. Richards, AFP",,,,"Copyright 1998 Gannett Company, Inc."
,Clinton,Africa,change,ratification,treaty,Senate,dream,president,southern,push,farmland,desert,spend,animal,environment,visit,monitor,lizard,committee,tour,force,Botswana,land_use,Senegal,big,game,safari,pronounce,beyond,wildest,offer,tuesday,program,analyze,protect,encroach,human,appreciable,time,uniquely,pristine,place,full,wonder,plant,life,instinctively,feel,humanity,sacred,obligation,preserve,meeting,environmentalist,hope,encourage,tourism,regaled,small,crowd,nature,reserve,long,list,lady,hillary,rodham,past,northern,botswana,thing,elephant,hippo,giraffe,lion,something,call,think,people,joke,unfortunately,catch,take,home,sign,1994,aim,stop,desertification,drying,worldwide,stall,1996,sound,week,spokesman,foreign,relation,comment
,8,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 15, 1998, Tuesday",32 of 109 DOCUMENTS,USA TODAY,"Gender propriety key issue N.C. coach stays course, gets support",Roscoe Nance,SPORTS; Pg. 3C,,1542 words,"CHAPEL HILL, N.C.",,"September 15, 1998",ENGLISH,,,"PHOTO, Color, Scott Sharpe for USA TODAY; PHOTOS, B/W, Scott Sharpe for USA TODAY (2)",,,,"Copyright 1998 Gannett Company, Inc."
,team,coach,woman,soccer,go,Dorrance,play,Keller,national,thing,suit,North_Carolina,think,win,we,Tar_Heels,case,dorrance,world,cup,former,player,issue,make,good,great,step,member,include,name,effect,legal,change,anything,something,U.S.,feel,way,really,know,part,game,university,allege,jenning,past,stay,statement,focus,speak,goal,line,people,Anson,DiCicco,Ducar,sexual,community,championship,last,squad,current,midfielder,another,assistant,goalkeeper,athlete,story,everybody,notre,dame,many,kind,three,aware,conduct,act,use,position,meeting,twice,inappropriate,physical,contact,front,encourage,withdraw,account,ask,million,damage,fight,allegation,take,try,have,style,unique,respond
,21,20,10,10,10,10,9,9,8,8,7,7,6,6,6,6,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"October 21, 1998, Wednesday",34 of 109 DOCUMENTS,USA TODAY,"Halloween, a 'man hunt' and other scary stuff",Sam Vincent Meddis,LIFE; Pg. 8D; The Net: New and Notable,,834 words,,,"October 21, 1998",ENGLISH,,,"PHOTOS, Color (2); Get an education: Read 'American Education's Online Newspaper of Record' at www.edweek.org. Currently on line: a special report on technology in the schools. Or grab the kids and go tramping through the primordial ooze at dinosaurs.eb.com. The site allows you to navigate through different exhibits with a user-friendly site grid.",,,,"Copyright 1998 Gannett Company, Inc."
,web,site,find,may,include,change,resource,new,nation,search,report,along,think,take,look,well,name,link,educational,science,lesson,presidency,teachersource,free,info,news,archive,special,financial,man,cast,woman,cyberspace,collection,oddball,today,make,promise,advice,aim,stuff,family,service,on_line,entertaining,listen,station,yup,store,drive,www.ubl.com,halloween98,boast,spooktacular,sound,sequel,tothe,creepy,classic,creature,horror,memorabilia,halloween98.com,stroll,virtual,museum,dedicated,dinosaurs,folk,dinosaurs.eb.com,ghoulish,movie,wonder,zomby,aptly,horrormovies.com,join,actor,many,wait,"1,000",plan,teacher,guide,online,activity,www.pbs.org/,earthling,universe,extraterrestrial,range,alien,civilization,photo,lunar,surface,www.astronomynow.com,improve,school
,6,6,5,5,5,4,4,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 27, 1998, Friday",35 of 109 DOCUMENTS,USA TODAY,Making an impression on the New York dining scene,Jerry Shriver,LIFE; Pg. 6D; Food & Dining,,888 words,,,"February 27, 1998",ENGLISH,,,"PHOTO, Color, Bernd Auers; PHOTO, Color, Stan Godlewski for USA TODAY",,,,"Copyright 1998 Gannett Company, Inc."
,dessert,chef,de,chocolate,dish,work,best,dining,entree,last,new,lunch,open,sauce,something,sea,freedom,restaurant,party,room,thanks,drink,puka,mousse,mango,decor,white,mean,approach,may,serve,nearly,place,make,feel,bistro,menu,puree,wine,life,love,ingredient,skate,without,spirit,sweet,creamy,corn,soup,black,wild,among,fare,include,seaweed,green,salad,turbot,lettuce,truffle,surround,New_York,Balthazar,Bouley,look,interesting,opening,past,riotous,specialty,tiki,blend,three,rum,festive,guava,coconut,cake,ice,cream,warm,gravy,designer,billowing,drape,hologram,mountainscape,fireplace,communal,table,serious,disappointing,intrigue,pair,flavor,partially,successful,pork,duck
,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 9, 1998, Monday",36 of 109 DOCUMENTS,USA TODAY,Small cars flood European market,Micheline Maynard,MONEY; Pg. 4B,,768 words,,,"March 09, 1998",ENGLISH,,,"PHOTO, B/W, BMW; PHOTO, B/W, Beatrix Stampfli, AP; PHOTO, B/W, Pascal Volery, Reuters",,,,"Copyright 1998 Gannett Company, Inc."
,car,small,new,elk,Mercedes,Renault,ESP,sale,world,plant,ford,take,test,Europe,include,market,around,feature,many,set,go,know,show,look,USA,Focus,Geneva,A_Class,automaker,make,million,display,astra,version,six,competitor,three,production,company,global,approach,2000,toyota,plenty,build,part,esp,vehicle,week,control,system,change,predecessor,bmw,add,inch,Ford,Toyota,Astra,Yaris,BMW,roll,emphasis,easy,understand,compact,minicar,half,annual,newcomer,opel,produce,seven,country,hit,behind,prime,early,review,warm,gm,official,pleased,quality,bochum,focus,replace,escort,style,call,edge,choose,name,basically,language,typify,platform,result,reorganize
