PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"July 16, 2001, Monday",1 of 163 DOCUMENTS,USA TODAY,"6 ways to combat global warming Debate moves past whether it's happening to what, if anything, should be done about it",Traci Watson and Jonathan Weisman,NEWS; Pg. 1A,,2773 words,,,"July 16, 2001",ENGLISH,,,"GRAPHIC, Color, Bob Laird, USA TODAY; GRAPHIC, B/W, Quin Tian, USA TODAY, Source: Office of Science and Technology Policy, 1997: Congressional Budget Office; United Nations Environment Program; World Meteorological Organization; GRAPHIC, B/W, Quin Tian, USA TODAY, Source: Congressional Budget Office (1998 data) (BAR GRAPH and PIE CHART); GRAPHICS, B/W (GRAPHIC, 6)",COVER STORY,,,"Copyright 2001 Gannett Company, Inc."
,nation,gas,emission,greenhouse,global,world,warming,treaty,cost,economic,country,permit,carbon,dioxide,company,Bush,Kyoto,U.S.,rise,problem,atmosphere,develop,energy,billion,climate,change,make,include,reduce,target,output,scientist,Earth,issue,research,way,new,emit,source,cut,base,price,idea,government,ton,cent,ocean,do,warm,heat,might,president,live,pollution,solution,produce,decline,2010,study,group,average,take,economist,cap,within,plant,suggest,gasoline,Kyoto_Protocol,nearly,whether,sen,effort,part,buildup,much,critic,turn,expert,think,trading,industrial,program,enough,deal,1990,level,vary,technology,supporter,fund,estimate,use,lead,industry,household,must,people,kyoto
"June 7, 2001, Thursday",10 of 163 DOCUMENTS,USA TODAY,How Bush can charm skeptical Europeans,Antony J. Blinken,NEWS; Pg. 15A,,782 words,,,"June 07, 2001",ENGLISH,,,,,,,"Copyright 2001 Gannett Company, Inc."
,European,defense,Bush,european,missile,bush,Europe,president,policy,support,U.S.,NATO,think,change,talk,concern,RRF,next,climate,government,irresponsible,economic,partner,foreign,win,balkan,secretary,ally,go,together,necessary,force,technology,security,element,program,announce,effort,explain,pursue,perceive,administration,set,positive,matter,issue,far,senior,America,American,Russia,Kyoto,United_States,official,concerned,visit,week,prove,fiasco,press,portray,poster,child,bad,behavior,home,death,penalty,hegemonic,hubris,abroad,conclude,read,representative,blast,capture,exceptionally,foolish,man,precisely,bar,low,opportunity,soar,expectation,seize,challenge,face,ethnic,hatreds,proliferation,weapon,mass,destruction,network,terror,crime,drug,environmental
,9,8,8,7,6,6,6,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 12, 2001, Tuesday",12 of 163 DOCUMENTS,USA TODAY,Ex-Clinton aides admit Kyoto treaty flawed Climate pact costlier than they thought,Jonathan Weisman,NEWS; Pg. 7A,,913 words,WASHINGTON,,"June 12, 2001",ENGLISH,,,"PHOTO, B/W, Christophe Simon, Agence France-Presse; ""Save the climate"": A tourist poses by protest banners in Madrid, Spain, which President Bush visits today.",,,,"Copyright 2001 Gannett Company, Inc."
,treaty,emission,Clinton,estimate,Bush,cost,Kyoto,global,target,China,warming,administration,economist,gas,help,system,trading,president,reduction,greenhouse,consumer,think,embrace,bind,limit,new,price,government,meet,technology,participate,however,european,Europe,United_States,monday,reject,call,unrealistic,flaw,supporter,comply,difficult,combat,scientist,energy,approach,world,negotiate,1997,carbon,dioxide,low,billion,average,rise,gasoline,cent,gallon,higher,unable,standard,industry,adopt,though,sign,become,revise,thing,much,right,Clinton_White_House,emissions_trading,energy_efficient,head,face,environmental,critic,fire,parting,shot,protocol,costly,fatally,assessment,unexpected,expert,concede,mandatory,expensive,charge,reassessment,fuel,decision,economic,adviser,instead,pledge,modest
,14,9,9,7,7,6,6,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 24, 2001, Monday",13 of 163 DOCUMENTS,USA TODAY,Hewlett-Packard hasn't given up on Compaq deal,Jon Swartz,MONEY; Pg. 2B,,428 words,SAN FRANCISCO,,"September 24, 2001",ENGLISH,,,"GRAPHIC, B/W, Quin Tian, USA TODAY, Source: CSI (LINE GRAPH)",,,,"Copyright 2001 Gannett Company, Inc."
,deal,analyst,H_P,industry,merger,recession,fact,firm,change,economy,investor,Compaq,share,billion,transaction,economic,affect,executive,adverse,company,business,sept,terrorist,may,global,computer,consolidation,time,earlier,maker,tell,francisco,forge,ahead,propose,despite,twin,threat,war,tank,devalue,25.7,friday,highly,confident,partner,influential,law,represent,situation,resume,huddling,another,key,customer,lay,plan,chief,work,overtime,spin,skeptical,speculate,delay,abandon,material,clause,proviso,allow,scuttle,unforeseen,event,radically,climate,attack,tip,consider,neither,huge,percentage,revenue,badly,airlines,insurance,unlikely,meet,bar,lawyer,banker,carry,collar,automatically,cancel,stock,price,drop,low,assault,improve
,9,5,5,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 27, 2001, Friday",17 of 163 DOCUMENTS,USA TODAY,Critics decry Bush stand on treaties,Bill Nichols,NEWS; Pg. 6A,,1412 words,WASHINGTON,,"August 03, 2001",ENGLISH,,,"GRAPHICS, B/W (ILLUSTRATION) (8); PHOTO, B/W, Win McNamee, Reuters; News conference: President Bush listens to a reporter's question after talks in Genoa, Italy.",,,,"Copyright 2001 Gannett Company, Inc."
,treaty,administration,Bush,U.S.,international,Senate,arm,official,accord,put,nuclear,Clinton,1997,new,reduce,bush,weapon,control,policy,ratification,reject,ratify,president,nation,change,crime,seek,plan,United_States,week,draft,set,global,warming,small,sign,agreement,foreign,idea,team,time,security,problem,aim,alternative,promise,testing,missile,test,approach,United_Nations,U.N.,Russia,START_II,ABM_Treaty,critic,abandon,way,1995,178,agree,implement,kyoto,combat,force,pact,stem,illegal,flow,block,key,provision,civilian,rebel,engage,move,opposition,rejection,biological,pattern,unilateralist,issue,thursday,newspaper,clear,join,people,along,affair,country,make,expect,land,mine,develop,director,offer,create,permanent
,27,23,19,11,9,9,8,8,7,7,7,7,6,6,6,5,5,5,5,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"April 17, 2001, Tuesday",20 of 163 DOCUMENTS,USA TODAY,"Nuclear power earns fresh look, despite past woes",,NEWS; Pg. 12A,,958 words,,,"April 17, 2001",ENGLISH,,,"PHOTO, B/W, 1997 file photo by Kalim Bhatti, AP; Worst U.S. nuclear accident: Steam pours from a cooling tower of a nuclear reactor at the Three Mile Island power plant near Middletown, Pa., in February 1997. In 1979, a partial meltdown of the reactor-core fuel caused a release of radioactive material into the atmosphere.",DEBATE,,,"Copyright 2001 Gannett Company, Inc."
,plant,nuclear,energy,power,industry,new,reactor,1979,source,run,today,last,almost,nation,still,cost,construction,capacity,waste,American,plan,decade,permit,issue,go,online,safety,need,radioactive,meltdown,design,remain,produce,debate,change,1996,despite,generate,total,supply,problem,administration,potential,return,question,current,prove,three,mile,1986,thousand,cause,price,much,make,resolve,among,allow,result,federal,billion,build,gas,alternative,fuel,store,accident,die,1954,commercial,core,Bush,Soviet_Union,United_States,view,argue,surface,bad,couple,attrition,number,service,fall,past,yet,amount,increase,quietly,hardly,peep,health,raise,eyebrow,right,track,revive,vice,president,fashioning
,20,16,13,10,7,6,6,5,5,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 24, 2001, Tuesday",22 of 163 DOCUMENTS,USA TODAY,Compromise rescues Kyoto Protocol Nations hope global-warming treaty will take effect in 2002; U.S. says pact 'is not sound policy',Traci Watson,NEWS; Pg. 8A,,479 words,"BONN, Germany",,"July 24, 2001",ENGLISH,,,,,,,"Copyright 2001 Gannett Company, Inc."
,nation,treaty,rule,Kyoto_Protocol,emission,country,negotiator,cut,flaw,ratify,Bush,Bonn,talk,compromise,monday,govern,carbon,dioxide,gas,global,warming,call,every,protocol,chief,negotiation,agreement,change,industrialize,compliance,make,take,effect,U.S.,United_States,marathon,diplomat,178,draft,preserve,landmark,argue,night,sunday,early,detailed,book,design,link,despite,appeal,ally,economic,summit,weekend,president,refuse,reconsider,rejection,fatally,almost,single,stay,undersecretary,lead,delegation,four,grueling,deal,require,fund,part,concern,although,intend,seek,stop,other,move,ahead,long,legitimate,interest,protect,view,sound,policy,draw,boo,gallery,administration,committed,tackle,climate,work,pact,commit,greenhouse,chiefly
,8,7,5,5,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 7, 2001, Friday",23 of 163 DOCUMENTS,USA TODAY,"Odyssey puts pedal to metal, if you can get one",James R. Healey,LIFE; Pg. 8D,,1588 words,,,"September 07, 2001",ENGLISH,,,"PHOTO, Color, Honda; PHOTO, Color, Wieck; War of the minivans: Honda's 2002 Odyssey, above, offers leather (finally) and a big power boost. But Chrysler, left, still rates for driving behavior and looks.",,,,"Copyright 2001 Gannett Company, Inc."
,Chrysler,Honda,Odyssey,02,system,seat,minivan,power,chrysler,van,engine,vote,leather,drive,make,ex,look,much,big,offer,though,rate,seem,front,DVD,odyssey,automatic,better,time,foot,can,nice,side,air,inch,change,pull,together,dodge,require,still,new,good,smooth,go,hp,add,transmission,gear,bit,lever,dashboard,driver,back,control,door,bag,wait,lx,steering,wheel,five_speed,Test_Drive,third_row,ago,launch,01s,model,priced,version,entertainment,load,comparison,town,feature,01,column,sale,bottom,pleasant,clever,touch,reputation,face,figure,take,suggest,vehicle,score,test,240,horsepower,fuel,sweet,upshift,easier,keep,box,generally
,25,17,14,9,8,8,7,7,7,7,7,7,6,6,6,6,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"October 31, 2001, Wednesday",27 of 163 DOCUMENTS,USA TODAY,Ford Jr. takes on role he was born to play,James Cox and David Kiley,MONEY; Pg. 1B,,1783 words,,,"October 31, 2001",ENGLISH,,,"PHOTO, Color, Jeff Kowalsky, Agence France-Presse; PHOTO, B/W, 1904 photo by AP; GRAPHIC, Color, Source: Ford Motor (CHART); GRAPHIC, B/W, Julie Snider, USA TODAY, Sources: CSI, USA TODAY research (BAR GRAPH); GRAPHIC, B/W, Frank Pompa, USA TODAY, Source: Ford Motor (CHART); PHOTOS, B/W, Ford (2); PHOTOS, B/W, Wieck (2); PHOTO, B/W, AP; Then and now: William Clay Ford Jr., right, speaks with then-CEO Jacques Nasser in May. <>A first: Henry Ford in his first car, which had two speeds but no reverse.",COVER STORY,,,"Copyright 2001 Gannett Company, Inc."
,ford,company,family,marry,Ford,jr.,million,employee,dealer,go,president,Nasser,need,head,chairman,share,quality,time,William_Clay_Ford,Henry_Ford,CEO,new,auto,job,relationship,automaker,spend,take,lot,c.,mrs.,Bill_Ford,executive,decision,tuesday,ceo,blue,tell,know,think,good,fall,become,many,industry,car,lose,sale,downturn,tire,former,seem,supplier,cut,run,member,dividend,best,people,likely,lion,edsel,ii,mrs,Explorer,chief,1999,player,use,found,bleed,replace,late,loyalty,history,henry,management,never,help,constituency,call,business,father,make,change,speak,future,problem,drop,profitable,area,last,blow,line,recall,name,operating,break,key
,31,18,17,10,9,7,7,6,6,6,6,6,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"April 17, 2001, Tuesday",30 of 163 DOCUMENTS,USA TODAY,Polio victims come full circle Memories bubble up at Warm Springs,Anita Manning,LIFE; Pg. 6D,,1410 words,"WARM SPRINGS, Ga.",,"April 17, 2001",ENGLISH,,,"PHOTO, B/W, Michael Schwarz, USA TODAY; PHOTOS, B/W (2); PHOTO, Color, Michael Schwarz, USA TODAY; Reunion: John Steinhauer, 75, left, George Moore, 74, and Jim Stubbs, 73, get together for the first time since they were patients at Warm Springs in 1933-34. Young scamps: Steinhauer, left, Moore and Stubbs in a 1933 publicity shot. FDR: The president, also stricken with polio, often swam with the children at the institute. ""He put us all at ease,"" Steinhauer recalls. Back to visit: John Steinhauer, left, George Moore and Jim Stuffs were polio patients at Warm Springs, Ga., nearly 70 years ago.",,,,"Copyright 2001 Gannett Company, Inc."
,polio,people,child,vaccine,paralyze,time,virus,back,use,many,make,case,institute,illness,reunion,patient,walk,learn,world,syndrome,Steinhauer,USA,become,survivor,last,week,leg,drive,former,infect,symptom,old,pain,early,health,report,FDR,post_polio,look,never,try,drow,three,1933,disease,around,swam,photo,take,six,town,rehabilitation,stricken,water,allow,treat,hard,young,country,muscle,usually,spread,contact,touch,food,suffer,paralysis,cause,know,might,swim,go,push,wheelchairs,nurse,die,contract,age,person,brace,family,gather,1955,fatigue,weakness,afraid,timeline,begin,attend,fall,drop,bring,think,occur,worldwide,inactivate,license,oral,live
,24,7,6,6,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"April 13, 2001, Friday",32 of 163 DOCUMENTS,USA TODAY,'New environmental agenda' looks empty,,NEWS; Pg. 11A,,812 words,,,"April 13, 2001",ENGLISH,,,"GRAPHIC, b/w, Quin Tian, USA TODAY, Source:Center for Responsive Politics(Bar graph)",DEBATE,,,"Copyright 2001 Gannett Company, Inc."
,environmental,new,industry,administration,reduce,promise,standard,incentive,cleaner,president,look,emission,initiative,pollution,Bush,presidential,candidate,bush,visionary,water,replace,era,protection,take,policy,none,may,campaign,link,gass,worldwide,proposal,forest,decision,plan,make,agenda,provide,goal,bold,use,other,endorse,force,amount,embrace,pollutant,plant,around,approach,many,market,work,program,release,another,allow,credit,still,idea,Kyoto_Protocol,White_House,Environmental_Protection_Agency,eight,ago,w.,sound,campaigning,air,call,federal,model,mandate,regulate,litigate,three,office,less,revisionary,rather,introduce,second,generation,order,suite,unilateral,reversal,benefit,whatever,else,merit,notably,retract,tight,propose,arsenic,drink,renege,pledge
,13,8,6,5,5,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 15, 2001, Friday",35 of 163 DOCUMENTS,USA TODAY,Global warming cloud hangs over Bush's stop in Sweden,Judy Keen and Steven Komarow,NEWS; Pg. 6A,,407 words,,,"June 15, 2001",ENGLISH,,,"PHOTO, B/W, Reuters; Headed for protest: Demonstrators carry a giant effigy of Bush.",,,,"Copyright 2001 Gannett Company, Inc."
,Bush,nation,meeting,head,state,emission,protest,global,warming,president,leader,treaty,greenhouse,people,agree,policy,together,meet,several,police,little,European,European_Union,Kyoto_Protocol,Europe,ouml,teborg,rift,create,tension,thursday,reiterate,opposition,1997,require,industrialize,reduce,gas,lead,producer,care,news,conference,feel,include,develop,goal,realistic,disagree,prime,minister,stick,go,ratification,process,choose,another,try,minimize,dispute,climate,change,serious,issue,must,work,dine,thousand,protester,swar,around,ancient,coastal,city,peaceful,begin,demonstrator,baring,bottom,direction,hotel,later,turn,intense,arrest,200,globalization,environmental,five,officer,slightly,injure,largest,arrive,tuesday,stop,third,tour,today
,14,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 9, 2001, Monday",36 of 163 DOCUMENTS,USA TODAY,President accused of being cool on global warming Critics point to administration's delay in planning for international negotiations set for next week,Traci Watson,NEWS; Pg. 7A,,445 words,WASHINGTON,,"July 09, 2001",ENGLISH,,,,,,,"Copyright 2001 Gannett Company, Inc."
,Bush,global,administration,treaty,official,warming,team,State_Department,talk,reject,gas,mandatory,nation,Bonn,U.S.,week,start,negotiate,propose,alternative,bush,work,greenhouse,diplomat,conference,leave,meeting,november,protocol,1997,industry,group,staffer,attend,cut,emission,economy,barely,international,neither,finalize,earlier,critic,accuse,delay,show,low,priority,president,place,stance,best,limit,monday,150,country,converge,resolve,difference,approve,call,reduction,think,lead,rise,temperature,however,announce,head,unusual,uncertainty,close,major,negotiation,late,last,still,process,notify,whether,number,roughly,100,people,state,department,delegation,smaller,partly,focus,former,involved,hash,detail,need,large,contingent,shape,160
,6,5,5,5,5,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 20, 2001, Friday",37 of 163 DOCUMENTS,USA TODAY,U.S. under fire at global warming talks,Traci Watson,NEWS; Pg. 4A,,545 words,"BONN, Germany",,"July 20, 2001",ENGLISH,,,"PHOTO, B/W, Kai Pfaffenbach, Reuters; Outside the conference: Police in Bonn arrest a protester Thursday outside an international meeting aimed at saving the Kyoto Protocol.",,,,"Copyright 2001 Gannett Company, Inc."
,country,talk,nation,together,global,reduce,team,include,United_States,treaty,warming,emission,divide,group,European,pact,president,stand,industrialize,main,last,take,part,often,alliance,interest,motto,work,tie,conference,argument,coalition,bloc,Kyoto_Protocol,U.S.,Bush,Japan,European_Union,despite,reject,combat,focus,save,thursday,draw,sting,criticism,environmentalist,plea,rejoin,yet,limited,role,appear,galvanize,try,salvage,push,rescue,seek,forestall,loophole,undermine,goal,harmful,eve,summit,stress,support,accord,call,pressure,rethink,opposition,make,clear,ground,meeting,leader,major,democracy,willing,listen,continue,think,right,disagreement,involve,credit,properly,manage,forest,soak,carbon,dioxide,air,sternly,punish,fail
,10,6,6,6,4,4,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 10, 2001, Tuesday",42 of 163 DOCUMENTS,USA TODAY,"When school hurts Continued violence has schools, states taking a hard look at bullying",Karen S. Peterson,LIFE; Pg. 6D,,1231 words,,,"April 10, 2001",ENGLISH,,,"GRAPHIC, b/w, Greg L'Heureux, USA TODAY(Illustration); GRAPHIC, b/w, Julie Snider, USA TODAY, Source:U.S. Department of Justice(Bar graph)",,,,"Copyright 2001 Gannett Company, Inc."
