PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"April 4, 2007 Wednesday",2 of 268 DOCUMENTS,USA TODAY,Is Earth near its 'tipping points'?; Scientists: There may be no return from climate change,Dan Vergano and Patrick O'Driscoll,LIFE; Pg. 1D,,1943 words,,,"April 4, 2007",ENGLISH,,,"GRAPHIC, Color, Web Bryant, USA TODAY (ILLUSTRATION) GRAPHIC, B/W, Source: Intergovernmental Panel on Climate Change (CHART)",,COVER STORY,NEWSPAPER,"Copyright 2007 Gannett Company, Inc.                               All Rights Reserved"
,report,warming,climate,rise,increase,scientist,effect,change,ice,water,sea,global,panel,temperature,species,coral,loss,point,gas,risk,melting,research,century,level,intense,tip,adapt,nation,people,flooding,greenhouse,degree,make,last,coastal,disrupt,many,damage,disease,human,suggest,threaten,lead,author,scientific,study,week,mountain,much,region,worse,frequent,heat,wave,world,show,release,warm,average,review,design,scenario,already,schneider,become,try,work,million,worldwide,analysis,summary,higher,*,at,food,ocean,we,significant,glacier,stress,USA,worst_case,Lomborg,involved,friday,whether,plant,slow,might,cheaper,society,back,three,representative,100,include,present,serious,environmental
"August 20, 2007 Monday",39 of 268 DOCUMENTS,USA TODAY,Top 25 Scientific breakthroughs; Great minds make giant leaps,Dan Vergano,MONEY; Pg. 6B,,1429 words,,,"March 23, 2010",ENGLISH,,,,,,NEWSPAPER,"Copyright 2007 Gannett Company, Inc.                               All Rights Reserved"
,find,human,science,new,AP,universe,team,cell,NASA,1998,big,bang,lead,planet,image,mass,neutrinos,happen,genome,today,top,star,scientist,show,gene,warming,climate,change,detect,dna,method,research,dk,ozone,sun,2006,particle,matter,fossil,create,species,intelligent,design,open,600,million,solar,render,USA,Artist,space,life,web,promise,share,explode,away,stun,still,defy,1999,public,map,go,global,grow,hubble,early,astronomy,1992,fingerprinting,university,tool,make,use,dolly,1996,name,world,link,else,might,good,confirm,lower,layer,ray,1995,report,nearby,know,rna,work,important,art,photo,quark,physicist,federal
,9,8,7,6,6,5,5,5,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"December 12, 2007 Wednesday",52 of 268 DOCUMENTS,USA TODAY,"Earthbound mission for NASA: Public health; In a 'paradigm shift,' climate-tracking satellites try to scope out disease outbreaks",Andrea Stone,LIFE; Pg. 7D,,1055 words,,,"February 13, 2008",ENGLISH,,,"GRAPHICS, B/W, Sam Ward, USA TODAY, Source: USA TODAY research (ILLUSTRATION) PHOTO, B/W, Artist's rendering by NASA",,,NEWSPAPER,"Copyright 2007 Gannett Company, Inc.                               All Rights Reserved"
,disease,satellite,NASA,data,outbreak,use,health,flea,rainfall,predict,spread,scientist,plague,public,observation,habitat,rodent,climate,mosquitoe,malaria,virus,information,share,environmental,program,vegetation,temperature,infectious,monitor,warning,bubonic,state,factor,military,combine,mosquito,time,research,official,people,cause,West_Nile,Haynes,able,spot,warn,area,tool,tick,change,creature,early,ability,meeting,make,federal,prevention,world,foreign,mission,measure,soil,moisture,identify,breed,population,control,right,place,fatal,endemic,locate,prediction,analyze,lead,rat,help,naturally,might,determine,Southwest,New_Mexico,ground_cover,public_health,U.S.,orbit,hundred,mile,constellation,may,desert,space,pinpoint,carry,vulnerable,run,mining,topography,prevent
,16,15,14,10,9,7,7,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 26, 2007 Wednesday",57 of 268 DOCUMENTS,USA TODAY,Global warming cast an unrelenting shadow,Elizabeth Weise,LIFE; Pg. 7D,,803 words,,,"February 13, 2008",ENGLISH,,,"PHOTO, B/W, Peter Essick, Aurora/Getty Images PHOTO, B/W, Junying Yu, AFP/Getty Images PHOTO, B/W, Paul Ouboter, Conservation International, via AP PHOTO, B/W, AP PHOTO, B/W, NASA/CXC/UC-Berkeley/N.Smith PHOTO, B/W, European Southern Observatory via AP PHOTO, B/W, Craig Sanders, AP",,,NEWSPAPER,"Copyright 2007 Gannett Company, Inc.                               All Rights Reserved"
,cell,bee,world,scientist,global,new,*,warming,report,stem,species,find,hife,climate,science,scientific,human,dinosaur,colony,nationwide,largest,research,lead,2007,topic,body,panel,fuel,natural,gas,discussion,result,skin,embryonic,study,destroy,brightest,supernova,begin,star,may,finally,million,time,extinction,discover,estimate,feathered,flightless,remain,beekeeper,honeybee,collapse,disorder,abandon,virus,Cell,Science,scale,smallest,punctuate,significant,development,today,highlight,finding,pack,main,story,move,theory,fact,perhaps,important,mind,many,americans,intergovernmental,share,award,former,vice,president,february,unequivocal,humankind,reliance,fossil,coal,oil,blame,shift,political,circle,effect,end,international,talk,fight
,8,7,6,6,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 5, 2007 Monday",77 of 268 DOCUMENTS,USA TODAY,Check it out,Priyanka Dayal and Bruce Rosenstein,MONEY; Pg. 4B,,613 words,,,"March 5, 2007",ENGLISH,,,"PHOTO, B/W",,,NEWSPAPER,"Copyright 2007 Gannett Company, Inc.                               All Rights Reserved"
,report,company,South,retailer,manufacturer,make,economic,improve,lower,hope,court,handbag,much,live,worker,move,state,still,serious,level,school,behind,country,business,way,world,better,fast,magazine,solution,power,warming,health,500,pound,hear,argument,rights,issue,goods,decision,price,line,announce,Southern,Kay,Kloset,rise,1930,half,average,today,income,competitive,condition,good,special,sunday,take,sweeping,look,combination,political,social,factor,lead,rapid,growth,guest,end,segregation,race,relation,provide,impetus,firm,talented,flock,warm,weather,cost,less,regulation,tax,weaker,union,lure,operation,boom,slowed,recent,decade,face,obstacle,population,low,education,although,reformer
,7,5,5,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 19, 2007 Monday",82 of 268 DOCUMENTS,USA TODAY,Book warns of economic collision course; Solution may hinge on living locally,Russ Juskalian,MONEY; Pg. 9B,,632 words,,,"March 19, 2007",ENGLISH,,,"PHOTO, B/W",,MONEY BOOKSHELF,NEWSPAPER,"Copyright 2007 Gannett Company, Inc.                               All Rights Reserved"
,McKibben,book,life,world,better,local,wealth,accumulate,happiness,human,write,change,economics,solution,talk,Deep_Economy,time,stuff,every,new,enough,stone,market,argue,believe,make,nest,have,global,warming,climate,idea,food,farmer,sustainability,call,goal,economy,line,develop,work,Better,mckibben,250,page,live,longer,house,keep,bigger,second,economic,machinery,churn,continuously,grow,stream,problem,accord,author,process,put,chop,block,seem,endangering,planet,ability,sustain,history,bird,roost,branch,toss,hope,hit,invoke,fundamental,tenet,capitalism,population,people,benefit,increase,quality,however,enter,phase,uncoupling,concept,may,odd,another,distinguishing,feature,moment,fly,tree,everything
,9,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 12, 2007 Thursday",83 of 268 DOCUMENTS,USA TODAY,Scientists design building with water walls,Michelle Healy,LIFE; Pg. 6D,,528 words,,,"July 12, 2007",ENGLISH,,,"PHOTO, Color, Carlo Ratti Associati PHOTO, Color, AP",,,NEWSPAPER,"Copyright 2007 Gannett Company, Inc.                               All Rights Reserved"
,water,lightning,squid,go,wednesday,mammoth,carcass,wall,display,word,sculpt,exhibition,open,people,team,curtain,lead,today,think,live,ipod,report,use,electronic,device,player,hit,metal,wash,foot,body,find,giant,suggest,discover,region,scientist,study,ago,Tasmania,building,make,thin,spray,image,fall,upcoming,international,door,anywhere,enter,hold,cafe,behind,project,pavilion,show,2008,world,expo,drop,ceiling,valve,space,inch,apart,control,computer,pattern,flow,leader,sensor,allow,walk,inside,much,fluid,life,architecture,respond,way,ratti,good,idea,room,doctor,treat,patient,suffer,injury,personal,cd,outdoors,storm,letter,detail,case,jogger,receive
,4,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 20, 2007 Thursday",86 of 268 DOCUMENTS,USA TODAY,A green ceiling; Environmental employment opportunities should include the urban poor,Annette Fuentes,NEWS; Pg. 13A,,728 words,,,"February 13, 2008",ENGLISH,,,"GRAPHIC, B/W, Sam Ward, USA TODAY (ILLUSTRATION)",,,NEWSPAPER,"Copyright 2007 Gannett Company, Inc.                               All Rights Reserved"
,people,green,job,energy,economy,green_collar,create,train,investment,solution,movement,urban,community,part,organization,environmentalism,inclusive,health,area,resident,*,change,new,technology,renewable,opportunity,building,efficiency,research,lot,money,clean,make,polar,bear,include,coalition,group,country,live,climate,program,cool,street,training,approach,put,require,take,massive,million,low_income,Green,Jones,Bronx,business,source,boom,vast,design,smart,go,array,collective,act,participate,blossoming,profitable,environmental,give,high,priority,concern,precisely,time,reach,black,promise,can,ph.d.,crowd,founder,national,advocate,poor,question,equal,access,fight,integrate,lily,white,spinoff,around,right,several,count,unless,become
,10,9,8,6,6,6,5,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 16, 2007 Friday",87 of 268 DOCUMENTS,USA TODAY,"China envisions environmentally friendly 'eco-city'; Trio of villages will preserve wildlife and be powered by sun, wind, biofuels",Calum MacLeod,NEWS; Pg. 9A,,1097 words,,,"February 16, 2007",ENGLISH,,,"PHOTO, B/W, Arup GRAPHIC, B/W (MAP) PHOTO, B/W, Calum Macleod, USA TODAY",,,NEWSPAPER,"Copyright 2007 Gannett Company, Inc.                               All Rights Reserved"
,China,Dongtan,project,energy,city,island,environmental,*,new,three,world,wind,use,country,director,environment,SIIC,become,chongm,power,fuel,home,state,source,plant,design,firm,green,emission,Shanghai,British,"25,000",developer,open,urban,behind,size,organic,grow,vehicle,build,last,development,economic,process,pollute,area,protection,administration,major,half,land,toxic,metal,answer,model,company,car,cut,much,generate,road,help,make,raising,need,government,alternative,2020,issue,farm,climate,waste,Chinese,eco_city,carbon_neutral,USA,Arup,mouth,hour,ferry,kind,rise,mudflat,wetland,spoonbill,rare,bird,share,migratory,stop,human,initial,inhabitant,call,schedule,showcase,moment,scientist
,13,12,8,8,7,7,6,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 5, 2007 Wednesday",93 of 268 DOCUMENTS,USA TODAY,Coalition calls for presidential plan,Patrick O'Driscoll,LIFE; Pg. 8D,,203 words,,,"February 13, 2008",ENGLISH,,,,,SCIENCE,NEWSPAPER,"Copyright 2007 Gannett Company, Inc.                               All Rights Reserved"
,lead,Hart,next,warming,presidential,group,action,technology,USA,president,must,global,national,security,opportunity,sake,environment,coalition,former,senator,gary,hart,tuesday,business,bear,job,create,profit,earn,sensible,strong,plan,green,industrialist,ray,anderson,new,base,unveiled,250,recommendation,"1,000",policy,option,candidate,far,three,democrat,answer,initial,request,brief,organizer,meet,aide,call,lay,whose,seek,movement,100,presidency,revamp,industry,way,transformation,depression,world,war,ii,idea,include,cut,greenhouse,emission,200,mpg,fuel,economy,2050,federal,government,billion,innovation,award,DENVER,climate_change,co_chair,non_partisan,Climate_Action_Project,Denver,Barack_Obama,Hillary_Clinton,Bill_Richardson,Franklin_Roosevelt,car_and_truck,carbon_neutral
,3,3,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 13, 2007 Thursday",94 of 268 DOCUMENTS,USA TODAY,Green Exchange takes root soon; Market for trading of greenhouse gas credits to open,Paul Davidson,MONEY; Pg. 3B,,487 words,,,"February 13, 2008",ENGLISH,,,,,,NEWSPAPER,"Copyright 2007 Gannett Company, Inc.                               All Rights Reserved"
,credit,carbon,energy,exchange,broker,offset,market,greenhouse,gas,emission,environmental,trading,expect,company,largest,bank,allowance,trade,voluntary,product,U.S.,investor,new,renewable,partner,evolution,include,today,country,treaty,system,limit,many,example,help,subsidize,plant,price,ton,handle,Green_Exchange,Fusaro,Kyoto,European,cap_and_trade,cast,launch,cause,global,warming,sharply,expand,chairman,consulting,firm,start,quarter,parent,world,biggest,investment,ratify,agree,cut,dioxide,adopt,utility,industry,exceed,cap,buy,fall,take,place,join,corporation,produce,purchase,forest,remove,atmosphere,eager,invest,impose,2008,election,boost,per,typically,complete,however,relatively,small,volume,trader,must,member,third,party
,9,8,7,7,5,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 16, 2007 Friday",97 of 268 DOCUMENTS,USA TODAY,Lakes under massive Antarctic ice sheet surprise scientists; Sheet's collapse would raise global sea levels,Dan Vergano,NEWS; Pg. 6A,,502 words,,,"February 16, 2007",ENGLISH,,,,,,NEWSPAPER,"Copyright 2007 Gannett Company, Inc.                               All Rights Reserved"
,ice,lake,sea,sheet,foot,stream,part,researcher,global,level,NASA,scientist,collapse,accord,West_Antarctic_Ice_Sheet,previously,beneath,contents,report,away,warming,water,subglacial,detect,think,study,satellite,measure,rise,drain,send,character,go,ocean,melt,Antarctica,Bindschadler,region,undetected,hidden,massive,continuously,dump,surround,thursday,acknowledge,know,role,play,draining,extreme,fear,scenario,hold,world,reservoir,fresh,contain,enough,raise,although,100,discovery,glacial,surprised,flow,evenly,author,center,md,"2,300",data,gather,2003,2006,bounced,laser,patch,precise,change,elevation,presentation,make,advancement,meeting,give,position,fall,much,case,express,surprise,quickly,fill,bust,cascade,bit,old,cartoon
,16,10,7,7,5,5,4,4,4,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 30, 2007 Friday",101 of 268 DOCUMENTS,USA TODAY,Nuclear power has too many negatives,,NEWS; Pg. 12A,,799 words,,,"March 30, 2007",ENGLISH,,,"PHOTO, B/W, The Decatur (Ala.) Daily file photo via AP PHOTO, B/W, File photo by Paul Vathis, AP",,DEBATE,NEWSPAPER,"Copyright 2007 Gannett Company, Inc.                               All Rights Reserved"
,nuclear,power,plant,energy,electricity,CSP,USA,*,need,technology,use,solar,world,nuke,report,part,solution,global,warming,new,include,capacity,still,heat,many,plan,concentrate,country,U.S.,Europe,today,article,union,consider,cost,store,government,fuel,target,amount,create,renewable,source,renaissance,mantra,environmentalist,change,without,generate,desert,recent,keep,construct,Trans_Mediterranean,rethink,opposition,correctly,concerned,scientist,willing,march,nonetheless,position,major,caveat,gloss,yes,option,expand,anytime,soon,present,serious,liability,point,building,effective,there,viable,highly,radioactive,waste,the,federal,enforcement,safety,regulation,negligent,reactor,site,spend,pool,potential,terrorism,sabotage,reprocessing,propose,administration,extremely
,21,16,10,8,7,7,6,5,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 5, 2007 Monday",108 of 268 DOCUMENTS,USA TODAY,"How to change lightbulbs?; Market forces, not mandates",,NEWS; Pg. 10A,,575 words,,,"March 5, 2007",ENGLISH,,,"PHOTO, B/W",,,NEWSPAPER,"Copyright 2007 Gannett Company, Inc.                               All Rights Reserved"
,bulb,incandescent,CFLs,take,use,light,consumer,buy,government,time,much,million,mandate,energy,force,toilet,many,cfl,traditional,though,manufacturer,longer,wave,future,electricity,ban,nation,cut,emission,change,2012,make,market,public,largest,sale,persuade,set,goal,rather,efficient,CFL,greenhouse_gas,U.S.,houseware,section,barely,toehold,compact,fluorescent,vastly,outnumber,box,familiar,surprise,cost,least,four,five,contain,trace,amount,mercury,mean,recycl,continue,improve,reach,full,brightness,give,harsher,glow,everything,else,help,explain,something,last,quarter,third,pricier,upfront,pay,typical,save,compare,roughly,life,important,potential,reduction,stun,estimate,every,household,replace,impact,equal
