PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"February 18, 2008 Monday",8 of 218 DOCUMENTS,USA TODAY,Communities move beyond debate and prepare for climate change,Judy Keen,NEWS; Pg. 1A,,386 words,,,"February 29, 2008",ENGLISH,"February 20, 2008",Scott Shuford's name was misspelled in a story on climate change Monday. Shuford is writing a guidebook for the National Oceanic and Atmospheric Administration's Climatic Data Center.,,,,NEWSPAPER,"Copyright 2008 Gannett Company, Inc.                               All Rights Reserved"
,plan,climate,county,*,community,state,rise,task,force,change,way,severe,weather,refuge,coastal,ask,global,adapt,preparedness,king,take,assume,cost,recommend,power,prepare,city,new,airport,California,Miami_Dade,grow,number,concerned,cope,tide,less,snow,area,can,warming,how,though,scarier,heck,incorporate,wash,include,least,five,alaska,work,many,focus,cut,emission,conserve,energy,planner,enough,step,miss,half,picture,write,guidebook,adaptation,markedly,alter,2050,embarking,project,strengthen,levee,335,million,watchdog,group,object,federal,local,government,substantial,taxpayer,problem,office,momentum,ago,keene,n.h,release,november,install,larger,culvert,rain,runoff,bury,line
"January 3, 2008 Thursday",32 of 218 DOCUMENTS,USA TODAY,Disasters the 'new normal',John Holmes,NEWS; Pg. 13A,,677 words,,,"February 13, 2008",ENGLISH,,,"PHOTO, B/W, Jewel Samad, AFP/Getty Images",,,NEWSPAPER,"Copyright 2008 Gannett Company, Inc.                               All Rights Reserved"
,disaster,million,global,effect,people,natural,2007,catastrophe,new,warming,change,future,rise,result,damage,flood,suffer,hurricane,drought,massive,flooding,life,normal,extreme,weather,event,rapid,prepare,respond,hazard,already,world,last,number,mean,economic,toll,affect,measure,lose,devastating,require,least,need,adapt,adaptation,save,strike,much,investment,prevention,Africa,Climate,catalogue,calamity,wildfire,throughout,read,hollywood,script,real,ten,whose,turn,upside,enter,tempt,think,worst,nothing,truth,give,increasingly,visible,instead,represent,call,transformation,nature,transform,planet,scientist,right,onslaught,intensive,storm,heat,wave,curtain,raiser,single,reliably,attribute,trend,cite,clear,clearly,accelerate,generation
,10,8,5,5,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 13, 2008 Tuesday",42 of 218 DOCUMENTS,USA TODAY,Warming to the task,,NEWS; Pg. 10A,,381 words,,,"May 13, 2008",ENGLISH,,,,,DEBATE,NEWSPAPER,"Copyright 2008 Gannett Company, Inc.                               All Rights Reserved"
,emission,pollution,approach,system,target,next,support,time,credit,company,sell,candidate,climate,change,president,issue,trade,limit,idea,government,create,market,acid,rain,difference,auction,make,Bush,cap_and_trade,january,political,democrat,undoubtedly,attentive,tenure,reflect,skepticism,whether,global,warming,real,correctable,hillary,variation,know,cap,greenhouse,gas,detail,vary,widely,basic,total,decline,acquire,surplus,capacity,unable,meet,goal,use,successfully,1990,reduce,sulfur,dioxide,cause,important,remain,among,good,news,occupant,need,aggressive,action,alone,significant,progress,environmental,speech,monday,back,similar,combat,establish,rights,cut,democratic,100,regards,giveaway,potentially,major,revenue,raiser,compete,likely,fore
,5,5,5,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 18, 2008 Tuesday",45 of 218 DOCUMENTS,USA TODAY,House titans fight over energy panel; Dems will have secret ballot on leadership,Ken Dilanian,NEWS; Pg. 8A,,760 words,,,"November 18, 2008",ENGLISH,,,"PHOTO, B/W, Lauren Victoria Burke, AP PHOTO, B/W, Manuel Balce Ceneta, AP",,WASHINGTON,NEWSPAPER,"Copyright 2008 Gannett Company, Inc.                               All Rights Reserved"
,Waxman,Dingell,health,rep.,industry,democrat,fight,environmental,committee,top,help,auto,approach,million,backer,issue,obama,policy,climate,change,care,reform,secret,craft,liberal,know,oversight,though,dingell,legislative,call,raise,accord,center,employee,professional,go,supporter,radio,add,think,2007,moderate,majority,include,former,pass,President_elect,House_Committee,Michigan,Detroit,re_election,Obama,Pelosi,Stupak,brew,among,congressional,shape,course,barack,plan,energy,barring,deal,decide,week,possibly,thursday,ballot,lead,major,consumer,safety,law,henry,waxman,best,hearing,challenging,1981,automobile,staunchest,defender,work,together,seminal,1990,lion,rival,decade,scrap,favor,tough,regulation,overhaul,tout,balance,make
,12,12,5,5,5,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 21, 2008 Monday",49 of 218 DOCUMENTS,USA TODAY,States take on global warming; More than half target emissions,Paul Davidson,NEWS; Pg. 1A,,520 words,,,"February 13, 2008",ENGLISH,,,,,,NEWSPAPER,"Copyright 2008 Gannett Company, Inc.                               All Rights Reserved"
,state,emission,*,gas,plan,target,energy,greenhouse,pollution,global,warming,specific,law,cut,cap,release,several,official,reduce,among,carbon,vehicle,decision,limit,federal,act,business,different,within,similar,coalition,system,next,gov,level,2025,pass,part,California,U.S.,Northeast,cap_and_trade,proposal,stall,half,move,aggressively,combat,cause,eight,schedule,slash,likely,recommend,reduction,seventeen,already,deploy,array,strategy,capping,dioxide,power,plant,promote,efficiency,renewable,sue,administration,bar,impose,stricter,car,court,past,authority,regulate,action,pressure,government,avoid,patchwork,ideal,comply,regulation,pew,center,fellow,six,midwestern,agree,november,border,2050,join,involve,utility,factory,exceed
,17,10,7,5,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 15, 2008 Thursday",51 of 218 DOCUMENTS,USA TODAY,U.S. adds polar bear to 'threatened' list; But government takes no action to reduce warming that melts their Arctic habitat,Oren Dorell,NEWS; Pg. 2A,,538 words,,,"May 15, 2008",ENGLISH,,,"PHOTO, B/W, Connie Barclay, U.S. Fish and Wildlife Service",,,NEWSPAPER,"Copyright 2008 Gannett Company, Inc.                               All Rights Reserved"
,bear,list,polar,Kempthorne,species,decision,threaten,global,act,warming,sea,ice,go,become,endangered,next,Endangered_Species_Act,administration,conservationist,habitat,melting,end,climate,group,agency,step,gas,court,risk,likely,do,allow,include,production,Arctic,Interior,Marine_Mammals_Protection_Act,wednesday,agree,agreement,stop,change,prevent,secretary,dirk,kempthorne,announce,abuse,make,policy,lawyer,accept,view,require,federal,take,reduce,eliminate,impact,exemption,greenhouse,emission,government,fail,address,enforce,law,three,environmental,petition,mean,within,foreseeable,future,extinct,accord,although,population,grow,"10,000",1960,"25,000",today,scientist,tell,interview,u.,administer,designate,critical,happen,recovery,plan,develop,provide,specifics,animal,force,science
,9,7,7,6,5,5,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 1, 2008 Monday",55 of 218 DOCUMENTS,USA TODAY,Clinton's biggest test: How she'll work with Obama; She's a defense hawk with a focus on rights,Susan Page,NEWS; Pg. 1A,,2327 words,,,"December 1, 2008",ENGLISH,,,"PHOTO, Color, Emmanuel Dunand, AFP/Getty Images PHOTO, B/W, Air Force Tech. Sgt. Christopher DeWitt, via AP",,COVER STORY,NEWSPAPER,"Copyright 2008 Gannett Company, Inc.                               All Rights Reserved"
,Clinton,president,issue,Obama,secretary,woman,state,world,Iraq,Pakistan,former,include,rights,foreign,global,eight,program,take,leader,country,new,U.S.,Iran,around,name,obama,give,time,health,challenge,administration,war,idea,trip,call,policy,make,India,White_House,Hillary_Clinton,question,choose,lady,nuclear,set,national,speak,authorize,force,listen,primary,vote,girl,loan,State,Afghanistan,State_Department,military,action,rival,thing,senator,focus,soft,last,change,major,political,security,decision,tough,ambassador,human,decide,2000,campaign,tour,begin,meet,special,work,help,group,invasion,step,visit,1995,microcredit,poor,Israel,Senate,New_York,Democratic,Bill_Clinton,power,commitment,child,interest,today
,26,15,15,13,12,11,9,8,8,8,7,7,7,7,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2
"January 16, 2008 Wednesday",60 of 218 DOCUMENTS,USA TODAY,The little car that could,,NEWS; Pg. 12A,,397 words,,,"February 13, 2008",ENGLISH,,,"PHOTO, B/W, Reuters",,DEBATE,NEWSPAPER,"Copyright 2008 Gannett Company, Inc.                               All Rights Reserved"
,car,country,world,buy,class,make,change,India,"2,500",long,something,inspiring,disconcerting,rise,middle,far,people,think,airbags,challenge,face,million,home,labor,spend,consumer,might,Nano,Western,bicycle,soon,enough,grant,new,nano,foot,tiny,engine,fully,load,well,um,windshield,wiper,piece,automotive,engineering,compare,introduce,century,ago,symbolize,impoverish,many,grow,never,ox,cart,able,around,bustling,street,comfort,safety,ever,imagine,fancy,brak,system,merely,surround,auto,body,shelter,element,dramatic,advance,hard,begrudge,speak,volume,enormous,environmental,social,join,1.1,billion,600,citizen,drive,live,larger,consume,power,harder,grip,climate,matter,curb
,10,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 28, 2008 Friday",62 of 218 DOCUMENTS,USA TODAY,America's vanishing grasslands; Potential profits in rising grain prices land untamed plains in farmers' sights,Sue Kirchhoff and Jeff Martin,MONEY; Pg. 1B,,1943 words,,,"March 28, 2008",ENGLISH,,,"GRAPHIC, B/W, Karl Gelles, USA TODAY, Source: Chicago Board of Trade (LINE GRAPH) PHOTO, Color, Jesse Brown Nelson, South Dakota Department of Tourism & State Development PHOTO, Color, Elisha Page, Argus Leader (Sioux Falls, S.D.), for USA TODAY PHOTO, B/W, Elisha Page, Argus Leader (Sioux Falls, S.D.), for USA TODAY",,COVER STORY,NEWSPAPER,"Copyright 2008 Gannett Company, Inc.                               All Rights Reserved"
,acre,farm,CRP,land,conservation,million,contract,price,program,crop,farmer,South_Dakota,U.S.,increase,federal,ethanol,wildlife,prairie,*,grain,near,soil,grassland,make,production,farmland,include,value,cropland,work,government,landowner,convert,environmental,field,hunt,native,plow,benefit,current,recent,plant,conversion,commodity,high,corn,grower,grass,financial,expire,USA,USDA,open,remain,leave,water,erosion,release,air,change,past,buy,warn,agricultural,nation,billion,last,reduce,many,problem,use,able,sensitive,hold,reserve,cover,crp,thing,far,sense,choose,cattle,farmer_rancher,re_enroll,Wilkinson,s.d,small,town,help,roll,soar,food,energy,policy,purpose,decade,idle,business,reason
,21,15,15,14,10,10,10,9,9,9,8,8,7,6,6,6,6,6,6,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"October 20, 2008 Monday",65 of 218 DOCUMENTS,USA TODAY,"Renewables aren't the answer; Requirement or not, these sources can't meet nation's energy needs",Robert J. Michaels,EDIT; Pg. 12A,,390 words,,,"October 20, 2008",ENGLISH,,,,,,NEWSPAPER,"Copyright 2008 Gannett Company, Inc.                               All Rights Reserved"
,renewable,national,produce,wind,requirement,power,electricity,change,expensive,need,clean,less,vegetation,biomass,job,rather,fuel,leave,efficient,today,require,investment,generation,policy,problem,attack,legislation,industry,U.S.,California,special_interest,lot,secure,unfortunately,source,fill,bill,thing,exclude,hydroelectric,dam,much,hardly,burn,scrap,garbage,pollutant,carbon,coal,real,fewer,fossilize,limit,geothermal,opportunity,environmentally,questionable,solar,remain,prohibitively,turbine,pollute,way,taller,statue,maddeningly,noisy,engender,environmental,resistance,conventional,generator,transmission,opposition,strong,smaller,percentage,2001,generate,blowing,blow,least,valuable,peak,demand,hour,2006,plant,potential,maintain,reliability,continue,backup,price,massive,federal,tax,credit,survive
,6,6,5,5,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 31, 2008 Friday",66 of 218 DOCUMENTS,USA TODAY,Making their case; Obama relishes challenge of a 'difficult time',Kathy Kiely,NEWS; Pg. 1A,,1104 words,,,"October 31, 2008",ENGLISH,,,"PHOTO, Color, Win McNamee, Getty Images PHOTO, B/W, Jae C. Hong, AP",,COVER STORY,NEWSPAPER,"Copyright 2008 Gannett Company, Inc.                               All Rights Reserved"
