PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"September 29, 2005, Thursday",1 of 147 DOCUMENTS,USA TODAY,Debate churns over global warming,,NEWS; Pg. 12A,,696 words,,,"September 29, 2005",ENGLISH,,,"PHOTO, B/W, NASA",Debate,,,"Copyright 2005 Gannett Company, Inc."
,hurricane,global,warming,climate,change,Katrina,storm,water,nature,today,may,gulf,USA,Rita,activist,make,link,increase,frustration,world,lack,administration,due,compare,blame,natural,deserve,generate,gain,activity,shift,warm,strong,use,fossil,fuel,temperature,policy,fast,force,atmosphere,need,keep,take,sea,taxpayer,new,U.S.,European,United_States,Mexico,THC,New_Orleans,attitude,frustrate,editorial,turn,spin,accuse,official,among,other,exploit,tragedy,score,political,point,advance,agenda,view,cause,debate,monday,premature,individual,event,attribute,true,however,fair,action,attempt,stop,rest,move,ahead,slow,multilateral,agreement,mostly,choice,current,underlying,widespread,awareness,severity,problem,press,unsatisfactory
,14,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 15, 2005, Wednesday",10 of 147 DOCUMENTS,USA TODAY,"Yes, globe is warming, even if Bush denies it",,NEWS; Pg. 10A,,662 words,,,"June 15, 2005",ENGLISH,,,,Debate,,,"Copyright 2005 Gannett Company, Inc."
,global,warming,science,climate,cap,*,U.S.,world,change,week,significant,emission,Bush,today,might,issue,future,administration,report,last,lead,action,mandatory,treaty,nation,develop,international,planet,view,problem,influence,generation,yet,link,rise,cause,glacier,body,take,greenhouse,gas,carbon,cost,energy,many,difficult,reduction,industrialize,country,reduce,include,make,joint,statement,national,academy,United_States,USA,debate,scientific,consensus,build,other,attack,***,sole,superpower,tremendous,military,shape,trade,terrorism,environment,100,ask,serious,chance,good,question,mantra,prove,man,guzzling,habit,temperature,shrink,polar,ice,melt,seas,monday,overwhelming,require,urgent,another,undercut,claim,bad,disclose
,9,7,7,5,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 11, 2005, Tuesday",12 of 147 DOCUMENTS,USA TODAY,"High temperatures killed pinyon trees, research team says",Patrick O'Driscoll,NEWS; Pg. 4A,,554 words,DENVER,,"October 11, 2005",ENGLISH,,,"PHOTO, B/W, Dave Powell, Forest Service",,,,"Copyright 2005 Gannett Company, Inc."
,dring,pinyon,die_off,change,tree,pine,hotter,study,Southwest,Arizona,temperature,cause,research,team,report,global,climate,warming,across,species,state,New_Mexico,Breshears,recent,monday,link,kill,researcher,go,able,look,woodland,may,widespread,make,last,another,million,beetle,higher,wetter,condition,Colorado,Utah,high,underlying,massive,author,finding,suggest,similarly,fast,ecosystem,scientist,institution,directly,heating,atmosphere,aggravate,burn,fossil,fuel,require,longer,period,unusual,speed,large,within,three,raise,concern,deal,climatologist,predict,drought,professor,natural,resource,member,institute,previous,detail,bigger,effect,take,decade,region,recover,consequence,include,erosion,loss,vital,food,wildlife,subsistence,nut,crop
,10,9,6,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 26, 2005, Monday",14 of 147 DOCUMENTS,USA TODAY,In the eye of the storms,Dan Vergano,LIFE; Pg. 1D,,1383 words,,,"September 26, 2005",ENGLISH,,,"GRAPHIC, B/W, Marcy E. Mullins, USA TODAY, Source: National Weather Service, National Hurricae Center; PHOTO, Color, NASA; PHOTO, B/w, Tony Giberson, Pensacola News Journal, via AP",COVER STORY,,,"Copyright 2005 Gannett Company, Inc."
,hurricane,storm,people,scientist,activity,ocean,coast,climate,last,tropical,decade,live,home,forecast,coastal,Watkins,many,happen,*,go,change,attention,hit,heat,weather,gulf,average,region,town,period,past,study,rise,number,intensity,1995,science,look,time,global,warming,call,Katrina,Rita,University,Miami,simple,job,big,strike,cycle,level,increase,temperature,crisis,life,commission,disaster,include,major,make,seawater,least,degree,high,rain,accord,lead,shore,nation,find,union,development,peak,along,hot,damage,professor,draw,1926,today,estimate,much,person,instead,category,shift,busy,record,pay,expect,season,sen,suggest,link,clear,directly,long,base
,31,10,8,7,7,6,6,6,5,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"July 18, 2005, Monday",15 of 147 DOCUMENTS,USA TODAY,Global warming roils Congress,Dan Vergano,LIFE; Pg. 7D,,566 words,,,"July 18, 2005",ENGLISH,,,"PHOTO, B/W, Alex Wong, Getty Images",,,,"Copyright 2005 Gannett Company, Inc."
,committee,global,Barton,scientific,energy,request,warming,climate,make,scientist,study,science,three,similar,researcher,temperature,Boehlert,heat,research,paper,investigation,call,latest,chapter,1998,chairman,rep,boehlert,rep.,letter,data,information,cite,political,review,reply,question,consensus,increase,century,argument,debate,Congress,long_running,U.N.,University,war,word,boil,powerful,republican,brawl,misguid,illegitimate,fight,feud,confine,website,journal,dispute,center,conflict,view,examine,friday,sherwood,send,strongly,worded,rebuke,direct,chief,joe,condemned,extensive,june,financial,finance,panel,work,write,purpose,seem,intimidate,rather,learn,substitute,congressional,peer,henry,waxman,complaint,separate,last,week,advancement,statement,spokesman,always
,9,6,6,5,5,5,4,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 15, 2005, Wednesday",17 of 147 DOCUMENTS,USA TODAY,Evidence is underwhelming,James M. Inhofe,NEWS; Pg. 10A,,409 words,,,"June 15, 2005",ENGLISH,,,,,,,"Copyright 2005 Gannett Company, Inc."
,Kyoto,global,hockey,stick,graph,dr.,environment,governance,view,alarmist,intent,climate,change,cap,carbon,dioxide,emission,professor,show,call,still,cost,science,uncertainty,Mann,IPCC,today,debate,planet,oppose,give,whose,questionable,***,despite,lack,scientific,consensus,warrant,measure,heat,summer,scariest,effect,promote,mandatory,classic,case,ready,fire,aim,recently,foundation,alarmism,construct,shape,purport,link,rise,temperature,human,activity,recent,research,discredited,error,improper,methodology,canada,statistician,agree,method,preferentially,produce,none,data,hans,vo,storch,contributor,rubbish,methodologically,dr,rob,van,lead,author,make,mistake,include,reconstruction,researcher,spite,seek,solve,problem,establish,exist,senate
,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 18, 2005, Monday",18 of 147 DOCUMENTS,USA TODAY,"Still dangerous, impractical",Michael Mariotte,NEWS; Pg. 13A,,422 words,,,"July 18, 2005",ENGLISH,,,,,,,"Copyright 2005 Gannett Company, Inc."
,nuclear,power,change,make,reactor,industry,continue,*,new,energy,technology,address,climate,today,add,***,radioactive,waste,program,every,billion,taxpayer,dollar,already,emission,several,difference,cost,prevent,use,United_States,debate,oppose,view,terrorism,reason,resume,go,without,single,viable,order,october,1973,moribund,decade,leave,market,force,public,opinion,deserve,road,oblivion,nothing,attractive,it,dangerous,method,ever,devise,produce,electricity,scientifically,defensible,elude,nation,building,simply,tempt,terrorist,target,across,country,donate,heavily,subsidize,past,provide,confirmation,private,investment,reject,obsolete,mature,definition,shoulder,burden,spur,possible,role,vastly,overstate,fuel,chain,free,greenhouse,gas,accord
,15,10,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 18, 2005, Friday",20 of 147 DOCUMENTS,USA TODAY,'Earth' has one heckuva warm-up act,Bill Keveney,LIFE; Pg. 13E,,693 words,,,"November 18, 2005",ENGLISH,,,"PHOTOS, B/W, TBS (3); PHOTO, B/W, Getty Images",,,,"Copyright 2005 Gannett Company, Inc."
,comedy,show,David,warming,issue,America,global,environmental,tape,include,people,special,Laurie_David,Larry_David,NRDC,Earth,Louis_Dreyfus,perform,earth,raise,night,comic,call,admit,event,ask,viewer,virtual,march,sign,subject,matter,point,politically,whether,already,bit,maher,serious,great,however,triumph,moment,TBS,Bill_Maher,hear,travel,environmentalist,fight,rare,duet,sunday,p.m.,et,pt,design,entertain,awareness,vignett,sketch,thursday,feature,mcgraw,brainchild,whose,credential,producer,trustee,wife,tv,famous,crank,country,government,exist,human,cause,start,work,solution,previous,version,televise,fund,rather,seek,money,join,effort,stopglobalwarming.org,worried,put,damper,evening,fun,success,aid,homeless,divisive
,8,6,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 10, 2005, Monday",22 of 147 DOCUMENTS,USA TODAY,Credit New Mexico for its energy policy,,NEWS; Pg. 12A,,501 words,,,"October 10, 2005",ENGLISH,,,,Debate,,,"Copyright 2005 Gannett Company, Inc."
,energy,effort,conservation,make,editorial,administration,issue,state,winter,help,family,fuel,New_Mexico,include,governor,new,implement,invest,alternative,nation,price,gas,policy,climate,change,work,standard,try,create,clean,renewable,legislature,million,start,crisis,end,meet,remove,reality,barely,limit,afford,conserve,Bush,agree,wholeheartedly,today,hogwash,recent,little,late,however,among,ignore,long,record,wednesday,unlike,know,drill,way,dilemma,unless,develop,technology,massive,domestic,source,continue,pay,heavy,pump,foreign,department,secretary,hard,take,country,forward,mandate,stringent,efficiency,air,conditioner,roll,back,without,success,national,leader,join,association,agenda,result,support,700,tax,exemption,hybrid
,11,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 15, 2005, Wednesday",25 of 147 DOCUMENTS,USA TODAY,Christian right's alliances bend political spectrum,Susan Page,NEWS; Pg. 1A,,2037 words,WASHINGTON,,"June 15, 2005",ENGLISH,,,,,,,"Copyright 2005 Gannett Company, Inc."
,issue,evangelicals,abortion,christians,conservative,religious,rights,liberal,political,evangelical,among,call,global,nation,international,work,Christian,coalition,ally,agenda,warming,sen,leader,human,politics,help,aim,push,include,jew,policy,alliance,marriage,group,organization,environmentalist,offer,surprising,people,movement,state,*,the,freedom,pass,promote,National_Association,Evangelicals,American,Washington,priority,plan,foreign,lead,broader,continue,head,make,cause,change,represent,republican,bill,seek,support,range,side,law,trafficking,fundamentalist,woman,take,former,aide,last,within,creation,Sudan,Gloria_Steinem,White_House,same_sex,many,recent,force,place,persecution,legislation,rape,fight,process,forge,activist,congressional,black,caucus,social,care,join,develop
,20,13,12,10,10,9,9,8,8,7,7,6,6,6,6,6,6,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"December 28, 2005 Wednesday",27 of 147 DOCUMENTS,USA TODAY,"Big steps forward, some steps back; Amid exploration of mysterious worlds come some more earthbound debates",Dan Vergano,LIFE; Pg. 7D,,608 words,,,"December 28, 2005",ENGLISH,,,,,,NEWSPAPER,"Copyright 2005 Gannett Company, Inc.                               All Rights Reserved"
,evolution,science,time,research,liquid,find,Science,landing,freeze,moon,world,live,thing,last,decision,intelligent,design,teach,universe,make,really,biologist,species,show,lake,genetic,among,international,mission,discover,farther,comet,gene,genome,researcher,study,scientist,prediction,temperature,climate,Saturn,Titan,Dover,Kansas,NASA,enjoy,best,daring,worst,stem,cell,scandal,rock,biomedical,set,backdrop,debate,theory,evolve,earlier,form,life,fraca,pa.,conclude,week,federal,judge,class,advocate,maintain,feature,include,complex,arise,chance,state,school,board,controversial,rewrite,classroom,standard,allow,view,way,bad,give,happen,lot,place,editor,chief,magazine,good,every,area,biology,indeed
,5,5,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 25, 2005, Monday",29 of 147 DOCUMENTS,USA TODAY,"Step by step, NASA is doing what it takes to 'fix the culture'",Sean O'Keefe,NEWS; Pg. 13A,,680 words,,,"June 08, 2005",ENGLISH,,,,The Forum,,,"Copyright 2005 Gannett Company, Inc."
,NASA,culture,space,progress,fix,change,employee,agency,organization,mean,exploration,turn,program,safety,work,take,measurable,other,national,manage,find,shuttle,organizational,develop,measure,design,method,achievement,fact,solid,initiative,relationship,show,process,set,help,create,success,still,community,report,opinion,motivate,happen,risk,Columbia_Accident_Investigation_Board,Columbia,small,step,giant,leap,2003,contribute,much,accident,mechanical,failure,board,assess,need,thus,bear,largest,complex,ever,past,model,understanding,specific,aspect,across,"19,000",test,intervention,implement,strategy,reach,throughout,end,2005,activity,equate,already,recent,survey,february,2004,october,look,nine,fundamental,attribute,include,management,credibility,teamwork,relation,climate,upward
,16,10,6,6,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 22, 2005, Friday",33 of 147 DOCUMENTS,USA TODAY,Details take fun out of new A6,James R. Healey,LIFE; Pg. 10D,,1402 words,"PAGE 215, AUDI A6 INFOTAINMENT/M",,"April 27, 2005",ENGLISH,,,,,,,"Copyright 2005 Gannett Company, Inc."
,car,the,time,control,MMI,seem,list,brand,drive,change,clock,model,power,feel,brake,Audi,page,215,audi,try,many,transmission,quattro,nice,rate,all_wheel,new,button,set,push,mode,back,make,well,it,less,enough,test,automatic,standard,hit,foot,better,door,open,steering,price,range,rpm,bag,mile,inch,infotainment,mmi,operating,instruction,find,though,regular,adjust,2005,sedan,knob,manual,index,but,version,turn,previous,point,logic,function,auto,need,rest,quality,problem,keep,buy,magazine,system,lead,available,without,close,middle,sport,interior,leather,ok,pedal,go,light,gear,slight,upshift,behavior,hard,space
,16,9,7,7,7,6,6,6,6,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"April 22, 2005, Friday",42 of 147 DOCUMENTS,USA TODAY,Details take fun out of new A6,James R. Healey,LIFE; Pg. 10D,,1434 words,"PAGE 215, AUDI A6 INFOTAINMENT/M",,"April 27, 2005",ENGLISH,,,,,,,"Copyright 2005 Gannett Company, Inc."
,car,n*,time,control,MMI,seem,list,brand,model,drive,change,clock,power,feel,nThe,215,try,many,transmission,brake,quattro,nice,rate,rpm,Audi,nThe_A6,all_wheel,page,new,audi,button,set,push,mode,back,make,well,less,enough,test,automatic,standard,hit,foot,better,door,open,steering,price,range,bag,mile,inch,infotainment,mmi,operating,instruction,find,though,regular,adjust,2005,sedan,knob,manual,index,version,turn,previous,point,logic,function,auto,need,rest,problem,keep,buy,magazine,system,lead,available,without,close,middle,sport,interior,leather,ok,pedal,go,light,gear,slight,upshift,behavior,hard,space,long
,16,14,7,7,7,6,6,6,6,6,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"May 17, 2005, Tuesday",50 of 147 DOCUMENTS,USA TODAY,Forecasters predictbig season for hurricanes,Patrick O'Driscoll,NEWS; Pg. 3A,,435 words,,,"May 17, 2005",ENGLISH,,,,Nation,,,"Copyright 2005 Gannett Company, Inc."
,hurricane,storm,tropical,forecast,least,state,last,Atlantic,monday,another,season,many,team,outlook,major,wind,mph,federal,climate,predict,nine,scientist,strike,reach,seven,become,three,continue,people,cause,billion,damage,six,likely,monsoon,find,NOAA,U.S.,Bell,forecaster,bruising,lead,soon,know,whether,expect,coast,official,five,111,annual,rebuild,four,crisscross,kill,dozen,dollar,mainland,blame,immediate,death,fatality,leave,costliest,ever,thing,make,seem,extra,intense,landfall,meteorologist,prediction,center,begin,june,run,nov,peak,august,october,average,develop,status,eight,past,tally,exceed,trend,decade,longer,global,pattern,ideal,condition,warmer,water,summer,western
,13,7,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 25, 2005, Friday",52 of 147 DOCUMENTS,USA TODAY,Protect energy policy from big oil,,NEWS; Pg. 11A,,278 words,,,"March 01, 2005",ENGLISH,,,,DEBATE,,,"Copyright 2005 Gannett Company, Inc."
,policy,tobacco,corporation,global,treaty,administration,protect,energy,Bush,take,interest,conflict,oil,big,health,much,help,hurricane,ExxonMobil,formally,know,enter,force,despite,effort,derail,kyoto,protocol,effect,140,nation,news,feb,community,important,step,people,environment,commercial,morris,altria,plan,keep,profit,increasingly,isolationist,position,spite,resounding,international,concern,climate,change,appear,partial,prescription,front,group,back,mirror,face,opposition,include,measure,interference,subsidiary,affiliate,country,ratify,need,similar,regulation,executive,director,relief,admirable,former,president,encourage,we,give,money,tsunami,victim,better,americans,devastate,recent,yet,cloud,remain,fla,cover,story,monday,Kyoto_Protocol,Framework_Convention,Tobacco_Control,Philip
,5,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 29, 2005, Thursday",57 of 147 DOCUMENTS,USA TODAY,Shed oil dependence,,NEWS; Pg. 12A,,554 words,,,"September 29, 2005",ENGLISH,,,,Debate,,,"Copyright 2005 Gannett Company, Inc."
