PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"August 31, 2017 Thursday",2 of 252 DOCUMENTS,USA TODAY,Did climate change intensify Harvey?,,NEWS; Pg. 7A,,426 words,,,"August 31, 2017",ENGLISH,,,,,,NEWSPAPER,"Copyright 2017 Gannett Company, Inc.                               All Rights Reserved"
,climate,change,rainfall,storm,Harvey,week,extreme,event,increase,flooding,tropical,greenhouse,gas,question,effort,make,produce,history,warmer,water,nation,serious,cost,afford,Texas,Northeast,floodwater,rage,debate,possible,link,activist,point,historic,epic,exactly,type,forecast,occur,globe,warm,skeptic,cite,long,list,slam,buildup,atmosphere,right,way,premature,unseemly,search,rescue,continue,definitive,answer,scientist,conduct,attribution,study,likelihood,though,conclusion,cause,almost,surely,worse,total,leave,part,look,rival,snowfall,accumulation,blizzards,fact,continental,record,consistent,basic,science,normal,temperature,place,gulf,provide,heat,energy,fuel,formation,rapid,strengthen,air,hold,vapor,turn,rise,sea
"April 28, 2017 Friday",20 of 252 DOCUMENTS,USA TODAY,"So why don't they believe it?; Political disunity, social media, lack of accepted experts accent our differences",Alia E. Dastagir USA TODAY,NEWS; Pg. 8A,,1257 words,,,"April 28, 2017",ENGLISH,,,"photo John Minchillo, AP",,,NEWSPAPER,"Copyright 2017 Gannett Company, Inc.                               All Rights Reserved"
,science,scientist,people,show,trust,change,human,political,we,climate,institution,think,something,view,scientific,truth,cause,many,vaccine,reject,Trump,American,Kahan,president,accept,teach,public,social,century,confidence,war,though,new,believe,polarization,information,fact,agree,search,autism,research,find,belief,study,curiosity,advocate,have,tell,education,worried,undermine,evolution,esteem,fear,survey,decline,americans,data,press,run,hold,gap,issue,nuclear,love,whether,group,identity,know,media,partisan,grave,make,way,thing,unnaturally,high,really,actually,motivate,idea,work,help,likely,problem,intuition,Science,Nyhan,thousand,ally,fill,street,nation,capital,march,importance,era,ominously,value
,17,11,11,9,8,7,6,6,6,5,5,5,5,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1
"November 9, 2017 Thursday",22 of 252 DOCUMENTS,USA TODAY,Climate report won't stop EPA rollback; Government targets Clean Power Plan,"Ledyard King, USA TODAY",NEWS; Pg. 3A,,414 words,,,"November 9, 2017",ENGLISH,,,,,,NEWSPAPER,"Copyright 2017 Gannett Company, Inc.                               All Rights Reserved"
,climate,change,Pruitt,EPA,rule,authority,Trump,administration,carbon,pollution,Clean_Power_Plan,release,report,global,take,step,impact,replacement,last,curb,give,implement,regulation,legal,president,Clean_Air_Act,Congress,National_Climate_Assessment,newly,government,lay,blame,rise,temperature,human,activity,deter,roll,back,aim,combate,necessary,evaluate,require,issue,subsequent,focus,tell,today,tuesday,bear,withdrawal,begin,formal,process,dismantling,intend,emission,contribute,warming,sue,block,attorney,general,never,sweeping,public,comment,friday,decision,supreme,court,suspend,challenge,resolve,create,great,uncertainty,regulatory,framework,draft,legally,defensible,environmental,group,threaten,action,job,administer,statute,explain,limit,act,base,we,dismiss,hoax,perpetrate,gain
,5,5,5,5,4,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 8, 2017 Thursday",23 of 252 DOCUMENTS,USA TODAY,Hawaii passes law binding it to Paris climate agreement; State is nation's first to adopt measures defying U.S. withdrawal,"John Bacon, @jmbacon, USA TODAY",NEWS; Pg. 5A,,500 words,,,"June 8, 2017",ENGLISH,,,"photo Tor Johnson, AP",,,NEWSPAPER,"Copyright 2017 Gannett Company, Inc.                               All Rights Reserved"
,state,climate,mayor,agreement,administration,change,Trump,sign,nation,commitment,effort,take,Paris,Hawaii,decision,withdraw,reduce,greenhouse,gas,emission,level,encourage,action,island,bill,signing,impact,public,without,support,form,last,week,address,possible,city,U.S.,Ige,Honolulu,legislation,boost,drive,toward,despite,global,accord,measure,design,monitor,rise,sea,agricultural,practice,improve,soil,health,crucial,environmentally,fragile,applaud,legislature,deliver,earth,leave,child,committed,environmental,stewardship,real,regardless,other,may,tuesday,hawaii,hand,tide,higher,biodiversity,shrink,coral,bleach,coastline,eroding,weather,become,extreme,must,acknowledge,reality,professor,policy,atmospheric,science,negotiator,essentially,go,alone,federal,excited
,8,6,5,4,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 25, 2017 Tuesday",27 of 252 DOCUMENTS,USA TODAY,"Al Gore's 'Inconvenient Sequel' brings climate change to the trump era; New film is an updated, more intimate view","Patrick Ryan, USA TODAY",LIFE; Pg. 1D,,485 words,,,"July 25, 2017",ENGLISH,,,photo photos by Jensen Walker,,,NEWSPAPER,"Copyright 2017 Gannett Company, Inc.                               All Rights Reserved"
,Gore,climate,people,president,change,environmental,follow,film,effect,documentary,inconvenient,truth,sequel,around,move,world,issue,show,city,renewable,Trump,Paris,Truth,june,announce,decision,withdraw,accord,international,agreement,aim,help,country,reduce,devastating,blow,former,vice,tireless,activist,draw,heat,2006,back,theater,friday,expand,nationwide,aug,premier,january,respectable,review,despite,several,conversation,unable,sway,call,global,warming,expensive,hoax,try,hard,though,hope,spring,eternal,think,realistic,prospect,sense,love,prove,wrong,go,hold,breath,work,loosely,frame,presentation,give,list,finding,weather,event,tout,alternative,burn,fossil,fuel,real,filmmake,duo,across,globe,meet
,8,5,5,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 25, 2017 Tuesday",48 of 252 DOCUMENTS,USA TODAY,Brrd count: Penguin population in frozen Antarctica is 12 million,"Doyle Rice, @usatodayweather, USA TODAY",NEWS; Pg. 3A,,491 words,,,"April 25, 2017",ENGLISH,,,graphic,,,NEWSPAPER,"Copyright 2017 Gannett Company, Inc.                               All Rights Reserved"
,penguin,Antarctica,Naveen,species,report,count,climate,change,time,continent,world,past,data,population,Antarctic_Peninsula,many,survey,five,emperor,chinstrap,gentoo,real,way,impact,scientific,place,whole,warming,location,dramatic,increase,study,peninsula,release,Adélie,have,ever,wonder,know,million,fame,flightless,waddling,bird,comprehensive,researcher,calculate,number,freeze,bottom,macaroni,state,compile,job,decade,government,lawyer,dr.,dolittle,go,amount,six,bother,best,track,ocean,health,pristine,laboratory,need,baseline,science,community,assess,head,environmental,organization,found,1987,common,ad?ly,decline,accord,main,factor,affirmation,radical,part,stick,toward,live,warm,whopping,degree,anywhere,earth,give,we,unbelievably
,14,6,6,5,4,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 9, 2017 Thursday",52 of 252 DOCUMENTS,USA TODAY,16 states see their warmest February ever; 145 million Americans revel in record temps,"Doyle Rice, @usatodayweather, USA TODAY",NEWS; Pg. 2A,,411 words,,,"March 9, 2017",ENGLISH,,,"photo Brendan Smialowski, AFP/Getty Images",,,NEWSPAPER,"Copyright 2017 Gannett Company, Inc.                               All Rights Reserved"
,record,winter,february,state,warmest,climate,scientist,ever,average,experience,temperature,last,tally,change,warmth,find,precipitation,inch,second_warmest,NOAA,might,begin,120,ago,feel,way,nearly,half,americans,whose,bask,overall,country,tracking,start,1895,federal,announce,wednesday,sixteen,soar,7.3,degree,1954,warmer,city,town,across,nation,incredible,"11,743",high,compare,418,low,meteorologist,guy,blame,play,role,unusual,clear,strong,link,van,senior,researcher,use,observational,data,computer,model,greenhouse,gas,emission,increase,probability,extreme,heat,roughly,threefold,statistician,notable,weather,anomaly,include,tornado,third,cold,though,national,total,8.22,1.43,rank,rain,snow,reach,extraordinary
,15,10,9,5,4,4,4,4,4,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 10, 2017 Monday",58 of 252 DOCUMENTS,USA TODAY,Trump's change of U.S. direction at G-20; President pursued his own agenda with individual nations,"Gregory Korte, @gregorykorte, USA TODAY",NEWS; Pg. 1A,,1128 words,,,"July 10, 2017",ENGLISH,,,,,,NEWSPAPER,"Copyright 2017 Gannett Company, Inc.                               All Rights Reserved"
,Trump,president,meeting,world,deal,relationship,summit,Putin,leader,trade,bilateral,meet,national,one_on_one,talk,often,agree,climate,business,prime,minister,group,issue,global,trump,right,putin,many,close,NATO,part,instead,series,separate,sideline,interference,election,focus,end,great,agreement,center,stage,stand,way,engage,go,seek,change,security,make,broader,worldview,nation,international,bureaucracy,plus,press,economic,three,foreign,seem,behind,adviser,share,positive,former,think,campaign,sunday,believe,show,people,formula,friend,lot,together,thing,Paris,U.S.,Russia,American,Singapore,Mexico,attend,really,use,conference,space,generously,provide,host,conduct,pursue,agenda,western,trading,partner,throughout
,23,16,8,8,8,7,6,6,5,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 28, 2017 Monday",59 of 252 DOCUMENTS,USA TODAY,Hurricane Harvey will test Trump's leadership,James Lee Witt,NEWS; Pg. 7A,,505 words,,,"August 28, 2017",ENGLISH,,,,,,NEWSPAPER,"Copyright 2017 Gannett Company, Inc.                               All Rights Reserved"
,president,new,natural,disaster,Trump,must,prepare,normal,long,need,lead,help,climate,change,storm,visit,back,effort,cope,use,voice,thing,go,federal,recovery,know,process,often,bring,different,home,work,nation,infrastructure,way,building,child,event,role,today,White_House,Long,standard,expect,increase,frequency,size,due,couple,news,coverage,bully,pulpit,generation,face,historic,national,already,start,speak,right,important,scene,soon,practical,tuesday,trip,reassure,texan,resource,government,stay,rebuild,stage,critical,morale,relief,worker,unfold,presidential,together,official,jurisdiction,normally,communicate,appoint,emergency,management,agency,excellent,experience,choice,button,push,do,responsibility,support,local,state
,7,7,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 2, 2017 Friday",62 of 252 DOCUMENTS,USA TODAY,"Out of pact, u.s. has rough road ahead; Paris exit jeopardizes ability to negotiate, experts warn","Marco della Cava, Jon Swartz, Paul Davidson and Nathan Bomey, USA TODAY",MONEY; Pg. 1B,,723 words,,,"June 2, 2017",ENGLISH,,,"photo Jim Lo Scalzo, epa",,,NEWSPAPER,"Copyright 2017 Gannett Company, Inc.                               All Rights Reserved"
,energy,decision,job,Trump,U.S.,coal,make,renewable,climate,agreement,likely,industry,leave,solar,Paris,president,good,economist,change,global,leader,negotiate,run,ceo,tweet,note,result,gas,wind,Zandi,immediate,campaign,expert,pact,help,ability,clean,technology,world,accord,seat,table,solution,impact,include,economic,business,continue,effect,reduce,cost,employment,already,shrink,natural,many,home,thousand,Microsoft,White_House,clean_energy,thursday,exit,give,small,lift,oil,persistent,promise,warn,time,controversial,drop,international,stem,may,hamper,nation,financially,capitalize,globe,shift,resource,jeopardize,new,development,sell,insight,hungry,cheap,biggest,danger,lose,talk,market,analysis,able,bilateral,export
,9,7,7,7,7,6,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 3, 2017 Tuesday",76 of 252 DOCUMENTS,USA TODAY,OPEC and Trump power big changes in energy; Many U.S. producers see reasons for optimism as they begin the new year,"Bill Loveless, Special for USA TODAY",MONEY; Pg. 2B,,442 words,,,"January 3, 2017",ENGLISH,,,photo Deepwater Wind,,,NEWSPAPER,"Copyright 2017 Gannett Company, Inc.                               All Rights Reserved"
,2016,U.S.,energy,administration,oil,natural,gas,wind,2017,solar,likely,2015,Trump,though,may,price,end,company,market,nuclear,unprofitable,reactor,save,state,set,agree,nation,production,nearly,still,promise,back,climate,temperature,record,expect,add,grid,billion,cubic,foot,per,New_York,Illinois,OPEC,EIA,producer,kind,reason,optimism,start,income,spell,trouble,greener,hue,among,driller,recent,uptick,suggest,slump,persist,aim,build,gain,electric,power,struggle,sector,point,victory,action,last,list,notable,development,stage,americans,produce,use,time,2008,cut,output,bid,boost,recover,control,cartel,member,join,curtail,1.8,million,barrel,early,whether,deal
,7,7,6,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 25, 2017 Friday",81 of 252 DOCUMENTS,USA TODAY,"Stalled on health care, Trump hits high gear on his energy agenda; U.S. policy has taken 'a 180-degree turn' under his direction","Michael Collins, USA TODAY",NEWS; Pg. 5A,,466 words,,,"August 25, 2017",ENGLISH,,,"photo Evan Vucci, AP",,,NEWSPAPER,"Copyright 2017 Gannett Company, Inc.                               All Rights Reserved"
,energy,Trump,administration,gas,oil,rule,policy,president,executive,order,federal,regulation,methane,well,climate,make,turn,change,move,new,less,environmental,group,work,several,company,U.S.,Congress,Sierra_Club,barely,settle,january,sign,open,door,construction,controversial,xl,pipeline,start,follow,week,lift,moratorium,coal,leasing,land,block,carbon,emission,overturn,ban,drilling,delay,intend,prevent,leak,announce,plan,pull,agreement,promise,repeal,replace,suffer,stun,defeat,prospect,pledge,far,certain,manage,forge,ahead,initiative,aim,independent,dominant,force,consequential,sense,direction,essentially,ago,expert,school,much,early,focus,dismantling,put,place,protect,environment,fight,country,dependent,fossil,fuel
,10,9,6,5,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 21, 2017 Tuesday",82 of 252 DOCUMENTS,USA TODAY,Germany is on track to meet our targets,Peter Wittig,NEWS; Pg. 5A,,341 words,,,"November 21, 2017",ENGLISH,,,,,,NEWSPAPER,"Copyright 2017 Gannett Company, Inc.                               All Rights Reserved"
,Germany,emission,reduce,electricity,go,energy,coal,2030,2016,renewable,wind,carbon,last,power,plant,agree,change,challenge,Paris_Agreement,EU,United_States,ago,ratify,pledge,greenhouse,gas,relative,1990,already,drop,track,meet,target,largest,economy,contribute,significantly,par,common,goal,share,produce,reach,new,high,almost,vs.,solar,biomass,allow,we,footprint,160,million,ton,dioxide,roughly,annual,state,recent,estimate,show,slightly,0.4,happen,mean,apart,sun,primary,domestic,source,integrate,market,fill,gap,cloudy,export,record,amount,excess,neighbor,major,political,force,phaseout,medium,term,law,five,offline,2019,essential,industrialization,19th,century,business,job,21st,manufacturer
,7,5,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 24, 2017 Monday",83 of 252 DOCUMENTS,USA TODAY,Science is fine; politicizing it is what we don't like,,NEWS; Pg. 6A,,432 words,,,"April 24, 2017",ENGLISH,,,,,,NEWSPAPER,"Copyright 2017 Gannett Company, Inc.                               All Rights Reserved"
,science,scientist,fact,evidence,march,politics,climate,people,scientific,far,leave,much,trust,disappearing,ice,decade,trend,degree,think,question,global,call,time,anti_science,thousand,advocate,turn,around,country,saturday,protest,attack,administration,nobody,disputing,dispute,interpretation,need,back,middle,way,long,understand,liberal,interpret,politician,corporate,head,religious,leader,anyone,group,political,agenda,stay,away,possible,make,bold,claim,cap,within,do,discredit,denier,dream,stick,avoid,gloom,doom,prediction,reek,discussion,begin,christopher,linn,join,hip,least,past,bring,open,probably,healthy,development,rejection,corruption,ideology,seek,employ,stalk,horse,politically,motivate,wish,list,especially,progressive,situation
,11,6,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 6, 2017 Friday",96 of 252 DOCUMENTS,USA TODAY,Acura MDX still looking solid after minor changes; Little stuff adds up for this sales star of three-row SUVs,"Chris Woodyard, @ChrisWoodyard, USA TODAY",MONEY; Pg. 6B,,589 words,,,"January 6, 2017",ENGLISH,,,photo MullenLowe,,,NEWSPAPER,"Copyright 2017 Gannett Company, Inc.                               All Rights Reserved"
,MDX,feel,change,make,little,Acura,2017,sale,seem,luxury,suv,upscale,without,go,become,find,automatic,overall,engine,gas,mile,gallon,system,much,transmission,mdx,bit,rather,good,though,acura,remain,solid,grille,helpful,road,package,wheel,add,power,choice,290,horsepower,city,mpg,highway,version,per,save,quite,notice,button,accustom,never,infotainment,controls,nine_speed,crossover,polish,crown,long,star,lineup,tweak,drastic,midcycle,refresh,apparently,deem,require,message,mess,thing,last,bill,time,result,smart,certainly,enough,impression,drop,kid,school,ostentatious,model,exactly,bowl,typical,owner,bolder,electric,parking,brake,headlight,really,curvy,intermittent,traffic
,8,6,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 29, 2017 Wednesday",102 of 252 DOCUMENTS,USA TODAY,How Trump's energy order affects You; Biggest factors shaping U.S. industry are market forces -- and that's not changing anytime soon,Nathan Bomey @NathanBomey | USA TODAY,MONEY; Pg. 1B,,866 words,,,"March 29, 2017",ENGLISH,,,"photo File photo by Scott Olson, Getty Images",,,NEWSPAPER,"Copyright 2017 Gannett Company, Inc.                               All Rights Reserved"
,oil,gas,coal,U.S.,price,natural,energy,job,industry,Trump,increase,accord,solar,production,market,2016,recent,back,electricity,go,long,fuel,administration,factor,change,fall,drilling,make,report,per,low,remain,producer,tuesday,reverse,federal,land,regulation,contribute,lower,bolster,gasoline,demand,force,order,promise,reason,cheaper,available,2015,president,plant,slash,may,impact,avoid,analyst,firm,source,utility,extraction,new,gain,lift,crude,sector,economic,additional,barrel,september,lease,surge,around,work,unlikely,investment,immediate,wind,demise,suddenly,roar,bet,likely,rights,clear,way,yes,eventually,fewer,run,plus,economy,standard,contemplate,part,separate,review,still,biggest
,16,15,11,10,9,9,9,8,6,6,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 1, 2017 Friday",108 of 252 DOCUMENTS,USA TODAY,Your Say: TWITTER,,NEWS; Pg. 6A,,129 words,,,"September 1, 2017",ENGLISH,,,,,OPINION,NEWSPAPER,"Copyright 2017 Gannett Company, Inc.                               All Rights Reserved"
