PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"September 18, 2013 Wednesday",2 of 205 DOCUMENTS,USA TODAY,Some crops migrate north with warmer temperatures; It's a boon for N.D. farmers as U.S. agriculture goes topsy-turvy,"Elizabeth Weise, @eweise, USA TODAY",NEWS; Pg. 11A,,1454 words,,,"September 18, 2013",ENGLISH,,,"photo Photos by Elizabeth Weise, USA TODAY",,,NEWSPAPER,"Copyright 2013 Gannett Company, Inc.                               All Rights Reserved"
,crop,grow,farmer,climate,change,farm,corn,North_Dakota,field,state,agriculture,plant,degree,think,area,family,wheat,soybean,shift,accord,heat,professor,know,temperature,much,can,U.S.,USDA,ago,back,full,different,go,weather,season,mean,today,warming,last,warmer,winter,beginning,harvest,acre,average,many,use,happen,billion,nation,fahrenheit,water,talk,North_Dakota_State_University,Fargo,brother,visit,100,find,lengthen,frost,pattern,hotter,look,mile,border,still,land,work,end,expect,make,seem,good,net,world,erratic,lower,yield,cold,better,grower,three,five,near,century,thing,long,300,produce,across,2012,1895,nationally,may,local,increase,laboratory,decade
"April 12, 2013 Friday",22 of 205 DOCUMENTS,USA TODAY,"Global warmth: Oceans are taking it all in; Waters heat up as atmosphere holds steady, study says","Doyle Rice, USA TODAY,",NEWS; Pg. 8A,,386 words,,,"April 12, 2013",ENGLISH,,,"photo 2010 photo by Chip Chipman, Bloomberg news A commercial fisherman pulls crabs onto his boat near Bodega Bay, Calif. Much of Earth's warmth appears to be settling about a half-mile beneath the surface of the oceans, authors of a new study say.",,NATION,NEWSPAPER,"Copyright 2013 Gannett Company, Inc.                               All Rights Reserved"
,ocean,warming,climate,change,study,temperature,atmosphere,scientist,gas,Earth,heat,global,cause,natural,greenhouse,past,decade,accord,absorb,increase,atmospheric,temporary,amount,wind,surface,play,large,appear,Willis,essentially,provide,ammunition,skeptic,despite,fact,nine,hottest,record,eight,occur,2000,however,recent,find,significantly,period,prompt,divert,heating,instead,publish,journal,publication,current,hiatus,colo,telephone,news,conference,thursday,continue,manifesting,differently,work,carbon,dioxide,burn,oil,coal,power,world,enhance,effect,warm,level,link,force,trap,cover,expect,role,chunk,warmth,settle,far,beneath,new,technology,allow,better,measure,deep,excess,oppose,stay,due,climatic,pattern,pause
,9,7,5,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 12, 2013 Friday",24 of 205 DOCUMENTS,USA TODAY,DOE: Climate change will disrupt energy supply; Power lines less efficient in higher temperatures,"Wendy Koch, @wendykoch, USA TODAY",MONEY; Pg. 5B,,725 words,,,"July 12, 2013",ENGLISH,,,photo 2010 Arizona Republic photo,,,NEWSPAPER,"Copyright 2013 Gannett Company, Inc.                               All Rights Reserved"
,power,report,climate,plant,rise,temperature,level,water,energy,cause,dring,need,change,last,problem,DOE,sea,generation,operate,cite,frack,disruption,already,degree,fahrenheit,worse,make,line,future,call,address,cut,gas,new,research,reduction,risk,higher,cool,2010,oil,low,loss,scientist,area,current,demand,give,additional,U.S.,non_profit,water_stressed,supplies,likely,face,severe,extreme,weather,blackout,lower,production,government,warn,thursday,drive,vulnerability,1.5,century,result,accompany,heat,wave,storm,wildfire,accord,department,serious,oversaw,development,impact,vary,region,part,country,immune,intensify,flooding,superstorm,slam,take,damage,leave,million,dark,week,president,describe,threat,action
,11,9,6,6,6,6,6,6,5,5,5,5,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 22, 2013 Friday",28 of 205 DOCUMENTS,USA TODAY,Renewable energy losing its shine in Europe; Debt crisis makes it harder to justify - or afford - subsidies,Sumi Somaskanda,MONEY; Pg. 7B,,1302 words,,,"March 22, 2013",ENGLISH,,,"photo Wind turbines in eastern Germany, by PATRICK PLEUL, AFP/Getty Images",,,NEWSPAPER,"Copyright 2013 Gannett Company, Inc.                               All Rights Reserved"
,energy,renewable,Germany,electricity,nuclear,subsidy,country,climate,solar,cost,analyst,price,financial,government,power,Europe,european,pay,consumer,change,german,higher,use,home,ago,wind,fossil,fuel,debt,crisis,go,plan,plant,concern,problem,reactor,need,transition,move,rise,already,happen,cut,Spain,panel,sun,far,rate,global,increase,coal,across,green,replace,money,gas,nation,2011,decade,chancellor,little,party,become,supply,environment,leave,there,crazy,rapid,soar,bill,willing,take,head,may,much,austerity,help,sector,boom,continent,policy,firm,next,half,infrastructure,expensive,investment,technology,invest,cash,German,Berlin,German_Environmental_Aid,European,Madrid,EU,entrepreneur,million
,18,14,12,10,8,7,7,7,6,6,6,6,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
"January 30, 2013 Wednesday",32 of 205 DOCUMENTS,USA TODAY,Report: Climate change a threat to wildlife,Doyle Rice,NEWS; Pg. 3A,,150 words,,,"January 30, 2013",ENGLISH,,,,,,NEWSPAPER,"Copyright 2013 Gannett Company, Inc.                               All Rights Reserved"
,change,climate,animal,adapt,wildlife,report,beginning,time,faster,shift,effect,bird,plain,bighorn,sheep,new,study,struggle,warming,atmosphere,cause,burn,fossil,fuel,biggest,threat,face,century,today,van,variation,happen,much,respond,federation,scientist,many,plant,species,range,colder,locale,take,place,three,anticipate,certainly,agree,policy,director,u.,expect,future,California,Climate,National_Wildlife_Federation,Reston,Amanda_Staudt,Mark_Shaffer,Fish,Wildlife_Service
,4,4,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 26, 2013 Wednesday",42 of 205 DOCUMENTS,USA TODAY,Obama should confront climate change fantasies,Bjorn Lomborg,NEWS; Pg. 10A,,551 words,,,"June 26, 2013",ENGLISH,,,,,OPINION,NEWSPAPER,"Copyright 2013 Gannett Company, Inc.                               All Rights Reserved"
,energy,fuel,green,climate,fossil,frack,U.S.,solution,world,cheaper,billion,Obama,president,co2,save,cut,emission,good,show,impact,gas,reduction,global,innovation,new,policy,idea,confront,three,fantasy,major,part,today,still,increase,biofuel,food,car,drive,price,little,use,decade,coal,renewable,cost,rest,source,smart,reduce,warming,need,country,make,future,fail,economic,far,CO2,long_term,outline,tuesday,include,brilliant,useless,confusion,stem,unwillingness,urenewable,almost,trivial,2035,scenario,wind,solar,0.8,3.2,impressive,go,matter,ubiofuel,play,simply,divert,starvation,clear,forest,field,emit,uefficiency,though,efficiency,study,savings,eat,efficient,money,activity,carefully
,7,7,7,6,6,6,6,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 20, 2013 Tuesday",46 of 205 DOCUMENTS,USA TODAY,Higher production won't free USA,Frances Beinecke,NEWS; Pg. 8A,,421 words,,,"August 20, 2013",ENGLISH,,,,,,NEWSPAPER,"Copyright 2013 Gannett Company, Inc.                               All Rights Reserved"
,oil,energy,gas,community,climate,production,economy,cost,time,water,change,America,nation,need,intensify,fuel,we,health,grow,safeguard,company,environmental,landscape,place,path,without,reduce,clean,power,new,standard,increase,domestic,panacea,fossil,addiction,free,tyranny,global,market,may,2008,price,crude,risen,damaging,air,land,frack,drive,surge,breakneck,speed,public,keep,pace,lob,way,around,bedrock,law,state,respond,weak,rule,limited,enforcement,drill,pad,build,backyard,wild,become,vulnerable,toxic,chemical,contaminate,permanent,scarring,continue,protect,people,farm,threat,recognize,home,major,drink,supplies,rare,must,put,exacerbate,central,challenge,impose,imperil,future,last
,8,6,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 27, 2013 Friday",48 of 205 DOCUMENTS,USA TODAY,SECOND LOOK; NEW VIEWS ON WEEK'S TOP TALKERS,,NEWS; Pg. 11A,,313 words,,,"December 27, 2013",ENGLISH,,,photo Getty Images,,,NEWSPAPER,"Copyright 2013 Gannett Company, Inc.                               All Rights Reserved"
,game,climate,change,truth,consequence,give,way,still,wrong,answer,purpose,rise,sea,level,fuel,emission,back,carbon,need,bowl,name,remember,old,1960,tv,show,young,age,really,understand,go,people,appear,many,leader,grasp,mean,recent,article,torment,va.,coastal,longer,avoid,blight,health,wealth,fossil,responsible,fortunately,economy,elegant,roll,tax,collect,user,fee,coal,oil,gas,producer,base,content,send,price,signal,inventor,investor,find,best,reduce,usage,deploy,substitute,return,100,revenue,public,neutralize,pocketbook,hit,higher,energy,cost,excuse,ever,evidence,role,money,collegiate,sport,look,company,sell,underwear,product,auto,part,dominate
,5,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 29, 2013 Thursday",50 of 205 DOCUMENTS,USA TODAY,Cooler Pacific Ocean waters level rise in global warming,"Dan Vergano, @dvergano, USA TODAY",NEWS; Pg. 5A,,489 words,,,"August 29, 2013",ENGLISH,,,,,,NEWSPAPER,"Copyright 2013 Gannett Company, Inc.                               All Rights Reserved"
,cool,warming,temperature,surface,climate,increase,global,natural,xie,past,average,scientist,report,hiatus,result,point,rise,pattern,eastern,level,prediction,recent,pause,role,study,effect,resume,record,explanation,volcanic,else,ocean,show,across,sea,heat,variability,question,Pacific_Ocean,Pacific,flattening,world,spring,wednesday,feed,part,skepticism,toward,researcher,behind,new,inevitable,climb,strongly,confirm,emission,senior,author,journal,long,term,stop,confident,bigger,leave,lodge,1.4,degree,fahrenheit,normal,century,top,warmest,1998,none,look,markedly,warmer,another,disagree,cause,range,atmospheric,eruption,industrial,smog,oscillation,water,indeed,pull,essentially,persistent,la,weather,tropical,pacific,area,cover,8.2
,8,7,6,5,5,5,5,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 1, 2013 Monday",56 of 205 DOCUMENTS,USA TODAY,Take more than one path to address climate change,,NEWS; Pg. 9A,,339 words,,,"July 1, 2013",ENGLISH,,,"GRAPHIC, B/W, Julie Snider, USA TODAY (Bar graph)",,,NEWSPAPER,"Copyright 2013 Gannett Company, Inc.                               All Rights Reserved"
,energy,new,renewable,Obama,president,plan,climate,change,go,country,coal,natural,address,take,carbon,pollution,company,gas,million,americans,clean,fantasy,electricity,U.S.,unveiled,seek,global,agreement,measure,reduce,home,many,lose,job,bad,polluter,compare,use,plus,nothing,comparison,newly,industrialize,continue,desire,government,regulation,detrimental,future,oil,ruin,river,long,time,beautiful,mountain,provide,keep,light,gary,all,may,seem,logical,assist,policy,old,technology,reject,anything,threaten,livelihood,compromise,key,legacy,mandate,with,greenlee,great,idea,replace,course,result,frack,next,speech,pandering,crowd,letter,work,business,issue,claim,marginal,role,obama,confront,opinion,wednesday
,6,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 1, 2013 Monday",60 of 205 DOCUMENTS,USA TODAY,Time to switch to 'green' power,,NEWS; Pg. 9A,,116 words,,,"July 1, 2013",ENGLISH,,,"photo Evan Vucci, AP President Obama outlines his plan to address climate change at Georgetown University last week.",,,NEWSPAPER,"Copyright 2013 Gannett Company, Inc.                               All Rights Reserved"
,plan,change,twitter,oil,use,tax,green,energy,president,laid,address,climate,ask,follower,do,environment,cut,half,today,technology,smart,policy,fight,carbon,fossil,fuel,plus,offset,income,simple,consider,jamespettit4,go,open,window,clothes,line,dry,laundry,instead,dryer,hplage,need,switch,fast,natural,gas,solar,wind,nuclear,kill,coal,sparta776,discussion,follow,usatopinion,tellusatoday,Obama,UCSRachel_Climate,GOP_Congress,Turn_AC
,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 31, 2013 Thursday",65 of 205 DOCUMENTS,USA TODAY,Spying uproar could spark changes not seen since 1970s,"Jim Michaels, and Aamer Madhani, USA TODAY",NEWS; Pg. 1A,,1427 words,,,"November 1, 2013",ENGLISH,,,,,,NEWSPAPER,"Copyright 2013 Gannett Company, Inc.                               All Rights Reserved"
,intelligence,NSA,lawmaker,court,U.S.,foreign,Merkel,leader,call,reform,change,oversight,former,political,activity,official,FISA,nearly,committee,today,report,surveillance,Snowden,United_States,White_House,community,sen,church,hearing,lead,include,revelation,dramatic,may,restriction,key,cellphone,ally,allegation,point,disclosure,collection,monitor,part,system,take,data,advocate,government,debate,Washington,CIA,Congress,hold,abuse,ago,leak,time,leahy,transparency,need,propose,analyst,group,defend,climate,state,country,believe,president,continue,director,meet,administration,effort,surface,impose,controversy,sweeping,job,world,action,bill,amount,domestic,fail,eavesdropping,law,request,privacy,appropriate,case,among,national,security,best,service,review,application
,19,16,10,9,9,8,8,7,7,6,6,5,5,5,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"February 13, 2013 Wednesday",68 of 205 DOCUMENTS,USA TODAY,Emboldened and ready for battle,"Susan Page, @SusanPage, USA TODAY",NEWS; Pg. 6A,,947 words,,,"February 13, 2013",ENGLISH,,,"photo JACK GRUBER, USA TODAY President Obama, pictured Tuesday before his State of the Union speech, outlined an agenda with more of the sweep of first-term ambitions.",,,NEWSPAPER,"Copyright 2013 Gannett Company, Inc.                               All Rights Reserved"
,Obama,speech,president,party,republican,office,expect,change,create,call,Congress,state,chamber,battle,government,every,we,issue,address,proposal,action,gun,tax,deserve,vote,Union,term,four,choose,voter,people,problem,nation,compromise,climate,go,look,emotional,add,shoot,rampage,immigration,manufacturing,endorse,minimum,wage,idea,ahead,adviser,run,new,member,succeed,pass,spend,cut,leader,deal,sen,response,accuse,raising,conservative,tea,movement,much,gallery,include,common,sense,rise,hall,former,seat,thing,do,re_election,Newtown,launch,second,2.0,hair,visibly,grayer,ago,tone,combative,rhetoric,draw,sharper,line,scar,tumultuous,credential,last,election,especially,november,victory
,12,7,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 5, 2013 Tuesday",69 of 205 DOCUMENTS,USA TODAY,"As Arctic ice melts, full steam ahead for shipping","Doyle Rice, @USATODAYWeather, USA TODAY",NEWS; Pg. 5A,,493 words,,,"March 5, 2013",ENGLISH,,,"GRAPHIC, Color, Julie Snider, USA TODAY (map)",,,NEWSPAPER,"Copyright 2013 Gannett Company, Inc.                               All Rights Reserved"
,Arctic,ship,shipping,route,ice,North_Pole,Smith,across,study,sea,ever,use,Northwest_Passage,NOAA,global,warming,climate,change,time,include,directly,do,accord,lead,summer,september,annual,development,money,control,need,world,part,decade,area,update,chart,Arctic_Ocean,Russia,bad,certainly,negative,positive,effect,impassable,human,invent,millennium,ago,open,midcentury,suggest,fame,toward,neither,appear,monday,edition,proceedings,nobody,talk,top,author,c.,smith,geography,professor,entirely,unexpected,possibility,earliest,travel,passage,likely,2040,2050,sort,occur,late,early,fall,add,prime,minimum,exciting,economic,point,view,worrisome,term,safety,environment,go,significant,savings,shipper,past,couple,dozen
,9,8,5,5,5,5,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 22, 2013 Tuesday",77 of 205 DOCUMENTS,USA TODAY,"Burning concerns; Drought, heat trigger jitters before fire season","Trevor Hughes, USA TODAY,",NEWS; Pg. 3A,,784 words,,,"January 22, 2013",ENGLISH,,,"photo Dec. 2 photos by Sam Noblett, The (Fort Collins) Coloradoan The Fern Lake Fire in Rocky Mountain National Park is still smoldering under snow in a remote area.",,,NEWSPAPER,"Copyright 2013 Gannett Company, Inc.                               All Rights Reserved"
,wildfire,fire,snow,burn,winter,dring,temperature,2012,record,summer,season,beneath,area,condition,expert,across,country,last,average,million,acre,much,wet,likely,Colorado,NIFC,still,campfire,remote,park,timber,weather,make,another,bad,ongoing,rise,long,1998,degree,full,drive,part,accord,keep,rain,heavy,grass,tree,hotter,continue,western,exceptional,look,change,contribute,forest,dry,ready,break,help,large,firefighting,helicopter,airplane,many,spokeswoman,blanket,Fern_Lake_Fire,USA,Southern_California,high,foot,spark,errant,october,smoldering,feed,downe,nation,hottest,unusual,create,brace,yet,although,early,predict,2013,might,concern,know,go,question,analyst,warmest,acccord,n.c.,surpass
,11,10,9,7,6,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 22, 2013 Wednesday",80 of 205 DOCUMENTS,USA TODAY,"Keep Okla. tornado in perspective; Disaster was tragic, but larger ones have occurred. What's now different is overbuilt heartland.",Lee Sandlin,NEWS; Pg. 8A,,737 words,,,"May 22, 2013",ENGLISH,,,"photo Valerie Mosley Springfield (Mo.) News-Leader Movie theater in Moore, Okla., on Tuesday.",,,NEWSPAPER,"Copyright 2013 Gannett Company, Inc.                               All Rights Reserved"
,tornado,Moore,go,mile,event,happen,people,tornadoe,might,history,disaster,something,1805,wide,climate,Tri_State,coverage,monday,night,meteorologist,worst,put,unprecedented,another,200,cloud,witness,fewer,report,trace,except,wall,place,decade,almost,know,landscape,hour,touch,last,three,country,point,1999,larger,weather,wind,mph,heartland,century,real,news,change,concern,American,live,horrific,okla,tv,station,declare,world,version,phrase,echoing,national,absolute,ever,still,unusually,horrible,size,destructiveness,writer,without,minimize,tragedy,least,include,nine,child,kill,worth,perspective,look,back,earlier,worse,consider,moment,ago,afternoon,june,enormous,black,hill,cross,cut,finally
,18,9,5,5,4,4,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 29, 2013 Thursday",82 of 205 DOCUMENTS,USA TODAY,Automakers' green push mostly hype,"Dan Becker and, James Gerstenzang",NEWS; Pg. 6A,,634 words,,,"August 29, 2013",ENGLISH,,,photo David Dewhurst,,,NEWSPAPER,"Copyright 2013 Gannett Company, Inc.                               All Rights Reserved"
