PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"January 8, 2004, Thursday",2 of 132 DOCUMENTS,USA TODAY,Cost of global warming: 1 million species,Robert Davis,LIFE; Pg. 5D,,432 words,,,"January 08, 2004",ENGLISH,,,,,,,"Copyright 2004 Gannett Company, Inc."
,species,climate,change,study,plant,animal,extinction,million,must,move,Earth,region,world,2050,global,warming,international,report,analysis,predict,include,threat,conservation,life,future,degree,extinct,Hannah,University,several,risk,control,today,journal,nature,comprehensive,date,potential,loss,team,scientist,disappear,tree,lizard,know,forest,dragon,magpie,make,clear,significant,new,century,biologist,organization,have,start,think,editorial,agree,problem,part,air,pollution,cause,warm,mean,higher,cooler,ground,time,natural,migratory,path,often,block,development,trap,environment,longer,support,ask,place,researcher,examine,"1,103",six,use,widely,accept,model,temperature,increase,2.5,10.4,fahrenheit,2100,find,nearly
"May 14, 2004, Friday",13 of 132 DOCUMENTS,USA TODAY,Meteorite likely caused mass extinction,Dan Vergano,NEWS; Pg. 3A,,368 words,,,"May 14, 2004",ENGLISH,,,"GRAPHIC, B/W, Marcy E. Mullins, USA TODAY, Sources: NASA University of California- Santa Barbara (MAP); The Earth: Then and now (graphic)",,,,"Copyright 2004 Gannett Company, Inc."
,extinction,crater,impact,meteorite,scientist,million,team,trigger,Bedout,Becker,identify,likely,wipe,ago,erase,species,volcanic,climate,change,evidence,melt,rock,strike,today,continent,ocean,fill,suggest,may,NASA,Permian_Triassic,Permian,Pangea,coast,site,giant,almost,life,250,thursday,believe,pronounce,hit,marine,land,en,masse,least,six,time,last,550,famously,dinosaur,attribute,earlier,take,place,boundary,geologic,period,massive,burst,activity,sudden,catastrophe,grow,think,convincing,case,geologist,barbara,report,group,due,publish,journal,science,describe,fracture,quartz,deposit,core,samples,bedout,consistent,ironically,mass,clear,way,dinosaurs,later,fund,new,study,interested,past,help,people
,6,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 23, 2004, Monday",16 of 132 DOCUMENTS,USA TODAY,"Wet spring forecast for parched West, Plains",Patrick O'Driscoll,NEWS; Pg. 3A,,494 words,DENVER,,"February 23, 2004",ENGLISH,,,"GRAPHIC, B/W, Robert W. Ahrens, USA TODAY, Source: NOAA (MAP)",,,,"Copyright 2004 Gannett Company, Inc."
,dring,much,center,spring,climate,forecast,normal,storm,water,New_Mexico,city,weather,end,suggest,southern,patch,plain,change,snow,still,southeastern,less,part,reservoir,western,last,suburb,million,USA,Oregon,Nebraska,Arizona,Nevada,Denver,Aurora,outlook,offer,potential,relief,dozen,state,grip,expert,caution,problem,great,region,precipitation,may,chronic,dryness,soon,drought,go,four,five,head,federal,government,prediction,md,eliminate,next,three,anticipate,condition,temperature,likelier,along,broad,band,cooler,northern,pattern,bring,prolific,rain,across,particularly,major,week,watcher,doubt,thing,might,whittle,away,hey,talk,severe,climatologist,rainfall,worst,zone,content,drier,average,feb,storage
,7,5,5,4,4,4,4,4,4,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 30, 2004, Friday",18 of 132 DOCUMENTS,USA TODAY,Volvo brings new wagon to market,James R. Healey,LIFE; Pg. 6D,,1240 words,,,"August 12, 2004",ENGLISH,"August 6, 2004, Friday","A picture in Friday's Test Drive column showed the '04 model of the Volvo S40 sedan, which has been discontinued. See 8/6/2004 Test Dive column for a picture of the 2004.5 model.","PHOTOS, B/W, Volvo (2); PHOTO, B/W, Wieck",,,,"Copyright 2004 Gannett Company, Inc."
,model,Volvo,drive,V50,sedan,S40,wagon,space,car,engine,seat,available,look,controls,inch,back,change,transmission,rate,rpm,list,folk,interior,hardware,2005,use,test,turbocharge,big,fit,keep,center,thin,panel,awd,feel,town,highway,without,version,make,replace,manual,2004,start,pound,cubic,foot,all_wheel,five_cylinder,shopping,premium,ford,climate,long,develop,well,good,machine,twin,side,front,legroom,otherwise,rear,find,push,far,steering,column,become,detail,stack,house,wide,instrument,console,volume,station,fuel,sport,suspension,noise,instead,seem,bigger,218,horsepower,hp,power,automatic,run,engines,begin,volvo,dealer,expect,next,offer
,11,10,9,8,7,7,6,6,6,6,6,6,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"November 26, 2004, Friday",19 of 132 DOCUMENTS,USA TODAY,"Unwind, rewind, watch these shows",Robert Bianco,LIFE; Pg. 6E,,2744 words,,,"November 26, 2004",ENGLISH,,,"PHOTO, Color, Paul McCallum, WB; PHOTO, Color, Robert Trachtenberg, ABC; PHOTO, Color, Tony Esparza, CBS; PHOTO, Color, Michael Ansell, WB; PHOTO, Color, Bill Inoshita, CBS; PHOTO, Color, Bob D'Amico, ABC; Boston Legal: James Spader, left, and William Shatner play high-priced civil litigators in this Practice spinoff. <>The Amazing Race: Sisters Kristy, left, and Lena discuss their strategy in Norway as the pressure increases. <>Jack & Bobby: Jack (Matt Long), left, is the role model for Bobby (Logan Lerman), the boy who will be president. <>CSI: Greg Sanders (Eric Szmanda) and Sara Sidle (Jorja Fox) try to determine the trajectory of a bullet.",,,,"Copyright 2004 Gannett Company, Inc."
,show,p.m.,CBS,tape,season,CSI,time,week,Fox,character,woman,man,still,cast,much,p.m,tv,series,slot,new,ABC,best,every,take,choice,better,go,sitcom,family,though,know,work,actor,plot,give,yet,make,writer,night,worth,development,let,many,well,bad,may,without,housewive,life,need,play,good,drama,nbc,think,mother,return,story,amazing,enough,change,seem,help,win,Trace,back,miss,joke,thing,have,really,plus,reality,less,trace,trigger,mystery,popular,spinoff,great,fan,way,heaven,wb,watch,half,comedy,star,least,csi,strong,lead,perfect,race,model,ever,top,boss,lose
,26,13,12,11,11,10,9,9,9,8,8,8,8,8,8,7,7,7,7,7,7,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"April 26, 2004, Monday",21 of 132 DOCUMENTS,USA TODAY,Lawsuits of '70s shape police leadership now,Donna Leinwand,NEWS; Pg. 13A,,2366 words,,,"April 26, 2004",ENGLISH,,,"PHOTO, Color, Evan Kafka; PHOTO, Color, Elise Amendola, AP; PHOTO, B/W, Dwayne Newton, AP; In Detroit: Police Chief Ella Bully-Cummings heads a department of 4,600 officers. Only about 200 of the 18,000 police departments in the USA are directed by women. <>In Boston: Kathleen O'Toole is sworn in as Boston's police commissioner during a ceremony Feb. 19. Her husband, Daniel, and daughter, Meghan, stand behind her. <>In San Francisco: Heather Fong, right, seen here with Fire Chief Joanne Hayes-White, was named the city's acting chief of police Jan. 17.",,,,"Copyright 2004 Gannett Company, Inc."
,police,woman,department,officer,chief,female,Bully_Cummings,city,appoint,male,make,hire,force,rank,law,become,recruit,go,work,patrol,crime,man,percentage,many,change,U.S.,nation,still,rise,new,among,help,enforcement,join,mayor,decree,Fong,across,court,order,begin,retire,several,design,think,later,partner,consent,Detroit,Lonsway,Hegerty,Portland,detroit,1977,effort,discrimination,three,number,official,young,receive,career,sexual,today,national,suspect,time,can,include,people,top,public,agency,widow,moral,Milwaukee,Harrington,step,resentment,face,within,arrive,charge,significant,wave,va.,way,command,group,level,recent,increase,concern,thing,replace,commander,conduct,recruiting,ago
,67,62,43,23,21,19,14,12,12,11,11,10,10,9,9,8,7,7,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"May 20, 2004, Thursday",23 of 132 DOCUMENTS,USA TODAY,Reaction bothers Colorado panel,Theresa Smith; Special for USA TODAY,SPORTS; Pg. 10C,,531 words,"BOULDER, Colo.",,"May 21, 2004",ENGLISH,,,"PHOTO, B/W, Ed Andrieski, AP; Familial gathering: Patty Klopfenstein leads a group of mothers of Colorado football players in applause during Wednesday's meeting.",,,,"Copyright 2004 Gannett Company, Inc."
,panel,regent,member,meeting,go,take,make,change,sexual,Barnett,football,practice,surprised,wednesday,news,public,investigative,commission,joan,specific,report,critical,president,coach,barnett,we,head,leadership,university,recruit,regard,name,student,enough,right,Colorado,Board,Hoffman,Tharp,colo.,examine,recruiting,disappointed,reaction,conference,independent,former,chief,justice,term,board,express,concern,climate,return,status,quo,acknowledge,difficulty,meaningful,dialogue,forum,st,address,aspect,entail,interview,tremendous,courage,st.,know,although,system,campus,chancellor,athletics,director,suspend,gary,recommend,personnel,everybody,identify,somebody,whose,roll,jr.,appropriate,fellow,call,determine,whether,provide,vision,need,restore,integrity,reputation,task
,9,6,5,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 12, 2004, Tuesday",24 of 132 DOCUMENTS,USA TODAY,Nobel winners steered central bankers,Barbara Hagenbaugh,MONEY; Pg. 4B,,383 words,,,"October 12, 2004",ENGLISH,,,"PHOTO, B/W, Marit Hommedal, AP; PHOTO, B/W, Matt York, AP; Finn Kydland <>Edward Prescott",,,,"Copyright 2004 Gannett Company, Inc."
,work,change,prescott,professor,policy,influence,central,argue,tax,business,cycle,economic,prize,federal,reserve,bank,minneapolis,economy,find,lead,research,think,country,keep,Kydland,whose,response,banking,around,world,memorial,economics,monday,adviser,barbara,split,1.4,million,award,significantly,increase,understanding,macroeconomy,academy,news,release,citizen,receive,doctorate,base,1970,1980,area,result,shift,technological,development,ledger,event,consumer,spend,demand,side,economist,alter,particularly,monetary,conduct,best,do,public,reasonably,predict,decision,make,future,part,banker,adopt,regime,policymaker,pledge,inflation,near,certain,target,there,by,commit,price,pressure,wrap,add,lot,feed,president,gary,stern,book
,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 13, 2004, Monday",25 of 132 DOCUMENTS,USA TODAY,Changes are 'the usual' in IBM's On Demand ads,Theresa Howard,MONEY; Pg. 8B,,594 words,,,"December 13, 2004",ENGLISH,,,"GRAPHIC, Color, USA TODAY, Source: USA TODAY research by Darryl Haralson, (BAR GRAPH); PHOTOS, Color (2)",AD TRACK,,,"Copyright 2004 Gannett Company, Inc."
,IBM,ad,business,Richard,Demand,Denver,technology,product,service,fun,customer,today,pc,continue,solution,character,change,plan,consumer,people,Lenovo,advertising,last,message,client,worldwide,deal,close,pcs,market,name,tell,story,look,call,sit,ask,track,average,good,baird,Sean,London,Paris,typically,consider,put,word,alongside,factor,dim,inject,smooth,personality,world,denver,colleague,typify,begin,appear,agency,ogilvy,mather,personify,nature,climate,job,do,thanks,despite,announcement,week,sell,company,strategic,imperative,remain,delivery,spokesman,expect,half,2005,make,lenovo,prefer,provider,line,carry,brand,initially,later,cast,new,quarter,campaign,fit,division,include,consulting
,15,13,8,8,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 21, 2004, Wednesday",29 of 132 DOCUMENTS,USA TODAY,CEO Ollila says Nokia's 'sisu' will see it past tough times,Kevin Maney,MONEY; Pg. 1B,,1820 words,"ESPOO, Finland",,"July 21, 2004",ENGLISH,,,"GRAPHIC, B/W, Marcy E. Mullins, USA TODAY, Source: CSI (LINE GRAPH); PHOTO, Color, Nokia ; PHOTOS, B/W, Nokia (2); Jorma Ollila: CEO of Nokia since 1992, Ollila, now 53, says the Finland-based cellphone maker can handle its recent market losses. Nokia is at its best when it's between a rock and a hard place,"" he says. <>Getting the once-over: A Nokia factory employee tests a model 3650 cellphone.",COVER STORY,,,"Copyright 2004 Gannett Company, Inc."
,Nokia,Ollila,make,company,phone,cellphone,finnish,sisu,world,market,device,time,share,division,take,software,run,enough,ollila,many,mobile,bit,go,much,system,today,sell,Finland,executive,recent,back,2004,far,analyst,stock,seem,solution,nokia,become,employee,fin,give,president,lumber,standard,build,Helsinki,talk,call,maker,headquarters,lot,climate,winter,might,trait,response,history,though,around,revenue,second,quarter,billion,price,earning,cent,estimate,lose,beginning,warning,send,high,hole,plug,place,add,june,aim,inexpensive,corporate,enterprise,perhaps,officer,american,chief,top,wireless,business,best,1992,little,insist,work,approach,leave,complacency,behind,problem
,53,23,15,14,14,11,7,7,6,6,6,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"July 28, 2004, Wednesday",30 of 132 DOCUMENTS,USA TODAY,Heinz Kerry: Political novice carves own niche,Rick Hampson,NEWS; Pg. 5A,,405 words,BOSTON,,"July 28, 2004",ENGLISH,,,"PHOTO, B/W, Eileen Blass, USA TODAY; Emotional moment: Teresa Heinz Kerry takes the convention stage after being introduced by her son, Chris Heinz.",,,,"Copyright 2004 Gannett Company, Inc."
,Kerry,Heinz_Kerry,speech,environmental,war,line,wife,candidate,defend,nation,new,begin,good,believe,make,greet,delegate,Pennsylvania,Portuguese,tuesday,call,husband,fighter,earn,vietnam,medal,way,put,life,country,final,second,night,party,presidential,sen,best,man,home,abroad,vigorously,always,fire,commander,chief,understand,importance,right,remark,unusually,promise,agenda,administration,global,climate,change,threat,health,planet,reverse,policy,economics,invent,technology,material,conservation,method,future,alternative,fuel,guarantee,boy,girl,go,dependency,foreign,oil,economy,forever,become,independent,need,although,protection,primary,theme,campaign,centerpiece,philanthropic,effort,widow,ketchup,heir,senator,die,air,crash,1991,richest
,5,5,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 26, 2004, Friday",35 of 132 DOCUMENTS,USA TODAY,Return of the King' returns with an extra 50 minutes,Mike Snider; Ann Oldenburg; Edna Gundersen,LIFE; Pg. 1E,,494 words,,,"November 26, 2004",ENGLISH,,,"PHOTO, Color, New Line Cinema; PHOTO, Color; PHOTO, Color, Henry Diltz, Rhino Records; Death becomes him: Christopher Lee as Saruman. <>Nye: Two TV shows and a Big book. <>Pryor, circa 1976: Unedited, pristine and clean.",,,,"Copyright 2004 Gannett Company, Inc."
,Pryor,set,science,early,Nye,movie,include,look,show,Bill_Nye,dec.,fan,film,director,death,fall,greatest,host,pbs,series,take,evolution,release,comedy,chronicle,revolution,recording,disc,track,appear,Saruman,Science_Guy,lord,ring,king,extend,edition,arrive,element,sure,please,completist,fellowship,minute,add,oscar,best,picture,christopher,lee,omission,upset,restore,scene,mckellen,gang,confront,atop,tower,wizard,stab,cameo,corsair,doom,arrow,feel,buzz,must,stuntman,realize,girl,admire,sort,gaze,throw,television,bill,nye,showcase,hit,guy,back,kid,tv,whose,run,1992,1998,kick,call,100,p.m.,et,pt,"30,000",discovery,scientist,instead,highlight
,5,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 19, 2004, Monday",37 of 132 DOCUMENTS,USA TODAY,TV adjusts the picture,Gary Levin,LIFE; Pg. 1D,,895 words,LOS ANGELES,,"January 19, 2004",ENGLISH,,,"GRAPHIC, Color, Marcy E. Mullins, USA TODAY, Source: Nielsen Media Research (BAR GRAPH); EAR PHOTO, Color; PHOTO, Color, Bob D'Amico, ABC; PHOTO, Color, Cliff Lipson, CBS; PHOTO, Color, Carol Kaelson, ABC; PHOTO, Color, Robert Voets, Fox; The D.A. / ABC",COVER STORY,,,"Copyright 2004 Gannett Company, Inc."
,show,season,network,viewer,new,drama,fall,air,week,change,start,model,reality,repeat,series,launch,ABC,NBC,Fox,audience,consider,tv,go,next,four,among,cable,hit,way,shift,summer,money,last,traditional,lure,comedy,episode,cost,fail,broadcast,face,success,look,replacement,chief,end,fact,make,law,order,business,viewership,young,fewer,schedule,august,program,hope,three,aug,man,use,old,programming,better,chairman,good,bad,CSI,angeles,erosion,trot,rethink,present,january,executive,usually,take,stock,date,forward,midseason,lay,larger,prescription,necessary,medium,attract,lineup,tougher,generally,uninspiring,call,everybody,entertainment,critic,semiannual,press,tour
,11,11,10,9,7,7,6,6,6,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 8, 2004, Thursday",40 of 132 DOCUMENTS,USA TODAY,IRS chief: Growth in tax cheating can be contagious,,NEWS; Pg. 13A,,1307 words,,,"April 08, 2004",ENGLISH,,,"PHOTO, B/W, Leslie Smith Jr., USA TODAY; GRAPHIC, B/W, Julie Snider, USA TODAY, Source: Internal Revenue Service (PIE CHART); IRS by the numbers (graphic)",,,,"Copyright 2004 Gannett Company, Inc."
,people,IRS,problem,tax,time,clearly,law,corporate,think,audit,americans,complexity,take,back,go,change,look,call,abuse,job,thing,person,past,exaggerate,cheat,meet,question,away,we,code,try,decline,1990,whether,comply,international,start,have,well,still,hold,feel,drive,commissioner,find,avoid,agent,auditor,biggest,week,return,increase,information,average,make,every,write,somebody,advantage,share,enforcement,late,ethic,lawyer,happen,push,line,part,business,risk,bank,accounting,firm,complex,culture,limit,really,resource,side,dollar,hearing,eliminate,gap,service,office,reduce,accountable,important,attitude,safe,road,fear,random,political,group,might,turn,someone,management
,14,11,10,9,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"August 12, 2004, Thursday",42 of 132 DOCUMENTS,USA TODAY,"El Nino could be brewing, minus a knockout punch",Dan Vergano,LIFE; Pg. 7D,,308 words,,,"August 12, 2004",ENGLISH,,,,,,,"Copyright 2004 Gannett Company, Inc."
,el,nino,condition,central,weather,develop,cause,ocean,atmosphere,winter,rain,weak,june,climate,scientist,end,warming,great,hurricane,season,affect,start,California,Kousky,federal,official,call,disruption,bring,warmer,upper,wetter,right,forecast,moderate,research,meteorologist,md,still,incipient,stage,need,wait,bit,tracking,spread,warm,water,eastward,across,pacific,expect,determine,soon,perhaps,week,whether,trend,real,big,thing,look,couple,temperature,expert,continue,another,five,qualify,typically,occur,four,effect,record,heavy,rather,significant,might,alleviate,severe,dring,reduce,number,storm,tail,approach,peak,relatively,late,past,tool,predict,accuracy,hard,sneak,we,contribute,josh,larson
,10,9,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
