PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"August 7, 2012 Tuesday",2 of 190 DOCUMENTS,USA TODAY,Resources to prevent global warming already exist,,NEWS; Pg. 6A,,411 words,,,"August 7, 2012",ENGLISH,,,,,,NEWSPAPER,"Copyright 2012 Gannett Company, Inc.                               All Rights Reserved"
,climate,change,warming,debate,global,fact,pollution,time,must,Clean_Air_Act,editorial,law,greenhouse,gas,reduce,control,term,experience,cause,human,many,think,temperature,hundred,can,intelligent,discussion,science,obama,state,shift,challenge,United_States,thank,highlight,need,move,actually,something,prevent,summer,heat,record,view,wednesday,already,potent,weapon,harmful,air,four,decade,court,repeatedly,upheld,effort,apply,slow,timid,use,carbon,sake,planet,child,future,put,work,director,calif,make,discrepancy,clear,seem,ongoing,never,simpler,realize,drastic,difference,mean,4.5,billion,existence,opinion,refer,activity,tendency,warm,high,winter,due,ignore,deadly,cold,cost,life,straight,subject,settle
,dice,record,much,climate,heat,science,game,load,many,still,lose,burn,air,warmer,might,change,prove,CO2,jackpot,expect,place,cause,event,warming,fossil,fuel,sustainable,human,strength,tornadoe,maybe,roll,high,scientific,turn,water,vapor,rainstorm,good,rise,drought,energy,number,storm,play,shady,lawyer,three,time,client,small,innocent,money,odd,can,harder,co2,hard,show,project,bigger,lottery,bus,fare,slight,chance,costly,best,way,rapidly,case,worry,fossil_fuel,double_sixes,Earth,contribute,march,across,serious,mean,confidence,activity,add,carbon,dioxide,planet,thermostat,world,wave,fewer,low,observe,carry,deliver,inch,per,hour,hair,dryer
,12,6,6,6,5,5,5,5,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 31, 2012 Wednesday",15 of 190 DOCUMENTS,USA TODAY,Sandy signals an era of extreme weather,,NEWS; Pg. 8A,,476 words,,,"October 31, 2012",ENGLISH,,,,,,NEWSPAPER,"Copyright 2012 Gannett Company, Inc.                               All Rights Reserved"
,change,Sandy,climate,storm,nation,billion,along,warming,event,without,property,presidential,debate,hurricane,global,major,emission,weather,disaster,1980,continent,term,need,mission,man_made,United_States,put,perfect,atop,populous,region,result,human,misery,havoc,wring,northeast,nearly,people,dead,far,million,power,estimate,damage,record,flooding,shut,stock,exchange,subway,devastation,coast,boot,blizzard,spine,mountain,overshadowed,campaign,week,election,superstorm,policy,dimension,churn,ashore,near,monday,rage,scientific,government,circle,whether,monster,nor,easter,spawn,activist,point,exactly,sort,extraordinary,forecast,occur,atmosphere,ocean,grow,hotter,skeptic,shot,back,hit,1821,1938,long,factor,freak,answer,unknowable
,5,5,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 2, 2012 Friday",16 of 190 DOCUMENTS,USA TODAY,"Government shows its good, bad sides",,NEWS; Pg. 11A,,382 words,,,"November 2, 2012",ENGLISH,,,,,,NEWSPAPER,"Copyright 2012 Gannett Company, Inc.                               All Rights Reserved"
,change,president,climate,need,federal,Obama,people,put,effort,damage,work,hit,area,chance,many,americans,think,emergency,government,without,response,politics,shame,total,devastation,livelihood,happen,political,bashing,side,commend,bipartisan,forth,devastating,fact,view,meaningless,ted,hodgson,elect,representative,together,across,party,line,serve,nation,sight,sore,eye,alarmist,act,hurricane,ever,york,new,jersey,simply,true,worse,storm,human,spread,planet,natural,disaster,highly,populate,consider,still,believe,evolution,really,cause,man,accept,common,folk,alternative,profitable,mitigation,assistance,make,clear,infrastructure,lot,management,agency,vital,country,real,significant,negative,consequence,impressive,leadership,skill,necessary,wasteful
,6,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 6, 2012 Monday",22 of 190 DOCUMENTS,USA TODAY,Study ties heat waves to global warming,"Doyle Rice, USA TODAY",NEWS; Pg. 3A,,390 words,,,"August 6, 2012",ENGLISH,,,,,,NEWSPAPER,"Copyright 2012 Gannett Company, Inc.                               All Rights Reserved"
,warming,global,climate,heat,summer,wave,Hansen,scientist,cause,study,extreme,change,hottest,record,weather,NASA,Mass,world,recent,natural,2011,2010,likelihood,write,accord,occur,1950,evidence,pattern,little,june,data,Texas,Oklahoma,ago,warn,call,danger,front,panel,certain,trend,variation,buildup,carbon,dioxide,gas,atmosphere,burn,fossil,fuel,release,weekend,dean,conclude,likely,state,high,degree,confidence,anomaly,consequence,absence,exceedingly,small,hansen,proceedings,science,much,130,temperature,1980,rarer,300,odd,closer,atmospheric,highly,skeptical,finding,can,agree,conclusion,associate,due,naturally,link,look,back,ignore,1930,dwarf,doubt,combination,human,effect,suggest,big,event
,7,5,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 26, 2012 Thursday",25 of 190 DOCUMENTS,USA TODAY,Planting zones shift to the north; Warming trend alters U.S. hardiness map,"Janice Lloyd, USA TODAY",NEWS; Pg. 1A,,334 words,,,"January 26, 2012",ENGLISH,,,,,,NEWSPAPER,"Copyright 2012 Gannett Company, Inc.                               All Rights Reserved"
,new,grow,zone,plant,map,change,government,gardener,climate,magnolias,weather,gardening,nation,accord,guideline,make,tree,hardiness,base,update,director,much,program,Pennsylvania,lover,sultry,brave,chillier,northeast,camellias,trademark,stake,higher,latitudes,true,expert,expect,similar,oddity,represent,norm,safe,species,many,part,release,wednesday,show,time,decade,gradual,northward,warming,trend,possible,perennial,perish,colder,gospel,million,print,back,seed,pack,catalog,average,minimum,temperature,good,thing,marketing,communication,foundation,member,notice,successfully,kind,place,example,consider,risky,southern,old,dating,1990,statistic,1996,2005,put,warmer,undersecretary,department,issue,caution,read,think,methodology,appropriate,comment
,7,5,5,4,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 16, 2012 Thursday",27 of 190 DOCUMENTS,USA TODAY,80% affected by recent years' fierce weather,John Bacon with staff and wire reports,NEWS; Pg. 3A,,601 words,,,"February 16, 2012",ENGLISH,,,,,,NEWSPAPER,"Copyright 2012 Gannett Company, Inc.                               All Rights Reserved"
,last,weather,report,trailer,police,officer,hand,event,nation,climate,home,metal,baby,space,handshake,robot,New_Orleans,Robonaut,six,group,change,cause,city,people,scrap,effort,theft,pay,shot,man,hold,shooting,authority,call,cellular,access,protest,firm,finger,FEMA,Cincinnati,Rodbell,NASA,deadly,affect,240,million,americans,nearly,population,past,today,environmental,advocacy,particularly,awful,least,disaster,across,inflict,billion,damage,environment,america,program,director,global,warming,likely,culprit,scientist,colorado,part,less,willing,blame,woe,extreme,dring,consistent,expect,warmer,world,determine,whether,exacerbate,specific,easy,doyle,rice,leave,remove,floodwall,levee,break,flood,federal,emergency,management
,6,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 25, 2012 Monday",30 of 190 DOCUMENTS,USA TODAY,Wildfires encroach on tourist hot spots,John Bacon with staff and wire reports,NEWS; Pg. 3A,,586 words,,,"June 25, 2012",ENGLISH,,,,,,NEWSPAPER,"Copyright 2012 Gannett Company, Inc.                               All Rights Reserved"
,sunday,city,gay,near,sea,bankruptcy,state,parade,wildfire,battle,rise,level,pride,threaten,tourist,home,campground,early,people,crew,200,around,north,calif,faster,annual,rate,avoid,protection,million,mediation,law,adopt,special,budget,squirrel,celebrating,march,mark,marriage,Rocky_Mountain_National_Park,Colorado_Springs,Stockton,Chicago,San_Francisco,popular,destination,demolish,nearly,dozen,empty,hotel,base,erupt,grow,control,square,mile,prompt,evacuation,"11,000",resident,unknown,number,recognize,go,take,big,push,extinguish,gov,grocery,store,volunteer,pass,burrito,sandwich,drink,350,firefighter,earlier,blaze,destroy,structure,many,visitor,stay,visit,hamper,high,wind,force,800,flee,remain,evacuate,burn,dry,brush
,5,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 28, 2012 Friday",35 of 190 DOCUMENTS,USA TODAY,EPA chief Jackson steps down after 4 years; She angered industry with emissions rules,"Wendy Koch, @wendykoch, USA TODAY",NEWS; Pg. 5A,,800 words,,,"December 28, 2012",ENGLISH,,,"photo Chip Somodevilla, Getty Images EPA Administrator Lisa Jackson addresses the White House Tribal Nations Conference at the Department of Interior on Dec. 5.",,WASHINGTON,NEWSPAPER,"Copyright 2012 Gannett Company, Inc.                               All Rights Reserved"
,EPA,Jackson,new,standard,industry,president,emission,limit,gas,address,last,set,term,include,rule,pollution,Obama,thursday,tenure,greenhouse,regulation,administrator,plan,climate,change,often,congressional,challenge,family,opportunity,make,leave,state,secretary,head,job,find,court,propose,power,plant,emit,soot,may,delay,statement,bill,industrial,manufacturer,account,name,GOP,White_House,Senate,e_mail,chief,step,mark,agency,repeat,battle,group,lawmaker,serve,office,bold,accomplish,part,agenda,foil,opposition,occasionally,face,harsh,grilling,chairman,rep,fred,upton,need,parking,spot,summon,question,chemical,engineer,training,mom,teens,offer,reason,resignation,ready,time,difference,confident,ship,sailing,right
,12,8,7,6,5,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 31, 2012 Tuesday",39 of 190 DOCUMENTS,USA TODAY,"The underlying duel of 2012 // Seniors vs. Millennials; The young overwhelmingly back Obama, while those over 65 favor Romney. This divide -- and vote -- could impact U.S. policies for years to come.","Susan Page, USA TODAY",NEWS; Pg. 1A,,1943 words,,,"July 31, 2012",ENGLISH,,,,,COVER STORY,NEWSPAPER,"Copyright 2012 Gannett Company, Inc.                               All Rights Reserved"
,senior,Romney,president,campaign,voter,older,Obama,back,generation,support,people,change,among,government,issue,young,four,younger,go,age,poll,work,gap,today,obama,divide,much,country,priority,thing,think,three,millennial,volunteer,difference,election,point,view,college,make,ask,many,program,group,margin,give,sign,door,county,help,adult,presidential,still,2008,likely,vote,policy,spend,education,interest,way,school,bank,political,good,bad,new,state,dozen,try,next,may,include,error,call,rights,USA,GOP,volunteering,retire,home,granddaughter,gallup,almost,electorate,biggest,enthusiasm,victory,ago,shape,debate,need,place,find,big,lower,loan,business,background
,16,11,10,9,9,9,9,8,8,8,8,8,8,8,8,7,7,7,7,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"November 7, 2012 Wednesday",46 of 190 DOCUMENTS,USA TODAY,Iceland talks new name; Tourism office of tiny nation tries to counter a string of bad-news events with a makeover contest: People can submit suggestions to rename the country,Halldor Bachmann,NEWS; Pg. 12A,,588 words,,,"November 7, 2012",ENGLISH,,,,,,NEWSPAPER,"Copyright 2012 Gannett Company, Inc.                               All Rights Reserved"
,name,Iceland,country,change,government,people,include,idea,office,winner,collapse,cloud,contest,new,smallest,entry,recent,natural,better,land,volcanoe,explorer,nation,many,other,make,2010,prompt,submission,select,iceland,icelander,keep,refer,know,think,visit,island,Europe,financial,revolt,volcanic,disrupt,air,travel,week,hold,sure,whether,gag,give,calamity,unnatural,restartland,foreigner,nothing,consistent,information,desk,worker,bit,smoldering,lava,field,yes,ice,"1,000",ago,vike,temperate,climate,thanks,gulf,stream,modern,time,prosperous,albeit,population,"320,000",2008,banking,system,inflation,unemployment,jump,young,leave,horizon,orchestrate,angry,street,protest,bring,news,worldwide,2011,huge,ash
,16,14,6,5,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 20, 2012 Friday",47 of 190 DOCUMENTS,USA TODAY,La Nia cooled global temperature in 2011,"Doyle Rice, USA TODAY",NEWS; Pg. 2A,,343 words,,,"January 24, 2012",ENGLISH,,,,,,NEWSPAPER,"Copyright 2012 Gannett Company, Inc.                               All Rights Reserved"
,climate,record,temperature,2011,average,data,la,nia,scientist,globe,cool,global,warming,trend,degree,strong,lower,world,2000,warmer,center,report,century,1998,second_coolest,NASA,GISS,long_term,last,read,federal,announce,thursday,release,primary,set,show,much,warm,recent,mark,part,organization,use,source,slightly,different,method,interpreting,go,back,1880,natural,periodic,tropical,water,affect,weather,around,mean,slowed,look,increase,however,temporarily,suppress,fact,hotter,every,20th,except,nasa,nine,warmest,occur,21st,moderately,conclude,slowdown,likely,prove,illusory,rapid,appear,next,calculate,57.9,for,0.9,remarkable,precipitation,contrast,driest,wettest,contribute,press,National_Climatic_Data_Center,Goddard_Institute,Space_Studies
,7,6,5,5,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 17, 2012 Friday",49 of 190 DOCUMENTS,USA TODAY,"Dodge Journey delights and disappoints; The price has been trimmed, but options can add up fast",James R. Healey,MONEY; Pg. 2B,,849 words,,,"February 17, 2012",ENGLISH,,,photo By Bill Delaney,,AUTOS,NEWSPAPER,"Copyright 2012 Gannett Company, Inc.                               All Rights Reserved"
,model,vehicle,drive,feature,row,update,lot,engine,control,seat,mpg,Journey,2012,suv,much,trim,tell,start,standard,automatic,make,fwd,convenience,call,info,screen,feel,small,light,third,behind,can,ft,Chrysler,four_cylinder,SXT,FWD,2011,drivetrain,change,midsize,crossover,include,price,shipping,number,avp,test,fleet,"26,685",experience,good,way,many,safety,show,front,bin,space,system,little,phone,suburban,transmission,low,speed,fact,setting,new,value,available,option,go,rate,rpm,ft.,gallon,four_speed,front_wheel,Crew,AWD,significant,loosely,base,chrysler,minivan,benefit,substitution,cranky,older,headline,journey,package,surgical,hear,push,"19,795",basic,surprising
,11,6,6,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 8, 2012 Thursday",57 of 190 DOCUMENTS,USA TODAY,What to expect of 4 more years; Obama's legacy will be shaped by great challenges -- and a daunting partisan divide,"Susan Page, @susanpage, USA TODAY",NEWS; Pg. 1A,,1938 words,,,"November 8, 2012",ENGLISH,,,,,COVER STORY,NEWSPAPER,"Copyright 2012 Gannett Company, Inc.                               All Rights Reserved"
,president,Obama,term,tax,second,four,victory,election,majority,go,republican,White_House,nation,campaign,voter,fiscal,American,Romney,reduce,code,immigration,oil,promise,time,give,2008,face,support,cut,mandate,work,people,change,Chicago,House,U.S.,wednesday,call,address,deficit,leave,still,part,continue,take,elect,democrat,economy,country,political,last,partisan,tell,divide,cliff,end,program,way,revenue,endorse,overhaul,together,re_elected,Republican,second_term,tuesday,celebration,early,morning,ambitious,next,law,foreign,achievement,begin,lose,fact,three,place,act,fix,presidential,position,stark,contrast,economic,crisis,office,win,history,manage,twice,vote,think,agenda,finish,little,government,expand
,19,18,17,10,9,7,6,6,6,6,6,6,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"July 9, 2012 Monday",58 of 190 DOCUMENTS,USA TODAY,Olympic challenge: Having green grass; Wimbledon groundskeepers have been prepping for years,"Chris Oddo, Special for USA TODAY",SPORTS; Pg. 7C,,828 words,,,"July 10, 2012",ENGLISH,,,"photo By Susan Mullane, US Presswire Quick turnaround: Wimbledon's grass takes an annual beating at the feet of players such as Jo-Wilfried Tsonga, but, with Olympic tennis beginning July 28, the rush is on to get the grass in shape.",,TENNIS,NEWSPAPER,"Copyright 2012 Gannett Company, Inc.                               All Rights Reserved"
,Wimbledon,Stubley,seed,olympic,tennis,water,go,work,put,different,Seaward,world,change,time,green,baseline,think,make,head,become,know,have,well,court,process,warm,little,bit,lawn,england,club,plan,ryegrass,obviously,crew,challenge,use,pregerminate,grow,story,torch,way,groundsman,many,grass,wear,rest,we,country,thing,lot,do,last,take,trial,fertilizer,best,actual,three,hour,germinate,give,top,player,permit,color,garb,2012,game,freshly,manicure,remain,usual,brilliant,anyone,watch,easily,rapidly,expand,patch,scorch,earth,bring,back,hue,picnic,natural,concern,sure,turnaround,great,grounds,accept,aid,modern,cover,hopefully,cooperation,iconic
,12,11,10,7,6,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 30, 2012 Monday",66 of 190 DOCUMENTS,USA TODAY,How the drought is changing business,"Chuck Raasch, USA TODAY",NEWS; Pg. 1A,,1520 words,,,"July 30, 2012",ENGLISH,,,"GRAPHIC, B/W, Doyle Rice and Julie Snider, USA TODAY (Map)",,COVER STORY,NEWSPAPER,"Copyright 2012 Gannett Company, Inc.                               All Rights Reserved"
