PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"January 20, 2014 Monday",2 of 231 DOCUMENTS,USA TODAY,"Warming warning: El Nios could get kicked into high gear; More extreme weather possible, new study says","Doyle Rice, USA TODAY",NEWS; Pg. 3A,,537 words,,,"January 22, 2014",ENGLISH,,,"GRAPHIC, Color, USA TODAY (Diagram)",,,NEWSPAPER,"Copyright 2014 Gannett Company, Inc.                               All Rights Reserved"
,el,nio,study,extreme,climate,global,warming,change,event,weather,occur,frequency,new,research,model,find,pattern,double,water,temperature,eastern,equatorial,extend,period,warm,powerful,every,author,past,however,mean,result,increase,solid,scientist,issue,convincing,appear,remain,last,Nature_Climate_Change,Australia,Climate,worst,infamous,shake,around,world,upcoming,decade,due,sunday,journal,central,tend,warmer,average,time,typically,least,three,five,bring,significant,forecast,throughout,rest,century,accord,lead,national,science,agency,100,fuel,drought,wildfire,flood,rainstorm,along,often,recent,end,2010,aggregation,use,report,episode,cause,surface,cai,acknowledge,finding,stand,contrast,previous,consensus,question,challenge
"May 16, 2014 Friday",18 of 231 DOCUMENTS,USA TODAY,What can humans do to slow global warming?,,NEWS; Pg. 11A,,428 words,,,"June 6, 2014",ENGLISH,,,,,,NEWSPAPER,"Copyright 2014 Gannett Company, Inc.                               All Rights Reserved"
,change,climate,people,way,address,global,warming,level,judge,need,process,let,believe,regard,issue,consequence,twitter,political,die,irreversibly,melting,ozone,loss,accord,new,research,raise,sea,foot,century,quite,denial,ask,individual,live,life,slightly,restrain,conscious,impact,environment,quick,reach,anything,convince,really,bad,scientist,whole,consider,affect,community,planet,natural,point,nothing,help,decelerate,accelerate,whether,influence,minimal,great,hard,everything,make,sure,we,castiglione,stop,adopt,energy,conservation,policy,happen,americans,lose,job,letter,understand,naysayer,logic,express,sen,cost,federal,red,tape,oppose,view,debate,may,national,actually,international,problem,require,piecemeal,solution
,9,7,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 22, 2014 Monday",21 of 231 DOCUMENTS,USA TODAY,Companies to make climate pledges at U.N. summit; Investors' voices join chorus calling for action on emissions,"Wendy Koch, USA TODAY",NEWS; Pg. 1A,,972 words,,,"September 22, 2014",ENGLISH,,,"photo TIMOTHY A. CLARY, AFP/Getty Images",,,NEWSPAPER,"Copyright 2014 Gannett Company, Inc.                               All Rights Reserved"
,climate,company,carbon,oil,global,pledge,leader,world,emission,U.N.,week,business,include,reduce,fossil,fuel,investor,president,energy,summit,new,U.S.,Obama,change,warming,dioxide,methane,sign,group,today,gas,make,industry,country,take,renewable,power,largest,big,fight,cut,forest,production,thousand,action,policy,promote,minister,last,part,clean,announce,least,top,fund,dozen,join,commit,source,development,step,support,increase,call,negotiator,apple,event,talk,next,meet,speak,rise,half,degree,heat_trapping,United_States,China,India,Heintz,tout,gather,ever,u.n,much,politics,major,help,protect,leakage,nudge,act,ten,marcher,clog,street,sunday,dress,polar,bear
,10,8,8,7,7,6,6,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 1, 2014 Tuesday",22 of 231 DOCUMENTS,USA TODAY,Cage global warming deniers?; Skeptics getting a lot of hot air from activists,Jonah Goldberg,NEWS; Pg. 6A,,786 words,,,"April 1, 2014",ENGLISH,,,"photo Olivier Hoslet, epa Global warming activists protest in front of the European Commission headquarters in Brussels in January.",,,NEWSPAPER,"Copyright 2014 Gannett Company, Inc.                               All Rights Reserved"
,change,climate,warming,man,new,Weinstein,debate,people,global,scientist,insist,hyperbole,prediction,someone,argument,arrest,know,earth,must,suggest,political,serious,torcello,lead,2009,six,risk,strike,jail,free,let,shall,denier,fellow,pessimist,fast,kind,ice,never,ridiculous,prophecy,skepticism,activist,correction,many,threat,America,Italy,Krugman,Gore,finally,way,settle,put,wrong,side,cage,writer,website,gawker,recently,pen,rant,press,need,charge,imprison,deny,fairness,mass,besides,country,americans,solid,evidence,mostly,due,human,activity,can,round,every,dissenter,spared,street,think,right,idiot,stupid,anything,choke,atmosphere,little,mo,pibb,burp,gassy,exhaust,magnanimity
,9,6,5,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 28, 2014 Thursday",30 of 231 DOCUMENTS,USA TODAY,U.S. eyes 'name and shame' on climate change,"Wendy Koch, @wendykoch, USA TODAY",MONEY; Pg. 2B,,330 words,,,"August 28, 2014",ENGLISH,,,,,,NEWSPAPER,"Copyright 2014 Gannett Company, Inc.                               All Rights Reserved"
,climate,U.S.,treaty,Obama,administration,talk,seek,agreement,accord,emission,change,legally,bind,require,pledge,senior,another,ratify,Senate,U.N.,likely,use,upcoming,push,treatyless,name,shame,country,reduce,carbon,face,congress,balk,fight,negotiator,expect,ratification,instead,apt,major,polluter,believe,politically,official,kind,do,last,five,fellow,energy,issue,2009,president,make,international,cut,2005,level,2020,hold,summit,sept,advance,round,december,slated,yield,next,part,negotiation,sidestep,political,rather,global,report,wednesday,avoid,kyoto,failure,1997,sign,senate,never,state,department,spokesman,decline,describe,approach,word,new,currently,discussion,write,entirely,premature,whether,approval,yet
,9,5,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 20, 2014 Tuesday",31 of 231 DOCUMENTS,USA TODAY,"Climate change could wipe out many landmarks; Floods, storms, fires endanger historic sites","Doyle Rice, @USATODAYweather, USA TODAY",NEWS; Pg. 3A,,417 words,,,"June 6, 2014",ENGLISH,,,photo 2009 usa today photo,,,NEWSPAPER,"Copyright 2014 Gannett Company, Inc.                               All Rights Reserved"
,report,climate,accord,include,site,change,historic,rise,wildfire,across,place,impact,foot,area,UCS,cultural,risk,today,increase,large,location,land,sea,level,last,global,park,century,launch,USA,Washington,at_risk,English,Cape_Hatteras,Kennedy_Space_Center,put,landmark,around,release,union,science,advocacy,organization,base,d.c.,coastal,erosion,flooding,heavy,rain,frequent,damaging,archaeological,resource,building,landscape,nation,study,americans,live,rule,colonist,slavery,fall,gold,prospector,strike,rich,statue,va.,n.c.,almost,trace,history,director,already,risen,portion,slightly,2100,intergovernmental,panel,many,national,everglade,service,warming,observe,past,jamestown,permanent,settlement,likely,underwater,end,surround,canaveral,threaten,storm
,9,5,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 31, 2014 Friday",38 of 231 DOCUMENTS,USA TODAY,"Baby, it's cold outside, but yes, the globe is warming",,NEWS; Pg. 6A,,495 words,,,"January 31, 2014",ENGLISH,,,"photo John Amis, AP",,OPINION,NEWSPAPER,"Copyright 2014 Gannett Company, Inc.                               All Rights Reserved"
,climate,warming,weather,global,cold,change,severe,record,cause,january,frigid,state,time,well,denial,show,world,2013,another,whole,point,last,moment,snap,USA,Earth,long_term,call,polar,vortex,arctic,invasion,whatever,name,end,decade,part,eastern,tuesday,map,today,look,democrat,dream,shade,blue,president,portion,night,rare,snowstorm,spawn,epic,traffic,jam,paralyze,whiten,icing,suggest,crock,provide,fodder,comedy,mention,skepticism,sen,jame,inhofe,spell,make,everyone,question,whether,ever,real,tweet,expensive,bull,stop,ignorance,easy,dismiss,poll,number,americans,believe,decline,2006,survey,unusually,hot,season,shift,public,opinion,thing,keep,mind,try
,10,9,7,5,5,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 4, 2014 Monday",41 of 231 DOCUMENTS,USA TODAY,America's pain is China's gain,Ed Whitfield,NEWS; Pg. 8A,,369 words,,,"August 4, 2014",ENGLISH,,,,,,NEWSPAPER,"Copyright 2014 Gannett Company, Inc.                               All Rights Reserved"
,climate,China,president,carbon,Obama,energy,change,spend,billion,agency,seek,dioxide,emission,amount,U.S.,economy,leadership,job,country,nearly,across,federal,administration,action,power,plan,cost,dollar,consumer,fall,continue,America,EPA,grow,demand,rest,develop,world,highly,unlikely,succeed,likely,backfire,economic,opportunity,lose,hungry,affordable,accord,congressional,research,service,total,government,2008,2013,many,office,dedicated,personnel,expand,broaden,scope,activity,aggressive,propose,clean,limit,nation,plant,environmental,protection,admit,per,raise,price,obliterate,coal,industry,thousand,fully,understand,unilateral,little,impact,former,administrator,tell,subcommittee,ultimately,able,accumulate,atmosphere,alone,current,testify,last,measure,whether
,6,5,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 3, 2014 Wednesday",46 of 231 DOCUMENTS,USA TODAY,223 firms back EPA power plant rule; Companies sign letter supporting 30% carbon cut,"Doyle Rice, USA TODAY",MONEY; Pg. 5B,,563 words,,,"December 3, 2014",ENGLISH,,,"photo JASON WACHTER, st. cloud times, via AP",,,NEWSPAPER,"Copyright 2014 Gannett Company, Inc.                               All Rights Reserved"
,power,climate,company,plant,EPA,carbon,letter,support,pollution,propose,change,exist,rule,reduce,economic,help,economy,job,major,reduction,business,state,take,public,comment,plan,greenhouse,gas,global,accord,opportunity,step,country,president,group,regulation,bad,retrofit,building,create,old,win,148,U.S.,Environmental_Protection_Agency,low_carbon,Clean_Power_Plan,200,together,tuesday,concerned,immediate,implication,strongly,principle,behind,draft,standard,send,administration,congressional,leader,brand,name,fortune,500,include,among,223,sign,aim,nation,2005,level,represent,significant,action,ever,government,fight,period,end,monday,announce,final,next,summer,dioxide,burn,fossil,fuel,responsible,warming,conclusion,scientist,firmly,grounded,reality,know
,6,6,5,5,5,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 5, 2014 Wednesday",52 of 231 DOCUMENTS,USA TODAY,Let's agree to preserve planet for the future,,NEWS; Pg. 11A,,282 words,,,"November 5, 2014",ENGLISH,,,,,,NEWSPAPER,"Copyright 2014 Gannett Company, Inc.                               All Rights Reserved"
,change,climate,future,generation,we,continue,liberal,conservative,issue,emphasize,do,new,report,find,least,certainty,human,greenhouse,gas,emission,largely,blame,kill,messenger,can,discredit,message,tough,sacrifice,comfort,profit,environmental,sustainability,steward,hate,know,judge,skeptic,obstruct,need,vs.,expect,argument,active,role,government,ability,private,industry,rescue,unfortunately,primarily,become,political,point,right,deny,despite,evidence,mayer,cause,little,real,question,happen,many,undesirable,thing,occur,flood,forest,fire,shark,attack,mean,anything,try,prevent,lessen,impact,possibly,agree,majority,mankind,show,concern,environment,certainly,help,foster,approach,conservation,pollution,control,population,management,toxic,waste,disposal
,5,4,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 13, 2014 Thursday",57 of 231 DOCUMENTS,USA TODAY,U.S.-China climate accord offers new hope for planet,,NEWS; Pg. 6A,,521 words,,,"November 13, 2014",ENGLISH,,,"photo Mandel Ngan, AFP/Getty Images",,OPINION,NEWSPAPER,"Copyright 2014 Gannett Company, Inc.                               All Rights Reserved"
,emission,China,U.S.,Beijing,global,deal,climate,gas,wednesday,agreement,new,carbon,big,warming,world,greenhouse,limit,nation,increase,point,way,target,cut,leader,pledge,plant,atmosphere,change,keep,rise,seem,coal,prevent,next,Obama,definition,problem,require,solution,country,count,rest,together,produce,almost,announcement,important,step,toward,avert,catastrophic,disruption,lock,go,standoff,resist,head,start,industrialization,u.,reluctant,act,swamp,reduction,unexpectedly,detailed,president,set,pollution,2005,level,2025,jinp,time,cap,2030,sharply,share,fuel,energy,prompt,sudden,concern,fate,polar,bear,something,powerful,domestic,incentive,anyway,burn,power,factory,main,source,smog,shroud,city
,8,8,7,5,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 24, 2014 Wednesday",64 of 231 DOCUMENTS,USA TODAY,Don't constrain energy growth,Chip Knappenberger,NEWS; Pg. 10A,,373 words,,,"September 24, 2014",ENGLISH,,,,,,NEWSPAPER,"Copyright 2014 Gannett Company, Inc.                               All Rights Reserved"
,energy,climate,world,emission,president,nation,greenhouse,gas,need,live,plan,future,people,without,luxury,improve,better,call,change,desire,action,restrict,U.S.,summit,make,case,follow,lead,establish,concrete,ambitious,aim,reduce,ensure,sound,noble,cause,around,desperately,lot,thing,hem,develop,place,1.2,billion,access,electricity,many,adequate,supply,light,bulb,clean,cooking,facility,mention,sanitation,take,advantage,economic,opportunity,standard,human,welfare,today,technology,closely,tie,production,lower,akin,constrain,expansion,outcome,negative,impact,directly,affect,whole,fully,meet,worry,generate,potential,environmental,consequence,deal,consistently,rank,low,priority,opinion,poll,top,list,national,tout,success
,5,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 30, 2014 Tuesday",65 of 231 DOCUMENTS,USA TODAY,"After Earth's hottest year, a planetary pledge drive",,NEWS; Pg. 7A,,511 words,,,"December 30, 2014",ENGLISH,,,graphic,,OPINION,NEWSPAPER,"Copyright 2014 Gannett Company, Inc.                               All Rights Reserved"
,emission,talk,level,climate,current,cumulative,cause,commitment,set,make,hottest,record,temperature,cap,greenhouse,gas,nation,world,deal,reduce,bind,put,next,2030,cut,step,goal,Lima,Paris,China,European_Union,U.S.,december,draw,close,2014,appear,track,planet,modern,begin,particularly,remarkable,unsettling,happen,without,kind,el,niño,event,shuttle,heat,ocean,atmosphere,surface,verify,evidence,continue,mount,melting,ice,sheet,rise,sea,potentially,catastrophic,damage,counter,grave,threat,well,change,convention,take,place,1992,kyoto,1997,diplomat,keep,dicker,2009,2010,best,accord,announce,earlier,week,among,nearly,200,weak,better,time,country,include,develop,committed,fossil
,10,6,5,5,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 3, 2014 Tuesday",82 of 231 DOCUMENTS,USA TODAY,"At last, EPA gets U.S. into the climate game",,NEWS; Pg. 8A,,518 words,,,"June 6, 2014",ENGLISH,,,"GRAPHIC, Color, Janet Loehrke, USA TODAY (BAR GRAPH)",,,NEWSPAPER,"Copyright 2014 Gannett Company, Inc.                               All Rights Reserved"
,new,carbon,rule,global,administration,emission,far,best,state,bill,electric,U.S.,scientific,warming,rise,sea,level,power,plant,announce,meet,goal,reduction,plan,largest,important,climate,way,approach,use,set,group,job,environmental,chance,alarmist,prepare,worst,hope,recent,week,warning,faster,line,summer,thunderstorm,authoritative,study,document,irreversible,ice,sheet,melting,northward,migration,tropic,conflict,guarantee,limit,exist,monday,reverse,ominous,trend,definition,problem,2005,2030,swamp,increase,elsewhere,big,pollute,nation,follow,suit,mean,worth,effort,hardly,survive,political,legal,assault,prevent,hundred,million,ton,dioxide,enter,atmosphere,make,solar,wind,competitive,fossil,fuel,improve,public
,5,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 9, 2014 Friday",91 of 231 DOCUMENTS,USA TODAY,"Couric film traces roots of obesity; 'Fed Up' says food industry, public policy play role","Karen Weintraub, Special for USA TODAY",MONEY; Pg. 6B,,714 words,,,"May 9, 2014",ENGLISH,,,,,,NEWSPAPER,"Copyright 2014 Gannett Company, Inc.                               All Rights Reserved"
,food,film,industry,obesity,solution,eat,change,policy,people,feed,Couric,problem,public,kid,way,make,play,major,role,epidemic,often,lack,argue,biologically,program,desire,sugar,salt,fat,think,really,fact,take,truth,nutrition,expert,complex,school,real,misleading,accord,produce,cause,unhealthy,awareness,parent,well,book,social,attitude,brain,go,Fed_Up,new,movie,narrate,television,host,accuse,federal,government,nation,describe,personal,exercise,weight,gain,natural,result,lax,capitalize,literally,system,allow,target,nefarious,arm,better,control,debut,today,limited,run,theater,nationwide,challenging,personally,responsible,know,misl,activist,laud,goal,oversimplify,unnecessarily,vilify,part,whole,orchard
,14,9,8,6,5,5,5,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 21, 2014 Friday",92 of 231 DOCUMENTS,USA TODAY,Globe stayed warm in January; Fourth warmest temps on record,"Doyle Rice, USA TODAY",NEWS; Pg. 3A,,291 words,,,"February 21, 2014",ENGLISH,,,"GRAPHIC, B/W, Frank Pompa, USA TODAY (BAR GRAPH)",,,NEWSPAPER,"Copyright 2014 Gannett Company, Inc.                               All Rights Reserved"
,january,average,dring,warmest,record,report,U.S.,temperature,degree,ice,NOAA,warmer,fourth,thursday,global,second,accord,wettest,consecutive,sea,level,extent,weather,state,California,odd,man,country,shiver,bitterly,cold,much,rest,world,globally,keep,begin,1880,scientist,2002,2003,2007,54.8,1.17,53.6,top,occur,1998,area,precipitation,third,lead,devastating,flood,fifth,mark,38th,347th,20th,century,note,mix,bag,smallest,largest,slightly,cooler,warm,offset,frigid,central,eastern,likely,main,climate,story,national,climatic,data,center,n.c,monitor,federal,website,track,94.5,form,14.62,part,exceptional,worst,Earth,National_Oceanic,Atmospheric_Administration,20th_century,Land,Southern_Hemisphere,France,China
,12,5,5,4,4,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 20, 2014 Thursday",94 of 231 DOCUMENTS,USA TODAY,High court could put brake on greenhouse gas rules; Case concerns extent of EPA's regulation of emission sources,"Richard Wolf, USA TODAY",NEWS; Pg. 5A,,545 words,,,"February 20, 2014",ENGLISH,,,"graphic Charlie Riedel, AP",,,NEWSPAPER,"Copyright 2014 Gannett Company, Inc.                               All Rights Reserved"
