PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"August 3, 2016 Wednesday",4 of 227 DOCUMENTS,USA TODAY,"Clinton, Trump show stark contrast on climate change; Dem's warning of major crisis derided by GOP candidate as radical","Gregg Zoroya, and Doyle Rice, USA TODAY",NEWS; Pg. 5A,,881 words,,,"August 3, 2016",ENGLISH,,,"photo John Minchillo, AP",,,NEWSPAPER,"Copyright 2016 Gannett Company, Inc.                               All Rights Reserved"
,climate,change,Clinton,warming,platform,energy,Trump,global,candidate,leader,Democratic,American,urgent,voter,million,job,nominee,nothing,call,though,world,director,include,issue,fuel,support,coal,party,seek,government,Sittenfeld,Sierra_Club,presidential,concern,minor,president,campaign,proposal,acceptance,speech,july,science,research,sign,nation,rise,environment,2008,executive,website,solar,home,power,renewable,think,elect,promise,believe,fossil,action,state,republican,kill,reduce,take,federal,source,clean,note,Donald_Trump,GOP,hillary,offer,americans,starkly,different,view,trump,dismiss,problem,never,bigger,contrast,senior,vice,conservation,decried,policy,tuesday,extreme,reckless,agenda,appease,radical,donor,destroy,force,abject,poverty
"February 18, 2016 Thursday",19 of 227 DOCUMENTS,USA TODAY,IN BRIEF,,NEWS; Pg. 3A,,476 words,,,"February 19, 2016",ENGLISH,,,"photo Mark Lambie, El Paso Times",,,NEWSPAPER,"Copyright 2016 Gannett Company, Inc.                               All Rights Reserved"
,win,wednesday,California,claim,draw,ticket,prize,take,million,rain,snow,january,Florida,couple,kaltschmidt,winning,find,last,winner,today,show,soggy,el,niño,hiatus,dring,dry,climate,pattern,weather,return,average,temperature,degree,Powerball,Melbourne_Beach,Smith,U.S.,pair,share,jackpot,holder,three,historic,identify,accept,check,nickel,trust,headquarters,jan,grand,nearly,1.6,billion,sell,fla,purchase,calif,tenn.,david,play,number,regularly,money,lump,sum,payment,327,work,retire,homemaker,keep,quiet,tell,anyone,seek,legal,advice,relative,week,part,announce,yet,california,drench,heavy,forecaster,predict,put,dent,lengthy,rather,welcome,turn,hot,february,raising,doubt
,5,5,5,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 22, 2016 Friday",23 of 227 DOCUMENTS,USA TODAY,Get politics out of climate debate,John Coleman,NEWS; Pg. 9A,,365 words,,,"April 22, 2016",ENGLISH,,,,,,NEWSPAPER,"Copyright 2016 Gannett Company, Inc.                               All Rights Reserved"
,climate,U.N.,global,warming,science,earth,go,agreement,make,panel,scientist,politics,life,planet,many,debate,truth,include,new,movie,Paris,man_made,2016,great,deal,frenzy,become,uninhabitable,civilized,activity,man,allegedly,trigger,unstoppable,change,administration,set,commit,signing,nation,onto,document,friday,obvious,take,back,seat,environmentalist,bureaucrat,politician,recruit,research,issue,place,produce,desire,result,money,ideology,replace,chief,call,centralize,transformation,everyone,different,combat,allege,threat,americans,look,forward,transform,another,official,admit,seek,redistribute,de,facto,world,wealth,policy,former,head,recently,declare,religion,scare,talk,push,aside,basis,hard,cold,basic,theory,fail,notable
,10,7,5,5,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 28, 2016 Thursday",31 of 227 DOCUMENTS,USA TODAY,A bird's-eye view of climate change,"Terry Byrne, @terryism, USA TODAY",NEWS; Pg. 2A,,670 words,,,"July 28, 2016",ENGLISH,,,"photo Photos by Terry Byrne, USA TODAY",,,NEWSPAPER,"Copyright 2016 Gannett Company, Inc.                               All Rights Reserved"
,puffin,bird,Maine,wait,last,pair,burrow,change,kress,fish,set,thing,north,count,home,breeding,back,climate,seabird,conservation,voter,scientist,use,human,sight,eagle,take,1973,daily,adult,fate,chick,sea,ocean,farther,foot,eye,Eastern_Egg_Rock,American,Kress,remote,craggy,cliff,mile,coast,parent,pudgy,paint,brace,capricious,wind,fickle,foothold,hardscrabble,150,vy,incubate,puffball,carve,beneath,boulder,claw,brink,1901,remain,poise,number,charismatic,scientific,audit,state,warn,continent,catch,crisis,thursday,night,head,speak,issue,put,politician,odd,galvanize,saddle,burden,proof,long,ago,bald,danger,vanish,puff,symbolism,shield,activity,hunt,habitat,squandering
,10,9,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 28, 2016 Wednesday",32 of 227 DOCUMENTS,USA TODAY,The flub and fib roundup; The first presidential debate between Democrat Hillary Clinton and Republican Donald Trump certainly kept fact-checkers busy. Here are a few of the less-than-accurate claims:,FactCheck.org,NEWS; Pg. 8A,,1869 words,,,"September 28, 2016",ENGLISH,,,"photo Robert Deutsch, USA TODAY",,,NEWSPAPER,"Copyright 2016 Gannett Company, Inc.                               All Rights Reserved"
,Trump,Clinton,tax,pay,campaign,trump,Obama,Iran,income,leave,president,report,job,claim,debate,question,United_States,Blumenthal,billion,go,payment,change,tell,birth,murder,presidential,federal,ford,last,400,million,think,certificate,record,return,1979,impact,press,create,false,administration,january,wrong,climate,global,warming,hard,story,bear,continue,holt,manager,look,crime,number,small_car,U.S.,McClatchy,turn,state,division,sept,make,fail,long,1.7,release,prisoner,end,acknowledge,hoax,joke,real,well,evidence,2008,moderator,produce,week,take,close,secretary,check,send,reporter,involved,important,nobody,meeting,stop,killing,mayor,oct,Michigan,Chinese,China,Kenya,CNN,show
,18,14,12,12,12,11,11,11,8,8,8,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
"August 4, 2016 Thursday",44 of 227 DOCUMENTS,USA TODAY,"Auto industry balks at 2025 emissions regulations; Cars will cost more than consumers are willing to pay, it says","Brent Snavely, @BrentSnavely, Detroit Free Press",MONEY; Pg. 3B,,510 words,,,"August 4, 2016",ENGLISH,,,"photo file photo by STEVE FECHT, GANNETT",,,NEWSPAPER,"Copyright 2016 Gannett Company, Inc.                               All Rights Reserved"
,standard,automaker,industry,car,change,greenhouse,gas,emission,regulator,auto,regulation,develop,consumer,make,fuel,economy,government,argue,cost,sell,better,reduce,need,Grundler,automotive,conference,group,meet,2025,capable,review,next,well,kind,aggressive,force,environment,pay,federal,progress,last,think,new,climate,regulate,simmer,debate,normally,occur,behind,close,door,whether,spill,open,happen,clash,represent,set,must,far,high,step,technology,buy,evidence,show,meeting,current,potentially,higher,environmentalist,middle,possible,influence,spend,billion,decade,truck,dealership,outcome,regulatory,battle,ultimately,determine,likely,electric,hybrid,range,however,currently,place,add,price,alliance,inconsistent,willing,director,air
,8,8,7,7,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 4, 2016 Friday",45 of 227 DOCUMENTS,USA TODAY,Arctic sea ice is slipping away - and you're to blame,Doyle Rice,NEWS; Pg. 4A,,313 words,,,"November 4, 2016",ENGLISH,,,,,,NEWSPAPER,"Copyright 2016 Gannett Company, Inc.                               All Rights Reserved"
,ice,study,sea,Arctic,summer,carbon,square,climate,change,foot,accord,dioxide,emit,think,responsible,average,600,link,emission,ton,gas,American,personally,cause,vanish,release,thursday,something,simple,road,trip,may,blame,provide,level,detail,pollution,show,human,play,devastating,role,find,go,mean,volatile,weather,pattern,unless,reduce,rapidly,freeze,ocean,water,melt,refreeze,winter,summertime,area,shrink,nearly,"34,000",mile,data,center,combine,observation,statistic,dozen,computer,model,appear,journal,science,lack,ongoing,dring,recent,massive,snowstorm,along,lead,author,person,anywhere,disappear,equal,roundtrip,flight,car,ride,greenhouse,burn,fossil,fuel,oil,coal,per,translate
,8,8,7,6,5,5,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 29, 2016 Thursday",47 of 227 DOCUMENTS,USA TODAY,50 STORIES FROM 50 STATES,,NEWS; Pg. 4A,,5850 words,,,"December 29, 2016",ENGLISH,,,"photo Alyssa Pointer, AP",,,NEWSPAPER,"Copyright 2016 Gannett Company, Inc.                               All Rights Reserved"
,president,state,go,death,water,charge,die,leave,find,case,know,include,change,2016,court,woman,former,city,lead,officer,time,sexual,million,people,nation,serve,three,police,world,federal,Obama,gun,2015,life,make,become,official,nearly,U.S.,assault,national,history,story,man,way,child,take,son,near,shoot,student,abuse,new,America,trump,protest,violence,today,investigation,school,justice,force,decade,october,november,lose,election,count,may,sentence,six,law,win,group,four,run,decision,january,june,without,teacher,several,high,coach,august,rights,presidential,home,resident,crisis,cause,around,park,area,public,lawsuit,video,worker,USA
,18,17,14,14,14,13,12,12,12,11,10,10,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"December 8, 2016 Thursday",60 of 227 DOCUMENTS,USA TODAY,Scientists to brave stormy seas for 90-day Antarctic trip,"Doyle Rice, @usatodayweather, USA TODAY",NEWS; Pg. 2A,,358 words,,,"December 8, 2016",ENGLISH,,,"photo Richard Youd, Australian Antarctic Division",,,NEWSPAPER,"Copyright 2016 Gannett Company, Inc.                               All Rights Reserved"
,around,mission,island,Antarctica,scientific,scientist,expedition,research,Walton,voyage,explore,ocean,study,climate,change,board,group,new,continent,seas,Southern_Ocean,bring,together,country,researcher,impact,pollution,better,understanding,critical,preservation,whole,planet,statement,vessel,depart,dec.,expert,glaciology,climatology,biology,oceanography,discipline,different,project,undertake,pole,essential,balance,region,apparent,sponsor,aim,spark,interest,generation,young,explorer,polar,though,1950,chief,hope,link,area,largely,unknown,promote,way,look,mainly,antarctica,work,occur,near,team,use,sophisticated,underwater,vehicle,examine,marine,life,ice,shelf,organized,institution,university,base,support,staff,helicopter,pilot,field,guide,nobel,laureate,join,experience
,6,5,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 10, 2016 Wednesday",61 of 227 DOCUMENTS,USA TODAY,IN BRIEF,,NEWS; Pg. 3A,,346 words,,,"February 10, 2016",ENGLISH,,,"photo PETER KNEFFEL, european pressphoto agency",,,NEWSPAPER,"Copyright 2016 Gannett Company, Inc.                               All Rights Reserved"
,storm,court,tuesday,snow,meteorologist,weather,climate,plan,blow,power,state,system,higher,winter,inch,area,accord,Obama,Royal_Caribbean,Ohio_Valley,Mid_Atlantic,Louisville,Cincinnati,supreme,block,deal,president,signature,change,initiative,halting,administration,effort,reduce,plant,pollution,legal,battle,rage,move,five,conservative,member,shock,environmentalist,expect,justice,deny,federal,appeal,last,petition,file,mostly,industry,leader,must,halt,enforcement,clean,lower,decide,merit,lawsuit,oral,argument,begin,early,june,decision,another,away,ship,sailing,know,better,word,expert,closely,monitor,development,rock,line,anthem,sunday,monday,vessel,sail,southward,path,grow,eventually,pack,wind,100,mph,create,wave,foot
,5,4,4,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 21, 2016 Friday",64 of 227 DOCUMENTS,USA TODAY,'Bama medical tent popping up all over,"Dan Wolken, dwolken@usatoday.com, USA TODAY Sports",SPORTS; Pg. 2C,,1186 words,,,"October 21, 2016",ENGLISH,,,"photo Kevin Jairaj, USA TODAY Sports",,,NEWSPAPER,"Copyright 2016 Gannett Company, Inc.                               All Rights Reserved"
,coach,go,football,week,Alabama,Texas,Allen,tent,without,program,try,people,job,play,matter,really,allow,athletics,sport,call,market,tell,accord,thing,though,lot,athlete,new,way,coordinator,game,sign,opponent,Michigan,Arizona_State,last,season,medical,sideline,significant,never,injure,player,examine,trainer,top,project,medicine,engineering,bring,company,sell,today,open,amazing,take,work,simply,moment,potential,make,much,change,environment,time,injury,difference,big,benefit,opening,industry,might,among,name,defensive,wrong,second,accuse,rumor,pick,rule,recruiting,good,Louisville,Mississippi,Florida_State,LSU,Houston,Washington,Wake_Forest,Pelini,Leach,title,curiosity,anything,privately,back,locker,room
,11,8,6,6,6,6,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1
"December 14, 2016 Wednesday",66 of 227 DOCUMENTS,USA TODAY,Trump's standoff with Mexico could hit wall; Evidence is scant that there's an exodus of jobs heading south,"Matt Krantz, and Paul Davidson, @mattkrantz, @PDavidsonusat",MONEY; Pg. 1B,,787 words,,,"December 14, 2016",ENGLISH,,,,,,NEWSPAPER,"Copyright 2016 Gannett Company, Inc.                               All Rights Reserved"
,company,move,U.S.,plan,production,Mexico,job,plant,make,firm,border,maker,accord,global,list,go,south,conference,2015,financial,product,claim,investment,United_Technologies,vow,head,number,shift,include,technology,past,market,database,carrier,unit,announce,many,call,report,show,happen,benefit,worker,automated,factory,foreign,lose,offset,create,back,facility,lower,cost,due,casket,cookie,position,still,Trump,Mondelez,Chicago,stop,across,might,sound,good,grand,save,hope,far,epidemic,imply,six,universe,thousand,trading,major,exchange,medical,motion,control,part,rexnord,indicate,today,analysis,intelligence,compile,discontinued,operation,target,period,complete,way,broadcast,relocate,review,transcript,earning
,16,15,13,10,10,10,9,7,6,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 18, 2016 Monday",81 of 227 DOCUMENTS,USA TODAY,"Green energy funding falls from 2015 highs; Financing for solar, wind, other alternatives down 23% compared to same period last year","@bill_loveless , Special for , USA TODAY",MONEY; Pg. 4B,,644 words,,,"July 18, 2016",ENGLISH,,,"photo Remko de Waal, AFP/Getty Images",,,NEWSPAPER,"Copyright 2016 Gannett Company, Inc.                               All Rights Reserved"
,billion,investment,2015,project,energy,solar,spend,U.S.,BNEF,wind,last,report,financing,2016,record,total,figure,much,firm,among,new,clean,fossil,fuel,348.5,lower,period,quarter,look,global,statement,nearly,climate,emission,result,primarily,estimate,less,latest,change,upward,asset,small,associate,region,far,number,farm,quarterly,still,question,trend,utility_scale,China,Europe,Brazil,turn,tough,act,follow,around,world,finance,reveal,alternative,substantially,dedicated,six,116.4,second,61.,almost,certain,fail,match,runaway,chairman,advisory,board,accompany,topic,attract,closer,attention,200,country,prepare,implement,agreement,aim,reduce,carbon,burn,coal,discrepancy,appear,larger,news,analytics
,14,13,8,7,6,5,5,5,5,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 8, 2016 Tuesday",87 of 227 DOCUMENTS,USA TODAY,"Celebrities lend star power to new music, social documentaries",,LIFE; Pg. 3D,,555 words,,,"November 9, 2016",ENGLISH,,,photo Kino Lorber,,,NEWSPAPER,"Copyright 2016 Gannett Company, Inc.                               All Rights Reserved"
,documentary,watch,city,New_York,music,follow,back,produce,play,expand,friday,change,producer,ivory,film,team,sell,january,additional,nov,simmon,band,fan,include,throughout,november,december,kill,Netflix,Los_Angeles,San_Francisco,Atlanta,beautiful,planet,gun,turn,wattage,tale,otherwise,may,overlook,moviegoer,2016,fall,boast,unusually,high,number,delve,politics,social,heartwarming,adventure,today,pick,highlight,leonardo,dicaprio,along,throw,weight,behind,last,climate,environmental,activist,executive,game,explore,dark,underbelly,trafficking,undercover,expert,suspenseful,sometimes,journey,country,elephant,poach,shop,tusk,stream,theater,daisy,ridley,narrate,empowering,premier,teenager,unlike,actress,fearless,star,war,character,support,father,train
,5,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 2, 2016 Wednesday",90 of 227 DOCUMENTS,USA TODAY,STORY STOCKS,,MONEY; Pg. 6B,,138 words,,,"March 2, 2016",ENGLISH,,,graphic,,,NEWSPAPER,"Copyright 2016 Gannett Company, Inc.                               All Rights Reserved"
,chg,price,high,low,share,United_Technologies,company,95.05,cent,7.96,0.25,8.07,7.56,react,downward,spiral,oil,erode,financial,position,energy,announce,sell,135,million,7.65,bolster,balance,sheet,1.57,92.07,abandon,bid,worth,billion,rival,force,deal,unwilling,partner,reject,offer,last,week,9.54,1.04,12.2,9.75,8.82,report,adjust,earning,represent,big,turnaround,loss,record,earlier,quarter,Marathon_Oil,Houston_based,Honeywell,Hertz_Global,car_rental,fourth_quarter
,6,4,3,3,3,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 28, 2016 Monday",91 of 227 DOCUMENTS,USA TODAY,"Jobs report could push Fed to lift interest rates; If survey is strong, it could 'make a case' for a raise in April","Paul Davidson, @PDavidsonusat, USA TODAY",MONEY; Pg. 5B,,467 words,,,"March 28, 2016",ENGLISH,,,"photo Justin Sullivan, Getty Images",,,NEWSPAPER,"Copyright 2016 Gannett Company, Inc.                               All Rights Reserved"
,report,job,january,last,economist,economic,consumer,february,rate,week,likely,growth,market,expect,federal,reserve,make,interest,april,stage,spend,manufacturer,consumption,temperature,show,chief,survey,confidence,stock,rebound,closely,index,solid,march,global,gain,Bloomberg,cautious,go,noise,raise,stand,pat,past,meeting,employment,need,set,thunderclap,take,center,busy,news,reveal,whether,surge,sustain,emerge,prolong,slump,jump,0.5,high,broadly,step,purchase,especially,utility,amid,return,normal,winter,warm,spell,late,core,read,retail,sale,dip,higher,average,wage,slowed,sign,pickup,note,estimate,monday,tick,0.1,shake,turbulence,tepid,impressive,rally,recently,payroll,development
,7,5,5,5,5,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 5, 2016 Wednesday",94 of 227 DOCUMENTS,USA TODAY,"Keeping a focus on sports' future; Report, conference look ahead","Erik Brady, @ByErikBrady, USA TODAY Sports",SPORTS; Pg. 1C,,1673 words,,,"October 5, 2016",ENGLISH,,,"photo Pablo Martinez Monsivais, AP",,,NEWSPAPER,"Copyright 2016 Gannett Company, Inc.                               All Rights Reserved"
,sport,reality,report,go,team,game,future,virtual,way,augment,world,ad,think,feel,watch,put,next,data,kid,Delaware_North,Bronson,owner,show,point,thing,time,make,use,middle,class,minute,channel,change,Jacobs,McHugh,today,wednesday,perhaps,try,new,last,much,sort,conference,mean,fan,partner,play,happen,suggest,sense,content,highlight,generation,measure,buy,lot,headset,something,rate,behind,often,present,professional,dog,pony,rise,concessionaire,look,give,prediction,athlete,replay,iteration,five,cite,document,young,emerge,audience,take,produce,league,people,futurist,conscious,contribute,editor,certain,power,global,back,figure,millennial,expert,side,history,why,whole
