PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"February 22, 2014 Saturday",2 of 454 DOCUMENTS,Pittsburgh Post-Gazette,THE NOTION OF 'SETTLED SCIENCE' IS IN ITSELF ANTI-SCIENTIFIC,,EDITORIAL; Pg. A-12,,770 words,,,"February 24, 2014",ENGLISH,,,,,,Newspaper,Copyright 2014 P.G. Publishing Co.
,settle,science,climate,hurricane,global,change,mammogram,model,last,California,warming,fact,breast,cancer,offer,prediction,make,hit,god,denier,have,long,believe,atmosphere,scientist,pretend,cause,propagandist,debate,nothing,death,every,less,effect,indeed,think,today,computer,weather,call,point,suggest,extreme,fewest,previous,land,new,burn,whoring,climate_change,United_States,half_century,repeat,believer,good,humanity,spew,ton,carbon,dioxide,know,exactly,assert,chief,latest,state,address,really,idea,static,impervious,challenge,take,example,assume,help,reduce,require,insurance,plan,free,learn,massive,randomize,study,"90,000",woman,follow,may,five,diagnose,receive,unnecessary,radiation,chemo,surgery,much,settledness,well
,9,9,9,7,7,7,5,5,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 6, 2014 Sunday",65 of 454 DOCUMENTS,Pittsburgh Post-Gazette,MOVEMENT TARGETS FOSSIL FUEL DIVESTITURE; RELIGIOUS AND LIBERAL GROUPS SEE ENVIRONMENT AS A 'MORAL ISSUE',"Peter Smith, Pittsburgh Post-Gazette",LOCAL; Pg. A-1,,1273 words,,,"July 8, 2014",ENGLISH,,,,,,Newspaper,Copyright 2014 P.G. Publishing Co.
,fuel,group,fossil,religious,industry,divestment,gas,divest,environmental,effort,take,change,last,natural,social,carbon,climate,recent,vote,issue,campaign,long,activist,company,financial,impact,statement,movement,national,week,assembly,include,figure,whether,pressure,share,drilling,coal,energy,sister,Pittsburgh,international,join,use,investment,burn,guthrie,aim,question,global,warming,small,grow,make,symbolic,emission,leave,gain,become,denomination,build,general,june,holding,200,amount,shareholder,represent,support,step,we,need,put,regional,quaker,instead,corporation,spiritual,consider,creation,boom,shale,extract,despite,local,increase,dollar,source,line,renewable,administration,report,larger,public,continue,humility,mary,refuse,political
,10,10,9,8,7,6,6,5,5,5,5,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"February 28, 2014 Friday",82 of 454 DOCUMENTS,Pittsburgh Post-Gazette,CONSERVATIVES MUST HELP DRIVE THE SOLUTION FOR CLIMATE CONCERNS,PRICE ATKINSON,EDITORIAL; LETTERS TO THE EDITOR; Pg. B-6,,274 words,,,"February 28, 2014",ENGLISH,,,PHOTO: Tim Brinton:,,,Newspaper,Copyright 2014 P.G. Publishing Co.
,climate,conservative,tax,emission,free,enterprise,solution,government,regulation,incentive,policy,energy,future,price,leave,compete,read,column,regard,global,change,basic,science,denial,fellow,cost,feb.,clear,increase,burn,fossil,fuel,around,globe,fact,cause,overall,rise,temperature,need,carbon,approach,every,dollar,raise,new,100,percent,return,taxpayer,bring,republican,table,anything,else,nonstarter,exercise,futility,solve,national,bipartisan,issue,pricing,fix,market,distortion,currently,exist,clumsy,fickle,direct,subsidy,negative,externality,swap,income,empower,instead,mandate,reduce,risk,deliver,brighter,citizen,believe,liberty,hope,shape,elegant,signal,rather,stultify,regulate,environmental,dominate,whole,discussion,continue,hide
,4,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 18, 2014 Thursday",87 of 454 DOCUMENTS,Pittsburgh Post-Gazette,PROGRESS IN LIMA; MANY NATIONS NOW WANT TO CURB GREENHOUSE GASES,,EDITORIAL; Pg. B-6,,328 words,,,"December 19, 2014",ENGLISH,,,,,,Newspaper,Copyright 2014 P.G. Publishing Co.
,develop,nation,change,country,climate,greenhouse,gas,become,world,economy,position,problem,next,summit,news,still,progress,growth,largest,continue,argument,include,make,Lima,United_States,outcome,conference,positive,reveal,barrier,address,crucial,global,representative,meet,week,lay,groundwork,set,december,good,every,leave,lima,pledge,cut,emission,bad,promise,reduction,fulfil,enough,prevent,serious,damage,environment,significant,involved,portray,avoid,restrain,economic,yet,meantime,probably,status,may,cause,less,reluctant,accept,responsibility,critical,shift,polluter,time,various,insist,oblige,aid,adap,reduce,evoke,little,sympathy,modern,industrial,pollute,atmosphere,therefore,hook,fix,worldwide,face,harm,meaningful,step,take,difficult
,9,5,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 2, 2014 Tuesday",93 of 454 DOCUMENTS,Pittsburgh Post-Gazette,"FOR LIBERALS, IT'S A KEYSTONE COP-OUT",Charles Lane,BUSINESS; POWERSOURCE VOICE: CHARLES LANE; Pg. D-3,,836 words,,,"December 3, 2014",ENGLISH,,,,,,Newspaper,Copyright 2014 P.G. Publishing Co.
,oil,project,Keystone_XL,progressive,Canada,yet,xl,end,ad,pipeline,crude,sand,climate,keystone,still,planet,though,change,construction,fact,Mr._Steyer,building,game,environmentalist,majority,support,accord,today,thus,filibuster,may,least,must,opponent,rule,principle,influence,politics,steyer,spend,million,critical,liberal,job,state,department,understand,value,ship,make,reality,recently,land,far,elsewhere,U.S.,anti_Keystone,United_States,speed,flow,refinery,jame,hansen,heed,word,swear,stop,require,government,approval,large,bipartisan,percent,public,latest,poll,hold,vote,last,week,debate,bill,thwart,might,disastrous,exercise,democracy,short,save,believe,include,people,decried,unreasonably,obstructionist,evil,republican,employ,president
,8,8,8,6,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 30, 2014 Thursday",101 of 454 DOCUMENTS,Pittsburgh Post-Gazette,'SETTLED' SCIENCE?,ERIC SLAN,EDITORIAL; LETTERS TO THE EDITOR; Pg. B-4,,239 words,,,"January 31, 2014",ENGLISH,,,,,,Newspaper,Copyright 2014 P.G. Publishing Co.
,settle,science,know,letter,matter,scientific,scientist,way,climate,change,regard,editor,jan,offer,question,pose,church,1613,dare,assert,inconvenient,truth,crowd,broad,ever,theory,provisional,always,pok,around,edge,fundamental,nature,include,teach,student,establish,fact,think,almost,reputable,make,live,challenging,other,agree,upon,have,riffle,journal,lejeune,speak,find,article,galore,remind,forever,refine,reform,model,reality,fair,stipulate,can,wait,take,action,otherwise,never,thing,notion,expedient,political,meme,stifle,dissent,let,censor,away,refuse,publish,challenge,leave,hometown,paper,reader,free,debate,issue,really,truly,proponent,keep,trolling,research,grant,Jim_LeJeune,Climate_Change,Scientific_Fact
,6,5,3,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 4, 2014 Thursday",108 of 454 DOCUMENTS,Pittsburgh Post-Gazette,THE RENEWAL OF A WIND TAX CREDIT IS A BAD MOVE,THOMAS PYLE,EDITORIAL; LETTERS TO THE EDITOR; Pg. B-6,,285 words,,,"December 5, 2014",ENGLISH,,,,,,Newspaper,Copyright 2014 P.G. Publishing Co.
,wind,tax,PTC,credit,expensive,climate,change,carbon,dioxide,energy,percent,production,revive,reduce,emission,wealth,transfer,corporation,subsidy,make,president,Pennsylvania,editorial,board,recently,call,renew,dub,help,curtail,alarming,effect,invest,congress,nov,unfortunately,neither,good,policy,effective,way,unreliable,electricity,generate,125,natural,gas,coal,work,blowing,necessarily,need,moreover,massive,taxpayer,2012,alone,fork,million,dollar,producer,state,receive,much,money,go,line,pocket,billionaire,admit,facility,sense,without,little,combat,crucial,building,block,plan,regulate,power,plant,however,rule,global,1.5,2050,effectively,negligible,impact,fact,clear,promote,family,multinational,fail,dent,although,renewal
,6,6,6,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 26, 2014 Wednesday",110 of 454 DOCUMENTS,Pittsburgh Post-Gazette,COAL-USE CONCERNS,CHRIS MULLIN,EDITORIAL; LETTERS TO THE EDITOR; Pg. B-6,,306 words,,,"March 26, 2014",ENGLISH,,,,,,Newspaper,Copyright 2014 P.G. Publishing Co.
,coal,reduce,percent,clean,burn,efficiency,climate,problem,policy,march,carbon,claim,else,use,half,take,100,plant,way,discuss,today,much,peng,mislead,reader,perspective,commentary,championing,viable,route,greenhouse,gas,champion,stifl,realistic,thing,refer,method,pollutant,particulate,nothing,dioxide,emission,sequestration,nonviable,make,childish,everyone,greater,fuel,increase,usage,government,induce,foreign,build,money,save,inducement,enough,solve,best,lead,world,stop,another,opinion,piece,couple,week,ago,scorn,caucus,waste,time,session,liberal,put,display,instead,people,focus,economy,job,yes,press,concern,country,join,discussion,change,may,threat,unemployment,rate,dire,chance,energy,path
,6,5,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 12, 2014 Thursday",113 of 454 DOCUMENTS,Pittsburgh Post-Gazette,DON'T BUY THE CAMPAIGN AGAINST NEW POLLUTION RULES,FRANCES BEINECKE,EDITORIAL; Pg. A-8,,734 words,,,"June 13, 2014",ENGLISH,,,,,,Newspaper,Copyright 2014 P.G. Publishing Co.
,pollution,EPA,job,carbon,coal,new,energy,kill,climate,power,percent,worst,polluter,cost,lie,limit,electric,plant,proposal,take,bill,create,electricity,number,state,work,clean,tell,America,nation,ally,campaign,standard,start,official,announcement,opposition,lining,range,astonishing,falsehood,air,increase,change,association,claim,double,effect,fact,call,cut,price,already,health,billion,accord,chamber,plan,sen,"800,000",still,provide,short,rule,responsibility,dangerous,credit,National_Mining,Commerce,California,launch,propaganda,convince,nothing,backdoor,tax,money,stake,important,let,stand,right,amount,pour,zero,risk,asthma,heart,disease,lung,cancer,lead,cause,loophole,lucrative,giveaway,surprising,howling,thing
,11,10,9,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 5, 2014 Sunday",132 of 454 DOCUMENTS,Pittsburgh Post-Gazette,JACK KELLY IS OUT OF TOUCH WITH REALITY ON CLIMATE CHANGE,"ROD ELDER, South Park",EDITORIAL; LETTERS TO THE EDITOR; Pg. D-2,,198 words,,,"October 7, 2014",ENGLISH,,,,,,Newspaper,Copyright 2014 P.G. Publishing Co.
,last,sunday,publish,column,real,experience,normal,include,increasingly,hysterical,title,demonstrate,total,lack,understanding,problem,associate,global,climate,change,write,commentary,recently,announce,sept,planet,whole,warmest,summer,begin,1880,true,area,cooler,temperature,central,ocean,land,mass,warmer,heating,danger,species,human,article,terribly,uninformed,berate,secretary,state,tell,we,truth,bad,enough,insulting,characterization,"400,000",other,five,busload,pittsburgher,motley,crew,marxist,spread,message,poor,taste,make,wonder,continue,far,touch,reality,Jack_Kelly,Climate_Craziness,National_Oceanic,Atmospheric_Administration,record_keeping,Eastern_United_States,Africa,Earth,John_Kerry,New_York,Post_Gazette
,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 8, 2014 Wednesday",135 of 454 DOCUMENTS,Pittsburgh Post-Gazette,BYLINE: From staff and wire reports,,BUSINESS; BUSINESS BRIEFS; Pg. C-1,,577 words,,,"October 10, 2014",ENGLISH,"October 9, 2014","Nonprofit arts groups in the region received $1.24 million in contributions and $250,000 in matching funds during the Arts Day of Giving last week. An incorrect amount appeared in a business brief item Wednesday.",,,,Newspaper,Copyright 2014 P.G. Publishing Co.
,company,plan,council,million,august,educational,acquire,appeal,july,401,region,match,contribution,consumer,billion,rise,job,opening,hire,fall,app,firm,use,expand,available,nonprofit,supercenter,town,group,approve,member,best,largest,employer,index,highlight,art,generate,nearly,receive,fund,event,tuesday,number,borrowing,13.5,increase,total,drive,Oakland_based,Turnitin,LightSide,CMU,Wal_Mart,tech,technology,found,last,specialize,automated,plagiarism,detection,student,papers,guide,write,tool,offering,current,staff,end,summer,detail,industrial,center,purview,development,corp,ridc,lease,land,research,space,2003,develop,property,complete,2005,oppose,mccandless,ask,judge,throw,approval,foot,near,citizen,vote,store
,6,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 28, 2014 Tuesday",152 of 454 DOCUMENTS,Pittsburgh Post-Gazette,CLIMATE CHANGE WILL BE COSTLIER THAN EBOLA,"ROSEMARY S. PROSTKO, Bethel Park \ \",LIFESTYLE; LETTERS TO THE EDITOR; Pg. B-4,,193 words,,,"October 28, 2014",ENGLISH,,,,,,Newspaper,Copyright 2014 P.G. Publishing Co.
,murphy,rep.,tim,opponent,political,think,climate,change,health,expensive,Ebola,surprised,huge,article,close,candor,miss,oct,perspective,remember,give,equal,time,sad,approximately,run,opposition,almost,though,main,party,collude,seat,take,anyone,besides,often,candidate,office,back,commentary,make,lot,sense,ignore,slam,start,substitute,world,funny,support,scientific,rigor,human,involvement,threat,mo,plan,agree,moral,real,stop,regardless,cost,clean,air,move,dirty,coal,renewable,point,public,hazard,kill,people,animal,plant,U.S.,Election,Ebola_Debate,three_fourths,Western_Pennsylvania,Russia,Mr._Murphy,self_interest
,4,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 12, 2014 Friday",154 of 454 DOCUMENTS,Pittsburgh Post-Gazette,2 BLASTS KILL AT LEAST 40 IN NIGERIAN CITY,Compiled from news services,WORLD; WORLD BRIEFS; Pg. A-7,,688 words,,,"December 12, 2014",ENGLISH,,,,,,Newspaper,Copyright 2014 P.G. Publishing Co.
