PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"September 30, 2003 Tuesday",3 of 283 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),RUSSIA PLAYS COY ON BACKING KYOTO CLIMATE PACT;  PUTIN SOURING HOPES FOR RATIFICATION SOON,"SUSAN B. GLASSER, THE WASHINGTON POST","WORLD, Pg.A-5",,703 words,MOSCOW,,"September 30, 2003",ENGLISH,,,,,,,Copyright 2003 P.G. Publishing Co.
,Russia,emission,country,percent,ratification,gas,Putin,pact,agreement,ratify,give,benefit,conference,global,greenhouse,treaty,protocol,economic,deal,stand,level,billion,Kyoto,president,warming,hold,environmental,ago,final,world,believe,climate,change,approval,delay,guarantee,speech,term,express,pledge,might,sometimes,warm,1990,far,share,limit,quota,Japan,refuse,commit,brush,aside,entreaty,enactment,landmark,accord,administration,refusal,endorse,international,curb,essentially,veto,effect,enough,account,many,scientist,cause,harmful,little,hope,backer,long,anticipate,face,bureaucratic,report,demand,open,government,closely,study,warn,part,complex,difficult,unclear,problem,general,back,1997,actively,quickest,possible,indication,decide,spell
"August 8, 2003 Friday",32 of 283 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),NON-CANDIDATE GORE ATTACKS HOW BUSH SOLD THE WAR,"RANDAL C. ARCHIBOLD, THE NEW YORK TIMES","NATIONAL, Pg.A-1",,707 words,,,"August 8, 2003",ENGLISH,,,,,,,Copyright 2003 P.G. Publishing Co.
,Gore,president,Bush,speech,war,campaign,former,gore,go,political,best,evidence,available,way,address,candidate,spokeswoman,vice,administration,tax,advocacy,group,pattern,economic,policy,use,threat,pose,run,event,direction,make,put,feel,international,adviser,take,bush,secure,security,Iraq,Democratic,al,wade,back,presidential,politics,accuse,promote,false,impression,need,cut,speak,500,people,invite,campus,chapter,engage,distortion,foreign,environmental,mishandling,selective,pretty,much,intentionally,distort,climate,change,reject,economy,budget,proposal,major,announce,december,2004,enter,timing,season,heat,raise,eyebrow,circle,week,ago,ask,moveon.,org,protest,organize,country,assistant,official,clear,feeling,sentiment
,12,6,6,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 20, 2003 Wednesday",41 of 283 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"SECTION: METRO, Pg.S-10",,,,1088 words,,,"August 20, 2003",ENGLISH,,,,,,,Copyright 2003 P.G. Publishing Co.
,school,district,student,best,finish,sentence,superintendent,learn,summer,way,new,leave,vacation,focus,child,always,do,change,work,implication,better,good,great,biggest,challenge,face,thing,predecessor,opportunity,answer,have,favorite,cafeteria,food,item,make,positive,improve,community,performance,team,meeting,teacher,need,commitment,improvement,Behind,NCLB,act,skill,ability,move,academic,excellent,staff,leadership,together,take,state,pizza,environment,progress,requirement,time,attitude,program,leader,salad,well,true,passion,curriculum,result,Bethel_Park_School_District,Adequate_Yearly,select,higher,level,excellence,administrative,capable,lead,professional,faculty,support,play,enough,tennis,tandem,union,board,united,vision,future,seriously,require,personnel,effort,standard
,20,16,14,12,12,12,10,8,7,7,6,6,6,6,6,6,6,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 20, 2003 Wednesday",42 of 283 DOCUMENTS,Pittsburgh Post-Gazette,QUIZZING THE 4 NEW SUPERINTENDENTS,,METRO; BACK TO SCHOOL; Pg. S-10,,1019 words,,,"April 21, 2016",ENGLISH,,,"PHOTO: EDGAR J. HOLTZ, Bethel Park School District acting superintendent PHOTO: JACQUELYN WEBB, Duquesne City School District acting superintendent PHOTO: JAMES D. LOMBARDO, Upper St. Clair School District superintendent PHOTO: MARGERY A. SABLE, Mt. Lebanon School District superintendent",,,Newspaper,Copyright 2003 P.G. Publishing Co.
,school,district,student,best,finish,sentence,superintendent,learn,summer,way,new,leave,vacation,focus,child,always,do,change,work,implication,better,good,great,biggest,challenge,face,thing,predecessor,opportunity,answer,have,favorite,cafeteria,food,item,make,positive,improve,community,performance,team,meeting,teacher,need,commitment,improvement,Behind,NCLB,act,skill,ability,move,academic,excellent,staff,leadership,together,take,state,pizza,environment,progress,requirement,time,attitude,program,leader,salad,well,true,passion,curriculum,result,Bethel_Park_School_District,Adequate_Yearly,select,higher,level,excellence,administrative,capable,lead,professional,faculty,support,play,enough,tennis,tandem,union,board,united,vision,future,seriously,require,personnel,effort,standard
,20,16,14,12,12,12,10,8,7,7,6,6,6,6,6,6,6,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 28, 2003 Sunday",50 of 283 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"WHAT BECOMES AN IMAGE MOST?;  FOR A METRO AREA, IT'S EASIER TO ANSWER IN THE NEGATIVE: NOT MUNICIPAL BANKRUPTCY, POLITICAL SQUABBLING, AIR SERVICE QUESTIONS, OVERALL JOB LOSSES AND A WAVERING DOWNTOWN",,"BUSINESS, Pg.C-1",,2448 words,,,"January 1, 2004",ENGLISH,,,"PHOTO: Darrell Sapp/Post-Gazette: A host of troubles -- from the city's financial problems to US Airways to some deterioration Downtown -- combined with a regional image that's been slow to improve to make the number one local business story of the year.  PHOTO: Darrell Sapp/Post-Gazette: Though the Golden Triangle still glitters, as seen in this photo from the Carnegie Science Center, current problems could tarnish it and the region if political leadership allows them to fester.",,,,Copyright 2003 P.G. Publishing Co.
,region,Pittsburgh,business,image,city,problem,financial,job,have,many,hub,community,thing,people,make,effort,last,go,past,sure,US_Airways,may,world,official,development,happen,know,PRA,among,state,difficult,question,whether,area,much,change,continue,way,place,marketing,work,help,gain,percent,look,positive,we,time,emerge,uncertainty,cost,mayor,political,local,executive,travel,consumer,loss,big,far,convention,center,expect,close,group,reality,public,top,story,need,visitor,shed,worker,country,national,manufacturing,current,good,outside,international,market,decision,term,president,economic,number,meeting,right,tell,affect,other,issue,Greater_Pittsburgh,news,sense,concern,chief,worry,murphy
,27,21,18,18,17,14,8,8,8,7,7,7,7,7,6,6,6,6,6,6,6,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2
"August 29, 2003 Friday",52 of 283 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),UPBEAT ECONOMIC DATA GIVE WALL STREET BOOST,"AMY BALDWIN, THE ASSOCIATED PRESS","BUSINESS, Pg.B-15",,560 words,NEW YORK,,"August 29, 2003",ENGLISH,,,,,,,Copyright 2003 P.G. Publishing Co.
,Nasdaq,market,rise,report,analyst,investor,week,percent,gain,higher,index,economy,rate,session,buy,despite,economic,price,forecast,result,trading,volume,trader,vacation,slow,something,advanced,third,second,quarter,stronger,read,growth,claim,earning,cent,share,billion,Wall_Street,plodd,another,quiet,finish,moderate,surge,upbeat,fluctuate,narrow,range,attribute,tentativeness,concern,improve,business,climate,already,factor,greatest,tool,stock,technician,edge,partner,money,management,firm,fla,affect,low,many,away,usually,dismally,try,make,exciting,tough,f.,lydon,jr.,president,biggest,winner,composite,close,18.05,"1,800.18",industrial,average,40.42,"9,374.21",500,6.05,"1,002.84",erratic,row,find,encourage,especially
,6,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 28, 2003 Sunday",53 of 283 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),DAVIS' BRUSQUE PERSONALITY HELPED BRING ON TROUBLES,"DAVID S. BRODER, THE WASHINGTON POST","NATIONAL, Pg.A-14",,1251 words,"SACRAMENTO, Calif.",,"September 30, 2003",ENGLISH,,,,,,,Copyright 2003 P.G. Publishing Co.
,Davis,governor,many,include,state,energy,problem,record,office,liberal,group,Democratic,leader,nation,legislature,law,bill,ally,personal,make,list,issue,take,education,school,billion,measure,sign,give,difficulty,republican,ago,week,budget,voter,tell,fuzzy,union,democratic,help,recall,personality,find,run,policy,arm,program,lead,initiative,largest,bond,history,statewide,rating,safety,strongest,rights,pay,leave,project,number,serve,political,achievement,force,result,fellow,democrat,credit,have,campaign,gray,centrist,interest,almost,labor,heavy,price,accept,politician,major,anyone,beat,role,face,agree,severe,firm,push,gap,spend,critic,characteristic,delay,believe,child,Democrats,Gray_Davis,California
,19,9,7,6,6,6,6,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"October 19, 2003 Sunday",56 of 283 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),BEWARE OF BUG YOU MIGHT CATCH IN DESERT,"ALFRED BORCOVER, CHICAGO TRIBUNE","TRAVEL, Pg.F-2",,1115 words,,,"October 22, 2003",ENGLISH,,,,,,,Copyright 2003 P.G. Publishing Co.
,disease,Valley_Fever,know,cocci,go,individual,Arizona,Galgiani,area,case,region,symptom,thing,home,physician,illness,help,doctor,find,desert,awareness,take,spore,percent,test,expose,people,travel,guest,Tucson,vacation,become,seriously,ill,return,october,diagnose,pneumonia,antibiotic,hospital,lung,cause,fungal,present,usually,endemic,southern,especially,part,report,manager,july,infectious,increase,epidemiologist,grow,age,may,promote,fungus,soil,infect,dr.,everybody,sick,risk,start,patient,center,idea,period,rain,anyone,exist,expense,develop,probably,medical,insurance,policy,ADHS,Valley_Fever_Center,Hajjeh,worse,lovely,happen,resident,shall,nameless,spa,last,dec.,fever,bad,cough,suffer,past,put,condition
,14,13,9,9,6,6,6,6,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 28, 2003 Saturday",64 of 283 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),CONSUMER SPENDING UP IN MAY,"JEANNINE AVERSA, THE ASSOCIATED PRESS","BUSINESS, Pg.A-7",,467 words,WASHINGTON,,"June 30, 2003",ENGLISH,,,,,,,Copyright 2003 P.G. Publishing Co.
,percent,spend,consumer,may,income,april,rise,0.1,increase,0.3,force,price,still,economy,adjust,change,goods,part,keep,improvement,government,decline,americans,interest,modest,0.2,growth,economist,figure,account,economic,refinancing,rate,help,service,savings,April,exactly,shop,drop,boost,fresh,sign,go,nudge,last,match,turn,estimate,include,wage,benefit,advance,encourage,news,main,behind,future,activity,behavior,shopper,major,shape,recovery,give,wet,weather,many,country,surprising,anyone,visit,mall,president,report,tell,we,count,hold,factor,support,boom,stoke,low,mortgage,extra,cash,combine,solid,appreciation,make,feel,better,finances,amid,muddle,climate,positive,offset
,17,12,11,11,6,6,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 22, 2003 Sunday",70 of 283 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),BLAME A HIGH IN GREENLAND FOR THE RAIN,"GARETH COOK AND KATHY LUTZ, BOSTON GLOBE","SCIENCE, MEDICINE, TECHNOLOGY, Pg.A-3",,366 words,,,"June 24, 2003",ENGLISH,,,,,,,Copyright 2003 P.G. Publishing Co.
,weekend,weather,storm,high,pressure,Greenland,meteorologist,system,pattern,ridge,may,pollution,bad,blame,week,west,warm,cause,fuel,traffic,jam,start,scientist,Kosek,Cerveny,people,endure,another,lug,umbrellas,put,trip,beach,offer,explanation,uncanny,string,greenland,large,powerful,loom,lock,thousand,mile,approach,icy,island,stall,bump,draw,energy,relatively,water,gulf,stream,grow,size,throw,rain,eastern,coast,block,call,trap,massive,country,severe,drought,dramatic,wildfire,tinder,dry,juniper,pinyon,pine,happen,global,implication,senior,pa.,poise,change,though,look,weaken,western,flank,pound,computer,model,predict,fall,apart,allow,fluid,take,hold,move,easily
,5,5,5,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 17, 2003 Sunday",71 of 283 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"THE EPA NOMINEE;  FOR THE ENVIRONMENT, IT'S BUSINESS AS USUAL FOR BUSH",,"EDITORIAL, Pg.B-6",,447 words,,,"August 20, 2003",ENGLISH,,,,,,,Copyright 2003 P.G. Publishing Co.
,president,Mr._Leavitt,environment,state,nomination,regulation,environmental,protect,pollution,may,federal,run,record,air,command,control,bush,standard,respect,administration,business,economy,Bush,Senate,last,week,select,governor,nominee,head,pass,confirmation,hearing,september,succeed,resign,post,reaction,fall,along,familiar,line,give,job,put,charge,accord,environmentalist,cite,attempt,block,court,highway,nature,preserve,near,evidence,poor,oppose,mandatory,favor,interest,industry,opponent,argue,hand,chamber,welcome,supporter,describe,consensus,builder,deserve,credit,improve,quality,announce,laud,rights,approach,reject,old,way,mr.,conservative,might,hate,admit,act,governance,require,strong,decide,individual,example,downwind,pennsylvania,concerned,conversely
,6,6,5,5,4,4,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 4, 2003 Friday",79 of 283 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),AUDI A8 L A TOUR DE FORCE,,"BUSINESS, Pg.B-17 WHEELS",,816 words,,,"July 9, 2003",ENGLISH,,,PHOTO: (No Caption),,,,Copyright 2003 P.G. Publishing Co.
,car,back,function,audi,navigation,system,lighting,time,door,set,thing,suspension,package,use,interior,soft,notice,screen,change,seat,friend,controls,knob,storage,industry,base,price,various,look,"75,190",let,take,best,spot,close,indirect,bin,turn,beneath,wood,go,button,move,along,check,seating,area,light,overhead,mirror,passenger,right,climate,huge,headrest,design,give,pick,console,point,automatic,control,well,visibility,problem,fuel,life,plain,indescribable,drive,2004,l.,technologically,way,ahead,curve,talk,adjustable,air,four,setting,style,blistering,acceleration,amenity,sedan,benchmark,room,lose,yardstick,term,effective,space,"68,500",add,"1,900",wheel,summer,performance
,9,6,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 27, 2003 Wednesday",86 of 283 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),MCKEESPORT CITY'S 'MAYOR-ELECT' ALREADY PLANNING TRANSITION,JONATHAN BARNES,"METRO, Pg.S-6",,288 words,,,"August 27, 2003",ENGLISH,,,,,,,Copyright 2003 P.G. Publishing Co.
,department,political,mayor,city,brewster,change,Brewster,mayoral,already,town,team,transition,problem,shortfall,group,work,include,member,meet,head,McKeesport,Democratic,nominee,refer,constituent,heavily,although,yet,elect,nomination,old,mill,tantamount,race,climate,pick,help,make,wayne,kucich,opponent,heir,budget,approach,million,cut,surprisingly,longtime,ally,present,council,president,varying,area,expertise,attorney,chairwoman,maryanne,popovich,rev,pastor,zion,church,assemble,ago,another,meeting,schedule,late,focus,understanding,staff,equipment,grant,application,try,prioritize,project,across,lead,turn,replace,employee,new,hire,agree,personnel,possible,widespread,unlikely,however,prerogative,secretary,James_Brewster,mayor_elect,forged_in_tradition,City_Council,Jason_Elash,District_Justice_Tom_Brletic
,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 23, 2003 Sunday",97 of 283 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),AUDIENCES CONNECT WITH STROMAN'S INNOVATIVE CHOREOGRAPHY,"CHRISTOPHER RAWSON, POST-GAZETTE DRAMA EDITOR","ARTS & ENTERTAINMENT, Pg.G-3 STAGE PREVIEW",,1472 words,,,"April 17, 2004",ENGLISH,,,"Photo: Paul Kolnik: Colleen Dunn is the center of attention as '""Contact's"" Girl in the Yellow Dress.",,,,Copyright 2003 P.G. Publishing Co.
,Stroman,contact,Broadway,make,movie,work,choreography,dance,love,show,new,musical,laugh,go,producer,story,move,company,good,success,have,theater,start,tour,proscenium,original,Lincoln_Center,Pittsburgh,people,recently,stroman,1999,role,do,change,something,music,fantasy,book,become,production,create,stage,ballet,scene,version,national,summer,director,chicago,direct,cut,next,1996,2001,p.m.,London,Marshall,someone,performer,begin,funny,crazy,1992,character,find,special,experience,life,2000,arrive,tuesday,week,song,must,play,live,three,swing,restaurant,personal,base,club,workshop,follow,beaumont,problem,thrust,wonderful,deal,actor,fall,give,every,know,able,talent,cast,feature
,16,12,9,8,8,7,7,7,6,6,6,6,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"April 13, 2003 Sunday",98 of 283 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),THE LONG WINTER,,"METRO, Pg.W-3",,633 words,,,"April 13, 2003",ENGLISH,,,,,,,Copyright 2003 P.G. Publishing Co.
,spring,winter,Patch,weather,last,look,forward,time,welcome,change,think,celebrate,show,warmth,warm,long,end,around,temperature,especially,season,serious,senior,arrival,hunt,much,house,outdoor,concert,entertainment,find,craft,golf,touring,baseball,always,family,whole,worry,week,area,George,deep,freeze,sputter,p.m.,march,warming,middle,degree,cloak,relatively,cloudless,sky,worshipper,something,cheer,siege,lately,refuse,surrender,version,blowing,cold,wet,resident,stick,rarely,however,willingness,talk,wind,rain,sunshine,cloudiness,give,way,another,usually,space,reserve,current,event,stuff,today,tank,participant,wrap,mind,simpler,topic,group,tell,plan,participate,signal,easter,entail,special
,8,6,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 27, 2003 Friday",101 of 283 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"ON ITS LAST RUN, ACURA SEDAN STILL PROVIDES AN ELEGANT RIDE",,"BUSINESS, Pg.B-14 WHEELS",,495 words,,,"June 27, 2003",ENGLISH,,,,,,,Copyright 2003 P.G. Publishing Co.
