PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"January 17, 2004 Saturday",7 of 305 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"SUN, WIND AND CORN CUT UTILITY BILLS",,"LIFESTYLE, Pg.X-2",,1034 words,,,"January 17, 2004",ENGLISH,,,,,,,Copyright 2004 P.G. Publishing Co.
,solar,power,electricity,Tidwell,system,panel,cost,use,stove,percent,buy,price,house,roof,light,water,live,room,install,energy,family,home,hot,back,utility,electric,outage,add,increase,lot,manager,md,help,make,wind,amount,need,turn,go,estimate,provide,point,burn,gas,natural,corn_burning,Lahn,Spiliadis,meter,backward,credit,contractor,business,really,drive,last,have,renewable,appliance,warm,certificate,grid,household,many,people,plan,january,source,become,much,refrigerator,bulb,fluorescent,alone,reduce,wife,"17,000",grant,well,corn,oil,fire,two_story,wind_generated,energy_efficient,homeowner,sell,surplus,generate,local,spin,accrue,august,huge,blackout,across,widespread,storm,impetus
,increase,temperature,rice,percent,average,nighttime,growth,degree,fahrenheit,Philippines,global,scientist,base,crop,evening,study,might,population,warming,may,spell,bad,news,important,food,staple,reduce,yield,report,last,week,result,data,research,farm,direct,observation,climate,change,effect,worldwide,air,almost,20th,century,show,pronounce,publish,proceeding,1979,2003,daytime,0.63,higher,respiration,write,decrease,amount,energy,otherwise,use,billion,people,half,world,consume,daily,production,cereal,must,annually,expect,economic,development,1995,suggest,Global,National_Academy,Sciences,China,California,Nebraska
,7,6,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 27, 2004 Thursday",64 of 305 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"RECIPE FOR DISASTER;  WITH SPECTACULAR EFFECTS AND MULTIPLE CATASTROPHES, 'DAY AFTER TOMORROW' UPDATES A CLASSIC GENRE","BARBARA VANCHERI, PITTSBURGH POST-GAZETTE","ARTS & ENTERTAINMENT, Pg.C-1",,1563 words,,,"May 28, 2004",ENGLISH,,,"PHOTO: The Statue of Liberty and the New York City skyline sit in a deep freeze in the wake of a catastrophic climatic shift in Twentieth Century Fox's ""The Day After Tomorrow.""  PHOTO: Twentieth Century Fox: ""The Towering Inferno,"" which had an all-star cast, was typical of the 1970s disaster movies.",,,,Copyright 2004 P.G. Publishing Co.
,disaster,movie,film,Tomorrow,effect,star,special,ice,people,thing,Maltin,Keane,make,lead,1970,kind,think,take,seem,way,maybe,screen,new,independence,genre,look,cycle,twister,core,course,event,actually,time,call,root,reason,9/11,go,today,use,hybrid,Dergarabedian,Poseidon_Adventure,never,fall,catastrophic,shift,climate,old,moviegoer,box,office,except,audience,away,wave,titanic,armageddon,fan,show,last,matter,producer,tower,rise,survival,human,alive,alongside,right,release,world,city,around,toward,fact,may,good,find,escapism,natural,television,safety,nobody,we,big,draw,part,rely,Paul_Newman,sci_fi,make_believe,forget,dergarabedian,remember,sit,dad,legendary,watch
,24,19,10,8,7,7,5,5,5,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1
"September 5, 2004 Sunday",65 of 305 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),EXPERIMENT FORCES TREES INTO THE FUTURE,KARI LYDERSEN THE WASHINGTON POST,"LOCAL, Pg.A-3",,1114 words,,,"September 5, 2004",ENGLISH,,,,,,,Copyright 2004 P.G. Publishing Co.
,ozone,carbon,tree,ring,forest,level,elevate,plant,dioxide,experiment,co2,change,ecosystem,ground,growth,CO2,scientist,use,gas,three,measure,effect,project,part,policy,pipe,seem,time,likely,form,emission,aim,million,run,cover,look,study,environment,per,leaf,canopy,cause,leave,result,white,northern,natural,try,atmosphere,higher,normal,air,sugar,maple,know,affect,climate,similar,vegetation,chamber,thing,professor,important,physiologist,liquid,turn,usual,black,insect,little,trunk,root,expose,break,increase,excess,drop,reduce,harmful,sequester,whether,standard,Karnosky,something,slightly,eerie,wooden,cross,loom,suddenly,lush,hear,work,describe,yard,across,capsule,mimic,condition
,18,11,11,9,8,8,8,8,7,7,6,5,5,5,5,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 10, 2004 Saturday",71 of 305 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),CARNEGIE SHOWCASES SCULPTURES OF INFLUENTIAL AMERICAN INDIAN ARTIST,"MARY THOMAS, PITTSBURGH POST-GAZETTE","ARTS & ENTERTAINMENT, Pg.B-14",,1193 words,,,"April 14, 2004",ENGLISH,,,"Photo: Tony Tye/Post-Gazette photos: ""Spirit of the Mountains,"" on display at the Carnegie Museum of Natural History, was completed by Allan Houser in 1994, the year of his death.  Photo: ""Apache Ga'an Dancer"" was done with felt-tip pen and charcoal on paper.
Photo: Alan Houser's ""Watercarrier"" (1986)is made of bronze.  Photo: Internationally acclaimed sculptor Allan Houser with Warm Springs Apache.  Photo: ""Apache Cradleboard,"" (bronze, 1994) by Allan Houser, at the Carnegie Museum of Natural History.",,,,Copyright 2004 P.G. Publishing Co.
,Houser,sculpture,American,child,indian,exhibition,artist,work,bronze,tribe,include,mother,museum,dancer,Washington,spirit,become,among,painting,receive,collection,life,figure,abstract,Santa_Fe,paper,spring,bear,early,century,important,open,mall,d.c.,complete,haozous,farm,near,okla,member,hold,war,prison,remain,study,art,commission,department,honor,student,well,present,culture,variety,media,steel,tempera,figural,woman,dignity,ga'an,line,film,call,peace,people,p.m.,free,Allan_Houser,Apache,Native,full_time,Indian,dancing,mountain,late,tower,silently,stop,motion,time,exud,power,grace,nearly,warm,release,captivity,20th,influential,september,inaugural,retrospective,1994,death,c.,june,1914,parent
,15,11,11,8,7,7,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 28, 2004 Tuesday",77 of 305 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"GREENHOUSE GASBAGS; IT'S TIME FOR U.S. TO GET AHEAD OF KYOTO-STYLE EMISSION CONTROLS, WHICH SURELY ARE COMING",,"BUSINESS, Pg.D-14 Joseph Otis Minott",,773 words,,,"December 28, 2004",ENGLISH,,,DRAWING: Ted Crow/Post-Gazette:,,,,Copyright 2004 P.G. Publishing Co.
,carbon,coal,global,U.S.,nation,gas,warming,cap,greenhouse,emission,United_States,policy,industry,pollution,trading,Pennsylvania,country,world,burn,state,seem,inundate,new,impact,polar,may,become,another,whatever,reality,limiting,contributor,utility,financial,february,international,implement,corporation,market,emerge,government,business,company,operation,reduction,electricity,member,power,plant,future,sen,vote,2003,bill,Congress,Japan,Kyoto,McCain,lately,information,negative,ice,melting,bear,extinct,sea,level,rise,island,coastal,area,suggest,hurricane,yet,manifestation,climate,change,call,evidence,penetrate,consciousness,everyone,cause,inevitable,question,remain,whether,move,quickly,enough,shape,fullest,advantage,though,citizen,shower,science,confirm,reflect
,13,9,8,7,6,6,5,5,5,5,5,4,4,4,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 9, 2004 Sunday",78 of 305 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),WORLD MAY BE DARKENING,"ROBERT S. BOYD, KNIGHT RIDDER NEWSPAPERS","SCIENCE, MEDICINE, TECHNOLOGY, Pg.A-3",,519 words,WASHINGTON,,"May 11, 2004",ENGLISH,,,,,,,Copyright 2004 P.G. Publishing Co.
,global,dimming,percent,sunlight,solar,warming,sun,scientist,researcher,gas,radiation,Roderick,New_York,air,pollution,accord,atmosphere,greenhouse,heat,energy,accept,theory,recent,measure,place,research,organization,decade,Earth,NASA,Liepert,Israel,call,trend,may,make,world,darker,use,thanks,thicker,cloud,grow,much,surface,receive,less,ago,climate,mean,transmission,decrease,look,window,fly,dimmer,climatologist,earth,observatory,know,partially,offset,agree,produce,auto,exhaust,emission,power,plant,effect,half,large,director,carbon,dioxide,trap,keep,radiate,back,space,there,by,raising,temperature,hand,block,portion,cooler,sit,beach,umbrella,bright,sky,although,widely,remain,controversial,advanced,handful
,8,7,4,4,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 4, 2004 Sunday",88 of 305 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),MEMO TO: DAN ONORATO,,"EDITORIAL, Pg.B-1",,2870 words,,,"January 6, 2004",ENGLISH,,,Drawing: Stacy Innerst / Post-Gazette,,,,Copyright 2004 P.G. Publishing Co.
,county,people,must,Pittsburgh,need,new,region,service,city,young,plan,make,community,Allegheny_County,job,US_Airways,economic,development,future,problem,leadership,create,government,lead,tax,look,take,way,hope,good,life,many,local,neighborhood,we,part,bring,office,issue,quality,public,position,best,end,move,forward,begin,growth,benefit,system,change,work,challenge,include,opportunity,address,use,family,row,human,together,resource,president,woman,better,commitment,chief,executive,approach,share,employee,political,social,enhance,countywide,greatest,area,economy,product,present,happen,election,negotiation,action,real,well,help,dollar,provide,competitive,encourage,priority,state,goal,build,man,run,lose,stand
,23,19,17,15,14,14,13,13,12,11,10,10,10,10,9,8,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"October 22, 2004 Friday",93 of 305 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),YOU SAY YOU WANT A REVOLUTION; ROCKER STEVE EARLE PUTS POLITICS AT THE FOREFRONT OF HIS LATEST RECORD,Ed Masley Pittsburgh Post-Gazette,"ARTS & ENTERTAINMENT, Pg.WE-24",,2789 words,,,"October 22, 2004",ENGLISH,,,Glen Rose Glen Rose,,,,Copyright 2004 P.G. Publishing Co.
,think,people,record,go,have,make,know,right,music,way,kind,pretty,really,we,lot,much,revolution,play,take,to,sure,vote,defend,election,back,try,time,well,write,money,sell,yeah,something,jerusalem,start,war,radio,sing,tour,feel,find,part,power,art,let,pop,liberal,week,song,turn,less,kid,talk,work,change,sort,end,sleep,country,guy,mind,review,probably,artist,become,market,death,penalty,never,political,still,support,hear,term,likeable,Kerry,long,every,response,ago,fear,speak,democracy,anything,realize,involved,cause,far,important,person,proud,easier,understand,deal,look,place,mean,help,recent
,34,25,23,21,17,16,15,13,13,12,11,11,11,10,10,10,9,9,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"November 5, 2004 Friday",95 of 305 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),HOLIDAY SALES OUTLOOK BRIGHTER FOR U.S. RETAILERS,"Anne D'innocenzio, The Associated Press","BUSINESS, Pg.C-9",,928 words,NEW YORK,,"November 6, 2004",ENGLISH,,,,,,,Copyright 2004 P.G. Publishing Co.
,sale,percent,retailer,store,holiday,analyst,gain,season,consumer,increase,same_store,report,october,job,economic,decline,expect,record,change,many,customer,apparel,inc.,price,shopping,retail,last,tally,may,2.4,period,ago,card,..,Wal_Mart,discounter,spend,weather,growth,across,energy,firm,encourage,though,time,remain,whether,buy,seem,slash,week,third,monthly,well,consider,open,least,rise,better,forecast,best,performance,compare,total,good,news,gift,item,claim,show,Target,International_Council,Same_store,Niemira,outlook,brighten,nation,improvement,however,another,lackluster,result,cut,back,include,rebound,help,cooler,among,merchant,extend,sluggish,streak,begin,june,definitely,group,continue,hurt
,19,17,9,9,8,7,7,6,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 28, 2004 Wednesday",102 of 305 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),BUSH SIGNS ORDER ON BIOTERRORISM,,"NATIONAL, Pg.A-22 NATIONAL BRIEFS",,716 words,,,"April 29, 2004",ENGLISH,,,,,,,Copyright 2004 P.G. Publishing Co.
,directive,ban,record,card,Medicare,help,government,ad,new,drug,tax,company,hit,take,WASHINGTON,Bush,San_Francisco,California,India,president,make,campaign,sign,protect,biological,nation,work,water,administration,million,promote,senator,begin,week,available,medicare,law,internet,service,state,democrat,technology,federal,abortion,subpoena,last,judge,102,junket,trip,pay,poster,jury,award,New_York,national,security,centerpiece,americans,attack,presidential,announce,today,aim,plug,gap,defense,terrorist,might,use,agent,specifically,coordinate,already,food,supplies,example,classified,version,instruct,agency,best,carry,biodefense,decline,publicly,release,memo,web,site,association,strong,emphasis,sector,spend,round,television,advertising,discount
,5,5,5,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 1, 2004 Tuesday",103 of 305 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),CINEMA VERITE;  A HOKEY DISASTER FLICK WITH A SOMBER WARNING,,"EDITORIAL, Pg.A-12",,329 words,,,"June 2, 2004",ENGLISH,,,,,,,Copyright 2004 P.G. Publishing Co.
,global,warming,bring,scientist,gas,prediction,fact,emission,environmental,film,movie,appropriate,Tomorrow,consensus,among,current,level,fossil,fuel,consumption,decline,dramatically,greenhouse,life,earth,errant,asteroid,occasionally,do,planet,sobering,policy,implication,expensive,painful,implement,scoff,notion,insist,dire,line,science,fiction,scientific,nation,industry,whose,fortune,hurt,major,curb,industrial,keep,ask,second,opinion,meanwhile,multiplex,disaster,debate,mass,way,thousand,sober,pbs,documentary,never,attempt,show,cataclysmic,effect,uncheck,many,hollywood,play,fast,loose,underlying,danger,illustrate,real,telescope,believe,unfold,century,result,gradually,rise,ocean,temperature,despite,administration,skepticism,lawmaker,respond,urgency,sen,legislation,mandate
,4,4,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 23, 2004 Monday",104 of 305 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),SATELLITE INFORMATION HELPS PREDICT HURRICANES,"DAN MALERBO, HENRY BUHL JR. PLANETARIUM & OBSERVATORY","ARTS & ENTERTAINMENT, Pg.C-6 LETS TALK ABOUT",,294 words,,,"September 1, 2004",ENGLISH,,,,,,,Copyright 2004 P.G. Publishing Co.
,satellite,hurricane,storm,determine,develop,information,help,provide,sea,surface,temperature,measurement,powerful,meteorologist,forecaster,strong,ingredient,formation,use,microwave,tropical,measure,key,ocean,energy,notice,intensity,tower,every,season,june,november,critical,instrument,manage,condition,right,create,additional,data,may,1970,unable,still,picture,today,visible,infrare,sensor,along,radar,pulse,enhance,forecast,important,need,least,degree,scan,detect,likely,strengthen,height,available,encourage,sustain,early,rotate,wind,humidity,earlier,space,rainfall,young,system,vertical,column,rapidly,rise,air,indicate,thundershower,piston,convert,water,vapor,engine,inside,view,organized,tightly,spirale,rain,band,indicator,NASA,Jet_Propulsion_Laboratory,JPL,Pasadena
,8,7,6,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 9, 2004 Tuesday",111 of 305 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"'FRONTLINE' INTERESTING; NEW FOX, SPIKE SHOWS BLAND",Rob Owen Pittsburgh Post-Gazette,ARTS & ENTERTAINMENT; Pg. B-1,,774 words,,,"February 21, 2008",ENGLISH,,,"PHOTO: WGBH Boston: ""Frontline"" correspondent Douglas Rushkoff explores marketing ploys on the PBS documentary ""The Persuaders.""",,,Newspaper,Copyright 2004 P.G. Publishing Co.
