PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"April 22, 2012 Sunday",1 of 426 DOCUMENTS,Pittsburgh Post-Gazette,GLOBAL WARMING ISSUE HARD TO QUELL EARTH DAY,"Don Hopey, Pittsburgh Post-Gazette","HEALTH, SCIENCE, MEDICINE & TECHNOLOGY; EARTH DAY; Pg. A-1",,1375 words,,,"April 23, 2012",ENGLISH,,,PHOTO: Robin Rombach/Post-Gazette: Climate-change expert Michael Mann says policymakers can't wait until questions are answered before they act on global warming.,,,Newspaper,Copyright 2012 P.G. Publishing Co.
,climate,change,science,global,warming,world,gas,percent,still,stick,carbon,greenhouse,emission,hockey,mann,scientist,mo,fossil,fuel,make,professor,temperature,level,dioxide,part,public,scientific,reduce,study,need,Mr._Mann,show,decline,almost,policymaker,act,poll,americans,debate,question,include,already,University,Oreskes,due,director,produce,graph,"1,000",long,past,century,climb,grow,concentration,per,million,time,natural,recent,good,doubter,effort,evidence,awareness,weather,event,impact,ocean,higher,may,2010,journal,permafrost,large,accord,freeze,manmade,happen,successful,engineering,do,history,message,uncertain,many,believe,ms.,really,control,governance,regulation,armstrong,expert,modeling,find,percentage,high,last
"March 29, 2012 Thursday",22 of 426 DOCUMENTS,Pittsburgh Post-Gazette,"REPORTS LINK HEAT WAVES, DELUGES TO CLIMATE CHANGE","JULIET EILPERIN AND BRIAN VASTAG, THE WASHINGTON POST","HEALTH, SCIENCE, MEDICINE AND TECHNOLOGY; Pg. A-2",,371 words,,,"March 30, 2012",ENGLISH,,,,,,Newspaper,Copyright 2012 P.G. Publishing Co.
,change,extreme,climate,weather,event,heat,ask,whether,human_caused,scientist,wave,greenhouse,gas,heighten,risk,world,report,past,global,warming,make,evidence,contribute,trend,level,colleague,IPCC,Mr._Coumou,increasingly,confident,uptick,heavier,rainfall,link,emission,pose,population,accord,issue,week,wednesday,release,study,suggest,observation,1950,stem,part,product,collaboration,220,author,country,distinction,among,different,phenomena,show,limited,medium,flooding,example,low,confidence,hurricane,drive,grow,carbon,output,team,project,percent,probability,sea,rise,upward,coastal,future,work,group,ii,serve,director,department,interview,although,many,uncertainty,still,exist,know,people,face,result,particular,blame,wrong,question,way
,7,6,5,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 10, 2012 Friday",33 of 426 DOCUMENTS,Pittsburgh Post-Gazette,WELCOME TO THE WORLD'S FAIR; LOOKING FOR A GLOBAL SHOWCASE FOR INNOVATION? OLYMPICS ARE MODERN EQUIVALENT OF THE OLD EXPOS,"Ted Anthony, Associated Press",WORLD; Pg. A-10,,1301 words,,,"August 11, 2012",ENGLISH,,,"PHOTO: Charlie Riedel/Associated Press: Two women dance to music on loudspeakers under the Orbit attraction at Olympic Park during the 2012 Summer Olympics in London. \ \ PHOTO: Emilio Morenatti/Associated Press: (For Two Photos) The Olympics have the power to draw people from all over the globe to one city. In this case, visitors leave the Aquatic Center at the Olympic Park during the 2012 Summer Olympics in London, above, while others watch a large screen and cheer on the men's 100-meter final at the Puma Field in London, below.\",,,Newspaper,Copyright 2012 P.G. Publishing Co.
,olympic,world,fair,global,human,story,progress,many,people,way,show,call,event,tell,set,look,World,gather,era,still,showcase,opportunity,corporate,sponsor,go,thing,capable,something,offer,society,humanity,best,fresh,technology,cultural,achievement,today,game,power,century,1939,time,television,popular,past,hold,place,shopfront,welshman,open,ceremony,message,park,invite,speak,whole,together,nation,around,visitor,official,we,think,future,write,hundred,layer,upon,need,take,politics,seem,notion,visa,hula,theater,let,play,promote,globalism,Paris,Tomorrow,New_York,London_Olympics,IOC,London,Shanghai,rise,capital,promise,showcasing,supreme,accomplishment,land,tradition,trumpete,dismiss,overly,commercialize
,22,12,12,7,7,6,6,6,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1
"December 6, 2012 Thursday",42 of 426 DOCUMENTS,Pittsburgh Post-Gazette,RECORD-SETTING YEAR FOR ARCTIC MELTING EFFECT OF STORED HEAT WORRIES SCIENTISTS,"Kenneth R. Weiss, Los Angeles Times","HEALTH, SCIENCE, MEDICINE AND TECHNOLOGY; Pg. A-2",,457 words,,,"December 6, 2012",ENGLISH,,,,,,Newspaper,Copyright 2012 P.G. Publishing Co.
,ice,Arctic,snow,sea,sheet,scientist,record,cover,melt,report,grow,retreat,new,loss,spring,melting,reach,global,gas,temperature,change,greener,water,card,much,decade,season,tundra,warming,Greenland,break,well,extent,summertime,federal,wednesday,latest,frustration,flare,slow,progress,climate,talk,agreement,reduce,emission,greenhouse,buildup,elevate,average,pronounce,northernmost,latitudes,extremely,sensitive,part,world,administrator,warm,result,less,greater,vegetation,speak,fall,meeting,ms,lubchenco,unveiled,annual,update,collaboration,140,summarize,way,continue,warmer,minimum,begin,measure,satellite,1979,half,2000,important,survival,ring,seal,walruse,polar,bear,animal,experience,widespread,percent,single,july,accelerate,vast
,11,8,6,5,5,5,4,4,4,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 9, 2012 Friday",56 of 426 DOCUMENTS,Pittsburgh Post-Gazette,SACRIFICING THE DESERT FOR THE EARTH,"Julie Cart, Los Angeles Times",NATIONAL; Pg. A-2,,1238 words,,,"March 10, 2012",ENGLISH,,,"PHOTO: Mark Boster/Los Angeles Times: Larry LaPre, a biologist with the California Bureau of Land Management, keeps his distance from an older male desert tortoise that is being monitored by biologists with a tracking device.\ PHOTO: Mark Boster/Los Angeles Times: Eileen Anderson, a biologist with the Center For Biological Diversity, walks past a desert tortoise burrow in California's Ivanpah Valley. The effort to conserve the tortoise has become the single biggest obstacle to building an industrial-scale solar development in the Mojave Desert.",,,Newspaper,Copyright 2012 P.G. Publishing Co.
,solar,project,environmental,desert,public,federal,make,group,Ivanpah,land,plant,impact,BrightSource,power,development,climate,change,company,California,tower,mirror,mile,score,tortoise,opposition,take,scale,wildlife,national,local,Natural_Resources_Defense_Council,construction,rise,look,floor,square,reflector,along,facility,footprint,place,last,developer,nation,top,often,difficult,subsidy,well,government,clear,approach,around,site,bird,insect,paper,largely,sign,oppose,send,ask,chapter,goal,preserve,eliminate,voice,Mojave_Desert,Clark_Mountains,Mojave,Sierra_Club,calif.,crane,stork,story,midst,emerge,wrap,scaffold,multistage,rocket,cluster,nearby,assembly,building,loom,berm,sand,chain,mail,fence,enclose,"3,500",acre,mooring,"173,500",size,garage,door
,15,14,13,11,8,8,7,7,7,6,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 4, 2012 Tuesday",81 of 426 DOCUMENTS,Pittsburgh Post-Gazette,SECTION: WORLD; WORLD/NATION; Pg. A-3,,,,780 words,,,"December 5, 2012",ENGLISH,,,"PHOTO: Eraldo Peres/Associated Press: SEEKING PARDON/Brazilian farmers hold up oxen skulls, representing animals killed by the drought, outside the presidential palace where security agents stand guard in Brasilia today. Farmers affected by the drought are asking the president to pardon their government bank debts.",,,Newspaper,Copyright 2012 P.G. Publishing Co.
,today,appeal,protest,draft,country,claim,drine,climate,Iran,constitution,capture,global,warming,cause,fire,shoot,judge,military,court,shave,hasan,Army,march,palace,president,nearly,power,city,rise,give,publication,tv,show,state,account,sea,urge,ban,talk,official,october,weather,factory,kill,report,fort,order,forcibly,monday,trial,maj,requirement,Cairo,U.S.,Iranian,U.S._Navy,U.N.,China,continue,cairo,ten,thousand,egyptian,mass,presidential,assumption,nation,unrestrict,hurriedly,adopt,ally,coastal,"10,000",opponent,gather,center,second,largest,metropolis,chant,slogan,leader,amid,anger,charter,decree,issue,sweeping,mo,morsi,call,nationwide,referendum,dec.,hundred,riot,police,deploy,around
,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 31, 2012 Monday",116 of 426 DOCUMENTS,Pittsburgh Post-Gazette,"PROSPECTS FOR THE NEW GENERATION\; FOR A BETTER TOMORROW, THE TIME TO ACT IS NOW, FUTURIST SAYS","David Templeton, Pittsburgh Post-Gazette","HEALTH, SCIENCE, MEDICINE & TECHNOLOGY; Pg. C-1",,1454 words,,,"January 3, 2013",ENGLISH,,,"INFORMATIONAL GRAPHIC: James Hilston/Post-Gazette PHOTO: Danny Johnston/Associated Press: The government should encourage vegetable and fruit crops rather than corn, above, sugar and soybeans that result in products laden with empty calories and fat, leading to increased health problems, says futurist Jonathan Peck.",,,Newspaper,Copyright 2012 P.G. Publishing Co.
,health,life,child,poverty,world,face,population,rather,likely,cost,disease,resource,continue,food,people,expectancy,male,problem,better,newborn,cure,longer,grow,million,care,major,treatment,reverse,affect,white,dollar,program,increase,peck,percent,government,hope,policy,baby,2013,think,focus,develop,include,obesity,billion,turn,change,decline,drop,result,go,elderly,live,shift,school,experience,reduce,prevention,mr.,income,education,job,cancer,pollution,air,pandemic,U.S.,African_Americans,Mr._Peck,Children,prospect,new,fat,breakthrough,advancement,step,reality,futurist,optimism,public,epidemics,heighten,person,big,question,challenge,expect,bear,issue,advance,medical,forward,take,diabete,potential,water,climate,fewer
,17,12,12,8,7,6,6,6,6,6,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"September 12, 2012 Wednesday",121 of 426 DOCUMENTS,Pittsburgh Post-Gazette,ROMNEY MYOPIC ABOUT ENERGY CHALLENGES,PHILIP WARBURG,EDITORIAL; Pg. A-7,,633 words,,,"September 13, 2012",ENGLISH,,,,,,Newspaper,Copyright 2012 P.G. Publishing Co.
,energy,federal,wind,oil,new,need,time,president,ocean,state,mo,romney,mineral,gas,fuel,land,America,rise,promise,help,governor,plan,economy,quality,global,call,independence,well,permit,renewable,solar,power,presidential,take,billion,lose,tax,estimate,job,government,total,nearly,value,open,drill,ambition,shore,platform,water,offshore,drilling,Massachusetts,American,flooding,coastal,community,odd,deride,concern,begin,slow,heal,planet,scoff,family,author,ambitious,set,clear,target,curb,emission,acknowledge,measure,outline,life,environment,americans,waste,worry,warming,current,north,key,feature,include,mining,coal,lease,quick,approval,pipeline,speed,plant,change,never,mention,instead,hone
,6,6,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 3, 2012 Monday",122 of 426 DOCUMENTS,Pittsburgh Post-Gazette,"GLOBAL EMISSIONS SET RECORD; GOAL ON LIMITING GREENHOUSE GASES MAY NOT BE ATTAINABLE, ACCORDING TO RESEARCHERS","Justin Gillis and John Broder, The New York Times","HEALTH, SCIENCE, MEDICINE & TECHNOLOGY; Pg. A-1",,737 words,,,"December 4, 2012",ENGLISH,,,,,,Newspaper,Copyright 2012 P.G. Publishing Co.
,percent,emission,billion,ton,scientist,effect,2011,lead,global,new,country,carbon,dioxide,take,jump,sunday,effort,limit,show,figure,develop,many,gas,coal,increase,0.6,record,likely,2012,report,latest,continue,grow,international,goal,warming,planet,degree,become,researcher,require,nation,world,treaty,negotiation,aim,little,state,target,expect,climate,action,higher,level,economic,power,set,natural,decline,already,polluter,Global_Carbon_Project,United_States,China,India,high,similar,indication,fail,rapidly,limiting,ultimate,3.6,fahrenheit,establish,three,ago,verge,unattainable,affiliate,tracking,program,statement,salvage,do,immediate,large,sustain,mitigation,yet,around,despite,formal,pledge,put,appetite,kind,controls,accomplish
,14,13,10,10,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 5, 2012 Sunday",138 of 426 DOCUMENTS,Pittsburgh Post-Gazette,CALIFORNIA FUELS RULE SPARKS CONTROVERSY,"Juliet Eilperin, The Washington Post",NATIONAL; Pg. A-5,,708 words,,,"February 7, 2012",ENGLISH,,,,,,Newspaper,Copyright 2012 P.G. Publishing Co.
,fuel,standard,state,gas,rule,carbon,California,greenhouse,sell,well,last,emission,truck,oil,cut,percent,look,low_carbon,car,light,new,require,lower,amount,program,policy,director,meet,transportation,move,higher,ethanol,reduce,content,2020,either,make,group,bar,seven,democrat,three,republican,national,judge,Washington,pioneer,curb,decade,ago,championing,transform,go,tank,become,embroil,fierce,public,battle,barred,enforce,tight,budget,litigation,strong,lobbying,campaign,question,whether,ambitious,climate,ground,we,credible,powerful,mechanism,put,place,member,institute,incentive,invest,thing,besides,many,industry,official,overseas,complex,drive,price,give,current,supply,petroleum,alternative,president,sound,really
,13,10,9,6,6,6,6,4,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 3, 2012 Wednesday",140 of 426 DOCUMENTS,Pittsburgh Post-Gazette,AFRICAN PENGUINS,the National Aviary Education Team,LIFESTYLE; LET'S TALK ABOUT BIRDS; Pg. C-5,,502 words,,,"July 23, 2014",ENGLISH,,,PHOTO: African penguin,,,Newspaper,Copyright 2012 P.G. Publishing Co.
,penguin,African,oil,National_Aviary,foot,wild,work,feed,emperor,live,climate,water,fish,eat,percent,daily,spill,population,conservation,save,chick,zoos,aviary,species,plan,join,support,help,visit,Africa,National,cool,crisp,fall,afternoon,crowd,gather,peek,rest,unofficial,workout,time,sidney,jostle,line,shorter,weigh,pound,quite,different,recognizable,movie,happy,march,freeze,antarctic,large,flock,call,rookery,temperate,beach,along,southern,tip,surround,island,flightless,bird,dine,variety,cold,anchovy,sardine,body,weight,every,equivalent,human,hamburgers,may,hunt,hour,use,wing,fly,underwater,speed,mph,web,act,rudder,boat,steer,toward,next,meal,despite,beachfront
,18,9,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 31, 2012 Wednesday",162 of 426 DOCUMENTS,Pittsburgh Post-Gazette,SANDY THE SOOTHSAYER,FRANK BRUNI,EDITORIAL; Pg. A-7,,646 words,,,"November 1, 2012",ENGLISH,,,,,,Newspaper,Copyright 2012 P.G. Publishing Co.
,Sandy,have,whose,political,make,people,advertising,early,voting,storm,mo,watch,away,presidential,solipsism,poll,read,impact,homestretch,electricity,opin,president,romney,winter,hand,folk,flyover,voter,course,incumbent,party,study,obama,surge,need,climate,change,ignore,Mr._Romney,Maryland,whole,section,home,sail,strand,shelter,can,contact,love,safety,certain,probably,unsettling,best,gall,worst,hear,refer,october,surprise,par,bimbo,eruption,corruption,scandal,wreak,havoc,race,else,election,addle,witness,peripheral,development,random,scrutinize,smithereen,significance,weather,exempt,hyperventilation,week,remember,meteorology,punditry,become,strange,bedfellows,measure,perspective,go,wind,diminish,tv,intensify,raptly,monitor,local,station
,6,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 4, 2012 Saturday",185 of 426 DOCUMENTS,Pittsburgh Post-Gazette,BIG CAMPAIGN SPENDERS HAVE FEDERAL STAKES,"Stephen Braun, Jack Gillum and Richard Lardner, Associated Press",NATIONAL; Pg. A-5,,729 words,,,"February 6, 2012",ENGLISH,,,,,,Newspaper,Copyright 2012 P.G. Publishing Co.
,give,donor,campaign,million,federal,group,support,money,candidate,political,committee,contribution,spend,pro_Romney,company,former,already,favor,far,presidential,election,run,hospital,billionaire,president,government,new,law,interest,energy,mining,high,review,record,return,"100,000",nearly,rule,corporate,investigation,firm,pay,family,violation,mo,back,medical,center,coal,emission,union,Mr._Obama,Mr._Romney,Supreme_Court,millionaire,big,sum,important,business,next,trouble,press,regulation,benefit,finance,financial,report,regulatory,filing,court,public,statement,identify,biggest,might,worth,case,help,challenger,exhaustive,motive,impossible,govern,allow,effectively,remain,anonymous,funnel,cash,partnership,mechanism,frustrate,trade,among,finding,lobby,safety,issue,propose
,8,7,7,6,6,6,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 7, 2012 Tuesday",187 of 426 DOCUMENTS,Pittsburgh Post-Gazette,NOBEL DYNAMITE THE COMMITTEE MUST DEFEND ITS PEACE HONOREES,,EDITORIAL; Pg. B-6,,292 words,,,"February 7, 2012",ENGLISH,,,,,,Newspaper,Copyright 2012 P.G. Publishing Co.
,peace,prize,give,chance,work,selection,committee,mr.,heffermehl,global,nation,award,humanitarian,president,honor,hold,congress,jurist,critic,process,mean,trouble,face,formal,investigation,alfred,nobel,call,champion,indisputable,mind,movement,new,order,safely,drop,national,armament,beef,broaden,category,environmental,field,2007,former,vice,al,gore,panel,alerting,world,warming,2009,effort,behalf,international,diplomacy,although,appear,choose,w.,bush,judge,inventor,dynamite,follow,guideline,idealistic,helpful,seek,best,fraternity,abolition,reduction,stand,army,promotion,favor,expansive,read,criterion,shame,voice,conscience,dissident,liu,xiaobo,2010,human,rights,activist,1975,may,promote,witness,humanity,climate,change,disqualify
,6,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 24, 2012 Thursday",193 of 426 DOCUMENTS,Pittsburgh Post-Gazette,"BRIDGING THE POLITICAL GAP BETWEEN US, CUBA; SCIENTISTS SAY ENVIRONMENTAL COLLABORATION NECESSARY TO ENSURE SUCCESS FOR BOTH NATIONS","Franco Ordonez, McClatchy Washington Bureau",WORLD; Pg. A-10,,924 words,,,"May 25, 2012",ENGLISH,,,"PHOTO: Kevin G. Hall/McClatchy Newspapers Wilfredo Garcia, 46, heads a local effort in Vinales, Cuba, to promote environmentally friendly sustainable agriculture.",,,Newspaper,Copyright 2012 P.G. Publishing Co.
