PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"July 20, 2008 Sunday",1 of 396 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),BURY THE CARBON; IT WOULD COST EACH U.S. HOUSEHOLD ONLY A PENNY A DAY TO HELP SLOW THE PACE OF GLOBAL WARMING,EDWARD S. RUBIN,EDITORIAL; THE NEXT PAGE; Pg. G-6,,1531 words,,,"July 23, 2008",ENGLISH,,,INFORMATIONAL GRAPHIC: Stacy Innerst/Post-Gazette: STORING CARBON UNDERGROUND \ INFORMATIONAL GRAPHIC: James Hilston/Post-Gazette; U.S. Energy Information Administration: WHERE OUR ELECTRICITY COMES FROM,,,Newspaper,Copyright 2008 P.G. Publishing Co.
,CO2,capture,gas,plant,storage,climate,carbon,power,change,fuel,emission,greenhouse,fossil,use,electricity,technology,cost,percent,coal,bill,energy,formation,atmosphere,go,global,next,burn,run,way,three,project,need,add,measure,dioxide,make,less,include,important,thing,car,co2,mainly,keep,hour,shift,reduction,world,must,reduce,rock,large,however,industry,step,type,different,test,fund,radiation,approach,Climate,legislation,despite,support,major,link,warming,economy,many,policy,easy,meanwhile,atmospheric,level,continue,rise,future,much,bipartisan,billion,small,fee,require,really,generate,average,enjoy,another,nuclear,provide,source,account,renewable,electric,battery,scientist,serious,effect
"June 21, 2008 Saturday",84 of 396 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),HOUSE PASSES WIRETAP BILL,,NATIONAL; NATIONAL BRIEFS; Pg. A-4,,566 words,,,"June 24, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 P.G. Publishing Co.
,government,bill,change,chemical,executive,WASHINGTON,vote,large,week,business,official,king,memorial,approve,surveillance,rule,telecommunication,country,pass,protect,update,intelligence,attack,next,risk,federal,"7,000",amount,complete,vulnerability,assessment,regulate,security,measure,face,withhold,privilege,document,committee,jr.,look,slightly,mouth,House,U.S.,White_House,easily,compromise,set,new,electronic,effectively,shield,company,lawsuit,arise,warrantless,eavesdropping,phone,computer,line,telecom,foreign,act,attempt,balance,privacy,rights,responsibility,take,account,technology,passage,amendment,mark,beginning,end,monthslong,standoff,democrat,republican,wiretapp,inside,expect,margin,perhaps,soon,warn,terror,tell,consider,high,target,house,site,range,major,plant,university
,6,4,4,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 22, 2008 Friday",86 of 396 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),3 CANADIAN SOLDIERS KILLED,,WORLD; WORLD BRIEFS; Pg. A-4,,555 words,,,"August 22, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 P.G. Publishing Co.
,kill,data,troops,international,lose,climate,military,Afghanistan,French,Ghana,bomb,southern,canadian,soldier,include,pace,coalition,insurgent,fighter,governor,attack,week,province,border,government,memory,device,information,personal,work,detail,report,hope,shock,president,agreement,journalist,freed,news,without,Laghman,Africa,Iraqi,U.S.,department,roadside,three,blast,happen,wednesday,dangerous,district,west,main,city,ambush,announce,likely,deadliest,2001,invasion,184,americans,die,accord,press,count,far,surpass,record,222,troop,death,2007,meanwhile,battle,eastern,afghanistan,responsible,target,fleeing,valley,monday,take,place,uk,prisoner,another,embarrassing,stumble,computerize,confirm,contractor,contain,every,prison,inmate,"84,000",people
,5,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 27, 2008 Sunday",87 of 396 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),'EARY' INDICTMENT: CORN BLAMED FOR EVERYTHING,"Teresa F. Lindeman, Pittsburgh Post-Gazette",BUSINESS; Pg. C-1,,2137 words,,,"April 29, 2008",ENGLISH,,,"PHOTO: VWH Campbell/Pittsburgh Post-Gazette: Richard Burd with his companion ""Q"" as he spreads fertilizer over a field that will be used in the production of corn to be used for ethanol production. \ PHOTO: VWH Campbell/Post-Gazette: Higher prices have meant land that lay fallow has been brought back into crop production.",,,Newspaper,Copyright 2008 P.G. Publishing Co.
,price,corn,ethanol,cost,rise,plant,farmer,crop,go,government,food,produce,product,make,policy,biofuel,farm,use,sell,U.S.,feed,fuel,company,meat,development,end,grow,grain,support,production,gas,chicken,buy,consumer,around,oil,world,lot,market,soybean,corn_based,Ohio,well,industry,high,factor,thing,move,demand,continue,value,may,bushel,mean,seed,plan,agricultural,percent,another,sausage,producer,look,nation,energy,vs.,blame,part,grocery,good,right,include,fall,livestock,wheat,worry,fertilizer,much,dairy,business,commodity,give,moment,run,help,herd,process,capacity,project,billion,gallon,investment,land,researcher,higher,keep,office,affect,yet,poultry
,30,28,23,18,14,14,11,11,9,8,8,8,8,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2
"July 27, 2008 Sunday",98 of 396 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),DENIAL MUST END,"ROBERT J. REILAND, O'Hara",EDITORIAL; ISSUE ONE: AL GORE ON THE CLIMATE; Pg. G-3,,271 words,,,"July 29, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 P.G. Publishing Co.
,energy,grieve,cost,future,take,way,source,many,we,instead,gore,civilization,reduce,do,cheaper,fall,thing,building,double,crisis,climate,change,shortage,seem,stuck,stage,clear,can,continue,business,usual,without,great,near,distant,accept,action,tell,respond,denial,anger,bargaining,depression,al,challenge,stop,process,something,sound,alarm,july,regardless,personal,opinion,either,control,situation,nation,history,include,increase,efficiency,prosper,part,advantage,side,coin,rise,hope,survival,require,choose,new,whose,likely,far,depress,otherwise,fossil,fuel,dead,end,solar,power,drop,price,smart,invest,hasten,time,current,intelligent,approach,construction,renovation,use,sector,percent,2020
,6,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 9, 2008 Sunday",104 of 396 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),OBAMA SETTING PRIORITIES; DECIDING WHAT AND HOW MUCH TO DO ALWAYS DIFFICULT,"Peter Baker, The New York Times",NATIONAL; Pg. A-1,,913 words,,,"November 10, 2008",ENGLISH,,,PHOTO: Stan Honda/Agence France-Presse/Getty Images: Sens. Barack Obama and Joseph R. Biden Jr. meet with the Transition Economic Advisory Board Friday in Chicago.,,,Newspaper,Copyright 2008 P.G. Publishing Co.
,adviser,president,Mr._Obama,obama,priority,economic,health,energy,campaign,program,care,pass,tax,push,financial,move,plan,nation,put,mo,system,back,stagger,time,strategy,issue,hand,address,education,democrat,many,economy,promise,track,recovery,question,tackle,climate,change,initiative,approach,transition,election,various,take,much,discuss,example,deficit,former,know,problem,january,major,vetoed,cut,increase,show,early,rep.,wait,forward,identify,include,relief,talk,three,package,demand,go,Roosevelt,Johnson,middle_class,North,Clinton,disarray,treasury,draining,try,figure,expansive,open,tenure,slower,repeat,business,people,work,whether,independence,need,debate,press,aggressively,multiple,front,versus,pragmatic,flavor
,8,8,8,6,6,6,6,6,5,5,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 31, 2008 Wednesday",111 of 396 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"ECONOMY, ELECTION MAKE BIG NEWS; NATIONAL EVENTS HAVE BIG EFFECTS IN LOCAL SUBURBS","Rick Shrum, Pittsburgh Post-Gazette",METRO; Pg. EZ-4,,2748 words,,,"January 3, 2009",ENGLISH,,,"PHOTO: Edward R. Gavalek: One man was killed and a 4-year-old girl was injured in explosion at a house in the 100 block of Mardi Gras Drive in Plum this afternoon; 15 other homes were damaged, police said.\ PHOTO: Andy Starnes/Post-Gazette: Members of the Slaughter family -- Frank, his daughter, Tayana, and wife, Tracy -- get their first look at their dream home yesterday as Ty Pennington, host for the TV show ""Extreme Makeover: Home Edition,"" looks on.\ PHOTO: Bill Wade/Post-Gazette: Sunny Carney, who has a rare form of cancer, in her Plum front yard.\ PHOTO: Lake Fong/Post-Gazette: Natalie Bower, of Latrobe, finishes way ahead of the pack to claim her fourth WPIAL girls' Class AAA cross-country title in a row Oct. 23 at Cooper's Lake Campground.",,,Newspaper,Copyright 2008 P.G. Publishing Co.
,school,home,mrs,hospital,close,carney,carcinoid,treatment,three,time,run,work,new,plan,end,cancer,UPMC,may,job,life,take,house,site,expect,build,facility,approve,district,elementary,help,tumor,Plum,force,region,plant,makeover,turn,look,become,march,chief,jan,story,past,street,front,care,condition,current,make,service,million,need,change,student,four,show,slaughter,doctor,Sony,Penn_Hills,Hempfield,Gianna,2008,include,many,company,recent,news,explosion,family,high,part,hour,celia,neighbor,burn,find,mo,p.m.,decline,release,last,report,level,damage,dec.,television,lead,business,decision,operating,east,note,area,board,program,closing,budget
,16,10,9,9,8,8,8,8,7,7,7,7,7,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"February 9, 2008 Saturday",117 of 396 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),LEADERS SEE 'A LOT OF WORK' FOR BUSINESS CLIMATE,"BILL TOLAND, PITTSBURGH POST-GAZETTE",BUSINESS; Pg. A-8,,520 words,,,"February 12, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 P.G. Publishing Co.
,tax,company,business,state,million,net,loss,code,make,pennsylvania,work,issue,suggest,capital,mill,income,good,Pennsylvania,four,propose,continue,order,result,stock,franchise,rate,drop,cap,operating,carry,next,let,change,formula,property,payroll,include,job,take,gov,ed,rendell,unveiled,budget,local,political,leader,push,reform,measure,attractive,place,build,grow,lot,chief,executive,officer,traco,host,meeting,along,coalition,brute,force,sometimes,answer,group,need,band,together,lobby,intensely,hope,particular,phaseout,governor,2.89,2.49,previously,schedule,1.89,elimination,unlike,virtually,every,permit,forward,full,extent,offset,future,lose,due,corporate,base,sale,element,discourage
,11,8,6,5,5,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 10, 2008 Wednesday",145 of 396 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),LAID-OFF WORKERS WIN BIG ROUND,,NATIONAL; NATIONAL BRIEFS; Pg. A-6,,548 words,,,"December 11, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 P.G. Publishing Co.
,plant,worker,week,vote,former,mo,sentence,employee,severance,pay,limited,loan,factory,resolve,dispute,announce,union,slaughterhouse,country,state,draw,across,meet,vice,nation,national,reduce,seek,lose,change,2007,plea,probation,robbery,term,three,guilty,CHICAGO,laid_off,sit_in,Obama,President_elect,Mr._Gore,Simpson,creditor,conduct,demand,extend,declare,protest,unfinished,close,last,cancel,financing,200,respond,stage,vow,stay,assurance,receive,accrue,vacation,resolution,appear,closer,bank,send,letter,offer,provide,amount,additional,claim,crucial,n.c.,confrontation,representation,world,largest,pork,"4,600",co.,packing,mile,south,today,tomorrow,whether,commercial,negotiate,owner,employ,"5,000",people,size,major,shopping
,5,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
