PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"April 2, 2006 Sunday",2 of 295 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),EXPECT LOW WATER FOR TROUT OPENER,DEBORAH WEISBERG,OUTDOORS; FISHING; Pg. D-15,,897 words,,,"April 8, 2006",ENGLISH,,,,,,Newspaper,Copyright 2006 P.G. Publishing Co.
,water,low,stream,rain,Swistock,spring,groundwater,precipitation,flow,open,good,weather,april,decade,toward,season,dry,accord,right,pattern,warm,earlier,global,warming,peak,move,temperature,tend,snow,quickly,especially,less,fall,go,ground,early,Pennsylvania,trout,clear,reflect,recent,expert,change,environment,storm,level,thing,march,climate,part,well,faster,rainfall,make,pack,fluctuating,normal,time,look,foot,far,system,creek,may,pretty,still,freestone,fracture,allow,recharge,consistent,pave,cold,presentation,bait,black,Western_Pennsylvania,likely,trend,tracking,climatic,impact,head,deficit,predict,resource,specialist,might,raise,temporary,take,last,driest,half,university,model,forecast,puzzle,1895
"April 3, 2006 Monday",31 of 295 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"LET COOLER HEADS PREVAIL; THOUGH IT MAKES FOR EXCITING JOURNALISM, GLOBAL WARMING HYSTERIA IS BAD FOR YOU",George F. Will,EDITORIAL; Pg. B-7,,774 words,,,"April 3, 2006",ENGLISH,,,,,,Newspaper,Copyright 2006 P.G. Publishing Co.
,warming,worried,cool,global,ABC,big,americans,earth,temperature,coal,climate,time,last,percent,might,planet,scientist,glacier,gov,carbon,must,ice,change,1975,suppose,Montana,Schweitzer,`,debate,magazine,cover,story,speak,degree,journalism,never,take,put,campaign,unanimous,oil,recently,receding,technology,cause,return,accord,major,worry,fact,science,report,world,agree,age,may,sure,slow,perhaps,problem,Senate,America,Northern_Hemisphere,week,exhort,reader,concur,several,governor,poll,gather,collaboration,probably,happen,threaten,personally,rise,surface,fahrenheit,century,notice,course,anxiety,calculate,produce,mind,margin,error,measure,person,thermometer,orifice,arm,churn,tectonic,plate,slide,around,molten
,9,8,7,6,6,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 2, 2006 Monday",38 of 295 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),CALIFORNIA LEADS; AMERICANS DESERVE SUCH ENVIRONMENTAL PROGRESS,,EDITORIAL; Pg. B-6,,278 words,,,"October 3, 2006",ENGLISH,,,,,,Newspaper,Copyright 2006 P.G. Publishing Co.
,law,state,California,indoor,workplace,environmental,gov,take,particularly,limiting,greenhouse,gas,level,election,emission,cut,official,duk,ban,smoking,enact,far,sweeping,without,anyone,nervous,breakdown,enough,make,move,last,wednesday,sign,major,initiative,fill,void,federal,policy,possibly,lead,way,action,administration,bankrupt,approach,environment,matter,leave,leader,alternative,pass,head,schwarzenegger,republican,craft,historic,pact,differently,doubt,governor,score,political,point,boldly,break,upstage,party,president,issue,national,indeed,global,importance,gut,many,politician,shrink,courageous,position,set,nation,cap,factory,refinery,utility,warm,earth,tough,rule,auto,tailpipe,pollution,hope,reduce,1990,percent,2020,leadership
,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 22, 2006 Sunday",44 of 295 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),LIBERALS ARE ON THE ROPES IN CANADA ELECTION,"JIM TANKERSLEY, BLOCK NEWS ALLIANCE",WORLD; Pg. A-5,,1402 words,MONTREAL,,"January 24, 2006",ENGLISH,,,"PHOTO: Allan Detrich/The Blade: Mayor Bill Krestel gets more election signs to post around the island for tomorrow's election at the Pelee Island, Canada, airport.",,,Newspaper,Copyright 2006 P.G. Publishing Co.
,liberal,Canada,conservative,election,party,voter,campaign,scandal,analyst,Liberals,Mr._Harper,time,canadian,2004,call,Quebec,Mr._Martin,change,power,government,policy,include,last,sponsorship,fund,help,905,win,have,attack,Canadian,new,poll,run,federal,democrat,issue,abortion,money,prime,minister,might,mo,harper,late,keep,try,political,mr.,Toronto,Harper,book,quebec,mall,many,shopping,corruption,begin,fill,parliament,tomorrow,control,tax,missile,defense,climate,republican,across,nation,fall,divide,majority,seat,secession,initiative,1995,judge,report,strong,downtown,suburban,make,area,know,back,pledge,week,turn,similar,recently,work,allege,spend,limit,oppose,do,we,alone,suggest
,16,15,11,11,10,9,8,7,7,7,7,6,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"November 14, 2006 Tuesday",47 of 295 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),HAMAS YIELDING ITS CONTROL,,WORLD; WORLD BRIEFS; Pg. A-5,,577 words,,,"November 14, 2006",ENGLISH,,,,,,Newspaper,Copyright 2006 P.G. Publishing Co.
,minister,international,government,group,prime,president,effort,nuclear,climate,emission,Hamas,North,power,election,hamas,end,agree,cabinet,remain,funding,outside,tribunal,plan,suspect,vote,protest,weapon,program,enough,homeless,child,capital,violence,presidential,take,environmental,world,greenhouse,gas,rank,Palestinian,Lebanon,U.N.,South_Korea,Congo,ten,seize,historic,movement,prepare,relinquish,control,hope,economic,blockade,prevent,effectively,run,significant,concession,militant,accept,microbiology,professor,degree,replace,leader,although,new,unity,reign,rule,party,far,certain,succeed,persuade,critical,foreign,donor,restore,million,soon,form,community,cut,virtually,palestinians,ground,halt,weaken,approve,assassination,former,despite,resignation,six,objection,victory
,6,5,5,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 10, 2006 Wednesday",51 of 295 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),2006 PRIMARY VOTERS GUIDE,Pittsburgh Post-Gazette,LOCAL; Pg. A-10,,3385 words,,,"May 10, 2006",ENGLISH,,,PHOTO: Galovich PHOTO: Liberatore PHOTO: Petrone PHOTO: Cindric PHOTO: Dolan PHOTO: Perman PHOTO: Vulakovich PHOTO: Costa PHOTO: Messina PHOTO: Karas PHOTO: Gergely PHOTO: Matta PHOTO: Ruffing PHOTO: Kortz PHOTO: Jabbour PHOTO: Rhoderick PHOTO: Levdansky PHOTO: Stevenson PHOTO: Harris PHOTO: Hackett PHOTO: White PHOTO: Walsh PHOTO: Daley PHOTO: Barli PHOTO: Rohaley PHOTO: Angell PHOTO: Nevala PHOTO: DeWeese PHOTO: Danko PHOTO: Yeager PHOTO: Gearing PHOTO: Mahoney PHOTO: Vicites PHOTO: Mikita PHOTO: Cochran PHOTO: Butela PHOTO: Reed PHOTO: Lowery PHOTO: Goughnour PHOTO: Stairs PHOTO: Helterbran PHOTO: Marks PHOTO: Hopkins PHOTO: Bozek PHOTO: Carson PHOTO: Kula PHOTO: Lucia PHOTO: Harhai,,,Newspaper,Copyright 2006 P.G. Publishing Co.
,district,mo,raise,tax,vote,pay,state,run,primary,incumbent,seat,issue,term,campaign,school,candidate,former,last,work,legislature,change,Democratic,Republican,race,business,nomination,property,democrat,take,office,member,funding,include,part,favor,money,reform,face,republican,reduce,seek,House,West_Mifflin,challenger,summer,controversial,project,mr.,public,eliminate,unopposed,ed,end,size,legislator,increase,pa,cleansweep,legislative,mt,election,three,make,councilman,support,sale,income,winner,rep.,use,time,retire,plan,fifth,general,people,job,manager,serve,levdansky,a.,elect,Pennsylvania,Harrisburg,Lebanon,petrone,help,receive,opponent,call,supervisor,government,limit,raising,program,president,believe,lawmaker,fund
,45,33,21,21,19,17,16,15,13,13,12,12,12,11,11,11,11,9,9,9,9,9,9,8,8,8,8,8,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"July 24, 2006 Monday",58 of 295 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),CHRISTINE TODD WHITMAN,"Patricia Sheridan, Pittsburgh Post-Gazette",ARTS & ENTERTAINMENT; BREAKFAST WITH; Pg. C-2,,1105 words,,,"July 26, 2006",ENGLISH,,,PHOTO: Christine Todd Whitman,,,Newspaper,Copyright 2006 P.G. Publishing Co.
,administration,support,go,thing,time,way,regulation,put,environment,really,people,political,think,need,still,do,look,know,change,send,head,take,back,run,office,important,within,make,well,mean,president,point,kind,work,republican,call,industry,protect,keep,country,leave,percent,enough,have,lot,Environmental_Protection_Agency,Republican_Party,EPA,party,right,understand,discussion,care,oh,sure,social,fundamentalist,narrow,position,we,regulate,emission,health,many,clearly,business,move,forward,feel,far,environmental,never,nothing,every,anything,problem,protocol,sign,climate,include,world,something,give,incentive,better,government,absolutely,healthy,Republican,United_States,Clinton,China,christie,todd,whitman,draw,experience,governor,publish
,6,6,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1
"June 18, 2006 Sunday",62 of 295 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),POLL: GLOBAL WARMING A CONCERN,Deborah Weisberg,OUTDOORS; Pg. C-14,,532 words,,,"June 28, 2006",ENGLISH,,,,,,Newspaper,Copyright 2006 P.G. Publishing Co.
,trout,Pennsylvania,fish,brook,wild,change,state,include,study,less,percent,number,consequence,global,warming,poll,finding,news,conference,last,week,decline,factor,fishery,involved,well,land,road,acid,rain,temperature,take,impact,agree,earlier,Trout_Unlimited,Gillespie,Nardone,Duda,outdoorsman,worried,place,traditionally,hunt,bottom,line,new,commission,key,select,release,hold,club,wake,much,bigger,show,native,throughout,eastern,climate,intact,shed,historically,occur,unlimited,scientist,help,direct,agency,encompass,vary,region,example,certain,stronghold,far,generalize,brooky,substantially,cite,host,culprit,poor,management,associate,farm,urbanization,stream,fragmentation,construction,sedimentation,brown,degradation,riparian,habitat,dam,abandon,mine
,10,8,6,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 5, 2006 Wednesday",63 of 295 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),PROTECTING NATURE'S SPONGE; SUPREME COURT RULING TOO CLOSE FOR COMFORT,,EDITORIAL; Pg. A-12,,498 words,,,"July 5, 2006",ENGLISH,,,,,,Newspaper,Copyright 2006 P.G. Publishing Co.
,wetland,court,protection,developer,water,include,soil,help,environment,vote,deliver,federal,resolve,case,shopping,instead,use,every,cover,climate,carbon,important,EPA,preserve,protect,nation,natural,lie,away,wholesale,destruction,supreme,fracture,rule,legal,status,high,finally,side,continue,law,message,decidedly,mix,five,separate,opinion,emanate,nine,justice,decision,restrict,erect,mall,condominium,property,spar,shortsight,fashion,whether,must,connect,navigable,enjoy,send,back,lower,deliberation,likelihood,mean,several,administrative,uncertainty,litigation,addition,legality,miss,opportunity,need,coherent,recognition,protective,role,play,ecology,well,accurate,statement,careful,preservation,benefit,everyone,build,home,center,development,begin,regulation,simply
,12,6,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 11, 2006 Sunday",67 of 295 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"CITY-COUNTY MERGER:NOW, MORE THAN EVER?",JAKE HAULK AND FRANK GAMRAT,EDITORIAL; Pg. H-4,,688 words,,,"June 15, 2006",ENGLISH,,,,,,Newspaper,Copyright 2006 P.G. Publishing Co.
,city,improve,government,county,union,merge,efficiency,cost,Leadership_Pittsburgh,class,idea,economic,reason,problem,growth,business,climate,help,tax,service,merger,way,financial,Pittsburgh,graduate,group,love,better,notion,municipality,allegheny,perhaps,population,job,well,far,provide,virtually,pay,work,rule,benefit,study,recommend,every,turn,lower,unfunded,spend,recent,assignment,move,forward,for,entire,trot,tired,old,regional,booster,tout,development,image,rid,watch,pittsburgh,take,explain,single,much,terrible,leave,miss,point,entirely,almost,always,dismal,matter,region,whole,fragment,find,pervasive,unionism,determine,regulatory,treat,villain,heroes,spur,although,may,ease,corporate,hand,true,opportunity,achieve
,12,8,8,7,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 12, 2006 Sunday",76 of 295 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"SWEDEN PLANS TO END OIL DEPENDENCY BY 2020; AMBITIOUS PLAN IS RESPONSE TO GLOBAL WARMING, RISING PRICES AND DIMINISHING SUPPLIES","MATTIAS KAREN, THE ASSOCIATED PRESS",WORLD; Pg. A-5,,882 words,,,"February 13, 2006",ENGLISH,,,"PHOTO: Maja Suslin Scanpix/Associated Press: A man refuels his car with the ethanol fuel E85 at a Statoil fuel station in Stockholm, Sweden, last week. The E85 driven cars have become popular in the Swedish capital Stockholm after the introduction of congestion charges. An E85 car can run both on the ethanol fuel E85 and on regular gas.",,,Newspaper,Copyright 2006 P.G. Publishing Co.
,oil,Sweden,renewable,energy,alternative,percent,country,target,use,fuel,think,source,ms.,run,Swedish,EU,may,break,already,completely,environmental,expert,house,heating,sahlin,world,people,per,give,good,build,power,much,announce,ambitious,dependency,petroleum,minister,rid,time,better,need,gasoline,plan,change,rise,price,lot,five,liter,household,today,mr.,switch,electricity,tax,commission,society,executive,ethanol,million,wind,capita,burn,make,average,accord,statistic,gas,double,set,many,government,sector,last,heat,one_third,president,surprised,international,observer,pledge,state,address,addiction,foreign,step,ahead,environmentally,progressive,nation,goal,yet,end,next,2020,sustainable,development,september
,14,14,8,8,7,7,6,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 18, 2006 Wednesday",82 of 295 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),SAAB OFFERING LIMITED EDITIONS,Don Hammonds,BUSINESS; SAAB; Pg. G-16,,349 words,,,"October 19, 2006",ENGLISH,,,,,,Newspaper,Copyright 2006 P.G. Publishing Co.
,metallic,new,system,2007,change,horsepower,special,OnStar,car,edition,wheel,paint,item,talk,model,navigation,interior,always,range,liter,city,highway,price,collector,take,note,saab,bring,limited,production,version,exist,example,500,unit,altitude,produce,sale,among,feature,alloy,polish,side,assist,step,rear,player,exclusive,carbon,fiber,gray,attractive,package,offer,total,savings,almost,"1,000",cost,order,separately,though,still,well,"40,000",addition,lineup,equip,service,call,factory,install,fully,integrate,let,consumer,live,advisor,turn,send,complete,direction,customer,vehicle,include,standard,tire,pressure,monitor,color,biggest,clearly,dashboard,have,love,find,controls,problematic,expect
,5,5,5,4,4,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 22, 2006 Wednesday",85 of 295 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),GREENING THE CAPITOL; IT'S ABOUT TIME THE ENVIRONMENT GOT HIGHER PRIORITY,,EDITORIAL; Pg. B-6,,474 words,,,"November 23, 2006",ENGLISH,,,,,,Newspaper,Copyright 2006 P.G. Publishing Co.
,ally,global,warming,lawmaker,change,sen,emission,make,agreement,country,Washington,legislative,issue,likely,among,democrat,take,place,key,boxer,environment,favor,cut,risk,environmentally,friendly,policy,go,immediate,particularly,measure,include,outline,prime,minister,next,suggest,tax,Congress,France,United_Kingdom,prepare,influx,fresh,face,agenda,dust,polish,read,glare,scrutiny,environmental,prickly,move,forward,initiative,insider,warning,expect,much,slim,margin,hold,despite,committee,example,barbara,chairman,link,information,site,public,way,protect,family,replace,jame,inhofe,label,scientific,hoax,difference,election,position,necessarily,bring,remain,challenge,forge,cite,concern,within,mandate,suggestion,environmentalist,new,leadership,represent,biggest
,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 6, 2006 Monday",86 of 295 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"THE PRESIDENT WE HAVE; BUSH'S CONFESSION ABOUT AMERICA'S 'OIL ADDICTION' MIGHT BE MERE TALK, BUT IT'S AN OPENING WE MUST EXPLOIT",Thomas L. Friedman,EDITORIAL; Pg. B-7,,770 words,,,"February 7, 2006",ENGLISH,,,"PHOTO: Mark Wilson/Getty Images: Right you are, Mr. President.",,,Newspaper,Copyright 2006 P.G. Publishing Co.
,president,go,oil,change,way,right,never,gasoline,make,end,addiction,need,know,energy,use,call,real,long,guy,three,talk,bill,car,hybrid,worst,regime,great,well,state,speech,improve,still,man,trash,thing,remember,moron,next,democrat,time,hear,language,technology,have,sustain,tell,support,already,consumption,million,barrel,much,line,run,alcohol,give,americans,send,dollar,entice,good,tax,unless,pal,may,China,Union,Detroit,exactly,nixon,bean,bag,either,push,educational,competitiveness,important,direction,tone,definitive,policy,implementation,oh,throw,paragraph,weak,knee,show,spine,serious,put,drop,assume,war,look,listen,wife,yeah,else
,11,9,8,6,6,5,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 27, 2006 Thursday",90 of 295 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),MARKET SHOWS SMALL LOSS IN SEESAW TRADING SESSION,The Associated Press,BUSINESS; Pg. C-3,,708 words,NEW YORK,,"July 27, 2006",ENGLISH,,,,,,Newspaper,Copyright 2006 P.G. Publishing Co.
,price,stock,percent,fall,session,energy,investor,economic,drop,rise,high,survey,report,company,profit,lower,trading,inflation,close,consumer,barrel,point,lose,index,growth,july,sale,increase,shipping,rally,swing,gain,federal,reserve,regional,condition,industrial,earning,oil,sector,cent,economy,analyst,tuesday,major,overall,remain,business,climate,latest,feed,district,generally,though,force,less,spend,gasoline,people,retailer,find,higher,final,cost,fuel,volume,share,billion,Beige_Book,second_quarter,nervous,cash,leave,marginally,seesaw,open,check,near,discretionary,finish,sell,amazon.com,inc.,co.,disappointing,news,spike,help,light,crude,settle,73.94,advanced,much,earlier,health,care,utility,head
