PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"November 30, 1997, Sunday",2 of 247 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),MAN AND NATURE FEELING THE HEAT,"JOBY WARRICK, THE WASHINGTON POST","WORLD, Pg. A-10",,1456 words,"SANBORN, N.D.",,"December 3, 1997",ENGLISH,,,,,,,Copyright 1997 P.G. Publishing Co.
,warming,scientist,climate,change,global,Earth,greenhouse,temperature,gas,carbon,atmosphere,effect,satellite,know,continue,heat,scientific,human,planet,small,measurement,town,go,computer,new,possible,record,city,recent,range,debate,world,major,warm,balance,far,nation,reach,point,amount,data,question,evidence,level,degree,argue,dioxide,way,make,century,add,Sanborn,Albritton,100,forecast,week,mean,freeze,bring,fact,predict,steadily,grow,farmer,mild,eventually,flood,believe,water,enormous,around,model,can,yet,impact,consensus,real,likely,many,prominent,atmospheric,there,significant,decade,begin,important,influence,base,rise,fall,theory,fully,cut,research,fuel,journal,still,produce,link
"December 11, 1997, Thursday",37 of 247 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"CLIMATE SUMMIT YIELDS ACCORD; U.S. FACES DEEPER, CONTROVERSIAL CUTS IN EMISSIONS TIED TO GLOBAL WARMING","KEVIN SULLIVAN AND JOBY WARRICK, THE WASHINGTON POST","WORLD, Pg. A-1",,815 words,"KYOTO, Japan",,"December 12, 1997",ENGLISH,,,"PHOTO, PHOTO: Katsumi Kasahara/Associated Press: A delegate sleeps as he and; others wait for negotiations to conclude between the United States and; European Union yesterday in Kyoto.",,,,Copyright 1997 P.G. Publishing Co.
,emission,nation,country,agreement,delegate,develop,percent,treaty,climate,cut,proposal,call,pact,conference,key,Clinton,summit,greenhouse,among,world,poorer,work,1990,level,industry,official,many,include,administration,reach,accord,today,gas,leave,next,issue,negotiation,well,require,reduce,ambitious,global,environmental,significant,the,victory,sign,obstacle,meet,democrat,opposition,final,mechanism,participation,program,Earth,Europe,Japan,United_States,Dingell,Argentina,exhaust,bitterly,divide,historic,agree,substantial,industrialize,contentious,whether,participate,capping,chaotic,hour,nearly,nonstop,159,way,adop,commit,unprecedented,bind,limit,pollutant,scientist,cause,potentially,disastrous,warming,ratify,wealthy,2012,spur,dramatic,change,dependent,almost,certainly,controversial
,8,8,7,7,6,6,6,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 28, 1997, Sunday",39 of 247 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),THE TRUTH ABOUT GLOBAL WARMING IS THAT CONSENSUS DOESN'T EXIST,CRAIG B. CLEMMENS; APOLLO,"EDITORIAL, Pg. C-2, LETTERS TO THE EDITOR",,395 words,,,"December 30, 1997",ENGLISH,,,,,,,Copyright 1997 P.G. Publishing Co.
,warming,point,become,fact,warm,data,Earth,repeat,lie,enough,global,trend,consensus,industrial,climate,geologist,pseudoscience,advance,interglacial,period,without,partial,volcano,ash,atmosphere,dioxide,century,Wisconsinian,Krakatoa,often,loudly,truth,dec.,editorial,warning,prudent,concerned,state,among,mainstream,scientist,human,activity,lead,potentially,dangerous,change,may,bold,include,unanimity,geological,perspective,indisputable,glacial,end,"10,000",ago,less,steadily,although,punctuate,interruption,likely,associate,major,volcanic,eruption,precede,polar,ice,cap,melt,sea,level,rise,fall,line,seaboard,reason,believe,current,influence,man,much,world,ecological,disaster,predicated,upon,analysis,infinitesimally,tiny,100,conclude,burn,fossil,fuel,cause
,6,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 11, 1997, Sunday",42 of 247 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),SPRING BRINGS A REVIVAL OF SCHOOL DRESS CODE DEBATES,"ELEANOR CHUTE, POST-GAZETTE STAFF WRITER","LOCAL, Pg. B-1",,1599 words,,,"May 13, 1997",ENGLISH,,,"PHOTO, PHOTO: John Beale/Post-Gazette: Mt. Lebanon High School students,; some of them believing that baggy is better, arrive for class last week.",,,,Copyright 1997 P.G. Publishing Co.
,school,dress,short,student,code,pants,think,clothing,shirt,ban,wear,inch,state,skirt,long,good,proposal,policy,principal,mt,knee,may,waist,alcohol,Monaca,clothes,administrator,individual,permit,parent,educational,drug,top,new,length,arm,fingertip,picture,Lebanon,spring,violation,regulation,must,high,beginning,propose,old,cover,require,people,way,learn,many,specifics,include,fashion,touch,monaca,follow,go,district,climate,Penn_Trafford,test,weather,attire,detailed,hat,within,never,consider,sag,little,small,we,give,low,tight,junior,hole,general,point,appearance,he,she,sexual,reference,advertising,tobacco,halter,use,judgment,type,restriction,spell,building,reach,middle,shorter
,29,22,21,20,16,11,11,11,9,9,8,7,7,6,6,6,6,6,6,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"October 13, 1997, Monday",44 of 247 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),WARMING TO A TASK; CLINTON MUST LEAD IN REACTING TO CLIMATE CHANGE,,"EDITORIAL, Pg. A-14",,564 words,,,"October 13, 1997",ENGLISH,,,,,,,Copyright 1997 P.G. Publishing Co.
,world,administration,must,pay,nation,heat,emission,greenhouse,gas,cost,country,deal,international,change,action,issue,pressure,limit,last,100,grow,warming,human,activity,coal,gasoline,degree,hotter,hard,may,ecological,energy,problem,conflict,percent,emit,develop,complex,tremendous,global,ceiling,time,face,Clinton,United_States,climate,matter,later,preparation,conference,december,try,palatable,plan,president,already,speak,passionately,powerfully,predecessor,intense,business,community,other,commitment,devise,strategy,politically,economically,feasible,resist,temptation,cave,doubt,scientific,consensus,least,portion,result,primarily,carbon,dioxide,cause,burn,fuel,oil,trap,atmosphere,otherwise,escape,scientist,project,planet,warm,might,additional,next,century,impact
,6,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 27, 1997, Sunday",62 of 247 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),PUT THE NEA OUT OF ITS MISERY,WILLIAM CRAIG RICE,"EDITORIAL, Pg. E-4",,839 words,,,"April 30, 1997",ENGLISH,,,,,,,Copyright 1997 P.G. Publishing Co.
,art,artist,tax,NEA,grant,change,deduction,agency,government,writer,many,individual,Washington,National_Endowment,IRS,judge,effect,creative,spirit,federal,best,support,less,provide,kind,benefit,cultural,authority,need,without,mean,likely,practice,great,decide,create,organization,class,reform,make,time,work,filer,itemize,sell,nothing,insurance,rule,law,literary,w.,write,advocacy,climate,future,rest,reauthorization,question,legitimacy,record,actual,tantamount,declare,war,study,broader,believe,thing,happen,phase,instead,democratic,selective,method,fatal,flaw,subject,accountability,protect,oblige,use,inherently,undemocratic,system,control,hierarchical,nature,accentuate,hierarchy,scene,money,therefore,go,richest,institution,university,short,afford,hire
,17,16,7,6,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 19, 1997, Thursday",64 of 247 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),THE ROSY GLOW OF THE FUTURE,BILL STEIGERWALD,"LIFESTYLE, Pg. C-2, MAGAZINES",,702 words,,,"July 3, 1997",ENGLISH,,,,,,,Copyright 1997 P.G. Publishing Co.
,world,global,author,euro,Long_Boom,understand,the,future,economic,economy,create,much,better,2020,change,whole,government,think,cover,another,page,make,way,boom,peaceful,computer,new,openness,liberal,technology,power,long,we,anything,key,open,good,business,individual,nation,community,european,sound,partner,although,free,trade,essays,Wired,Rogers,France,Bastiat,hate,police,especially,stodgy,type,doom,check,july,story,paean,glory,unconditional,love,note,blessing,worse,unrelenting,optimism,present,recent,past,interesting,case,already,well,along,toward,expansion,double,every,lift,literally,billion,poverty,cheerfully,start,1980,run,freer,without,screw,environment,small,part,explanation,perfect,powerhouse
,7,6,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 24, 1997, Monday",69 of 247 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),TOUGH LAW KEEPS ALIENS FROM GOING BACK HOME,"ELAINE S. POVICH, NEWSDAY","NATIONAL, Pg. A-6",,548 words,WASHINGTON,,"November 29, 1997",ENGLISH,,,,,,,Copyright 1997 P.G. Publishing Co.
,immigration,immigrant,Moynihan,illegal,go,Congress,policy,home,change,research,trend,law,advocate,border,social,take,instead,discourage,tough,wall,enough,political,note,point,1996,deal,last,leave,earlier,several,illegally,legal,buy,turn,Mexican,professorial,expert,think,congress,look,unconventional,control,crack,current,study,loosen,cite,pattern,professor,chairman,department,show,enforcement,seasonal,flow,something,permanent,maintain,therefore,backfire,so,make,sure,migration,continue,savvy,idea,likely,gain,currency,today,climate,it,counterintuitive,expect,anybody,government,figure,use,science,dopey,recent,history,suggest,right,buck,address,beef,patrol,restrict,judicial,authority,review,deportation,case,impose,new,stiffer,penalty
,10,8,6,5,5,5,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 5, 1997, Sunday",74 of 247 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),MEDICAL VOLUNTEERS ABOUND FOR TOUGH YEARLY NIGERIAN TRIP,KELLY D. BURGESS,"METRO, Pg. VN-4",,1098 words,,,"January 7, 1997",ENGLISH,,,,,,,Copyright 1997 P.G. Publishing Co.
,we,team,people,plan,equipment,make,hospital,new,time,work,trip,arrange,change,go,Jof,medical,take,doctor,friend,physician,much,collect,always,run,member,call,life,contact,pay,need,send,thing,Nigeria,Africa,mission,native,country,continue,field,return,assemble,proper,paper,particularly,political,upheaval,force,last,job,involved,cancel,government,director,tell,already,receive,help,approval,find,name,jump,home,almost,allow,follow,case,back,next,begin,start,specialty,volunteer,spite,long,wonderful,visa,person,anything,Nigerian,Bauchi,world,health,found,1988,obstetrician,general,surgeon,olu,sanjodeyi,discover,share,vision,pass,skill,along,fellow,opportunity,education,nearly
,15,12,8,7,7,7,7,7,6,6,5,5,5,5,5,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 12, 1997, Sunday",75 of 247 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),BUSINESS PLEADS ITS CASE FOR ITS OWN COURT,"PETER J. SHELLY, POST-GAZETTE HARRISBURG CORRESPONDENT","STATE, Pg. A-13",,970 words,HARRISBURG,,"January 12, 1997",ENGLISH,,,,,,,Copyright 1997 P.G. Publishing Co.
,business,court,case,state,new,trial,bill,judge,lawyer,legislation,Greenleaf,Pennsylvania,system,hear,establish,dispute,percent,dedicated,corporation,six,vote,think,''it,ridge,governor,association,other,Commerce_Court,likely,date,yet,largest,lobby,along,proposal,next,create,settle,cost,become,reduce,county,go,example,claim,personal,injury,compensation,chamber,support,concept,however,make,top,priority,opponent,special,1993,change,hope,among,merit,selection,election,*,might,deal,legal,another,include,section,increase,business_related,Common_Pleas_Court,New_York_County,blush,notion,businessmen,ask,foot,seem,well,silly,mention,owner,break,cold,sweat,deposition,liability,handful,push,strictly,sen,stewart,greenleaf,plan,introduce,goal
,19,18,15,9,8,7,6,6,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 5, 1997, Sunday",89 of 247 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),WINERY JUST 'KEEPS GOING AND GOING'; HARVEST SEASON AT THE LAPIC WINERY IN NEW BRIGHTON IS A VERY BUSY TIME.,TRUDY GRAY,"METRO, Pg. NW-2",,935 words,,,"October 16, 1997",ENGLISH,,,"PHOTO, PHOTO: Annie O'Neill/Post-Gazette: Robert Patterson, left, and John; Justi harvest Cayuga grapes at the Lapic Winery in New Brighton.",,,,Copyright 1997 P.G. Publishing Co.
,wine,grape,winery,make,produce,Josie_Lapic,time,red,grow,Paul_Lapic,work,fermentation,color,still,white,mean,go,people,lapic,much,begin,family,crush,range,pump,label,Lapic_Winery,Lapics,harvest,near,worker,turn,blush,longer,you,keep,four,enjoy,fruit,labor,last,"1,500",festival,can,acre,press,bottle,tour,various,business,1977,information,kind,vineyard,choose,location,factor,method,sell,gallon,rise,tank,start,skin,give,juice,call,spring,may,dry,variation,New_Brighton,Duquesne_Light,Erie_County,Concord,Lapic,busiest,week,pick,ripe,biggest,job,lie,ahead,distinctive,commercial,harmonist,century,twenty,winemake,easier,we,hard,never,relax,couple,son,stop,rather
,24,19,8,8,7,6,5,5,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 28, 1997, Tuesday",91 of 247 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"COLORFUL, EYE-CATCHING CARDS GAIN POPULARITY AS BUSINESS MAGNETS","JAN NORMAN, THE ORANGE COUNTY REGISTER","TABS, Pg. F-7",,1264 words,,,"November 4, 1997",ENGLISH,,,,,,,Copyright 1997 P.G. Publishing Co.
,card,business,look,people,Pitzak,company,make,calif,service,put,standard,color,example,print,customer,time,entrepreneur,second,ZAP,must,president,silver,may,consultant,blue,find,saleswoman,have,variety,recipient,marketing,address,phone,number,hand,sale,ask,prosise,different,unusual,better,other,black,ink,white,paper,per,professional,try,place,rule,without,work,however,person,think,real,reason,bring,red,three,cost,mean,background,letter,four,go,change,waste,hour,tell,likely,sport,trading,another,third,move,name,percent,material,use,wooden,nickel,screen,onto,client,brand,potential,owner,store,magazine,cover,explain,might,something,this,pin,patch,business_card
,53,23,11,9,9,7,6,5,5,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"November 21, 1997, Friday",95 of 247 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),NAMING OF ARENA DISPUTED; AUDITORIUM PANEL BALKS AT PENS' $ 5 MILLION DEAL WITH ALLEGHENY ENERGY,"KEN ZAPINSKI, POST-GAZETTE STAFF WRITER","BUSINESS, Pg. A-1",,996 words,,,"November 21, 1997",ENGLISH,,,,,,,Copyright 1997 P.G. Publishing Co.
,name,deal,million,new,city,authority,arena,rights,auditorium,Civic_Arena,Penguins,county,around,look,public,money,need,Allegheny_Energy,Patton,penguin,change,belong,building,wave,issue,anybody,company,official,improvement,interest,chairman,team,make,process,loss,season,time,propose,customer,Kiesel,pay,executive,involved,dispute,convention,sort,revenue,cash,taxpayer,commissioner,cost,12.9,murphy,earlier,peg,sport,hockey,competitive,statement,sell,go,maintain,development,rule,brand,part,Howard_Baldwin,Pittsburgh,Cohen,six,ready,trouble,the,director,joint,body,we,president,downplay,difference,announce,inc.,understand,may,question,rather,characterize,nothing,aesthetics,protect,venerable,regional,landmark,taint,commercialism,fact,shopping,l.,lawrence
,13,11,10,8,6,6,5,5,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 26, 1997, Wednesday",96 of 247 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"ACCESS TO I-79, AIRPORT HELPS 2 WEST TOWNS GROW; COMMUNITIES THAT ARE CLOSE TO THE CITY BUT KEEP A RURAL ATMOSPHERE ENTICE; YOUNG PEOPLE TO RELOCATE.",,"METRO, Pg. W-1",,2126 words,,,"December 4, 1997",ENGLISH,,,"CHART, CHART: U.S. Census Bureau: (Where the people are in PG West; communities)",,,,Copyright 1997 P.G. Publishing Co.
,beaver,percent,allegheny,population,community,growth,new,tax,people,loss,county,township,1990,1996,school,lose,road,Allegheny_County,Pittsburgh,go,wave,home,city,area,better,South_Fayette,location,northern,neighbor,gain,interstate,park,move,country,live,official,time,rural,industrial,resident,borough,increase,influx,big,many,build,town,take,washington,McKeesport,Braddock,drive,suburb,12.7,last,business,the,although,have,lot,shift,survey,lower,mill,grow,expressway,2.2,work,Cecil,Marshall,real,estate,accord,estimate,benefit,easy,access,north,south,near,open,commercial,base,secretary,it,factor,offer,minute,good,comment,whole,include,young,relocate,house,set,5.9,elsewhere,census
,54,24,24,19,14,11,10,9,9,8,7,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"April 1, 1997, Tuesday",101 of 247 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),BASEBALL WRAPS ITSELF IN WARMTH OF NEW SEASON,"BEN WALKER, THE ASSOCIATED PRESS","SPORTS, Pg. C-5",,749 words,,,"April 1, 1997",ENGLISH,,,,,,,Copyright 1997 P.G. Publishing Co.
,game,home,last,today,season,open,schedule,team,baseball,top,play,start,Baltimore,change,pitch,spring,club,it,best,new,manager,player,West_Coast,face,cy,young,winner,show,world,series,champion,record,training,begin,memory,make,use,every,opener,early,cold,weather,league,no,draw,lot,april,try,addition,win,expect,point,view,among,suspension,impose,umpire,Toronto,Blue_Jays,East_Coast,St._Louis,Montreal,Cleveland,Alomar,time,step,batter,box,biggest,obvious,stand,circle,uniform,next,night,newcomer,feature,include,interleague,matchup,june,50th,anniversary,break,color,barrier,dedicated,special,commemorative,ball,mark,occasion,another,snowout,freezing,temperature,adjust,attempt,beat
,6,6,6,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 27, 1997, Thursday",108 of 247 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),SCIENTISTS DESCRIBE ASTEROID'S BIG SPLASH; 'COSMIC BOMB' HIT SEA OFF ANTARCTICA IN THE FIRST KNOWN IMPACT WITH WATER,"PETER JAMES SPIELMAN, THE ASSOCIATED PRESS","SCIENCE, TECHNOLOGY & MEDICINE, Pg. A-3",,659 words,"SYDNEY, Australia",,"December 2, 1997",ENGLISH,,,,,,,Copyright 1997 P.G. Publishing Co.
