PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"June 1, 2007 Friday",4 of 461 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),BUSH URGES CLIMATE CHANGE PACT; CALLS ON NATIONS TO JOIN U.S. IN SETTING GOALS FOR CUTTING EMISSIONS,"SHERYL GAY STOLBERG, THE NEW YORK TIMES",NATIONAL; Pg. A-1,,785 words,WASHINGTON,,"June 1, 2007",ENGLISH,,,INFORMATIONAL GRAPHIC: Energy Information Administration; AP: (U.S. emits one-fifth of carbon dioxide) INFORMATIONAL GRAPHIC: Energy Information Administration; AP: (Increased emissions for Asian countries),,,Newspaper,Copyright 2007 P.G. Publishing Co.
,change,emission,climate,goal,president,gas,United_States,Mr._Bush,greenhouse,next,global,cut,take,country,time,set,nation,warming,speech,bush,environmental,talk,work,bind,long_term,international,propose,join,agreement,biggest,target,major,shift,economic,limit,deliver,face,scientific,continue,control,understanding,mr.,leader,group,week,issue,leave,office,2009,policy,contribute,example,second,include,national,together,technology,message,Bush,China,India,Washington,Germany,European,fend,accusation,ignore,call,industrial,negotiation,aim,reach,end,carry,world,source,scientist,planet,committed,specific,resist,absolute,part,reason,steadfastly,reject,kyoto,protocol,grounds,polluter,bound,accord,way,proposal,reflect,difficulty,administration,grappling,consensus
,fishery,water,global,warming,protect,stream,trout,public,tu,area,help,thing,chapter,Trout_Unlimited,cold,group,statement,new,change,cause,impact,expand,fish,whole,provide,call,physical,Climate,Gillespie,TU,focus,week,release,position,use,study,data,forest,service,d.c.,base,lobbying,predict,climate,widespread,loss,salmon,much,percent,region,next,unless,private,sector,partner,habitat,increase,mean,july,air,temperature,dramatic,scientist,warn,list,endangered,species,huge,decline,common,variety,add,additional,stress,already,heavily,human,term,landscape,quality,challenge,build,resilience,riparian,tree,plant,erosion,sedimentation,control,dam,removal,restoration,flood,plain,need,still,good,shape,look
,5,4,4,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 27, 2007 Thursday",129 of 461 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),BUSH AT THE U.N.; REHASHED THEMES DON'T HELP AMERICA OR THE WORLD,,EDITORIAL; Pg. B-6,,549 words,,,"September 27, 2007",ENGLISH,,,,,,Newspaper,Copyright 2007 P.G. Publishing Co.
,president,general,Mr._Bush,speech,assembly,mo,bush,theme,instead,make,world,address,much,nuclear,declaration,U.N.,tuesday,central,global,climate,change,enemy,democracy,nation,schedule,summit,monday,attend,subject,attention,rest,relation,issue,continue,country,home,reference,statement,health,deliver,New_York,Washington,American,Iranian,Iran,U.S.,Myanmar,ignore,session,tired,rehash,usual,place,hypocritical,identify,six,cap,claim,path,freedom,ban,try,clearly,perceive,current,challenge,62nd,advance,head,state,although,go,private,banquet,evening,unhelpfully,rival,industrialize,week,new,frequently,attract,lot,signal,foreign,policy,intention,time,potentially,remain,term,office,already,steal,public,thunder,explosive,potential,interest
,6,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 23, 2007 Tuesday",131 of 461 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),CARBON DIOXIDE RATE IN AIR RISING FASTER THAN EXPECTED,"RANDOLPH E. SCHMID, THE ASSOCIATED PRESS",HEALTH SCIENCE MEDICINE AND TECHNOLOGY; Pg. A-5,,360 words,WASHINGTON,,"October 23, 2007",ENGLISH,,,,,,Newspaper,Copyright 2007 P.G. Publishing Co.
,dr.,dioxide,increase,carbon,atmosphere,growth,researcher,canadell,gas,ocean,ability,CO2,global,warming,faster,expect,higher,much,rate,lead,report,absorb,cause,take,director,research,change,climate,reduction,Carbon,prize,award,work,new,study,find,emission,percent,2006,1990,anticipate,g.,commonwealth,scientific,today,edition,proceedings,science,industrial,use,fossil,fuel,couple,decline,land,list,addition,population,wealth,know,significant,contribution,atmospheric,arise,slowdown,nature,chemical,air,organization,characterize,cycle,generating,force,analysis,section,paper,raise,important,issue,public,aware,namely,concentration,previously,spite,protocol,design,hold,country,associate,add,really,shocking,oceanic,sink,mean,remove,blame,wind
,5,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 12, 2007 Sunday",183 of 461 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),ALGERIA AIMS TO TAP DESERT SUN FOR EXPORTABLE ENERGY,"AIDAN LEWIS, THE ASSOCIATED PRESS",WORLD; Pg. A-4,,712 words,"ALGIERS, Algeria",,"August 14, 2007",ENGLISH,,,,,,Newspaper,Copyright 2007 P.G. Publishing Co.
,solar,power,energy,plant,gas,Algeria,hybrid,consumption,renewable,country,oil,sunshine,r'mel,use,megawatt,thermal,export,potential,world,technology,Europe,Hassi,stretch,desert,sun,generate,green,work,last,natural,million,project,turbine,2020,electricity,four,time,become,undersea,cable,plan,construction,change,idea,produce,source,big,new,land,research,center,price,sunlight,Algiers,Algerian,Spain,oil_producing,large_scale,vision,long,entice,planner,panel,vast,swath,soaking,clean,aware,rich,run,dry,gear,tap,industrial,scale,begin,late,260,mile,south,capital,150,giant,parabolic,mirror,nearly,square,foot,roughly,football,field,expert,kind,combine,steam,input,ready,2010,goal
,12,12,9,9,7,7,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 15, 2007 Saturday",184 of 461 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),MOVEON BECOMING A DEMOCRATIC FORCE,"MICHAEL LUO AND JEFF ZELENY, THE NEW YORK TIMES",NATIONAL; Pg. A-6,,467 words,,,"September 20, 2007",ENGLISH,,,,,,Newspaper,Copyright 2007 P.G. Publishing Co.
,Iraq,group,MoveOn,democrat,member,presidential,leader,together,Democratic,million,powerful,party,hold,candidate,advertisement,gen,petraeus,top,time,strategy,war,take,effort,force,send,sen,climate,change,Democratic_Party,Congress,Clinton,mistake,influence,moveon.org,3.2,apparatus,within,liberal,activist,occupy,prominent,seat,table,among,elite,much,republican,leap,chance,responsible,position,run,attack,credibility,david,h.,commander,raise,ten,dollar,inception,1998,clearly,enjoy,friendly,relation,official,meet,several,discuss,policy,end,representative,part,coalition,antiwar,umbrella,americans,daily,conference,call,leadership,staff,coordinate,despite,conservative,lump,organization,individual,responsibility,wordplay,general,betray,we,relationship,often,complicated,show,visible
,7,6,6,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 25, 2007 Tuesday",185 of 461 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),OUR FUEL FUTURE,RICHARD NOCETI Whitehall,EDITORIAL; LETTERS TO THE EDITOR; Pg. B-6,,275 words,,,"September 25, 2007",ENGLISH,,,,,,Newspaper,Copyright 2007 P.G. Publishing Co.
,fuel,diesel,vehicle,letter,design,production,solution,oil,hybrid,environmentally,higher,price,toward,Coal_based,concern,sept,voice,properly,plant,emit,petroleum,liquid,never,tout,climate,change,partial,dependence,import,efficiency,include,various,new,certainly,help,cause,respect,transportation,may,soon,benefit,replacement,heavy,battery,pack,ultracapacitor,newly,run,cleanly,gasoline,engines,especially,none,injector,clatter,smoke,cloud,ancestor,friendly,traditional,sulfur,aromatic,content,clean,probably,use,initially,blend,provide,much,better,cleaner,phrase,harmful,emission,mean,many,reader,merely,carbon,dioxide,encouragement,writer,call,form,drive,consumer,efficient,inevitable,peak,next,decade,world,demand,increase,policy,implement,move,nation
,7,4,3,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 29, 2007 Friday",197 of 461 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),RULING MARKS SIGNIFICANT SHIFT TO THE RIGHT,"CHARLES LANE, THE WASHINGTON POST",NATIONAL; ANALYSIS; Pg. A-12,,948 words,WASHINGTON,,"June 29, 2007",ENGLISH,,,,,,Newspaper,Copyright 2007 P.G. Publishing Co.
,justice,court,case,law,conservative,term,opinion,liberal,decision,chief,dissent,Kennedy,Justice_Breyer,right,change,rule,time,read,school,legal,direction,swing,write,robert,judicial,much,precedent,Chief_Justice_Roberts,policy,move,analyst,federal,ban,abortion,along,leave,past,particularly,constitutional,show,may,voter,suggest,rather,shift,kind,seem,split,occasionally,ruling,overruling,view,accusation,take,turn,dismay,appeal,majority,result,stare,decisis,often,respond,exist,Supreme_Court,Roberts,Justice_Kennedy,Breyer,overturning,desegregation,city,culminate,fractious,new,significantly,series,upheld,procedure,gut,key,provision,campaign,finance,open,possibility,area,seemingly,definitively,within,decade,everything,reasonably,hope,lawyer,specialize,litigation,table,set,wholesale
,19,14,10,8,8,7,7,7,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 8, 2007 Sunday",198 of 461 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),CAMBRIA NATIVE MAKES 'GREEN TEAM',The Associated Press,LOCAL; Pg. B-4,,470 words,"ALTOONA, Pa.",,"July 9, 2007",ENGLISH,,,,,,Newspaper,Copyright 2007 P.G. Publishing Co.
,owen,energy,mr.,college,people,global,region,work,state,clean,Cambria_County,Vanity_Fair,Mr._Owens,graduate,fight,warming,take,mountain,magazine,stream,environmentalist,green,issue,put,student,recent,campuse,include,partly,group,something,realize,effort,mandate,old,page,native,tom,develop,love,nature,exploring,forest,dozen,activist,feature,spread,mostly,grad,energize,high,school,list,citizen,hey,make,change,next,politician,actor,hardly,believe,happen,2002,live,va.,fund,climate,coordinator,charge,energeze,mobilize,press,source,serve,paradigm,rest,society,try,create,movement,youth,need,center,draw,grow,time,spend,trail,road,push,different,reason,recognize,beauty,scar,industry,particularly,king
,6,6,5,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 1, 2007 Wednesday",199 of 461 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),HAWKINS LEAGUE UNDERGOES CHANGES,"TYLER BATISTE, PITTSBURGH POST-GAZETTE",SPORTS; Pg. D-2,,862 words,,,"August 2, 2007",ENGLISH,,,,,,Newspaper,Copyright 2007 P.G. Publishing Co.
,league,player,division,play,summer,Connie_Hawkins_League,game,know,still,time,former,back,move,Neal,change,cause,director,hold,championship,last,coach,make,have,Monroeville,Pro_Am,Hawkins_League,today,feature,current,participate,basketball,2006,certification,believe,kind,area,couple,graduate,everybody,lose,quality,ball,number,suspension,outdoor,indoor,inside,court,fan,social,environment,atmosphere,competition,pittsburgh,support,bring,people,NCAA,D_I,Pitt,West_Virginia,DeGroat,Coleman,one_year,transition,adjustment,organizer,major,impose,history,p.m.,certify,season,accord,jr.,found,must,letter,permission,athletic,allow,consent,result,loss,problem,occur,friend,member,buddy,apparently,thing,happen,timing,incident,worse,start,several,favor,other
,23,17,9,9,6,6,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
