PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"April 18, 2013 Thursday",1 of 438 DOCUMENTS,Pittsburgh Post-Gazette,GLOBAL WARMING IS NO HOAX,MELANIE FITZPATRICK,EDITORIAL; Pg. A-8,,586 words,,,"April 19, 2013",ENGLISH,,,,,,Newspaper,Copyright 2013 P.G. Publishing Co.
,change,climate,make,warming,scientist,ask,question,find,global,emission,lead,science,rise,heat,past,ocean,warm,Pittsburgh,hoax,know,burn,coal,around,institution,way,answer,summer,reduce,continue,current,shift,public,especially,season,important,stress,we,already,people,deal,thing,sea,level,mo,kelly,talk,state,Pennsylvania,Western_Pennsylvania,recently,april,hearing,someone,gravity,course,carbon,dioxide,gas,destroy,tropical,forest,dramatic,rainfall,pattern,world,national,academy,equivalent,dozen,country,agree,disrupt,life,better,mean,2008,conduct,scientific,review,help,end,century,climb,rate,degree,strain,health,urban,area,disruption,grow,crop,sweet,corn,apple,increase,dairy,cattle,decline
"November 17, 2013 Sunday",19 of 438 DOCUMENTS,Pittsburgh Post-Gazette,WHERE THE END REALLY IS NIGH; CLIMATE CHANGE IS SWALLOWING THE ISLANDS OF THE SOUTH PACIFIC,J. Maarten Troost,EDITORIAL; Pg. B-1,,728 words,,,"November 19, 2013",ENGLISH,,,,,,Newspaper,Copyright 2013 P.G. Publishing Co.
,change,Kiribati,rise,sea,tide,climate,island,level,live,home,world,United_States,make,future,we,go,nation,atoll,beginning,notice,new,inundate,response,build,wall,hope,ocean,think,"1,000",islander,crest,foot,long,ago,look,remain,grow,village,storm,cause,people,food,wave,way,reach,report,expect,percent,planet,city,New_Zealand,recently,curious,case,appear,plaintiff,resident,seek,refugee,status,reasoning,uninhabitable,back,mr.,teitiota,argue,use,remote,equatorial,scatter,area,nearly,large,continental,late,1990,elder,strange,phenomenon,spring,king,sometimes,call,breach,typical,mark,beach,flooding,pig,pen,stream,causeway,link,islet,"100,000",inhabitant,resided,many,family
,8,8,6,6,6,5,5,4,4,4,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 10, 2013 Thursday",26 of 438 DOCUMENTS,Pittsburgh Post-Gazette,STUDY: TEMPERATURES SOAR OFF THE CHARTS AROUND 2047,"SETH BORENSTEIN, ASSOCIATED PRESS",WORLD; Pg. A-4,,774 words,,,"October 11, 2013",ENGLISH,,,,,,Newspaper,Copyright 2013 P.G. Publishing Co.
,study,climate,new,world,city,2047,date,hotter,tropic,record,scientist,Mr._Mora,follow,whole,around,never,every,hottest,region,change,mora,gas,threshold,start,decade,probably,hot,place,2043,eventually,ecosystem,environment,computer,model,data,calculate,point,past,colleague,look,late,mo,species,increase,emission,accord,dramatic,temperature,regime,last,research,polar,much,find,already,Kingston,Jamaica,Mexico_City,Phoenix,Honolulu,co_author,Earth,permanently,soon,singapore,2028,2031,cairo,2036,global,warming,pinpoint,probable,regularly,experience,dozen,mostly,generation,less,away,paper,innovative,sobering,professor,former,head,involved,arrive,projection,researcher,use,weather,observation,warmer,ever,150,example,2005,publish
,10,10,9,7,7,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 24, 2013 Sunday",39 of 438 DOCUMENTS,Pittsburgh Post-Gazette,DEALS AT CLIMATE MEETING ADVANCE GLOBAL SOLUTION,"David Jolly, The New York Times","HEALTH, SCIENCE, MEDICINE AND TECHNOLOGY; Pg. A-2",,687 words,,,"November 26, 2013",ENGLISH,,,,,,Newspaper,Copyright 2013 P.G. Publishing Co.
,climate,nation,saturday,United_States,deal,emission,new,treaty,agreement,develop,action,talk,end,agree,cut,conference,world,meeting,time,leader,change,show,grow,lead,U.N.,China,week,hope,global,rise,delegate,propose,give,mechanism,storm,effect,measure,member,2015,ago,delegation,help,loss,damage,financial,party,enough,eventually,call,summit,concerted,progress,full,language,commitment,remain,Paris,Philippine,European_Union,Mr._Stern,pair,keep,alive,effort,ward,ruinous,temperature,broad,outline,system,pledge,support,tackle,human,cost,seas,flood,stronger,expect,warming,add,momentum,look,toward,replace,moribund,kyoto,protocol,think,need,move,ball,forward,director,energy,program,resource,institute,can
,8,6,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 28, 2013 Sunday",58 of 438 DOCUMENTS,Pittsburgh Post-Gazette,KEYSTONE XL FOES SAY 1 MILLION COMMENTS SHOW POWER OF GRASSROOTS,"Jim Snyder, Bloomberg News",NATIONAL; Pg. A-6,,1066 words,,,"April 30, 2013",ENGLISH,,,"PHOTO: Justin Sullivan/Getty Images: Demonstrators hold signs as they protest near the site of a fundraiser in San Francisco, California.",,,Newspaper,Copyright 2013 P.G. Publishing Co.
,comment,State_Department,pipeline,oil,group,environmental,issue,analysis,keystone,project,state,risk,submit,review,draft,energy,350.org,department,reject,mr.,sand,U.S.,Keystone,president,security,email,people,oppose,americans,interest,build,include,Alberta,White_House,million,carry,show,opposition,across,contribute,water,post,sign,give,job,need,act,plan,make,rally,effect,public,receive,legislator,still,vote,march,impact,find,climate,change,dispute,greenhouse,gas,conventional,last,week,refinery,final,percent,approve,thousand,send,official,agency,border,decision,every,stop,cross,route,Sierra_Club,climate_change,Environmental_Protection_Agency,American,Mr._Obama,Nebraska,Sand_Hills,xl,critic,amass,call,grassroot,5.3,billion,six,dramatically,global,warming
,11,10,9,8,8,7,7,6,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1
"November 21, 2013 Thursday",68 of 438 DOCUMENTS,Pittsburgh Post-Gazette,"RICH, POOR COUNTRIES SPAR OVER CLIMATE COSTS; DEVELOPING NATIONS STAGE WALKOUT IN PROTEST AT TALKS","David Jolly, The New York Times",WORLD; Pg. A-4,,502 words,,,"November 22, 2013",ENGLISH,,,,,,Newspaper,Copyright 2013 P.G. Publishing Co.
,talk,climate,develop,nation,country,new,last,Warsaw,disaster,loss,damage,issue,global,group,mechanism,go,agree,scientist,rich,poor,walkout,early,wednesday,consider,support,cost,storm,whether,warming,sign,lose,end,diplomat,delegate,later,bogging,old,divide,question,pay,strike,stage,symbolic,protest,inadequate,financial,wealthy,catchphrase,shorthand,fight,financing,rise,seas,powerful,persistent,dring,u.n,modify,require,bear,exacerbate,threaten,torpedo,mean,prepare,agreement,2015,someone,livelihood,time,five,cow,reason,related,change,international,coordinator,advocacy,system,place,help,woman,refusal,seriously,creation,prompt,know,walk,send,strong,message,can,home,without,fear,foot,bill,potentially,unlimited
,8,6,6,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 13, 2013 Saturday",86 of 438 DOCUMENTS,Pittsburgh Post-Gazette,WE SHOULD PAY MORE ATTENTION TO FIRMS ON RISE,ANN DUGAN,BUSINESS; BUSINESS FORUM; Pg. A-7,,596 words,,,"April 16, 2013",ENGLISH,,,,,,Newspaper,Copyright 2013 P.G. Publishing Co.
,job,company,business,create,change,growth,higro,region,new,likely,look,grow,firm,fact,percent,study,tend,market,opportunity,entrepreneur,recently,economic,news,recent,february,rate,past,manage,commonwealth,teach,organization,twice,code,meet,thing,learn,Pittsburgh,Pennsylvania,Western_Pennsylvania,have,several,local,pundit,wring,hand,media,report,show,2012,2013,slowest,largest,metropolitan,across,country,typically,convey,dismal,mere,"2,100",net,prescription,improve,climate,area,instead,wrong,maybe,right,generating,minority,still,plenty,around,nonetheless,small,proportion,responsible,overwhelming,number,top,term,195,accord,remain,pennsylvania,actually,lose,group,label,experience,spurt,five,way,find,county,differ,remainder,association
,11,11,9,8,8,6,6,5,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 24, 2013 Sunday",87 of 438 DOCUMENTS,Pittsburgh Post-Gazette,THE RISE OF THE NUCLEAR GREENS; MORE AND MORE ENVIRONMENTALISTS ARE BECOMING ADVOCATES OF NUCLEAR POWER,ROBERT BRYCE,EDITORIAL; Pg. B-1,,1069 words,,,"March 28, 2013",ENGLISH,,,DRAWING: By Daniel Marsula/Post-Gazette,,,Newspaper,Copyright 2013 P.G. Publishing Co.
,nuclear,new,energy,natural,gas,environmentalist,power,global,reactor,pronuclear,coal,per,cost,project,change,group,million,build,Fukushima,2011,activist,climate,impact,decade,antinuclear,electricity,market,btu,megawatt,British,coal_fired,disaster,plant,world,lead,prominent,reason,call,use,solar,wind,time,small,well,include,emission,major,help,sector,remain,whether,grow,clear,significant,abundant,electric,utility,price,relatively,expensive,import,liquefy,nearly,capacity,consumption,amount,oil,increase,much,provide,design,Japan,nuclear_energy,American,Greens,Sierra_Club,Greenpeace,shale_gas,Asia,Europe,China,theory,march,bolster,opposition,wake,worst,accident,green,do,opposite,favor,perhaps,convert,journalist,cite,heart,column,spectacular
,18,10,8,8,8,7,7,7,7,6,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 25, 2013 Sunday",92 of 438 DOCUMENTS,Pittsburgh Post-Gazette,CLIMATE CRISIS,"WILLIAM S. DUNDAS, Jefferson Hills",EDITORIAL; ISSUE ONE; Pg. F-3,,194 words,,,"August 28, 2013",ENGLISH,,,,,,Newspaper,Copyright 2013 P.G. Publishing Co.
,climate,human,global,change,world,issue,editorial,activity,alter,climatic,might,ocean,effect,Post_Gazette,many,thanks,highlight,aug.,crucial,pittsburgher,people,around,understand,radically,condition,nurture,development,warming,carry,innocuous,connotation,unprecedented,increase,atmospheric,temperature,recent,decade,drastically,planet,natural,process,drive,toward,state,million,prior,dawn,sapien,rise,sea,level,acidification,increasingly,capricious,weather,pattern,create,hostile,prosperity,survival,worst,occur,within,lifetimes,hardly,represent,excuse,ignore,lead,scientist,dub,planetary,emergency,suggest,timely,must,pay,attention,begin,act,immediately,human_caused,ice_free,Homo,long_term
,4,4,3,3,3,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 1, 2013 Tuesday",126 of 438 DOCUMENTS,Pittsburgh Post-Gazette,MULTIPLE PROBLEMS THREATENING LAKE ERIE,Associated Press,NATIONAL; Pg. B-4,,475 words,,,"January 3, 2013",ENGLISH,,,,,,Newspaper,Copyright 2013 P.G. Publishing Co.
,lake,Lake_Erie,invasive,map,alga,mussel,researcher,problem,threaten,accord,threat,help,show,sea,zebra,quagga,water,ice,Lake_Ontario,toxic,species,fish,new,report,project,great,climate,change,pollution,area,grant,widespread,lamprey,director,level,Ohio,erie,become,result,plant,conclude,five,behind,assessment,spend,three,collect,data,stressor,include,monday,peter,mcintyre,center,hope,highlight,biggest,official,award,hundred,million,dollar,clean,protect,worst,status,attract,money,mostly,federal,mercury,stem,advocate,expert,argue,hard,imagine,trouble,advocacy,group,2011,track,bloom,satellite,photo,produce,nerve,toxin,sicken,human,kill,pet,animal,stretch,rain,wash,manure,fertilizer,sewage
,8,8,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 21, 2013 Monday",129 of 438 DOCUMENTS,Pittsburgh Post-Gazette,INAUGURATION PREVIEWS AN AMBITIOUS SECOND TERM OBAMA PREVIEWS AMBITIOUS SECOND TERM,"Julie Pace, Associated Press",NATIONAL; Pg. A-1,,540 words,,,"January 22, 2013",ENGLISH,,,"PHOTO: Evan Fucci/Associated Press President Barack Obama receives the oath of office from Chief Justice John Roberts as first lady Michelle Obama and their daughters Malia and Sasha listen today at the ceremonial swearing-in at the U.S. Capitol during the 57th Presidential Inauguration in Washington.\ \ \ PHOTO: Larry Roberts/The Pittsburgh Press: Jacqueline Chalifoux, 8, of Wexford, left, and Chloe Rodrigues of Lawrenceville, right, turn and watch the crowd today at a broadcast of the ceremonial inauguration of President Barack Obama in the theater at the Children's Museum. \",,,Newspaper,Copyright 2013 P.G. Publishing Co.
,president,second,term,nation,today,brief,obama,inaugural,stonewall,people,Mr._Obama,declare,oath,office,crowd,prosperity,barely,mr.,address,class,presidential,campaign,catapult,consume,several,climate,change,we,seek,look,find,public,moment,mo,riot,black,guide,White_House,gay_rights,journey,complete,take,hundred,thousand,urging,set,unwaver,course,toward,freedom,citizen,protect,social,safety,net,shelter,poor,elderly,needy,country,succeed,shrink,well,grow,many,make,relatively,believe,must,rest,upon,broad,shoulder,rise,middle,add,echoing,call,decade,war,end,economic,recession,much,preview,ambitious,agenda,devote,sentence,threat,global,failure,confront,betray,child,future,generation,focus,notable
,6,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 19, 2013 Monday",137 of 438 DOCUMENTS,Pittsburgh Post-Gazette,SECTION: NATIONAL; NATION; Pg. A-3,,,,648 words,,,"August 20, 2013",ENGLISH,,,,,,Newspaper,Copyright 2013 P.G. Publishing Co.
,judge,prosecutor,evidence,maj,hasan,kill,today,plea,address,report,task,force,rebuild,area,issue,community,motive,trial,attack,eat,heart,former,student,tell,criminally,responsible,death,agree,help,rise,strategy,focus,plan,future,climate,change,coastal,money,call,creation,tool,standard,group,include,engineer,around,way,fort,hood,several,witness,explain,2009,military,reference,soldier,col,osborn,time,Agyei_Kodie,Texas,Akbar,admit,md,college,authority,man,part,brain,pleaded,guilty,enter,murder,last,speak,softly,respond,question,medication,take,decline,opportunity,court,concern,accept,determination,psychiatrist,defense,prosecution,hold,express,condolence,family,friend,seas,presidential,charge,develop,damage
,7,5,5,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 29, 2013 Sunday",139 of 438 DOCUMENTS,Pittsburgh Post-Gazette,FAILING ON ENERGY,"TIMOTHY KELLY , Aleppo",EDITORIAL; LETTERS TO THE EDITOR; Pg. B-2,,309 words,,,"October 1, 2013",ENGLISH,,,,,,Newspaper,Copyright 2013 P.G. Publishing Co.
,change,ocean,CO2,murphy,coal,acidification,fossil,fuel,accept,piece,climate,effect,marine,faster,time,help,far,storage,carbon,administration,cost,move,mo,we,lesser_known,rep.,tim,deftly,sidestep,elephant,room,pennsylvania,country,sept,grave,error,judgment,document,scientific,community,recently,publish,extensive,threat,title,sea,explain,fully,deleterious,ecosystem,irrefutable,witness,across,planet,article,chemistry,human,history,phenomenon,know,twin,push,seas,toward,great,unravel,threaten,scramble,life,scale,almost,big,fathom,expect,capture,hold,conservative,savior,industry,late,expensive,point,already,debt,delay,aggressive,action,longer,thus,social,calculation,raise,ghost,good,idea,originally,support,curve,solar
,5,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 13, 2013 Wednesday",161 of 438 DOCUMENTS,Pittsburgh Post-Gazette,OBAMA PROPOSALS FACE QUICK OPPOSITION IN CONGRESS,"Erica Werner, Associated Press",NATIONAL; Pg. A-3,,567 words,WASHINGTON,,"February 14, 2013",ENGLISH,,,,,,Newspaper,Copyright 2013 P.G. Publishing Co.
,go,Mr._Obama,government,republican,new,tax,president,climate,address,mr.,party,set,gun,immigration,change,campaign,mode,offer,gimmick,hike,program,boost,make,control,hold,declare,help,way,opportunity,today,last,liberal,stand,ryan,remark,cut,trip,voter,directly,issue,create,McConnell,Congress,clash,state,showcase,determination,mark,legacy,urge,center,loom,confrontation,fight,role,push,raft,initiative,improve,preschool,voting,manufacturing,research,development,raise,minimum,wage,lower,energy,use,unfinished,task,sure,work,behalf,many,enough,vote,stall,legislation,quick,best,bring,together,country,instead,become,another,retread,lip,service,liberalism,leader,mitch,chamber,floor,little,night,speech
,7,7,6,5,5,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 23, 2013 Sunday",165 of 438 DOCUMENTS,Pittsburgh Post-Gazette,NO VOICE EXPERTS IN MURDER TRIAL,Compiled from news services,NATIONAL; NATIONAL BRIEFS; Pg. A-6,,431 words,,,"June 24, 2013",ENGLISH,,,,,,Newspaper,Copyright 2013 P.G. Publishing Co.
,plan,judge,saturday,use,expert,girl,rule,prosecutor,state,audio,voice,hear,science,awake,transplant,spokeswoman,family,underwent,organ,simon,friday,donor,optimistic,climate,executive,action,wildfire,town,fire,people,Sarah,South_Fork,fla,major,victory,murder,suspect,may,scream,help,911,call,debra,s.,three,testimony,fail,meet,legal,standard,support,analysis,widely,accept,time,establish,method,rely,defense,witness,impossible,conclude,whose,however,juror,expect,still,play,pennsylvania,national,debate,process,awaken,coma,tracy,respond,question,nodding,indicate,yes,earlier,move,breathing,machine,traditional,ventilator,operation,intervened,give,chance,list,adult,child,ms,progress,president,announce,tuesday,curb
,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 24, 2013 Monday",168 of 438 DOCUMENTS,Pittsburgh Post-Gazette,"CITY SCHOOLS CONSIDER CHANGES TO PROGRAMS, SCHOOL CONFIGURATIONS","Eleanor Chute, Pittsburgh Post-Gazette",LOCAL; Pg. B-4,,1369 words,,,"June 25, 2013",ENGLISH,,,,,,Newspaper,Copyright 2013 P.G. Publishing Co.
,school,make,district,option,community,program,cost,building,choice,ms,student,grade,Lane,million,board,move,member,Pittsburgh,Board,envisioning,open,configuration,plan,include,know,child,change,new,report,high,way,consider,think,survey,neighborhood,better,CAPA,process,whether,budget,develop,use,help,quality,course,closing,suggest,spend,another,expand,do,much,work,note,sense,many,live,percent,attend,assign,average,middle,close,Garfield,future,system,try,everything,table,granite,counter,refrigerator,figure,fit,strategic,effort,money,improve,problem,involve,specific,yet,fall,base,opinion,seat,available,campuse,capa,art,online,downtown,2009,interview,time,look,financial,city,feeder
