PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"November 11, 2000, Saturday",1 of 302 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),NATIONS DISCUSS PROPOSALS ON KYOTO GREENHOUSE TREATY,"H. JOSEF HEBERT, THE ASSOCIATED PRESS","NATIONAL, Pg. A-10",,969 words,WASHINGTON --,,"November 12, 2000",ENGLISH,,,,,,,Copyright 2000 P.G. Publishing Co.
,treaty,U.S.,country,emission,reduction,greenhouse,target,carbon,kyoto,make,cut,credit,Kyoto,climate,may,gas,meet,week,percent,achieve,trading,land,administration,world,change,view,oppose,industrial,1990,economic,insist,proposal,*,pollution,already,use,half,environmental,negotiator,cost_effective,critical,cost,craft,discussion,next,become,nation,state,head,interview,take,additional,president,shift,accord,opposition,negotiate,fossil,fuel,level,many,require,energy,include,power,plant,buy,forest,agricultural,management,official,way,loophole,without,domestic,virtually,ton,european,strongly,deal,seek,go,free,Bush,heat_trapping,United_States,prepare,probably,contentious,global,warming,talk,warning,agree,three,ago,fall,apart,reduce
"June 12, 2000, Monday",58 of 302 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"HIGH AND LOW SOLAR-ENERGY PHASES AFFECTED WORLD CLIMATE, HISTORY","JOHN G. RADZILOWICZ, DIRECTOR, HENRY BUHL, JR. PLANETARIUM; & OBSERVATORY","LIFESTYLE, Pg. D-8, LET'S TALK ABOUT:",,260 words,,,"June 13, 2000",ENGLISH,,,,,,,Copyright 2000 P.G. Publishing Co.
,sunspot,weather,begin,activity,solar,change,Greenland_Colony,Greenland,correspond,storm,sun,consequence,great,success,around,cold,destroy,know,period,low,temperature,drop,rage,surface,peak,every,increase,energy,major,earth,big,well,evidence,course,history,best,example,story,settler,985,greet,unusually,warm,lush,land,colony,1300,"3,000",people,call,home,1325,turn,rapidly,harvest,fail,northern,glacier,move,south,ice,sea,make,travel,impossible,1400,thrive,settlement,happen,dramatic,part,become,span,nearly,400,extremely,impact,feel,world,related,right,heel,extend,time,match,closely,experience,wonderful,seem,cycle,largely,responsible,ultimate,failure,Iceland,Little_Ice_Age,Earth,Medieval_Maximum
,5,5,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 3, 2000, Monday",63 of 302 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),NO HEADLINE,FROM LOCAL AND WIRE REPORTS,"SCIENCE, TECHNOLOGY AND MEDICINE, Pg. A-8, SCIENCE NOTEBOOK",,591 words,,,"July 6, 2000",ENGLISH,,,,,,,Copyright 2000 P.G. Publishing Co.
,rock,researcher,scientist,mountain,may,sea,level,destroy,pollutant,bacterium,use,issue,rise,inch,drop,asteroid,Mediterranean,identify,site,find,report,journal,liquid,layer,geologist,form,place,discover,pattern,strain,fringe,sink,measure,station,global,continue,chemistry,astronomer,teach,astronomy,mile,University,Kohman,industrial,microbe,might,useful,waste,tetrachloroethylene,call,perchloroethylene,widely,dry,clean,remove,grease,metal,stutzeri,sludge,wastwater,treatment,plant,july,besides,show,chemical,enzyme,job,examine,elegant,undulation,expose,hillside,piece,together,story,range,timing,strength,force,involved,remain,mystery,last,week,three,describe,new,approach,challenge,take,microscope,individual,grain,magnifying,lens,microscopic,stress,remarkably
,7,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 9, 2000, Saturday",65 of 302 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),HOLE IN THE OZONE LAYER BIGGER AND EARLIER THIS YEAR,"GEIR MOULSON, THE ASSOCIATED PRESS","SCIENCE, MEDICINE, TECHNOLOGY, Pg. A-2",,441 words,GENEVA --,,"November 23, 2000",ENGLISH,,,,,,,Copyright 2000 P.G. Publishing Co.
,ozone,hole,size,depletion,layer,larger,expert,early,Antarctic,biggest,ever,scientist,earlier,measurement,determine,change,large,atmospheric,million,square,mile,sept,previous,1998,decrease,percent,start,july,perhaps,radiation,cause,chemical,air,trap,vortex,bigger,evidence,compound,use,NASA,U.N.,three,time,weather,grow,usual,vary,make,difficult,environmental,impact,still,catch,fact,real,big,right,kind,surprise,dr.,paul,a.,newman,md,center,detect,beat,record,10.5,world,meteorological,observation,station,report,compare,period,1964,1976,observe,though,level,drop,unprecedented,season,remarkable,find,low,value,september,week,agency,stress,variation,combine,gas,can,certain,mean,rest
,12,6,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 27, 2000, Sunday",76 of 302 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),CHIP OFF THE OLD BLOCK; PURCHASING CHIEF AT TURNER BUILDS DIVERSE WORK FORCE IN CONSTRUCTION,"JIM MCKAY, POST-GAZETTE STAFF WRITER","BUSINESS, Pg. C-5, EXECUTIVE IN THE SPOTLIGHT",,975 words,,,"August 29, 2000",ENGLISH,,,"PHOTO, Photo: Gabor Degre/Post-Gazette: Anne Pernell, purchasing manager; for Turner Construction, stands on French Street, near the David L. Lawrence; Convention Center construction site.",,,,Copyright 2000 P.G. Publishing Co.
,project,manager,Turner,woman,construction,work,Pittsburgh,Pernell,building,superintendent,job,new,purchase,join,office,pernell,make,start,lot,go,1986,big,subcontractor,little,move,senior,minority,opportunity,find,bid,Army,b.,decide,career,industry,field,much,male,family,site,newly,although,time,architectural,engineering,class,scholarship,graduation,1980,man,thing,female,something,prove,engineer,know,answer,contractor,keep,look,guy,hammer,change,general,introduce,trade,rank,management,operation,military,hospital,million,owner,1996,1998,special,division,name,Anne,Turner_Construction,Penn_State,Europe,New_Jersey,Magee_Womens,scarce,han,tooth,phase,overwhelmingly,grow,boy,eight,child,father,let,sibling,tag,along,walk
,12,11,11,10,9,8,7,7,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 4, 2000, Tuesday",89 of 302 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"NOT IN BUSINESS OF POLICING TV, CBS EXEC SAYS","ROB OWEN, POST-GAZETTE TV EDITOR","ARTS & ENTERTAINMENT, Pg. F-1",,1277 words,"PASADENA, Calif.",,"April 4, 2000",ENGLISH,,,,,,,Copyright 2000 P.G. Publishing Co.
,Altieri,pilot,violence,producer,people,go,CBS,department,falcone,scene,show,language,think,change,public,script,audience,drama,time,pick,have,much,air,kind,network,tv,work,issue,episode,series,another,ice,guy,pretty,many,country,way,lot,may,we,take,altieri,keep,god,Johnson,standard,still,practice,cop,use,word,police,reason,offend,significant,obviously,press,conference,review,executive,give,fall,mobster,violent,certainly,ever,stab,know,cut,anything,tool,do,quite,particular,every,cb,join,shot,make,feel,fairly,gratuitous,part,leave,certain,material,risk,point,head,important,require,program,thing,never,occasion,difference,mind,profanity,contrary
,11,9,9,7,7,7,7,6,6,6,5,5,5,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
"January 30, 2000, Sunday",105 of 302 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"SMALL KITCHEN, BIG IDEAS ... WHAT TO DO?","SUZANNE MARTINSON, FOOD EDITOR, POST-GAZETTE","FOOD, Pg. G-13",,2490 words,,,"February 5, 2000",ENGLISH,,,"DRAWING, DRAWING: DANIEL MARSULA/POST-GAZETTE:",,,,Copyright 2000 P.G. Publishing Co.
,kitchen,use,time,cup,thing,counter,place,cupboard,make,spice,house,rule,store,plastic,sink,teaspoon,way,another,have,space,baking,cookie,drawer,flour,cook,small,go,many,room,dish,pan,pantry,add,measure,chop,save,lot,appliance,something,wonderful,big,refrigerator,recipe,sit,ingredient,next,shelf,bean,egg,bowl,board,vegetable,good,can,efficiency,three,perfect,ever,microwave,dishwasher,put,mixer,set,back,still,take,maybe,give,sheet,sugar,large,cut,dry,chicken,without,we,tip,apartment,every,meal,change,fit,eye,family,live,handy,top,dirty,help,vanilla,require,may,knife,medium,present,former,need,nut,paper
,30,17,11,11,10,10,10,10,9,9,8,8,8,8,8,8,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"April 13, 2000, Thursday",109 of 302 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),THE RIGHTS OF BILL; BREAKING UP THE MICROSOFT MONOPOLY MAY DO MORE HARM THAN GOOD,PAUL KRUGMAN,"EDITORIAL, Pg. A-23",,747 words,,,"April 14, 2000",ENGLISH,,,,,,,Copyright 2000 P.G. Publishing Co.
,Microsoft,know,monopoly,position,market,case,people,competition,least,power,dominance,future,price,make,fear,Bill_Gates,lot,bad,potential,dispute,company,damage,drive,eventually,work,well,compete,tournament,mean,better,use,start,happen,window,sure,consumer,bundle,sell,product,go,create,mousetrap,soon,progress,climate,worse,judgment,anti_anti_Microsoft,Amazon,Windows,anyone,outside,seattle,really,we,mildly,worry,crusade,set,dangerous,precedent,let,admit,obvious,amount,operating,system,argue,competitor,always,limited,pricing,anyway,move,wire,wireless,age,rapidly,waste,asset,hard,effort,claim,otherwise,implausibility,per,se,however,sin,tech,sector,contrary,prospect,hope,whole,enterprise,consider,amazon.com,able
,14,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 20, 2000, Tuesday",118 of 302 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),SUNNING?; (DON'T FORGET THE RAY BAN),JENNIFER RIGNANI,"HEALTH, Pg. D-1",,1502 words,,,"June 21, 2000",ENGLISH,,,"PHOTO, PHOTO: John Beale/Post-Gazette: Kristan Bertovich and Harry; Marchewka, both students at Pitt, soak up the sun on Flagstaff Hill in Oakland; last week. The sunglasses are a good idea, and so is sunscreen.",,,,Copyright 2000 P.G. Publishing Co.
,sun,skin,cancer,sunscreen,ray,risk,people,exposure,ultraviolet,mole,protection,tan,may,for,false,cause,develop,percent,protect,area,damage,know,need,young,cell,melanoma,take,cover,hour,recent,danger,use,block,new,factor,history,life,activity,type,basal,carcinoma,usually,appear,bump,time,change,body,increase,wear,always,strongest,stay,shade,swim,way,Pittsburgh,UVA,pittsburgh,worshipper,look,friend,tanning,oil,course,baby,student,sunbathe,cotell,dermatologist,general,significant,sunburn,age,outdoor,find,many,child,americans,often,three,especially,doctor,younger,spend,red,less,form,diagnose,include,surface,certain,raise,radiation,eye,lot,shape,high,every,make
,29,19,18,15,12,9,8,8,8,7,7,6,6,6,6,5,5,5,5,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"October 13, 2000, Friday",127 of 302 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"THINK GLOBALLY, SUFFERING LOCALLY; U.S. STEEL TARGETS WORLDWIDE GROWTH","LEN BOSELOVIC, POST-GAZETTE STAFF WRITER","BUSINESS, Pg. D-1",,1059 words,,,"October 13, 2000",ENGLISH,,,,,,,Copyright 2000 P.G. Publishing Co.
