PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"June 5, 2002 Wednesday",8 of 291 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),BUSH SPURNS REPORT ON CLIMATE CHANGE;  SAYS HE REMAINS OPPOSED TO KYOTO TREATY,"KATHARINE Q. SEELYE, THE NEW YORK TIMES","SCIENCE, MEDICINE, TECHNOLOGY, Pg.A-2",,637 words,WASHINGTON,,"June 8, 2002",ENGLISH,,,,,,,Copyright 2002 P.G. Publishing Co.
,report,Bush,change,conservative,global,president,administration,warming,call,spokesman,climate,environmental,United_States,distance,next,decade,response,put,still,treaty,greenhouse,gas,political,industry,view,uncertainty,science,prediction,go,accept,without,something,approach,United_Nations,Kyoto,Whitman,intense,criticism,conclude,human,blame,effect,environment,draft,review,several,agency,send,friday,substantially,although,rapid,reporter,ask,read,bureaucracy,oppose,ratify,mandatory,reduction,industrial,nation,critic,across,spectrum,try,appear,moderate,environmentalist,signal,promote,contain,emphasize,carry,numerous,caveat,exist,ari,fleischer,obviously,anticipate,question,daily,briefing,considerable,recent,relate,submit,recognize,definitive,potential,outcome,yet,feasible,weakest,link,knowledge,connection,regional
"February 24, 2002 Sunday",36 of 291 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),A WINTER IN NAME ONLY NOT THAT UNUSUAL HERE,"MICHAEL A. FUOCO, POST-GAZETTE STAFF WRITER","LOCAL, Pg.A-1",,1163 words,,,"February 26, 2002",ENGLISH,,,"INFORMATIONAL GRAPHIC: James Hilston, Steve Thomas/Post-Gazette; National Weather Service; Jeff Verszyla; KDKA: (Pittsburgh weather: The ups and downs)",,,,Copyright 2002 P.G. Publishing Co.
,winter,degree,weather,inch,dring,snow,warm,temperature,normal,high,average,record,go,mean,water,Strager,meteorologist,people,february,region,low,fact,december,january,thing,have,state,county,voluntary,last,make,happen,variance,worried,snowfall,another,way,change,season,call,unless,back,near,warmest,ever,rise,dec.,jan,tie,mercury,ice,service,end,run,mild,strager,part,big,effect,next,everything,wide,everyone,extreme,north,cold,three,life,fall,well,cause,we,problem,face,groundwater,level,emergency,warning,watch,mandatory,restriction,stage,percent,reduction,drought_emergency,daily,crap,shoot,whether,el,sol,nip,nose,heck,alone,range,mostly,four,simply
,13,12,10,9,9,8,7,7,7,6,6,6,6,6,6,6,5,5,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 22, 2002 Sunday",40 of 291 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"BUSH HARMING ENVIRONMENT, CRITICS SAY","JOAN LOWY, SCRIPPS HOWARD NEWS SERVICE","NATIONAL, Pg.A-13",,717 words,,,"December 24, 2002",ENGLISH,,,,,,,Copyright 2002 P.G. Publishing Co.
,environmental,Bush,decision,regulation,president,cost,economy,sewage,McClellan,public,industry,need,critic,new,nation,many,treaty,million,overflow,standard,White_House,change,way,federal,law,every,aspect,policy,waterway,oil,try,business,approach,back,fundamental,protection,expense,think,alternative,cite,withdraw,shift,fuel,billion,delay,dozen,take,office,propose,adopt,remain,limbo,sewer,system,support,untreated,water,Clinton,EPA,term,do,define,implement,last,three,decade,leave,mark,virtually,national,range,disposal,mining,waste,whether,age,power,plant,upgrade,equipment,drilling,land,seek,minimize,oversight,favor,style,enforcement,carrot,stick,lessen,official,bring,commonsense,hurt,balancing,economic,gain,steadily
,14,8,7,7,5,5,5,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 28, 2002 Sunday",47 of 291 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),HOT TOPIC;  NFL TRAINING CAMPS OPEN WITH AN EYE ON THE THERMOMETER,"DAVE CAMPBELL, THE ASSOCIATED PRESS","SPORTS, Pg.D-1",,1035 words,,,"August 1, 2002",ENGLISH,,,Photo: David J. Phillip/Associated Press: Houston Texans defensive end Uhuru Hamiter gets cooled off by a trainer last week.,,,,Copyright 2002 P.G. Publishing Co.
,practice,team,player,camp,make,workout,heat,training,coach,last,league,always,death,pad,much,condition,have,game,summer,keep,earlier,go,risk,change,staff,need,100,field,rest,Stringer,redskin,session,degree,tub,ice,locker,drink,concern,trainer,watch,start,move,take,consult,supplement,ephedra,july,big,problem,use,hydrate,sun,medical,doctor,someone,humidity,time,viking,sound,precaution,many,acknowledge,hydration,morning,hour,never,afternoon,schedule,message,sight,lose,point,guy,listen,Minnesota,Korey_Stringer,NFL,heat_related,Pellman,Florida,seek,relief,thermometer,hit,117,linebacker,strip,short,plop,outside,room,hot,complain,despite,try,quench,thirst,sport,fist
,15,11,9,6,6,6,6,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 28, 2002 Sunday",49 of 291 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"BYLINE: DAVE CAMPBELL, THE ASSOCIATED PRESS",,"SPORTS, Pg.D-13",,1035 words,,,"July 29, 2002",ENGLISH,,,,,,,Copyright 2002 P.G. Publishing Co.
,practice,team,player,camp,make,workout,heat,training,coach,last,league,always,death,pad,much,condition,have,game,summer,keep,earlier,go,risk,change,staff,need,100,field,rest,Stringer,redskin,session,degree,tub,ice,locker,drink,concern,trainer,watch,start,move,take,consult,supplement,ephedra,july,big,problem,use,hydrate,sun,medical,doctor,someone,humidity,time,viking,sound,precaution,many,acknowledge,hydration,morning,hour,never,afternoon,schedule,message,sight,lose,point,guy,listen,Minnesota,Korey_Stringer,NFL,heat_related,Pellman,Florida,seek,relief,thermometer,hit,117,linebacker,strip,short,plop,outside,room,hot,complain,despite,try,quench,thirst,sport,fist
,15,11,9,6,6,6,6,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 6, 2002 Tuesday",56 of 291 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),ACCEPTING LIMITS,,"BUSINESS, Pg.E-2 LETTERS",,475 words,,,"August 9, 2002",ENGLISH,,,,,,,Copyright 2002 P.G. Publishing Co.
,limit,system,work,business,accept,natural,change,growth,we,way,create,might,harder,make,great,long,competitive,may,mental,model,help,today,current,disrupt,reorganization,acknowledge,sustainable,practice,enough,result,approach,creatively,factor,usually,strategy,mind,part,easily,history,accomplish,impossible,combine,ingredient,rug,individualism,attitude,capitalism,robust,economic,incredible,creativity,productivity,ironically,unwillingness,undoing,people,sustain,week,thrive,age,death,cycle,escalate,forever,submit,denial,build,context,cheat,show,without,respect,call,infectious,greed,upside,crisis,perspective,theorist,tell,actually,response,disruption,inevitably,reorganize,thing,path,proper,selfishness,realize,really,excess,impact,other,think,better,bigger,consciously,limitation
,9,9,8,5,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 9, 2002 Monday",63 of 291 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),COSTLY CONVERSATION;  A USEFUL BUT EXPENSIVE DEVELOPMENT SUMMIT,,"EDITORIAL, Pg.A-14",,410 words,,,"September 10, 2002",ENGLISH,,,,,,,Copyright 2002 P.G. Publishing Co.
,summit,strike,development,include,environmental,Johannesburg,United_States,U.S.,sustainable,put,conference,third,send,state,president,power,policy,support,failure,proposal,private,country,organization,America,world,hold,past,week,air,several,important,question,economic,best,achieve,without,unnecessarily,deplete,resource,marr,however,tendency,participant,try,burden,solving,problem,start,whiz,toward,plate,though,credible,representative,secretary,prime,minister,administration,signale,2001,go,sign,climate,change,sacred,text,environmentalist,convenient,indictment,form,general,disapproval,passel,position,agenda,current,effort,mobilize,something,nuclear,weapon,capacity,express,emotional,attachment,boo,dare,criticize,inept,actually,forward,constructive,promote,conserve,environment,active,partnership,government,sector
,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 5, 2002 Thursday",69 of 291 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"POWELL GREETED BY JEERS, BOOS AS HE ADDRESSES WORLD SUMMIT","KENNETH R. WEISS, LOS ANGELES TIMES","WORLD, Pg.A-1",,711 words,"JOHANNESBURG, South Africa",,"September 5, 2002",ENGLISH,,,,,,,Copyright 2002 P.G. Publishing Co.
,world,environmental,reduce,global,summit,bring,administration,issue,plan,goal,many,U.N.,program,warming,protest,conference,delegate,official,government,poverty,human,group,target,Powell,Rio,bush,defend,disruption,development,hall,international,gather,leader,hear,ask,speech,foreign,minister,call,environment,sponsor,together,tackle,implementation,focus,energy,relief,attention,set,specific,action,new,commitment,partnership,turn,U.S.,Bush,United_Nations,United_States,interrupt,jeer,boo,chant,shame,secretary,l.,powell,gamely,attempt,help,poor,final,noisiest,inside,commotion,start,activist,spread,rank,frustrated,president,decision,withdraw,treaty,greenhouse,gas,attend,thank,break,prepare,bang,gavel,try,crowd,control,police,hustle,half,dozen
,7,6,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 6, 2002 Sunday",70 of 291 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),WHAT WILL BE NEXT FOR PITTSBURGH?,"DOUGLAS HEUCK , POST-GAZETTE , BUSINESS EDITOR","BUSINESS, Pg.D-1",,447 words,,,"January 10, 2002",ENGLISH,,,,,,,Copyright 2002 P.G. Publishing Co.
,Pittsburgh,region,new,next,measure,quality,result,benchmark,look,page,start,many,county,continue,economy,government,life,among,business,climate,show,three,last,climb,number,leadership,project,improve,New,Expanded_Corporate_Facilities,back,early,1995,formulate,listless,despite,potential,obvious,attribute,tread,water,other,sail,ahead,performance,metro,area,allegheny,chart,strength,weakness,education,art,environment,medical,transportation,general,bright,spot,best,stark,dominate,fact,economically,vy,bottom,future,bleak,leave,unchanged,clearest,portentous,gauge,lack,confidence,decision,maker,outside,loud,clear,rank,message,build,factory,corporate,office,final,important,2001,section,compare,1996,find,big,change,15th,4th,certainly,fluctuate
,8,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 21, 2002 Sunday",72 of 291 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),WISE TO WIRING;  ROBERT DAGOSTINO BUILT SUCCESSFUL BUSINESS BY STAYING ON TOP OF ALL THINGS ELECTRICAL,"STEPHANIE FRANKEN, POST-GAZETTE STAFF WRITER","BUSINESS, Pg.C-3 IN THE SPOTLIGHT",,1184 words,,,"May 7, 2002",ENGLISH,,,"Photo: Steve Mellon/Post-Gazette: Data technician Duffy Valeri looks out from one of two ""clean rooms"" at Seagate Technology's new state-of-the-art building in Pittsburgh's Strip District. The clean rooms are free of dust and workers there must wear full-body suits, masks and latex gloves.",,,,Copyright 2002 P.G. Publishing Co.
,business,Dagostino,building,system,work,company,install,worker,client,Seagate,new,fiber,firm,go,customer,put,employee,start,begin,project,keep,industry,change,spend,electronics,find,early,computer,blowable,need,have,visitor,kid,research,line,clean,room,quickly,world,always,telephone,today,infrastructure,include,friend,job,school,time,require,mix,technological,however,competitor,order,college,late,1980,help,voice,instance,product,good,decide,still,result,better,something,make,situation,bankrupt,pay,nothing,million,tool,grow,last,people,eventually,loyalty,Strip_District,Dagostino_Electronic_Services,Pesta,wave,sprig,crystalline,tube,front,unabash,excitement,science,contest,reality,recently,snag,contract,telecommunication,newest,inc.,facility
,14,14,8,7,7,7,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 12, 2002 Friday",74 of 291 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"NEW EL NINO LACKS '97, '98 PUNCH",,"SCIENCE, MEDICINE, TECHNOLOGY, Pg.A-2",,198 words,,,"July 12, 2002",ENGLISH,,,,,,,Copyright 2002 P.G. Publishing Co.
,el,nino,temperature,climate,normal,lead,still,track,degree,NOAA,government,forecaster,declare,officially,return,although,weaker,state,several,consecutive,slightly,warmer,heavier,usual,rainfall,prediction,center,make,announcement,though,scientist,skeptical,meteorologist,specialist,agree,current,pattern,classic,meet,definition,time,around,powerful,event,closely,change,project,strength,satellite,oceanographer,water,seem,early,conclude,messy,stormy,season,head,toward,take,refer,weather,system,show,ocean,centigrade,add,warmth,accompany,whopper,South_America,National_Oceanic,Atmospheric_Administration,Climate,Vernon_Kousky,Bill_Patzert,Jet_Propulsion_Lab,Pacific,California,Patzert
,6,5,3,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 14, 2002 Sunday",76 of 291 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"SECTION: ARTS & ENTERTAINMENT, Pg.F-4",,,,2132 words,,,"July 14, 2002",ENGLISH,,,,,,,Copyright 2002 P.G. Publishing Co.
,Carnegie,Skibo,estate,guest,Louise,summer,several,find,buy,firth,private,Scotland,much,time,family,area,along,long,large,room,de,savary,Carnegies,begin,home,although,sell,property,north,though,create,carnegie,original,million,course,entertaining,make,skibo,spend,decade,child,decide,world,three,trout,stream,love,old,mile,castle,residence,build,grounds,century,field,mansion,construction,cost,business,interest,plan,wall,tell,ready,enjoy,pleasure,conversation,house,main,host,table,often,return,war,bring,maintain,buyer,use,Margaret,Dornoch_Firth,april,fortune,ancestral,work,give,view,waterfall,climate,head,remote,share,narrow,boast,remain,early,call,shore,place,new
,25,18,12,11,9,7,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"December 19, 2002 Thursday",84 of 291 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),REGIONAL 'BRANDING' EFFORT DOWN TO 45 WORDS OR LESS,"DAN FITZPATRICK, POST-GAZETTE STAFF WRITER","LIFESTYLE, Pg.A-1",,1160 words,,,"December 19, 2002",ENGLISH,,,,,,,Copyright 2002 P.G. Publishing Co.
,Pittsburgh,people,region,brand,group,essence,campaign,Gongos,slogan,three,tourist,worker,place,team,city,young,live,work,company,firm,Wirthlin,word,potential,together,steel,advertising,try,pittsburgh,survey,move,change,make,ever,corporate,Wirthlin_Worldwide,way,charge,create,appeal,regional,consider,perceive,draw,root,strong,new,amalgamation,resource,idea,enough,director,person,"200,000",statement,line,serious,ad,attempt,face,away,go,research,local,organization,image,remain,country,blueprint,promise,event,theme,heritage,think,hope,walk,become,end,long,another,describe,negative,find,have,tell,past,executive,opera,house,Burson_Marsteller,experimental,sentence,mean,define,call,instead,entrust,put,sale,pitch
,20,13,10,8,7,6,6,6,5,5,5,5,5,5,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1
"March 20, 2002 Wednesday",94 of 291 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"SECTION: METRO, Pg.N-3 SCHOOL ROUNDUP",,,,772 words,,,"March 20, 2002",ENGLISH,,,,,,,Copyright 2002 P.G. Publishing Co.
,school,district,board,state,vote,intermediate,unit,student,project,high,drug,budget,million,approve,pass,increase,alumnus,current,use,Butler,Pine_Richland,member,oppose,local,middle,bond,additional,capital,new,elementary,superintendent,change,order,need,exceed,fund,cover,contract,resolution,funding,provide,require,directory,800,dog,tonight,think,security,option,program,technology,seal,Board,Harris_Graduate_Connection,Lee,iv,zbecause,allocation,cyber,contribute,"99,107",operation,headquartered,include,county,4.5,adopt,director,january,must,majority,nominate,kingman,sit,election,hold,april,receive,exemplary,eichhorn,consider,father,concept,award,recognize,instructional,strategy,continuous,progress,balance,curriculum,positive,climate,hill,monday,refinancing,issue,2000,borrow
,18,14,12,7,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 23, 2002 Sunday",104 of 291 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"TALES OF A MESSIANIC BILLIONAIRE, WEIRD BUSINESS IDEAS THAT WORK",CARNEGIE LIBRARY BUSINESS LIBRARIANS,"BUSINESS, Pg.C-10 THE BOOK ON BUSINESS",,1064 words,,,"June 26, 2002",ENGLISH,,,,,,,Copyright 2002 P.G. Publishing Co.
,2002,idea,business,people,Soros,open,society,make,company,state,successful,help,work,write,weird,practice,must,guide,license,Sutton,`,soros,life,to,kaufman,do,develop,fail,foundation,create,democratic,country,man,escape,communist,rule,hungary,change,encourage,base,flow,market,become,use,occasionally,success,former,every,innovation,survive,old,look,book,past,future,management,hire,many,new,concept,vur,never,show,thing,read,entrepreneur,start,require,site,find,story,Michael,Russian,Pennsylvania,time,messianic,billionaire,knopf,numerous,identity,fame,phenomenally,investor,visionary,philanthropist,assist,troubled,nation,live,private,citizen,philosopher,dilettante,political,naif,endure,legacy,devote,ravage
,6,6,6,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
