PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"August 13, 2010 Friday",5 of 383 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"LONG, HOT SUMMER; CATASTROPHIC FIRES, FLOODS FIT SCIENTISTS' PREDICTIONS","Charles J. Hanley, The Associated Press",WORLD; Pg. A-4,,1063 words,,,"August 13, 2010",ENGLISH,,,"PHOTO: Xinhua, Li Gang/Associated Press: A Chinese woman cries for her relative killed by a landslide in Zhouqu, in northwest China's Gansu province. Heavy rains caused more mudslides, which have already killed more than 1,100 people, with new floods leaving more missing.",,,Newspaper,Copyright 2010 P.G. Publishing Co.
,ice,warming,scientist,climate,century,flood,heat,predict,world,extreme,record,rain,Russia,global,event,wave,cause,temperature,2007,increase,report,flooding,northwest,change,fit,government,climatologist,weather,rise,frequent,intense,dring,double,summer,international,ever,kill,last,Moscow,China,fire,melting,already,way,july,meteorological,organization,disaster,expert,better,wildfire,time,state,panel,1950,example,still,blame,affect,happen,point,hottest,hundred,dry,people,reduce,ipcc,loss,monsoon,inch,period,huge,leave,worst,nation,atmosphere,water,grow,south,decade,away,percent,recordkeeping,week,sheet,show,ocean,worldwide,emission,Pakistan,United_States,U.S.,British,IPCC,NASA,WMO,Greenland,feverish,iowa
"June 12, 2010 Saturday",34 of 383 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"U.S., CHINA OBJECT TO U.N. CLIMATE PLAN","Alex Morales, Bloomberg News","HEALTH, SCIENCE, MEDICINE AND TECHNOLOGY; Pg. A-2",,494 words,,,"June 15, 2010",ENGLISH,,,,,,Newspaper,Copyright 2010 P.G. Publishing Co.
,nation,emission,global,text,climate,gas,document,percent,greenhouse,talk,call,develop,reduction,friday,draft,treaty,eliminate,limit,may,week,lead,negotiator,meeting,give,power,aid,number,unbalanced,speak,country,advance,make,2020,United_States,China,Brazil,Bonn,India,U.N.,join,dozen,criticize,issue,leave,place,division,hold,agreement,warming,negotiate,potential,target,change,par,back,alternative,publish,conclude,delegate,voice,concern,urge,diplomat,produce,revise,something,wrong,kitchen,recipe,discuss,last,take,we,strange,meal,intend,guide,discussion,eventual,aim,curb,factory,plant,channel,risk,encourage,spread,technology,wind,solar,contain,idea,accept,agree,outcome,delegation,chief,su,wei
,6,6,5,5,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 14, 2010 Saturday",38 of 383 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),FOOT-DRAGGING,JEANNE ZANG,EDITORIAL; LETTERS TO THE EDITOR; Pg. B-6,,246 words,,,"August 16, 2010",ENGLISH,,,,,,Newspaper,Copyright 2010 P.G. Publishing Co.
,energy,climate,bill,change,disappointing,senate,warmest,july,casey,pass,legislation,economy,price,renewable,use,help,stabilize,need,drag,foot,comprehensive,senator,break,august,recess,april,may,june,second,record,accord,article,emission,cap,go,new,detailed,shift,sen,p.,right,idea,hope,larger,fall,must,strong,end,move,nation,toward,stable,imperative,include,carbon,burn,fossil,fuel,main,culprit,standard,promote,clean,level,play,field,electricity,efficiency,requirement,lessen,overall,country,result,consumer,savings,research,union,among,group,show,technology,avoid,worst,effect,already,exist,lack,political,let,elect,official,know,brighter,future,child,grandchild,call,tell,stop
,7,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 23, 2010 Tuesday",44 of 383 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),POWER OF SUPPORT; OBAMA ADMINISTRATION GETS BEHIND NUCLEAR PLANTS,,EDITORIAL; Pg. B-6,,445 words,,,"February 24, 2010",ENGLISH,,,,,,Newspaper,Copyright 2010 P.G. Publishing Co.
,nuclear,power,new,plant,energy,United_States,president,state,union,address,last,nation,tuesday,clean,construction,co.,build,reactor,company,operating,industry,environmentalist,climate,change,gas,administration,go,interest,serious,Congress,sometimes,nothing,applause,line,endorsement,late,january,confirm,week,good,news,md,happy,audience,member,effort,translate,job,announce,department,conditionally,approve,8.3,billion,loan,guarantee,plan,advanced,station,eastern,georgia,receive,license,1970,group,hail,announcement,milestone,give,heartburn,especially,fossil,lob,strongly,legislation,bigger,picture,consider,ask,greatest,threat,face,planet,today,answer,need,rethink,position,move,beyond,unhelpful,behavior,104,stringent,federal,safety,requirement,reliably,provide
,11,7,5,5,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 1, 2010 Wednesday",70 of 383 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),MEXICAN LEADER: MOVE ON FROM CLIMATE BLAME GAME,"Charles J. Hanley, The Associated Press",WORLD; Pg. A-4,,460 words,,,"December 1, 2010",ENGLISH,,,,,,Newspaper,Copyright 2010 P.G. Publishing Co.
,country,blame,climate,emission,billion,United_States,big,develop,economy,China,Mexican,Chinese,player,rest,world,take,pressure,biggest,global,warming,emitter,meet,treaty,gas,industrial,nation,poor,rich,three,financing,Mexico,Copenhagen,U.S.,stuck,game,lead,crisis,aggressively,without,president,contends,example,basic,step,switch,light,bulb,rally,public,opinion,bring,political,contributor,interview,week,prefer,pragmatic,spend,discuss,procedure,purpose,story,leader,annual,negotiate,conference,open,resort,heavy,shield,warship,offshore,soldier,onshore,diplomatic,effort,impose,stronger,controls,carbon,dioxide,transport,agricultural,stymy,friction,major,disappointment,last,summit,expect,break,deadlock,produce,accord,delegate,hope,progress,secondary,issue
,5,4,4,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 2, 2010 Friday",93 of 383 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),PENN STATE SCIENTIST CLEARED OF RESEARCH MISCONDUCT,"DAVID TEMPLETON, PITTSBURGH POST-GAZETTE",STATE; Pg. B-2,,324 words,,,"July 2, 2010",ENGLISH,,,PHOTO: Michael Mann,,,Newspaper,Copyright 2010 P.G. Publishing Co.
,mann,research,allegation,dr.,scientist,global,warming,review,conduct,investigation,researcher,e_mails,Penn_State,clear,climate,university,report,thursday,dismiss,recommend,theory,obtain,message,last,delete,hidden,statement,pleased,e.,lead,misconduct,stem,leak,committee,deviate,seriously,accept,academic,practice,propose,inquiry,february,three,related,fourth,panel,professor,long,criticize,skeptic,computer,hacker,november,hundred,illegally,fall,involved,numerous,among,prominent,include,call,information,reference,trick,derogatory,journal,offer,contrary,evidence,change,controversial,seem,data,unflattering,bemoan,fact,show,trend,moment,director,release,follow,phase,conclude,wrongdo,latest,finding,finally,put,rest,baseless,express,gratitude,academics,require,analyze,voluminous,write
,5,5,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 29, 2010 Sunday",95 of 383 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),NORTHEAST U.S.; NUMBERS CONFIRM IT: SUMMER WAS A SCORCHER,The Associated Press,NATIONAL; THE NATION AT A GLANCE; Pg. A-8,,301 words,,,"August 30, 2010",ENGLISH,,,,,,Newspaper,Copyright 2010 P.G. Publishing Co.
,temperature,summer,record,high,august,weather,meteorologist,2010,average,many,place,heat,hottest,global,pattern,hot,Maine,number,confirm,sweaty,brow,northeasterners,scorcher,preliminary,figure,provide,friday,show,city,d.c.,set,march,large,swath,country,swelter,early,scorch,humidity,make,feel,least,100,degree,prompt,advisory,state,unrelenting,norm,unusual,vt,spring,century,consistent,severe,nation,back,normally,temperate,northeast,expect,stand,remain,forecast,reading,around,area,calculate,add,low,divide,caution,read,much,alone,interpret,sign,climate,change,last,quite,bit,normal,accuweather,pa.,another,portion,cycle,up,downs,have,go,report,worldwide,track,New,record_breaking,Northeast_Regional_Climate_Center,Cornell_University
,6,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 30, 2010 Wednesday",109 of 383 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"SENATE DEMS, GOP DIVIDED OVER ENERGY BILL",The New York Times,NATIONAL; Pg. A-5,,237 words,,,"June 30, 2010",ENGLISH,,,,,,Newspaper,Copyright 2010 P.G. Publishing Co.
,energy,tuesday,tax,sen,gas,bill,pollution,senator,meeting,continue,insist,put,sort,price,greenhouse,emission,mo,White_House,Senate,emerge,policy,president,make,effort,paper,large,difference,remain,democrat,republican,impose,smother,economy,take,national,table,lamar,alexander,sponsor,significantly,raise,cost,battle,divide,must,somehow,resolve,week,produce,comprehensive,address,contribute,climate,change,appear,move,either,side,although,willing,scale,back,joseph,i.,lieberman,propose,spring,cut,use,reduce,global,warming,kerry,suggest,start,electric,utility,plan,tentatively,embraced,olympia,j.,snowe,obama,summon,party,repeat,call,system,..,WASHINGTON,Barack_Obama,R_Tenn.,John_Kerry,D_Mass.,Mr._Kerry,I_Conn.,R_Maine,climate_altering
,5,4,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 13, 2010 Tuesday",110 of 383 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),HOT AIR ABOUT ALTERNATIVES; COAL REMAINS A MAINSTAY OF THE PENNSYLVANIA ECONOMY,George Ellis,EDITORIAL; Pg. B-7,,735 words,,,"July 13, 2010",ENGLISH,,,,,,Newspaper,Copyright 2010 P.G. Publishing Co.
,energy,electricity,coal,job,cost,Pennsylvania,source,fact,federal,need,per,along,economic,recent,country,reliable,economy,percent,state,alternative,change,legislation,air,impact,depend,go,bill,consider,affordable,industry,consume,solar,wind,provide,clearly,meet,current,demand,estimate,accord,kilowatt,hour,generate,renewable,average,kwh,tax,option,mandate,green,potential,increase,number,predict,pennsylvania,pend,expiration,rate,taxpayer,Congress,begin,debate,pennsylvanian,wade,thick,true,assessment,associate,produce,daily,oil,spill,recovery,effort,gulf,appear,create,momentum,action,suggest,motive,misguid,require,careful,analysis,avoid,reaction,fly,face,reality,infrastructure,blindly,ultimately,cause,catastrophe,entire,clear,focus,move
,13,10,10,8,8,7,6,5,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 30, 2010 Friday",111 of 383 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"THE CLIMATE BILL IS LOST, BUT PROBLEMS REMAIN","DAVIN SAFER, Philadelphia",EDITORIAL; LETTERS TO THE EDITOR; Pg. B-6,,191 words,,,"July 30, 2010",ENGLISH,,,,,,Newspaper,Copyright 2010 P.G. Publishing Co.
,energy,Senate,have,clean,legislation,worst,coal,comprehensive,act,continue,oil,lose,take,hopefully,summer,witness,environmental,catastrophe,history,gulf,mining,disaster,sweat,hottest,six,record,unfortunately,company,polluter,ally,able,stop,climate,change,failure,recess,mean,spend,billion,source,pollute,air,water,depend,foreign,threaten,national,security,miss,opportunity,repower,economy,still,plan,weatherize,million,home,hold,bp,accountable,spill,fund,electric,car,fall,sen,fight,hard,benefit,need,battle,problem,go,away,action,late,America,Bob_Casey,Arlen_Specter,Pennsylvania
,4,4,3,3,3,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 11, 2010 Wednesday",113 of 383 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"FLOATING ICE ISLAND PERILS OIL RIGS, SHIPPING LANES","Karl Ritter, The Associated Press","HEALTH, SCIENCE, MEDICINE AND TECHNOLOGY; Pg. A-2",,288 words,,,"August 11, 2010",ENGLISH,,,,,,Newspaper,Copyright 2010 P.G. Publishing Co.
,ice,island,Greenland,world,drift,across,break,glacier,oil,shipping,chunk,water,warming,can,global,coast,Canada,four,time,size,potentially,path,unstoppable,giant,platform,lane,collision,untold,damage,worst,case,scenario,large,reach,heavily,traffick,another,iceberg,sank,titanic,1912,summer,climatic,havoc,planet,wildfire,heat,smog,killer,flood,moment,crack,last,week,create,biggest,half,century,may,symbolize,big,prevent,stop,glaciologist,methlie,hagen,image,capture,climate,fear,vast,sheet,reservoir,freshwater,collapse,raise,sea,level,devastating,foot,newest,already,use,powerful,emblem,debate,rep,edward,markey,suggest,serve,home,skeptic,expert,scramble,plot,trajectory,float,shelf
,6,4,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 19, 2010 Tuesday",117 of 383 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),4TH U.S. HOUSE; ALTMIRE IS THE BETTER CHOICE FOR CONGRESS,,EDITORIAL; CHOICES 2010; Pg. B-6,,547 words,,,"October 19, 2010",ENGLISH,,,,,,Newspaper,Copyright 2010 P.G. Publishing Co.
,altmire,mo,vote,call,time,health,care,work,view,stimulus,cut,believe,Congress,democrat,congressional,district,rothfus,rank,energy,pollution,bill,change,endorse,percent,conservative,independence,last,favor,repeal,federal,law,tax,job,show,congressman,county,cap_and_trade,swear,republican,run,represent,4th,nominee,keith,challenging,rep.,jason,break,many,reform,banking,rescue,allow,load,gun,carry,national,park,push,strip,terror,suspect,citizenship,quarterly,report,2009,often,majority,party,lawmaker,53.5,house,member,other,editorial,board,support,campaign,predecessor,frustrating,opponent,intelligent,likable,attorney,serve,administration,department,set,office,group,involved,disaster,relief,unflinchingly,insurance,unconstitutional,unprecedented,expand,government
,6,6,5,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 11, 2010 Sunday",139 of 383 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"MCEWAN, RASH OFF THEIR GAME MCEWAN AND RASH ARE OFF THEIR GAME",Bob Hoover,ARTS & ENTERTAINMENT; Pg. B-5,,620 words,,,"April 13, 2010",ENGLISH,,,,,,Newspaper,Copyright 2010 P.G. Publishing Co.
,McEwan,novelist,story,book,novel,course,mo,Mr.,fiction,writer,dry,new,short,prize,follow,trademark,powerful,subject,right,lack,write,much,rash,title,widow,British,Carolina,Carl,slump,afflict,profession,baseball,player,creative,juice,energy,youth,dissipate,long,tour,case,weight,celebrity,interfere,message,muse,past,success,release,fall,previous,accomplishment,mad,dog,englishman,go,midday,sun,darling,man,booker,1998,amsterdam,compelling,atonement,2002,major,vault,plot,twist,observation,art,subsequent,work,saturday,show,sign,strain,former,unbelievable,denouement,latter,thin,uninteresting,solar,talese,doubleday,26.95,interest,turn,global,warming,evidence,acknowledgement,cite,discussion,scientist,warm,2005
,5,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 28, 2010 Sunday",153 of 383 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),THE DIRT ON DIESEL; CONGRESS MUST EXTEND A PROGRAM TO CURB EMISSIONS,,EDITORIAL; Pg. B-2,,342 words,,,"November 30, 2010",ENGLISH,,,,,,Newspaper,Copyright 2010 P.G. Publishing Co.
,diesel,program,emission,state,pollution,go,bill,do,result,grant,loan,federal,reduce,law,engines,health,every,dirt,benefit,truck,much,Congress,Pittsburgh,harsh,fact,political,life,congress,pass,energy,address,climate,change,anytime,soon,care,environment,future,planet,situation,reauthorize,record,achieve,good,2005,strong,bipartisan,support,amend,create,voluntary,level,among,feature,authorize,billion,five,200,million,purpose,percent,fund,allocate,develop,retrofit,incentive,match,dollar,last,longer,fuel,efficient,traditional,gasoline,older,model,significant,environmental,problem,environmentalist,link,"21,000",premature,death,hundred,thousand,asthma,attack,consequence,spend,produce,economic,include,job,creation,measure,tow,boat,garbage
,5,4,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 21, 2010 Wednesday",159 of 383 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"SPECTER, SESTAK DEBUT DUELING TV ADS IN SENATE RACE","James O'Toole, Pittsburgh Post-Gazette",LOCAL; CAMPAIGN 2010; Pg. B-1,,839 words,,,"April 21, 2010",ENGLISH,,,,,,Newspaper,Copyright 2010 P.G. Publishing Co.
,Mr._Sestak,sestak,percent,campaign,miss,vote,adm,Democratic,voter,mo,ad,week,Mr._Specter,new,tuesday,joe,incumbent,specter,enter,job,people,last,record,senior,command,congressman,transfer,mullen,view,Senate,open,challenger,make,majority,still,take,commercial,spot,retire,career,describe,politics,narrator,democrat,run,politician,keep,assail,voting,naval,relieved,duty,create,poor,climate,attendance,serve,top,clark,quote,officer,drive,acknowledge,bring,earlier,challenge,tour,state,survey,offer,opinion,favorable,Washington,Navy,Pentagon,front,rep.,introduce,viewer,face,barb,attack,sen,arl,duel,message,clear,next,compete,opponent,define,among,unfamiliar,husbanding,million,fund,final,finally,airwave
,9,8,6,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 1, 2010 Sunday",163 of 383 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),GREEN EXCHANGE; PROGRAM BRINGS STUDENTS FROM NORTHERN IRELAND TO WORK WITH LOCAL COMPANIES ON ENVIRONMENTAL PROJECTS,"Jon Offredo, Pittsburgh Post-Gazette",BUSINESS; Pg. C-1,,1284 words,,,"August 3, 2010",ENGLISH,,,"PHOTO: Robin Rombach/Post-Gazette: Mick O'Reilly and Michelle McAteer of Northern Ireland are working for one year at eCap network, an environmental consulting company based in the Hill District.",,,Newspaper,Copyright 2010 P.G. Publishing Co.
