PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"June 6, 2009 Saturday",4 of 580 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),RAPID RISE IN SEA LEVELS ON EAST COAST PREDICTED,"David A. Fahrenthold, The Washington Post","HEALTH, SCIENCE, MEDICINE AND TECHNOLOGY; Pg. A-3",,916 words,,,"June 9, 2009",ENGLISH,,,,,,Newspaper,Copyright 2009 P.G. Publishing Co.
,rise,water,along,change,inch,sea,ocean,study,sink,new,ice,resort,last,make,century,might,region,scientist,probably,climate,area,much,level,world,show,place,seas,global,surface,glacier,sea_level,Earth,Maryland,faster,part,research,current,push,city,week,forecast,beach,wrong,high,mean,spend,hard,retreat,researcher,warming,melting,per,phenomenon,think,northern,south,seesaw,find,coast,happen,vast,freshwater,less,foot,still,bigger,barrier,island,marsh,abandon,protect,Atlantic,mid_Atlantic,East_Coast,Western_Carolina_University,New_York,Eastern_Shore,densely,populate,cap,toward,shoreline,inlaid,boardwalk,habitat,three,include,newly,worrisome,life,next,rest,2100,total,increase,submerge,chair,information,computer
"April 9, 2009 Thursday",109 of 580 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),EMISSION ALLOWANCE AUCTION FACING DELAY; POSSIBLE CHANGE BY OBAMA ADMINISTRATION COULD ANGER ENVIRONMENTALISTS,"Juliet Eilperin, The Washington Post",NATIONAL; Pg. A-6,,704 words,,,"April 9, 2009",ENGLISH,,,,,,Newspaper,Copyright 2009 P.G. Publishing Co.
,auction,transition,administration,100,percent,emission,climate,energy,greenhouse,gas,bill,policy,Congress,allowance,economy,mr.,national,week,cap,White_House,Mr._Obama,system,pollution,move,electricity,provider,director,office,group,official,legislation,campaign,president,add,issue,write,create,we,incentive,make,meet,utility,carbon,environmental,Mr._Holdren,LaBolt,clean_energy,might,agree,postpone,limit,science,adviser,please,manufacturer,anger,environmentalist,interview,confirm,march,try,establish,set,principle,guide,begin,presidential,call,permit,outset,rather,portion,many,industry,leader,essential,eas,idea,obviously,end,reflect,think,sign,whether,start,period,time,something,discuss,holdren,comment,shed,light,effort,shape,identify,top,priority,far
,7,6,5,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 5, 2009 Thursday",138 of 580 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),TEENS ENTHUSED ABOUT ENDING WORLD HUNGER,"Deborah M. Todd, Pittsburgh Post-Gazette",METRO; GATEWAY SCHOOLS; Pg. EZ-3,,540 words,,,"November 12, 2009",ENGLISH,,,,,,Newspaper,Copyright 2009 P.G. Publishing Co.
,ms,save,student,Children,presentation,Miles,people,hunger,end,young,question,offer,think,great,world,issue,change,believe,help,Pittsburgh,discuss,girl,mile,many,crowd,make,growth,hungry,climate,something,kid,look,Gateway_High_School,foundation,condition,lead,billion,deal,teenage,audience,discreetly,send,text,message,beside,converse,intensely,whisper,giggle,man,row,nodded,use,coat,blanket,chance,ask,listen,outshine,line,drove,solution,beyond,suggest,gift,coordinator,cut,impassion,reaction,attend,affair,council,feed,future,security,last,thursday,typical,accord,chief,operating,officer,executive,vice,president,speak,various,affect,consistently,heighten,enthusiasm,younger,attempt,connection,run,live,web,cast,least
,7,6,6,6,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 26, 2009 Saturday",142 of 580 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),RENDELL CALLS FOR GREEN ENERGY DEVELOPMENT,"Don Hopey, Pittsburgh Post-Gazette",LOCAL; Pg. A-4,,476 words,,,"September 28, 2009",ENGLISH,,,,,,Newspaper,Copyright 2009 P.G. Publishing Co.
,energy,state,emission,development,reduce,alternative,job,coal,Pennsylvania,Rendell,climate,change,greenhouse,gas,create,economy,technology,mr.,percent,industry,effort,economic,action,production,next,project,many,million,nation,source,carbon,2020,clean,defeat,legislation,interest,strong,provide,engine,future,gov,ed,move,leadership,position,combate,mo,rendell,speak,news,conference,august,cause,global,warming,thousand,serve,blueprint,international,use,information,life,science,last,noting,open,windmill,factory,recent,permit,grant,hydropower,2003,invest,900,develop,deploy,approximately,560,"8,300",trust,rank,third,green,earlier,adopt,portfolio,standard,mandate,conservation,law,annual,ton,mobile,together,three,total,world,2000
,11,8,6,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 18, 2009 Wednesday",153 of 580 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"U.S., CHINA AGREE TO OFFER EMISSION REDUCTION TARGETS","JULIET EILPERIN AND STEVEN MUFSON, THE WASHINGTON POST","HEALTH, SCIENCE, MEDICINE AND TECHNOLOGY; Pg. A-2",,370 words,,,"November 18, 2009",ENGLISH,,,,,,Newspaper,Copyright 2009 P.G. Publishing Co.
,climate,emission,reduction,Copenhagen,declaration,target,develop,country,greenhouse,gas,level,United_States,joint,president,significant,administration,offer,next,proposal,agreement,last,international,outcome,include,percent,cut,Chinese,Obama,bury,text,hu,jintao,announcement,concrete,part,negotiation,long,chinese,question,whether,identify,goal,main,stick,point,talk,nearly,almost,industrialize,nation,many,major,announce,much,plan,curb,output,2020,neither,obligate,framework,though,rank,world,biggest,carbon,emitter,do,hamper,prospect,weekend,endorse,government,seek,political,global,warming,codify,2010,legally,bind,treaty,accord,agree,nationally,appropriate,mitigation,action,todd,stern,special,envoy,change,week,adopt,contingent,domestic,legislation,yet
,4,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 28, 2009 Saturday",178 of 580 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),GLOBAL WARMING COULD BRING SOME FOREIGN COMPETITION TO FRENCH WINES,"JAMEY KEATEN, THE ASSOCIATED PRESS",WORLD; Pg. A-2,,398 words,,,"December 1, 2009",ENGLISH,,,PHOTO: Christophe Ena/Associated Press: Bottles of wine lie in the cellar of La Tour d'Argent restaurant in Paris.,,,Newspaper,Copyright 2009 P.G. Publishing Co.
,wine,temperature,French,France,global,warming,taste,grape,grow,go,industry,rise,winegrower,change,pattern,fair,area,increase,able,make,add,dry,sure,news,sugar,Champagne,British,Burgundy,Britain,give,vintner,new,potential,headache,bubbly,lead,organization,fabl,sound,alarm,friday,livelihood,ahead,climate,summit,next,sped,harvest,alter,disrupt,hydration,along,coast,expert,president,grower,association,account,half,total,production,economic,stake,high,consumer,consistency,thing,far,fundamentally,risk,lose,big,chunk,market,share,tell,reporter,cultivate,move,northward,four,five,decade,ago,absolutely,absurd,think,significantly,alas,cry,example,consequence,know,have,speak,colleague,within,close,mr.
,13,5,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 25, 2009 Monday",180 of 580 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),COUNTY PLANS TO AUDIT COSTS OF ENERGY USE,"Karamagi Rujumba, Pittsburgh Post-Gazette",LOCAL; Pg. B-1,,698 words,,,"May 26, 2009",ENGLISH,,,,,,Newspaper,Copyright 2009 P.G. Publishing Co.
,county,government,audit,energy,gas,emission,use,reduce,association,greenhouse,building,vehicle,allegheny,initiative,last,data,Allegheny_County,operation,local,facility,add,establish,include,membership,ICLEI_Local,Sustainability,conduct,cost,fleet,part,green,launch,spend,join,analyze,fuel,usage,measure,help,much,committed,collect,equipment,position,director,snapshot,ms.,vincent,multiplier,base,light,plan,due,pay,climate,de,Mr._Onorato,eGrid,Mark,output,effort,toxic,conserve,cut,wasteful,international,impact,environment,thing,heating,cool,calif,june,specifically,look,annual,electricity,natural,oil,coal,mileage,overall,benefit,progress,ecological,footprint,spokesman,we,benchmark,mower,tractor,heavy,dump,truck,van,emergency,service,administrative,law
,19,8,7,6,6,6,6,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 26, 2009 Friday",187 of 580 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),ACT RIGHT; COUNCIL HAS ONE MORE CHANCE ON THE RESCUE PLAN,,EDITORIAL; Pg. B-6,,698 words,,,"June 26, 2009",ENGLISH,,,,,,Newspaper,Copyright 2009 P.G. Publishing Co.
,city,plan,council,state,member,act,tax,change,recovery,propose,force,increase,overseer,vote,service,team,work,provide,fail,raise,impose,give,many,take,sound,particularly,authority,really,effort,extend,nonprofit,allow,local,favor,power,property,mayor,ravenstahl,water,charge,amendment,make,eliminate,position,away,union,bargaining,contract,percent,generous,staff,must,without,tough,show,wednesday,need,preliminary,load,fiscal,dozen,know,actually,table,final,tuesday,goal,future,councilman,bill,peduto,mandate,consolidation,trouble,county,official,suggest,besides,nothing,prevent,order,combine,government,muster,political,likewise,legislature,help,either,payroll,preparation,cover,organization,people,145,legislation,far,argue,put
,12,11,9,6,6,6,6,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 26, 2009 Tuesday",191 of 580 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),CAP & TRADE CHARADE,"ELYSE AVERBACH, Squirrel Hill",EDITORIAL; LETTERS TO THE EDITOR; Pg. B-6,,187 words,,,"May 26, 2009",ENGLISH,,,,,,Newspaper,Copyright 2009 P.G. Publishing Co.
,Pittsburgh,company,recession,climate,change,bill,make,free,carbon,pork,cap_and_trade,use,call,today,home,health,care,technology,robotics,financial,service,higher,education,still,boast,thanks,business,diversity,economically,strong,city,add,job,2008,time,nation,slip,unemployment,begin,climb,concerned,confront,second,may,difficulty,overcoming,feature,system,reduce,greenhouse,gas,emission,rife,complexity,subtlety,easy,manipulate,already,backroom,deal,give,away,allowance,favor,mindful,billion,dollar,credit,worth,lunch,someone,pay,environment,progressive,transparent,positive,policy,hold,Steel_City,University,Carnegie_Mellon,Waxman_Markey,Congress
,4,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 14, 2009 Monday",217 of 580 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),TAIWAN'S EXAMPLE,"GARY SHEU Acting Director, Press Division Taipei Economic and Cultural Office in New York New York, N.Y. \",EDITORIAL; LETTERS TO THE EDITOR; Pg. B-6,,251 words,,,"December 14, 2009",ENGLISH,,,,,,Newspaper,Copyright 2009 P.G. Publishing Co.
,Taiwan,leave,emission,issue,international,talk,commitment,return,level,response,nov.,editorial,firmly,agree,global,warming,attack,without,coordinate,action,remind,reader,nonetheless,critically,important,voice,dialogue,government,republic,direct,representation,u.,thus,participate,president,leisure,choose,whether,attend,option,though,framework,already,take,step,domestically,demonstrate,environmental,responsibility,earlier,legislature,pass,development,act,encourage,business,use,renewable,source,energy,cabinet,recently,establish,promotion,committee,november,propose,plan,tax,credit,vehicle,policy,indicative,real,reach,state,voluntary,target,2008,period,2016,2020,2000,2025,set,example,progress,contribute,significantly,acknowledge,attendance,must,keep,mind,well,Climate_Progress,often_overlooked,China,Framework_Convention
,5,3,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
